"[00:36] Speaker_A | Okay um ,"
[05:21] Speaker_A | Uh-huh .
"[05:25] Speaker_D | Sorry , what's the yellow one in the middle , I forgot ."
[05:32] Speaker_A | Very interesting . I think that one's my favourite .
"[05:36] Speaker_C | So that's our three prototypes . Um basically , in terms of making decisions , what we'd need to do is first of all decide on a form uh which of the three different shapes we want , then decide what kind of button layout we want , how many buttons ,"
"[05:50] Speaker_C | and then to choose what colours we want to make the buttons and if we wanna put any text on the device , like label on the buttons or put a brand name or or a logo on it or whatever ."
[06:00] Speaker_A | Mm-hmm .
[06:02] Speaker_B | We were we were thinking that
[06:21] Speaker_A | Mm 'kay .
"[06:26] Speaker_C | Yeah ,"
[06:28] Speaker_C | but we don't want it to look like a kids' toy .
"[06:31] Speaker_A | Now that was one thing that we brought up over email . I don't know if you picked up your email , but um the f the um feature that we considered for it not getting lost ."
[06:35] Speaker_C | Yeah .
[06:53] Speaker_A | Mm-hmm .
[06:57] Speaker_D | But if it's like under covers or like in a couch you still can't see it .
"[07:01] Speaker_A | Would it be very difficult to um just have an external device that like I dunno , you tape to your to your T_V_ um that when you press it you ha a little light beep goes off ?"
[07:12] Speaker_A | Do you think that would be conceptually possible ?
[07:18] Speaker_A | Mm-hmm .
[07:28] Speaker_A | Mm .
"[07:29] Speaker_C | I'm not quite sure how it would work and then I wonder if it's if it's more just a gimmick then anything else . Uh I mean ho how many times do you really , seriously lose your remote control and would would a device like that actually help you to find it ?"
"[07:30] Speaker_A | That's true , mm 'kay ."
[07:31] Speaker_B | Yeah .
[07:45] Speaker_B | There might be something that you can do in the circuit board and the chip
"[07:49] Speaker_B | to make it make a noise or something , but it would take a lot more development than we have this afternoon ."
[07:52] Speaker_A | Mm-hmm .
"[07:54] Speaker_A | Okay , that's a fair evaluation . Getting lost . Um we so we do we've decided not to worry about that for now ."
[08:08] Speaker_B | So d do people have a preference as far as feel and functionality ? Um .
"[08:12] Speaker_D | I feel like this is simil or it's sort of what already exists so if we're trying to think of something sort of like new and fun , even though this is like what you're init I'm initially drawn to , just 'cause it's like comfortable and like not different . I sort of like this one , like I I don't know why , it just it's like small but still sort of like cute looking , I dunno . But I also like the b the side buttons on that one , like I think that's kind of neat ."
[08:38] Speaker_A | Mm-hmm .
"[08:41] Speaker_D | But I dunno how much any of this has to do with the fashionable , sort of cool looking thing that we also need to focus on ."
[08:50] Speaker_A | Could we maybe have like an extra button on the top for on off ? So then w we wouldn't have to have like a dual function ?
"[08:53] Speaker_B | Mm yeah , that's good , that's good ."
"[08:54] Speaker_C | Yeah , it's possible , yeah , yeah ."
"[08:54] Speaker_D | Ah , there we go ."
"[08:57] Speaker_B | Here , stick it on ."
[09:00] Speaker_A | Sure .
"[09:02] Speaker_A | Um uh why don't we do a product evaluation using your criteria , if you've developed some ?"
[09:06] Speaker_D | Well do we w like I think we're supposed to have one that we do it for .
[09:10] Speaker_A | Oh okay . Okay .
"[09:12] Speaker_D | That was I was a little vague on what exactly I'm supposed to do , but let me I have to like write something on the whiteboard , so ."
[09:17] Speaker_A | Okay .
[09:19] Speaker_A | Do you need this or just write on the white board ?
"[09:21] Speaker_D | No , I actually don't have like a PowerPointy thing , 'cause I think it would be redundant ."
[09:23] Speaker_A | Okay .
[09:24] Speaker_B | Right .
[09:27] Speaker_B | Okay .
[09:27] Speaker_D | I dunno .
"[09:29] Speaker_A | It's kind of like uh like a joystick kind of thing , you know , kinda push it ."
[09:34] Speaker_B | Hey .
[09:37] Speaker_A | 'Kay .
[09:39] Speaker_A | Maybe a little smaller than that .
"[09:41] Speaker_B | No , I kinda like it . That's hard to miss ."
[09:43] Speaker_C | It makes look more fruity as well .
"[09:46] Speaker_C | It's like a deformed foot , I dunno ."
"[09:55] Speaker_A | There it could have a stem like that , 'cause I do l kind of like the stem ."
[09:58] Speaker_C | Yeah .
[10:02] Speaker_A | Yeah .
"[10:04] Speaker_A | It almost helps you ge keep a grip too , 'cause it goes in between fingers ."
[10:06] Speaker_C | Yeah .
[10:06] Speaker_B | Yeah . Interesting .
[10:08] Speaker_A | I like this one .
"[10:09] Speaker_B | Okay , is that where people are leaning then , the potato ? I like the idea of the I mean that's really gotten the simplicity of the buttons down , that one ."
[10:10] Speaker_A | Variety of colours are nice .
[10:13] Speaker_A | I think I'm leaning towards the potato .
[10:17] Speaker_A | Mm-hmm . I am worried about like um using a menu .
"[10:22] Speaker_A | Um in that like i withing menus there are submenus , and so how do you get back to the main menu ?"
[10:28] Speaker_B | Hmm .
[10:28] Speaker_C | Yeah .
"[10:31] Speaker_B | Well that on the iPod , for example , you just every time you wanna go back you hit the menu button again and it brings you back one level ."
"[10:36] Speaker_A | But that has a menu button separate from a select button , whereas if this one's both the menu and the select button ?"
[10:40] Speaker_C | Yeah .
[10:41] Speaker_B | Good point .
"[10:42] Speaker_C | This is , it's the up and down buttons are used for scrolling up and down for a list of choices . You find the choice that you want and you press uh you press the right button uh ."
[10:48] Speaker_A | Okay .
[10:57] Speaker_C | Yeah .
"[10:58] Speaker_C | Yeah , so they're used for going into and out of your submenus , yeah ."
[11:02] Speaker_A | Okay .
"[11:05] Speaker_B | for two seconds , then it brings you back one level or something ."
[11:08] Speaker_A | Mm-hmm .
"[11:10] Speaker_A | Okay . Well , as long as we have that in mind as we're designing it still , mm 'kay ."
[11:24] Speaker_B | The potato ? Are we leaning towards the potato ?
[11:25] Speaker_C | Potato .
"[11:27] Speaker_D | Okay , well we can obviously change it after we go through each different one . So basically what we need to do is some of the things that we've talked about before we need to make sure that that remote actually does conform to the things that we said it was going to . So what we sort of wanna do is that we each need to separately"
[11:30] Speaker_B | Okay .
[11:38] Speaker_B | Okay .
[11:44] Speaker_D | rank each of the following things and then I'll tabulate an average just to make sure that it does meet that . So we'll just go through them one at a time and we'll just go around and each of you can tell me on a scale of one to seven with one being really extremely true
[11:49] Speaker_B | Okay .
"[11:59] Speaker_D | and seven being not true at all , or false , if the remote that we've created conforms to the following criteria . So we can do this one first . First we wanna know if it meets the fancy look and feel um objective ."
"[12:17] Speaker_D | So like in my opinion the for now at least , the yellow one is probably somewhere in the middle so I'm gonna say it's like a three . That's just my opinion ."
[12:26] Speaker_B | Yeah .
[12:30] Speaker_A | I I kind of think it's it's unique enough that I'd give it a one or a two .
"[12:33] Speaker_D | Okay , well give it a number , sorry ."
[12:35] Speaker_A | Okay .
[12:37] Speaker_A | I will give it a one .
[12:41] Speaker_B | Um I dunno if it's it's creative . I dunno if fancy is the word I would use .
"[12:47] Speaker_B | I dunno if any of them are fancy in I'd say two , because c unique ."
[12:52] Speaker_D | Okay .
"[12:54] Speaker_D | And two , awesome . Alright , and same sort of scale for functionality , is it functional ? I think it's extremely functional , I'm gonna give it a one ."
[12:54] Speaker_C | I'll go for two .
"[13:05] Speaker_B | Yeah , one ."
[13:06] Speaker_D | One ?
"[13:08] Speaker_C | I think it's it's functional , it's also pretty basic , so I'll give it a two ."
[13:12] Speaker_D | Okay .
[13:14] Speaker_A | Um functional .
"[13:17] Speaker_A | I think it'll get everything done , I think it might be a little confusing at first , um , I don't know if that's gonna be a later one . Okay , then I'm gonna give it a two ."
"[13:21] Speaker_D | Okay . Well there's some other ones , I will address that , yeah ."
"[13:26] Speaker_D | Awesome , okay . Um we wanna know next if it's technologically innovative ."
[13:31] Speaker_A | Did you give a functional ? Okay .
"[13:32] Speaker_D | Yeah , she said it was one . Um is it technologically innovative ?"
[13:38] Speaker_D | Mm .
"[13:49] Speaker_A | Well , the kinetic battery ."
"[13:51] Speaker_D | I kinetic battery is a big one , so ."
"[13:54] Speaker_B | How many people would notice that , though ?"
[13:54] Speaker_D | Mm .
[13:56] Speaker_D | But it but we know it's there .
"[13:57] Speaker_A | But they'll notice it after like a year , they'll be like hey , I have never changed the battery ."
"[14:00] Speaker_D | And if it's made of like latex , that whole idea , that's pretty cool . I'll give it a three ."
[14:02] Speaker_A | Mm .
[14:03] Speaker_A | Just the material .
"[14:14] Speaker_B | Yeah , like fancy versus creative it's it's"
[14:18] Speaker_B | different . But does that equal innovative ? I dunno . I'll give it a three .
[14:23] Speaker_D | Alright .
[14:25] Speaker_D | Everyone else ?
"[14:26] Speaker_C | I'd say it's technologically it's not it's not unique , I mean it's it's just it is just pushbuttons um , so I I'd give it a four ."
[14:37] Speaker_A | Think I'm gonna go with the four as well .
[14:39] Speaker_D | Mm 'kay .
[14:40] Speaker_A | I really like that kinetic battery though .
"[14:41] Speaker_D | Next , is it easy to use ? Just so you know , easy to learn will be separate , so don't overlap them . I think it's really easy to use . I'll give it a two ."
[14:46] Speaker_A | Mm 'kay .
[14:47] Speaker_B | Okay .
[14:54] Speaker_B | Um I'll give it a one . Pretty hard to mess up .
[14:58] Speaker_C | I'll say one .
[15:13] Speaker_A | Give it a one .
[15:14] Speaker_D | Yeah .
[15:14] Speaker_B | Yeah .
[15:15] Speaker_C | I wonder if it bounces when you drop it .
[15:17] Speaker_D | Mm-hmm .
"[15:20] Speaker_A | Mm . 'Cause there would be less impact maybe , ."
[15:21] Speaker_C | Yeah .
"[15:23] Speaker_D | Iain , what do you give it ?"
[15:23] Speaker_B | Mm .
[15:23] Speaker_C | Yeah I'd I'd give it a one .
"[15:26] Speaker_D | Alright and the next is , does it integrate some notion of fruits and vegetables ? Well , is it gonna be yellow ?"
[15:32] Speaker_C | Uh um .
"[15:37] Speaker_B | It it might be , 'cause that's our corporate colour , isn't it ?"
"[15:40] Speaker_A | That's right , yeah , corporate colour , we didn't keep that in um well if we I know it would make it a little less c a little more confusing , but if we had all the buttons in black , and a design in and the outside in yellow , that'd be our corporate one and we could also have alternative colours , one a more conservative one , one that's more fruity ."
[15:41] Speaker_C | Yeah .
[15:43] Speaker_B | We might wanna keep it yellow .
"[15:57] Speaker_D | Yeah , but if you had like a silvery kind of white or something ."
[16:00] Speaker_B | Yeah .
[16:02] Speaker_A | Um and can we have like an R_R_ inscribed on the bottom or something ? Okay .
[16:05] Speaker_B | Sure .
"[16:05] Speaker_D | Oh , yeah ."
[16:06] Speaker_C | Yeah .
"[16:08] Speaker_A | Fruity , so fruity ."
"[16:08] Speaker_B | So it was inspired by the potato , so I think it's pretty fruity ."
[16:11] Speaker_D | Yeah .
[16:12] Speaker_A | I think i it's kind of mangoey too .
"[16:14] Speaker_D | Yeah . I okay , I'm giving it a one the mango put me over ."
"[16:14] Speaker_C | Mangoey is better , yeah . I like mangoes ."
[16:15] Speaker_A | Yes .
[16:17] Speaker_A | Mm .
[16:18] Speaker_B | That's a much more trendy than a potato one .
[16:24] Speaker_C | Uh two .
[16:25] Speaker_A | One .
"[16:26] Speaker_D | Alright um , and does the design match the appropriate behaviour ? Remember earlier we discussed that people don't use a lot of buttons , that they use the channel flipping and the volume the most ."
"[16:39] Speaker_D | I think we really took that into account a lot , so I'm gonna give it a one ."
"[16:42] Speaker_B | Yeah , me too ."
[16:42] Speaker_A | Mm-hmm .
[16:45] Speaker_C | Uh one .
"[16:46] Speaker_D | Did you say one , Rose ?"
[16:47] Speaker_A | Yes .
"[16:49] Speaker_D | Okay um , also we talked earlier about R_S_I_ and wanting to prevent um any sort of like Carpal Tunnely kind of thing . Do we think that the latex sort of grip appropriately takes that into account ?"
"[17:04] Speaker_D | I think I'll give it a two , 'cause I almost feel like no matter what you do , something is gonna happen ."
[17:08] Speaker_A | It's gonna be hard .
[17:08] Speaker_B | Yeah .
"[17:09] Speaker_C | Yeah , yeah ."
"[17:16] Speaker_D | Um um worth the risk , I think ."
[17:17] Speaker_A | I like how it fits in the hand though so I I'd go with a two .
[17:20] Speaker_B | Yeah .
[17:28] Speaker_A | Mm .
[17:29] Speaker_D | 'Kay .
[17:31] Speaker_C | Yeah I'll I'll say two .
[17:45] Speaker_A | Mm .
"[17:51] Speaker_B | The menu system and the the fact that multiple buttons are used for different things might be a bit confusing , but I think if it's one it's one of those things that it might take you five minutes to figure out , but you'll have it afterwards . So I'd I think I'd give it a two I guess ."
[18:02] Speaker_A | Mm-hmm .
"[18:07] Speaker_C | I think it it's probably a little harder then most remotes to learn , because you have to you have to use the menu system and you have to tell it what your favourite channels are and that could take a bit of learning at first , but"
"[18:17] Speaker_B | Oh , good point ."
[18:19] Speaker_D | Mm-hmm .
"[18:21] Speaker_C | once you've , yeah once you'd learned how to use it , I think it is a lot easier . So I'd I'd give it a four ."
[18:26] Speaker_D | Okay .
[18:32] Speaker_D | Mm-hmm .
[18:32] Speaker_C | Yeah .
"[18:44] Speaker_D | Okay , so in terms of not losing it , do you think that on a scale of one to seven , how easy or hard is it to lose ? I'm gonna I'm gonna give it a four , 'cause I think that you can still if it's in between somewhere where you can't see it , you're kind of not gonna find it , but anywhere else it's gonna stand out ."
[19:00] Speaker_A | Mm-hmm .
[19:01] Speaker_C | Yeah .
"[19:04] Speaker_B | Um I'd say I'd give it uh a three , I guess it depends on how tidy you are normally ."
[19:09] Speaker_A | Mm I'd give it a four .
"[19:11] Speaker_C | Um I'll give it a five 'cause i it would be easy to lose something like that , yeah ."
[19:15] Speaker_A | Small too .
"[19:17] Speaker_D | Alright , we also said simplicity , how w how well does it address just being simple ?"
[19:23] Speaker_B | Simple to use or simple in design ? Do you know ?
"[19:27] Speaker_D | I think overall , 'cause we had said before our two main things were simplicity and fashion , so those are the next two things we're gonna look at . Separate from fancy , like that sort of thing ."
[19:35] Speaker_B | Right .
"[19:37] Speaker_D | Um it like wants to be simple but it's not like totally totally simple , so I'm gonna give it a two ."
[19:44] Speaker_B | I'm give it a three I guess .
[19:47] Speaker_C | I'll give it a two .
[19:49] Speaker_A | Three .
"[19:51] Speaker_D | Alright , and fashionable ?"
[19:53] Speaker_A | It's totally fashionable . I'd give it a one .
"[19:54] Speaker_D | It's hot , I mean it's a mango , come on ."
[19:56] Speaker_A | Mango .
[20:08] Speaker_B | or alien or whatever he was .
"[20:09] Speaker_D | Yeah , the toggle on off switch , it's really appealing ."
[20:15] Speaker_D | Number .
[20:15] Speaker_B | Um two .
[20:19] Speaker_C | Three .
[20:21] Speaker_A | One .
"[20:22] Speaker_D | And does it meet our like demographic need sort of for international appeal ,"
[20:30] Speaker_D | that whole thing ?
[20:33] Speaker_D | Just that it would se serve our audience .
[20:36] Speaker_D | I don't see why not .
[20:37] Speaker_A | Mm-hmm . I think as long if we offer in a in at least three different colour arrangements .
"[20:43] Speaker_A | Um yeah , that's good ."
[20:44] Speaker_B | Yeah .
[20:44] Speaker_D | Mm-hmm .
[20:47] Speaker_A | So I'll give it a a two .
"[20:49] Speaker_B | Yeah , I'll say two ."
"[20:51] Speaker_D | Alright , did anyone have any other features that they think were important that we didn't talk about ?"
"[20:56] Speaker_A | Well um we didn't we didn't address the fact that it does need to b have a corporate logo , so let's let's make sure we keep that in mind that we ha that one of our colours concepts is corporate and has an R_R_ on it . All of them should have R_R_ , yeah ."
[21:06] Speaker_B | Well I think all of them should have an R_R_ .
"[21:10] Speaker_D | And so we're gonna do that , so it will address it , fine ."
[21:11] Speaker_A | Mm-hmm . Mm 'kay .
[21:16] Speaker_D | Okay .
[21:18] Speaker_D | That's me .
[21:18] Speaker_A | Lovely .
"[21:20] Speaker_A | Okay , now we're gonna look at finances . Um I have an Excel sheet that we're actually gonna calculate the cost um ,"
[21:29] Speaker_A | so let me exit out of this first .
[21:37] Speaker_D | Whoa .
[21:38] Speaker_A | I know .
[21:40] Speaker_A | Let me one more space . Gonna zoom in real quick .
[21:50] Speaker_A | Okay . Hand dynamo .
"[21:54] Speaker_A | We're using kinetic battery , right ?"
"[21:54] Speaker_B | Uh we're n using kinetic , yeah ."
[22:00] Speaker_B | Yeah .
"[22:00] Speaker_A | One , okay . Um electronics ."
"[22:03] Speaker_B | Single . Simple , simple rather ."
[22:04] Speaker_A | Simple .
[22:04] Speaker_D | Simple .
[22:06] Speaker_A | Mm 'kay .
[22:08] Speaker_A | Um the case .
[22:08] Speaker_B | Uh uh uh double-curved .
[22:10] Speaker_C | Guess it's double-curved . It is pretty curvy .
[22:13] Speaker_D | Yeah .
[22:15] Speaker_B | Yeah I never did get a picture of those so I don't really know .
"[22:28] Speaker_D | Provided , okay ."
[22:30] Speaker_A | The wood ?
"[22:31] Speaker_B | Oh , I guess it was rubber rather than latex ."
[22:31] Speaker_A | I mean the rubber .
"[22:32] Speaker_D | It was rubber and special colour , right ?"
[22:34] Speaker_B | Yeah .
"[22:35] Speaker_A | Mm-hmm , okay ."
[22:35] Speaker_D | Do we have more than one special colour ?
"[22:39] Speaker_A | Yeah , we're using we're gonna need at least two special colours ."
"[22:41] Speaker_C | Special colours , isn't it ?"
[22:44] Speaker_A | Um .
[22:44] Speaker_B | I don't know what the se the basic colour is though .
[22:46] Speaker_A | I dunno where it yeah .
[22:49] Speaker_A | So let's y say three .
"[22:50] Speaker_B | Well , are we talking about on each colour combination or are we , you know , we'll like we'll have yellow and black . Is that two special colours ?"
"[22:59] Speaker_A | Yeah , I dunno . That I thi I thought that would be under yours ."
[23:08] Speaker_B | Uh .
"[23:10] Speaker_B | I guess it's three , three three ."
[23:11] Speaker_A | We'll just say three .
"[23:13] Speaker_A | Mm-hmm . Maybe the R_R_ will be in colour as well , so yeah . Interface , we're doing push buttons . And how many buttons do we have ?"
[23:13] Speaker_D | Right .
[23:14] Speaker_B | Alright .
[23:19] Speaker_B | Yeah .
[23:20] Speaker_D | We have six .
[23:21] Speaker_C | We've got five . Oh six .
"[23:23] Speaker_B | Six , with the power ."
[23:23] Speaker_A | Six .
"[23:23] Speaker_D | Oh no , five ."
[23:26] Speaker_B | Yeah .
[23:26] Speaker_A | Anything else ?
"[23:28] Speaker_B | No . Oh , we'll do we wa"
"[23:31] Speaker_B | Are the buttons in special colour , special f"
[23:35] Speaker_D | Oh wait .
"[23:35] Speaker_A | Oh , buttons oh , so um . So the case material will just have one colour , right , but then the buttons will be in special colours ?"
"[23:41] Speaker_B | Well , does it but if we're making multiple varieties of this is where I'm getting confused ."
[23:41] Speaker_D | Yeah .
[23:46] Speaker_A | We're saying per unit .
"[23:48] Speaker_D | Yeah , per unit ."
"[23:51] Speaker_B | Alright , and each button s"
[23:58] Speaker_D | Yeah .
[23:59] Speaker_C | Yeah .
"[24:00] Speaker_B | Yeah , okay ."
[24:00] Speaker_D | I like it like that .
"[24:03] Speaker_A | Special form ? They're all kind of just push button , right ?"
"[24:06] Speaker_B | No , I think they're fine . Material , we want them rubber as well probably , yeah ."
[24:06] Speaker_C | Yeah .
[24:08] Speaker_A | Special material ?
"[24:11] Speaker_A | Uh . Oh do I have to do it per button , do I ?"
"[24:15] Speaker_B | No , I don't think so ."
[24:18] Speaker_B | I think they're if they're all gonna be rubber then it that's what it matters .
[24:19] Speaker_A | Okay .
"[24:23] Speaker_D | Yeah , 'cause it wouldn't make sense otherwise , 'cause for the whole mat case material it's only one . It's I mean it's two to make it rubber . Oh wait , so maybe ."
[24:24] Speaker_B | Yeah .
[24:24] Speaker_A | Yeah .
[24:27] Speaker_A | Mm-hmm .
[24:27] Speaker_B | Yeah .
[24:29] Speaker_B | Okay .
[24:31] Speaker_A | Thirteen point seven .
[24:33] Speaker_B | Oh oh .
"[24:35] Speaker_A | Yeah , what can we reduce ?"
"[24:36] Speaker_B | Okay , let's have our buttons all be one colour ."
"[24:40] Speaker_D | Mm , I kind of like the buttons ."
[24:41] Speaker_A | Let's see what that would do . It's only gonna bring us down to thirteen point three anyway .
"[24:46] Speaker_A | Okay um , are we sure this is double-curved ? Maybe it's single-curved , we have no idea ."
[24:47] Speaker_B | Uh .
[24:50] Speaker_B | We have no idea .
"[24:54] Speaker_B | I dunno , I didn't get any pictures ."
[24:58] Speaker_D | It's single curved .
"[25:04] Speaker_A | Well it's not the yeah . Okay , it's the kinetic battery that's kind of expensive , but we have a simple chip , single curve ,"
"[25:12] Speaker_A | case material is rubber and it's a special colour , but that's important . Six buttons we have to have six buttons ."
[25:15] Speaker_B | Yeah .
"[25:18] Speaker_B | That is important . How did it get more expensive , what did you just change ? It was it was thirteen and now it's fifteen ."
[25:22] Speaker_A | What ?
"[25:26] Speaker_A | No , okay , maybe not . I don't know what just happened . Now it's twelve ."
[25:30] Speaker_C | What was our target price again ?
[25:32] Speaker_B | Twelve point five . Hey hey .
[25:32] Speaker_A | Twelve point five .
[25:33] Speaker_C | Twelve point five . So we're just just about there .
"[25:35] Speaker_A | So we're okay , I think ."
[25:36] Speaker_B | We're all set then .
[25:37] Speaker_A | Yeah .
[25:40] Speaker_B | Ish .
"[25:42] Speaker_A | Okay , we're all set . Um save . I saved that to our um our big shared folder , so you know . Um okay , back to agenda ."
[25:42] Speaker_B | Alright .
[25:58] Speaker_A | Um are the are the costs under twelve fifty Euro ? Yes . Let's move on to the project evaluation .
[26:01] Speaker_B | Yes .
[26:02] Speaker_C | Yeah .
"[26:02] Speaker_D | Yeah , they are ."
[26:06] Speaker_A | Project process .
"[26:08] Speaker_A | Satisfaction with for example the room for creativity , leadership , teamwork , the means , any new ideas found . So I guess what we're gonna talk about here is just evaluating how we created this project , the information we got on the news , how we used it , if we were able to um , you know , use our creativity with the information , um how how well I guess I led it , um the how well we worked together as a team , um the digital pens , the whiteboard ."
[26:39] Speaker_B | Well .
[26:40] Speaker_A | Okay .
[26:42] Speaker_B | I felt very creative . I enjoyed making the prototypes .
[26:49] Speaker_C | I think we've been successful in that we've achieved almost all of the design goals that we've set and we've come up with a finished project and we just about got cost .
[26:56] Speaker_B | Yeah .
"[27:03] Speaker_B | I think we could've done even better with a little bit more information , like what's a single-curved case , how many colours , what do colours count"
[27:06] Speaker_A | Mm-hmm .
[27:10] Speaker_A | Mm-hmm .
"[27:11] Speaker_B | things , but given given what we had I think that we did we did really well ."
[27:16] Speaker_B | Um I think we worked together pretty well .
[27:19] Speaker_C | Yeah .
"[27:20] Speaker_D | Yeah , I mean if I'd had more market research on the fruits and vegetables , maybe we could've taken that into account ."
"[27:23] Speaker_B | Yeah . But the fruits and vegetables , they really my creativity , so ."
[27:24] Speaker_A | Mm-hmm .
"[27:29] Speaker_D | I know , I really did , the the whole mango idea was great . No , I mean"
"[27:35] Speaker_D | I thought the pen was a little distracting for me personally , like its heaviness , and like just being so conscious of like turning the pages , I dunno . That was a bit of a distraction . That was the last one , like I chose not to do a PowerPoint 'cause I didn't think it made sense to , so I liked that I had the option to do that and just to take my own notes and that whole sort of thing ."
[27:46] Speaker_B | Yeah .
[27:54] Speaker_A | Mm-hmm .
[28:01] Speaker_C | Yeah .
[28:15] Speaker_B | Yeah .
[28:17] Speaker_A | I like our little finished products .
[28:20] Speaker_A | Really cute .
[28:21] Speaker_D | I kind of want one .
[28:31] Speaker_B | I have a little R_R_ .
[28:31] Speaker_D | I'm trying to think of a good pun that I could add there .
"[28:34] Speaker_A | I know , let's think of it like a little jingle ."
[28:37] Speaker_A | Um .
"[28:38] Speaker_D | I like the R_R_ , that's gonna be etched in ."
[28:40] Speaker_B | Yes . Hopefully not with just my fingernail at some point but um it's quite a useful little gadget .
[28:48] Speaker_B | All thanks to Iain for the design of that one .
[28:53] Speaker_A | Okay um new ideas found ?
[28:53] Speaker_B | Mm . What did we find for new ideas ? People should really base their remotes on fruits and vegetables .
[28:59] Speaker_A | Definitely . Or or at least be c p creative enough to think of toggle switches mm
[29:00] Speaker_C | Yeah .
[29:06] Speaker_A | etcetera .
"[29:09] Speaker_A | Oh , I'm so excited ."
"[29:12] Speaker_D | Yeah , I didn't even know they existed ."
"[29:14] Speaker_B | I I knew you can get watches that had them , like really quite expensive watches that just never need a battery , 'cause you're always moving your wrist ."
[29:21] Speaker_A | Mm-hmm .
"[29:23] Speaker_B | But in other things , I think it'd be really good ."
"[29:27] Speaker_A | I thi yeah , that's awesome ."
"[29:30] Speaker_A | Um okay , closing ."
[29:36] Speaker_B | Yes .
[29:47] Speaker_B | Yeah .
[29:53] Speaker_A | yeah . Make sure in your questionnaire to put down criticisms of
"[29:58] Speaker_A | both the process and the um the final results and . I do like the Martian remote . If we could choose more than one , that would be my second choice ."
"[30:04] Speaker_D | Yeah , Real Reaction ."
"[30:09] Speaker_D | Oh , that would definitely be my second choice ."
[30:10] Speaker_C | Mm .
