[00:13] Speaker_B | Hi .
"[05:03] Speaker_A | Um we must not forget uh everything we draw on here , uh all must be saved . We we may not delete anything . So uh if you have uh drawn something , save it . Never delete it . That's a very important uh thing ."
[05:21] Speaker_A | Okay . Uh little uh little kinda exercise to uh know each other .
"[05:43] Speaker_A | Uh important is that we use different colours , and uh different pen widths . Widths . Widths . Yes ?"
"[05:51] Speaker_D | I have a question . Um this exercise , um did the company board tell you to do it , or uh did you just make it up yourself ?"
[05:55] Speaker_A | Yeah .
"[06:01] Speaker_A | No no no . It's uh it's uh I I I must do it . Yeah , yeah , yeah . 'Cause we uh really don't know each other , and uh it's kinda new . So getting used to each other , we can uh have a little fun then , before we uh dig in really to the hard stuff . That kind of thing . Would you start with drawing your uh favourite animal ?"
"[06:04] Speaker_D | It's part of the introduction , okay ."
"[06:19] Speaker_D | Um , yeah . I don't know really how it works . But maybe you can show us first ?"
"[06:44] Speaker_A | You must p p uh push a little uh Good . Because And uh wait uh wait a few seconds . It's not uh fully real-time , so uh watch it ."
[06:58] Speaker_A | Oh yeah .
[07:01] Speaker_A | Well I'm gonna paint in the red .
[07:06] Speaker_B | Ooph .
"[07:11] Speaker_A | Well , undo ."
[07:18] Speaker_A | The pen ?
[07:25] Speaker_A | No .
"[07:40] Speaker_A | Yeah , that's the one ."
"[07:48] Speaker_A | Well , five . Okay ."
"[08:00] Speaker_A | Yeah , you can guess what it is ."
[08:01] Speaker_D | The the one who says it first gets a raise .
[08:20] Speaker_A | You don't see it uh at the ears ?
[08:26] Speaker_A | You have an orc at home ?
[08:27] Speaker_B | Very artistic .
[08:29] Speaker_A | Thank you .
[08:34] Speaker_D | What's it called ?
[08:36] Speaker_A | Simba . 'Cause uh we have a cat at home and he's called Simba . 'Cause he looks like the uh the the lion from The Lion King .
[08:37] Speaker_D | Ah .
[08:40] Speaker_B | Okay .
[08:45] Speaker_A | So we uh found it kinda cool to uh name it after a lion .
[08:48] Speaker_D | Okay .
"[08:59] Speaker_A | He's happy with us , so uh"
[09:02] Speaker_A | he's smiling .
[09:03] Speaker_B | Wow .
"[09:07] Speaker_A | No , only the face . Because we have we have twen twenty five minutes . So we uh Yeah ."
[09:11] Speaker_D | Okay . We have to speed up .
"[09:15] Speaker_D | Remember you use uh different colours , and different pen widths ."
[09:20] Speaker_A | Yeah .
"[09:21] Speaker_A | Okay , who wants to go next ?"
[09:25] Speaker_D | I Okay .
[09:26] Speaker_A | Yeah ?
[09:32] Speaker_D | Save it .
[09:35] Speaker_A | Yeah .
[09:35] Speaker_D | You have to save it .
"[09:36] Speaker_A | Save it , okay ."
[09:37] Speaker_D | I've done it . New ?
[09:43] Speaker_D | 'Kay .
[09:56] Speaker_A | Kind of firm touch .
[09:58] Speaker_D | That one .
[09:59] Speaker_B | Oh . Uh hmm .
[10:09] Speaker_D | Yeah ?
[10:13] Speaker_D | Okay .
[10:17] Speaker_D | Open .
[10:19] Speaker_D | Which one is it ?
[10:25] Speaker_D | Smart board ? Okay . And now ?
[10:27] Speaker_B | Okay .
[10:27] Speaker_A | Yeah .
[10:37] Speaker_D | Okay .
"[10:39] Speaker_D | Okay , thanks ."
"[10:43] Speaker_D | 'Kay , I've speed up ."
"[10:46] Speaker_D | 'Kay , that's fine ."
[10:49] Speaker_D | Line width .
"[10:50] Speaker_C | By the way , why was your cat uh red ?"
"[10:52] Speaker_A | Because uh my cat is red uh at home . And I have red hair , so uh must be red ."
[10:54] Speaker_B | Oh .
[10:56] Speaker_B | It's a very bloody cat .
[11:09] Speaker_C | Must be a dog . Yeah .
[11:14] Speaker_D | Hmm .
[11:21] Speaker_D | Something like this .
[11:25] Speaker_D | Smaller .
[11:28] Speaker_B | Huh ?
"[11:30] Speaker_B | Oh , it is a turtle ."
[11:31] Speaker_A | It is a turtle . Why a turtle ? Why ? Tim ?
[11:37] Speaker_D | 'Cause I liked Teenage Mutant Hero Turtles .
[11:42] Speaker_D | Uh ?
[11:44] Speaker_B | It's uh inside its shell . You'll be uh finished sooner .
[11:48] Speaker_A | It's a scared turtle .
[11:50] Speaker_D | No no . It's coming up .
[11:55] Speaker_D | Mm .
[11:59] Speaker_D | Uh .
[12:02] Speaker_B | Wow .
"[12:12] Speaker_D | Something like this . Okay , you know Very artistic ."
"[12:17] Speaker_A | Jurgen , you want to go next ?"
[12:18] Speaker_B | Yes . Okay . Wha Thank you .
[12:21] Speaker_D | Yeah ?
[12:25] Speaker_D | Here you go .
[12:26] Speaker_B | Yeah .
[12:33] Speaker_B | How did it work ?
[12:35] Speaker_A | Format ?
[12:36] Speaker_B | Performance ?
"[12:37] Speaker_A | And then you have the the current colour , you can change ."
[12:41] Speaker_A | So no red or green .
[12:43] Speaker_B | And a pen ?
[12:44] Speaker_A | And uh line uh width .
"[12:47] Speaker_A | I had five . Tim had Uh Tim , what kinda line width did you have ?"
[12:51] Speaker_D | Uh the big lines were like nine .
[12:56] Speaker_A | Okay . It's a dog .
"[12:58] Speaker_B | Well , very good . I just uh thought I'd pick the easiest one ."
[13:02] Speaker_A | Okay . Why a dog ? You have a dog at home ?
"[13:05] Speaker_D | Uh , it's p"
[13:05] Speaker_A | Had a dog ? Yeah ?
[13:11] Speaker_A | Ah .
[13:14] Speaker_A | You have an artistic uh inner middle .
[13:24] Speaker_C | Hmm .
[13:24] Speaker_B | Hey .
[13:26] Speaker_D | Think you uh picked the wrong uh function .
[13:30] Speaker_D | Wrong job .
[13:34] Speaker_B | No . Can work together . Ah colour .
[13:41] Speaker_A | So I think you can see it's real uh really a easy programme to use . Not difficult at all .
[13:57] Speaker_A | Janus ? The last one ?
"[13:57] Speaker_C | Yeah , sure ."
[13:59] Speaker_B | Yeah .
[14:02] Speaker_C | Uh thanks .
[14:04] Speaker_D | I wonder .
"[14:05] Speaker_A | Yeah . After a cat , a turtle and a dog ."
"[14:13] Speaker_C | I figure I should do something like that , but I'm gonna do something much more difficult ."
[14:19] Speaker_A | Uh-oh .
"[14:19] Speaker_B | Uh-oh . Oh , he is the artistic design ."
"[14:38] Speaker_B | Well with the interface , it might be easier to ha to draw here and display there uh ."
[14:41] Speaker_D | Yeah .
[14:55] Speaker_A | No .
[14:56] Speaker_D | I think it's easier to draw . Yeah . With a pen than with a mouse mouse .
[15:02] Speaker_D | Mouth .
[15:07] Speaker_A | But what is he uh ? Is it a rabbit ?
"[15:09] Speaker_B | Too expensive , yeah ."
[15:11] Speaker_C | Yes . No .
[15:12] Speaker_A | Do you have a rabbit at home ?
[15:15] Speaker_B | A green rabbit .
[15:17] Speaker_A | Is it a white rabbit f It's the white rabbit from The Matrix .
"[15:22] Speaker_A | Okay , then yeah ."
"[15:22] Speaker_B | There , the g white green rabbit ."
[15:25] Speaker_C | So .
[15:35] Speaker_D | Yeah .
[15:36] Speaker_D | It will do .
[15:37] Speaker_C | Uh well .
[15:38] Speaker_A | Okay . Finishing touch and then we're going further .
[15:46] Speaker_A | Yeah ?
[15:48] Speaker_D | Have you been uh counting the time ?
[15:52] Speaker_D | Okay .
[15:56] Speaker_D | Let's go on then .
"[16:01] Speaker_A | Well , I think the dog is the the most uh artistic ."
"[16:07] Speaker_A | Don't choose for youself . That's selfish . Okay , now we're gonna dig into the to the serious stuff ."
[16:10] Speaker_D | It's pretty abstract .
"[16:51] Speaker_B | Yeah , how much is it ? Hundred million uh remotes or something ?"
[16:52] Speaker_D | Like how much ?
"[16:54] Speaker_A | Uh I think uh w when the selling price is twenty five , uh uh you got two million , two million remotes . But our marketing range is uh , market range is international . So we have uh virtually the whole world we can sell uh"
[16:57] Speaker_C | Twenty million .
[16:57] Speaker_B | Oh yeah .
"[17:00] Speaker_C | Two million , oh yeah , two million . Yeah ."
[17:10] Speaker_A | we can sell our r remotes to . At least that uh countries which have uh a television .
[17:16] Speaker_D | Yeah .
"[17:22] Speaker_A | So now it's time uh for us to uh going uh to discuss a little uh things . You can think about uh experience with a remote control uh yourself , at home . What you think might be uh a useful uh new feature . What uh what can distinguish our new trendy remote control from all the others ."
[17:42] Speaker_A | Um so uh let's uh let's uh discuss a little . I'm gonna join you at the table .
[18:16] Speaker_D | Yeah .
[18:17] Speaker_D | I think so . Uh but I have some points . Can I show them on the on the big screen ? Maybe ?
"[18:23] Speaker_D | Yeah . Yeah , I can find Uh ."
[18:26] Speaker_A | Okay .
[18:46] Speaker_D | Screen ? Okay .
"[18:47] Speaker_A | Yeah , be The screens ."
[18:49] Speaker_B | Is it possible to open pen drawings in this uh on this screen ?
"[19:00] Speaker_A | Oh , that pen drawings . Uh no , I think uh when it is uh in Word and you have saved it in the Shared Documents folder , you can show it there . Yeah ."
"[19:08] Speaker_B | Oh , only in Word , okay ."
[19:12] Speaker_A | Yeah .
[19:30] Speaker_A | Yeah .
[19:33] Speaker_A | Okay . Five minutes . Yeah .
"[19:35] Speaker_D | Five minutes ? Okay , I'll wrap it up quickly . Um I personally think it has to be multi-purpose . Uh most of the remote c uh remote controls are uh just for one purpose . And uh by making it multi-purpose , it uh has a new feature , adds a new feature to the market , and distinguish from uh from current products ."
[19:42] Speaker_A | Yeah .
[19:47] Speaker_A | Yeah .
[19:57] Speaker_A | Mm-hmm .
"[19:57] Speaker_D | Um maybe some other technology than infrared . Uh I rather find it very annoying um , like when someone is standing in front of the T_V_ then you can't switch it . Um think about um sending it over radio waves or bluetooth ."
[20:14] Speaker_A | Okay . Okay .
[20:21] Speaker_D | And something like an L_C_D_ screen .
[20:24] Speaker_B | For what purpose ?
[20:40] Speaker_A | Okay .
[20:42] Speaker_A | So it be uh a multi-purpose uh very technically uh high uh
"[20:49] Speaker_D | From my point of view , yeah ."
"[20:49] Speaker_A | remote ? Yeah , it must be really uh innovative , technical-wise ?"
"[20:58] Speaker_D | Yeah , our company is very uh"
[21:03] Speaker_D | good in making new innovative uh things .
[21:05] Speaker_A | Yeah .
[21:08] Speaker_D | So i i i i
[21:15] Speaker_D | To the current market .
[21:16] Speaker_A | Yeah .
"[21:17] Speaker_D | Look , you got some cheap uh remote controls there ."
"[21:24] Speaker_D | Yeah , you got a dozen of 'em ."
[21:26] Speaker_A | No .
[21:27] Speaker_D | But when you enter a new market with a remote control and
[21:30] Speaker_A | Mm-hmm .
[21:32] Speaker_D | uh wanna gain market share
[21:35] Speaker_A | Yeah .
"[21:36] Speaker_D | you have to do something special , I think ."
[21:37] Speaker_A | Yeah .
[21:49] Speaker_D | Yeah .
"[21:56] Speaker_D | Yeah , of course . But it's But but this is just from marketing uh aspect ."
[22:00] Speaker_A | Yeah okay . Yeah . Okay .
[22:02] Speaker_D | I don't know anything about user interface or design .
"[22:12] Speaker_A | Okay , uh next meeting will start in thirty minutes . So uh you uh will have uh individual actions where I presume uh will be some feedback , uh via the m the mail . Um the the the Industrial uh Designer has to uh look at the working design ."
[22:53] Speaker_A | Okay . Um wha
[23:02] Speaker_C | I figure we could get back to it on the next meeting actually .
[23:03] Speaker_D | I think th that's a pha Yeah . That's a phase further . Ju just uh
[23:06] Speaker_B | Okay .
[23:07] Speaker_C | Yeah .
[23:14] Speaker_B | Ah okay .
[23:18] Speaker_D | Yeah .
[23:19] Speaker_A | Yeah .
"[23:20] Speaker_D | We can plan further , I think ."
[23:22] Speaker_A | Yeah .
"[23:38] Speaker_B | Consensus on the , what we're gonna do ."
[23:39] Speaker_A | Uh a little plan on on what we're going to do . So you don't uh uh come up with the user requirements who don't fit the the the the technical functions at all .
[23:51] Speaker_A | Some basic things we co we want to going to do . Uh I think that's well uh Yeah .
[23:57] Speaker_A | Will come in handy .
[23:58] Speaker_D | Mm yeah .
[24:03] Speaker_D | I don't know . You decide . You're the Project Manager .
[24:03] Speaker_B | Yeah .
[24:04] Speaker_A | Okay .
[24:12] Speaker_A | Yeah .
[24:20] Speaker_B | Okay .
[24:25] Speaker_B | Mm-hmm .
[24:26] Speaker_D | Uh tha that's a same step further .
"[24:28] Speaker_C | Yeah , actually it is ."
[24:28] Speaker_A | Why ?
[24:29] Speaker_D | Yeah .
[24:30] Speaker_A | Why ?
[24:31] Speaker_D | Uh .
[24:33] Speaker_D | Yeah .
[24:34] Speaker_A | Yeah .
"[24:35] Speaker_D | Like we all have a list of uh things that has to b that have to be in it , or how it has to be like . And then in the next meeting we decide"
[24:44] Speaker_A | Yeah .
"[24:46] Speaker_C | Yeah , we can take it from there . Yeah , I agree uh , we can take it from there ."
[24:46] Speaker_D | w what it's gonna be . A
[24:47] Speaker_A | Okay .
[24:49] Speaker_D | And then you s then you can delete uh
[24:53] Speaker_C | Or edit .
[24:53] Speaker_D | the o the obsolete uh details .
[24:54] Speaker_A | Okay .
[24:56] Speaker_A | So uh each individually i individually uh must think on what's uh at uh his point of view is the most important . And uh then we're going to fit uh all the pieces together the next meeting .
[24:56] Speaker_D | I think .
[25:05] Speaker_D | Yeah .
[25:11] Speaker_D | Yeah .
"[25:11] Speaker_A | I must finish off now , so it's over . You uh will receive specific specific instructions uh by your personal coach . And I see you in uh thirty minutes . Thank you ."
"[25:19] Speaker_C | Okay , cheers ."
[25:19] Speaker_B | Okay .
[25:29] Speaker_B | Sorry .
[25:32] Speaker_D | Damn .
[25:39] Speaker_B | Yes .
[25:43] Speaker_B | Yeah .
[26:09] Speaker_B | No . Come up .
