[00:16] Speaker_A | Good morning .
[06:13] Speaker_B | Right .
[06:17] Speaker_B | Alright .
"[06:18] Speaker_A | But you can of course erase when you make a mistake , but don't uh delete entire pages . And you can also um let's see I think it's here uh change the uh colour of your pen , for instance take a blue one and uh change the line width like to five . Um that's what you will need for our first exercise , because I'm uh going to ask you to draw your favourite animal ."
"[06:46] Speaker_A | It's also to gets to know each other because um I'm asking three things , uh for that uh drawing , to do it on a blank sheet , with different colours and I just showed you how to pick a colour , and also with different pen widths which I also showed you . Um and a favourite characteristic can be just uh one word . Well I'm not very good at drawing , but I will uh go first"
[06:49] Speaker_C | Okay .
[07:21] Speaker_D | Good .
[07:23] Speaker_C | Hmm .
[07:28] Speaker_D | Dinos Dinosaur .
[07:32] Speaker_D | Beaver .
[07:36] Speaker_A | Well it uh
[07:38] Speaker_A | could be everything .
[07:40] Speaker_C | Mm . With a tail and a mouth .
[07:41] Speaker_A | Maybe when I put on
[07:42] Speaker_B | It has wings ?
[07:43] Speaker_D | Turtle .
[07:44] Speaker_A | this thing
[07:55] Speaker_C | Okay .
[07:57] Speaker_A | But a turtle has . And those are slow .
"[08:02] Speaker_A | And I hope our project group will not be slow , but we will uh work to a good result and do it uh as fast as we can . Okay , time for another animal . Would you like to go next ?"
[08:15] Speaker_C | Sure .
[08:18] Speaker_B | Oh right .
"[08:29] Speaker_D | Nice , okay ."
[09:06] Speaker_B | It's a giraffe .
"[09:11] Speaker_D | No , it's a giraffe ."
[09:17] Speaker_D | 'Kay . I think it's
[09:21] Speaker_D | easy to r uh to
"[09:25] Speaker_D | recognise as a giraffe . Yeah , the favourite charis characteristic is that the long neck , it can reach everything . And I hope I can also reach a lot with this project . So that's my favourite animal ."
[09:26] Speaker_B | Yes . Giraffe .
[09:26] Speaker_A | Mm-hmm .
"[09:43] Speaker_A | Okay . Could you write the words , uh underneath it ?"
[09:43] Speaker_D | Anything else you need to know ?
[09:47] Speaker_A | Or more words .
[09:56] Speaker_D | Tall .
"[09:57] Speaker_D | So , 'kay ."
[10:03] Speaker_B | Alright .
[10:09] Speaker_B | Uh .
[10:12] Speaker_B | Well .
[10:21] Speaker_D | It's a mouse .
[10:43] Speaker_B | Oh wrong one .
[10:51] Speaker_B | Uh .
[11:00] Speaker_D | Uh-huh . No problem .
"[11:01] Speaker_B | It's a rabbit . And uh well uh it's uh quick , I guess ."
[11:02] Speaker_A | Little rabbits .
"[11:21] Speaker_A | Okay , thank you ."
[11:21] Speaker_C | Okay .
[11:26] Speaker_A | And our final drawing .
[11:27] Speaker_D | Bob Ross .
[11:50] Speaker_D | Dolphin .
[12:03] Speaker_C | Uh I uh draw I I've drawn a dolphin because of its intelligence . One of the most intelligent uh
[12:09] Speaker_B | Right .
[12:12] Speaker_A | Mm-hmm .
[12:16] Speaker_C | animals in our world .
[12:20] Speaker_B | Well .
[12:22] Speaker_C | Yeah intelligent . I've I've uh Eraser .
[12:24] Speaker_B | With an E_ .
[12:32] Speaker_C | Pen .
"[12:37] Speaker_C | Well not perfect , but okay ."
"[12:39] Speaker_A | Okay , well thank you very much . I can see we have some uh drawing talent uh in this group , huh ?"
"[12:46] Speaker_A | Well , nice animals , nice words . Sounds good . Um back to business , back to the money part . Um from the finance department I have learned that we are aiming for a selling price of twenty five Euros . And we're hoping for a aim of fifty million Euros and uh we are hoping to achieve that uh by aiming for an international market . And the production cost will be twelve Euro fifty max ."
"[13:14] Speaker_A | Okay , well it's time uh for some discussion . I've wrote down some examples here of what we can can speak about . Uh what's your experience with remote controls , um what kind of ideas do you have to design a new remote control , maybe for which market segments should we aim , or should we aim for all segments . Uh well actually I'd like to hand the word uh back to you ."
[13:35] Speaker_A | What's your experience with remote control ?
[13:39] Speaker_C | A lot of buttons . And you always lose them . A lot of buttons which you don't use or who you don't use Complex .
[13:40] Speaker_B | I always lose them . Yes .
[13:40] Speaker_D | Yeah .
[13:44] Speaker_B | Yeah .
[13:46] Speaker_A | Mm-hmm .
[13:46] Speaker_D | Complex .
[13:47] Speaker_B | Yeah .
[13:50] Speaker_C | Not user friendly .
[13:51] Speaker_D | No .
[13:53] Speaker_D | No .
[13:56] Speaker_D | Boring .
"[13:58] Speaker_A | Boring , it's not fun to use a remote ."
"[14:00] Speaker_D | No . Black , all black ."
[14:00] Speaker_C | Mm .
[14:02] Speaker_B | Well .
[14:03] Speaker_A | Mm-hmm .
"[14:03] Speaker_D | So , yeah ."
[14:03] Speaker_C | Black colours .
[14:05] Speaker_A | Well maybe we should try to make it fun .
[14:07] Speaker_D | Mm-hmm .
[14:12] Speaker_A | Mm-hmm .
[14:13] Speaker_D | Yeah .
[14:13] Speaker_C | Uh .
[14:14] Speaker_D | The the angle you have to use .
"[14:14] Speaker_B | Perhaps that you have a lot of road remotes r road con remote controls . Yes , perhaps you can integrate them or something ."
[14:17] Speaker_D | You had different remote controls for different devices . Yes .
"[14:18] Speaker_C | Yeah , different remote controls , yeah ."
[14:23] Speaker_C | Uh for the use of different uh devices .
[14:24] Speaker_B | Yes .
[14:26] Speaker_D | Yeah .
[14:26] Speaker_B | Your stereo and your T_V_ and uh .
[14:26] Speaker_A | Mm-hmm .
[14:30] Speaker_B | Perhaps that's an idea .
"[14:35] Speaker_B | Yeah , that's right . And which you don't use ."
[14:36] Speaker_C | Yeah but you could uh I thin uh there's a possibility to g uh to uh
[14:43] Speaker_C | to put those buttons uh behind some uh kind of uh protection so that if y y you only get to see them when you need 'em .
[14:46] Speaker_D | Flap yeah .
[14:47] Speaker_B | Right .
"[14:50] Speaker_D | Yeah , okay , that's possible , but it'll get very big the the remote control ."
"[14:51] Speaker_C | That's possible , so that you only get the No n n no , just Uh for example you got th uh the same size uh remote control you use everyday , but um the usual buttons such as uh um zapping uh as you call it in Dutch . Uh and the volume control uh are only the only possible buttons uh to use directly . Or uh the numbers , of course . But uh not uh the buttons used to search on the the channels on your television . You only use those uh the first time , or ."
[15:01] Speaker_D | Mm-hmm .
[15:14] Speaker_A | Mm-hmm .
[15:14] Speaker_D | Mm-hmm . numbers .
[15:17] Speaker_D | On and off .
"[15:25] Speaker_D | Yeah , play , pause , stop ."
[15:26] Speaker_C | So . Uh .
"[15:27] Speaker_A | Mm-hmm . So maybe a a minimalist design , the least uh possible amount uh of buttons ."
"[15:29] Speaker_C | Yeah , I think so , yeah ."
[15:30] Speaker_B | Yes .
"[15:32] Speaker_B | But you should make sure that you have every button they need on it . Because uh things for uh teletext , I dunno uh , w what's the name ?"
"[15:35] Speaker_D | Mm-hmm , of course ."
"[15:38] Speaker_C | Yeah , uh teletext . think so . Okay ."
[15:42] Speaker_A | Mm-hmm .
"[15:45] Speaker_A | So you don't want to bother people with uh loads of buttons , but on the other hand they need many buttons so they don't have to get out of their seat ."
[15:49] Speaker_D | No .
[15:53] Speaker_D | Yeah .
[15:53] Speaker_C | Right .
"[15:54] Speaker_D | Because I think a market will be all kind of people . Elderly p el elderly , young people , so ."
[16:14] Speaker_C | Uh .
[16:17] Speaker_C | Yeah I I understand .
[16:18] Speaker_B | And the B_B_C_ .
"[16:20] Speaker_D | I think if you you're going to target a lot of people and the whole world and only Britain then I think the cost will uh rise higher than the twelve fifty , I think ."
[16:27] Speaker_B | Yes .
"[16:31] Speaker_B | Yeah , I don't know if the they have that anywhere else , though ."
"[16:31] Speaker_D | I think the aim is better to use uh the whole world and Britain , yeah ."
[16:35] Speaker_C | Yeah .
"[16:36] Speaker_B | Yeah , we can leave that ."
[16:37] Speaker_C | When I think of it uh I think the main idea uh of this remote remote control is uh
[16:37] Speaker_D | Not that much .
[16:55] Speaker_D | Mm . Standard deliver .
[16:55] Speaker_B | Yeah .
[17:00] Speaker_A | Mm-hmm .
[17:00] Speaker_D | Mm .
"[17:22] Speaker_B | Yeah , that's right ."
"[17:26] Speaker_D | Yeah , okay ."
[17:36] Speaker_D | No .
[17:36] Speaker_B | Yeah that's uh .
[17:38] Speaker_D | I think n m n most televisions nowadays do this .
"[17:42] Speaker_C | Yeah , but uh they don't use the same signal , uh on remote control . Because you can't use a Panasonic uh remote control on a on a Philips television ."
[17:43] Speaker_B | Well not everywhere .
[17:43] Speaker_D | So I think numerals .
"[17:49] Speaker_D | Yeah , but then you have to choose the this always with r universal remotes you have to choose the code . You can use which which type of television you have . That's no problem . But I think like the two pages on the same screen , like teletext and normal television , that's that's nowadays standard , I think ."
"[17:53] Speaker_B | Yeah , you can choose the code ."
[17:55] Speaker_C | Okay . Okay .
[17:58] Speaker_C | Okay .
"[18:07] Speaker_C | Okay , but uh I think that most people uh th uh will buy the remote control because because uh the first they lost the one they lost first one or the first one is broken , so uh uh perhaps they have a got a an older television , so that option is not uh optional for those uh people ."
[18:15] Speaker_D | Simplicity .
[18:18] Speaker_D | Yeah .
"[18:19] Speaker_D | Yeah , yeah ."
[18:24] Speaker_D | Mm-hmm .
[18:27] Speaker_B | Yeah .
[18:27] Speaker_D | Yeah g available .
"[18:29] Speaker_B | But the people have a new television , and c if you look into the future , then they want will want the button , if their thing is broke ."
[18:29] Speaker_D | True .
"[18:34] Speaker_C | Yeah , yeah ."
[18:34] Speaker_D | Yeah .
[18:36] Speaker_C | So we should take that in consideration .
[18:38] Speaker_B | Yeah .
[18:38] Speaker_D | Mm-hmm .
[18:39] Speaker_A | Mm-hmm .
[18:41] Speaker_D | Mm-hmm .
"[18:41] Speaker_A | Okay , well any more ideas ?"
"[18:45] Speaker_C | Oh mm , no . Things'll come up ."
[18:47] Speaker_D | Of course .
[18:47] Speaker_B | Guess not .
[18:48] Speaker_A | No ?
[18:49] Speaker_D | Yeah .
"[18:50] Speaker_A | Okay , yeah well we have some time . Let's see what more I have to tell you . I don't think there is much left . Nope . We're starting to close . Um our next meeting uh will start well we're a little bit early , but our next meeting will start in in thirty minutes . In the meantime uh there's time for some uh individual actions ."
"[19:10] Speaker_A | Um , as you can see , the different roles have uh different tasks ."
[19:16] Speaker_A | And there's a ping . Is it my laptop ?
[19:19] Speaker_D | Yeah .
[19:21] Speaker_A | Yep .
[19:22] Speaker_C | Stop the meeting now .
"[19:23] Speaker_A | Ah well that's good , five minutes and uh the meeting's over , uh right on schedule . Um the Marketing Expert will uh will take a look at the user requirement specification . The User Interface Designer will work out the technical functions design . And this was the Interface Designer ? Or the Interaction Designer . Or what was it , I_D_ ? Interface Designer , okay , first guess was right . Uh will take a look at the the working design ."
[19:27] Speaker_C | Okay .
[19:39] Speaker_B | Hmm hmm . No interface .
[19:40] Speaker_C | Mm . No ?
[19:41] Speaker_D | Interface .
"[19:47] Speaker_C | No , the Industrial Designer will take a look at the working design , and the in uh usability interaction Yeah , okay . Okay ."
[19:47] Speaker_B | No the Yeah .
"[19:51] Speaker_A | Industrial Designer , okay , sorry ."
[20:10] Speaker_B | Right . Alright .
[20:14] Speaker_A | And of course you have your own uh expertise . Well uh that was what I had to say . Uh are there any more questions ?
[20:17] Speaker_D | Uh-huh .
[20:19] Speaker_C | Okay .
[20:21] Speaker_D | No .
[20:22] Speaker_C | No .
[20:23] Speaker_A | No ? Okay well I think then we have to head uh back to our offices and uh start working .
[20:29] Speaker_C | Okay .
"[20:30] Speaker_A | Okay , one question ?"
[20:31] Speaker_C | Oh .
[20:39] Speaker_D | She didn't know who .
"[20:43] Speaker_D | Okay , no , no problem ."
"[20:45] Speaker_A | Okay we're still going . Okay , well I expect everything will be much clearer with the instructions we will receive uh shortly . Okay well uh see you all in about thirty minutes , then . Thank you very much ."
[20:52] Speaker_B | Alright .
[20:52] Speaker_D | Mm-hmm .
[20:54] Speaker_C | Alrighty . Okay .
[20:55] Speaker_B | Yeah .
