[00:41] Speaker_D | Okay .
"[11:12] Speaker_D | Oh right , okay ."
"[11:15] Speaker_C | Yes , no , maybe ? Okay . Groovy . So uh we're just gonna . Uh yeah , okay . Teamwork ? Leadership , sorry ."
[11:16] Speaker_D | Mm-hmm .
[11:25] Speaker_C | Thank you very much . You're all get you're all getting a raise . Uh teamwork . I thought went well . Yeah .
"[11:30] Speaker_A | Yeah , yeah ."
[11:30] Speaker_B | Yeah .
"[11:31] Speaker_D | Yeah , everyone got enough input , I think ."
"[11:34] Speaker_C | Uh and well means , yeah . The technical stuff was brilliant . Let's buy more . Uh Right . Um I don't know what , new ideas found , means , to be honest ."
[11:39] Speaker_D | Yeah .
[11:41] Speaker_B | Yeah .
[11:59] Speaker_D | Mm-hmm .
[12:00] Speaker_C | Mm-hmm .
[12:02] Speaker_D | Yeah .
[12:02] Speaker_C | Mm 'kay . Groovy . So just general thumbs up for all of us then . That kind of unfortunately is too quick . Uh . I suppose yeah . Um .
[12:07] Speaker_B | Hmm .
[12:11] Speaker_D | Okay . Well um .
[12:11] Speaker_B | Hmm .
[12:13] Speaker_A | Okay .
[12:25] Speaker_D | Mm .
"[12:27] Speaker_A | Right , right ."
[12:32] Speaker_A | Uh maybe we should start cleaning up the clay .
"[12:37] Speaker_C | Does it go back in , does it ? Reusable ."
[12:43] Speaker_A | Something we should get .
[12:43] Speaker_C | I don't know what this is but it's really really annoying .
"[12:47] Speaker_B | Uh Brian , have you have you finished ? Uh mine needs also this ."
[12:48] Speaker_C | Uh-huh .
"[12:50] Speaker_C | Um I have , yes ."
[12:53] Speaker_C | Huh ?
[12:54] Speaker_B | At last mine is also the presentation .
"[12:56] Speaker_C | Oh right , okay , you've got more , okay . Sorry uh . It didn't bother to tell me that on this"
"[12:57] Speaker_D | Oh , you got a presentation , sorry ."
[12:59] Speaker_A | Oh ok
[13:02] Speaker_C | thing .
[13:04] Speaker_C | Is it ?
[13:06] Speaker_C | Okay .
"[13:07] Speaker_B | Uh is the project evaluated , that is mine ."
[13:13] Speaker_B | Yeah .
[13:17] Speaker_D | Yeah .
[13:23] Speaker_A | Uh .
"[13:25] Speaker_D | Mm , love to eat that now . Kind of a green banana now ."
[13:28] Speaker_C | Mm .
[13:29] Speaker_A | Clay covered banana .
"[13:32] Speaker_D | It's this as well , sorry , we forgot to mention it'll be made out of kind of a rubbery latex , new material that we've got . I've got ."
"[13:39] Speaker_C | O okay , hold on ."
[14:03] Speaker_A | It's fun to touch .
[14:04] Speaker_D | Yeah .
[14:33] Speaker_D | Oh could you pass the tomato please . Sorry . Thank you .
"[14:37] Speaker_B | So now is the final evaluation , final evaluation of the uh uh of our product . How we are going to means uh at what standard what standard whether it meets our standards or not . How mu What rating we will give to these products . So of course this is will be a team work , w we together have to decide wha what rating we will give to this product and everything . So what methodology I will tell you on what basis we are going to discuss all this ."
[14:42] Speaker_D | Mm-hmm .
[15:00] Speaker_C | Okay .
"[15:06] Speaker_B | We will give the rating to this product based on the user requirements , whether it meets the user requirements or not , this product . Then trends , whether it is as fashion trends or not ? Means because we have already stated that people do prefer fashionable things nowadays . So this is also an important factor for our evaluation also . Then marketing strategy of the company . As we have already discussed that our company is quite in the market , not only in terms of providing quality products , not only in pro providing latest technologies , but also in terms of providing environmental s"
[15:27] Speaker_D | Mm-hmm .
"[16:04] Speaker_B | Now comes the criteria rating with seven point scale . I'm having this scale this scale , so we have to do it on a board ."
[16:07] Speaker_C | Okay .
[16:11] Speaker_D | Mm-hmm .
[16:15] Speaker_D | Okay .
"[16:16] Speaker_C | Alright , okay . The board working again , is it ?"
[16:22] Speaker_A | Do we have the uh the marker for the board ?
[16:25] Speaker_D | Um .
[16:27] Speaker_A | There it is .
[16:32] Speaker_B | So .
[18:08] Speaker_D | Mm-hmm .
"[18:28] Speaker_D | Yeah , it did . It had all the basic buttons that they needed as well as the uh new technology that people said they wanted . Um so . Does it work ? Yeah . So ."
[18:37] Speaker_C | Yeah .
"[18:39] Speaker_C | When the user requirement is essentially just to operate the T_V_ , so yeah , of course we haven't actually got a working model yet ."
"[18:47] Speaker_D | I would say seven . Seven is good , yeah , isn't it ? I can't True or false ? No sorry tr one is true ."
"[18:54] Speaker_C | One , yeah ."
"[18:57] Speaker_B | Uh one is means highest ranking , okay . But I think highest ranking is seven , or one ?"
[18:59] Speaker_D | Yeah .
"[19:02] Speaker_C | No it's it's like true is one end , and false is the oth"
[19:03] Speaker_A | No that's false .
"[19:04] Speaker_B | Okay , right right . So it's one for from your point of view . And what do you say our Industrial Expert ?"
"[19:06] Speaker_D | Okay , so one ."
[19:10] Speaker_D | Yep .
"[19:20] Speaker_B | Uh d you can you can tell on on the like I think she has given her views on the basis of design , because she was our i Interface Expert . But you can give your views based on technology , whether the technology meets the requirements of the customers or not ?"
[19:29] Speaker_A | Okay .
"[19:36] Speaker_A | Um yeah , I think i it might even exceed it um ."
[19:41] Speaker_A | But I guess there is a kind of a shortage of buttons .
[19:45] Speaker_A | Um I'm gonna give it a two . Two .
"[19:47] Speaker_B | Two . And what about uh you , Brian ? You will go for one . Okay . Uh for me personally it is everything fine , it may be having good design , it may be uh meeting all the requirements of the customers like technology-wise , price-wise , but there is one thing which limits the customers , like we are having only two , three designs , like we are having one banana design and the other one is orange , and Uh yeah , lower end . And the third one is what you ge uh that is not a f fruit look . But if a person doesn't like banana , or orange , you are limiting him . No , don't buy our product , because we are l we like this only . So we are showing our preference for particular fruits , two or three kinds rather , and Yeah . So ."
[19:54] Speaker_C | Basic requirements but of the pro of the project .
[20:18] Speaker_D | Mm yellow .
[20:26] Speaker_D | Uh-huh .
[20:31] Speaker_D | Uh-huh .
[20:35] Speaker_D | Okay .
[20:41] Speaker_D | Is that no is that not trends ?
"[20:44] Speaker_B | Uh no , uh personally as a Marketing Expert I don't believe that , because whatever companies they launch their products in the shape of fruits , they give a range of products , a range of shapes , like if we see , look at the smallest thing , toffee chocolates , they give a variety of different things . Some children like to buy banana shape , some apple shape , some even pineapple shape , some orange shape . So you can what shape a person will like . So in this case giving only one or two choices we are lim limiting our customers . And by limiting them , we are limiting our sales , limiting our profit also ."
[21:01] Speaker_D | Mm-hmm .
[21:06] Speaker_D | Mm-hmm .
[21:16] Speaker_D | Uh-huh .
"[21:20] Speaker_D | But in electronics , I think , it's not q always quite so um you don't always have so many choices as with chocolates . I think , you know , if you're going to buy a T_V_ maybe a company'll have That you're going to choose from , a company'll have two or three choices , but they're different designs . We were coming up with one product ."
[21:51] Speaker_D | Okay .
"[21:55] Speaker_B | Yeah , on an average we can think three , four sevenths , maybe ."
[22:06] Speaker_C | Six . Five or six .
[22:08] Speaker_D | What are we doing ?
"[22:09] Speaker_B | No sorry , sorry , sorry , sorry , we are doing a very wrong thing . Yeah , yeah , we are taking everything , and that's I have taken it very wrongly . Yeah uh three four four two six seven seven sev Yeah one pe exactly . So we can say one or two . because it is one point eight uh two , so we will do two . Yeah . So where were the trends ."
[22:09] Speaker_A | What are we doing ?
[22:10] Speaker_D | Adding them up ?
[22:11] Speaker_A | We're gonna average them ?
[22:14] Speaker_A | Okay . So seven fourths . About one point f one point eight .
[22:14] Speaker_D | Oh .
[22:23] Speaker_A | Okay .
[22:23] Speaker_D | Okay .
[22:26] Speaker_C | Oh I see .
[22:28] Speaker_A | Yeah round it up to two . So trends .
"[22:30] Speaker_D | Okay , yeah ."
[22:34] Speaker_A | Can you explain what you want us to write there ?
[22:37] Speaker_B | Sorry ?
[22:38] Speaker_A | How it how conforms to the current trends ?
"[22:40] Speaker_B | Yeah , again the the fashion trends , this also like whether it it will be fashionable to have these products in the uh as a fruit shape or something . Uh ."
[22:47] Speaker_D | Mm-hmm .
"[22:49] Speaker_D | Okay . Well um going on uh the specifications that we had , that fruit and vegetables are quite popular , and that people like something that is good to look at and not many buttons , I would give it um , well , because it's hard to make a fruit good to look at , that that looks cool , you know , so I would actually give it a three . Tha three or four , I'm not sure . Three . Go for three . That's fine ."
"[23:24] Speaker_A | 'Kay . As far as the uh technology it its' got the latest trends in speech technology , but it's missing the screen , as we said , um but it does have the push-buttons , or the scroll-buttons ,"
[23:38] Speaker_A | um but it doesn't have that fancy solar power or the the vibrating energy mechanism . So I give it a a four . I'd give it a kinda middle of the road for
[23:48] Speaker_D | Mm .
[23:49] Speaker_A | for technology .
"[23:51] Speaker_C | Yeah , I am sort of pret uh Just the fruit does me in , I mean uh it might"
"[23:58] Speaker_C | it might be trendy to some , but I'm just not swallowing the fruit , so um Uh also uh I would have liked to have seen the L_C_D_ screen in it . Um so yeah I'd say about four as well ."
[24:01] Speaker_D | Yeah .
"[24:11] Speaker_B | Okay . Uh personally I wi uh I think that in terms of trends , these products are quite good , like , these products are in fruit shape , because that wha people now our fashion trend shows that people like everything all f everything that is being advertised , like clothes , shoes , and everything is being advertised in the form of fruits and vegetables , or getting them or showing some association with them ."
[24:34] Speaker_D | Mm-hmm .
"[24:41] Speaker_B | So and in this way our product is good . And the second thing , now people don't want any complicated or bulky products and ours is quite simple and quite handy . So that is also ef that also Our product meets the f the fashion uh trends of the market . And yes . It is cus spongy also . So they can play with it , it's quite good . So then I think , maybe I can give it two . So four five ten thirteen thirteen . So we can Is it fine ? So what about company strategy ?"
[24:52] Speaker_D | Mm-hmm .
[25:20] Speaker_A | Yeah .
[25:25] Speaker_D | Um .
"[25:28] Speaker_D | Yeah , the company strategy , okay . Um there was lot of discussing , that was good . Um I feel I got my say . Um so I'd give the company strategy"
[25:46] Speaker_B | Okay .
"[25:47] Speaker_A | Well , I think it's the the remote control conforms to the the company strategy . Is that the question ?"
[25:52] Speaker_D | Okay . Is it ? Okay .
"[25:52] Speaker_C | Yeah , yeah ."
[25:56] Speaker_A | Um .
"[25:56] Speaker_D | Okay , so"
"[25:59] Speaker_D | one or two . One . Okay , just leave it , it's fine ."
[26:01] Speaker_A | Yeah .
[26:04] Speaker_A | I'll go with two .
"[26:07] Speaker_B | So what about you , Brian ?"
"[26:09] Speaker_C | Um yeah , a three ."
[26:21] Speaker_D | Mm .
"[26:23] Speaker_B | Yeah , and me also , like , this product me uh me uh me uh this meets all company strategy like our product should be as per customers' requirement , as per latest technology , and it should be environmental safe . So since our product meets all these requirements , so I would also prefer to give it rank one . So four six six"
"[26:50] Speaker_D | Yeah , one ."
[26:50] Speaker_B | half . So we can say two or one Okay . So th seven seven .
[26:54] Speaker_A | A two .
"[27:07] Speaker_B | Uh overall we are getting two something , but we can round it as two ."
[27:12] Speaker_A | Yep .
[27:12] Speaker_D | Okay .
[27:13] Speaker_B | Yeah . So I think overall uh evaluation of our product is quite good . So we can launch it . Yeah .
[27:18] Speaker_C | Cool .
[27:21] Speaker_D | Woo-hoo .
[27:30] Speaker_C | In which case we are done .
[27:33] Speaker_C | 'Cause we've evaluated and we are within budget .
[27:38] Speaker_D | Cool .
[27:41] Speaker_D | Yeah .
[27:43] Speaker_A | Uh .
