[00:04] Speaker_A | Yeah .
"[13:24] Speaker_B | Okay , so I've got something on the twenty eighth . That's Friday I think . Oh , he just wants to know how to get paid . Right . That suggests he's done done done . Anyway , he's in Edinburgh . So well I suppose he won't come by 'cause Craig's on his desk ."
[13:24] Speaker_A | Oh .
[13:26] Speaker_A | Hmm .
[14:12] Speaker_B | So he's just telling us 'cause he things we probably don't read Wikis .
[14:17] Speaker_B | And I'll just check .
"[14:19] Speaker_C | Yeah , it was after it was after that that uh there was the thing about um w w why the parallelogram was the was a mirror image ."
[14:20] Speaker_A | Yeah .
[14:39] Speaker_C | Mm-hmm .
"[14:40] Speaker_B | Yeah . Well I I haven't replied to him about yeah , I really don't have anything more more recent from him . S I haven't replied to him about um"
"[14:53] Speaker_B | you know , how to submit costs and stuff like that . So um but that suggests he's at at the end of things , but w we could just ask him . I mean maybe you guys would just wanna ask him directly you're done done , right ? 'Cause um it's worth you guys knowing . And then of course any problems that remain you inherit . Uh right , you know , it's worth taking a look at what it does and making sure it does what you want , I guess . So th the problem is you want you wanted to construct some models in it for your experiment but you were hoping to get some from Marloes ."
[15:10] Speaker_A | Yep .
[15:20] Speaker_C | Yes .
"[15:22] Speaker_C | Yes , or at l least um she was meant to have have some idea of the level of complexity . 'Cause they d they d have actually run things and to uh get an idea of the sort of style and to check that they'd be alright . But all very quiet ."
"[15:29] Speaker_B | Ah yeah , yeah ."
[15:40] Speaker_C | Yeah .
"[15:50] Speaker_B | Ach , try phone ."
"[15:53] Speaker_B | When i if you get 'em today , when are you gonna start running ?"
[16:05] Speaker_B | Oh right . So you have to be you have to be ready by then .
[16:08] Speaker_C | Um well uh I haven't booked anybody in or anything . But uh that's when I'm hoping . We have been of course put back a bit by the eye tracker going down .
"[16:10] Speaker_B | Yeah , or re change the schedule ."
"[16:14] Speaker_B | Right , okay ."
"[16:20] Speaker_B | Uh-huh , yeah . Makes sense ."
"[16:23] Speaker_B | Um subjects , you're gonna have d"
[16:24] Speaker_A | Yep .
"[16:25] Speaker_C | But uh we're we're needing we're certainly needing some data in the bag by the first of December , I think"
"[16:31] Speaker_B | Yeah . So s y y you don't have subjects lined up , but you don't expect any trouble getting them ."
[16:34] Speaker_C | No .
[16:38] Speaker_B | Mm-hmm .
[16:40] Speaker_C | The only other slight complication is um which will be b I think brought up at the meeting on Thursday for all the eye tracking users . Um uh the lab has been block-booked again .
[16:51] Speaker_B | Yeah .
[16:56] Speaker_B | By ?
[17:07] Speaker_C | Have di
[17:11] Speaker_C | Yep .
[17:27] Speaker_C | Lecturer .
[17:33] Speaker_C | Well presumably not . But uh it's sort of quite solidly booked uh for f certainly w what six days from ten till five for two or three of those days .
[17:36] Speaker_B | Block book for how long ?
[17:44] Speaker_B | Uh-huh .
"[17:48] Speaker_B | Uh-huh . Um so uh um Ellen's still out of town , right ? It's just uh y you could try calling this person and see how this works . Ellen might be more persuasive . Um it's just sometimes uh academic staff have a bit of a chip about um research staff . And since I don't know the person , I can't tell whether it's one of those or not ."
[18:11] Speaker_C | Um I wouldn't I no I can probably at least email her and ask her uh if she's really needing it all that time .
"[18:19] Speaker_B | Mm-hmm . Yeah , and then escalate , I guess . But uh , you know , or whether they can be put off for a little bit or something . So I have no idea how the booking system works . Well , you're discussing it on Thursday , right ? At the moment , there's just a booking system . Yeah ."
"[18:32] Speaker_C | I i well yeah , at the m yep . When people just uh if they can log on to it can book it ."
[18:40] Speaker_B | Yep . Well that's that's one to raise at the meeting . Um I v might talk to Ellen about that ahead of time 'cause uh they may have she and Martin may have had discussions about appropriate use of the lab .
[18:42] Speaker_C | Mm-hmm .
[18:50] Speaker_C | Uh i th in theory JAST is meant to have it every morning .
[19:03] Speaker_B | I i isn't there set-up involved in changing around for somebody else ?
[19:07] Speaker_C | Um but it uh there shouldn't be any changes in the physical connections or or anything . No .
[19:15] Speaker_B | No ? Or in the software or anything ? Okay .
[19:20] Speaker_B | So there's no cost associated with it being mornings or afternoons .
[19:33] Speaker_B | Yeah . S so in the worst case um you may be able to make an argument if you actually need that week that you can collect in the mornings that week . Is this something that's known outside Ellen's head ?
"[19:44] Speaker_C | Uh yes , it's um it's on the p uh it's not on the booking system . It's on a web page that Frank created about the lab . Which I don't know if anybody actually knows is there . Mm-hmm ."
[19:46] Speaker_B | It's on the w booking system .
[19:53] Speaker_B | Oh well . That's something .
[19:59] Speaker_A | Yeah .
[20:08] Speaker_C | Yep .
"[20:13] Speaker_B | So those are the only things that are worrying you , Camtasia and lab access . And otherwise no sweat , you're happy ."
"[20:23] Speaker_C | Should should be . I've also got to get Camtasia we well , yes the m the model builder . I've got to get Camtasia working um as a sort of little multi-media thing to generate a video of how to mi sort of a an instructional video ."
"[20:26] Speaker_B | Oh and the model builders , yeah ."
[20:38] Speaker_B | Oh yeah . H uh-huh .
[20:41] Speaker_A | Yeah .
[20:41] Speaker_B | These this is gonna take a little while .
[20:46] Speaker_B | Mm-hmm .
[20:50] Speaker_C | Hmm .
"[20:55] Speaker_B | Yeah , but you were gonna try and figure out how to overlay something on top of the video that or no , you were just g really gonna run a video of the sep of the trial . Yeah , okay . That's that's much easier ."
"[21:03] Speaker_C | Yep , yeah ."
"[21:08] Speaker_B | So um with the model-builder , what do you need to do with it ? Th the um which one you is gonna look at what it does so far and you'll just t try out do that . Yeah ."
"[21:16] Speaker_C | Uh I'll I'll do that . Yeah , and just yeah . Mm-hmm ."
"[21:19] Speaker_A | Uh have a look . If you th anything prob any problems with it um think there's a Wiki page up for that f for that piece of uh for yeah , for that thing . So if if you just put just put whatever recommendations , bugs on that page and I'll work through them read 'em as and when I can ."
[21:25] Speaker_C | Mm .
[21:31] Speaker_B | Yeah .
[21:33] Speaker_A | Yeah .
"[21:49] Speaker_B | Well , what I'm trying to get at is is your start time gonna be delayed 'cause you don't have the models ready if she doesn't come through ?"
"[21:55] Speaker_C | Um depends how quickly I manage to get a grip of it , how long it takes me to generate them or how I get on with the Camtasia ."
[22:06] Speaker_C | Mm-hmm . Un unsure of yet .
[22:06] Speaker_A | Yeah .
[22:10] Speaker_B | Um can you draft Craig in to build some if necessary ?
[22:18] Speaker_C | It it shouldn't the there shouldn't be any great uh problems . Just checking that the they're of a suitable level of complexity or or of whatever . Yeah . Yeah . No quite quite right . Yeah . So yeah .
[22:27] Speaker_A | Yeah .
"[22:36] Speaker_A | Yeah . So well I can't imagine the building the building the mold is gonna be that hard . I mean I can easily just well however many thousands are on that uh Dutch web site you found . Just , you know , pick pick some of them , redo them in in the Ja in the J_C_D_ format . That's yeah . It's pretty mechanical . I can easily d easily do that . So but it's a matter of choosing which ones you need to do . Which I guess you have to do . Well yeah . Yeah well you need to you you and Marloes need to sort out , yeah ."
"[22:56] Speaker_C | Um yeah . well I was hoping for some feedback from yeah . Yeah , exactly ."
[23:30] Speaker_B | But presumably whatever it is they've been going through is now over .
[23:37] Speaker_B | Mm-hmm . Yeah . I d
"[23:44] Speaker_B | I'd just hate for that to c um to slow you up in collecting stuff , that's all ."
[23:48] Speaker_C | Um well hopefully it it won't anyway . It's just if I then do it I hopefully will get the right models . That's that's the pro so uh uh it will be generated . It's whether the models are optimal or not that I think that's right .
"[24:00] Speaker_B | That's quite a small thing she can do for you , I guess . You know . It's not like , you know , w sitting there brain deadly constructing , you know , some models that she needs to do . It's just to provide advice about this , which must take take less time ."
[24:07] Speaker_C | Mm-hmm .
[24:12] Speaker_C | Yep .
"[24:17] Speaker_B | Well , that all sounds fine . You guys worried about it ? You worried about anything ? We've mostly been talking about the experiment schedule . So ."
[24:30] Speaker_B | Mm .
[24:35] Speaker_B | You're gonna run out of things to um f do that we haven't set you up for any time soon . The G_D_F_ sounds like it might take a wee while .
[24:40] Speaker_A | Um p
"[24:51] Speaker_B | Yeah , but you don't need anything from me for that , 'cause that's already sorta speced . I mean again that's the pair of you ."
"[24:56] Speaker_A | Yeah , yeah . I think yeah . No , the the analysis I think the analysis will take a little while . I don't think it's gonna take that long to get its stuff sorted out . It's gonna be how to display it and all that sort of stuff . Uh whatever makes it easiest for you to do . Um but once w"
[25:04] Speaker_C | Mm-hmm .
[25:06] Speaker_B | Yeah . It's just what I'm worrying it w worried about is him being in the lab all day long and you not being sure like what to do for the analysis on or something . 'Cause you're gonna be completely unavailable when you're recording ? Or will there be times when you don't record all day .
[25:25] Speaker_B | Uh-huh .
"[25:33] Speaker_B | Yeah . 'Cause he might oh yeah , no no no , I understand that . It was it was more like oh , it was more like , you know , you so this week he's got , you know , the G_D_F_ stuff to do . Then next week you're planning on recording . And what happens if suddenly you're unavailable all of next week just when he runs out of work ?"
"[25:52] Speaker_C | Uh th they'll certainly be time because I'm right next to the lab anyway , I'll come back just to check my email and things anyway , so uh yeah ."
[25:58] Speaker_B | Yeah . So so we'll worry about it then .
"[25:59] Speaker_A | Yeah , yeah . Um yeah , so I still gotta work on the gest analyzer and turn that into the t into a G_D_F_ outputter . Um and uh oh yeah , and I'll I can have a look at the model builder as well . Um 'cause one thing I'm thinking about is w we're looking at the the part building pa type stuff . Uh and it might worth seeing if we can add a little part builder thing into the um model builder . Um just just the ju I just gotta tidy tidy up some the code for generating the parts anyway , the J_C_T_ um parts from from S_V_G_s . Yeah ."
"[26:06] Speaker_B | Mm-hmm , yeah ."
[26:10] Speaker_B | Yeah .
"[26:26] Speaker_B | What I do don't know is we wanna bother with a part builder . I mean the idea was it wasn't worth the investment , right ?"
[26:31] Speaker_C | Mm-hmm .
[26:42] Speaker_B | Yeah yeah yeah . Or Do y
[26:44] Speaker_C | Mm-hmm .
[26:56] Speaker_C | No .
[26:59] Speaker_C | Mm-hmm .
[27:11] Speaker_C | Mm-hmm .
"[27:22] Speaker_B | Right , so there's your limit . Don't spend more than a day or two on it . Yeah uh 'cause it really isn't worth it . You you have to understand there's things about this project we've hidden from you so far that you'll have to learn about . So it's it's not like you're out of work ."
[27:25] Speaker_A | Yeah . I mean I've I've already I've already got this yeah .
[27:44] Speaker_A | Right .
"[27:54] Speaker_A | Right . Yeah , well that that's that's just X_M_L_ to X_M_L_ to X_M_L_ , isn't it . Turning G_D_F_ and what other bits into N_X_T_ ."
[27:54] Speaker_C | Mm-hmm . W
"[28:14] Speaker_A | Right , right . Um yeah 'cause that's the yeah , o other than you have from what I've heard about it is both X_M_L_ . So the the programming side of it doesn't sound too hard . It's gonna be making sure that it fits what you expect out of the format . So um but no that's that's fine , I'll d I'll have try to find I'll I'll have plen plenty of uh plenty of questions for you once I once I get to the last stage , I'm sure ."
"[28:25] Speaker_B | Yeah , yeah . Yep ."
[28:41] Speaker_A | Yeah . Yeah .
[29:01] Speaker_B | Okay . So uh I'll uh remind myself to look at what's next before the next time we get together .
"[29:07] Speaker_A | Yep . Yeah , so I think the G_D_F_ will keep me busy for a little while yet . So um yeah , well that's yeah , certainly keep me busy until this time next week when we can start suggesting things that might might need to look at for the next stage , I guess ."
"[29:19] Speaker_B | Yeah . So you collect on Monday ? That means you don't wanna meet , right ?"
[29:26] Speaker_C | Um well at twelve o'clock next Monday the lab is technically booked by Jules .
"[29:37] Speaker_B | Oh , r right , it's actually next week . It's actually the week that you were planning on ."
[29:40] Speaker_C | Uh it starts the uh on we this Wednesday and goes through to next Wednesday .
[29:47] Speaker_B | Oh okay .
[29:53] Speaker_C | Mm-hmm .
[30:01] Speaker_A | Yep . Okay .
[30:03] Speaker_C | Um what else ? Uh Yeah . My then other complication is two weeks tomorrow I start my teaching
[30:11] Speaker_B | Oh yeah . That should be fun .
"[30:12] Speaker_C | Mm-hmm . For I've got two weeks of that , fo four lectures and four labs ."
[30:18] Speaker_A | Yeah .
[30:18] Speaker_B | That comes at an ideal time for you then .
[30:22] Speaker_B | That's like the twentieth or something .
"[30:28] Speaker_C | Uh what's tomorrow , is the f tomorrow the f first ? So it will be the fifteenth for two weeks ."
"[30:32] Speaker_A | For the first , yeah . Yeah ."
[30:34] Speaker_B | Yeah .
"[30:41] Speaker_C | Oh you've got your uh induction , that's right ."
"[30:44] Speaker_B | Oh yeah , you have to promise to tell us how that is . 'Cause people do ask me ."
[31:01] Speaker_B | Yeah .
"[31:08] Speaker_C | Mm-hmm . It's probably the university'll cover itself legally , I think , by doing this . Uh mm-hmm ."
[31:13] Speaker_A | Yeah . Yeah .
[31:21] Speaker_A | Yeah .
[31:29] Speaker_C | In April .
[31:30] Speaker_A | Mm .
"[31:31] Speaker_B | They were supposed to , I'm sure ."
[31:34] Speaker_C | I got invited to a um a a a summer garden party for new staff members . But that was but that's all .
[31:43] Speaker_B | Oh well .
[31:56] Speaker_C | Hmm .
"[32:05] Speaker_A | So But uh yeah , I'm not sure I'm not sure why the why why I'm doing it now . But okay . . so see how it go . I'll I'll uh give you my report on Friday or something ."
[32:05] Speaker_B | Yep .
[32:09] Speaker_C | Uh-uh .
[32:13] Speaker_B | Mm-hmm .
"[32:15] Speaker_C | I have one N_X_T_ question which hopefully won't be well , it's not one . Just hopefully as part of the output it will be something like that . Is that correct ? So you've got the gaze position of the first person , gaze position of the second , mouse position of the first , mouse position of the second and , I don't know , a common mouse action there or something . Does that t just in in sort of layers like that ."
[32:18] Speaker_B | Okay .
[32:37] Speaker_B | Yeah .
[32:40] Speaker_B | Seems reasonable .
"[32:42] Speaker_B | So um it'll be like in uh monitor . But yeah , they'll all be different tiers like that . And then there's the language stuff as well presumably ."
[32:48] Speaker_C | Yeah .
[32:50] Speaker_C | Yep .
"[32:52] Speaker_C | Yes , uh-huh . M that's that's just the the eye movement uh other sort of stuff , yeah ."
"[32:54] Speaker_B | Yeah , this is the easy stuff . Yeah . Well , eyes and mouse . Eyes and mice ."
[33:01] Speaker_B | Uh-huh .
"[33:03] Speaker_B | And that's enough for you , right ? I mean that's just the way you want it . Course there are lot lots of things that can do that . But it's the language part that's the hard part . Yeah ."
"[33:11] Speaker_C | As well . Yeah , mm-hmm . Yeah . So I was just yeah , I was just checking that uh I know the language part because they say L_P_ here but uh this would be the the the new part . New stuff ."
[33:21] Speaker_A | Yeah .
"[33:31] Speaker_C | Uh yeah , whatever that is ."
"[33:33] Speaker_B | I mean blinks as well , right ?"
"[33:37] Speaker_C | Um yes , I'm not sure whether we need to know exactly where they are , just how many there are in each tra um uh p I don't know . I suppose it could go in . Uh I mean I suppose it we're as well to have it if we can ."
[33:42] Speaker_B | Oh so you don't want a pa uh part of this data ?
"[33:49] Speaker_B | I think you I think you should well , there's two views on this . Um if you do then the people formulating research questions will ask about them . But if you don't they'll probably ask about them anyway and then you'll have to add 'em after the fact . Uh so it's probably easier just to s shove 'em in . You can stick 'em in a different um track and uh and then load 'em or not load 'em as you please . 'Cause it's not well , I don't know . With is it is it part of so th these are mutually exclusive and exhaustive sets of codes against time , right ? Isn't blink a part of this ?"
[33:58] Speaker_C | Right .
[34:02] Speaker_C | Well uh just say stick 'em in anyway . Yeah . Mm-hmm .
[34:20] Speaker_C | Mm-hmm . Um blink would uh uh at the moment just get lumped in with the sort of previous gaze .
"[34:30] Speaker_B | Yeah . But but isn't that important ? Because when they're blinking , basically it's like an a nil code . You c can't find out what they're doing otherwise . So it may actually be important to have the blinks registered in there because you may discover you need to take them into account to smooth some kind of analysis that you're doing . So it could be that if they only they hadn't had a blink just then , they would've been I don't know what ."
[34:31] Speaker_C | Mm-hmm .
"[34:37] Speaker_C | The way they're looking , mm-hmm ."
[34:44] Speaker_C | Mm-hmm .
"[34:54] Speaker_C | M uh yes , mm-hmm . Moving somewhere else , or is more likely to be uh"
"[35:06] Speaker_B | That you wanna know about . Oh , I hope n not to much relies on missing stuff 'cause people blink . I was thinking more like um , you know , the person looks a p a part and they've got a uh fixation before and after and there's blink in the middle . And , you know , there may be times when you wanna treat that as one thing , right ."
"[35:26] Speaker_C | Yes . Norman normally uh would be just , as I say , like add the blink time and duration to the previous fixation ."
[35:40] Speaker_C | 'Cause you're not absorbing any new information and that's what the critical sort of deciding factor is .
"[35:46] Speaker_B | Right , uh-huh . In that case then um these tiers are already like blink corrected . And then you wouldn't have blinks as part of this . You'd want blinks as a separate tier if you're gonna have it in ."
"[35:57] Speaker_C | So i i yeah , would ha it would be as a separate tier where just to mark"
[36:03] Speaker_C | the actual position .
[36:08] Speaker_C | Mm-hmm .
[36:16] Speaker_C | What's included and what's n yeah . Mm-hmm .
"[36:28] Speaker_C | Hmm . No , not certainly l not looking at codes , no ."
[36:35] Speaker_A | Huh .
[36:37] Speaker_A | Okay .
"[36:43] Speaker_B | It I think you're just saying it comes out of the eye tracker already , right ? They're already blink-corrected ."
"[37:04] Speaker_A | Right . So tha tha that's uh that's for the rest of the stuff that comes the eye tracker , isn't the analyzer software that comes the eye tracker ."
[37:13] Speaker_A | Right .
"[37:20] Speaker_A | Right , okay . Well i i if if you want if you want the blinks mer merged into a fixation , it might worth making making a cr part of the requirement for the G_D_F_ stuff . So to remind me so to to just add that analysis to , yeah , to to it . So it's I mean it's easy enough to do , just che just checking the times th times of the events ."
[37:27] Speaker_C | Mm . Mm-hmm .
[37:31] Speaker_B | Yeah .
[37:32] Speaker_C | Uh i y yeah . Uh I mean it it it won't because of the fixation it will be down to what we define as uh a gaze . So basically the time from when somebody starts looking at an object until they leave it . And so if they blinked a lot within that they're still looking at that object . So it's just the time in to the time out .
"[37:52] Speaker_A | Right . Okay , okay ."
"[37:52] Speaker_B | Yeah . But what we need to know is like at what stage in the eye tracking stuff where it does that and whether that gets through so that um Craig gets it automatically in what he's translating or to G_D_F_ . Whether he needs to redo the same analysis because something about the data path cuts off that analysis for the eye tracker . Or whether we even like it , right , and wanna do it some different way ."
[37:58] Speaker_C | Mm-hmm .
[38:02] Speaker_C | Yep .
[38:09] Speaker_C | Mm-hmm .
[38:13] Speaker_C | Hmm . Some other way .
[38:15] Speaker_A | Yeah . Yeah 'cause I think the ASCII format as it stands does contain blink information um 'cause uh d d I'm sure I'm sure that's appeared in the in the documentation I've read through .
[38:20] Speaker_C | Yes .
"[38:22] Speaker_C | Mm-hmm . Yep , there's a blink sort of event ."
"[38:32] Speaker_A | Possibly . Possibly , yeah ."
[38:41] Speaker_C | Mm-hmm .
"[38:42] Speaker_A | Right . Okay , okay . Um yeah , so might might worth us us having a look at that and just just seeing what dat is what data is already in the ASCII format and whether you want me to do any correction as part of the analysis . Um 'cause I've gotta do the analysis for the fixations on parts and things anyway . So yeah , I d I I I didn't think check for blinks during that . Isn't gonna be a shouldn't be a big problem ."
[38:51] Speaker_C | Yep .
[39:03] Speaker_C | It should just be a matter of treating a b adding on the blink to the last fixation or something anyway .
"[39:13] Speaker_B | If they're not still fixating on it when they come back out of the blink , then"
[39:19] Speaker_B | why is that is that the right thing to do analytically ?
"[39:21] Speaker_C | Uh well uh the the real reason is um as long as they've been blinking , even if they then open their eyes somewhere else , that's when they start absorbing the new information ."
"[39:31] Speaker_B | Oh right . Yeah , you said that ."
"[39:44] Speaker_B | Well , but does um the duration of fixations count for anything ? 'Cause it if you're just adding the length of the blink to the fixation , you're not treating it as a saccade ."
"[39:50] Speaker_C | Uh it it's yeah , that yes , um that's for the sort of gaze time measure . Uh it's not actually the fixations are still um independent . So the they w fixation duration isn't doesn't include the blink in the ASCII a output . It's only when we start looking at sort of the total gaze that um the total amount of time spent looking at one particular object , which includes all these sort of multiple fixations and any blinks and that sort of thing . Is it it's a a sort of composite uh viewing time ."
