[00:04] Speaker_C | Did you manage ?
"[09:15] Speaker_B | Yeah , but why would we use it ?"
[09:15] Speaker_C | Think .
"[09:16] Speaker_C | Ah we don't need it , but it's uh it's design a design thing ."
[09:16] Speaker_D | Yeah .
"[09:17] Speaker_A | If we don't need it , why put it in your why put it in your in your if it's if it's not something people are looking for or is useful ."
[09:23] Speaker_D | No .
[09:23] Speaker_C | I think they are looking for that . Of course we have uh a young target group . So they might find that attractive in a remote con
[09:25] Speaker_A | Are they ?
[09:28] Speaker_D | Scroll-wheel ? Uh I don't know .
"[09:32] Speaker_D | Yeah , that's it ."
[09:33] Speaker_C | Okay . So push-buttons we will use . Uh L_C_D_ screen ?
[09:38] Speaker_C | Is that s
[09:39] Speaker_D | Yeah .
"[09:42] Speaker_C | Uh I only know that if we are using that , we need ano uh an advanced chip in it . And that is more expensive ."
"[09:52] Speaker_A | No absolute numbers , but it's just more expensive and takes more room I suppose in your in your design ."
[09:52] Speaker_B | Okay .
"[09:56] Speaker_C | Yeah , but I don't think room is really an issue ."
"[09:59] Speaker_A | Don't think it's an issue , okay . Oh let's go for let's say because it is uh very hot in n our target group I think , we should take it take it t to consideration to build an L_C_D_ screen in it ."
"[10:09] Speaker_B | I have two designs , one including uh an L_C_D_ screen , wh which is basically the deluxe edition . And then I also have a standard edition , which wi we can also choose to develop too ."
[10:12] Speaker_D | For the future .
[10:13] Speaker_A | Okay .
[10:15] Speaker_D | Yeah .
"[10:20] Speaker_A | Which basically has the same functionality , but lacks the L_C_D_ screen . Okay . We'll pick a we'll pick from uh we'll just combine everything later ."
[10:23] Speaker_B | Exactly .
"[10:28] Speaker_C | Mm-hmm . Okay . Electronics , uh the first one is the chip . Uh that's no longer an option , it has to be an advanced one now . 'Cause we have the L_C_D_ screen . Then we have an infrared sender , I think that's basic , we cannot do without . Otherwise it's not s a remote control . And we have the sample sensor and speaker , the voice recognition thing . Are we gonna do that or not ?"
[10:35] Speaker_B | Yep .
[10:39] Speaker_D | Yep .
[10:41] Speaker_A | Mm-hmm .
[10:50] Speaker_C | I only have uh uh relative information .
[10:53] Speaker_A | Well what d what was exact what you got on the on the new component ?
[10:56] Speaker_B | I got an email that it's relatively small .
[10:58] Speaker_A | That's small . So we can implement it . So why why if it's small and we can imp why shouldn't we ?
[11:03] Speaker_B | Get back .
[11:04] Speaker_A | And there's um get your mar marketing report ? What was uh the last number of how many people were interested in voice recognition ?
"[11:05] Speaker_C | That goes also for the scroll-wheel , by the way ."
[11:12] Speaker_A | Although it's hard for different countries of course .
"[11:15] Speaker_A | But you have to programme it yourself , I suppose , with your own voice ."
[11:19] Speaker_D | Um uh more than uh sixty percent .
[11:23] Speaker_A | More than sixty percent of the people would like voice recognition .
[11:25] Speaker_D | Yeah . Mean of uh seventy percent I think . Uh I'm I have to look it up .
[11:28] Speaker_C | Hmm .
[11:30] Speaker_C | Yeah .
"[11:32] Speaker_C | Hmm . But don't we have any w uh information about scroll-wheel ? Scroll-wheel . If people would like that . That's strange , because that's the same story . It's it's not necessary like an L_C_D_ , but it's just it adds something to the design ."
[11:36] Speaker_D | No .
[11:40] Speaker_D | Ah . I don't know .
"[11:43] Speaker_A | Yeah , but we got some data on people that actually are int are interested in that , and I don't think a scroll-wheel offers new functionality , whereas speech recognition and L_C_D_ screen do offer new functionality in your product ."
[11:48] Speaker_C | Hmm .
[11:50] Speaker_D | On the most spee
[11:51] Speaker_C | No .
[11:54] Speaker_C | Oh that's r
[11:56] Speaker_C | But I think uh we now already have to uh implement uh an advanced chip . So it's m
"[12:02] Speaker_D | Yeah , for the future ."
"[12:11] Speaker_B | Well , they b they basically can have speech recognition . I mainly focused on the L_C_D_ uh aspect ."
"[12:20] Speaker_C | No , but that's that's okay ."
[12:22] Speaker_A | Oh .
"[12:24] Speaker_B | 'Cause you wanted to see them , right ?"
[12:25] Speaker_C | There is still time .
[12:25] Speaker_A | 'Cause have did you have all the materials ? Or everything that you desc
"[12:27] Speaker_C | Yes , this was uh the last M_S_ . I have a clear picture ."
[12:36] Speaker_A | We'll combine everything after this .
[12:37] Speaker_B | So this is basically the deluxe edition .
[12:41] Speaker_A | Why is it s why is it squared ?
[12:41] Speaker_B | I j
[12:43] Speaker_B | Why is it square ?
"[12:43] Speaker_A | Why did you pick square ? Or uh not square , but why is it yeah , sharp corners ."
[12:44] Speaker_B | It 'cause it's designy .
"[12:53] Speaker_B | Potentially , yeah . I don't really know . But I just thought that uh in normal remote controls you have like smooth curves and this and that , and this is something new , this is something different , something fresh ."
[12:53] Speaker_D | Yeah .
"[13:07] Speaker_B | And basically what you can see here is that it has a little , yeah , let's say gap which you can put your finger in ."
"[13:13] Speaker_A | Yeah . Or Okay , so just yeah , you can rest it on your finger . Okay ."
[13:15] Speaker_D | So only r right-handed .
"[13:15] Speaker_B | So you can you can hold it really comfortable , that's basically the idea ."
[13:18] Speaker_A | Mm-hmm .
[13:21] Speaker_B | Or left hand . I doesn't really matter .
[13:24] Speaker_C | Hmm .
"[13:24] Speaker_B | As you can see , this is the remote control"
[13:24] Speaker_D | Where ?
[13:26] Speaker_A | It's on the back .
"[13:27] Speaker_D | Oh in the back , okay . Oh yeah yeah ."
"[13:28] Speaker_B | Uh you can't really see it that well , but this is the L_C_D_ screen . So just imagine it goes that way . Then you can see you can hold it in your left or in your right hand . And I also made a quick image , 'cause I did not have that much time ,"
[13:31] Speaker_D | Okay .
"[13:34] Speaker_A | Yeah , I think it's okay ."
[13:34] Speaker_D | Oh yeah yeah . Okay . Yeah . Yeah yeah .
[13:46] Speaker_B | of the standard edition
[13:49] Speaker_B | which has basically the keys are pretty much the same .
"[13:54] Speaker_A | Keys are probably the n the number keys , I suppose ."
"[13:56] Speaker_B | Yeah . I had to do this really fast . So excuse me for the uh inconvenience here , but as you can see , the keys moved ."
[14:02] Speaker_A | Okay .
[14:06] Speaker_B | Yeah .
"[14:08] Speaker_B | So these are basically the two types we have . So if we were to select the L_C_D_ screen , the transmitter here , you can see the light i"
"[14:40] Speaker_B | Well we can shift that . But normally , as you can see there , we put the uh number buttons right on top ."
"[14:59] Speaker_B | Because these are basically the functions you use the most . So if you hold it in your hand like this , you put your finger in the gap , this is the m most easy part ."
[15:00] Speaker_D | Well it it's yeah .
[15:09] Speaker_A | Okay .
[15:09] Speaker_B | Bit .
"[15:10] Speaker_C | Hmm , I agree ."
"[15:10] Speaker_B | For zapping , cau because people are zapping most of the time ."
[15:10] Speaker_A | That's fine . That's fine .
[15:11] Speaker_D | Yeah .
[15:17] Speaker_C | Hmm .
[15:20] Speaker_D | Yeah .
"[15:22] Speaker_B | Okay . So that's pretty much ha which I had in mind . As you can see here , this can be spaced for extra keys , which is the design thingys ."
[15:30] Speaker_A | Okay .
[15:33] Speaker_D | No it maybe it's better to look uh what the people want . So I can uh show my uh investigation .
"[15:40] Speaker_A | I think we're going towards the deluxe edition anyway , because that seems to be what the people want . But let's see what's what they want now ."
"[15:43] Speaker_D | Yeah , maybe it's better ."
[15:45] Speaker_B | Yeah .
[15:45] Speaker_D | Especially for young people .
[15:47] Speaker_A | Mm-hmm .
[15:48] Speaker_D | Um where is that ? Where is th
[15:52] Speaker_A | That's mine .
"[15:58] Speaker_A | No , you should send it to the f to the folder first ."
[16:00] Speaker_D | Yeah .
[16:04] Speaker_D | Mm I forgot that .
"[16:04] Speaker_A | Okay um , let's just assume we go to forty one ."
"[16:12] Speaker_D | Okay , now it must be there ."
"[16:17] Speaker_D | Yeah , here it is ."
[16:21] Speaker_D | Oh yeah .
[17:02] Speaker_B | Speech recognition .
"[17:03] Speaker_D | Yeah , tha that's uh very important ."
[17:06] Speaker_D | And a third thing is
"[17:21] Speaker_D | And what the pe young people want is uh in Paris and and in Milan uh it showed out that the fruit and vegetables are uh are trendy . Th they you s you see it in the clothes and everything . And um the contrast uh of it , it must uh the the buttons must a little bit spongy material . So uh rubber , I think uh th that's the best ."
[17:32] Speaker_A | Mm-hmm .
[17:42] Speaker_C | Hmm .
"[17:44] Speaker_C | No . Yeah , uh I agree ."
[17:45] Speaker_A | Mm-hmm .
"[17:47] Speaker_D | No . So we are uh we were focussing uh on the younger people . So the elder , yeah , they wanted a little bit of wood in it and uh that's uh th that's not uh important now ."
[17:47] Speaker_A | I think so .
"[17:50] Speaker_C | Okay , agreement ."
[17:52] Speaker_A | Okay .
"[17:59] Speaker_A | Okay , so we're definitely going for rubber ."
[17:59] Speaker_B | It could be a c it could be a cover . But it's not . Our focus is the young audience . So let's stick to that .
[18:01] Speaker_D | Yeah .
[18:03] Speaker_A | Let's just go
[18:05] Speaker_D | Yeah .
[18:06] Speaker_A | Uh-huh .
"[18:13] Speaker_A | Nah , I think we're in this case you're losing the the focus on the young group , because we're that's what we're focussing on . So I think the spongy feel gives us rubber ."
"[18:16] Speaker_D | Yeah , that's why I I d uh"
[18:22] Speaker_C | Mm-hmm .
[18:22] Speaker_D | With a fruit uh
"[18:26] Speaker_A | Yeah , apparently yeah , maybe also yeah , I tend to disagree with with uh with a sharp form . I suppose it basi if you're uh saying fruits and vegetables , maybe it's supposed to be a little little more round ."
"[18:36] Speaker_D | Yeah , in in form of an uh vegetable or an uh fruit , maybe ."
"[18:40] Speaker_A | Yeah , for exa maybe like uh like a pear or something ."
[18:46] Speaker_C | That's true .
[18:46] Speaker_A | That's what we're doing .
[18:54] Speaker_A | Mm .
"[18:55] Speaker_A | I think shape is is important , because they s they really extend ."
[18:55] Speaker_C | Hmm .
[18:59] Speaker_C | Hmm .
"[19:00] Speaker_C | Oh , that's true ."
"[19:05] Speaker_A | Yeah , but now you have your your like your Star Trek phaser thing shaped control . So I I th the edges are really really sharp . I'm uh not su"
"[19:11] Speaker_B | Well , you can s"
[19:13] Speaker_B | What you can do is smooth the edges indeed . But that will bring extra c expenses .
[19:17] Speaker_C | Mm-hmm .
[19:17] Speaker_A | Or maybe just make it make it up into into a low a smooth curve instead of just less sharp twist on the outside .
[19:22] Speaker_D | Yeah .
[19:26] Speaker_C | Mm-hmm .
[19:27] Speaker_A | I think I think there needs to be a little I think it's too too sharp . The edges are too sharp . The bottom is fine of course if it's square . But maybe just th make uh the top a little round it off on the sides . So I mean y
[19:32] Speaker_D | Yeah .
"[19:38] Speaker_C | But I think , according to my information , this would be two curves ."
[19:43] Speaker_A | That would be two curves .
[19:43] Speaker_D | Two ?
"[19:44] Speaker_C | We have one left and one right , and that disables what was it again ?"
[19:49] Speaker_C | It's some it's something that we cannot do then .
[19:52] Speaker_A | One cur you could also make the curve go through of course . But that would make make the top round .
[19:55] Speaker_B | Well we've got we've got like one curve here .
"[19:58] Speaker_C | Okay , that's not a problem . That's only for the titanium . We don't have ."
[19:59] Speaker_B | For the gap .
[20:01] Speaker_D | But it's that that's for the comfort . It's it's not for the trendy thing of it .
[20:02] Speaker_B | And we could have one here .
"[20:07] Speaker_B | No , no no no no . What I'm just 'cause you mentioned that more curves the more expensive , so I'm just taking that into account ."
"[20:13] Speaker_D | Yeah ? Okay , yeah ."
"[20:15] Speaker_A | But let's see , titanium would give us only one curve . So but we're not d we're not using titanium ."
[20:19] Speaker_D | So the no .
[20:21] Speaker_C | We have no .
"[20:21] Speaker_B | Well we picked rubber , right ?"
[20:25] Speaker_D | We m
[20:27] Speaker_A | Just doodle something on the board on the left .
"[20:40] Speaker_A | Well actually , we're setting ourselves apart from by technology alone actually ."
[20:46] Speaker_A | So that let's see what you're doing .
"[20:49] Speaker_C | They th these wha are what they call the curves . This side , this side , this is how they count ."
"[20:52] Speaker_A | Oh , okay . I don't think like that . Not not really the curves on the on the side of the remote ."
[20:53] Speaker_B | Okay .
"[20:56] Speaker_C | No no . This is what they uh what they mean . Okay , that's not really a good ."
"[20:59] Speaker_B | Okay , so that's basically silly ."
[21:07] Speaker_A | Why the curves
[21:17] Speaker_A | I don't think the outside would be called as a curve really .
[21:21] Speaker_D | Yeah .
[21:22] Speaker_C | It's like this .
[21:32] Speaker_C | Hmm .
"[21:42] Speaker_A | Well , you shouldn't focus on the mostly on the covers , because lot of things we came up with , shouldn't be too really too much shouldn't be too focussed on the covers because it's kind of an idea of our own , but we're not sure if we can actually make that ."
[21:49] Speaker_C | Hmm .
[21:49] Speaker_D | Like this .
"[21:51] Speaker_B | But if we put that directly into the design , we limit ourselves extremely . Because it that's just for one seasonal trend ."
[22:02] Speaker_D | Oh .
[22:04] Speaker_C | Hmm .
[22:08] Speaker_D | I d
"[22:16] Speaker_B | Okay , so that's well , that's probabl"
[22:20] Speaker_C | Hmm .
"[22:24] Speaker_A | I think so because it looks leaner and we should just go with that . Anyway , you have all the time in the world to make to make the final design in a minute with him . So So we decided on what what did you guys wanna know again because this is um anyway , I'll fire up my thing . So so we come to a decision ."
[22:26] Speaker_B | Okay .
[22:28] Speaker_D | Hmm .
[22:41] Speaker_B | Did you present e everything you wanted to ?
[22:45] Speaker_C | Yep . So I can uh qui oh . I can quickly make a conclusion
[22:46] Speaker_B | Okay .
[22:51] Speaker_C | of what we have decided so far .
[22:54] Speaker_B | Uh we still need to decide on a couple of things you you needed to know .
[22:57] Speaker_A | Ah .
[23:03] Speaker_A | Yeah .
"[23:07] Speaker_A | Okay , anyway . Uh energy , we choose regular regular batteries . The chip is advanced because we have the advanced features . The case , it will be the material will be rubber , suppose . Wouldn't the b the design we talked about . Uh user interface , type ."
[23:12] Speaker_D | Yeah .
[23:53] Speaker_D | Yeah .
[24:02] Speaker_C | Hmm .
[24:08] Speaker_C | Hmm .
"[24:09] Speaker_B | Are we all in agreement about the , well , the primary structure of the of my design ? Except for the edges . Like the keys there ."
"[24:16] Speaker_A | Lef let's see , where the pen go ? Here ."
[24:19] Speaker_A | Yeah uh open your thing again . Let's see what if you can come up with anything new . Um I'll just do a next one .
"[24:27] Speaker_A | So what would give us your ne your design would be the lights would be on top , right ? Uh one on each one on each side ."
[24:32] Speaker_B | Yeah .
[24:38] Speaker_B | That was basically what w
[24:44] Speaker_B | Light for the finding of the remote . We can also use one light for
"[25:08] Speaker_B | So we have the teletext we have here , we have the mute ."
[25:12] Speaker_A | Uh sh Oh .
[25:12] Speaker_B | L_C_D_ screen . This is the on off button .
"[25:18] Speaker_B | Speech recognition , I where did I imagine . I did that pretty much over here , so that you could use it like this"
[25:26] Speaker_D | Record and a uh no .
"[25:27] Speaker_B | and speak to it . Then you have the uh extra keys for teletext , mute , two buttons which can be pretty much anything or nothing . We can also just not use them ."
[25:43] Speaker_D | Yeah .
[25:44] Speaker_A | One light here .
[25:49] Speaker_B | Will be fine .
"[25:50] Speaker_A | Okay , whatever . Fine , anyway . What do we have here ? M I'll make it um are we gonna use square buttons or round ones actually ?"
[26:02] Speaker_A | Personally I would prefer round ones .
[26:04] Speaker_C | Me too .
"[26:05] Speaker_B | Yeah , but that would this was just in the design . Because if you I had a square design . So I had square buttons . But in that case the round buttons would be more appropriate ."
[26:05] Speaker_D | Form of fruit . It's better .
[26:07] Speaker_C | Hmm .
[26:10] Speaker_A | Okay .
"[26:13] Speaker_A | Okay , I assume it for so we take a r take a round power button right here ."
[26:25] Speaker_A | Uh not too big though .
[26:29] Speaker_A | See this would be good .
[26:35] Speaker_A | Um let's see .
[26:39] Speaker_A | Are these for any extra controls ?
[26:42] Speaker_A | Okay .
"[26:48] Speaker_A | Okay . If we go for for round buttons in general , do we want to the menu key in the middle to be round ? For example , if you let's see , put it this here . I think we'll go with the triangles that Come on ."
"[27:04] Speaker_B | Yeah , the triangles would be best indeed ."
[27:06] Speaker_A | Triangles are good .
"[27:15] Speaker_A | Anyway , okay . So do you want for example a"
[27:21] Speaker_A | round button in the middle or square one ?
[27:28] Speaker_C | Hmm .
"[27:30] Speaker_A | I'm not sure uh , I just just came up with it ."
[27:30] Speaker_D | Yeah .
"[27:37] Speaker_A | Okay . We'll just take the take the round button , suppose . Uh oh the square button , sorry ."
[27:45] Speaker_B | Does everybody agree on that ?
[27:46] Speaker_D | Yep .
[27:47] Speaker_A | I suppose so .
"[27:47] Speaker_C | I would prefer round . But doesn't matter , doesn't matter ."
[27:48] Speaker_B | You prefer a round ? Okay .
[27:52] Speaker_A | Okay .
"[27:52] Speaker_C | That's not a big deal , think ."
"[28:03] Speaker_A | So there's our numbers . Think we need an extra button here of course for yeah , like you had for the"
[28:10] Speaker_A | higher numbers .
"[28:14] Speaker_A | And you could include a button here for the mute , I suppose ."
"[28:18] Speaker_A | For something else , just to"
"[28:22] Speaker_B | Yeah , you can . But it but it's not necessary , becau"
"[28:34] Speaker_A | Nah , I think it it would be nice to put the logo here , for example , if you have some buttons here ."
"[28:41] Speaker_A | We could put a logo here because it's very always in your field of vision . If you're watching it , the L_C_D_ screen , blah blah ."
[28:44] Speaker_D | And what about Oh .
[28:48] Speaker_D | What about a button for your uh favourite channel ?
[28:52] Speaker_B | Oh that could be that b
[28:52] Speaker_A | Well we could we could include either here
"[28:56] Speaker_A | or here , for example . But you think here or here ?"
[29:00] Speaker_A | I know .
"[29:07] Speaker_A | No , we could put this one as favourite channel for exam"
"[29:08] Speaker_D | One of the four . Uh , it's better than , I think ."
[29:11] Speaker_A | What are these for ? Okay .
"[29:11] Speaker_B | One of the four is better , I suppose ."
[29:13] Speaker_D | It's a favourite channel .
[29:15] Speaker_A | What ?
"[29:19] Speaker_B | Because it's a little bit confusing to have twelve buttons down there , because you're only accustomed to eleven , I'd say ."
[29:19] Speaker_D | It's better th
[29:28] Speaker_A | You're accustomed to eleven ?
"[29:30] Speaker_A | My uh okay , have it your way . I mean , think this looks rather like like there's something missing for example . I mean why wouldn't you include a 'cause there is a um a piece of electronics under there anyway . So why not give it a function . Let's say I mean could be anything . But th"
"[29:34] Speaker_B | Oh , we still need an okay button ."
[29:43] Speaker_C | Hmm . Hmm .
"[29:47] Speaker_B | Well , you could also shift the two buttons to be nicely aligned ."
"[29:50] Speaker_A | No , I don't think because this is a zero . But you want zero to be mis-aligned with the rest . Anyway , so this is the basic design , we wanna have um on and off what are we missing ?"
[29:53] Speaker_D | Yeah .
"[30:18] Speaker_A | probably think you want the curve to be here . So have your finger under here like this , I suppose ? Okay ."
"[30:23] Speaker_B | Yeah , pretty much ."
[30:26] Speaker_A | Just gonna be sh
[30:29] Speaker_D | Hmm .
[30:32] Speaker_A | Yeah . Want this straight or what ? Let's keep it at this .
[30:37] Speaker_A | So it would be like this .
[30:40] Speaker_A | Do we want something interesting with it or see .
[30:51] Speaker_A | Should like this ?
[30:55] Speaker_D | Mm .
[30:55] Speaker_C | Huh .
[30:58] Speaker_C | It can be curved .
[30:58] Speaker_D | Why ?
"[30:59] Speaker_B | It can be curved , because that yeah , it's a little bit more trendy to be curved ."
[31:00] Speaker_C | Yes .
[31:03] Speaker_A | It can be curved . Okay ? I think so . That's why I asked you .
