[03:20] Speaker_C | Okay .
"[06:21] Speaker_A | It's probably can't email this to you , I've just got a web page with some data on it . Um basically it's saying that"
[06:30] Speaker_A | users generally dislike the look and feel of their remote controls . Um seventy five u seventy five percent of users find most remote controls ugly . Um .
[06:40] Speaker_B | Mm-hmm .
"[06:42] Speaker_A | Eighty percent of users would spend more money when a remote control would look fancy . Um . Current remote controls do not match well the operating behaviour of the user . Uh seventy five percent of users said they zap a lot , so they use their remote control quite frequently while they're watching television . Uh . Fifty percent of users say that they only use ten percent of the buttons , so they've got a remote control with a lot of functionality but really most of the time they only use a small part of that ."
[07:09] Speaker_B | Mm .
[07:11] Speaker_A | Um .
[07:13] Speaker_B | Do you Do you have this uh information on the web page you said ?
[07:15] Speaker_A | I have an a web page yes .
"[07:17] Speaker_B | Yes , mayb maybe you can can send an email to me later uh ."
"[07:20] Speaker_A | Yep . Yep , sure ."
[07:22] Speaker_B | Uh about this .
"[07:23] Speaker_A | Mm-hmm . So basically um there's a breakdown of how much they use the different functions on a rem remote control . Um , power and volume selection are only used a few times within this uh per hour . Um , channel selection is used a hundred and sixty eight times um and then there's things like channel settings , audio settings , which are only used very infrequently . Um . Teletext is used um fourteen times in the hour , so it is used but not nearly as much as the channel selection is used . Um ."
[07:47] Speaker_B | Mm .
[07:55] Speaker_B | Mm .
"[08:00] Speaker_A | An interesting thing that this report has brought up is that um fifty fifty percent of users report that the remote control gets lost a lot of the time in the room , so some way of some way of locating the remote control would be very useful to a lot of users . Um . Thirty four percent said it takes too long to learn to use a remote control , they want something that's easier to use straight away , more intuitive perhaps ."
"[08:10] Speaker_B | Yes yes , I have that too ."
[08:25] Speaker_B | Mm .
[08:26] Speaker_A | Um .
[08:29] Speaker_A | Thirty four percent said it took too much time to learn to use a new one . Yep .
[08:31] Speaker_D | Okay too much time to learn . Okay .
[08:34] Speaker_A | Um . And thirty twenty six percent said remote controls are bad for R_S_I_ . I don't know how we'd go about combating that . For R_S_I_ ? Respet Repetitive strain injury .
[08:45] Speaker_C | Okay .
[08:46] Speaker_B | Mm .
[08:49] Speaker_B | They think that or do their doctor the doctor says ? But it's it's the opinion of the uh of the users huh ?
[08:51] Speaker_A | Mm .
[08:56] Speaker_B | So mm .
"[09:04] Speaker_A | Uh I should be able to actually , if I email it to you now ."
[09:06] Speaker_C | You can disconnect it there no ?
[09:09] Speaker_D | Ah it's it okay it's a webpage on the C_ it's a file okay . O otherwise you yeah .
"[09:09] Speaker_A | Oh no , yeah ."
"[09:12] Speaker_A | Yeah . Um , s hang on ."
[09:15] Speaker_C | Then you can connect this one or this one yeah .
[09:16] Speaker_D | You can connect this one .
[09:20] Speaker_C | All to your computer .
[09:25] Speaker_D | Yeah .
[09:27] Speaker_A | Well .
[09:33] Speaker_C | Oh yeah .
[09:34] Speaker_A | Oh I need to muck around with this . It's probably easier if you put it on yours and then I'll just email it to you . It's just a web link .
[09:39] Speaker_B | Hmm .
[09:49] Speaker_C | Okay .
[09:51] Speaker_D | Yeah these numbers have have to be have to be taken into account
[09:56] Speaker_D | for the uh both yeah user interface and functional design .
[09:59] Speaker_C | Yeah .
"[10:00] Speaker_A | One thing it goes on to talk about , which is interesting , is the hang on a minute ."
[10:06] Speaker_D | Because if there are many numbers and we need to select to to constraint uh our design based on what is more important .
[10:13] Speaker_A | Mm-hmm .
[10:14] Speaker_B | Mm-hmm .
"[10:15] Speaker_A | Yep . Um , one thing is interesting is talking about"
[10:23] Speaker_A | um speech recognition in a remote control .
[10:26] Speaker_A | And who would pay more for that and whether people would find it useful .
[10:29] Speaker_B | D do you have numbers o o on that ?
[10:30] Speaker_D | Ah okay .
"[10:31] Speaker_A | Yes , I'll just get this up ."
[10:35] Speaker_D | So that we don't Do we not need any button on the remote control it would be all based on speech . Okay .
[10:42] Speaker_A | I think even for interesti yeah I think that would not work so well . You wanna have both options .
[10:43] Speaker_D | Interesting idea .
[10:48] Speaker_D | Okay .
[10:56] Speaker_B | Well it would it would be a solution for uh when your
"[11:02] Speaker_B | remote control is lost , I mean when it has speech recognition then"
[11:04] Speaker_A | Mm-hmm .
[11:07] Speaker_D | Yeah .
"[11:07] Speaker_B | uh i then it doesn't matter where it is , my well it's we should be in range , or maybe it can respond and produce sound , so say where it is . But the these are all quite fancy features I'm not sure whether"
[11:11] Speaker_A | Mm .
[11:16] Speaker_D | Yeah .
[11:21] Speaker_C | Well it would be f
[11:22] Speaker_B | we will we can make this for for twelve Euro fi and fifty cents .
[11:25] Speaker_D | Yeah .
[11:26] Speaker_A | Yeah .
[11:27] Speaker_C | No you can't .
"[11:27] Speaker_D | And we don't know where the state of the art of speech recognition is , maybe you know ?"
[11:32] Speaker_C | Oh .
"[11:34] Speaker_C | Well , it depends you know like"
"[11:37] Speaker_C | there is uh it's a very small vocabulary that you want to do the operations like you want to say on , off ,"
[11:45] Speaker_B | Mm .
"[11:46] Speaker_C | one , two ,"
[11:47] Speaker_D | But it's quite noisy if there is the T_V_ uh shouting .
[11:48] Speaker_A | Mm .
"[11:49] Speaker_C | twenty three , yeah . It's it's going to be li it's not going to be s so easy but"
[11:50] Speaker_A | Yeah .
"[11:50] Speaker_B | Yes , that that that that's mm ."
[11:55] Speaker_C | u usually it's going to be more of an isolated
[11:59] Speaker_B | Do you have some more important facts or
[11:59] Speaker_C | case but it's but I don't know with twenty fi
[12:00] Speaker_D | Okay .
[12:01] Speaker_B | can we go to the next presentation ?
"[12:05] Speaker_A | This is now talking about um who would pay for speech recognition in a remote control , who would pay more for it , um ."
"[12:12] Speaker_A | Ninety percent of the fifteen to twenty five year old market said that they would pay more , it goes down from there , seventy six percent for twenty five to thirty five , thirty five percent for thirty five to forty five , um twenty two percent for forty five to fifty five and then eight percent for fifty five to sixty five . Yeah . But we sh Yeah , it really depends where we're gonna be targeting this product , um , which we'll be talking about later I think ."
[12:27] Speaker_B | Mm .
[12:27] Speaker_C | Okay it's uh decline . Okay .
"[12:30] Speaker_B | Mm-hmm . Decline with age , mm ."
[12:35] Speaker_D | Mm .
[12:37] Speaker_B | Yes . We will talk about it later . Okay .
[12:39] Speaker_A | Did you get the email ?
[12:47] Speaker_D | Mm-hmm .
"[12:47] Speaker_A | Yep , that one . Just follow that link ."
[12:55] Speaker_D | I thi You us yeah yeah .
"[12:56] Speaker_A | It'll be in a different window , yep ."
[12:59] Speaker_A | That's left that one .
[13:02] Speaker_A | Yep .
[13:03] Speaker_D | Okay perfect .
[13:04] Speaker_D | .. .
"[13:08] Speaker_A | Mm . So that's the figure that I was just talking about there , with the different demographics . Another thing it's talking about there is the L_C_D_ screen but there's no figures apparently on that ."
[13:10] Speaker_C | Okay .
[13:17] Speaker_D | Mm 'kay .
[13:18] Speaker_B | Mm . Okay . um
[13:23] Speaker_B | Uh maybe uh Mael c c can you give uh uh your presentation uh ?
[13:27] Speaker_D | Yeah .
[13:39] Speaker_C | Now you can move I think yeah .
"[13:40] Speaker_B | Mm-hmm , y y you can move , uh ."
[13:48] Speaker_D | Maybe I take your chair ? I okay .
[13:50] Speaker_B | Yes . You can you can sa take my chair .
"[13:52] Speaker_C | It's a channel selection , a module , this and this function , go to the ."
[13:55] Speaker_A | Sorry ? Oh .
[13:58] Speaker_C | Yeah .
[13:59] Speaker_D | So I think as everybody knows uh I'm the uh Industrial Designer .
"[14:09] Speaker_D | And uh in this presentation uh this group presentation um is gonna focus on the working design of the the remote control . Um I'd like first to give a quick a very simple introduction , how does it work , so that everybody knows even if you don't have a very uh technical background uh what is it because I think in the product it is important ."
"[14:33] Speaker_D | So basically um the basic function of a remote control is to send uh messages to another system that is fixed . And so an energy source feeds an integrated circuit , the chip , that can compose messages , usually uh through a um infrared bit and uh the user interface controls the chip and accordingly the the messages , alright ."
[14:41] Speaker_A | Mm-hmm .
[14:53] Speaker_A | Mm-hmm .
[15:01] Speaker_D | So my method for um designing the yeah the work design uh yeah first the the main point is that I would wish to to make a really functional product . I would prefer to have very functional um capabilities rather than fancy stuff that in fact is not used and doesn't work . So for that yeah as it's important to take into account the user requirements from the Marketing uh Expert uh Anna and um
[15:25] Speaker_B | Mm .
[15:25] Speaker_A | Mm-hmm .
[15:34] Speaker_A | Mm-hmm .
"[15:38] Speaker_D | w to to we should agree on what are the technical functions uh for this remote control and I show you the the working design . So um basically uh here is a really large view of what we want . Uh we want an on off button , it can be uh it's simple but it's it's important , and also uh the to both channels as well as other buttons that come after , right ."
[16:02] Speaker_A | Mm .
"[16:12] Speaker_D | So the components I quickly draw here , is that in this part you have the remote control the the sender and on the other part the receiver so that's my method is um will be to well my aim would be to uh design the and choose the chips and the infrared um components to build the remote control right ."
[16:38] Speaker_A | Mm-hmm .
[16:39] Speaker_B | Mm-hmm .
"[16:39] Speaker_D | So of course we need energy sources and uh uh the receiver a a receiver . This is very quick uh design , uh you stop me or interrupt me if uh you don't agree on it on that ."
[16:54] Speaker_B | Mm-hmm .
[16:55] Speaker_D | And um so what I have found and after a lot of work actually I I draw this I draw for you this uh schema that can be maybe too technical for you but is very important for me you know . And uh that's it so I won't go into details about that but uh these are my preferences to use uh that kind of components .
[17:07] Speaker_B | Uh-huh .
[17:12] Speaker_A | You drew it a long time ago ?
[17:13] Speaker_B | Is huh
[17:15] Speaker_B | overwhelming .
[17:23] Speaker_B | No .
[17:28] Speaker_D | So .
[17:36] Speaker_D | So the the main components you see here are the cheapest I have found and
"[17:43] Speaker_D | yeah th you have always a compromise with uh reliability and uh i if it's expensive , but uh this one was not this one also really uh reliable um so"
[17:47] Speaker_B | Mm .
[18:09] Speaker_B | Yes .
[18:14] Speaker_B | It it
[18:16] Speaker_B | it's more clear now I think .
[18:19] Speaker_C | But is it uh can you just buy it on the market and f plug it in or you want to ma
[18:28] Speaker_B | Mm-hmm .
"[18:30] Speaker_B | What I w what I was thinking about uh the the the schema uh about uh the sender and the receiver , I mean can you can you get back to it ?"
[18:37] Speaker_D | Yeah .
[18:49] Speaker_D | Of course yeah .
[18:58] Speaker_D | Yeah . We will use uh infrared protocol uh using yeah infrared and uh
[19:07] Speaker_D | and of course we need to adapt to that protocol that already exists and but we what we can do is uh uh adapting the the chips inside uh to the best uh chips and uh infrared bubbles .
[19:09] Speaker_B | Mm-hmm .
[19:19] Speaker_B | Mm . Mm . Mm . Mm .
[19:23] Speaker_B | Yes . Okay .
[19:30] Speaker_B | Thank you .
[19:30] Speaker_C | Well it to du it's just you had to change the frequencies .
[19:34] Speaker_D | The frequencies ? Yeah yeah . Of course yeah in the chip you have it yeah .
[19:35] Speaker_C | Yeah .
"[19:38] Speaker_C | But you should be careful , people are sometime becoming problem , like a guy has recently designed a remote uh uh uh which could switch off any other T_V_s , so basically through all the things . So maybe we should think of yeah ."
[19:46] Speaker_D | That can control o other things .
[19:50] Speaker_D | Yeah .
[19:52] Speaker_B | Mm .
[19:52] Speaker_A | Ah .
"[19:58] Speaker_A | That's handy . So if the b T_V_ in the next apartment's really loud , you can just turn it off ."
[20:08] Speaker_A | Yeah .
[20:08] Speaker_B | I I feel I I I think M Mael will will consider this uh th these things . Maybe Maybe we can go to to your presentation uh Matthew . I I I assume you were finished here . Uh okay .
[20:10] Speaker_A | I like that idea .
[20:18] Speaker_C | Yeah so .
[20:20] Speaker_D | Yes .
"[20:21] Speaker_C | Okay . So I can take I think mine now there . Okay so voila . Hmm I can take mine it's okay , voila , mm so mm ."
[20:27] Speaker_D | Okay .
[20:47] Speaker_C | Okay .
"[20:52] Speaker_B | Uh , sorry ? I know where it is ."
[20:54] Speaker_C | It's on the desktop .
[20:56] Speaker_C | Technical function . Okay .
[20:58] Speaker_B | Yes .
"[21:01] Speaker_C | Like so . Well . So um I'm going to talk a little bit about the technical function so wha what actually it's about what is the user going to do , I think my last presented what is going inside , so what's the user is going to see from the outside and how he is going to use it . So well the approach is that uh"
[21:13] Speaker_A | Mm-hmm .
[21:15] Speaker_A | Yep .
"[21:25] Speaker_C | basically the idea is to send a message to the T_V_ set , as Mael has pointed , and it will be decoded by the T_V_ and usually we it is easier to have uh keys or buttons with which people can uh press and then um changing a button will basically uh change the message which is being sent to the T_V_ and uh um a and basically it sends an internal signal and decoded by the receiver ."
[21:48] Speaker_D | Mm-hmm .
"[21:54] Speaker_C | So p as um Anna has said that this ki people are interested in things which are you don't need to k press the keys , people are can have a speech recognition but this is uh s a question which will we have to see later . But in the present scenario is that you have certain keys and you press it like your mobile phone , and it sends a message to the T_V_ . And um so generally mm I don't have some figures sorry but um so there are two kinds of uh remote if you popularly in the household , actually so you have a standard T_V_ remote where you have just a on , off button and play , uh volume change and uh keys for the number and more than one digit option ."
[22:11] Speaker_B | Mm-hmm .
[22:21] Speaker_B | Mm .
[22:22] Speaker_D | Yep .
"[22:45] Speaker_C | And if you see for example righ right now uh uh even the one uh on more than one digit option is for two digit channel which is like ninety nine , but tomorrow you might have one fifty channels you know to browse or two hundred channels to browse who knows , but uh uh . Then there is uh this is the standard one with without any fancy thing you know like i it doesn't have teletext option , it can without any , it's a very simple thing , um which which you can vouch ."
"[23:17] Speaker_C | And then you have uh what's the v video remote file which is like usually it has almost all the keys over there and , but it then it has other options like stop uh and then you play the movie or uh or fo fast forward the movie or something like that so i it has those so these are the standard uh commonly found remote controls in the uh market ."
[23:35] Speaker_A | Mm-hmm .
"[24:23] Speaker_A | Okay . How would that work ? So you've got say maybe a V_C_R_ and a T_V_ which are separate , so you on my one at home I've got a V_C_R_ remote which then changes the channel on the V_C_R_ and doesn't do anything on the T_V_ , so is it gonna be like a switch on the remote that says t use the T_V_ or use the V_C_R_ ? or does it know which one you want to use ?"
[24:33] Speaker_C | Yeah .
[24:34] Speaker_C | Yeah .
[24:51] Speaker_A | Mm-hmm .
[25:02] Speaker_A | Mm-hmm .
"[25:08] Speaker_C | I in a few days you will be ha in in few ye coming years you might even have a system where you have a separate uh sitting setup box and uh you have uh um something like uh uh you do you do you suppose you are not able to watch some programme and actually it downloading all the time for you and uh you can just you know uh when you come back you could just switch on that thing and uh watch a program . In that case you want to browse faster , browse slow , you want to have those kind of functionalities ."
[25:16] Speaker_A | Mm-hmm .
[25:24] Speaker_A | Mm-hmm .
[25:26] Speaker_A | Mm .
[25:33] Speaker_A | Mm .
[25:37] Speaker_A | Mm .
[25:38] Speaker_B | Mm mm mm mm mm .
[25:40] Speaker_A | Mm .
[25:40] Speaker_D | These are kind of next generation functionalities .
"[25:42] Speaker_C | It's the next generation thing , but it is going to come in couple of years . It's goi"
"[25:43] Speaker_B | Mm yes , but I think it's i i it's already there , I mean the hard disk uh recorders uh I I've seen them in the shop ."
[25:44] Speaker_A | Mm .
[25:49] Speaker_A | Mm .
[25:49] Speaker_C | Yeah .
[25:50] Speaker_C | Yeah . So it's going to record your things and you and you you need basically the functionalities what you need in both uh uh video as well as in the standard T_V_ thing .
[25:51] Speaker_D | Mm 'kay .
[25:51] Speaker_A | Yeah .
[25:54] Speaker_A | Mm .
[25:56] Speaker_A | Yeah .
[25:58] Speaker_A | That's fair enough .
"[26:00] Speaker_A | Mm . But I don't think we're trying to make a universal remote here . That's , yeah ."
"[26:04] Speaker_C | No no we are not making a universal remote , we are just looking at uh giving a scenario , I have a T_V_ and tomorrow I am going to have set up box which is going to sit there and uh it's going to do that job for me ."
[26:11] Speaker_A | Mm .
[26:13] Speaker_A | Mm . Because y
[26:15] Speaker_B | W w w w we need to decide on on on on in how far we go to in this .
[26:20] Speaker_A | Mm-hmm .
"[26:22] Speaker_B | Mean , you can go pretty far I f I think with with with functions and possible uh future p uh prospects yes ."
[26:22] Speaker_A | Mm .
[26:26] Speaker_A | Mm .
[26:29] Speaker_A | Yep .
[26:31] Speaker_B | But it's good to keep in mind .
[26:32] Speaker_A | Mm .
[26:33] Speaker_C | Okay so that p ends my presentation .
[26:36] Speaker_B | Mm . Very well .
"[26:36] Speaker_C | Well . So we can always discuss about it for example uh the presently the video market actually uh this demand , video over-demand or what we call it as , it's presently booming up actually so it i like people are providing like uh things like uh uh movies , you can select actually so you want to watch a movie and uh your p your provider gives a list of movies , and then you select those list . And it basically you go off , it downloads the movie , it gives for you and then when you come you want to loo watch it on your T_V_ . And thi this is going to come ."
[26:49] Speaker_D | Mm-hmm .
[26:50] Speaker_A | Mm .
[26:52] Speaker_A | Yeah .
[27:08] Speaker_A | Mm-hmm .
[27:08] Speaker_D | Yeah .
[27:13] Speaker_D | Yeah .
[27:13] Speaker_A | Mm .
[27:17] Speaker_B | Good .
"[27:19] Speaker_D | Or even you don't need to download it , it's streamed uh online uh yeah . Yeah ."
[27:26] Speaker_D | Yeah .
[27:27] Speaker_A | Mm .
[27:28] Speaker_C | Yeah so .
"[27:28] Speaker_B | Um ,"
[27:30] Speaker_C | Yeah .
[27:30] Speaker_B | so u um I have uh received some some some some well points of of thinking over of my account manager and uh I would like to share them with you . Um
[27:41] Speaker_A | Mm-hmm .
[27:41] Speaker_D | Mm-hmm .
[27:42] Speaker_B | first thing is uh teletext is a well known feature of televisions but it's it's getting used less and less .
[27:47] Speaker_A | Mm-hmm .
"[27:51] Speaker_B | That's that's especially because of the internet of course . So we should think about it um . Do we include it , and do we give it a prominent uh prominent uh place on on on the on well huh"
[27:55] Speaker_A | Hmm .
[28:08] Speaker_B | on the remote mot control itself .
[28:08] Speaker_A | Mm .
"[28:11] Speaker_B | Uh as uh a in any case it's it's not used , well very much , but it's it is still used . Um"
[28:17] Speaker_A | Mm .
[28:19] Speaker_C | Um .
"[28:22] Speaker_B | further yes we must think , uh do we stay uh to to television only , the television as we as we all know it with with broadcasting signals and you can't go back uh huh , or do we uh uh go further as Matthew indicated by supporting uh uh recording uh devices ?"
[28:45] Speaker_B | Uh indeed indeed . And and and the hard disk recorders .
[28:45] Speaker_A | So D_V_D_s and V_C_R_s ? Mm .
"[28:52] Speaker_B | Um , furthermore , uh , w we need really need to interest uh y younger customers and then with younger customers I mean people uh below the age of forty ,"
[29:09] Speaker_B | and our our current customers are mainly forty plus uh which well Forty .
[29:14] Speaker_A | Mm-hmm .
"[29:18] Speaker_B | So that's to that's I mean there's a market but uh they will grow older older and you'll al always need to have the the future with younger people . Um therefore ,"
[29:30] Speaker_A | Mm-hmm .
[29:41] Speaker_B | make our our our R_C_ as trendy as possible but
"[29:46] Speaker_B | it should also be uh have a reliable image , so when it looks too too spacey or too fancy people will think well does it work at all ."
[29:56] Speaker_B | Hmm .
[29:56] Speaker_A | Mm .
[30:09] Speaker_A | Mm-hmm .
[30:14] Speaker_A | Mm .
[30:29] Speaker_D | Mm-hmm .
[30:30] Speaker_A | Mm .
[30:36] Speaker_C | Yeah so .
[30:41] Speaker_D | Yeah .
[30:41] Speaker_B | Hmm .
[30:43] Speaker_B | Yes yes mo
"[30:43] Speaker_D | Because they are already used to that , you know , product . Yeah ."
[30:50] Speaker_B | Mm mm .
[30:52] Speaker_B | And and they are skilled uh by using it .
[30:55] Speaker_A | Mm .
[30:58] Speaker_D | Mm-hmm .
[30:59] Speaker_D | .. .
"[31:02] Speaker_C | Okay , it works . Fine . So , for example you have uh presently uh keys like one , two ,"
[31:07] Speaker_B | Mael can you hand me over this uh ?
[31:08] Speaker_D | Yes .
[31:13] Speaker_B | Uh thank you .
"[31:14] Speaker_C | three like this , actually , and uh uh four five six like that and uh you can have keys like this in form like"
[31:15] Speaker_A | Mm-hmm .
[31:26] Speaker_C | uh keys like that
[31:26] Speaker_A | Okay .
[31:28] Speaker_A | How much longer have we got for the meeting by the way ? 'Cause we haven't talked about demographic at all and it's a very important issue .
[31:30] Speaker_B | Mm well I think fi five min Mm-hmm .
[31:31] Speaker_C | Forty minutes ?
[31:33] Speaker_C | Yeah so you you you can have uh keys like uh which are which are like so .
[31:54] Speaker_A | Mm-hmm .
[32:01] Speaker_A | Mm .
[32:07] Speaker_A | Mm .
[32:13] Speaker_D | Mm-hmm .
[32:16] Speaker_A | Mm .
[32:18] Speaker_B | Okay .
[32:20] Speaker_B | 'Kay I I think now that the idea's clear . Uh we should now uh try to decide um on our target group .
[32:21] Speaker_D | Yep .
[32:22] Speaker_C | Yeah .
[32:22] Speaker_A | Mm .
"[32:31] Speaker_A | Yeah . Which I think is quite tricky . Um , basically we're trying to get people to buy a remote control wouldn't they already have a remote control with their television when they buy one ?"
[32:33] Speaker_C | Yeah .
[32:41] Speaker_B | Of course they have already one . So our our our remote control has to be better .
[32:45] Speaker_C | Mm-hmm .
"[32:45] Speaker_A | But it's not going to have more functionality , 'cause it's only a low market , it's a cheap-end remote control , we can't beat modern functionality , we might we'll be able to beat them on th the look of it , th the design of it but that's not a big seller , if they're not just going to buy a new remote control just 'cause it looks pretty , they have to actually need it as well . So I'm not sure how we can get people to buy this thing ."
[33:02] Speaker_B | Mm-hmm .
[33:08] Speaker_B | Mm . I well I think many people said uh in your in in your research uh uh
[33:16] Speaker_A | Mm .
[33:21] Speaker_A | Yeah . But why are they buying one in the first place ?
[33:24] Speaker_B | Indeed .
[33:26] Speaker_B | So that will be about
"[33:32] Speaker_A | Mm . But if people are buying a new remote control for functionality they'll buy a universal remote . I've got friends who've got so many things they need a universal remote , otherwise they're using five different remotes for their all their things . In that case they wouldn't buy our product , because it doesn't give them what they need in terms of functionality ."
[33:42] Speaker_B | Mm . Mm-hmm . Mm .
"[33:53] Speaker_A | Well , we can't , with the price range . We We're not building a universal remote , we're not building a high end product ."
[33:57] Speaker_B | What do What do you think about What componen
[34:00] Speaker_D | Yeah we have yeah twelve point five Euros uh per uh per R_ s R_C_ and I think uh with this now you know that chips are very uh cheaps and uh we can include it in our control some new new features . Yeah .
[34:03] Speaker_A | Mm .
[34:12] Speaker_A | Mm-hmm .
[34:19] Speaker_A | Mm .
[34:21] Speaker_A | But yeah .
"[34:23] Speaker_A | If we're getting into universal remote territory , we're getting to L_C_D_ screens and things like that which would drive the cost up a lot ."
"[34:31] Speaker_D | I don't think L_C_D_ is not necessary well , th for long term ."
[34:33] Speaker_A | If you mm .
[34:35] Speaker_B | I think thi this could be this could be a market because uh universal remote controls uh tend to be uh quite expensive .
"[34:43] Speaker_A | And quite complicated to use , yes ."
"[34:44] Speaker_B | S so we can try to go in between , and offer a product which is not as expensive and not as"
"[34:51] Speaker_A | Mm-hmm . Not as flexible maybe , yeah , but s yeah ."
[34:53] Speaker_D | Yeah .
[34:54] Speaker_B | but but still but still people have the idea this is more functional than a normal uh uh
[35:02] Speaker_B | R_C_ because it has more uh it it is in some kind universal .
[35:02] Speaker_D | Yeah .
[35:02] Speaker_A | Mm-hmm .
[35:06] Speaker_A | Mm-hmm .
[35:08] Speaker_A | But if we're going for the say fifteen to twenty five age group then not many of them would actually own T_V_s to use a remote control on .
[35:16] Speaker_B | Mm yes but w we're targeting I think on more on the on the twenty to forty group .
[35:22] Speaker_A | Okay . So they're yeah .
[35:25] Speaker_B | People yes . Who just have or already have a job and have the money but
[35:30] Speaker_A | Mm-hmm .
[35:33] Speaker_B | may not want to spend that much money on a on a universal universal control .
[35:35] Speaker_A | Mm-hmm . Yep .
"[35:38] Speaker_A | I don't know really what the the price range for remote controls is . Are we gonna be at the very bottom of the price range , or are we kind of middle to bottom ? I don't know ."
[35:46] Speaker_B | Uh well
[35:47] Speaker_D | Mm .
[35:51] Speaker_B | I think uh when we think it over I thi I think we are trying to offer the a kind of universal control for for less money .
[35:53] Speaker_A | Mm .
[35:59] Speaker_A | Mm-hmm .
[36:00] Speaker_D | Yeah .
[36:02] Speaker_B | So d Do you agree ?
[36:06] Speaker_C | Well I it's fine with me like the price as long as it is uh not too expensive .
[36:14] Speaker_C | Our provin
[36:27] Speaker_A | Mm .
[36:27] Speaker_C | Mm .
[36:37] Speaker_B | Mm-hmm . You think it's possible for the twelve Euro fifty ?
[36:40] Speaker_D | Yeah .
[36:41] Speaker_B | Okay .
[36:42] Speaker_B | Um so
[36:45] Speaker_B | then we we decide on on on going to this more universal kind of control .
"[36:50] Speaker_C | Uh yeah , that's that's what we needed basically ."
[36:53] Speaker_A | Mm-hmm .
[36:53] Speaker_B | Mm . Mm . Okay .
"[36:55] Speaker_D | Yeah that's needed , yeah . And if we want to get the market , we really need that ."
[36:57] Speaker_A | Mm .
[36:58] Speaker_A | Yeah .
"[36:59] Speaker_A | Yeah . So I guess what I'd like from a universal remote is maybe choosing between three devices , being able to switch between them , there may be stereo , V_C_R_ and T_V_ ."
[37:05] Speaker_D | Yes .
[37:09] Speaker_C | Yeah .
"[37:10] Speaker_A | And just be able to s use them all from the same remote , but not at the same time ."
[37:10] Speaker_B | Yes .
[37:13] Speaker_D | Is that okay for you ? Yeah .
[37:15] Speaker_B | Mm mm mm mm .
[37:17] Speaker_D | Yeah .
[37:20] Speaker_D | Yeah .
[37:21] Speaker_B | So given we are going for this uh
[37:24] Speaker_B | uh universal type uh m maybe it is good when you try to find out which components you therefore need and y you will try to get more specific uh user interface content and uh maybe you can look on on what trends are in this uh in this type of market .
[37:32] Speaker_D | Yes .
[37:33] Speaker_A | Mm .
[37:37] Speaker_C | Okay . Okay .
[37:41] Speaker_A | Mm-hmm yep .
[37:45] Speaker_C | Voila .
[37:48] Speaker_C | Hmm .
[37:49] Speaker_B | So anyone uh has a point to bring in or shall we no .
[37:50] Speaker_C | So .
[37:53] Speaker_C | Well .
