[00:33] Speaker_A | Uh fourth meeting .
[05:22] Speaker_B | Menu for the L_C_D_ screen .
"[05:22] Speaker_C | And the video button . The Yeah . And of course this low part , this is the L_C_D_ screen ."
[05:24] Speaker_D | Mm right .
[05:29] Speaker_A | 'Kay .
[05:30] Speaker_C | Uh this is what we made of it . You can make uh suggestions uh if you want .
[05:35] Speaker_C | Maybe we maybe we should finish first uh our talk and then you can add suggestions . Maybe I I don't want to I don't want to suppress you but n I'll uh finish this uh quick . Um okay I've had everything I guess on the front ? Yeah the back . Yeah .
[05:37] Speaker_B | Yeah .
[05:38] Speaker_A | Oh yeah alright . Yeah .
[05:58] Speaker_A | Mm-hmm .
[06:00] Speaker_D | Mm-hmm .
[06:03] Speaker_A | Okay .
[06:11] Speaker_A | Yeah .
[06:12] Speaker_D | Yeah .
[06:18] Speaker_A | Okay .
"[06:29] Speaker_C | Oh and uh before I forget . Yeah the the voice , of course , the voice recorder is uh at the bottom . And you can record it uh using , yeah , the the the back of the f w device ."
[06:31] Speaker_A | Well . Yeah I see it .
[06:35] Speaker_A | Yes .
"[06:38] Speaker_B | Well , it won't be visible ."
[06:41] Speaker_B | Mm ?
[06:46] Speaker_C | Why ?
[06:53] Speaker_B | Yeah .
"[06:54] Speaker_D | Yeah , I agree ."
"[06:54] Speaker_A | Well what what what I what I agree is that when uh when um you have such of uh an arc in the middle , so that the the a the ends and the"
"[07:04] Speaker_A | fronts is a bit thicker , so th then it falls over your hands ."
"[07:09] Speaker_B | If you handle a remote , you you usually don't have your hand straight like this . You you have it a bit uh Yeah ."
"[07:14] Speaker_D | It depends on the size . If it's kinda small , this is is great . But if it's it's larger , then you want to grab it ."
[07:21] Speaker_A | And how large is it ?
[07:22] Speaker_B | Yeah .
"[07:22] Speaker_D | Yeah , that's the question ."
"[07:24] Speaker_C | That's the question . Uh well Yeah . H What do you suggest I mean we do ? This was Mike's prototype , and y you seemed to agreed on it . But now you have a totally different ."
"[07:34] Speaker_A | Well the sides I haven't seen yet , uh ?"
"[07:36] Speaker_B | Well , they lay there all the time ."
"[07:37] Speaker_C | The size ? Yeah well the size doesn't really matter w I mean Side ? Uh oh the side ? W we we he drew the s the side , but you d you weren't paying attention as usual . Well any case , we'll discuss it now . Uh I think uh this is a pretty good uh good idea ."
[07:43] Speaker_B | Yeah yeah .
"[07:52] Speaker_D | Yeah , I agree with the L_C_D_ screen . You have it in your palm like this , and you can watch uh watch the screen . And if you have it li in the middle , your hand might be over it ."
[08:02] Speaker_A | Yeah .
[08:04] Speaker_C | But you you hold it like this . You're not holding it like this or something .
"[08:09] Speaker_C | You , yeah , y How do you call it ? Yeah . Well y y y you don't have it like this . You have it more like this . You you you're using buttons this way , or if you're right-handed , this way ."
[08:15] Speaker_A | No no no .
[08:19] Speaker_D | Like you're holding your telephone .
[08:20] Speaker_A | Yep .
[08:21] Speaker_B | Yeah .
"[08:22] Speaker_D | Because if you have a screen on it , you wanna look at your screen ."
[08:25] Speaker_B | Hmm .
[08:29] Speaker_A | Okay .
"[08:30] Speaker_D | Yeah , I agree on this ."
[08:47] Speaker_A | Yeah well uh I think uh if you t if you three uh agree then then that's it .
[08:58] Speaker_B | Yeah ?
"[08:58] Speaker_C | Y Yeah , y y y y you said it was totally uh unusable . But do you"
[09:10] Speaker_C | But d you don't think this is completely unusable I guess . I think .
"[09:13] Speaker_A | No not totally . For me , I I wouldn't buy it . Let's say it like that ."
[09:24] Speaker_D | And you might be uh You might be target customer .
"[09:26] Speaker_C | Yeah . Well uh who who else thinks like you ? We don't know . Maybe a thousand people , or a million people ."
[09:27] Speaker_B | Mm .
"[09:29] Speaker_A | Yeah , we don't know , but that's uh that's that's that's more market research . So let it be like this at uh at this moment . Okay ?"
"[09:40] Speaker_A | No , I think it's great ."
[09:41] Speaker_D | Yeah .
[09:42] Speaker_B | But what about the redesigning ?
[09:56] Speaker_A | That's more useful
[09:58] Speaker_A | than just speaking .
"[10:07] Speaker_D | Well , this is just a short intro . I'm going to do uh the ev evaluation . That's gonna be done at the end of seven point skill criteria . So I made a I made a few questions on the hand of uh uh the impor most important requirements and trends ."
[10:09] Speaker_A | Yes .
[10:25] Speaker_A | Mm-hmm .
"[10:26] Speaker_D | And we have to look if our uh if our device uh is working correctly . Well , I put some questions in a Word file . See if I can find them ."
[10:38] Speaker_D | Uh uh uh uh mm .
[10:44] Speaker_A | 'Kay .
[10:45] Speaker_B | Hmm .
"[10:46] Speaker_D | I uh think you have all seen uh this kind of evaluation , so uh I don't have to explain it . Uh the first question is , uh is the device good-looking ? Because normal p uh most people thought that um earlier devices were ugly ugly . Seventy five percent of them . So what do we think ?"
[11:09] Speaker_B | Mm .
"[11:10] Speaker_A | Yeah , we're we're not quite uh objective about this ."
[11:12] Speaker_C | Yeah .
"[11:12] Speaker_D | No , I know , but I have to uh evaluate it . So I have to take this questionnaire ."
[11:12] Speaker_B | Well we designed it to be good-looking .
[11:20] Speaker_A | To the customers ? To potential customers who have to take this questionnaire ?
"[11:23] Speaker_D | Yeah , but I can't can s"
[11:25] Speaker_B | Hmm .
[11:37] Speaker_A | Yeah .
[11:37] Speaker_D | We dis we di we designed it to be perfect . So But we have to be critic critical about it . And I have to uh take all these points and get a average at the end . So we we know where we stand . 'Cause th there are some things we might have uh bi might have forgotten .
"[11:49] Speaker_A | Well , one ."
[11:55] Speaker_A | Well so it's point four .
[11:57] Speaker_A | Easy to find t
[11:59] Speaker_D | Right . Uh is it good-looking ?
"[12:02] Speaker_C | Well , I guess uh I think uh it's uh it's it's um pointed towards the youth of course , uh if you look at the design and and the colours and everything . That was our target audience of course . But it's also not completely um"
[12:22] Speaker_D | The titanium might be uh f
[12:25] Speaker_D | for older people .
[12:28] Speaker_D | It you put uh put a black front on it or something .
[12:30] Speaker_B | Hmm .
"[12:31] Speaker_C | Uh no . I think Yeah they like black of course , but I think they'll uh they they think uh the the titanium look of it is also Uh I think it's also good for them , so I think we both uh have uh consider considered uh the youth and also a bit older people . So I think it's very good-looking and not only for youth uh young people ."
[12:48] Speaker_D | Right .
"[12:51] Speaker_B | I think we shouldn't discuss any points points that long , because I don't know how how many points there are but uh Yeah ."
[12:55] Speaker_D | Right .
"[12:56] Speaker_A | No . I totally agree . We we have to get get on , go through this ."
"[12:57] Speaker_C | Yeah , the fourteen yeah ."
"[12:58] Speaker_D | Right , a number please ."
[13:01] Speaker_B | Yeah .
[13:02] Speaker_C | Is it easy to t change channels ? Yeah well I think so .
[13:05] Speaker_D | So the last one is seven . Easy to change channels ?
"[13:08] Speaker_A | No , not false ."
[13:10] Speaker_A | It's one .
"[13:11] Speaker_D | Oh , sorry . Yeah , right ."
[13:15] Speaker_A | Well uh two ? Y Well we have to go through it .
[13:16] Speaker_D | Change channels ?
[13:22] Speaker_D | Right .
"[13:27] Speaker_D | The power , channel and volume buttons are easy accessible ?"
"[13:29] Speaker_C | Yeah , huge is a Yeah ."
[13:29] Speaker_A | Yep .
[13:32] Speaker_A | Two .
[13:32] Speaker_D | Two ?
[13:35] Speaker_D | Alright . The uh device is easy to find if you lose it ?
[13:39] Speaker_C | D we d we don't we don't have uh that s
[13:47] Speaker_D | Yeah . Six ? Right .
[13:47] Speaker_C | Yeah .
"[13:56] Speaker_B | We have so few functions , so Yeah ."
"[13:58] Speaker_D | Yeah , I agree ."
[14:00] Speaker_A | And the device R_S_I_ sensitive ?
[14:04] Speaker_A | Yeah .
[14:06] Speaker_A | Ah .
[14:10] Speaker_C | Yeah . Yeah .
[14:12] Speaker_D | Alright . Two ?
[14:13] Speaker_C | Mm ?
"[14:17] Speaker_D | Yeah Yeah , I agree . No . Yeah ."
[14:20] Speaker_C | Are we take too much time ?
"[14:27] Speaker_D | Right , R_ R_S_I_ sensitive ?"
[14:27] Speaker_A | We you have to put it to the customers .
"[14:31] Speaker_A | Uh well well a bit , so four ."
[14:35] Speaker_A | Yes .
"[14:36] Speaker_C | Yeah , very much . One ."
[14:37] Speaker_A | One . And features included also one .
[14:41] Speaker_A | And One . Uh those uh nine uh is the fancy-looking . Uh we still think so .
[14:48] Speaker_C | Yeah .
"[14:49] Speaker_A | Device fancy feeling . Yeah , cool man ."
"[14:49] Speaker_C | And I think fancy-feeling too , because of the titanium back . Yeah ."
[14:51] Speaker_B | Yeah .
[14:52] Speaker_D | Right .
[14:53] Speaker_A | Are there enough technology ? Yeah well also we have two .
[14:54] Speaker_B | Yeah .
[14:58] Speaker_A | Is the device easy to use ? Yes we have not many buttons .
[15:02] Speaker_C | So well maybe two because of the voice recorder .
"[15:03] Speaker_D | Well , with the uh Three ."
[15:03] Speaker_B | Two two .
"[15:03] Speaker_A | Two , three ."
"[15:06] Speaker_A | Are the trends about fruit and vegetables implemented ? Well in our covers , in our fronts . So yes , one . Is the material attractive ?"
[15:10] Speaker_B | Yeah .
[15:11] Speaker_C | Yeah . One or two . Yeah .
"[15:12] Speaker_B | One or two , another two ."
[15:15] Speaker_C | Four ?
[15:19] Speaker_D | No .
[15:21] Speaker_A | Oh okay . Okay .
[15:22] Speaker_B | Well three .
"[15:23] Speaker_D | Three , alright ."
"[15:27] Speaker_A | Is the material attractive ? Well the titanium is strong , and uh the rest f uh the buttons feel soft . So I would say at least two ."
[15:28] Speaker_B | Mm . Yeah .
[15:35] Speaker_D | Right .
[15:36] Speaker_A | Okay .
[15:41] Speaker_B | This is the last meeting ? Yeah .
"[15:42] Speaker_A | Yes , but we we have to design much more , because there was some irritating account manager coming to me ."
[15:43] Speaker_D | The average will uh come later .
[15:52] Speaker_C | I knew things uh were going uh too smoothly .
[15:55] Speaker_A | Oh .
[15:57] Speaker_C | There had to be some kind of trouble along the way .
"[15:59] Speaker_A | Yes . Well , look at the costs at this point ."
[16:05] Speaker_C | My god .
[16:06] Speaker_A | I had to fit it in .
"[16:07] Speaker_D | It has to go to twelve , right ? Twelve and a half ."
[16:09] Speaker_A | I twelve and a half .
[16:13] Speaker_A | Well what costs a lot ? The sample spea costs four .
"[16:18] Speaker_A | The sample speaker , the s sensor ."
[16:19] Speaker_D | Out . That's easy . Kick it out . Yeah .
"[16:21] Speaker_A | Kick it out . We have to go to twelve and a half . The speaker costs far , by far the most ."
[16:22] Speaker_B | The what ?
[16:24] Speaker_D | The speaker .
[16:25] Speaker_B | Oh .
[16:28] Speaker_C | Yeah w tha that's uh that's a bit an optional option .
[16:30] Speaker_A | It it isn't worth it .
"[16:33] Speaker_C | No . No , d th No ."
[16:33] Speaker_D | No .
[16:37] Speaker_D | It's just extra . Kick it out .
"[16:39] Speaker_A | So , zero ."
[16:43] Speaker_C | Yeah .
[16:43] Speaker_A | Then we go to fourteen point six .
[16:46] Speaker_D | What more ?
[16:46] Speaker_A | Well the titanium I don't want to lose actually .
[16:49] Speaker_C | No .
"[16:50] Speaker_A | L_C_ three ? Yeah hand dynamo ? Y t come on , w a remote control has a battery ."
[16:58] Speaker_B | Well well why why why should we use a advanced chip ?
[17:02] Speaker_A | Well be for the L_C_D_ uh you had said .
[17:05] Speaker_B | Yeah ? Can't we do that with a regular chip ?
[17:05] Speaker_D | Hmm .
[17:07] Speaker_C | No .
[17:08] Speaker_B | Why not ?
[17:09] Speaker_C | Because uh that uh y because my information says it .
[17:12] Speaker_A | Well what what's the difference between simple and regular ?
[17:15] Speaker_C | Huh ?
[17:16] Speaker_A | What's the difference between a simple and a regular chip ?
[17:17] Speaker_B | Yeah . Regular is normal .
[17:19] Speaker_D | Yeah .
[17:20] Speaker_A | And simple ?
[17:21] Speaker_B | Simple .
[17:26] Speaker_A | Well ?
[17:28] Speaker_A | Your part .
[17:36] Speaker_C | Well you have to use
"[17:41] Speaker_C | Well you have to use the advanced chip , if you have the L_C_D_ screen ."
[17:42] Speaker_A | How much do we win ? One .
"[17:48] Speaker_C | But if you have a regular chip , you can't have the L_C_D_ screen ."
[17:48] Speaker_A | Yeah .
[17:51] Speaker_B | Uh well we have to put that in .
"[17:52] Speaker_D | Yeah , we need to have the the L_C_D_ screen ."
"[17:54] Speaker_A | Well , we could say , well this special colour , that isn't that that isn't there , because the the fronts they will buy it . The special colour ."
"[18:02] Speaker_D | Yeah , but No , that's n It's not relevant ."
[18:03] Speaker_B | Nah .
"[18:05] Speaker_A | Yeah , then you s then you only have one half left ."
"[18:05] Speaker_B | Yeah , you must change the chip uh back ."
"[18:08] Speaker_B | You must change the chip back , Nils ."
[18:08] Speaker_D | Yeah .
[18:10] Speaker_A | Uh yeah .
[18:11] Speaker_C | But we d Then we have to lose the L_C_D_ screen .
"[18:18] Speaker_C | Yeah , I know but that's what my information says . I di I didn't uh put uh the advanced chip in there for fun . You have to use it ."
"[18:30] Speaker_B | You you we have an advanced chip-on-print , and we have an L_C_ display . I think that's a bit double . Y we don't need both ."
[18:30] Speaker_A | Yeah .
[18:35] Speaker_A | Yeah ?
"[18:36] Speaker_A | No , the advanced chip is needed to have an L_C_D_ display ."
[18:39] Speaker_C | For the L_C_D_ screen . Yeah . Yeah .
[18:41] Speaker_B | Says .
"[18:42] Speaker_A | Says , his Uh that was in the second meeting , I think ."
"[18:48] Speaker_A | Well I I did single curve to Well you said s double curved , uh he , because uh I thought it's a b a bit cheaper already . We can also make it flat ."
[18:52] Speaker_B | I ? ?
[18:53] Speaker_C | Yeah .
"[18:58] Speaker_C | But what what did what do n Sorry , but What do they mean with the curves ? Is th Is this a curve ? One curve ? Yeah , this is actually two curves , yeah . It's how you It's how you look at it ."
"[19:02] Speaker_A | Curved ? Yes , that's curved ."
[19:05] Speaker_A | Yes .
"[19:06] Speaker_A | No , it's one curve ."
"[19:08] Speaker_A | One curve , simple ."
[19:10] Speaker_C | Well then we have a huge problem I think . W t we can never get uh below the twelve and a half .
[19:13] Speaker_A | We have a big financial problem .
[19:15] Speaker_B | Well we make it more expensive to buy .
[19:34] Speaker_D | Because we we use a brand at the front and uh I dun at the back . If you have uh lots of uh marketing
[19:43] Speaker_D | people might buy .
"[19:49] Speaker_A | By the way , we also have this one ."
"[19:53] Speaker_D | Oh , that's just great ."
"[20:10] Speaker_A | Yes , but I just got it ."
[20:12] Speaker_B | Why why don't we replace the titanium with uh
"[20:17] Speaker_B | plastic coloured titanium , uh titanium-coloured plastic ?"
[20:21] Speaker_A | Who ?
[20:26] Speaker_A | You want to dump the titanium ?
[20:29] Speaker_B | Yeah well if we uh we we have to get cheaper .
"[20:32] Speaker_A | And make all plastic , then we ha then we're there ."
[20:39] Speaker_B | But then we we've got to uh run through the eval evaluation process again .
"[20:40] Speaker_A | Th then you have a ugly , stupid , l ugly looking , dumb remote that that no-one would buy ."
[20:47] Speaker_B | Ah no no .
[20:49] Speaker_B | It's not ugly looking . The looks remain the same .
"[20:51] Speaker_A | No , I don't think so ."
"[20:52] Speaker_B | Well , I do think so ."
"[20:59] Speaker_C | And also the the older people will like it because of that . And because i Alright it's not our target audience , but it's it's useful if it's uh important for old people . Yeah ."
"[21:02] Speaker_D | Yeah , I agree ."
[21:13] Speaker_B | Yeah alright but then we we won't get there .
"[21:15] Speaker_C | Yeah we have a problem , yeah . W But you can better , yeah , dump the L_C_D_ screen then ."
[21:19] Speaker_B | We can dump the special colour . We l we use plastic . And plastic is already in colour I think .
[21:25] Speaker_D | I don't think you should dump the L_C_D_ screen .
"[21:29] Speaker_B | No , nothing ."
[21:30] Speaker_D | Or you shou It's Or change the titanium or dump the L_C_D_ screen . But I think you could better change uh titanium to hard a hard kind of plastic looking like titanium than lose the L_C_D_ screen . Because you have lots of functions in it too .
[21:31] Speaker_B | Amen .
[21:37] Speaker_C | Yeah .
[21:41] Speaker_B | Yeah .
[21:47] Speaker_B | Yeah .
[21:53] Speaker_C | Unfortunately . Um .
[21:56] Speaker_A | I'll put in the report we that we think that fourteen point one is the l m lowest price you can make a remote for that's trendy d these days .
[21:57] Speaker_C | Titanium-coloured plastic .
"[22:03] Speaker_D | Yeah , I agree ."
[22:05] Speaker_C | So titanium-coloured plastic for the back .
[22:09] Speaker_B | No no no no . W Titanium stays there .
"[22:19] Speaker_C | So we have to use the ditch the titanium , I'm afraid ."
"[22:33] Speaker_A | Yes , yes ."
[22:34] Speaker_B | No because we did not know anything about it .
"[22:36] Speaker_D | If you don't have the money , you can't make it . So s If you don't have the money , you can't make it . So this is too expensive ."
[22:36] Speaker_A | One and a half Euros . Hmm ?
[22:45] Speaker_A | So ?
[22:46] Speaker_D | So we have to make it cheaper .
[22:47] Speaker_C | Titanium gone and add plastic .
[22:50] Speaker_D | Right .
"[22:50] Speaker_B | Yeah , but then we've got money left ."
[22:52] Speaker_C | And on plastic times two and then we uh are there ?
"[22:55] Speaker_A | Well , no it's just uh all plastic . Well alright . Huh ."
[23:08] Speaker_A | But then we can add the special colour ?
[23:11] Speaker_B | Yeah .
[23:14] Speaker_B | Yeah . W
"[23:14] Speaker_A | And we still have money left . What do we want , guys ?"
[23:21] Speaker_B | Well I think uh the case is double curved then .
[23:23] Speaker_A | Yes .
[23:26] Speaker_B | Because you y have that curve and you have that curve .
[23:28] Speaker_A | Y Oh no . Alright .
[23:33] Speaker_A | Safe .
[23:35] Speaker_B | Well y we have curves in all directions .
"[23:36] Speaker_C | Well you can you can double curve , if you don't have titanium . And that we dropped , so it it can be done . But it's pretty funny . We we do want to reach"
[23:41] Speaker_A | So alright .
[23:46] Speaker_C | twelve point five . But it isn't bad to to to stay at eleven .
[23:47] Speaker_A | Finance ?
"[23:47] Speaker_B | I mean , this this ain't titanium , but it looks like it ."
"[23:52] Speaker_C | We get more salary , if we make if cheaper than twelve uh twelve and a half ."
"[23:52] Speaker_A | Well , guys ? Guys ? We have to dump our titanium , and we'll hate the managers for that , but now we're going to evaluate our project , of uh project , project . Well , satisfaction on for example , are we satisfactory about our creativity ?"
[24:00] Speaker_C | Objection .
"[24:12] Speaker_C | Well I can't get no satisfaction , but uh I think it's uh Well in in if we consider the costs then this is the best , yeah ."
[24:21] Speaker_D | Yeah .
"[24:21] Speaker_A | I think it's terrible that we got uh those costs at the last moment . That's really bad . But that that that's that , yeah that's a reason , but also for our creativity . We had um nice design , and then you get the cost , and you had to dump all your creativity ."
[24:22] Speaker_B | Yeah .
[24:24] Speaker_B | Yeah .
"[24:24] Speaker_D | Yeah , me too ."
[24:27] Speaker_B | And uh unrealistic .
"[24:35] Speaker_B | Well we we we used our creativity , but we just had to adapt it to the costs ."
[24:35] Speaker_D | Right .
[24:41] Speaker_A | Yeah .
"[24:43] Speaker_A | Well , alright ."
"[24:53] Speaker_A | Uh yeah well I think so also . I al I I've uh filled that in in a the questionnaires uh each time , so Well the managers were terrible ."
[24:53] Speaker_B | Yeah . Yeah .
"[25:03] Speaker_A | So , with their all their"
"[25:06] Speaker_A | useless requirements . But o alright , the teamwork ?"
"[25:08] Speaker_C | Well uh they they didn't think of the requirements . It's the requirements of the user , uh I guess ."
[25:19] Speaker_C | Yeah but they base that on on the user specifications .
"[25:23] Speaker_A | Alright , teamwork ? Well great I think ."
"[25:26] Speaker_D | Yeah , think so too ."
"[25:27] Speaker_A | Uh well what do you , what did you think about the SMARTboard ?"
"[25:33] Speaker_B | No , that's a SMARTboard , and that's a digital pen . Or not ?"
[25:35] Speaker_A | It's also a It's both the SMARTboards .
[25:36] Speaker_C | No it's other way around . That's the SMARTboard . That's the digital panel .
"[25:38] Speaker_A | I liked this SMARTboard , but I hated that one . Well it's both a SMARTboard ."
"[25:39] Speaker_D | This this this isn't a SMARTboard , right ?"
[25:42] Speaker_C | That's that's the smart
[25:47] Speaker_A | No .
"[25:49] Speaker_A | It's both a SMARTboard , but this one is used for a desktop , and that one is used to to draw ."
"[25:59] Speaker_A | Well , wi w which one did you like ?"
[26:01] Speaker_D | That one .
[26:03] Speaker_B | Yeah .
[26:06] Speaker_B | But I I think this is meant by the digital pen .
[26:09] Speaker_A | Yes . Th that is so .
"[26:12] Speaker_D | Yeah , but I think there's a big distinction between the these th I don't need a SMARTboard ."
[26:12] Speaker_B | Yeah .
[26:12] Speaker_A | We're now talking about the SMARTboards .
"[26:21] Speaker_D | Yeah , but give me a beamer . That's uh that's much uh much cheaper ."
"[26:24] Speaker_A | Or install a laptop to a beamer , or have this one standing here in an I I like it ."
[26:30] Speaker_D | Right .
"[26:31] Speaker_B | Yeah I like that one , but that one is terrible ."
"[26:31] Speaker_A | Okay , alright ."
[26:32] Speaker_C | But uh you can uh I I sent it about three times now . Uh a green uh board with uh chalk is much more useful than that thing .
"[26:39] Speaker_A | Yeah . Yeah , it is ."
[26:40] Speaker_D | Yeah .
[26:41] Speaker_C | The simple uh sch school board .
[26:42] Speaker_D | I agree .
[26:43] Speaker_A | And uh the digi the digital pen ? Did uh did you like that one ?
[26:46] Speaker_D | No .
[26:47] Speaker_C | I I didn't use it . I wrote things down but I didn't import it into my laptop .
[26:52] Speaker_D | Yeah .
"[26:53] Speaker_A | You you can't send that to anyone , because you you've scrabbled something on a page for yourself , and then you're going to send it , yeah . Well , no ."
[26:55] Speaker_D | Yeah . It isn't practical . Right .
[27:04] Speaker_D | Your notepad . Yeah .
"[27:06] Speaker_A | It's , no , it it's useless ."
"[27:08] Speaker_B | Well I I drew this . Mm . And I made a mistake . But it it would have been uh useful , if I I could show this on the screen ."
[27:15] Speaker_A | Yes .
"[27:17] Speaker_A | For drawings , yes ."
[27:18] Speaker_B | Yeah for drawings .
"[27:27] Speaker_D | Yeah , it might be useful for drawings . I I agree on that ."
[27:29] Speaker_B | Mm .
"[27:47] Speaker_D | Yeah , right ."
[27:49] Speaker_D | That Stefan use .
[27:50] Speaker_C | Yeah I understand . But I think uh d this option is only useful if you've got a lot of paperwork . You can't It's not very uh ni Yeah well a lot of documents are Yeah .
"[27:57] Speaker_D | No , I don't think so . It's it's only useful if you have to draw something ."
[28:01] Speaker_B | Yeah .
"[28:02] Speaker_B | But then uh it's really useful , I think ."
[28:05] Speaker_D | Yeah .
[28:05] Speaker_A | Yep . Alright . Um etcetera ? Well uh the laptops ?
[28:07] Speaker_C | Mu Yeah right .
[28:11] Speaker_A | Of course great .
[28:11] Speaker_B | Yeah . Hmm .
[28:12] Speaker_C | Can we keep them ? Uh .
[28:15] Speaker_D | Wireless uh wireless things .
"[28:22] Speaker_D | Well these chairs , man . Really great ."
[28:34] Speaker_B | Well I did .
[28:38] Speaker_A | Well w why not ? Uh etcetera We N new ideas found ? What kind of ideas for n a future schedule What ? For future um meetings you have got ?
[28:50] Speaker_B | Well I missed uh the option to uh
"[28:53] Speaker_D | Communicate in between . Yeah , right . Yeah ."
"[28:54] Speaker_B | to email , yeah . Email or chat or something ."
[28:56] Speaker_A | Chatting and emailing .
"[29:03] Speaker_D | Yeah , I agree ."
"[29:04] Speaker_A | Well , new ideas found by this ."
[29:11] Speaker_A | Not . Nothing . We don't want this . We hate this .
"[29:13] Speaker_D | Well , more more information in the beginning ."
[29:16] Speaker_B | Yeah .
"[29:18] Speaker_A | Digital pen is useless . So Yeah , for drawings ."
[29:19] Speaker_B | No it isn't .
"[29:21] Speaker_C | Well , for drawing for drawings . Yeah ."
[29:24] Speaker_B | So it isn't useless .
"[29:24] Speaker_A | But uh two t But uh th then you have to have a lot of drawings , because if I had a company and I'm going to uh buy those expensive huge expensive uh things , I and I have to w"
"[29:40] Speaker_D | For people who uh sketch th the whole day , I can imagine that it's useful ."
[29:43] Speaker_B | Yeah .
[29:53] Speaker_B | Well you you can't you can't draw on a laptop like you like you paint of or draw with your hand .
"[29:58] Speaker_D | Yeah , I agree ."
[30:00] Speaker_C | But if w Yeah .
[30:03] Speaker_A | Yeah .
[30:04] Speaker_D | Mouse is ju just isn't working if you're sketching .
[30:06] Speaker_B | Uh indeed .
"[30:07] Speaker_C | And but what if uh maybe this this board uh SMARTboard is malfunctioning or someone . But suppose it was working correctly , what uh would it be useful then , if it wasn't off all the time ? A"
[30:19] Speaker_A | Well no . I hated to draw like that . You you can't draw anything uh neat .
[30:22] Speaker_C | Really ?
[30:28] Speaker_C | Anything you want . Any b b Yeah . L li li
[30:30] Speaker_A | I if it if it would be perfect following .
[30:33] Speaker_C | Yeah .
"[30:42] Speaker_C | Yeah , board , a school board , yeah ."
[30:47] Speaker_C | Yeah . I it has It is useful . Yeah .
[30:47] Speaker_A | Yep .
[30:48] Speaker_D | It saves time .
[30:49] Speaker_A | Yeah yeah .
"[30:51] Speaker_C | This uh if it works correct , maybe this thing this thing is just malfunctioning . So uh if we get in uh if we get another one and you make sure it does work , I think then it's pretty useful ."
[30:58] Speaker_A | Yep .
[31:01] Speaker_A | Yeah .
[31:02] Speaker_C | Because uh yeah you can draw t things quickly and uh clearly for anyone uh in the discussion room . And then you can save it immediately .
"[31:12] Speaker_A | Well , they are now ."
[31:14] Speaker_B | Hmm .
[31:15] Speaker_D | Celebration .
[31:19] Speaker_C | Did you type that ?
[31:20] Speaker_B | Hmm .
[31:37] Speaker_C | Maybe till four o'clock or something ? Well dunno . Yeah .
