[00:03] Speaker_E | 'Kay .
"[09:58] Speaker_D | Well like the ideas we're calculating are information density all off-line first for every utterance in the whole corpus , right ? So what you do is you say if you're looking at a series of meetings , you just say well our whole document comprises of all these stuck together . And then all you have to do is sort them by j information density . Like maybe weighted with the search terms , and then extract them . I don't think it's too slow to do on-line , to be honest ."
[10:05] Speaker_E | Mm-hmm . Mm-hmm .
[10:13] Speaker_E | Mm-hmm .
[10:17] Speaker_E | Mm-hmm .
[10:20] Speaker_E | Okay .
"[10:26] Speaker_E | Okay . I wa I was just worried about the total memory complexity of it . But I I completely admit , I mean , I just sort of like th took that from some thing that Jonathan once said about not loading everything . But maybe I was just wrong about it . How many utterances w"
"[10:51] Speaker_E | Yeah , and I w yeah . Yeah . Yeah . Yeah . So what we have is we would have a word ."
[10:54] Speaker_D | Yeah .
[10:55] Speaker_A | Hmm .
[11:02] Speaker_E | Like we would have words with some priority levels . And they would basically be because even the selection would would the summaries automatically feed from just how prioritized an individual word or how indiv uh prioritized an individual utterance is ? Or i are the summaries sort of refined from it and made by a machine to make sentences and stuff ? Or are they just sort of taking out the words with the highest priority and then the words of the second highest priority ?
"[11:25] Speaker_D | Well , on the utterance level I was thinking . So the utterances with the highest like mean information density ."
[11:28] Speaker_E | And the u okay .
"[11:32] Speaker_E | Are we doing it on th the whole thing on the utterance level ? Or are we doing it on word level , like the information density calculation ?"
"[11:35] Speaker_D | Well the trouble with doing it on the word level is if you want the audio to synch up , you've got no way of getting in and extracting just that word . I mean it's impossible ."
"[11:43] Speaker_E | We I think we have start and end times for words actually , but it's yeah , but it m it might s but it might sound crazy in the player . We should really maybe we can do that together at some point today that we check out how the player works . But there's maybe some merit in altogether doing it on an utterance level in the end ."
"[11:45] Speaker_D | For every single word ? Oh , okay ."
[11:47] Speaker_C | Yeah .
[11:50] Speaker_D | Yeah .
[11:53] Speaker_D | I don't think that will do it . We'll have to buffer it .
"[11:55] Speaker_B | Um I r I I'm getting quite lost um at the moment because um w what's um our difference between the um se um uh the importance measure and the skimming ? I mean , do we do both or is it the same thing ?"
[12:14] Speaker_D | Well the skimming's gonna use the importance .
[12:16] Speaker_E | Yeah .
[12:17] Speaker_B | Okay .
[12:18] Speaker_D | But like at first it's just gonna be I_D_F_ .
"[12:24] Speaker_D | Well mostly skimming , yeah ."
[12:42] Speaker_B | Yeah .
"[12:46] Speaker_E | Yeah , r"
"[12:46] Speaker_B | Yeah right , isn't that the skimming ? Isn't that the skimming ?"
[12:48] Speaker_E | Hmm ?
"[12:49] Speaker_E | Oh yeah , f it's just like there there's like audio skimming and there's displayed skimming ."
"[12:54] Speaker_B | Yeah , but it use the same data ."
"[12:57] Speaker_E | Yeah . Ma maybe there's some merit of going altogether for utterance level and not even bother to calculate I mean if you have to do it internally , then you can do it . But maybe like not even store the importance levels for individual words and just sort of rank utterances as a whole ."
[12:57] Speaker_D | Yeah .
"[13:12] Speaker_D | Well the nice thing about that is it will automatically be in sentences . Well more or less . So it will make more sense , and if you get just extract words ."
[13:15] Speaker_E | Hmm ?
[13:17] Speaker_E | Yeah .
"[13:19] Speaker_E | 'Cause it it might be better skimming and less memory required at the same time . And I mean if you if you know how to do it for individual words , then you can just in the worst case , if you can't find anything else , just sort of make the mean of the words over the utterance . You know what I mean ?"
"[13:36] Speaker_E | Well what's the smallest chunk at the moment you're thinking of of assigning an importance measure to , is it a word or is it an utterance ?"
[13:42] Speaker_C | Uh I thought about words .
[13:44] Speaker_E | So we're thinking of like maybe just storing it on a per utterance level .
"[13:52] Speaker_E | Because it's it's less stuff to store probably for Dave in the in the audio playing . And for in the display it's probably better if you have whole utterances than I don't know , like what it's like if you just take single words out of utterances . That probably doesn't make any sense at all , whereas if you just uh show important utterances but the utterance as a whole it makes more sense . So it doesn't actually make a difference for your algorithm , 'cause it just means that if you're working on a word level , then we just mean it over the utterance ."
[13:53] Speaker_C | Mm .
[14:02] Speaker_B | Yeah .
[14:06] Speaker_D | Yeah .
"[14:15] Speaker_B | And , yeah , I think we also thought about combining that measure with um the measures I get from um s uh hot-spots and so on . So that would also be on utterance level , I think . I think ."
[14:15] Speaker_C | Mm okay .
"[14:29] Speaker_E | Oh so that's good anyway then , yeah . Because that makes it a lot easier than to t put it on utterance level ."
[14:30] Speaker_D | I see it .
[14:32] Speaker_D | But it'll need to be calculated at word level though because otherwise there won't be enough occurrences of the terms to make any meaningful sense .
"[14:39] Speaker_E | Oh yeah . No but I mean like how how Jasmine does it internally I don't know , but it's probably , yeah , you probably have to work on word levels for importance . But there should be ways of easily going from a word level to an utterance level . Okay ."
[14:44] Speaker_D | Yeah .
"[14:49] Speaker_D | Yeah , I reckon you can just mean it over the sentence ."
"[14:50] Speaker_C | Yeah , but how about those words which don't carry any meaning at all , the um and uhs and something like that ."
"[15:00] Speaker_E | Yeah , prob"
[15:01] Speaker_D | I think we should filter them .
[15:06] Speaker_E | Hmm .
[15:17] Speaker_D | Maybe we should have like um a cut-off . So it a w word only gets a value if it's above a certain threshold . So anything that has less than say nought point five importance gets assigned to zero .
[15:30] Speaker_C | Alright .
"[15:31] Speaker_E | Well we do a pre-filtering of sort of the whole thing , sort of like but that , like the problem with that is it's easy to do in the text level . But that would mean it would still play the uh in your audio , unless we sort of also store what pieces we cut out for the audio ."
"[15:33] Speaker_D | Yeah , that's the other th"
[15:39] Speaker_D | Yeah .
"[15:48] Speaker_E | Yeah . I think before we can like answer that specific question how we c deal with that , it's probably good for us to look at what the audio player is capable of doing ."
[15:58] Speaker_D | I think we'll have to buffer the audio . But I don't think it will be very hard . I think it would be like an hour or two's work .
[16:00] Speaker_E | Yes .
[16:06] Speaker_D | Like just build an another f wave file essentially .
"[16:10] Speaker_A | Yeah , you just concatenate them together ."
"[16:11] Speaker_E | But yeah , but not but not stored on the hard disk and then loaded in , but loaded in directly from memory ."
"[16:16] Speaker_D | In memory , yeah . So just like unp there's bound to be like a media wave object or something like that . And just build one in memory ."
"[16:22] Speaker_E | But it's probably a stream if it exists in Java , it would be probably some binary stream going in of some type . Okay , yeah ."
"[16:35] Speaker_E | Okay . Okay , so I mean so that means that there's probably , even if you go on an per utterance level , there's still some merit on within utterances cutting out stuff which clearly isn't relevant at all , and that maybe also for the audio we'd have to do . So let's say we play the whole au phrase , but then in addition to that , we have some information that says minus that part of something . That's okay , that we can do ."
"[16:56] Speaker_D | Well what I think I might try and build is basically a class that you just feed it a linked list of um different wave-forms , and it will just string them all together with maybe , I don't know , tenth of a second silence in between each one or something like that ."
"[17:12] Speaker_E | Yeah , maybe even I mean that's sort of that depends on how how advanced we get . If maybe if we realise that there's massive differences in in gain or in something , you can probably just make some simple simple normalization , but that really depends on how much time we have and and how much is necessary . Yeah , if like I d I don't know anything about audio and I have never seen the player . So if you find that the player accepts some n input from memory , and if it's easy to do , then I guess that's that's fairly doable . So but that means in the general structure we're actually quite lucky , so we we have we load into memory for the whole series of meetings just the utterances and rankings for the utterances and some information probably that says , well , the I guess that goes with the utterance , who's speaking ."
"[17:21] Speaker_D | Normalise it , yeah ."
"[17:52] Speaker_D | Oh yeah , yeah , we'll need that ."
"[17:53] Speaker_B | Yes , sure ."
[17:53] Speaker_E | Because then we can also do the display about who's speaking .
[17:56] Speaker_D | We also really wanna be able to search by who's speaking as well .
[18:00] Speaker_E | Yeah .
"[18:12] Speaker_D | It doesn't matter , 'cause all the calculation's done off-line ."
"[18:20] Speaker_E | The other hand , I mean it shouldn't be like should be like fifty mega-byte in RAM or something , it shouldn't be massive , should it ? Actually fifty hundred megabyte is quite big in RAM ."
[18:25] Speaker_A | Hmm .
"[18:35] Speaker_E | Just thinking , what's the simp so"
"[18:40] Speaker_E | We do get an error message with the project if we load everything into the project with all the data they load . So we know that doesn't work . So our hope is essentially that we load less into it . What's this lazy loading thing , somebody explain lazy loading to me ."
[18:51] Speaker_B | Yes .
[18:51] Speaker_A | Yeah .
[18:54] Speaker_A | It just means it loads on demand . It only loads when it needs a particular type of file . Like when it's being accessed .
"[19:20] Speaker_A | Yeah , I think that's the idea , it just loads the particular ones it needs ."
[19:27] Speaker_A | But if you were doing a search over the whole corpus you'd have to load them all .
"[19:29] Speaker_E | Yeah , but yeah , but um it uh it it failed right when you load it , right , the NITE X_M_L_ kit , so that's interesting ."
"[19:35] Speaker_B | Yes , right ."
[19:39] Speaker_A | Hmm .
"[19:40] Speaker_B | Oops , it does . So I define baseline and what it loads ? For example it loads all the utterances and so on , but it doesn't load um the discourse acts and for example not the and what's what else there ? Not the summaries . It only loads those on demand ."
[19:52] Speaker_E | Hmm .
"[20:03] Speaker_E | Let's check that out . Um I'll p I'll probably ask Jonathan about it . So alternatively , if we realise we can't do the whole thing in one go , we can probably just process some sort of meta-data , you know what I mean , like sort of sort of for the whole series"
[20:21] Speaker_E | chunks representing the individual meetings or some
"[20:27] Speaker_E | Like something that represents the whole series in in a v in a structure very similar to the structure in which we represent individual um meetings , but with data sort of always combined from the whole series . so instead of having an single utterance that we display , it would probably be like that would be representing a whole um topic , a segment in a meeting ."
[20:53] Speaker_E | And sort of so that wi using the same data st
[20:54] Speaker_B | Y you mean that you um basically split up th the big thing into um different summaries . For example that you have a very um top-level um summary and a separate file for for each level .
"[21:12] Speaker_E | Uh I'm I'm thinking of in a sense of like creating a virtual a virtual meeting out of the whole meeting series , sort of ."
[21:18] Speaker_D | That's easy . You just like create a new X_M_L_ document in memory .
[21:42] Speaker_B | Mm-hmm .
[22:02] Speaker_A | Mm .
"[22:04] Speaker_E | 'Cause also like even if we maybe this whole like maybe I'm worrying too much about the whole series in one thing display , because actually I mean probably users wouldn't view that one too often ."
"[22:16] Speaker_D | I don't think it's really that much of a problem because if it's too big , what we can do is just well all the off-line stuff doesn't really matter . And all we can do is just process a bit at a time . Like for summarisation , say we wanted a hundred utterances in the summary , just look at the meeting , take the top one hundred utterances in each other meeting . If it scores higher than the ones already in the summary so far , just replace them . And then you only have to process one meeting at a time ."
"[22:43] Speaker_E | Yeah , but I'm I'm still worried . Like for example for the display , if you actually if you want a display uh like for the whole series , the information density levels based on and and the f and the only granularity you have is individual utterances , that means you have to through every single utterance in a series of seventy hours of meetings ."
"[23:03] Speaker_D | Okay , so maybe we should build a b store a mean measure for the segments and meetings as well ?"
"[23:09] Speaker_E | Yeah . Yeah , and if you make that structurally very similar to the the le like one level down , like the way how we uh store individual utterances and stuff , then maybe we can more or less use the same code and just make a few ifs and stuff ."
"[23:25] Speaker_E | Yeah , so so but still so in in general we're having we're having utterances"
[23:31] Speaker_E | and they have a score .
"[23:35] Speaker_E | And that's as much as we really need . And of cou and they also have a time a time information of course . Hmm ? And a and a s and a speaker information , yeah ."
[23:42] Speaker_D | And speaker . Speaker and um topic segmenting we'll need as well .
[23:52] Speaker_D | Yeah .
[23:58] Speaker_E | Yeah .
[24:14] Speaker_D | Yeah .
"[24:23] Speaker_E | but that that's enough data for the skimming and the the searching , so what the searching does is the searching leaves the whole framework , goes to the S_Q_L_ database and gets like basically in the end gets just a time marker for where that is , like that utterance that we are concerned with . And then we have to find I'm sure there's some way in in NITE X_M_L_ to just say set position to that time mark . And then it shifts the whole frame and it alerts every single element of the display and the display updates ."
"[24:26] Speaker_D | Yeah , I think so ."
[24:50] Speaker_A | Hmm .
"[24:51] Speaker_A | Yeah , we do not want it in to develop a little tree display as well for multiple results ."
"[24:57] Speaker_A | Yeah , but that'd be quite easy to do ."
[25:03] Speaker_A | You just need to find the time stamp .
[25:10] Speaker_A | Yeah .
"[25:40] Speaker_E | It's the same thing if like whether you play and it moves forward or whether you jump to a position through search , it's essentially for all the window handling , it's the same event . It's only that the event gets triggered by the search routine which sort of push that into NITE X_M_L_ and says please go there now ."
[25:49] Speaker_A | Yeah .
[25:57] Speaker_D | So we should basically make our own X_M_L_ document in memory
[26:03] Speaker_D | that everyone's um
"[26:07] Speaker_D | module changes that , rather than the underlying data . And then have that X_M_L_ uh NITE X_M_L_ document tied to the interface ."
"[26:19] Speaker_D | Well , you can make it in a file if you want ."
[26:22] Speaker_E | I mean like the information is coming from off-line .
"[26:28] Speaker_E | So we probably we don't even have to change the utterance document , right , because the whole way , like the whole beauty of the NITE X_M_L_ is that it ties together lots of different files . So we can just create an additional X_M_L_ file which for every utterance like the utterances have I_D_s I presume , some references . So we just we tie uh p just a very short X_M_L_ file , which it's the only information it has that has whatever a number for for the um weight , for the information density , and we just tie that to the existing utterances and tie them to the existing speaker changes ."
[26:43] Speaker_D | Mm-hmm .
[26:44] Speaker_B | Yes .
[27:00] Speaker_C | But there is no I_D_ for an utterance I think . It's just for individual words . So how do we do that then ? We for utterances as well .
[27:13] Speaker_C | I think it's just for one
"[27:18] Speaker_A | Yeah , I think I think those segments for each utterance are split up ."
[27:23] Speaker_C | Yeah .
[27:24] Speaker_A | Think so .
[27:26] Speaker_E | Well otherwise we probably have to go over it and like add some integer that we just increment from top to bottom sort of to every utterance as an as an I_D_ some type . Or un or try to understand how NITE X_M_L_ I_D_s work and maybe there's some special route we have to follow when we use these I_D_s . It's alm hmm ?
"[27:43] Speaker_A | Yeah , I'm pretty sure it's already there . Pretty sure that's already there . The the utterances are numbered ."
"[27:50] Speaker_E | Yeah , the the girl said the utterances themselves are not numbered at the moment ."
"[27:54] Speaker_C | Uh I'm not quite sure , I have only seen that the uh the individual words have got an I_D_ ."
[27:55] Speaker_E | Okay . Okay . Okay . Yeah . So I guess that would be solvable if not .
[28:03] Speaker_C | Yeah . You always could have a look at the time stamps and then take the ones that uh belong together to form an utterance .
[28:07] Speaker_E | Mm-hmm .
"[28:13] Speaker_B | No , I I think we would just take the segments that are already that were Yeah , there's um this segments file . Um you know , the X_M_L_ segments ."
[28:13] Speaker_E | Sorry ?
"[28:18] Speaker_C | Yeah , if they are already , there's it's easy but it would be possible ."
[28:20] Speaker_E | Okay .
[28:22] Speaker_E | Okay .
[28:23] Speaker_C | Uh yeah . Okay .
[28:24] Speaker_A | Hmm .
[28:26] Speaker_E | Is that a board marker pen actually ?
[28:27] Speaker_B | Oh .
[28:31] Speaker_B | That I don't know .
"[28:31] Speaker_E | Oh . That's just so like to make a list of all this stuff , or we probably can somebody can do it on paper ."
"[28:31] Speaker_A | Yeah , I think so ."
"[28:39] Speaker_E | All these fancy pens . So what so the stuff we have we have utterances and speakers and weights for utterances . So for for every utterance sort of like the utterance has a speaker and a weight which is coming from outside . Or we just tie it to it . And there is segments , which hmm ?"
"[29:02] Speaker_D | They are utterances , aren't they ? The segments are utterances , aren't they ? Yeah ."
"[29:05] Speaker_A | Ye that's the impression I get , yeah ."
"[29:07] Speaker_E | Oh , so sorry um . Uh topic s topic segments I meant . Like they are they are a super-unit . So so the utterances are tied to topic segments ."
"[29:10] Speaker_D | Alright , okay ."
[29:11] Speaker_B | Mm-hmm .
[29:12] Speaker_A | Oh .
"[29:21] Speaker_E | And if the time stamps are on a word level , then we b somehow have to extract time stamps for utterances where they start ."
"[29:28] Speaker_B | There there are time stamps um for , well , segments um and for th um segments is for example when when you look at the data , what is displayed in one line ."
"[29:28] Speaker_D | Well , that's easy ."
[29:34] Speaker_E | W what segments now ?
[29:43] Speaker_A | Hmm .
[29:43] Speaker_B | What when when you look at it in the hmm ?
[29:47] Speaker_A | Mm .
"[29:49] Speaker_D | Well it's close enough , isn't it ? It may not be exact every time , but it's a so sort of size we're looking for ."
[29:52] Speaker_B | Um for ex um I I compared it with what I did for the pause um duration extraction . Um and basically it's uh words that are uttered in a sequence without pauses . But sometimes um however there are um short pauses in it and they're indicated by square brackets pause or something in the data .
[29:58] Speaker_E | Mm-hmm . Mm-hmm .
[30:12] Speaker_E | What so that's Oh . But that's one o one segment or is that two segments then ?
[30:14] Speaker_A | Right .
[30:20] Speaker_B | Um someti uh but uh the annotators decided what was one segment and what wasn't .
[30:23] Speaker_E | Yeah .
"[30:26] Speaker_E | Okay . Okay . So but but generally utterances is that which we just called uh sorry , segments is that which we just called utterances now . Like it's it's the sa it's sort of like one person's contribution at a time sort of thingy dingy ."
[30:35] Speaker_B | I think so .
"[30:36] Speaker_D | Yeah , yeah ."
[30:40] Speaker_A | Okay .
"[30:41] Speaker_E | Okay , so yeah , so we have those , and and then we have some f field somewhere else which has"
[30:48] Speaker_E | topics .
"[30:50] Speaker_A | Topics , yeah ."
"[30:51] Speaker_E | Yeah , and and a topic's basically they are just on the I_D_ , probably with a start time or something , and and the utterances referenced to those topics I guess . So the topics don't contain any redundant thing of like showing the whole topic again , but they just sort of say a number and where they start and where they finish . And the utterances then say which topic they belong to ."
"[30:58] Speaker_A | Yeah , I think that's the right one ."
"[31:10] Speaker_B | Yeah , but um I think for some annotations um an uttera ca utterance can have several um types . For example for the dialogue acts and so on ."
[31:10] Speaker_A | Hmm .
"[31:24] Speaker_E | Yeah . No . But I was thinking of the topic segmentation now and and f for that there would only be one , right , because it's sort of like it's just a time window ."
[31:27] Speaker_A | Hmm .
"[31:31] Speaker_B | Yeah . Should be , yeah ."
[31:32] Speaker_A | Mm-hmm .
[31:33] Speaker_E | Yeah .
"[31:36] Speaker_E | So if this lazy loading works , then this should definitely fit into I mean not memory then because it wouldn't all be in memory at the same time . So if we just have those sort of that information like a long list of all the utterances slash segments and like short or smaller lists which give weight to them ."
[32:03] Speaker_D | Yeah .
[32:11] Speaker_D | But why don't we just write it as a new X_M_L_ file ? Can NITE handle just loading arbitrary uh new like attributes and stuff ?
"[32:21] Speaker_D | I mean , I would have thought they'd make it able to ."
"[32:23] Speaker_E | Yeah , I thought that was the whole beauty that like you can just make a new X_M_L_ file and sort of tie that to the other and and it tre"
[32:24] Speaker_D | Yeah .
[32:29] Speaker_D | So why do we need to have two X_M_L_ trees in memory at once ?
"[32:32] Speaker_E | Oh yeah . So no , I didn't I didn't mean tree . No . No . I meant just like handling two different files internally . Sort of c I was just thinking you know like if if the overhead for having the same amount of data coming from two d files instead of from one file is massive"
"[32:46] Speaker_E | then it would probably be for us easy to just like off-line put the the weight into into the file that has the segments , uh yeah , segments slash utterances already . But that we can figure out I mean if it's going horrendously wrong ."
"[33:00] Speaker_D | The other thing is that would mean we'd be using their parser as well , which means we wouldn't have to parse anything , which be quite nice . 'Cause their parser is probably much faster than anything we've come up with anyway ."
[33:06] Speaker_E | Yeah .
"[33:10] Speaker_E | Yeah . Yeah , no , we'd we'd be completely using like the whole infrastructure and basically just I mean the main difference really between our project and theirs really is that we load a different part of the data . But otherwise we're doing it the same way that they are doing it . So we just we're sort of running different types of queries on it . We in a sense we I think we are running queries , it's not just about um what we load and what we don't load , but we're l running queries in the sense that we dynamically select by by weights , don't we ? That we have to check how fast that is , like to say give us all the ones that whether that works with their query language , whether that's too many results and whether we shou"
[33:46] Speaker_A | Mm .
"[33:50] Speaker_E | You know , if 'cause if it i let's say I mean if if their query language is strange and if it would return b ten million results and it can't handle it , then we can just write our individual components in the way that they know which what the threshold is . So they still get all the data and just they internally say oh no , this is less than three and I'm not gonna display it or something ."
"[34:11] Speaker_D | Yeah , I mean we can process it in chunks if it gets too big basically . We can just process it all in chunks if it gets too big to load it into memory ."
[34:14] Speaker_E | Hmm ?
"[34:17] Speaker_E | Yeah . No . I'm just thinking for this whole thing of like a different level , sort of cutting out different different pieces , whether we do that through a query where we say give us everything that's ab above this and this weight , or whether we skip the same infrastructure , but every individual module like the player and the display say like they still get sort of all the different utterances , uh all the different pieces , but they say oh , this piece I leave out , because it's below the current threshold level ."
[34:19] Speaker_A | Hmm .
[34:42] Speaker_D | I think we probably want to store Sorry . I think we probably want to store um a hierarchical information density as well . So like an informan mation density score for each meeting and each topic segment . 'Cause otherwise we'd be recalculating the same thing over and over and over again .
"[35:01] Speaker_A | Yeah , that'd be much more efficient to do that . Yeah ."
[35:02] Speaker_D | Yeah .
[35:04] Speaker_D | And that will obviously make it much easier to display .
[35:08] Speaker_E | When do we need the one for the meet
"[35:13] Speaker_E | Okay . Yeah , I guess for the so when we have the display , will we display the whole series . Then if we have for the individual topic segments within the meetings if we have ready calculated disp um measures , then we don't have to sort of extract that data from the individual utterances . Yeah , and that's also fairly easy to store along with our segments , isn't it . For the segments , are we extracting some type of title for them that we craft with some fancy algorithm or manually or we're just taking the single most highly valued key-word utterance for the segment heading ?"
"[35:25] Speaker_D | Yeah , exactly ."
[35:30] Speaker_D | Yeah .
"[35:44] Speaker_D | Well , we can start off"
[35:47] Speaker_D | like that . Well I was gonna start off I've v got sort of half-way through implementing one that does just I_D_F_ .
[35:53] Speaker_E | Hmm .
[35:55] Speaker_D | And then just I can change that to work on whatever .
