[00:31] Speaker_D | Hmm .
"[10:30] Speaker_B | And one thing I particularly like is if you are not um sort of moving it around to get it to work with the infra-red . Um , I think there is a way around that , but I know in my residence right now the the television you sort of have to walk all around the room to get it to turn on , so i it's just simpler just to just turn around the T_V_ itself , and I think that's if we're gonna make a remote control , it should actually work for what it's doing ."
[10:37] Speaker_D | Yeah .
[10:38] Speaker_C | Yeah .
"[10:57] Speaker_D | What about like batteries and things like that , like are there some remotes that don don't require"
[11:03] Speaker_D | like batteries or do all remotes require batteries ?
[11:07] Speaker_B | I know .
[11:13] Speaker_D | Mm-hmm .
[11:19] Speaker_D | Mm-hmm .
[11:22] Speaker_B | Mm .
"[11:25] Speaker_A | Um . Okay , it seems we have a little bit of a conflict over um to uh combining all the remotes cont together versus having f five different remotes . So um like you said you don't like having all the buttons on one on one remote , and yet you don't wanna have five remotes . So how do we work with that ?"
[11:45] Speaker_C | Mm .
"[11:51] Speaker_B | No doesn't have all the buttons that you need to program the video recorder or program s other things that I'm not very coherent about , but that just has your major buttons for that work for everything , you know volume control , on , off ,"
[12:06] Speaker_A | Mm-hmm .
[12:09] Speaker_B | channel changing .
"[12:10] Speaker_D | And maybe that spatially divides it , so it's like if you're looki if you're trying to get the T_V_ on that's , you know , like the top thing on the remote , I dunno if d be vertical or horizontal in terms of how we're gonna make it , but if it's like all the T_V_ stuff was here , then all the V_C_R_ stuff was here , all the whatever else we have programmed into it it's all just in its separate place and not like all the on buttons together , 'cause then you like , I don't even know what I'm turning on ."
[12:19] Speaker_B | Yeah .
[12:25] Speaker_A | Mm .
[12:27] Speaker_B | Yeah .
[12:31] Speaker_A | Mm .
[12:40] Speaker_D | Mm-hmm .
"[12:41] Speaker_A | Okay , so maybe have like one remote that has the main functions on , off , channel changing , volume , and another rote remote with all the special things . Because that is one thing that um remotes tend to have buttons that the T_V_s no longer have as well . So like you have to have them somewhere , 'cause you're gonna m need those special functions occasionally . Um but not necessarily on the m the normal remote ."
[12:41] Speaker_B | Um .
[12:48] Speaker_B | Yeah .
[12:54] Speaker_B | Mm .
[12:54] Speaker_C | Yeah .
[12:58] Speaker_B | Right .
"[13:03] Speaker_C | Can I ask , are we designing a remote control for a television only um , and if if this device is just to be used for the television"
[13:15] Speaker_C | would we even technically be possible to include video recorder functions on it ?
[13:21] Speaker_C | Um or should we just stick to just stick to having television television related buttons on it ?
[13:28] Speaker_B | Mm .
[13:30] Speaker_A | It's a good question . Um .
[13:34] Speaker_D | Mm-hmm hmm .
[13:35] Speaker_A | If I can .
"[13:36] Speaker_D | I think it's just T_V_ , I mean , if it if we're taking it just new product a new television remote control that's not like doesn't say ."
[13:47] Speaker_B | Mm yeah .
[13:50] Speaker_A | Mm .
[13:52] Speaker_C | So we should maybe we should assume that i t it's just a television that we're wanting to control .
"[13:59] Speaker_C | Well , I mean I suppose it would be nice to have playing and record and stop buttons on it for the video recorder as well I I don't know if that works technologically or not ."
"[14:10] Speaker_B | Yes . I guess we have to define what what we're aiming for . If it's just a television then that it's a bit simpler , 'cause there's less buttons that would even need to be on it ."
[14:20] Speaker_C | Yeah .
[14:21] Speaker_D | It's an idea with the buttons being really .
"[14:24] Speaker_B | Large . If you have older people or people like me that aren't very co-ordinated hand-eye , it's really quite important that you are not pressing a small like teeny mobiles phone size buttons , if we can help it ."
[14:25] Speaker_D | Yeah .
[14:30] Speaker_A | Mm .
[14:34] Speaker_C | Yeah .
"[14:38] Speaker_A | Okay . 'Kay sounds like we've had a good little discussion for our first ideas . Mind if we move on ? Ps mm okay . Um now our next meeting starts in thirty minutes . I believe we've actually been only working on this this one for about twenty , so we can continue discussing more new ideas if you'd like um ,"
[14:44] Speaker_D | Mm-hmm .
[14:44] Speaker_C | 'Kay .
[14:55] Speaker_B | Hmm .
"[14:59] Speaker_A | but this is just a breakdown of what we'll be doing individually . Um the industrial design , Alima will be doing um the working design . Um the User Interface Designer , that's for . Technical functions , I guess like keeping in mind the buttons thing , the size of the buttons . Um user requirements um , so you'll be hearing about different trends , uh about different things that people need , um I guess kind of the same uh discussion that we've been having , we'll get from the actual consum s consumers ."
[15:05] Speaker_B | Yeah .
[15:28] Speaker_D | Mm-hmm .
"[15:32] Speaker_A | Mm 'kay um . And you will get specific instructions sent by your personal coach . I realised in this past one we we didn't have much , we just wanted to get a little brain-storming done . Um so very exited to see all your animals and how what wonderful um artists we all are um ."
[15:58] Speaker_A | Any questions ?
[16:12] Speaker_C | What we're gonna be discussing at the next meeting ? Do we know that ?
"[16:15] Speaker_A | I haven't gotten an agenda yet , um I'll put that together . I'm sure as we'll each get our own instruction and then um because what we gonna do is first our individual actions and then we'll come back together . So I'm sure we'll all have more concrete things to contribute next time"
[16:19] Speaker_C | Right .
[16:26] Speaker_C | Yep .
[16:28] Speaker_B | 'Kay .
[16:31] Speaker_C | Yep .
[16:32] Speaker_B | I'm sure we'll be busy .
[16:36] Speaker_A | Mm 'kay um I'll type up mi minutes and probably email those out to all of you . Um just including all the things that we talked about . Um .
[16:42] Speaker_C | Okay .
[16:45] Speaker_C | Can you e-mail your slides as well ? Is that possible ?
"[16:49] Speaker_A | Yes , I yes , I think I can . Mm-hmm . I'll just attach it to an email . And you're you're number two , three , four ? Is that correct ? Okay ."
[16:50] Speaker_C | Cool .
[16:55] Speaker_B | I'm two .
[16:56] Speaker_D | I'm four .
[17:00] Speaker_B | Alright .
[17:00] Speaker_A | Excellent . It was lovely meeting you all .
[17:17] Speaker_B | 'Kay .
[17:19] Speaker_A | Let me see if I can do that right now .
