[01:55] Speaker_B | Yo .
"[11:56] Speaker_C | Why ? Yeah , it's not just uh designed for people under the age of forty . It's also designed for people above forty ."
[11:57] Speaker_B | Mm .
"[12:02] Speaker_D | Yeah , so so a o one is appropriate ? Or , more like a four . Three ."
[12:02] Speaker_A | Yeah .
[12:02] Speaker_B | Yeah .
"[12:05] Speaker_B | No no , a little more in the middle . No , uh three or yeah ."
"[12:07] Speaker_C | I have I've Yeah , two or three , because it's not just uh the qu question is aimed at is it designed for people with age below forty . But it's also designed for people of age above forty . So ,"
[12:12] Speaker_A | Okay .
"[12:18] Speaker_D | Ah , exactly ."
[12:20] Speaker_D | Exactly .
[12:20] Speaker_C | I'll say it's about three .
[12:22] Speaker_A | Okay .
[12:22] Speaker_D | Three .
[12:25] Speaker_D | Yeah .
"[12:27] Speaker_D | But also for yeah , okay . Uh , second . The remote control is beautiful ."
[12:31] Speaker_B | Yeah . It's Wow .
"[12:39] Speaker_D | Yeah , p s"
[12:41] Speaker_D | Of c of course you have to be uh very positive and uh enthusiastic about your own product .
[12:46] Speaker_B | Yeah .
"[12:48] Speaker_B | Well , it's also fancy then ."
"[12:48] Speaker_D | Three . Uh , the remote control looks fancy ."
[12:52] Speaker_C | Yes .
[12:52] Speaker_A | Yeah .
[12:52] Speaker_B | Yeah . Of course . We have a perfect remote .
[12:53] Speaker_D | One ?
[12:54] Speaker_C | Yes .
[12:54] Speaker_A | Yep .
"[12:56] Speaker_D | Good . Four . The remote control has big , clear channel switching buttons ."
[13:01] Speaker_B | Yes .
[13:05] Speaker_A | Yes .
[13:07] Speaker_D | Daniel .
"[13:08] Speaker_D | Uh , teletext buttons and volume buttons ?"
"[13:12] Speaker_B | Um , uh no . You you've different menu ."
[13:12] Speaker_A | No teletext buttons . Teletext is in the menu .
[13:15] Speaker_D | False ?
"[13:15] Speaker_C | Yeah , false ."
[13:18] Speaker_B | And volume is impo yeah .
[13:19] Speaker_D | And volume ?
[13:20] Speaker_A | Volume is true .
[13:21] Speaker_D | True .
"[13:22] Speaker_C | Uh , hmm ."
[13:23] Speaker_D | Big and clear ?
"[13:24] Speaker_C | Yeah , the they are big and clear . ."
"[13:25] Speaker_B | Yeah yeah , big and clear . But you could make a teletext button uh six . Otherwise , the people who read this uh are gonna think we have no teletext button ."
"[13:26] Speaker_A | Yeah , big and clear ."
[13:28] Speaker_D | Hey .
[13:30] Speaker_D | Hey .
[13:31] Speaker_D | Hide .
"[13:34] Speaker_C | Yeah , but but the teletext button . Yeah , you can ch That's in a menu . So , it's w yeah , it it it it isn't entirely unclear , but So , I wouldn't give it a seven . I would give it a more a five or a six ."
[13:43] Speaker_B | No . Yeah .
[13:44] Speaker_D | Five ? Okay .
"[13:45] Speaker_C | Uh , I don I don't know . What do you think , uh Mister Project Manager ?"
"[13:46] Speaker_D | Yeah , it's it's yeah ."
"[13:47] Speaker_A | Oh , okay . Well , I agree ."
[13:50] Speaker_A | I was thinking very black and white .
[13:50] Speaker_C | Hmm .
[13:53] Speaker_C | Yeah .
[13:59] Speaker_D | Red . Okay . Volume .
[14:04] Speaker_D | The remote control is easy to be found .
"[14:07] Speaker_B | Uh well , when we put in fancy colours , yeah and Yeah ."
"[14:19] Speaker_D | Oh , okay , but 'kay , look . If you put uh your normal uh remote control under your bed , or you throw this remote control under your bed , is it better findable ?"
[14:38] Speaker_D | A li little bit maybe ?
"[14:39] Speaker_B | A little bit , but yeah ."
"[14:40] Speaker_A | Yeah . Well , we p we can do it glow in the dark . So , if it's in the dark place , you still see it glowing ."
[14:41] Speaker_D | Four ?
"[14:52] Speaker_C | Well , then uh then I'll go for four . Because uh four is between three and uh uh also between between true and false . Uh ,"
[14:54] Speaker_D | Four ?
"[14:58] Speaker_B | Yeah , okay , you're right ."
"[14:59] Speaker_A | I think Ah , you must see it as"
[14:59] Speaker_C | so I'll I'll go for four .
"[15:03] Speaker_A | uh , w uh according to uh the the other uh remote controls , there may uh uh be there in your uh T_V_ room , this one will stand out , I think ."
[15:08] Speaker_B | Yeah .
[15:09] Speaker_D | B_ .
[15:11] Speaker_B | Yeah .
"[15:13] Speaker_C | Yeah , that that's a better question actually ."
[15:13] Speaker_B | Yeah .
"[15:14] Speaker_B | Yeah . If your uh fifteen remotes in a drawer , uh you find it , yeah ?"
[15:15] Speaker_A | Exa I think that that's what it's about .
"[15:22] Speaker_D | Yeah , yeah . But but the survey under users was that they uh really lost it ."
[15:25] Speaker_A | Yeah .
"[15:31] Speaker_D | Like , no not uh not seeing it , but lost it in the house or something . But , okay ."
[15:37] Speaker_A | Okay .
"[15:38] Speaker_C | Well , if i if you see a strange shape lying somewhere , uh then you'd uh recognise it as , whoa , that is strange . Yeah . Yeah , what is that . Uh ,"
"[15:52] Speaker_B | Um I would call uh choose two , 'cause we decided not to make two f uh fresh colours , as it would not ."
"[15:56] Speaker_D | Yeah , yeah , not too flashy ."
[15:57] Speaker_C | Yeah .
[16:00] Speaker_D | The remote control is made of soft material .
"[16:02] Speaker_B | Um ,"
"[16:03] Speaker_C | Yeah , rubber , is kind of soft ."
"[16:04] Speaker_B | kinda soft , but but not this . Yeah ."
"[16:04] Speaker_A | Yeah , but not too soft we have decided ."
[16:06] Speaker_D | Three ?
"[16:08] Speaker_A | Three , yeah ."
[16:08] Speaker_B | Yeah .
"[16:10] Speaker_B | Yeah yeah , easy to use , very afford ."
[16:11] Speaker_A | Easy to use . One .
[16:12] Speaker_D | Easy to use ?
"[16:19] Speaker_B | No , you can do two , because um it can be easier . But then you're l yeah , but then you'll lose function f yeah , functionality and our fancy uh look , so ."
[16:21] Speaker_D | It can be easier .
[16:23] Speaker_C | It could yeah .
"[16:24] Speaker_D | Jus just with ten buttons , that's the easiest ."
[16:27] Speaker_C | Functional ability .
[16:28] Speaker_A | Yeah .
"[16:32] Speaker_D | Yeah , but the most uh easy to use is just with one button"
"[16:35] Speaker_B | It is r it is rather easy to use , because you have the primary buttons always visible ."
[16:37] Speaker_D | on t
"[16:40] Speaker_D | Yeah , okay , but easy n not not the most easy to use , I think ."
[16:43] Speaker_B | No .
[16:45] Speaker_D | Two ?
"[16:45] Speaker_B | Yeah , m mine too ."
"[16:45] Speaker_A | Okay , two . Yeah , two ."
[16:48] Speaker_D | We also have to compare it to the uh
"[16:54] Speaker_B | Yeah , but waits just a minutes . Inspiration ."
"[17:00] Speaker_A | What's the time ? We also have uh to do the evaluation , uh the production costs and uh stuff ."
[17:02] Speaker_B | These are the m regular remotes .
"[17:04] Speaker_D | Yeah yeah , I'm uh hurrying . Okay , eleven . The remote control is innovative ."
[17:09] Speaker_A | Yeah .
"[17:10] Speaker_B | Yes , true , one ."
[17:10] Speaker_C | Yes .
[17:12] Speaker_D | A very of course .
"[17:12] Speaker_A | You're agree , Tim ?"
[17:17] Speaker_D | The remote control has m remova removable from Multilux .
"[17:20] Speaker_B | Yes , one ."
[17:22] Speaker_B | Very multifunctional .
[17:26] Speaker_B | No .
"[17:27] Speaker_D | The remote control , i it has speech recognition . False ."
[17:32] Speaker_A | False .
"[17:33] Speaker_B | This is used with speech recognition , this ."
[17:35] Speaker_D | The remote control has built-in games ?
[17:37] Speaker_B | Yes .
"[17:39] Speaker_B | But uh , maybe make it two , because the games are in a sub-menu and not uh it's not an entire game ."
"[17:43] Speaker_A | Yeah , but they are built in , so it's one ."
"[17:45] Speaker_C | Yeah , they are built in ."
[17:46] Speaker_D | Yeah .
"[17:46] Speaker_B | Yeah , okay ."
[17:47] Speaker_C | Not down .
[17:53] Speaker_B | Yes .
[18:02] Speaker_D | Save as .
[18:07] Speaker_B | It changes it maybe .
"[18:08] Speaker_D | Okay , I will uh"
[18:13] Speaker_B | Oh yay .
[18:13] Speaker_D | do the the math .
[18:15] Speaker_B | Oh dear .
[18:16] Speaker_D | Now it's your turn .
"[18:17] Speaker_A | Okay , thank you ."
[18:26] Speaker_B | Hmm ?
[18:33] Speaker_A | Mm .
"[18:48] Speaker_A | Okay , we have now to c uh to calculate the production cost . If it's under uh twelve and half Euro , then it's uh ok uh okay . But i is it if it is b Huh ? No , this isn't right . Okay so , . Redesign . Oh yeah , if they under Yeah ."
[19:06] Speaker_B | If they're under twelve fifty .
[19:10] Speaker_A | No .
[19:12] Speaker_B | Yeah ? Cau 'cause so it's okay .
"[19:33] Speaker_A | Uh , we have to fill in the numbers of the component uh components . We have to uh fil uh , want to uh do it in and uh see uh if we stay under the twelve and a half Euro . So , do we have uh a hand dynamo ? No ."
[19:50] Speaker_C | No .
[19:51] Speaker_A | That's zero .
"[19:51] Speaker_C | Me , too ."
"[19:54] Speaker_B | Battery , yes . One . One , yeah ."
[19:54] Speaker_C | Yes . Yeah .
"[19:55] Speaker_A | Battery , one ? Okay ."
"[19:58] Speaker_B | Kinetic , one . Yeah ."
"[19:59] Speaker_A | Kinetic , one ? Okay , solar cells , zero . Okay , uh simple chip on print ? No ?"
[19:59] Speaker_C | Yeah . Yeah .
[20:02] Speaker_C | Yeah .
"[20:04] Speaker_C | Uh , n no ."
[20:05] Speaker_D | No .
[20:07] Speaker_D | Advanced chip .
[20:08] Speaker_C | No .
"[20:08] Speaker_A | No , advanced chip . Sample sensor sample speaker ?"
[20:08] Speaker_B | No .
[20:09] Speaker_C | Yes .
[20:12] Speaker_C | No .
[20:12] Speaker_D | Advanced chip is three .
[20:15] Speaker_A | Three ?
"[20:15] Speaker_D | Three Euros , yep ."
[20:17] Speaker_B | Yeah .
"[20:17] Speaker_A | Yeah uh , but it it's one one thing , it's three Euro . Uh , what's the sample sensor ?"
"[20:19] Speaker_D | Okay , one piece , yeah ."
"[20:21] Speaker_C | No , sev zero ."
[20:21] Speaker_D | No .
"[20:23] Speaker_C | Well , that's um yeah , speech recognition and s"
"[20:25] Speaker_D | Speech recognition , I think ."
"[20:25] Speaker_B | Yeah , you give it a sample , uh one ."
[20:26] Speaker_A | Okay .
"[20:28] Speaker_A | Zero . Uh , uncurved flat . No . But is it s it's not made from a single uncurved thingy and then uh and then uh no ? Okay . So it's only uh once double-curved ."
[20:31] Speaker_B | No .
[20:31] Speaker_D | No .
[20:31] Speaker_C | A zero .
[20:34] Speaker_D | No .
[20:34] Speaker_B | You no .
[20:37] Speaker_C | No . No .
[20:45] Speaker_C | Yeah .
"[20:45] Speaker_D | Yes , three . Eight ."
"[20:50] Speaker_A | Okay . We're now in a problem , 'cause uh we have uh reached eleven Euro yet ."
"[20:58] Speaker_D | Okay , go on . Just go on ."
[21:00] Speaker_C | Just go on . Then we'll see uh we'll we'll see uh wha how much we are over budget .
[21:04] Speaker_A | Okay .
"[21:05] Speaker_B | Could you step a little to the right ma Yeah . Oh , sorry ."
[21:06] Speaker_D | Two .
[21:09] Speaker_D | Two .
"[21:09] Speaker_A | Uh , rubber ."
[21:12] Speaker_A | You .
[21:12] Speaker_C | Zero .
[21:13] Speaker_B | And zero .
[21:14] Speaker_B | Special uh is the special colour ? Mm .
[21:16] Speaker_A | Special colour ?
[21:18] Speaker_D | No .
"[21:19] Speaker_B | Yeah . Yeah , if if you're honest , we'll uh type one , special colour ."
"[21:28] Speaker_D | Yeah , but but D but Daniel , tha that's that's another brand . That's another article"
"[21:30] Speaker_A | Yeah , one ."
[21:35] Speaker_D | to sell .
[21:36] Speaker_B | Yeah .
"[21:41] Speaker_B | Uh , j maybe we'll finish uh the the list first and then look back , aye ?"
[21:41] Speaker_D | That doesn't account for this . Producing this .
"[21:45] Speaker_A | Okay , the push-button , no ."
"[21:47] Speaker_B | No . Scroll wheel , no ."
"[21:48] Speaker_A | Scroll-wheel , no ."
"[21:51] Speaker_A | No . Oh , no . Yes , one . Uh , button , no . No , the the we don't have a s no . Okay . Oh , okay . So , um what's the thing we can change ?"
"[21:54] Speaker_B | One , yeah ."
[21:56] Speaker_C | No .
"[21:57] Speaker_B | No . Mm , is it No . No ."
[21:58] Speaker_C | These three .
[22:00] Speaker_D | No .
[22:06] Speaker_B | No . No .
"[22:06] Speaker_C | Well , other case , we can make it single-curved or uncurved ."
[22:10] Speaker_D | Yeah .
"[22:10] Speaker_A | Uh , can I uh I say something ? No , can I say something uh as Project Manager ? The kinetic thing , can we just skip it , because uh you have to shake it , but that's not really innovative ."
"[22:10] Speaker_B | Mm , single-curves ."
[22:14] Speaker_B | Yeah .
"[22:19] Speaker_C | Yeah . Okay , sure ."
"[22:23] Speaker_B | Yeah , we just put a good battery it it . Mobile phones nowadays ."
[22:24] Speaker_D | Yeah .
"[22:25] Speaker_D | Daniel . Daniel , what do you think about Here . What do you think about uh putting a battery in it , but also selling like uh the covers , a docking station just apart from the from the thing , so that you can uh put uh"
[22:33] Speaker_A | Yeah .
[22:41] Speaker_A | Mm-hmm .
[22:47] Speaker_A | Okay .
"[22:48] Speaker_B | But you can use rechargeable batteries anyway , just you s you have to recharge them manual ."
"[22:51] Speaker_A | Yeah , and not really . But we if you forget about the kinetic , well if we do that ,"
"[22:52] Speaker_D | Yeah , yeah , okay ."
[22:55] Speaker_D | Just an idea . Yeah .
"[22:56] Speaker_B | Yeah , that's a cost reduc"
"[22:56] Speaker_C | Yeah , sure ."
[22:59] Speaker_A | we shall .
"[23:01] Speaker_C | Okay , well you you can go from double-curved to single-curved ."
"[23:04] Speaker_D | Yeah , of course ."
[23:06] Speaker_C | And that would solve the budget problem .
[23:10] Speaker_C | Yeah .
"[23:18] Speaker_A | Oh , okay , okay . So that's wh tha that's one option ."
"[23:18] Speaker_C | Yeah . Exactly , yeah ."
[23:20] Speaker_D | Yeah .
"[23:23] Speaker_A | And then w yeah , and then we could have it , but uh it's its' well it's it's r it is the main point of the the the the look ."
"[23:30] Speaker_B | Yeah , but what else uh do we have to cut out ? No advanced chip , uh that's a little bit of problem ."
"[23:35] Speaker_A | No , tho uh that that can be done . So uh ,"
[23:36] Speaker_D | Yeah .
"[23:38] Speaker_B | Although , can we make it with a regular chip ?"
"[23:40] Speaker_A | okay , a little less uh conversation ."
[23:43] Speaker_B | Curvy .
[23:47] Speaker_A | Sorry ?
[23:50] Speaker_A | Fill in Just a
[23:53] Speaker_D | Okay .
[23:54] Speaker_A | explanation . I can delete it for you if you want .
"[23:56] Speaker_D | No , no no ."
"[23:57] Speaker_A | So , if we do this , uh we're on uh twelve and a half Euro . And we're done ."
"[24:04] Speaker_B | Yeah , but does it fit with our design ? Do we have to u adapt it ?"
[24:11] Speaker_B | It's single-curves .
[24:13] Speaker_D | Yeah .
"[24:18] Speaker_C | Yeah , we just make it flat . But , you do l"
[24:20] Speaker_B | Okay .
[24:29] Speaker_B | More . Yeah . You make it optional .
"[24:32] Speaker_D | No , but"
[24:37] Speaker_C | Function .
[24:38] Speaker_B | Functional .
"[24:40] Speaker_B | Uh , there's an a a athe aesthetic value , but not functionality ."
[24:41] Speaker_D | Yeah .
"[24:43] Speaker_A | Yeah , it's really a static value . Yeah ."
"[24:44] Speaker_D | Yeah , uh aesthetic ."
"[24:46] Speaker_D | I mean , uh you make like eleven and a half Euros profit"
[24:56] Speaker_D | I don't know if twelve and a half is uh a fixed uh fixed price .
"[25:01] Speaker_C | Yeah , well let's assume it is . We we should assume it i that it is . But I I figured that the kinetic would be a marketing promotion . R if you uh promote a kinetic um I kinetic remote control , I mean , that would b sell better than an a normal remote control ."
"[25:01] Speaker_A | Yeah , it is . Oh ."
"[25:01] Speaker_D | No , we can't go above that . Yeah ?"
"[25:04] Speaker_A | Yeah , okay ."
[25:04] Speaker_B | Yeah .
"[25:05] Speaker_D | Yeah , okay . Then it's okay ."
[25:19] Speaker_D | Yeah .
"[25:21] Speaker_D | Yeah , I think so ."
"[25:23] Speaker_C | No , well , y I mean uh , y you can go into your neighbour and tell him , ha , my k uh remote control is kinetic . You have standard old battery control uh remote con"
[25:28] Speaker_B | Yeah .
[25:30] Speaker_D | Yeah .
"[25:31] Speaker_D | What a what about all the m the environment freaks ? Not freaks , the envi"
[25:32] Speaker_B | Yeah .
[25:39] Speaker_C | True .
[25:43] Speaker_D | It look like this one .
[25:44] Speaker_B | You ma can make an an especialised extra gold version .
[25:45] Speaker_A | Yeah ?
"[25:47] Speaker_A | Who because if you want to go to kinetic , you're uh you're on thirteen and a half and you must go to flat , and I think now it's it's more of uh a compromise"
[25:57] Speaker_B | Yeah .
[25:58] Speaker_D | Yeah .
[25:58] Speaker_A | thing .
"[26:00] Speaker_A | And if you make the single curve ha just a big curve ,"
[26:18] Speaker_A | Wood is m is is is cheaper than rubber . We thought that wood would be more expensive .
[26:22] Speaker_D | Yeah .
"[26:27] Speaker_A | Yeah , maybe . But uh that this is this is it ? Yeah . Okay , this is it . I'm gonna save it ."
[26:32] Speaker_D | This is it .
[26:33] Speaker_B | Whoever makes uh a remote control out of titanium .
[26:36] Speaker_A | Yeah .
[26:43] Speaker_B | No .
"[26:45] Speaker_A | Okay , well ,"
"[26:50] Speaker_D | Ah no , we have to do all those hours again ."
[26:55] Speaker_D | Go back . One back ?
[27:04] Speaker_D | Yeah .
"[27:05] Speaker_B | We sue . We Yeah , we'll start her all o all over again ."
"[27:06] Speaker_D | Yeah , okay , yeah ."
"[27:08] Speaker_A | Okay , um now uh it's about time to uh talk about uh this project . Uh , some uh things . Were there uh room for uh was there room for creativity in our meetings or in your individual meetings ?"
[27:22] Speaker_D | Hmm .
"[27:24] Speaker_D | I I didn't think so . That there was a lot of room for it . But , that's mainly because uh of the information that was delivered to us . It was just fixed information and get your stuff from there , and I couldn't go on on i on the internet and search my own stuff . Bu"
[27:35] Speaker_A | Yeah .
[27:40] Speaker_A | Yeah .
"[27:43] Speaker_A | Yeah , yeah , yeah . That's true . I agree with that ."
"[27:48] Speaker_C | Well , I th I think you two , uh especially you and uh and uh Daniel , you d you you both had uh the less creative uh roles in the project ."
[27:56] Speaker_D | Yeah .
[27:57] Speaker_A | Yeah . That's true .
"[27:59] Speaker_B | For us , there was a lot of creativity . We could just sign up an uh remote if we liked ."
[27:59] Speaker_C | 'Cause I think m
"[28:03] Speaker_A | Yeah . Yeah , that's true ."
[28:04] Speaker_D | Yeah .
"[28:06] Speaker_C | I think Jeroen and I , we had a more design we could have more we had more room for creativity than than you two ."
[28:12] Speaker_A | Yeah .
"[28:13] Speaker_D | Yeah . Yeah , that's true ."
[28:19] Speaker_D | Leadership was uh crappy .
"[28:33] Speaker_D | No , leadership was uh"
"[28:35] Speaker_B | Okay , yeah ."
"[28:36] Speaker_C | Yeah , it was good ."
"[28:41] Speaker_A | Yeah , that's true ."
[28:50] Speaker_A | Yeah .
[28:55] Speaker_A | Yeah .
"[28:57] Speaker_A | Yeah . I notice it too . I was a I was also very uh unhappy , uh very unsatisfied uh about the"
[29:12] Speaker_A | get better and uh I think the the last two meetings uh also we we reached uh some good decisions about uh talk yeah .
"[29:14] Speaker_D | No , it you did better ."
"[29:19] Speaker_B | Yeah , more more consensus . Ev everybody w was agreeing every Yeah ."
[29:20] Speaker_D | Yeah .
[29:22] Speaker_D | Much more constructive .
[29:32] Speaker_A | Yeah .
[29:41] Speaker_D | Two guys .
"[29:41] Speaker_B | Well , it went okay ."
[29:44] Speaker_A | Yeah ?
[29:45] Speaker_A | No hard feelings .
[29:49] Speaker_A | Yeah . Now you you must push a little while .
"[29:52] Speaker_B | Yeah , but but draw something uh difficult . D uh just write your name right now . Try to write your name , in in writing letters , of course , yeah ?"
[29:56] Speaker_C | Yeah .
[29:59] Speaker_A | Okay .
"[30:06] Speaker_B | Yeah , normally , uh this uh the w Block letter sign it , yeah ?"
[30:11] Speaker_A | O Just uh okay .
"[30:17] Speaker_A | You can be you can go quicker , 'cause then it it won't notice it ."
"[30:22] Speaker_B | Uh he he knows how it works , yeah ."
"[30:24] Speaker_A | I follow the Master class for the SMARTboard , so I think that's the that's the main issue . Um , so uh about this one you were uh you're dealing with , um the the the the digital pen ."
[30:30] Speaker_D | Okay .
[30:32] Speaker_D | Means .
"[30:37] Speaker_B | Y well , yeah . Th the i"
[30:42] Speaker_A | Okay . Yeah .
