[00:23] Speaker_D | Hello .
"[17:28] Speaker_A | But uh , the D_V_D_ players and home cinema sets often double as stereo hi-fi sets probably . It's what , from my experience ."
[17:31] Speaker_D | Yeah .
[17:36] Speaker_D | I don't know . Hi-fi set is uh not often used uh as I know of in combination with television .
[17:38] Speaker_A | Okay .
"[17:47] Speaker_A | Oh , it is only for televis"
"[17:56] Speaker_D | well we we're gonna brainstorm about that . If we think it's useful , we do it ."
"[18:00] Speaker_A | But , where where did it uh Where did you find that ?"
"[18:04] Speaker_B | Uh , in the email . I thought it said uh Yeah , television remote control ."
"[18:05] Speaker_A | Oh , okay ."
"[18:13] Speaker_C | Yes , that's uh something extras ."
[18:14] Speaker_B | True . Yeah .
[18:17] Speaker_B | True .
[18:18] Speaker_D | Yep .
[18:25] Speaker_C | Yeah .
"[18:25] Speaker_D | Yeah , also no one's gonna buy it ."
"[18:25] Speaker_B | Yeah , yeah ."
[18:27] Speaker_A | Okay .
[18:27] Speaker_B | Yeah .
[18:28] Speaker_D | I guess .
[18:28] Speaker_B | True .
[18:30] Speaker_D | Yeah .
"[18:30] Speaker_A | Well , this the maybe is uh some aspect of the uh , or or some point at at which we can excel by making it very useful . That w Well , then you're you're the usability uh man , so this uh gonna be a very important task for you then ."
[18:43] Speaker_B | Okay .
"[18:45] Speaker_A | Okay . Well , other ideas ? How can we make it trendy or something ? Do uh by just sh shape and the look of it ?"
"[18:52] Speaker_A | Maybe a can opener underneath it ? I don't know . Or someth something special , like uh M_P_ three player inside of it , or uh Oh , well then the production costs are gonna be too high probably ."
"[19:03] Speaker_D | Yeah , way too high ."
"[19:03] Speaker_B | Uh , I th I think yo we have to keep it simple , to get a whole market . It's international , so we have to use a standard ."
[19:06] Speaker_D | Yep .
"[19:08] Speaker_A | Okay . Maybe with different type of fronts or uh Well , m has to be something spectacular or uh one which makes it We gonna skip back to the goals probably . Uh ,"
"[19:12] Speaker_D | Well that's an idea of course , yeah ."
[19:19] Speaker_D | Mm-hmm .
"[19:21] Speaker_A | original , trendly , and user-friendly Well , we al also already talked about user-friendliness . No , well something trendy and original , well that that goes hand in hand I guess . When something is original , it tends to be trendy , probably , or we should make it combination of that ."
[19:25] Speaker_B | Hmm .
"[19:38] Speaker_A | 'Kay , so you the um technical part of the process is something you're gonna look after for , so you have to think about what kind of uh equipment you want to uh , you know , you want to manage with it . Well , and that's an important part for you then , with gogors regards to the user-friendly part of it ."
[19:55] Speaker_B | Use friendly .
[19:58] Speaker_B | Yep .
"[20:00] Speaker_A | Well , and you uh should look out for what makes it trendy . Well , you know , y like some special feature . Or some Does it does it gets some gadgetness or something ."
[20:09] Speaker_D | Yeah .
"[20:11] Speaker_D | Yes , what the market wishes ."
[20:12] Speaker_A | Okay .
"[20:26] Speaker_A | Already s said that . The User Interface Designer is it a User Inter User Interface the technical functions design . And the Management Expert of uh the Marketing Expert . User requirements specifi Well , this one was already clear to us . Specific instructions will be sent to you by your personal coach . I don't know how much time we have left . Oh , not many I guess . We started at twelve ."
"[20:32] Speaker_B | Yeah . Yeah , yeah . Interface d"
[20:51] Speaker_D | You just got a message .
"[20:52] Speaker_A | Oh , and what does it said ?"
"[20:53] Speaker_D | And it said uh five minutes , so we got four and a half ."
[20:58] Speaker_B | I didn't get a message .
[21:00] Speaker_D | No .
[21:02] Speaker_D | He's the whatever .
"[21:02] Speaker_B | Oh , the Project Manager ."
"[21:05] Speaker_A | No , we're uh ahead of schedule then ."
"[21:09] Speaker_A | Yeah , close it ."
[21:11] Speaker_B | Okay .
[21:19] Speaker_B | Okay .
[21:21] Speaker_D | Project joc project documents is for showing uh on the white-board . Yeah .
"[21:25] Speaker_A | Yeah . Yeah , but we're all familiar with uh uh Microsoft PowerPoint , are we ? Yeah , okay . I'm gonna wri uh write some stuff down and then we're ready ."
[21:30] Speaker_D | Yes .
[21:30] Speaker_B | Yeah .
[21:32] Speaker_D | Alright .
[21:35] Speaker_D | Okay .
[21:45] Speaker_C | No .
[21:45] Speaker_D | No . I don't think so . Yes ? Great .
[21:46] Speaker_A | Okay .
[21:49] Speaker_A | Yes .
[21:50] Speaker_C | Oh .
[21:52] Speaker_A | We'll see each other in uh thirty minutes .
"[21:57] Speaker_A | Yeah , good luck ."
