[00:57] Speaker_A | Right uh .
[30:37] Speaker_B | Did we decide anything about um the other functions ? As in setting the audio and tuning it and stuff like that ? You had an had an idea about the menu ?
"[30:56] Speaker_B | But just thinking um people probably I mean you don't have you only have to probably tune in the T_V_ once , but you have to be able to tune it that once . So and if finally the T_V_ breaks , you get a new one , you're gonna have to be able to tune it . You can't really avoid that . Except the new digital markets which do it by themselves ."
[31:02] Speaker_D | Yeah .
[31:06] Speaker_D | Mm-hmm .
[31:07] Speaker_C | Hmm .
[31:07] Speaker_A | No .
"[31:10] Speaker_A | But the but that's relying on the television market changing to an automatic and if it is at the moment , that's fine . But at the moment it's not , so it seems to me that you have to have a device that caters , 'cause otherwise it would make it uh your device would become inoperable , or only operable in certain circumstances and the idea is to have an international market which is And it's also m it's the the product we've got is something that's at the I would have said the lower end of the s of the cost scale , so we're not really going for something that's uh"
[31:11] Speaker_D | Yeah .
[31:16] Speaker_B | Yes .
[31:24] Speaker_B | Yeah .
[31:29] Speaker_B | Yeah .
[31:32] Speaker_B | Yeah yeah .
[31:33] Speaker_C | Mm .
[31:36] Speaker_D | Yeah .
[31:44] Speaker_D | Yeah .
[31:48] Speaker_D | I s I suppose um
[31:49] Speaker_A | terribly high-tech .
[31:55] Speaker_A | Possibly .
[31:58] Speaker_A | That's right .
"[32:06] Speaker_B | Yeah . So how would this menu function work ? Would you maybe have like one menu button , then you'd use the other buttons , maybe the number buttons to actually do the separate functions ."
[32:07] Speaker_C | Yeah .
"[32:14] Speaker_D | Yeah , that would be a good idea , yeah ."
"[32:15] Speaker_C | Yeah , like the volume or something ."
[32:16] Speaker_B | Okay .
"[32:18] Speaker_C | Yeah , 'cause you do need um kind of brightness and contrast and everything as well . My dad was watching a film the other week and it was too dark , so I had to go through it and turn the brightness up ."
[32:22] Speaker_D | Mm-hmm .
[32:27] Speaker_D | Hmm .
"[32:54] Speaker_B | Right , okay um ."
[33:12] Speaker_D | Right .
"[33:14] Speaker_A | Okay , well ."
[33:14] Speaker_D | Okay .
"[33:14] Speaker_C | Well , if we're trying to keep it slee sleek and sexy as well , have you seen those remotes where kind of um the bottom bit slides down , so there's kind of um everything else revealed ? So you don't use it that much , you don't have to see it all the time . But it's all there if you need it ."
[33:18] Speaker_A | Mm .
[33:21] Speaker_D | Yeah .
"[33:22] Speaker_A | So y Ah That's a very good idea . So you keep um Right we've got five minutes before we wind up this meeting , so I've been told . I don't know if you've got the same . Okay . So so keep um keep detailed functions um hidden at the back ."
[33:26] Speaker_B | That is that is a good idea actually . Sor sort of a second .
"[33:26] Speaker_D | Yeah , yeah ."
[33:31] Speaker_C | Like a hidden panel .
[33:36] Speaker_B | Okay .
"[33:38] Speaker_B | Uh not quite , but I guess ."
[33:41] Speaker_B | Keep the other buttons but hide them away .
"[33:52] Speaker_C | Hmm . And that'll be better for the older generation as well 'cause , well my dad doesn't like anything that you've got to kinda flick through a menu , but he can pretty much read a button if it's displayed properly ."
[33:57] Speaker_A | Ah .
[33:59] Speaker_D | Mm-hmm .
[34:02] Speaker_A | Mm-hmm .
[34:02] Speaker_D | Yeah .
"[34:04] Speaker_B | So um we're gonna have to have to work out what's gonna be on these other functions as as well . So we're gonna have like two separate two separate lists , I guess ."
[34:09] Speaker_D | Yeah .
[34:10] Speaker_A | That's right .
[34:12] Speaker_D | Yeah .
[34:22] Speaker_C | Yeah .
[34:23] Speaker_A | That's right so we're dis So you've got which ones are gonna be on the front and which ones are gonna be on the back . We have to decide .
[34:28] Speaker_B | So sh
[34:30] Speaker_D | Mm-hmm .
[34:32] Speaker_D | Yeah .
[34:33] Speaker_A | I guess so .
"[34:36] Speaker_A | So on front ,"
"[34:40] Speaker_A | numbers ,"
[34:43] Speaker_B | Um the volume up and down .
[34:44] Speaker_C | And the volume ?
[34:47] Speaker_B | Shall we have a mute button as well ?
[34:47] Speaker_C | Um .
[34:49] Speaker_A | Sorry ?
[34:50] Speaker_B | A mute button as well .
[34:51] Speaker_C | Yeah .
[34:52] Speaker_A | Mm .
[34:53] Speaker_C | Yeah I think they're handy .
[34:54] Speaker_D | Mm-hmm . And probably a power one as well . Dunno .
[35:02] Speaker_C | I know it's probably like um
"[35:05] Speaker_C | not an issue to raise here , but um the whole thing about not using your standby uh because of the like waste of electricity . Have you seen the adverts ? Like if you boil the kettle that's full that's a waste . If you leave your telly on standby it powers Blackpool for a certain amount of time . Like we should maybe try to discourage people from standby ."
[35:15] Speaker_D | Mm-hmm .
[35:16] Speaker_D | Yeah .
[35:16] Speaker_A | Mm-hmm .
[35:23] Speaker_B | But then they might not buy it if they haven't got one . 'Cause people might just be too fickle and not want to change .
[35:25] Speaker_D | Yeah .
"[35:25] Speaker_C | Yeah , it's maybe too much of a big issue for here . Uh-oh danger sign ."
[35:28] Speaker_B | We can send out a flier with the device saying that you shouldn't leave it on stand-by .
[35:32] Speaker_B | I think you probably should .
"[35:33] Speaker_C | Yeah , but a little bit smaller . Compromise ."
[35:37] Speaker_A | Well .
[35:39] Speaker_B | Um are we gonna have the channel up and down as well as the number buttons ?
"[35:41] Speaker_D | Um 'cause yeah the market research said there is quite a lot of people do just zap around and flick , so ."
[35:49] Speaker_C | Right .
[35:52] Speaker_B | So we've got ten eleven twelve thirteen fourteen fifteen sixteen there ?
[35:57] Speaker_D | Um .
"[35:57] Speaker_A | Channel up and down . What else have we got ? What was that , sixteen ?"
"[36:00] Speaker_D | Numbers is ten , volume is"
"[36:04] Speaker_D | twelve , th Yeah si One up , one down ."
[36:04] Speaker_A | Volume button . How many volumes ?
[36:08] Speaker_A | Right okay .
[36:11] Speaker_C | On mute .
"[36:12] Speaker_D | And a mute , yeah . That's sixteen isn't it , yeah ."
[36:15] Speaker_B | Is there anything else ? Um .
"[36:18] Speaker_D | I don't think so , no ."
"[36:19] Speaker_A | Power button , stand-by , channel , up and down . So is that it ?"
"[36:26] Speaker_A | Okay . That's sixteen buttons , you reckon . And then at the back ?"
[36:32] Speaker_D | You've got
[36:34] Speaker_D | brightness and contrast .
"[36:38] Speaker_B | Maybe if we're gonna run out of time , one of us should come up with a list of these and then get back at the next meeting just at the start and say what they're gonna be ."
[36:44] Speaker_A | Okay . So on the back
[36:45] Speaker_D | Yeah .
[36:45] Speaker_C | Mm-hmm .
"[36:47] Speaker_A | it'll have brightness , contrast , anything else ? You're also gonna have the channel tuner , as it were ."
[36:51] Speaker_C | Uh there's audio functions .
[36:54] Speaker_D | Yeah .
"[36:55] Speaker_B | So tuner up and down , I guess ."
[36:58] Speaker_C | Yeah .
"[36:58] Speaker_A | Tuner , would that have up and down ? ."
"[37:01] Speaker_B | Um up Tune one way , tune the o I I dunno I dunno possibly ."
[37:02] Speaker_C | I think they normally do .
[37:04] Speaker_D | Yeah .
[37:05] Speaker_C | Yeah .
[37:08] Speaker_D | And then maybe sort of an enter button for
"[37:11] Speaker_D | sort of s you know , saying that you want that particular thing tuned in . So you go up and down and then it pick it finds something and then you wanna press enter to select it , yeah ."
"[37:19] Speaker_B | Oh yeah and th and a enter button just to select . Yeah , okay ."
"[37:27] Speaker_B | Um I guess we're keeping s it simple . We don't really need any other audio funct uh functions because it's just volume up , volume down ."
"[37:33] Speaker_A | Um up volume , yeah , I would have thought so ."
[37:35] Speaker_B | Um .
[37:36] Speaker_D | Yeah .
[37:37] Speaker_C | So I think um
"[37:40] Speaker_C | there's quite a lot of like Dolby surround studio , surround sort of things ."
[37:44] Speaker_D | Yeah .
[37:44] Speaker_A | Okay .
[37:44] Speaker_C | Um maybe for the younger market .
"[37:44] Speaker_B | Do they have their own do they have their own controls on their actual products , then , or do you have to do it via the remote ?"
[37:51] Speaker_C | Um I think they've got their own controls in this kind of like hidden panel .
[37:55] Speaker_B | Yeah I suppose if we've got their if they've got their own controls then we can avoid it for ours just to keep it simple .
[37:58] Speaker_A | Yeah . Yeah .
"[38:00] Speaker_C | Oh no , I mean um like there's kind of individual buttons for them , like on the T_V_ remote . But I don't really know what they're for , I've never used them . I just know they're something to do with Dolby ."
"[38:03] Speaker_B | Oh , okay ."
[38:05] Speaker_B | Right .
[38:06] Speaker_D | Mm-hmm .
[38:08] Speaker_B | Um .
[38:16] Speaker_B | Well shall we look into that and just get back together .
"[38:19] Speaker_A | Okay . Right so I'll do the minutes of uh this meeting . And we'll meet back at I'm not sure . Um forty minutes , I believe is the time ."
[38:19] Speaker_D | Okay .
[38:20] Speaker_C | Right .
[38:20] Speaker_D | Right .
[38:33] Speaker_B | 'Kay .
[38:36] Speaker_A | Come on .
