[00:08] Speaker_A | Right well .
"[05:19] Speaker_A | Good , this is why we need to make these things simple so that the uh the the the boss can understand . Now I've um this is the company's uh uh costing for for various uh uh aspects of design and I I I've treated some of these slightly uh liberally given the constraints placed on us , um I wouldn't know for in for instance if if they require us to have it in the corporate colours , then that is not a special colour , that's a that's a standard colour . Uh , so we're just simply on batteries , the the one th the one decision I've had to make is that um"
"[06:01] Speaker_A | we're we will have to find a s a regular standard chip to to do this with and I I um I'm I'm I'm certain that they they are around so , um that I don't think is a a serious problem . The uh the the voice sensor is is expensive but we we made a a basic decision that that was absolutely fundamental to the to the design so that that has to stay . Um then again the the the the shape of the case means that it's it's expensive to uh um"
[06:36] Speaker_A | l to make 'cause of the the th the double curves but on the other hand because of our overall fashion concept um we we should exceed the the sales targets . Um it's simply made of plastic so th that's uh that's no problem and uh um just because the whole the colour of the the whole thing that's uh uh there's some cost there . Um and uh
[07:06] Speaker_A | we haven't actually got a scroll wheel we we we got push buttons and and a simple uh um
"[07:50] Speaker_A | uh you know the the the the concept of it being a a fashion accessory and and having the the interchangeable covers so uh um you know the if if if the management expect us to be techno again fail again technologically innovative um that they they have to accept that we we can't operate absolutely within uh the constraints that they give , so uh we we we present this as the uh the company's uh the the company's way forward and uh uh I I think we can argue that we we have uh come in on on budget . Um ."
[07:51] Speaker_B | Mm .
[08:11] Speaker_B | Mm .
"[08:32] Speaker_A | Okay , uh ."
[08:37] Speaker_A | So um .
[08:40] Speaker_A | Does anybody want to uh uh Andrew do you want what do you want to say about um
[08:47] Speaker_A | the uh yeah the evaluation where where you know well where where we're where where we're at ?
[08:48] Speaker_D | Evaluation .
[08:55] Speaker_A | The the the well the I meant the product .
"[09:02] Speaker_A | Yeah . Oh sorry yeah um , mm ."
[09:08] Speaker_D | Cheers .
[09:13] Speaker_A | More loud clicks in the microphone .
[09:32] Speaker_D | Method of evaluation testing the product was to just if it met all the criteria all the conditions that we set out to
"[09:42] Speaker_D | set out to solve , from the point of view of the the consumer and the management . So"
"[09:47] Speaker_D | what I've been asked to do is , on the whiteboard"
[09:53] Speaker_D | um gauge
"[09:54] Speaker_D | our team response to these questions . So , on a scale of one to seven , one being true and seven being being false ."
[10:09] Speaker_D | And then at the end just take an average
[10:12] Speaker_A | On for true and seven for flase .
[10:16] Speaker_D | Yes .
[10:17] Speaker_A | Yes .
[10:27] Speaker_D | So uh .
[10:43] Speaker_A | Well I think most definitely .
[10:44] Speaker_B | Yeah I'd say definitely a one yeah .
[10:44] Speaker_C | I think it is yeah .
[10:48] Speaker_D | So uh and also uh technologically innovative ?
[10:52] Speaker_A | Yes the voice technology indeed .
"[10:53] Speaker_B | Yeah , defi yeah , yeah"
[10:53] Speaker_C | Yeah .
[10:58] Speaker_D | Easy to use ?
[11:00] Speaker_A | I don't see we could've made it any easier .
[11:00] Speaker_C | Yeah .
[11:00] Speaker_B | Yeah .
[11:08] Speaker_A | Totally .
[11:08] Speaker_B | Yeah definitely .
[11:09] Speaker_C | Yeah I think it made we met all of the consumer
[11:12] Speaker_B | Yeah .
[11:13] Speaker_D | Yeah .
[11:15] Speaker_C | wants .
[11:16] Speaker_D | Uh is it complicated ?
[11:18] Speaker_A | No .
[11:18] Speaker_C | No .
[11:20] Speaker_D | Doing pretty well so far aren't we ? Uh functional ?
[11:23] Speaker_A | Yeah .
[11:23] Speaker_B | Yeah definitely .
[11:24] Speaker_C | Yeah .
[11:27] Speaker_D | Um .
"[11:33] Speaker_D | We've b built in the the speech , where are you , function ."
[11:34] Speaker_B | Yeah .
"[11:36] Speaker_B | Yeah . Yeah , mm-hmm ."
[11:36] Speaker_C | Yeah .
[11:37] Speaker_A | Yeah .
[11:38] Speaker_D | Uh-huh .
[11:41] Speaker_A | Does it take long to learn to use ? Shouldn't .
"[11:43] Speaker_B | No , not at all ."
[11:43] Speaker_D | Mm-hmm .
"[11:46] Speaker_D | And uh , what else ? The R_S_I_ compares to the current standards , well ."
[11:53] Speaker_B | Yeah it is sorta the the handle more ergonomically correct as well .
[11:58] Speaker_C | Yeah .
"[11:59] Speaker_A | So yeah , um um ."
[12:03] Speaker_D | Um will device appeal to all age groups ?
[12:06] Speaker_B | Mm .
[12:07] Speaker_C | I think so .
"[12:11] Speaker_D | Yeah , uh that's a good call , yeah . Well we had the we had the data saying that old people will be less likely to pay extra money but the funct the increased functionality , the e ease of use of the device might make up for that ."
[12:12] Speaker_B | Mm .
[12:24] Speaker_B | Mm .
[12:24] Speaker_A | And it's it's it's well I don't think we're actually
"[12:31] Speaker_B | I I I think it will tend to appeal more to younger aged groups just 'cause we have gone with the fashion focus and the younger people tend to would be more conscious of that aspect of it , but um I think it should still appeal on a certain level to everybody , yeah ."
[12:31] Speaker_D | Mm .
[12:31] Speaker_C | Yeah .
[12:35] Speaker_A | Yeah . Yeah .
[12:43] Speaker_C | Yeah I think just the simplicity of it and
"[12:43] Speaker_B | Yeah , yeah ."
"[12:45] Speaker_B | Yeah , yeah ."
[12:48] Speaker_C | not having to learn to programme and not having you know a million buttons .
"[12:51] Speaker_A | Yeah , so I think we can reasonably say it's another another one , why not ?"
[12:55] Speaker_B | Mm .
[13:11] Speaker_B | Yep .
[13:12] Speaker_B | Mm-hmm .
[13:15] Speaker_C | Under the cost .
[13:17] Speaker_B | Mm-hmm . Yep .
[13:27] Speaker_D | Um .
[13:28] Speaker_A | So uh I I think we've done an amazing job in uh
[13:30] Speaker_B | Yep .
"[13:43] Speaker_C | Yeah , ."
[13:57] Speaker_D | And that roughly concludes my evaluation of the of the product .
[14:00] Speaker_B | Excellent .
"[14:00] Speaker_A | Okay , nick the cable back then . Ooh . Right do um"
[14:02] Speaker_C | I mixed up the colours a little bit .
[14:09] Speaker_A | either of you want to uh say anything ?
[14:12] Speaker_B | Uh .
[14:15] Speaker_A | Mm .
[14:15] Speaker_C | Mm .
[14:20] Speaker_A | No .
[14:22] Speaker_A | Yeah .
[14:25] Speaker_A | Yeah .
[14:30] Speaker_B | Mm-hmm .
"[14:33] Speaker_A | Well that's right , I mean th this this slide here I mean the satisfaction with uh room for creativity , I mean I think we've allowed ourselves uh as much creativity as the uh the the the product uh allows . Um I won't comment on leadership , uh teamwork I think we've uh I think everybody's uh worked pretty well together . Um we've just about coped with the whiteboard and digital pens , uh I think the results speak for itself and new ideas found , um , again gi no given relatively everyday product , I think we've v very uh very effectively come up with a a new uh"
"[14:38] Speaker_B | Mm . Yeah , definitely ."
[14:44] Speaker_C | Yeah .
[14:51] Speaker_B | Mm-hmm .
[14:59] Speaker_B | Mm .
[15:10] Speaker_C | Yeah .
[15:10] Speaker_B | Yep .
"[15:16] Speaker_A | uh a new approach . Um are the costs within budget ? Yes . Is the project evaluated ? We're we're all happy that it it meets all the criteria , um"
[15:22] Speaker_B | Yep .
"[15:31] Speaker_A | Thank you very much indeed , I think that I think that's uh I think we can go f for an early bath . So I call the meeting closed ."
"[15:32] Speaker_B | Cool , thank you ,"
[15:33] Speaker_C | Alright .
[15:35] Speaker_C | Yeah .
[15:42] Speaker_C | Okay .
[15:45] Speaker_A | Not sure how far ahead of schedule we were there .
