[00:27] Speaker_B | Now what .
[09:58] Speaker_B | Okay .
[10:04] Speaker_B | Bob . Have to remember it .
[10:07] Speaker_B | Bob .
"[10:08] Speaker_A | So good um So , let's talk about money . Uh we are going to to sell we want to sell uh this remote control for twenty five Euro Euro . And uh our expected profit will be around fifty million Euro ."
[10:35] Speaker_A | And uh we are trying to to have a market all around the world .
"[10:42] Speaker_A | So n not only for Switzerland , but for the world ."
[10:47] Speaker_A | Uh .
"[10:49] Speaker_A | So , um ."
[10:52] Speaker_A | The We expect a production cost of maximum
[10:58] Speaker_A | uh twelve point fifty Euro .
"[11:03] Speaker_B | Per unit , I guess . Y oh okay ."
"[11:11] Speaker_A | Um , so we can start today to have a first idea of what we want to do what are our experiments with remote control , and any idea ? So , if you have some experience , good or bad , with remote controls you can share it and say what you f what is your idea . Anything ."
[11:36] Speaker_B | Okay .
"[11:37] Speaker_D | Well , from experience , um I've had remote controls in the past that have had very they've had lots and lots of buttons and they've been very small , and it's been very hard to to to use , because there's so many buttons , and you know it's very hard to see which buttons do what , and the buttons are very small and very hard to press . Um and and normally you only every use , you know , on a T_V_ remote you only ever use , mostly , you know , f four or f six buttons . Um ."
[12:05] Speaker_A | Mm .
[12:06] Speaker_B | Oh .
"[12:10] Speaker_D | So it's frustrated me in the past , th that ."
"[12:14] Speaker_B | Okay , I have also some points uh . Maybe two points . Uh first would be that in current remote controls there is no back light , so if you are if you are uh playing with this in the dark room it's it's probably worth to to have something like uh back light . And maybe it could be also dependant on the the amount of of light in the room , so that if if it's in the day it doesn't need to be back lighted because it works on the battery , so . So something like this ."
[12:28] Speaker_A | Yeah .
"[12:49] Speaker_B | And the second thing , f second point from me would be that in a normal remote control there is uh there are two buttons for volume control . But I prefer like a potential-meter or something like ."
[12:59] Speaker_A | Yeah .
"[13:03] Speaker_D | Ah , okay . Okay ."
[13:07] Speaker_A | Okay .
[13:07] Speaker_C | Mm-hmm .
[13:11] Speaker_A | Mm-hmm .
"[13:12] Speaker_D | Is that because the of the discrete volume levels , or is that"
[13:13] Speaker_A | Yeah .
"[13:17] Speaker_B | Yeah , but I can reach In uh one second I can mute it down , or or make a high volume ."
[13:21] Speaker_D | Yeah .
"[13:28] Speaker_B | Ah , n ."
[13:31] Speaker_B | If it drops to the floor then it starts to scream .
"[13:33] Speaker_A | Yeah , also if y when you take the the remote control , for example on the table , you take it and you push the button and everything is very loud , and"
[13:43] Speaker_A | you have a heart attack .
[13:49] Speaker_D | Yeah .
[13:49] Speaker_A | Okay .
"[13:53] Speaker_B | Yeah but we can we can think of these things afterwards , but if you have some more notes on that ."
[13:58] Speaker_A | Yeah so you can Do you have something ?
"[13:58] Speaker_C | Uh I Yeah , just a simple experience . I uh I prefer um remote control working with radio waves , because remote control working with infra-red rays you should you should you should keep it in a specific direction and then try it hard to tune ."
"[14:11] Speaker_A | Yeah , that's true ."
[14:16] Speaker_A | Yeah without obstacles and .
[14:19] Speaker_B | Okay .
"[14:26] Speaker_A | Okay . Let's continue . I have a meeting in five minutes , so maybe we should hurry . Um . So we will close uh this meeting . So we will have a next meeting in uh thirty minutes ."
[14:26] Speaker_B | Um .
[14:30] Speaker_D | Okay .
"[14:31] Speaker_B | Okay , just a second ."
[14:43] Speaker_A | Um .
"[14:47] Speaker_A | Uh . The So I will ask you to do some work . Uh the the interface interface developer will work on the on the design of the remote control , start to to have new idea and"
"[15:04] Speaker_B | Which i which is Hamed , ? Okay ."
[15:05] Speaker_A | read about Yeah .
[15:06] Speaker_C | Mm .
"[15:06] Speaker_D | He's the Industrial Designer ? No , you're the Industrial Designer ."
[15:08] Speaker_C | Yeah .
"[15:09] Speaker_B | Uh I am the Technical Designer , I dunno which one , uh v ."
[15:10] Speaker_A | Oh .
"[15:11] Speaker_D | Yeah , I think that's the first . I_D_ . Industrial Designer . And the second one is the User Interface Designer ."
[15:11] Speaker_A | Industry and Oh .
[15:12] Speaker_C | Uh-huh .
[15:17] Speaker_C | Mm-hmm .
[15:19] Speaker_B | User Interf Okay .
"[15:19] Speaker_D | And then last one's marketing , which is me ."
[15:21] Speaker_A | Yeah .
"[15:21] Speaker_B | Okay , so I'm the first one ."
"[15:25] Speaker_A | For the User Interface Designer , which is Hamed um ,"
[15:29] Speaker_C | Mm-hmm .
"[15:32] Speaker_A | uh , you are going to work on the technical functions of the remote control ."
[15:32] Speaker_B | I see .
[15:36] Speaker_C | Okay .
[15:38] Speaker_A | And for the Marketing uh
"[15:42] Speaker_A | Manager , I dunno , okay , which is Bob , uh"
[15:49] Speaker_A | you are going to try to to find the user requirements f uh for the remote control .
"[15:59] Speaker_A | Um , you will receive by email uh the specific instructions and uh by your personal coach ."
[16:13] Speaker_A | Yep finished .
[16:16] Speaker_A | So I see you in thirty minutes .
"[16:18] Speaker_D | Great , okay . Thanks guys . Bye ."
[16:19] Speaker_B | Okay .
"[16:19] Speaker_C | Okay , thanks . Bye ."
[16:21] Speaker_A | Thank you .
[16:23] Speaker_B | Uh .
