[00:09] Speaker_B | Mm .
"[17:33] Speaker_D | Right . Okay . . Okay . Well , for our marketing report uh we observed remote control users in a usability lab , and also gave so this is research and we also gave participants um questionnaires to fill out . Um total number of people tested were a hundred just so you know , so that hundred people were tested and these were the findings . So seventy five per cent of users find the remote control ugly . Okay , so they don't like the look of the remote control . Um eighty f eighty per cent of them would spend more money if the rem remote control looked really cool and fancy . So I think we all agree with that . Um current remote controls do not match well with the operating behaviour of the user ."
"[18:24] Speaker_D | So , they don't like like the way they operate it doesn't"
"[18:28] Speaker_D | like match how people behave . Um per cent of the users say that they only use ten per cent of the buttons on a remote , so probably if you have like one , two , three , four , five , the whole up to z ten , they probably don't use those , they only use the up and down channel ."
"[18:55] Speaker_D | Not quite sure what they mean , zap , goes like ."
[18:57] Speaker_A | I think that's k flicking quickly between channels .
"[19:01] Speaker_C | Yeah , you wanna navigate the channels quickly I guess ."
[19:01] Speaker_D | Yeah .
[19:03] Speaker_A | Yeah .
[19:21] Speaker_C | Mm .
"[20:00] Speaker_D | So voice activation . So and this was what we came up with . Then if you look fifteen to twenty five this is age , sorry , age groups . So fifteen to twenty five said like ninety two ninety one per cent of them said yes . Um so basically the majority except for the forty five to fifty five year olds for some reason didn't want a voice activated one . And neither did the older generation , but the younger generation who we are catering for , like who have most of the money nowadays , do want a voice act speech recognition in a remote ."
"[20:15] Speaker_A | So there you go , yeah ."
"[20:33] Speaker_C | No I would I would say the older the older people , yeah ."
"[20:44] Speaker_A | People people from the age of thirty f there's a big drop off there . For people up to the age of thirty five , you're kinda saying , yeah , they want it ."
"[20:55] Speaker_A | Um but no they're not sort of most people that have the money are people from the age of thirty five to fifty five , uh 'cause they're the ones that have been working for twenty years . Um d and tha and that's a that's quite a minority there , so yeah , it's not even like fifty fifty that's th thirty five per cent ."
"[21:02] Speaker_C | Yeah , that would be my guess as well ."
[21:14] Speaker_D | These guys are growing up .
[21:22] Speaker_A | Yeah .
[21:26] Speaker_A | I would say scra I'd say scrap that straight off .
[21:27] Speaker_C | Uh .
"[21:30] Speaker_D | Um also with um with buttons , a thing called R_S_I_ , so wrist sense Huh ?"
[21:53] Speaker_A | So y so it's so it's so you got so that's something we should have a look into then i when desi when designing the ergonomics of see have a look if um there's any w any medical background we can find out about this .
[21:58] Speaker_D | Yeah maybe not so hard .
[21:59] Speaker_C | Mm .
[22:02] Speaker_C | Mm .
[22:11] Speaker_D | Yeah .
"[22:12] Speaker_A | Let's jus we just want need to cover our arses so that people aren't gonna sue us in ten years' time , say your remote control gave me repetitive strain injury ."
"[22:20] Speaker_C | Yeah , we should probably consult with our legal department uh ."
[22:21] Speaker_D | Mm .
"[22:24] Speaker_A | Yeah . They're having a lunch break at the moment , but yeah . I'll see if I can get see if I can get hold of them for the next meeting ."
[22:30] Speaker_C | Yeah .
"[22:34] Speaker_C | I think we can do some really in in that department , the the ergonomic department , we can make some some really good improvements ."
[22:37] Speaker_A | Yeah .
"[22:40] Speaker_D | Mm . Maybe th the buttons not so high up so you don't have to press so much , or we just like flat buttons , something ."
[22:44] Speaker_C | Mm .
[22:47] Speaker_D | Yeah .
"[22:50] Speaker_A | Okay . That's great , thank you very much for that , Reissa . Um okay , so we've basically"
[22:50] Speaker_D | So that is me .
[23:03] Speaker_A | we've decide we've d
"[23:05] Speaker_A | we've decided that it's gonna be , you know uh , we're going for a basic television remote . It's gotta be safe to use , it's gotta look cool . It's gotta be cheap . S um ."
[23:15] Speaker_D | Mm .
[23:21] Speaker_D | Mm .
"[23:23] Speaker_A | Now going back to the uh industrial design of it , you know , we were looking at whether to use maybe infra-red or Bluetooth . I think , we should just go with the simplest option on everything , uh and that would be infra-red , energy source , that would be batteries . Uh mean we we can look into using the s , you know , the little tiny weeny batteries , all like special long-lasting batteries . Um ."
[24:11] Speaker_B | Yep .
[24:15] Speaker_A | I think we're all um pretty sussed on that .
[24:20] Speaker_A | anyone have any questions ? Everybody happy in their work ?
[24:24] Speaker_D | Mm .
"[24:26] Speaker_C | Yeah , it seems like we're all on the pretty much on the same page ."
"[24:29] Speaker_A | Now this is good , we've got a good structure going on . We all know where we're going to . Have you been ge has have any of you lot been getting loads of crap spam on your computers ?"
"[24:45] Speaker_D | Well , just questionnaires ."
[24:47] Speaker_A | Yeah .
"[24:49] Speaker_A | Yeah , stuff . Um okay . Do oh have you guys found out if we can if we can e-mail stuff to each other ?"
"[25:00] Speaker_D | Yeah , you can ."
[25:01] Speaker_A | Right . Do all you all know my e-mail address ?
[25:02] Speaker_C | Okay .
"[25:05] Speaker_D | I think he's participant one , aren't you ?"
"[25:10] Speaker_C | Oh , it's just participant one oh okay . Yeah ."
[25:12] Speaker_A | Can you all d e-mail me your e-mail addresses ?
"[25:17] Speaker_B | You have them i you have them , but we'll send you an e-mail . You want to have friends , don't you ?"
"[25:21] Speaker_A | Send me , yeah yeah , okay ."
"[25:36] Speaker_C | Well , it's like white on i white and blue on a black background with white with yellow borders . Maybe that's like getting ahead of ourselves ."
"[25:41] Speaker_A | Okay . Well ,"
[25:44] Speaker_A | maybe you can come up with a few with a couple of different ideas ?
[25:46] Speaker_C | Mm .
"[25:47] Speaker_D | Can't we have different colours in the remotes , so somebody can choose different col like does it have to be of a certain ?"
[25:51] Speaker_C | Mm .
"[25:51] Speaker_A | Well , see the thing is is we've gotta keep the company image . It's gotta say people have gotta look at this remote control and instantly recognise that it's a Real Reaction i product ."
"[25:59] Speaker_D | But if it's a R_R_ , it would be Real Reaction , like if it had a symbol on it ."
[26:00] Speaker_C | Mm .
[26:03] Speaker_A | There's loads of companies that called R_R_ .
[26:04] Speaker_C | Mm .
[26:06] Speaker_D | Whoa .
"[26:07] Speaker_A | This is slog but this is the slogan , this is the the the the type ."
"[26:10] Speaker_C | And this is something that came on down from from the higher ups , so , I mean , we are sort of beholden to them ."
[26:13] Speaker_A | Yeah .
[26:16] Speaker_D | So we have to have it one colour .
"[26:17] Speaker_A | Well , not necessarily . But we have to incorporate it ."
"[26:18] Speaker_C | Not one colour , but the pattern needs to be recognisable ."
[26:22] Speaker_D | Mm .
"[26:23] Speaker_A | Not necessarily even if i it just has to ye but you have to look at the product and instantly know that it's one of our products as opposed to a Sony product or a , you know , a Panasonic product . It's got to so maybe , so you can have a look at our our other products and see if they all follow a s similar vein , perhaps ."
[26:31] Speaker_D | Mm .
[26:48] Speaker_A | Yeah .
[26:54] Speaker_A | Yeah .
[26:56] Speaker_D | Mm .
[26:57] Speaker_B | If .
[26:57] Speaker_A | Quite poss yeah . Well this is all your department .
"[27:03] Speaker_A | Mm okay . Well , well done everybody . And um , I think we uh stop for lunch now ."
"[27:13] Speaker_C | Yeah , pretty soon I think , I guess that's now ."
[27:14] Speaker_D | Are we are we finished ahead of schedule ?
[27:16] Speaker_A | We might possibly have done .
[27:18] Speaker_B | Cool .
"[27:19] Speaker_C | Alright , see you all soon ."
[27:33] Speaker_D | 'Kay uh .
"[27:40] Speaker_A | Yeah , there you go ."
