[00:38] Speaker_C | Good morning .
"[09:04] Speaker_C | At least few few hundred years ago when there was no means of transportations or something , or when they had to carry huge um loads from one place to another , elephants were very useful ."
"[09:16] Speaker_C | And they are found in um usually the warm countries . And um they are the biggest terrestrial animal . That's what I know about them . So , that's what I wanted to tell about elephants ."
"[09:29] Speaker_B | So is this uh an Indian or an African elephant , 'cause you haven't drawn the ears ?"
[09:54] Speaker_C | Do we have some message there ?
"[09:56] Speaker_A | Yes . We have to I have to catch you , sorry . We have to to go through the meeting . Thank you ."
"[09:58] Speaker_C | Wind up ? Okay , some other time . Thank you ."
[10:01] Speaker_B | Okay .
[10:03] Speaker_B | We can discuss that off-line .
[10:04] Speaker_A | Yeah we'll discuss a f a fly or do we'll do another meeting abo on elephants .
[10:08] Speaker_C | Thanks .
"[10:29] Speaker_A | and uh we have um which which would generate a profit of of um fifty million Euros , okay . And we should target the inter an international market ."
"[10:41] Speaker_B | So could I just ask one question , um"
[10:45] Speaker_B | is this a stand-alone unit that we're gonna be selling ? So it's gonna be you already have a T_V_ but you're buying an extra remote control for it or something ?
"[10:53] Speaker_A | O this is the next topic we have to discuss exactly , so let's go to it ."
"[10:55] Speaker_B | Okay , alright ."
[10:57] Speaker_A | So um we should decide which kind of remote control we want to uh we want to uh we want to go . Should be should should it be um specific remote control to some specific device ? Should it be a universal one ? And uh etcetera .
[11:16] Speaker_A | So um so I'm waiting for your for your inputs very quickly because we have only three three minutes to go .
"[11:37] Speaker_B | a kind of a little strange if we don't know what the the product is yet , but I guess if that's if that's the requirement that we need to to design the the product to actually fit that"
[11:58] Speaker_A | Okay .
[12:00] Speaker_A | Okay I think this is more a job to our market person yeah . So it should be the topic of maybe of the next meeting just to to have an overview of this and uh in which direction we should go .
[12:03] Speaker_C | Marketing person .
[12:04] Speaker_B | Yeah .
[12:05] Speaker_C | Mm-hmm .
[12:14] Speaker_A | So we need to close the meeting . Uh we'll have a new meeting soon and uh so the work every every of you ha have t d to do .
"[12:23] Speaker_A | So um you have to work on the on the working design , you have to uh work on the technical functions , and uh you have to work on us user requirements specs , alright ?"
[12:37] Speaker_D | Yeah .
"[12:38] Speaker_A | Um you will receive some information by emails , i as usual . Thanks for coming today . Thanks ."
[12:44] Speaker_B | Okay . Alright .
[12:44] Speaker_C | Thanks .
