[00:24] Speaker_C | Okay .
"[20:39] Speaker_B | How muc how much do you get how much do you if you buy one million units h no , one hundred thousand units ."
[20:46] Speaker_B | Eh chips . We're gonna need chips right .
[20:48] Speaker_C | Yeah .
[20:49] Speaker_B | Yeah . How much will it cost for one hundred thousand ?
[20:56] Speaker_B | Okay .
[20:57] Speaker_B | So you have any idea for a powerful one that has uh good enough for do speech recognition .
[21:04] Speaker_B | Yeah ? Okay .
[21:06] Speaker_B | So . No it doesn't .
[21:07] Speaker_A | It seems that that we want to sell like four million units from the first meeting .
[21:11] Speaker_C | Mm-hmm .
[21:15] Speaker_B | Okay .
[21:18] Speaker_A | Okay . Maybe we can uh we can look at the new requirement I receive from the management board and discus discuss all function we want to have .
[21:28] Speaker_D | Mm .
[21:37] Speaker_A | Yeah I I will continue . Well ask your question if you want .
[21:41] Speaker_C | Um you say that I don't remember by heart but thirty per cent
[21:47] Speaker_D | Mm ?
[21:48] Speaker_C | of the tested people say that's it's quite difficult to to to use the remote control .
[21:57] Speaker_D | Yeah .
[21:58] Speaker_C | Do they say that this is difficult but for the same reason or do they have other reason ?
[22:05] Speaker_D | Oh . Would j
[22:06] Speaker_C | To to maybe to keep in mind maybe to access to that menu you should do something like that .
[22:18] Speaker_C | Mm-hmm .
[22:20] Speaker_A | Okay . It's not intuitive first .
[22:23] Speaker_D | Yeah .
[22:36] Speaker_C | Yeah .
[22:37] Speaker_A | Yeah .
[22:40] Speaker_C | Yeah .
[22:45] Speaker_C | Yeah .
[22:45] Speaker_A | Yeah .
[22:49] Speaker_C | Okay .
"[22:51] Speaker_B | I mean there are markets and markets . I think the young people are th uh are uh Christine here said uh you have a uh it is yeah . So for our young people uh it will be cool , they can be able to use it . Th maybe their parents will not but they will configure it . I guess . I don't know if there is study about that ."
[22:58] Speaker_C | Yeah .
[22:59] Speaker_A | Yeah .
[23:09] Speaker_A | Yeah . Maybe it would be more complex to configure it to be simple than creating a simple product .
[23:10] Speaker_C | Mm-hmm .
[23:11] Speaker_D | Mm .
[23:12] Speaker_C | Yeah . Yeah .
[23:14] Speaker_C | Yeah .
[23:14] Speaker_B | Mm .
[23:14] Speaker_D | Mm .
[23:16] Speaker_C | Yeah .
[23:16] Speaker_B | And there are another thing is that if we make something that's simple and easy to use that's bas to use immediately that means that it will be exactly the same as everything else . All right ?
[23:24] Speaker_C | Yeah . Yeah .
"[23:26] Speaker_B | Otherwise , if it's different then of course everybody has somebody has to learn to use it first ."
[23:30] Speaker_C | Yeah .
[23:31] Speaker_A | Yeah . But also we we see that that most people find it find remote controls too complex because they have too many buttons and they mainly use only channels and volume buttons . So we may just uh make a very easy to use remote control with mainly those buttons and maybe also um
[23:43] Speaker_D | Mm .
[23:43] Speaker_B | Mm-hmm .
[23:53] Speaker_B | Yeah .
[23:57] Speaker_A | some lightning stuff too
[24:00] Speaker_A | because most people find also hard to to find the remote control .
[24:06] Speaker_B | Mm-hmm .
[24:07] Speaker_A | Losed lose it etcetera .
[24:10] Speaker_A | These these are these two points are the main frustrations so maybe if we design something very simple and easy to uh find when lost it will uh add uh a serious competitive advantage
[24:27] Speaker_D | Mm .
[24:27] Speaker_A | without making something too complex and too long to develop .
[24:31] Speaker_B | Mm-hmm .
[24:54] Speaker_B | But teletext is just one button .
[24:57] Speaker_A | Yeah but then you have to you have to define the buttons to surf amongst pages and stuff .
[25:01] Speaker_B | You you just write the write the numbers .
[25:05] Speaker_A | Yeah .
"[25:06] Speaker_B | So will you add with the channel keys , right ?"
"[25:10] Speaker_A | Yeah . So anyway we don't have to include this feature because it's it's not used any more by users , they prefer to s"
[25:10] Speaker_B | So .
[25:20] Speaker_B | I am . I'm sure that uh it don't like but uh I don't see just one button .
[25:25] Speaker_A | Yeah . I dunno . If i one button is still one more button . If if if we want to make it very simple we have to reduce number of buttons compared to th to our competitors .
[25:26] Speaker_B | So .
[25:38] Speaker_B | Mm-hmm .
[25:40] Speaker_A | Well anyway I have this point . We can discuss . Also um so as as I told before uh it would be better if it's only for the T_V_ um
[25:57] Speaker_A | because we want to be quick on on the market .
[26:01] Speaker_A | And then also we have to make very uh uh clear that this uh
[26:09] Speaker_A | this remote control is is part of of our products and show our corporate uh logo and and colours on the on the design as well so that uh they identify it as one of our product .
[26:26] Speaker_A | So this is the the key point .
[26:30] Speaker_A | So before uh finishing we can uh define uh what would be the characteristic of the o th of the control of the remote control and which button do we need which function do we want etcetera .
[26:47] Speaker_B | Capital .
[26:48] Speaker_D | Mm .
[26:53] Speaker_A | do you um so so from from the the Marketing Expert I think
"[27:02] Speaker_A | a key aspect is the easy to use aspect , it should be very simple and most button are never used only ten per cent of the button are are used often so I think we have to do something very simple and I think we all agree on that point , no ?"
[27:07] Speaker_D | Mm .
[27:19] Speaker_C | Mm-hmm .
[27:20] Speaker_D | Mm .
[27:20] Speaker_B | Well if it is going to be just a T_V_ remote control it is going to be very simple .
[27:23] Speaker_A | Yeah okay . So yeah the key point here is simple .
"[27:30] Speaker_A | Maybe . So few buttons , channel ,"
[27:35] Speaker_A | volume control
[27:37] Speaker_A | and what el what function do you see
"[27:40] Speaker_B | Well if it's going to be as simple as possible then just have the remote control , there is no other function that I can see"
[27:41] Speaker_A | in addition to that ?
[27:46] Speaker_B | really .
[28:03] Speaker_C | Mm .
[28:06] Speaker_A | And that's all ?
[28:07] Speaker_C | Uh I know that som you say that many people are doing plenty of a lot of zapping .
[28:13] Speaker_A | Mm .
[28:13] Speaker_D | Mm-hmm .
"[28:14] Speaker_C | I know tha I discovered that when I did a quick look , uh they do now som they do something which is quite nice now , you have a button , you you press it , and this is uh the previous channel which has come back ."
"[28:22] Speaker_B | It's a memory , yeah ."
"[28:26] Speaker_A | Okay . Yeah this is cool . Maybe we can include that also . Previous previous channel button . So we have like channel button , the previous channel button , the volume button , plus a mute button , and uh just the the traditional on off button ."
[28:37] Speaker_C | Mm-hmm .
[28:40] Speaker_C | Mm-hmm .
[28:45] Speaker_B | And uh and of course the channel changing buttons .
"[28:49] Speaker_A | Yeah . I I talk about that , yeah ?"
[28:50] Speaker_B | How should they how should we implement that ? Because uh could be numerical only or could be also incremental .
[28:57] Speaker_A | Yeah . Incremental definitely because zapping you you switch them .
[29:02] Speaker_B | Mm-hmm .
"[29:02] Speaker_C | Let's say that we can do something like that . This is uh incremental , but once you press it for a long time , you go five by five ."
[29:14] Speaker_C | To go fa to go faster .
[29:14] Speaker_A | We go faster ?
[29:18] Speaker_A | Mm .
"[29:18] Speaker_B | Mm . It's an interesting idea , that if you press it for a long time it does something else , in general . So if you you have your ten buttons for the for the numeric the numerical buttons and you have instead of having just one memory"
[29:33] Speaker_C | Yeah .
[29:37] Speaker_B | No . Doesn't work does it .
[29:44] Speaker_B | Maybe we should have a complete keyboard and just type console commands . Change channel to eight .
[29:50] Speaker_A | Yeah .
[30:01] Speaker_B | Well if it's useful like if if you want to change between three channels for example then you h you cannot you cannot cannot work with just memory being incremental .
[30:05] Speaker_A | Uh .
[30:09] Speaker_A | Yeah . Because you have your previous channel button if you have incremental only it's not uh it isn't worth it because the previous channel is eith either minus one or plus one . So I think we need also digits . Maybe we we can make very obvious the channel and volume button button and smaller button down there with the the digits .
[30:15] Speaker_C | Yeah .
[30:25] Speaker_C | Okay .
[30:39] Speaker_A | Yeah .
[30:43] Speaker_B | Yeah .
[30:50] Speaker_B | Mm-hmm .
[30:54] Speaker_A | Yeah .
[30:54] Speaker_B | Hey I just thought this thing there is a I mean you know there is are some with a wheel like this . Instead of having the up down buttons for uh you can have the wheel . Yeah .
[31:01] Speaker_A | Yeah .
"[31:02] Speaker_C | Yeah , a kind of joystick ."
"[31:04] Speaker_A | Yeah . Maybe we can have a wheel for incremental . Okay . So have a wheel for incremental , have the digits uh on the lower side that can be closed so as you say protected ,"
[31:07] Speaker_B | Yeah .
[31:14] Speaker_C | Mm-hmm .
[31:16] Speaker_B | Mm-hmm .
[31:20] Speaker_B | On the lower side I think it you have to turn it . No ? If we do that .
[31:30] Speaker_B | Yeah .
[31:35] Speaker_C | Yeah .
[31:35] Speaker_B | Because it's uh it's it's not like a volume which is smooth yeah ? The channels change one by one . So you have to the user has to like to should feel the the the discrete sense a bit .
[31:40] Speaker_C | Yeah .
"[31:44] Speaker_C | Yeah , the yeah ."
[31:45] Speaker_A | Okay . Yeah . That's a good idea .
[31:47] Speaker_B | Yeah .
[31:51] Speaker_A | Well also we have to decide uh so it should be lightening in the dark I think because most people lost their remote control .
[31:58] Speaker_C | 'S quite it's quite easy we do that w with back light on the on the wheel .
[32:00] Speaker_A | Okay .
"[32:02] Speaker_B | Yeah . Even if i L_E_D_ uh or a if if it's the L_C_D_ feature uh whatever , yeah ."
[32:05] Speaker_C | A blue a blue L_E_D_ and we sell that um .
"[32:07] Speaker_A | Yeah , and do we put an L_C_D_ display ? Because it was important for young customers if you remember ."
[32:08] Speaker_B | Yeah .
[32:18] Speaker_C | Yeah .
[32:23] Speaker_A | Okay .
[32:25] Speaker_A | So no L_C_D_ ?
[32:26] Speaker_C | Mm-hmm .
[32:26] Speaker_D | Hmm .
[32:27] Speaker_A | And so no speech as well because it w it would delay too much the development process .
[32:32] Speaker_C | Okay .
[32:32] Speaker_B | Well if it's going to delay yeah but uh it will be cool . It would . Because a user could say C_N_N_ for example and it would go C_N_N_ . Mm .
[32:38] Speaker_D | Mm-hmm .
[32:42] Speaker_B | Yeah .
[32:52] Speaker_A | Okay . So um I I will uh I will so I we will move to next meeting so in after the lunch break uh here are the individual uh action uh you are required to do but you will be uh recalled to the actions by uh email I think but you can take notes if you if you want but well the instruction will be sent . So
[33:06] Speaker_C | Mm-hmm .
[33:25] Speaker_A | thank you for uh your suggestion and I I will make a summary of that meeting that I will put in the shared folder you can't see and uh and then you will um you will be able to to see what has been uh has been said on on this meeting and and what has been decided . Uh maybe for next meeting uh send me your presentation before by email so that we can see them uh altogether . That would be easier .
[33:26] Speaker_C | Okay .
[33:33] Speaker_C | Okay . Okay .
[33:58] Speaker_B | Yeah . What is the folder that you put yours in ? And did it it did work ?
[33:58] Speaker_D | Mm .
[34:03] Speaker_A | No it did not work . She send it to me by email .
"[34:03] Speaker_D | No no . I dunno , I dunno it ."
[34:04] Speaker_B | Ah yeah . Mm .
[34:06] Speaker_B | Okay .
"[34:07] Speaker_A | So maybe this is better , to send it by email . Okay ? So yeah I I'm it's in the first uh email so I'm participant one at AMI uh where is that , it's here ."
[34:10] Speaker_B | Okay what is your email ?
[34:17] Speaker_B | At participant one . Okay .
[34:22] Speaker_A | Participant one at AMI .
[34:29] Speaker_A | So see you after lunch break .
[34:32] Speaker_D | 'Kay thank you .
[34:47] Speaker_B | So next time we should have a fight .
[34:50] Speaker_B | How about uh management or something .
[34:54] Speaker_B | Who happens to be your friend .
