[00:50] Speaker_D | Mm-hmm .
[07:46] Speaker_C | mechanism . It's It's it means when you when you sell this controller in China it's can recognise Chinese . It's r if you sell this controller in France it can recognise French .
[07:46] Speaker_B | Yeah but you know . The product The pro
[07:57] Speaker_D | Yeah .
"[07:57] Speaker_A | Mm , okay ."
[07:59] Speaker_A | And with no increase in the pri production price of the remote control ?
[08:01] Speaker_B | Oh yeah yeah yeah yeah .
"[08:08] Speaker_B | Yeah but the problem is how to s you know if this is a push button controller , you can send this con this remote control everywhere in the world , the same one . If you have the language , you have to develop for each country ."
[08:12] Speaker_C | Yeah .
[08:15] Speaker_C | Yeah .
[08:17] Speaker_D | Mm .
"[08:18] Speaker_C | Oh n Yeah , yeah tha that's why we have to do language adaptation ."
[08:24] Speaker_C | Yeah .
[08:33] Speaker_A | Oh . Seems to be quite complex .
"[08:33] Speaker_D | Yeah , but then w"
"[08:35] Speaker_D | Yeah , we have to take care of the twelve Euros"
"[08:35] Speaker_C | No , it's not so complex ."
[08:38] Speaker_D | problem .
"[08:38] Speaker_A | And what about voice recognition , do we have microphones ? And where will be they ? Do you think if we're far from television it will work ?"
[08:46] Speaker_C | I think that's n that's not a problem because you you don't have to wear a microphone . It it just the microphone is embedded in the controller .
"[08:56] Speaker_A | Yeah , but where is the controller ?"
[08:57] Speaker_D | Okay .
[08:59] Speaker_C | Where is the controller ?
[09:00] Speaker_A | Yeah .
"[09:03] Speaker_A | Yeah , but we're here it's uh an object . But here you say you want to use i uh s technology ."
[09:07] Speaker_C | Yeah .
[09:09] Speaker_C | Yeah you can you can embed it uh microphone here .
[09:10] Speaker_B | A microphone maybe .
"[09:11] Speaker_A | Yeah , but wha what is the use of voice or gesture recognition if you have a remote control li like this , if you have an object . If you want to use voice or gesture you need to be free , without any object . You just want to interact with television ."
[09:20] Speaker_B | To talk to the to the T_V_ maybe .
"[09:24] Speaker_C | Yeah yeah just you just put the controller here , then you"
"[09:28] Speaker_B | I if you say one , he switch to channel , yeah ."
[09:29] Speaker_C | you use your command and you do s your gesture .
"[09:32] Speaker_A | Yeah , but you can lose it ."
[09:39] Speaker_B | So well for example if it is somewhere in the room if i maybe if it is in the table there you can always say s channel one and the t the remote control gives the order to the T_V_ to switch to channel one .
[09:46] Speaker_C | Yeah .
[09:47] Speaker_A | Okay you so you can build a kind of black box and put it on T_V_ and just to recognize gestures and voice .
[09:51] Speaker_D | Yeah .
[09:52] Speaker_B | Yeah .
[09:54] Speaker_B | Yeah .
[09:56] Speaker_B | Yeah but so you need a camera and you know a microphone inside your remote control .
[09:59] Speaker_C | Yeah .
[09:59] Speaker_A | Ah .
[10:01] Speaker_D | But you would still have the buttons . Or is it do you think it should be only voice recognition and gesture recognition ? Or you you still have the possibility to use buttons ?
[10:11] Speaker_C | I think it we should give the uh flexibility to the user and we think yeah . You can see they can switch form one modality to another .
"[10:15] Speaker_D | Okay , so you yeah ."
[10:20] Speaker_A | Mm .
"[10:21] Speaker_D | Yeah , I dunno . It's a bit risky risky ."
[10:23] Speaker_B | Yeah .
"[10:24] Speaker_C | No , that's quite inter quite attractive ."
"[10:26] Speaker_B | But I think that , you know , switching from one country to to another will be a problem , so although y y"
[10:49] Speaker_B | Uh .
"[10:51] Speaker_A | Hmm . So , what do you think ? We'll try the controllers you'd prefer ."
[10:57] Speaker_B | Mm .
[10:58] Speaker_D | What ?
"[10:59] Speaker_A | Which kind of controller would you prefer to use , you as a remote control user ?"
"[11:04] Speaker_D | I mean , uh I'm sure if the user pays the same price , he's happy to have recognition . But if if if it like doubles uh"
"[11:09] Speaker_C | More features , yeah ."
"[11:13] Speaker_B | I think he need a control that is very reliable , so ."
[11:14] Speaker_D | no one would would be interested .
[11:17] Speaker_A | So I think it would be better not to do any intelligent controller and to stay with the Google controller or a fancy controller .
[11:24] Speaker_A | Maybe try to mix the Google controller and the fancy controller ? Hmm ?
"[11:28] Speaker_A | Just want to have something controller which is in a kind of intelligent controller , easy to use , sophisticated and fancy ."
[11:37] Speaker_A | You think it's possible ?
"[11:41] Speaker_C | stick to the first two parts . So what's the difference between our controller with other products in the market ? There's no k features of our controller , so is there is there any necessary to design new controller without any breakthrough features ?"
[11:54] Speaker_D | Yeah .
[12:28] Speaker_C | Okay .
[12:28] Speaker_B | Yeah if we can send email from it .
"[12:30] Speaker_C | But it's not the only the problem only the issue of controller , it's it's also the issue of the T_V_ ."
[12:32] Speaker_D | No . No .
[12:39] Speaker_D | Cause for example yeah .
"[12:42] Speaker_C | Yeah , but we do we do we we we cannot rely one hundred percent on these features to u to use the controller , but with the features of our controller such as you have the feature of voice recognition in your mobile but you seldom use it , your mobile , but you when you choose a new mobile , you choose the one with voice recognition . That's the feature is not one hundred percent reliable , but it's a feature to distinguish our product from our from other products ."
[12:46] Speaker_D | Yeah .
"[12:48] Speaker_A | Yeah , but uh we want so"
[13:02] Speaker_D | True .
"[13:11] Speaker_A | Yeah , but w we we want something th that works all the time , every day , every hour , for everyone ."
[13:16] Speaker_C | Yeah .
"[13:18] Speaker_B | And for all the person of the family maybe , so , yeah ."
"[13:20] Speaker_C | Yeah , if if if if you're if you ar if you already have a product it works one hundred percent reliable , would you replace it with another one ?"
[13:20] Speaker_A | You don't need to tune it .
"[13:31] Speaker_D | I mean , for example the goo y you say we would we would to have a Google-like controller ."
[13:35] Speaker_C | Yeah . Yeah .
[13:38] Speaker_D | I don't see how adding speech or gesture recognition would make the remote control look more like Google .
"[13:46] Speaker_D | Google is is simple , works fine , so I I guess if can have a remote control that is really basic , simple and works fine , it's already a lot ."
[13:50] Speaker_C | Yeah .
[13:56] Speaker_C | Yeah .
"[13:59] Speaker_C | Oh yes , but there's no big difference between the traditional controller ."
"[14:04] Speaker_D | I mean , the user is not only interested in having speech or gesture recognition or if he has something that works fine and is really fancy , looks nice and it's easy easy to use , easy to use ."
[14:08] Speaker_C | The then nn no . Tha
[14:14] Speaker_A | Not too expensive too .
[14:15] Speaker_C | But the there's there's n there's n not enough motivation for them to replace their old controller with a new one if there's no key feature in the new controller . That's the same yeah .
"[14:23] Speaker_D | That's the problem , yeah . I mean , I I know it's more interesting to develop a remote controller with speech and gesture and whatever . But you have to think , the user is the one who gonna buy the product and so ."
[14:30] Speaker_C | Yeah .
[14:35] Speaker_C | Yeah .
"[14:37] Speaker_A | Okay . So let's go to the Industrial Designer . Maybe we'll be able to take a decision after that , so ."
"[14:37] Speaker_D | I mean , that's the point ."
[14:40] Speaker_C | Okay .
[14:40] Speaker_B | Okay .
[14:44] Speaker_C | Yeah .
[14:44] Speaker_B | Okay .
[14:48] Speaker_A | Two ?
[14:51] Speaker_A | Working ?
"[14:52] Speaker_B | Yeah , working design , so ."
[15:01] Speaker_B | Can you go to the next one ? I uh it's not this one . It's uh oth the oth so I It's the working design . Sorry .
[15:04] Speaker_A | Okay .
[15:17] Speaker_B | Are you inst
[15:21] Speaker_C | It did didn't r receive it . Didn't receive it .
[15:22] Speaker_A | Maybe you you record it somewhere else .
[15:26] Speaker_B | I don't think so .
[15:31] Speaker_C | Participant one .
[15:36] Speaker_C | Participant one .
[15:39] Speaker_A | Interface concept .
[15:41] Speaker_A | No .
[15:43] Speaker_D | Hmm .
[15:46] Speaker_A | Mm mm .
[15:47] Speaker_B | Oh .
[15:54] Speaker_B | Computer .
[15:56] Speaker_D | Yeah .
[16:01] Speaker_D | Dunno .
"[16:04] Speaker_B | Okay , okay . Yes ."
[16:10] Speaker_B | I can say it to you without .
"[16:13] Speaker_C | Yeah , maybe we can first come to"
"[16:16] Speaker_C | uh to Frahan . With Frahan , then you can prepare your slides , then present it later ."
"[16:19] Speaker_D | I think it's more interesting what he says , okay ."
[16:21] Speaker_A | Yeah .
[16:23] Speaker_A | You will had s some more information in I think it will be interesting after your presentation to have um Baba's presentation .
[16:23] Speaker_B | Okay .
[16:27] Speaker_B | Yeah .
"[16:28] Speaker_D | Yeah , true ."
[16:32] Speaker_A | So .
[16:33] Speaker_A | Okay .
"[16:37] Speaker_A | Okay , never mind ."
[16:42] Speaker_C | Okay .
[16:47] Speaker_B | of the remote control . So it will be interesting so I could show you some some picture of what is inside and so .
[16:49] Speaker_C | Okay .
[16:54] Speaker_C | Okay .
"[16:58] Speaker_B | So I in fact the the f something I want to discuss is which kind of material are we going to use , so will it will be wooden wooden di wooden remote control or a a plastic remote control like this one . So and in which which which kind will be the the different bu button , so it can be some , you know , classic pushbutton like this one , or you have also some button like L_C_D_ where you know , the button the buttons are unlighted during the night , or , you know , you can see them in the darkness . And"
[17:05] Speaker_A | Mm-hmm .
[17:23] Speaker_A | Mm-hmm .
[17:32] Speaker_C | Mm-hmm .
[17:32] Speaker_A | Mm-hmm .
[17:36] Speaker_A | Okay .
[17:38] Speaker_C | Okay .
"[17:40] Speaker_B | the other thing I want to discuss also is which kind of alimentation , electric alimentation do you want to have , so will it be for example uh d uh solar energy alimentation or will it be a battery like the classical battery so . And I think that for example for the alimentation it would be good to have"
[17:52] Speaker_C | Uh-huh .
"[18:02] Speaker_B | uh both of them , so so for example in some country where you are in the the countryside and you are far from , you know , the cities uh for example in some place in in S Senegal , so if you have electric if you have solar alimentation , you just , when you want to have recharger or remote control power you just put it on the sun and after one hour you can come and so it can be interesting for people to have this kind of remote con It can be something interesting to make people buy it , for example . Yeah ."
[18:11] Speaker_C | Mm-hmm .
[18:18] Speaker_C | Mm-hmm .
"[18:35] Speaker_A | Yeah , I think it's an added value to the remote control and maybe it can attract all the ecological k yeah consumers and but about the the price of adding this solar battery , would it be something really that will increase the price of production more , no ?"
"[18:38] Speaker_B | Yeah , yeah mm ."
"[18:41] Speaker_B | Ecologists , yeah , yeah , yeah , yeah , yeah ."
[18:42] Speaker_D | Yeah .
[18:44] Speaker_D | Yeah .
"[18:55] Speaker_B | In fact , having them both will if we want to have battery , regular battery and and the solar energy battery it could be it'll it will add a little bit of the price , but it will be an added value also that will be compensated , so hmm ."
[19:08] Speaker_A | So .
[19:11] Speaker_D | Yeah .
[19:12] Speaker_A | Okay .
[19:16] Speaker_A | And what tha what about the uh
[19:19] Speaker_A | materials ?
"[19:29] Speaker_A | Impersonal , mm-hmm ."
[19:34] Speaker_A | Yeah .
[19:37] Speaker_D | Mm-hmm .
"[19:37] Speaker_A | Yeah , and i if you we want to put fashion in electronics maybe we can try to do something with wood ."
[19:42] Speaker_C | Mm-hmm .
"[19:42] Speaker_B | Yeah , even if it is not completely wood , but just a part of the , you know , will be wooden , in wood and it can be interesting ."
[19:43] Speaker_D | Yeah .
[19:46] Speaker_A | Mm-hmm .
[19:47] Speaker_A | Mm .
"[19:50] Speaker_A | Mm okay , seems to be interesting , mm ."
[19:51] Speaker_B | And so the last point is y also would do you want to have some very cheap
"[20:00] Speaker_B | integrated cir circuits , chips , or do you have low level or or very very expensive , it depends , but I think that low level will be , you know , it is an interim module ."
"[20:11] Speaker_A | Yeah , we want something easy to use and so I think maybe something very low level wou would be enough ."
[20:13] Speaker_B | Yeah .
"[20:16] Speaker_B | Yeah . Yeah , yeah ."
"[20:20] Speaker_B | Yeah , I think it will fit on the price we want , twel twelve Euros , so ."
[20:22] Speaker_A | Okay .
[20:23] Speaker_A | So wood . And what about the buttons ?
"[20:26] Speaker_B | I think the buttons I pr I prefer , you know , the L_C_D_ you know lighted buttons because , you know , it's I don't know um yeah , in the dark , it's fashion and it's related to how beautiful it is or uh if you want to watch T_V_ in the darkness or if you want to lo find your find your your remote control that is lost , you know in the darkness it's very easy so , right ."
"[20:35] Speaker_A | No it's fashion , yeah ."
[20:52] Speaker_D | What about the touch scr touch screen ? For example . It's it's expensive I I guess .
[21:07] Speaker_D | Mm .
[21:10] Speaker_D | Yeah .
[21:17] Speaker_C | So you got email ?
[21:19] Speaker_A | I dunno . I think we have only uh five minutes left . Participant four ? Functional requirements ?
[21:26] Speaker_D | Okay .
"[21:31] Speaker_D | Uh no , trend watching ."
[21:39] Speaker_A | This one ?
"[21:44] Speaker_D | Yeah , so just to meet the user requirements I would just do a s short anal analysis of the remote control market and to kind of um"
"[21:58] Speaker_D | have a better overview of what's the fashion in general I've checked more than only the remote control market , so next ."
[22:22] Speaker_C | Mm .
[22:25] Speaker_B | Mm .
"[22:31] Speaker_D | So , second point is they still want it it to be technologically innovative , so maybe it's sort of related to what you've said with the speech recognition and so on ."
[22:41] Speaker_A | Okay .
"[22:41] Speaker_D | At the same time , it's important that it's easy to use ."
[22:55] Speaker_D | Okay .
"[22:57] Speaker_D | Wha what we really see this year is that uh everything from clothes to shoes and furniture is is inspired by fruits and vegetables , okay , so I think we really have to take this into account for the design of the the thing ."
[23:08] Speaker_B | Ah yes .
"[23:13] Speaker_B | Yeah , yeah . Okay , yeah ."
"[23:15] Speaker_D | 'Cause it's it's really what people want . Even if it's in general fashion , we want it to be in the remote control ."
"[23:22] Speaker_D | And then uh if if we take the ordering or the ranking of all the points , fancy look and feel has , on a score of seven would have six as importance . Uh the remote control has to be technologically innovative , it's three . Then easy to use uh it's not so important actually with respect to other y other ones . So we see fancy look an look and feel is the most important one , and then if we combine this with the fashion uh from Milan and Paris"
[23:45] Speaker_B | Okay .
[23:53] Speaker_B | And fruit and vegetables yeah .
"[23:55] Speaker_D | we go to the fruits and vede vegetables . And the other point I haven't mention is people wan want to have a spongy touch , okay so this is this maybe doesn't really fit with the wooden design ."
"[24:08] Speaker_B | Okay , yeah , yeah ."
[24:09] Speaker_D | I dunno .
"[24:10] Speaker_B | Yeah , but the problem is which kind of material do you need to to be spongy ?"
[24:15] Speaker_D | Yeah thi this is this would be like um
"[24:18] Speaker_D | plastic-like , but rubber , mayb maybe , you know , rubber-like uh"
"[24:20] Speaker_B | Very stuff Okay , rubber rubber desi okay , yeah . Yeah ."
"[24:25] Speaker_D | device , so um"
[24:28] Speaker_B | Yeah .
"[24:28] Speaker_D | Okay , tha tha that was the main point , I think , from the trend"
[24:33] Speaker_D | in fashion .
[24:34] Speaker_B | Okay .
"[24:35] Speaker_A | So we have to take decisions about the component concepts , about the energy . So , as you say you want something technologically innovative , maybe using solar energy and with battery would be something interesting , maybe will attract"
[24:45] Speaker_B | Yeah .
[24:47] Speaker_B | Solar .
[24:49] Speaker_B | Okay .
[24:56] Speaker_D | Mm-hmm .
[24:56] Speaker_B | Yeah .
[24:58] Speaker_A | pro-ecology consumers . Uh cheap imprint so you s you propose low level chips would be uh enough to have something working well .
[25:00] Speaker_B | Yeah .
"[25:11] Speaker_B | Yeah , yeah . Yeah ."
[25:14] Speaker_A | Case .
[25:22] Speaker_A | So you think case .
[25:26] Speaker_A | Something spongy . Someth no wood .
"[25:30] Speaker_D | Maybe not no wood , but I mean ma maybe not the part you touching you know ."
"[25:35] Speaker_B | I think we can have wood for example in the bottom and , you know . It depends on the design we want , so ."
"[25:38] Speaker_D | Yeah , maybe the base ."
[25:40] Speaker_D | But still y
[25:40] Speaker_A | It's it's natural .
"[25:42] Speaker_B | Yeah , it's natural and i"
[25:42] Speaker_D | Yeah .
"[25:42] Speaker_A | Th The feeling is natural , so maybe we can stay with wood ."
"[25:46] Speaker_B | And it can be correlated to energy , solar energy , so for the marketing aspect , you know , saying that it's ecol"
"[25:50] Speaker_D | Yeah , I mean it's not exactly right for the spongy point of view ."
"[25:54] Speaker_B | Mm , yeah , it's not right , so ."
[25:56] Speaker_A | But it's still fashion .
"[25:57] Speaker_D | But we could maybe have both like part of wood and some rubber for the buttons , or I dunno ."
[26:02] Speaker_B | Okay .
"[26:02] Speaker_A | Yeah , something that you can into it ."
[26:04] Speaker_D | Yeah .
[26:06] Speaker_A | Uh and what about the user interface concept ?
[26:12] Speaker_A | Google and fancy ?
[26:16] Speaker_A | Because I think that with the voice and gesture recognition there are still some
[26:21] Speaker_A | disadvantages with this .
[26:23] Speaker_C | Uh yes .
[26:34] Speaker_D | Yeah .
[26:35] Speaker_C | Yeah .
[26:38] Speaker_B | Mm .
"[26:39] Speaker_B | Yeah . But and the problem is I I'm we can infer i if you have v voice control why not to put it directly on the the T_V_ , so speak directly to the T_V_ and you don't need a remote control actually , so ."
"[26:56] Speaker_B | But it will be embedded on the T_V_ and not on the remote control , so ."
[26:59] Speaker_A | That's true .
[26:59] Speaker_D | Yeah d
[27:01] Speaker_C | Okay .
[27:02] Speaker_D | I dunno .
"[27:02] Speaker_A | So maybe we'll just focus on the Google controller plus the fancy controller , maybe try to mix them these two concepts together , just in one and do a remote control with solar energy and batteries and with lev low level chips and wood ."
[27:05] Speaker_C | Mm .
[27:13] Speaker_C | Yeah .
[27:19] Speaker_C | It's good .
[27:20] Speaker_A | And L_C_D_ buttons .
"[27:23] Speaker_B | Yeah , L_C_D_ ."
"[27:38] Speaker_A | Yeah , I think for these supplements the solar energy would be something quite interesting and not maybe too difficult to add ."
"[27:46] Speaker_B | Yeah , yeah , yeah ."
[27:55] Speaker_D | What interface ?
"[27:56] Speaker_A | Yeah , for the interface something added value ."
"[28:01] Speaker_B | I think the supplement can be the voice . It is just , you know , it is not the most important , but"
[28:10] Speaker_A | With a module ? You mean the remote control with a mur module if you want you can just use
"[28:15] Speaker_B | Yeah , yeah ."
"[28:17] Speaker_A | commands , words and use them when you don't want to use your fingers ."
[28:18] Speaker_B | Yeah . Mm .
[28:20] Speaker_C | Mm-hmm .
"[28:22] Speaker_B | To push button , yeah , yeah . Even it is for s just some kids , you know , switching channels one two three four . Yeah , turning yeah , yeah . Not very complex commands , but easy commands , so ."
[28:29] Speaker_A | Turning the T_V_ o on o or off .
"[28:34] Speaker_A | So , adding some vocal commands ."
[28:37] Speaker_B | Yeah .
[28:40] Speaker_A | Simple ones ?
[28:44] Speaker_A | Okay .
"[28:59] Speaker_A | in your direction . So you will have to work on the look and feel design , to have the easy to use , powerful and fancy remote control with some added value such as the uh simple vocal commands recognition . Uh you will have to work more , Baba , on the um spongy way to to add spongy um touch to the buttons and try to find maybe a nice shape for the wooden remote control ."
[29:07] Speaker_C | Yeah .
[29:11] Speaker_C | Yep .
[29:18] Speaker_C | Yeah .
"[29:41] Speaker_D | Yeah , no not forgetting about the fruits and vegetables trends ."
[29:44] Speaker_A | Yeah .
"[29:44] Speaker_B | Okay , fruits ."
[29:46] Speaker_A | Yeah .
[29:47] Speaker_D | If possible .
[29:48] Speaker_B | Okay .
"[29:49] Speaker_A | And remember as as I said last meeting , we really have to build a fashion remote control and uh the colour of the um the society will be really it will be seen in the remote control . So you will have Baba and David Jordan you will have to work together on the prototype and you will have next time to show us um modelling a cl a clay remote control , so you will have to model model something ."
"[30:03] Speaker_B | Need it to be , okay ."
[30:12] Speaker_C | Yeah .
[30:20] Speaker_C | Okay . Yep
[30:23] Speaker_A | And I think that some specific instructions will be sent to you by your personal coach .
[30:29] Speaker_B | Okay .
[30:30] Speaker_C | Okay .
"[30:30] Speaker_A | So , no more questions , we can close the session ."
[30:33] Speaker_D | Hmm .
"[30:33] Speaker_B | Sounds good , mm-hmm ."
[30:34] Speaker_D | Okay .
"[30:34] Speaker_A | Yeah . Okay , cool ."
[30:35] Speaker_C | Okay .
