[00:20] Speaker_A | Ah yeah .
[19:10] Speaker_E | Right .
[19:12] Speaker_E | Yeah .
"[19:23] Speaker_D | Uh from yeah , on the dialogue act level . I've not got it reading in the topic segments yet ."
[19:29] Speaker_E | Yeah .
"[19:30] Speaker_D | Just 'cause that was lower priority . But yeah , all the you can get all the utterances ."
"[19:32] Speaker_E | Yeah , yeah ."
"[19:36] Speaker_E | Alright . Yeah , I should maybe just get started with 'em ."
[19:40] Speaker_E | Making a search with that .
"[19:43] Speaker_B | So what about a general layout like this that we have here , the dialogue acts and there the player b And here we'd have a search button and the similarity thing button ."
[19:52] Speaker_E | Hmm .
[19:56] Speaker_D | So where are gonna put the search results ?
"[20:01] Speaker_D | If we move everything to the right a little bit and make a little bar on the left . Yeah , like the search results in there ."
[20:06] Speaker_B | Yeah . Yeah . I think we probably like we can leave those like I_ frames and just arrange them sort of . Yeah .
[20:09] Speaker_E | Yeah .
[20:27] Speaker_D | Yeah . It's quite easy to do though . So I think we probably should .
[20:40] Speaker_E | Yeah .
[20:44] Speaker_E | No .
"[20:45] Speaker_D | Uh we should try running that thing again , see what it does now . Or just delete or back-up it ."
[20:58] Speaker_D | Oh j so I can print obscene messages in the background to um standard output .
[21:03] Speaker_E | Yeah .
[21:08] Speaker_B | If anything we build in a time bomb that only fails if the date is the date of the presentation .
"[21:17] Speaker_B | Yes , because we are nice people ."
"[21:27] Speaker_D | It doesn't seem to work very well . It's capable of slowing down the audio , but speeding up doesn't seem to work at all ."
[21:33] Speaker_B | That's a pity because it looks like it's doing something .
"[21:37] Speaker_D | You have to pause it and play it for the . Yeah , that's uh their clock component ."
[21:38] Speaker_A | Did you overtake that code from the original thing ?
[21:42] Speaker_B | 'Kay .
"[21:44] Speaker_A | Yeah , but also speeding up the audios and s"
"[21:46] Speaker_D | Oh , it's all part of the same component that does that ."
"[21:49] Speaker_B | Um do you think if we override their component and just override whatever , the the action to that slide-bar is ?"
"[21:56] Speaker_D | Uh no , we'd have to look in their code and see what it actually does ."
[22:00] Speaker_D | This thing is really bizarre . It slows it down a bit . The speed up doesn't seem to work .
"[22:07] Speaker_E | Yeah , maybe it has a different constructor when you create it ."
"[22:09] Speaker_D | Yeah . Also their grasp of algebra is terrible . Well yeah , it shouldn't be minus two times , it should be half ."
[22:12] Speaker_E | Is it ?
[22:16] Speaker_E | Oh yeah . I suppose .
[22:20] Speaker_D | 'Cause that'd be playing it backwards twice as quickly .
[22:23] Speaker_E | Yeah .
"[22:25] Speaker_B | So if so something like their skipping , would it actually corporate with our system at the moment ? Would ours skip automatically forward ?"
"[22:31] Speaker_D | Uh it should do , but you've probably gone past the end of the file ."
"[22:34] Speaker_B | Yeah , I realise ."
"[22:37] Speaker_C | Maybe that's the problem . Maybe they have got um the minus in the code as well , and then something in is messed up ."
[22:45] Speaker_D | I don't know . I think it's just um it did do it . It's that bright selection .
[22:45] Speaker_B | Uh .
[22:49] Speaker_C | Uh-huh .
"[22:54] Speaker_B | Yeah , whatever ."
"[22:58] Speaker_E | So do you think a tree-view for like an overview of the whole set of meetings would be good ? Yeah , it w it would look good ."
[23:03] Speaker_B | I think this simple this simple st view that we get that you can just like pass things into and then check when they got clicked really .
"[23:12] Speaker_D | Something that might be quite cool is if you could um you know , like some applications , when you open a file , you get like a little preview . If we could do something like that that displays like a five line summary when you you're about to open the file or something like that ."
[23:21] Speaker_E | Hmm .
"[23:28] Speaker_E | Yeah , I suppose you could calculate them off-line and just , yeah , have a like like a l little thumbnail or something ."
[23:31] Speaker_D | Hmm . Yeah .
"[23:33] Speaker_B | Well couldn't the summar oh no , then we would have to override though ."
[23:35] Speaker_D | The summariser is quite quick . It could probably do it dynamically .
"[23:37] Speaker_E | Yeah . I mean it would be a bit pointless , but it would look good for the presentation . Yeah . I suppose ."
"[23:46] Speaker_B | Hmm . But i in a sense I mean if we see uh yeah , but like probably that would be the same thing that we also display up here . Because I really think that having like some but that would probably even be shorter than five lines . Like really just getting I think getting one or two best utterances for each segment would be really worthwhile . For the search results I probably think that instead of a p a simple summary , something that displays the utterance where the where the word was like displays in a highlighted form where it was found ."
[23:46] Speaker_E | Yeah .
[24:19] Speaker_E | Hmm .
[24:19] Speaker_D | Another quite good thing might be um how are you do you know how easy it is to apply two tips to things in Java ? I've never done it before .
[24:25] Speaker_B | To to apply what ?
"[24:26] Speaker_E | I've never done it , but I'd imagine it must be quite easy ."
"[24:38] Speaker_E | Yeah , it'd be nice for a presentation , yeah , yeah ."
"[24:41] Speaker_B | Well alternatively we could always have sort of a third small component , whatever , like if this was the search results , and then they are just like something else that's part unwritten when Miles goes over this one it triggers that one to display it or something ."
"[24:54] Speaker_D | But yeah , if we can get the tool tip , we should use it though . 'Cause I think it should be quite easy ."
"[24:56] Speaker_B | And a tool tip is I think a very straightf yeah , it especially with a preview we'll be able to get tool tip fairly simple because it's just a property of it . Uh , I've never seen tool tips displaying several lines and stuff though so I wonder how good that'll look . But we'll we can try that ."
[25:00] Speaker_E | Hmm .
"[25:04] Speaker_D | Yeah , that's what I would have thought ."
[25:11] Speaker_D | Um it's quite common in like some applications . Yeah .
"[25:14] Speaker_B | Really ? Well , so far only seen tool tips of few words length . But yeah , uh that should be fairly easy ."
"[25:34] Speaker_B | Yeah yeah , we will have . That's actually just gonna happen today and we will have proper segments as well ."
[25:36] Speaker_A | Yeah .
[25:39] Speaker_E | Hmm . Is that quite easy to do to get um a moving cursor ?
"[25:44] Speaker_B | Um the thing I remember , like I have to find out how to do it without redrawing the display each time , because the display at the moment does take , you see , like it takes a fraction of a segment to display , but probably too much to update it to completely repaint the whole thing every second . So um at the moment I'm just whenever it needs to be repainted , I'm not thinking about to do and just repainting the thing as a whole with a moving bar that's not a good idea . But until I think of something better , what I'll just do is I'll just I'll probably not have a moving bar the whole length , but just some indicator somewhere . Like whatever , just uh a triangle moving at the bottom for now or something . And then I can just like repaint a small area or something ."
[26:20] Speaker_E | Hmm .
"[26:22] Speaker_D | Um all you need to do is just one value . Um the height , it doesn't change in value , does it ? So if you just remember the colour that it was last at and you re-draw a line behind it of that colour and then the next one ."
[26:24] Speaker_C | And the area could be smaller .
[26:30] Speaker_B | Yeah .
[27:02] Speaker_E | Yeah .
"[27:31] Speaker_A | Uh f I'm pretty sure that I can uh always find something to improve there . So I mean if you need me to work on something else , um I can try to finish my stuff um early , but um otherwise I can still keep working on it , improving it , I think ."
[27:40] Speaker_B | Okay .
"[27:57] Speaker_B | 'Kay . Well , I'm actually at the moment I don't see how many people can work on on the programming anyway ."
"[28:03] Speaker_D | No , right now it probably won't be that much benefit . Right now it probably won't be much benefit ."
[28:05] Speaker_B | Hmm ?
[28:08] Speaker_B | No .
"[28:10] Speaker_C | Yeah , as soon as I've finished all the meetings I think there's not that much to do unless I get some evaluation method . But that could be quite difficult . I would have to tag uh some part of it or something ."
"[28:25] Speaker_C | Because if I d if I can't evaluate , I can't do any better ."
[28:29] Speaker_B | Mm-hmm . Mm-hmm . Mm-hmm .
[28:31] Speaker_C | Because I don't know how to do better if I don't evaluate anything .
[28:33] Speaker_B | Mm-hmm .
"[28:36] Speaker_C | Yeah . Yeah , he's really keen on that , isn't he ."
[28:38] Speaker_E | Yeah .
"[28:46] Speaker_E | Yeah , I was just gonna do some sort of informal evaluation ."
[28:46] Speaker_C | Mm .
"[28:46] Speaker_B | Uh I was a bit pissed off yesterday about that part because it was sort of just like a decision we had taken . So okay , we've been talking about evaluation l in the first report and there's nothing new we can say about it this time . And I thought we said that in the meeting before we wrote the report . And then he came back with this whole criticism saying like oh , you didn't say anything about um evaluation and then yeah , but we did that in the last report . We said we're not gonna go oh , but now I expected it in more detail and Oh ."
"[28:57] Speaker_E | Yeah , I did say that ."
[28:59] Speaker_A | Yeah .
[29:01] Speaker_E | Yeah .
"[29:11] Speaker_E | Yeah , he did give us eight out of ten though ."
"[29:13] Speaker_B | If that translates to eighty percent , like if if those actually translate to to really like their percentage scores , then that would be good ."
[29:13] Speaker_D | Yeah .
[29:19] Speaker_D | I think they do 'cause that's the first um sixty percent or isn't it ? 'Cause it's I thought they were thirty percent each .
[29:21] Speaker_B | Hmm .
[29:24] Speaker_B | Sixteen ?
[29:25] Speaker_E | Yeah .
[29:26] Speaker_E | Yeah .
[29:28] Speaker_E | No I think they were ten percent each .
[29:28] Speaker_C | I don't know . Ten percent each . Yeah .
[29:29] Speaker_D | Only ten percent .
[29:30] Speaker_E | Yeah .
[29:30] Speaker_A | Yeah .
[29:35] Speaker_D | I thought they're thirty .
[29:39] Speaker_E | I think they're worth ten percent ?
[29:40] Speaker_C | Yeah . Yeah .
"[29:41] Speaker_A | Yeah , ten percent ."
[29:55] Speaker_E | Hmm .
[30:00] Speaker_D | Yeah .
"[30:00] Speaker_B | Uh And then he'll see the final display and he'll realise that it was all fake , that we didn't actually do any of the work ."
[30:05] Speaker_D | 'Cause I think we'd rampantly underestimated how long it'd take to do the actual uh software engineering bit .
"[30:11] Speaker_E | Yeah , that yeah , that interface and integration , yeah ."
"[30:30] Speaker_B | Like the week just before the presentation , I have most of the stuff that I I'm doing now , I'm rid of it , including the dissertation and DIL ."
[30:34] Speaker_E | Mm .
"[30:39] Speaker_E | Mm-hmm . Yeah , same for me ."
[30:43] Speaker_D | See I'll probably just be starting stuff then 'cause I'll be starting the uh S_N_L_P_ thing and the D_M_ project .
[30:49] Speaker_E | Oh yeah .
[30:51] Speaker_B | Hmm .
[30:53] Speaker_D | What are you doing for your D_M_ project ?
[30:55] Speaker_E | Um I'm gonna do like an on-line museum archive . You get like a document for each exhibit .
[31:00] Speaker_D | Oh .
"[31:02] Speaker_D | Is yeah , I kind of nicked the idea . He went about code M_L_ . I'm gonna make one for guitar tablature . Yeah . But I I think it might have been bit off more than I could chew . So I think it's gonna be quite hard ."
[31:08] Speaker_E | Oh yeah . Oh that'd be quite a good one actually .
"[31:15] Speaker_E | Yeah , would you have to do like music notation and stuff ?"
[31:22] Speaker_E | Right .
[31:27] Speaker_D | See how far I get anyway .
[31:53] Speaker_D | Mm yeah . Well you can easy add a command line parameter .
"[31:57] Speaker_C | It's not essential though , I think ."
[31:59] Speaker_B | Yeah .
[32:03] Speaker_B | Can probably add a open file dialogue box with minimum effort because I think it's a ready-made component that returns a string for a file name .
[32:06] Speaker_D | Mm .
[32:10] Speaker_D | It may even return a file directly . Possible .
[32:13] Speaker_B | Or that w yeah . So we can do that today ?
"[32:19] Speaker_D | Probably . Um the thing is , it I don't know . It doesn't really make sense to call it file open or anything like that 'cause that's it's more like an option ."
[32:20] Speaker_B | Yeah .
[32:30] Speaker_D | To set the par .
"[32:34] Speaker_B | Yeah , but why don't we ?"
[32:35] Speaker_D | Because it reads everything just from one file .
"[32:38] Speaker_B | Yeah , I know , sure it j like it it would not necessary need to be a part of the final thing , but why don't we just provide some means , even if it does it automatically in the beginning as a start-up option , just to ask for a file name . 'Cause then we can just publish a script that you just run and then this whole thing starts ."
[32:47] Speaker_D | Mm-hmm .
[32:53] Speaker_E | Hmm .
"[32:54] Speaker_B | You know what happened to me today , like I forgot about the whe I'm not sure if we had that problem before , finding the Java media , the Java X_ media stuff on all the jars for that . Yeah , I was like suddenly panicking at eleven when I realised God , I just thought it would be very straight-forward to get it going here . And then I got that thing . Yes , so um if we do a version which automatically opens up a file open box . You're yeah , f so you're automatically producing the right format with this no um with just per utterance ."
"[33:03] Speaker_D | Oh yeah , that did happen once before ."
[33:25] Speaker_C | Hmm ?
"[33:28] Speaker_C | Uh yeah , f per utteran uh I print the utterances in the I_D_ . Uh no , the the I_D_ of the utterance and uh the measure I think ."
[33:32] Speaker_B | Okay .
[33:50] Speaker_D | Or even just the entire corpus . That's what um Colin's file has got .
[33:55] Speaker_C | That shouldn't make too much difference . If I just take well m a file or where one meeting is in or
"[34:05] Speaker_C | concatenate all those , shouldn't be too bad ."
[34:08] Speaker_B | Hmm .
[34:10] Speaker_D | Does his ? It's it's easy to load that much just text .
"[34:16] Speaker_B | Yeah . Where do you think you can uh produce something like that . Like I think we should go for like for one group , not for the whole corpus ."
[34:25] Speaker_D | Uh I think it makes more sense to go for the whole corpus because the meet the um the I_D_s gonna have gaps and stuff in them otherwise . And it means you have to read through the list of utterances when you're compiling all the data over and over and over and over again .
[34:39] Speaker_B | No no n
[34:39] Speaker_A | So so you want um the dialogue act numbers to be um continuous throughout the corpus so that second meetings begins with three hundred um something .
[34:45] Speaker_B | Yeah .
[34:46] Speaker_D | Yeah .
[34:47] Speaker_B | Yeah .
[34:49] Speaker_D | Yeah .
[34:59] Speaker_D | Well a at the moment the main data i that's just uh uniquely numbered throughout the entire corpus .
[35:07] Speaker_B | Hmm ?
"[35:08] Speaker_D | Well at the moment from the dump file , it's just got them uniquely numbered throughout the entire corpus ."
[35:15] Speaker_E | Hmm .
[35:18] Speaker_D | Hmm .
[35:21] Speaker_D | And it makes more sense to do that anyway because um that means you got more flexibility with how you want to group them . And one thing you really don't want is ever to have two utterances that could potentially have the same I_D_ .
"[35:42] Speaker_D | Yeah , but that's the point of the data manager is to manage all that ."
"[35:57] Speaker_D | It's possible , but it's it's not really much point . 'Cause at the moment it's got quite nice property that the dialogue act number also coincides with the array index number in the array of dialogue acts , which is quite nice ."
"[36:09] Speaker_B | Whereas uh s mayb maybe we're talking k like so so your data manager , would that then handle the whole thing ? Would that handle it that this would only like the display would only display one group ?"
[36:20] Speaker_D | Well you could you could choose whatever you wanted .
"[36:23] Speaker_B | Yeah , so if I mean I don't mind where it's done . So if the data manager filters it out and like I just think that in in the logic of the programme it's it's much easier to justify why we say we treat a series of meetings as one single thing rather than w"
"[36:37] Speaker_D | But you may not be interested in the same series each time . You might want to display all meetings that had a particular phrase mention , say . And those might not be the ones that we enumerated as one meeting , in which case you're gonna have conflicting I_D_s and things like that . Whereas the da if you do it in the data manager , you can control any logic like that programmatically rather than doing it by hand and setting it in stone for all time ."
[36:54] Speaker_B | But a
[37:11] Speaker_B | I b like would just I would find logical reasons for why you can sugg say peop
[37:15] Speaker_D | Well it's just good practice . Like it separates the data from the programme logic . What you're talking about doing is embedding some of the programme logic in the data .
"[37:31] Speaker_D | Yeah , but that's a decision we're forcing on the user when we don't have to ."
