[01:59] Speaker_A | Okay .
"[11:20] Speaker_A | uh perhaps we ought to uh stick to uh to buttons , since the last thing we want to do is present a product that doesn't work . Um ."
[11:35] Speaker_A | Thoughts ?
"[11:41] Speaker_C | Well , another thought I oh , sorry , go ahead ."
[11:44] Speaker_D | Oh I was just gonna say mayb maybe it sh
[11:48] Speaker_D | maybe we can like cut corners somewhere else to bring in over cost .
[13:54] Speaker_C | Oh yeah .
[14:05] Speaker_B | Hm .
[14:05] Speaker_A | Mm .
[14:09] Speaker_C | Okay .
"[14:11] Speaker_C | Well , I kinda think if we're gonna have the voice recognition for part of it , then maybe we should have it for the whole thing ."
[14:16] Speaker_B | Mm .
"[14:18] Speaker_C | And we've been talking about it the whole time . Anyway , I'm I'm incli kinda inclined to say that we should just go for it ."
"[14:19] Speaker_B | Mm , mm ."
"[14:19] Speaker_A | Yeah , yeah ."
"[14:22] Speaker_A | Mm , right , okay ."
[14:23] Speaker_B | Mm .
"[14:23] Speaker_D | Uh yeah , it's the second most important aspect to users that the device should be technologically innovative ."
[14:30] Speaker_C | Yeah .
"[14:31] Speaker_D | From uh my presentation show , so . Uh technologically innovative ."
"[14:36] Speaker_A | Right , okay , so ."
"[14:38] Speaker_B | No , that sounds good . Mm ."
"[14:38] Speaker_A | Fine . Okay . I it will have voice recognition um uh if if that means uh if that means we can't afford buttons but I mean b b second question , do we need the five buttons for channel change , up down , volume up down and on off , just as a a backup or just so that people can uh j j just sit there pressing buttons ?"
[14:41] Speaker_B | Mm . Cool .
[14:42] Speaker_C | Okay .
[15:01] Speaker_C | Yeah .
"[15:02] Speaker_B | Yeah , I I would say we do , yeah ."
[15:04] Speaker_C | I think so .
[15:07] Speaker_A | Right .
"[15:13] Speaker_A | Okay . Sorry , d did you want to say anything ? No ? Okay . Shall we move rapidly on to uh Kendra ? Uh um ra rapidly move the cable over ."
"[15:15] Speaker_B | Uh nope , that was it , that was it . Okay ."
[15:18] Speaker_C | Okay .
[15:31] Speaker_A | Mm .
[15:35] Speaker_A | Oh good .
[15:38] Speaker_C | Oh .
[15:41] Speaker_C | Yes .
[15:49] Speaker_C | Is it gonna work ?
"[15:50] Speaker_B | Yeah , it's thinking about it ."
"[15:51] Speaker_A | Mm yeah , it'll get there . Yep ."
"[15:53] Speaker_C | Okay . Okay , so I did some research on the internet and um what you know , the interf user interface are just aspects that are seen by users , um commands and mechanisms for the operation , and there're just kind of a variety of choices . Um findings , so a lot of times they tend to look cluttered and these were just a couple examples of um different kinds that are a little bit more unusual . There're some special ones available , like this one right here , which is marketed towards children , um different designs , and one of the things that n we need to watch out for is a V_ in volume because people some"
[15:54] Speaker_B | Yeah .
[16:15] Speaker_A | Mm-hmm .
"[16:22] Speaker_A | Mm , yeah ."
[16:24] Speaker_A | Uh-huh .
[16:26] Speaker_A | Alright .
[16:49] Speaker_A | Mm-hmm .
[16:58] Speaker_D | Mm .
"[17:06] Speaker_A | Sorry y y yeah , if I can interrupt you . Well d p 'kay , do you wanna say anything about um slide controls ? I mean I think the reason everybody uses pushbuttons is that they're they're si simple , cheap and reliable ."
[17:11] Speaker_B | Mm .
"[17:26] Speaker_A | Okay , fair enough , fine ."
[17:28] Speaker_C | Just because I n for example if I'm using a mouse I like to be able to slide it up and down so I thought it might be good for volume to just be able to kind of roll it and then have the up and down and then the this is my great little drawing .
[17:33] Speaker_B | Mm .
[17:34] Speaker_A | Yeah .
"[17:36] Speaker_A | Good , good ."
[17:40] Speaker_A | Yeah .
"[17:45] Speaker_C | Y yes , yes ."
"[17:45] Speaker_D | Well , if you g if you if you got a channel up down , we can have a slider in that as well . Because if it if you no if you notice on the thing it it kind of like has got kind of if you you know it s kind of like sticks , if you know what I mean , up like one unit , if you see what I mean . So it kinda goes up one , then y like you can keep rolling it up , but it's like like like like a cog or something . So you kinda take it up one at a time ."
[18:00] Speaker_C | Yeah .
[18:00] Speaker_B | Mm .
[18:04] Speaker_A | Uh-huh .
"[18:08] Speaker_C | The only advantage I was thinking of to having the buttons , like the buttons on one side for the channel , and then the slider is that if you're just holding in your hand , and you pick it up , it's easy to n s know , okay , this is just the volume and this is the channel ."
[18:13] Speaker_A | Mm-hmm .
[18:20] Speaker_A | This one on the one side and one yeah . Okay .
"[18:22] Speaker_B | Ye yeah , 'cause I've definitely picked up remotes and like meant to change the channel and turn the volume , or vice versa , so it'd be kinda good to have them be feel completely different . You'd know what you were fiddling with ."
[18:24] Speaker_A | Yeah .
[18:25] Speaker_C | Yeah .
[18:26] Speaker_A | Yeah .
[18:30] Speaker_B | Yeah .
"[18:31] Speaker_A | Yeah , or yeah uh th th the I mean thi this is what the we have to come up with is the the actual shape that people can ins instantly pick it up and and know know uh know what it's going to do ."
[18:38] Speaker_B | Mm .
[18:40] Speaker_C | Yeah .
"[18:41] Speaker_A | Okay , so we we're looking at sliders for both a uh volume and channel change"
"[18:51] Speaker_A | of one sort . Just for the volume , uh ."
[18:52] Speaker_B | Mm .
"[18:54] Speaker_D | I dunno if it depending on the final shape of it , 'cause you could have like , I dunno , it looks like you can c control the volume with your thumb , and then you could control the buttons with your fingers ."
"[19:02] Speaker_C | Yeah , yeah ."
"[19:07] Speaker_A | It yeah , I mean it it it seems to me that uh it uh it al also has the advantage that it it the two are clearly different , um that there's no no possibility of uh confusing the two . So okay . Right so uh that's sorry is that that all you want to say at the mo okay , fine ."
[19:09] Speaker_C | Yeah .
"[19:12] Speaker_B | Mm yeah , yeah , yeah ."
[19:13] Speaker_C | Yeah .
"[19:13] Speaker_D | Oh yeah , yeah ."
[19:19] Speaker_C | I'm just gonna pass this along .
[19:25] Speaker_C | Yes .
[19:59] Speaker_A | Mm right .
"[20:06] Speaker_D | Here we go . Uh yeah , this is my report on trend watching . The data's come off internet uh from executive summary for us on the top three things wanted by the consumer . And we got reports from Paris , Milan on new fashions ."
[20:07] Speaker_A | Right .
[20:11] Speaker_A | Mm-hmm .
[20:27] Speaker_D | And uh
"[20:30] Speaker_D | the most important aspect is the l the look it has to look fancy , look and feel"
[20:34] Speaker_A | Mm-hmm .
[20:42] Speaker_A | Mm .
[20:59] Speaker_A | Well I I mean I th I think that what we're suggesting ought to address all three of those .
[21:03] Speaker_C | Yeah .
[21:04] Speaker_B | Mm .
[21:05] Speaker_A | Okay .
[21:23] Speaker_A | Uh-huh .
[21:25] Speaker_D | and uh
[21:27] Speaker_D | a spongy material to be used on the on the outside .
"[21:30] Speaker_A | Mm I hadn't thought of that , that's different , certainly ."
[21:32] Speaker_B | Mm .
[21:36] Speaker_A | What ?
"[21:45] Speaker_D | uh f like it's in if if fashion if we're going for the it looks fancy , then fashion is obviously the line we gotta be going through . But fashions do don't last very long ."
[21:51] Speaker_B | Mm-hmm .
"[21:55] Speaker_B | Well that can kinda tie into our changing uh face things , like we could have the fruit and vegetable theme this year and uh whatever happens next year , we can have the face plates , yeah ."
[21:58] Speaker_D | Mm .
[22:00] Speaker_C | Yeah .
"[22:04] Speaker_B | Yeah , yeah ."
[22:04] Speaker_A | Uh .
"[22:06] Speaker_C | Yeah like the kind you get on like hand weights . You know , that kind of spongy yeah ."
"[22:08] Speaker_B | Mm , yeah , that weird I dunno what that is , but yeah ."
[22:12] Speaker_B | Mm .
[22:14] Speaker_A | Also means you can drop it without damaging it .
[22:15] Speaker_D | Yeah . That's c cool .
"[22:16] Speaker_B | Uh , yeah , it's good as well . Mm-hmm ."
"[22:16] Speaker_C | Yeah , that's true ."
"[22:21] Speaker_D | if we could save depending on the cost of the product itself , you know , could we have uh a cheaper b cheaper power source and then just have it annually renewed ?"
"[22:32] Speaker_D | Instead of having a ten year guarantee ? With interchangeable covers , could just buy a new one every year , a new one when new fashions come out ."
[22:38] Speaker_C | Yeah .
[22:40] Speaker_B | Mm .
[22:54] Speaker_B | Mm .
[22:58] Speaker_D | Yeah .
"[23:03] Speaker_B | I think it's easier sometimes to have them buy changeable covers for it than to buy a whole new one , because you don't feel like you're investing in a whole new product ."
"[23:11] Speaker_A | W I mean we we can uh uh b but I mean my feeling is that current power sources are such that for relatively little cost you can make it last , you know , a long time . Um but if we also make it cheap enough that people either change the cover every year or even buy a new one every year then it it's it's even better ."
[23:14] Speaker_B | Yeah .
[23:16] Speaker_B | Mm .
[23:21] Speaker_B | Yeah .
[23:26] Speaker_B | Mm .
[23:29] Speaker_B | Mm .
[23:30] Speaker_C | What if we included the batteries in the cover ?
[23:30] Speaker_D | Mm-hmm .
[23:33] Speaker_B | Oh yeah . I like that . That all c also kind of encourages 'em to buy new covers and yeah .
"[23:39] Speaker_C | Yeah , so can I see that thing ? Just this as examples ."
[23:40] Speaker_B | Um .
[23:45] Speaker_C | So f
[23:53] Speaker_B | Uh yeah .
"[23:59] Speaker_C | Yeah , I guess that's"
[23:59] Speaker_B | Mm .
[24:01] Speaker_C | true .
[24:06] Speaker_A | I know what you're saying and uh understand where you're coming from .
[24:20] Speaker_B | Mm-hmm .
"[24:25] Speaker_A | I th I s I think if we're gonna go down that route , then we're talking about uh even if it costs slightly more than that , um just building the whole thing in one , then having getting cheaper production costs um and , you know giving people the option of buying a new uh a a complete new thing , the advantage of a replaceable cover is that even if they don't it doesn't have a cover on at all , it will still work um totally . Um then if , you know , if people lose the cover , I mean they they might be well inclined to go out and spend however many Euros on a on a new one um rather than a a complete new re remote ."
[24:48] Speaker_B | Mm .
"[24:48] Speaker_C | Yeah , that's true ."
[24:49] Speaker_B | Mm .
"[24:51] Speaker_C | Yeah , yeah ."
[25:00] Speaker_C | Yeah .
[25:03] Speaker_C | Yeah .
"[25:03] Speaker_B | Well that that's just it with the covers , you're sort of tricking 'em into continuing to spend their money on our products without making 'em feel like they're being ripped off having to buy a new product . So , yeah ."
[25:13] Speaker_B | Yeah .
[25:15] Speaker_B | Mm .
[25:15] Speaker_C | Right .
"[25:17] Speaker_B | Mm , yeah ."
[25:22] Speaker_B | Mm .
[25:23] Speaker_C | Yeah .
"[25:26] Speaker_B | And that's the sort of thing , once you get the mould set , you can just whip out different colours , different pictures very very quickly . Yeah , yeah , exactly , exactly ."
"[25:30] Speaker_C | Yeah , like they have for mobile phones that are just fruits and animal prints and colours . Yeah , okay ."
[25:35] Speaker_B | Yeah .
"[25:42] Speaker_D | Um oh , don't worry it's all said , I was just gonna say uh yeah , are we gonna make this as part of like like uh a part of the f like it it the fashions apply to furniture , so are we gonna make this part of the furniture ?"
[25:53] Speaker_A | It's the sort of thing that we want people to have prominent dis displayed on their um coffee table to say this says something about me .
[25:56] Speaker_B | Mm . Mm-hmm .
"[26:03] Speaker_A | Um this is fashionable . I , you know , I'm I'm I'm with it , I'm up to date . And you know , th the the design that I've got , and and it could be a a home-made design , um you know this says this is not just a a television remote control , this is , you know , a fashion accessory . Um ,"
[26:05] Speaker_B | Yeah .
"[26:24] Speaker_A | so I mean the the the basic shape i is is what we uh I mean given that we've got you know one one on off button presumably , two buttons for uh channel change and one slider and basically nothing else , um w we need to decide on the just the basic shape of the thing ."
[26:31] Speaker_B | Mm .
"[26:44] Speaker_A | And , know whether we go down the fruit and veg route , and I don't suggest we make it look like a banana , but um know sort of the the organic , you know , curved look , you know , t to deliberately get away from the uh um uh you know , the the the the square look of most um current uh remotes and , you know , whether whether the you know , the the fixed part of it is the corporate yellow . Um"
[26:54] Speaker_B | Mm .
[26:55] Speaker_D | Oh yeah .
"[27:14] Speaker_A | mm or uh 'cause there's certainly you know , the the corporate logo needs to be prominently uh displayed so that people s th looked at it and say right , that's a Real Reaction remote control , I want one of those ."
"[27:27] Speaker_B | I dunno that we should make the whole thing yellow I kinda thought with a you'd have like a yellow circle with the R_R_ in it somewhere on it , but I'd yellow seems a bit of a strong colour to make the ent like the thing no , but I mean just like white or grey or black or some sort of blah colour . Yeah , yeah ."
[27:31] Speaker_A | Yeah uh the the uh or or b
"[27:31] Speaker_C | Yeah , like an ."
"[27:34] Speaker_A | Yeah , I'd I'd um yeah . Uh no I d I I agree , I mean we're we're we're simply it's simply required to incorporate the the the the corporate logo prominently um ."
[27:40] Speaker_C | Yeah .
[27:41] Speaker_B | Yeah .
[27:42] Speaker_B | Mm .
[27:43] Speaker_C | Well n
"[27:45] Speaker_A | Well , th this is this is the whole point , yes , you know , I'm I've got a a Real Reaction uh remote control to go with my Real Reaction coffee maker or or whatever . And uh then people , you know , people demand more Real Reaction stuff ."
[28:00] Speaker_B | Mm-hmm .
"[28:01] Speaker_C | Well I was sort of mm kinda picturing like maybe um a shape that's almost like a mouse . So that , you know , when they hold it it's because a mouse is pretty comfortable to hold in your hand um maybe we could make it a slightly different shape so they could hold on to it , but that way they can have the volume on the side and then the channel buttons and"
[28:07] Speaker_B | Mm . Yeah .
[28:07] Speaker_A | Yeah .
[28:20] Speaker_A | Yeah . Yeah .
[28:21] Speaker_B | Mm .
"[28:22] Speaker_C | have the power , wherever , somewhere ."
[28:24] Speaker_B | Yeah .
[28:25] Speaker_A | I mean I've uh yeah .
[28:25] Speaker_C | I mean that was just an idea that I had .
[28:28] Speaker_A | Oh no that well there's the sim my my idea was something a b probably you know a bit fatter than this but sort of tha that sorta shape so that you can just sort of ho hold it .
[28:32] Speaker_C | Yeah .
"[28:33] Speaker_C | Yeah , maybe . Kind of a c"
"[28:39] Speaker_A | W it I mean well it's sort of it's it's sort of uh a a mouse , but held , you know , so it's you sorta hold it in your hand like that , i with , you know , and fiddling with the buttons ."
[28:39] Speaker_C | Yeah . Sort of a combination .
[28:43] Speaker_B | Yeah .
[28:44] Speaker_C | Yeah .
"[28:45] Speaker_B | Yeah , and fiddle around with it and press it ."
"[28:53] Speaker_B | Maybe almost like a hairbrush , like you could get the about the width of that end of the pen and then it widens up top and you can fiddle an yeah ."
"[28:56] Speaker_C | Yeah , then wider up here . And then it would have a l uh wider thing to uh have the light , the infrared light at the T_V_ and just kinda change channels and adjust the volume and the power could be wherever , up up the top or something . What do you guys think about that ?"
"[29:01] Speaker_B | Yeah , yeah . Yeah ."
[29:07] Speaker_B | Mm .
"[29:11] Speaker_B | Yeah , cool ."
"[29:16] Speaker_A | Okay , yeah , yeah ."
[29:17] Speaker_D | Um I'm just I'm suddenly realising that yeah we're discussing how much how good it's gonna be to change channels t we still can just tell it to . I mean are we are we starting to get away from the the voice functionality of it ?
[29:33] Speaker_A | It's a very good point .
[29:34] Speaker_C | It is a very good point .
[29:35] Speaker_B | Yeah .
"[29:36] Speaker_A | I think we d I think we decided that w we're actually going down both routes . That um the we n we need the the manual controls and that they should be of that form , but that uh yeah ."
"[29:41] Speaker_B | Yeah , yeah ."
[29:41] Speaker_C | Yeah .
[29:48] Speaker_C | Yeah .
"[29:49] Speaker_B | But do you know , this shape also kind of les lend itself to to voice 'cause if you're you're holding it and you're fiddling , but you can also bring it up like that and it's microphone-esque , yeah , yeah ."
"[29:55] Speaker_A | Then you just bring it up to your mouth and just speak to it , yeah , yeah ."
"[29:58] Speaker_D | Yeah , maybe we cou like w like we're leaving out the buttons for the the f less frequently used stuff , but maybe we could incorporate that into the voice ."
[30:05] Speaker_B | Mm .
"[30:07] Speaker_A | I th I th honest uh my personal view is that if it's not there , people wouldn't use it anyway um ."
"[30:13] Speaker_D | Mm I suppose , but t there is the off chance that , you know , th the brightness is wrong on your T_V_ or the contrast needs changing ."
"[30:19] Speaker_A | It's cer it's certainly possible I mean , but they we we're going beyond w w given the state of the technology we want something that we kno we know will will work um ."
[30:23] Speaker_B | Mm .
[30:31] Speaker_D | Hmm yeah .
"[30:32] Speaker_B | Well you can still i incorporate the voice with with less buttons . I mean uh if the power button was also somehow like a menu button you could press that and or do voice commands , and either volume thing could also be to scroll through other options like y and you could scroll through brightness and and sc and then you can you can minimise the buttons and still have those , you know , brightness and tint and stuff ."
"[30:45] Speaker_D | Yeah , that's a good idea ."
"[30:46] Speaker_C | Yeah , I suppose I sup"
[30:50] Speaker_A | Yeah .
[30:51] Speaker_D | Yeah .
[30:52] Speaker_A | If we we're I mean I'm getting a clear message that we think that we should have those facilities available .
[30:57] Speaker_C | So I guess we could have a menu button as well . We could have the channels and the power and then a menu button and then the volume . So have four buttons and the volume instead of three buttons and the volume .
[31:02] Speaker_B | Yeah .
[31:07] Speaker_A | Uh uh uh
"[31:09] Speaker_A | Okay , if we if we're going down that route , then"
"[31:14] Speaker_A | we need some sort of display . Do we need some sort of display ? We actually use the television , okay . Okay , okay , okay ."
"[31:16] Speaker_B | But the television would be the display that things like that usually c pop up on a televi like you hit menu and menu will come up on television and have like tint brightness , and you'd use the scroll , scroll through it yeah ."
"[31:17] Speaker_C | Yeah , that's on the T_V_ , yeah ."
"[31:19] Speaker_C | Yeah , and then y"
"[31:22] Speaker_D | Well I mean on a onto like a mouse , the ru the scrolling button , is actually a button as well , you could press it , you could press that and have it as a menu button ."
[31:24] Speaker_A | Yep .
"[31:28] Speaker_B | Yeah , yeah , that's true ."
"[31:29] Speaker_C | Yeah , press that is t yeah , that might work . Yeah , it's like um yeah , it's like the mouse where you just kinda click it . You just press it ."
"[31:36] Speaker_B | Yeah , mm ."
"[31:39] Speaker_C | Yeah , and you could just click that to so if you had like the menu then you could scroll through and then click it to select ."
"[31:45] Speaker_B | Mm , oka yeah ."
[31:47] Speaker_B | Yeah .
[31:47] Speaker_D | Uh yeah .
[31:47] Speaker_C | You know what I mean ?
"[31:48] Speaker_A | Mm yeah . Okay , we got five minutes to go in this meeting , so um I d I think we've actually very conveniently just uh come to uh a good point to s to sum up um ."
[31:52] Speaker_C | Okay .
"[32:07] Speaker_A | So um b b Kate and Kendra now go away and uh pa play play with a bit of Plasticine or play-dough , whatever it is on the other side of the Atlantic . Um and actually put what we've discussed into something uh I was gonna say concrete , but that's a slightly inappropriate word um to something that we can we can see and um Andrew n can go away and th th think about how we can uh actually market this as a concept and not j not just a uh um a a simple remote control ."
[32:18] Speaker_D | Hmm .
"[32:47] Speaker_A | Yeah , certainly , of course ."
"[32:50] Speaker_A | I think I think we decided that we're gonna for for simplicity of , you know , manufacturing and uh maintenance that we will go for a a long term battery source um , I you know , on the basis that um that , you know , if we're going for making it a fashion statement , then uh people are more likely to change it anyway uh before i it runs out and um make an assumption that we we can aim for a battery that will last most people for uh we'll say at least five five ten years and that we'll w we will guarantee it for for five years um ."
[32:51] Speaker_D | long term .
[33:02] Speaker_B | Mm .
[33:31] Speaker_D | And we're having a custom chip ?
"[33:36] Speaker_A | a custom chip , but given the the we've cut the functions down , um that will hopefully not be too problematic , but given that um technol technological innovation is important , then we need to , I'll say it again , technologically innovate ."
"[33:56] Speaker_A | Um and uh we we , know , we must resist any efforts to uh to try and water that down um ."
[34:06] Speaker_D | And interchangeable case ?
"[34:09] Speaker_A | I i interchangeable case seems to be um um important to the concept . Um it it should be cheap , you know , if if we avoid any , you know , electrical connections . And uh i you know , i if we can come up with some way of of allowing people to actually personalise it uh to whatever they want , then uh I mean uh uh this is totally new . We d we don't know whether"
[34:12] Speaker_B | Mm .
[34:18] Speaker_B | Mm .
"[34:27] Speaker_D | Mm , mm-hmm ."
"[34:35] Speaker_A | that to what extent people do it or not , but if they've at least got a a good selection of um covers that they can use anyway , and uh and if if we can keep them , you know , rolling , then uh you know , so they can get them in the supermarket when they go down to um a any of the famous supermarkets , I won't mention any mention any names , um it's uh it's good for the supermarket and it's good for us and it hopefully makes them feel better ."
"[35:15] Speaker_B | Mm , does actually , yeah , yeah ."
[35:15] Speaker_D | Cool .
"[35:19] Speaker_B | Mm different to feel , yeah , yeah ."
"[35:20] Speaker_A | Yeah , yeah . And the you know , that that solves one of the problems of b of battery life , 'cause that would well that would clobber the battery life , so no , I mean given the nature of the buttons we're having , it's actually uh uh unnecessary I think ."
[35:21] Speaker_C | Yeah .
"[35:23] Speaker_B | Mm-hmm . Yep , yeah . Mm-hmm ."
[35:23] Speaker_C | Yeah .
[35:26] Speaker_C | Yeah .
[35:31] Speaker_C | Yeah .
[35:31] Speaker_B | Mm-hmm .
[35:38] Speaker_D | As wide as possible .
[35:44] Speaker_C | Like this or like this .
[35:44] Speaker_B | Mm yeah .
[35:55] Speaker_A | Not like my my mum who points it at the ceiling and wonders why the th th the television doesn't work .
"[36:02] Speaker_A | Um yeah , I mean I d I th I sorta envisaged that if if this was the the thing , then sort of the the whole of the top would be the uh the infrared uh ."
[36:09] Speaker_B | Mm-hmm .
"[36:11] Speaker_B | Yeah , mm ."
[36:12] Speaker_C | So you could use like this and it would go .
[36:15] Speaker_B | Mm .
"[36:15] Speaker_A | Yeah , 'cause I mean the r reality is people are they're gonna be looking at the television whilst they're using it , the chances are , so if if they're holding it anyway , the they're reasonably likely to be holding it to use it , then uh then that that's the sort of coverage that we want ."
[36:23] Speaker_C | Yeah .
[36:27] Speaker_C | Yeah .
"[36:32] Speaker_A | Um okay , d we're all clear where we go from here ."
"[36:36] Speaker_B | Yep , sounds good ."
[36:39] Speaker_D | Mm-hmm .
"[36:39] Speaker_A | Okay , so thank you very much indeed and I'll s see you all again in thirty minutes ."
[36:41] Speaker_B | 'Kay .
[36:44] Speaker_B | 'Kay .
