[00:01] Speaker_A | Good .
"[11:08] Speaker_D | Are all the buttons easy to find ? Not only this buttons , all the buttons ."
"[11:11] Speaker_B | Well , I think they are ."
[11:16] Speaker_C | Yeah .
"[11:19] Speaker_C | Take a harder look , yeah , sure ."
[11:21] Speaker_D | I think th it's
[11:22] Speaker_C | It's easier than the regular uh remote control .
[11:23] Speaker_D | easy t
"[11:26] Speaker_D | Yeah , I think this is easy now . I think th I think the options buttons are not the the easiest way to to"
[11:28] Speaker_C | Yeah .
"[11:35] Speaker_B | No they're not , but they're they're they are easy to find ."
[11:36] Speaker_D | to handle .
[11:38] Speaker_D | True .
"[11:41] Speaker_C | Yeah , they are a lot easier to find than uh th than on the regular remote controls where you have to uh find out what which sign or icon means on uh every button . So you have t you have to use the the the manual to understand most Yeah ."
[11:46] Speaker_B | Oh .
"[11:51] Speaker_D | Yeah , okay , that's true , that's true ."
[11:51] Speaker_B | Yeah .
"[11:53] Speaker_D | But that's that's vantage of L_C_D_ screen , you can have text ."
[11:57] Speaker_A | So which number are we going to fill in ?
"[11:59] Speaker_C | I think it's uh it's a two , at least ."
[11:59] Speaker_B | I would say yeah .
[12:01] Speaker_B | Yeah .
"[12:04] Speaker_B | Yeah , you can make it a two ."
"[12:04] Speaker_A | A two , yeah ? Two , three and what do you think ?"
[12:05] Speaker_D | Yeah .
[12:09] Speaker_C | A three ? And why is that ?
"[12:09] Speaker_A | Okay , so we have two , two , three ."
"[12:10] Speaker_D | I personally think , because I d I don't think i maybe it's easy to use , it has to be easy to find right away . I I think if you have the button at the right , I don't think you can find the option button that easy ."
"[12:21] Speaker_B | Yeah , but you don't have t have to use the button on the right . You can touch it . Yeah ."
[12:23] Speaker_D | You can touch it .
[12:27] Speaker_C | It said bo both the options .
[12:27] Speaker_B | You you can touch options .
"[12:28] Speaker_D | Yeah , okay , but you have y then you have here s written option on here , the teletext button , right ? Okay , then okay , good . Then I think also two , yeah ."
[12:33] Speaker_B | Yeah .
[12:34] Speaker_C | Yeah .
[12:36] Speaker_B | You can touch options and it's comes out .
[12:38] Speaker_D | Yep .
"[12:38] Speaker_C | A two , a two ."
"[12:40] Speaker_A | It's the box below it , huh ?"
[12:40] Speaker_C | Uh the next question the next question . Oh my God .
[12:45] Speaker_A | Otherwise we have two results in one question .
"[12:48] Speaker_A | Okay , next question ."
"[12:49] Speaker_D | It's easy to use , as well for younger as elderl elderly people ."
[12:54] Speaker_B | For young people I think it's easy to use .
[12:58] Speaker_D | Young means sixteen to forty years . And elderly from forty eight to their death .
"[12:58] Speaker_C | Yeah , I was uh Yeah ."
[13:00] Speaker_B | Yeah .
"[13:03] Speaker_C | I think it's the most useful uh remote control ever to be manufactured . Yeah , but because it has the regular uh controls , li uh as you can see in the screen now , and uh"
"[13:08] Speaker_A | Okay , you're very enthusiastic about your own design , huh ?"
[13:23] Speaker_B | Yeah .
[13:26] Speaker_A | As well for the for the older people ?
[13:28] Speaker_C | Uh sure .
[13:38] Speaker_A | And would it be easy for them to use the speech recognition ?
[13:41] Speaker_B | Uh I think it is . If they read a manual .
"[13:48] Speaker_B | Because it it's not it's not it's it's not uh difficult . You say you say uh record to to the to the speech recognition , then you say the question and the answer . And that's everything it does , the speech recognition ."
[13:48] Speaker_A | M maybe that's the most user friendly and easy to use .
"[13:52] Speaker_C | Channel one , channel four , yeah ."
"[14:03] Speaker_A | Yeah , well maybe that would make it even more easy to use for them ."
[14:04] Speaker_B | Yeah .
[14:10] Speaker_B | I would make it two .
[14:12] Speaker_D | Also two ? Not a seven for this ?
[14:13] Speaker_B | Yeah .
"[14:13] Speaker_C | Uh a two . Sure , two . Oh ."
[14:15] Speaker_A | I'd say three .
[14:18] Speaker_D | I would also say three .
[14:20] Speaker_B | Oh . You ?
[14:22] Speaker_C | Two .
[14:30] Speaker_A | Another question .
[14:32] Speaker_D | Remotes overwhelmed with buttons .
[14:33] Speaker_B | No .
[14:34] Speaker_C | No .
[14:34] Speaker_A | No .
"[14:35] Speaker_D | No , that that's that's yeah . Tha that's a one , I think , that's definitely a one ."
"[14:36] Speaker_B | But um I mean , that's definitely one ."
"[14:39] Speaker_B | Oh nee , oh seven is it ? It is . Yeah , uh the remote score ."
[14:41] Speaker_D | No ? Oh yeah .
"[14:42] Speaker_C | A false , yeah ."
"[14:45] Speaker_D | Yeah , I think isn't , this has to be something like isn't overwhelmed ."
[14:48] Speaker_B | It's not overwhelmed .
[14:51] Speaker_B | Yeah .
"[14:52] Speaker_C | Yeah , indeed ."
[14:53] Speaker_D | True .
"[14:54] Speaker_A | Okay , a one , because we designed for that , huh ?"
[14:54] Speaker_B | Yep .
[14:56] Speaker_D | Remote control has uh colours that different that meet different target groups .
[14:59] Speaker_B | Yes .
[15:02] Speaker_D | Yeah .
"[15:02] Speaker_C | Yeah , is optional ."
[15:02] Speaker_A | Yeah .
[15:04] Speaker_D | That's true .
"[15:04] Speaker_A | Yeah , and I though w we had about single colours , but you can also make uh a wood colour , not just one single colour but a wood-like thing , can't you ?"
"[15:09] Speaker_B | Yeah . That it that it looks like wood , like something , yeah . Uh I think you can ."
[15:10] Speaker_C | Huh .
[15:11] Speaker_D | Also with rubber ?
"[15:15] Speaker_D | Yeah , okay ."
[15:19] Speaker_C | Yeah .
[15:20] Speaker_D | Yeah ?
[15:20] Speaker_B | Well but then when you scratch it it does come off .
[15:22] Speaker_D | That's a one ? Okay .
"[15:23] Speaker_C | Yeah , it is it is harder to"
[15:24] Speaker_A | Do you have many questions ?
[15:30] Speaker_C | Geez .
[15:36] Speaker_B | What ?
[15:37] Speaker_A | What spongy .
"[15:37] Speaker_B | Yeah , yeah , it's very spongy . Oh but not it's not very spongy , because it's hard rubber ."
[15:39] Speaker_C | Uh .
"[15:39] Speaker_D | Yeah , I th think it's not the most spongy thing ."
[15:43] Speaker_B | I think it's a three .
[15:45] Speaker_D | Yeah .
"[15:45] Speaker_A | Uh-huh , yeah ."
[15:54] Speaker_D | Remote control is hard to lose .
"[15:55] Speaker_C | Hard to lose , yeah it sh and it's easy to find ."
"[15:56] Speaker_B | Y yeah , you could you could call it ."
"[15:57] Speaker_D | Y you can't you can't lose it if you're sixty years old . If first time see the thing you didn didn't adjust uh set the microphone , and then you lose it , then you have lost it ."
"[16:06] Speaker_B | Yeah , y you can lose it , but it isn't hard to lose ."
"[16:10] Speaker_D | It isn't hard , no . I think I think this is a two , personally ."
[16:15] Speaker_D | No .
[16:16] Speaker_C | Isn't hard to lose .
[16:20] Speaker_D | Isn't hard to lose .
[16:24] Speaker_D | Yeah .
[16:25] Speaker_D | You can't lose it .
[16:27] Speaker_B | It does have an a built in function .
"[16:29] Speaker_A | Yeah , but a har"
[16:31] Speaker_A | A hard to lose is good . So it should this question should be hard to lose . It's difficult to lose it .
[16:33] Speaker_B | Nee .
[16:35] Speaker_B | Hard to lose . Oh right .
"[16:37] Speaker_C | Yeah , this this is hard to lose ."
"[16:38] Speaker_B | It is hard to lose . Yeah , so then this is it is almost true , so a two ."
[16:41] Speaker_A | A two .
"[16:41] Speaker_D | I think yeah , I think also ."
[16:43] Speaker_A | A two .
"[16:43] Speaker_C | Two , yeah ."
[16:44] Speaker_A | Okay .
[16:46] Speaker_C | And most all because of the option to Whoa .
[16:47] Speaker_D | Huh ?
[16:52] Speaker_B | Oh .
[16:52] Speaker_C | Uh .
"[16:52] Speaker_D | Yeah ? Oh , okay ."
"[16:56] Speaker_A | Yep . Oh , it isn't , well okay . Remember ."
[16:56] Speaker_D | No .
"[16:56] Speaker_B | Oh well , it doesn't ."
[17:01] Speaker_C | Click .
[17:04] Speaker_C | True .
"[17:04] Speaker_B | I think it will , yeah ."
[17:05] Speaker_D | Yeah ? True ?
[17:07] Speaker_D | Very true ?
"[17:08] Speaker_D | No , I don't think very true because the colours ."
[17:08] Speaker_A | There .
[17:12] Speaker_D | We have the colours . Um we have the buttons is aren't that that much .
"[17:16] Speaker_C | Materials , yeah ."
[17:19] Speaker_B | It's it's much more younger .
[17:19] Speaker_C | Uh okay . So ma uh make it make it a two .
[17:20] Speaker_D | So I don I think I think it's a three .
"[17:23] Speaker_A | Well I think it's it's uh a lower number , so better because w we designed it for young people especially , didn't we ?"
[17:32] Speaker_A | What do you think ?
[17:34] Speaker_A | Questions ?
"[17:34] Speaker_C | A two ? I think it's two . I think it's two too , two too too ."
[17:35] Speaker_A | Two .
[17:35] Speaker_A | Uh-huh .
[17:37] Speaker_B | Two two two . Let's make everything a two .
[17:39] Speaker_D | In the features ?
[17:43] Speaker_C | Well perhaps not .
[17:45] Speaker_D | Because younger peoples are cr critical and they wanted a lot of features on this thing .
[17:48] Speaker_B | Yeah . Well that it doesn't .
"[17:49] Speaker_C | Well , n not exactly but uh uh if it had some games on it or something like that , but it's for a remote control I think it i it would satisfy those needs . Yeah , the speech possibility , the colours ."
[17:59] Speaker_B | I think they like the speech .
"[18:01] Speaker_B | You could call to your uh yeah , and the screen , yeah ."
[18:01] Speaker_D | L_C_D_ screen and scroll .
"[18:04] Speaker_C | Scroll options , yeah ."
[18:05] Speaker_D | I I think they'll be quite met with their expectations .
"[18:10] Speaker_A | Yeah , but those are more fancy functions , not not really many features or something ."
"[18:14] Speaker_B | Right , that that that those are features ."
[18:15] Speaker_D | No .
"[18:16] Speaker_D | It's three features , basically , the L_C_D_ touch screen is feature ."
[18:21] Speaker_C | Yeah .
[18:21] Speaker_D | The microphone is a feature .
"[18:22] Speaker_B | No , aren't the features the microphone's feature and that you can change the channel's feature , and that you can change the volume is feature , and that you can change the options of the remote , uh uh something like that . Yeah ."
[18:27] Speaker_A | Yeah .
"[18:30] Speaker_D | Yeah , okay ."
"[18:31] Speaker_D | I think yeah , and then you have the audio settings , channel setting , video settings ."
[18:32] Speaker_C | The easy volume up button .
[18:35] Speaker_B | Those are features .
[18:35] Speaker_C | Remote younger people usually use the remote control to put on the volume . Turn uh turn up the volume .
[18:44] Speaker_B | Enough features ?
"[18:44] Speaker_D | Personally , yeah . I think once you've 'cause you have the channel features b uh you have the uh screen features , audio features , the you have all buttons on it which you'd like , microphone extra , L_C_D_ screen extra , scroll"
[18:57] Speaker_D | thing extra .
[18:58] Speaker_B | Yeah .
"[18:58] Speaker_A | Okay , you think one , what do you think ?"
[19:01] Speaker_B | I think two or three .
[19:04] Speaker_C | Two .
[19:06] Speaker_D | Make it make it a two .
[19:09] Speaker_D | Or make it uh a fucking two . You can see the remote control is R_ and R_ .
[19:10] Speaker_C | Right .
"[19:13] Speaker_B | Yeah , there's R_ and R_ in front . Uh it's not the colour , so maybe you should make two , but it has R_ and R_ ."
[19:14] Speaker_C | Uh .
[19:14] Speaker_A | Yeah . Yep .
"[19:19] Speaker_D | Has oh yeah , do did have nah y you have the black one . And we'll probably make also a yellow one ."
[19:23] Speaker_B | Yeah .
"[19:25] Speaker_B | Yeah , but not R_ and R_ yellow I think ."
[19:27] Speaker_D | Maybe two .
"[19:28] Speaker_C | Okay , true , yeah ."
"[19:36] Speaker_B | I think it is , but I don't know what you think ."
"[19:41] Speaker_D | Yeah , tha that's so true ."
[19:49] Speaker_D | Mm-hmm .
[19:51] Speaker_C | Instead of uh just finding out what an icon means on a button .
[19:55] Speaker_D | Mm-hmm .
"[19:57] Speaker_B | And you can navigate easier , because wi with the you have to push the the the arrows and with a normal T_V_ uh remote ."
"[19:59] Speaker_C | Yeah , you can navigate ."
[20:03] Speaker_C | Uh .
[20:17] Speaker_B | Menu .
"[20:22] Speaker_A | Oh , well that's that's pretty good , huh ?"
"[20:25] Speaker_C | Oh yeah , I think so . Yeah ."
[20:27] Speaker_B | Uh just twos . One three and a few ones .
[20:27] Speaker_C | And three .
[20:32] Speaker_B | Two threes .
"[20:35] Speaker_D | Two two two two two . So two , yeah . The average is a two . That is quite good"
"[20:37] Speaker_B | We m mostly have twos , so it's pretty good ."
[20:40] Speaker_B | Yeah .
[20:43] Speaker_B | Yeah . I think so too .
[20:44] Speaker_D | in my opinion .
"[20:44] Speaker_C | Yeah , I think so ."
[20:48] Speaker_B | We can be happy .
[20:48] Speaker_D | Ooh .
[20:51] Speaker_D | Ooh .
[20:55] Speaker_C | It's a fly .
[20:56] Speaker_C | Oh m
[20:58] Speaker_B | A f butterfly .
[21:00] Speaker_D | Top .
[21:02] Speaker_B | Yeah .
[21:03] Speaker_B | That's it .
[21:04] Speaker_D | Okay .
[21:06] Speaker_D | Yes .
"[21:10] Speaker_D | No , it's two . The average is two ."
[21:12] Speaker_B | It's good . Yeah .
[21:16] Speaker_C | Yeah . Exactly .
"[21:17] Speaker_D | Yeah , I uh uh I uh saved it ."
"[21:18] Speaker_A | Everything okay . Well , the next part uh might be a little bit"
[21:26] Speaker_A | difficult to do
"[21:29] Speaker_A | in a group , but I am willing to try it ."
[21:34] Speaker_A | Because we are going to look at the finance and I have a nice Excel sheet to do that .
[21:38] Speaker_B | Yeah .
[21:48] Speaker_B | Yeah .
"[21:53] Speaker_A | we're good , and if they're not we're going to uh re-design , but we have to do that uh very very quick I think , yes . Um I don't know if I"
[21:53] Speaker_B | Yeah .
[21:55] Speaker_B | So we're going to erase features or something .
[22:02] Speaker_A | put the Excel sheet in the
[22:05] Speaker_A | n not in the
[22:07] Speaker_A | folder . I think it's
[22:10] Speaker_A | I think it's still in my own documents folder .
[22:16] Speaker_D | No .
[22:19] Speaker_B | I doubt it . Perhaps we've got features that don't exist in the Excel sheet .
[22:19] Speaker_A | Oh shit .
"[22:21] Speaker_D | Yeah mm yeah , maybe ."
[22:25] Speaker_D | The microphone . Yeah ? maybe you're going scrap scrap it .
[22:28] Speaker_C | Yeah . It i It wasn't too much .
[22:30] Speaker_B | Yeah .
"[22:34] Speaker_A | Okay , well this is it . Um maybe I could ask one of you to uh fill it in , so that I can also uh take minutes , and uh maybe the other can uh use that thing to count uh numerous functions ."
[22:41] Speaker_D | No prob .
[22:46] Speaker_D | Ah .
[22:48] Speaker_D | Count it ? Li like write it be
"[22:57] Speaker_C | Oh okay . Well I dra uh Danny , Danny , I'll do that , because I draw the uh"
"[23:03] Speaker_B | We've got a battery , one or t two batteries , or not ? nee one battery , with two small batteries ."
[23:08] Speaker_D | Yeah .
"[23:09] Speaker_A | Yeah , but it's it's more about the energy source , huh ? Do you use a hand dynamo , a battery , kinetic or solar cells ?"
"[23:11] Speaker_B | Yeah . I would do a battery we do . Right ? A battery . One battery , right ?"
[23:14] Speaker_D | Solar cell . No it took a battery ?
[23:15] Speaker_A | We'll wait .
"[23:15] Speaker_C | No , no solar cell , no no no no ."
[23:18] Speaker_A | Yeah .
[23:18] Speaker_D | Yeah .
"[23:25] Speaker_D | No , we have sample speaker . But b al but we also have sample speaker , do"
[23:26] Speaker_C | On advanced chip .
"[23:29] Speaker_C | Yeah , yeah ."
"[23:29] Speaker_B | Yeah , so this one and this one ."
[23:34] Speaker_B | Uh we ha we have um single what ? Are we ? Oh yay .
"[23:34] Speaker_D | Oh , we already on nine ."
[23:39] Speaker_D | We have double curved .
"[23:40] Speaker_C | Single nee single curved . Double curved was uh uh see uh ju three dimensional . But it isn't three dimensional , it isn't curved in a l"
[23:41] Speaker_D | Single .
[23:46] Speaker_B | Oh the the it's not going to work uh people . We have rubber .
"[23:49] Speaker_D | This one is curved like this , right . It's curved like this ."
[23:51] Speaker_A | I'll just fill it in .
[23:53] Speaker_A | Um rubber indeed ?
"[23:59] Speaker_D | Oh , but we have curves like it and it . There are two curves , right ? Oh , okay I understand , I understand . Rubber ."
[24:01] Speaker_B | Thirteen ?
[24:03] Speaker_C | Huh ?
"[24:03] Speaker_B | With a scroll wheel , right ? Is he integrated ? No , eh ?"
[24:05] Speaker_C | Yeah .
[24:08] Speaker_B | I don't know .
"[24:08] Speaker_D | Push button . No , we don't have push button ."
"[24:08] Speaker_C | Yeah , we gotta integrate scroll wheel and push button , because when you push it and you w it won't just pu uh makes possible to s"
[24:16] Speaker_D | L_C_D_ display .
[24:16] Speaker_C | Not going to work ? Okay .
"[24:22] Speaker_B | Oh but with special colour we have . A special form , right ?"
[24:25] Speaker_C | But now button supplements . We don't got the button supplements .
"[24:28] Speaker_B | Oh , we don't have any buttons , so Yeah , we need to uh"
"[24:29] Speaker_D | Eighteen and a half , damn . We have to lower it with six points ."
[24:31] Speaker_C | Damn .
[24:35] Speaker_C | Okay .
[24:36] Speaker_D | Twelve and half .
[24:39] Speaker_B | We could lose the curve .
[24:41] Speaker_C | Nah .
"[24:43] Speaker_B | Yeah , I would lose the curve ."
[24:43] Speaker_C | We could lose the scroll wheel . You could make it just a regular scroll wheel .
"[24:47] Speaker_B | But you can't push it , so you have to tap ."
"[24:48] Speaker_C | Yeah , if you can't push it you have to tap the the options window uh button here and then uh scroll down with the d with uh with uh the button ."
"[24:57] Speaker_B | Yeah , alright . So normal scroll wheel ?"
"[24:58] Speaker_A | Yeah , I think that will be"
[25:00] Speaker_A | our best bet .
[25:00] Speaker_C | Normal scroll wheel .
[25:01] Speaker_B | And I think we should lose the curve .
[25:02] Speaker_D | I think we should scrap the sample speaker . It's four pri it four units .
"[25:07] Speaker_B | Yeah , but if you would i it is a new feature , it it's something special ."
"[25:11] Speaker_C | Okay , so we don't exactly need the single We don't need a curve . 'S possible to lose curve ."
[25:13] Speaker_D | But w d wha
[25:15] Speaker_D | Curved then it will be square .
"[25:21] Speaker_D | Was that does that mean to it , single curve ?"
"[25:21] Speaker_C | Okay . Yeah , that's meant with scr uh with s curve . The curve is uh in a dimension . If you make it a flat one , s n it's no curve , you got no curves . Yeah , okay ."
[25:23] Speaker_B | Yeah .
[25:27] Speaker_D | Okay .
[25:30] Speaker_B | We would lose this one ?
"[25:31] Speaker_D | Yeah , but tha that that only is one ."
"[25:34] Speaker_B | Yeah , we could s yeah , a bit ."
"[25:34] Speaker_C | No , two ."
"[25:36] Speaker_D | No , one ."
[25:38] Speaker_B | Sixteen point three .
"[25:38] Speaker_C | Oh , okay , indeed ."
[25:44] Speaker_B | Could could we do it on a regular chip on print or something ?
"[25:46] Speaker_D | No , otherwise we don't have an L_C_D_ screen ."
[25:49] Speaker_C | No .
[25:52] Speaker_B | We changed th
"[25:54] Speaker_B | Yeah , and the single curved to uncurved ."
[25:54] Speaker_D | Single curved . Flat .
"[25:56] Speaker_A | Oh , but it's just one"
