[00:22] Speaker_B | Hello .
[03:22] Speaker_D | Yeah .
[03:23] Speaker_B | But it it's not clear what you have to to to type uh type in your presentation .
[03:25] Speaker_D | Yeah . I I had a whole idea and then just was typing it and then oh . I have to do that so switch .
[03:38] Speaker_D | Mm .
[03:38] Speaker_B | Yeah .
[03:40] Speaker_C | Really annoying .
[03:41] Speaker_A | Okay . So there we are again .
[03:43] Speaker_D | By your humble P_M_ .
[03:45] Speaker_A | Yeah .
"[03:46] Speaker_A | Okay this is the agenda . Um we have three presentations , I heard ."
[03:54] Speaker_A | Yeah really . So who wants to start ?
[03:58] Speaker_D | Yeah that's fine .
[04:00] Speaker_C | Yeah .
[04:03] Speaker_A | Yeah . Uh this is you ?
[04:04] Speaker_D | Functional ? Yeah functional requirements .
[04:08] Speaker_A | 'Kay .
[04:08] Speaker_D | Alright .
[04:15] Speaker_D | Well uh some research has be done uh has been done . Uh observing of one hundred uh subjects in the usability lab using a remote control . Uh and they also filled in a questionnaire .
"[04:27] Speaker_D | The findings were um , well you can see them for yourself . They disliked the look-and-feel of current remotes controls . Users think they're ugly . Um they do not match the the operating behaviour of the users . So they they d they don't match what they want to have on it ."
[04:46] Speaker_D | Um they are often lost somewhere in the room . Um it takes too much time to learn how to use a new remote control . And they're bad for R_S_I_ . I don't know uh how a user can reach that but okay .
"[05:26] Speaker_D | Yeah they do need to be on the on the remote control . I mean if you can't control the the sound settings I mean if you dislike a very uh loud bass or something , you you need to change that . So um yeah we have to . We c we c"
[05:27] Speaker_A | Yeah .
[05:29] Speaker_C | Alright .
[05:39] Speaker_C | By the way my T_V_ doesn't have an equ equaliser but okay .
"[05:41] Speaker_D | Yeah I mean w we can't my my T_V_ has , but we we can leave them uh away . Uh most relevant , uh most used functions , uh they speak for themselves I guess . Uh power button , uh channel , volume selection . Uh teletext but we can skip that because I saw the newsflash , and teletext is so outdated that it it's i should not be used uh any more in the future . So forget this one . Uh channel settings , so for programming uh your channels in in the right order ."
[05:44] Speaker_C | No . Alright .
[06:04] Speaker_A | N not used anymore .
[06:08] Speaker_B | Okay .
[06:13] Speaker_A | Yeah .
[06:13] Speaker_C | By the way where did you guys get that newsflash from ? I didn't get anything .
[06:17] Speaker_A | Yeah .
[06:22] Speaker_D | No so it's a text file n in the project folder . So teletext can be skipped .
[06:22] Speaker_B | But you you've got more information than uh .
[06:28] Speaker_C | Alright .
[06:29] Speaker_D | Um there was some research on new features in a remote control . Uh about an L_C_D_ screen uh and speech recognition . Well we got an update for the for the audience . Or the the the targeted group . So it's above forty I guess .
[06:46] Speaker_A | Uh below I believe . Yeah below forty .
[06:47] Speaker_D | The new product ? Or below because that's pretty relevant .
[06:51] Speaker_A | Mm-hmm .
"[06:54] Speaker_A | Our current customers are in the age group forty plus . And the new product should reach new markets , which is the customers below forty ."
[06:57] Speaker_D | Yeah ?
[07:03] Speaker_B | But where did you get uh that information ?
[07:04] Speaker_A | That's in a newsflash .
[07:06] Speaker_B | Okay . Yeah .
"[07:30] Speaker_D | Yeah well we can skip this part as well , because I thought I read above forty so we could skip the features , but we just have to build them in because uh they find it very interesting ."
[08:09] Speaker_B | Yeah .
[08:18] Speaker_A | Yeah .
[08:22] Speaker_A | But it also needs to have corporate identity .
"[08:25] Speaker_D | Yeah so the the logo has to be uh present yeah , and the colours as well ."
[08:27] Speaker_A | Present and the colours .
[08:31] Speaker_C | Do we have uh yeah .
"[08:32] Speaker_D | Yeah so but I I don't think that's that's a problem because the thing has to have a colour anyway , and most of the times there is a brand present on it . So I think that's not gonna gonna affect it very uh very much . Well that are the the consequences uh on a marketing uh part ."
[08:35] Speaker_A | Mm-hmm .
[08:37] Speaker_A | Mm-hmm . Yeah .
[08:40] Speaker_A | Yeah .
[08:42] Speaker_A | Okay .
[08:50] Speaker_C | Alright .
[08:50] Speaker_D | Yes .
[08:51] Speaker_B | Okay .
[08:53] Speaker_A | It's open already so you can use to
[08:59] Speaker_B | Mm .
[08:59] Speaker_A | find yours .
[09:03] Speaker_A | F_ five .
[09:04] Speaker_B | F_ five .
[09:06] Speaker_B | Okay .
[09:09] Speaker_B | Oh .
[09:18] Speaker_B | No no no . I pressed the mouse button .
[09:22] Speaker_C | It's th that's the self-destruct button .
[09:24] Speaker_B | Yeah . Okay .
[09:27] Speaker_D | Yeah . Just yeah .
[09:31] Speaker_D | Sure .
[09:32] Speaker_C | Alright .
[09:37] Speaker_B | No .
[09:38] Speaker_A | F_ five . Yeah .
[09:39] Speaker_D | Yeah . Alright .
[09:39] Speaker_B | Okay .
[09:41] Speaker_B | I uh had uh two examples . Um this one is the the yeah the advanced one with a lot of options and functions and buttons . This the easy one I think we have to to combine them . And uh yeah merge the best functions of all examples .
[09:43] Speaker_A | Mm-hmm .
[09:49] Speaker_A | Mm-hmm .
[09:50] Speaker_D | Yeah .
[09:53] Speaker_D | Yeah .
[09:53] Speaker_A | Mm-hmm .
[09:54] Speaker_C | Mm-hmm .
[09:56] Speaker_A | Yeah .
[10:02] Speaker_A | The mm yeah .
[10:02] Speaker_D | Yeah and and and marketing research stated that that that kind of users are not afraid of of a lot of functions . So not not too much but yeah .
[10:08] Speaker_B | Okay so so we have the option for more functions . Um yeah .
[10:14] Speaker_C | And we do have to integrate the screen and the the speech alright .
[10:17] Speaker_D | And the speech recognition yeah .
[10:19] Speaker_B | Yeah .
[10:28] Speaker_D | Yeah from age of sixteen so yeah .
"[10:29] Speaker_B | Yeah but I prefer we we uh use the the basic options uh yeah . We have to to make them very easy so for just uh zapping around the channels you can just push one button . But if you want to to use your your video recorder or something else , you should use use an uh an advanced option ."
[10:35] Speaker_D | Mm .
[10:36] Speaker_C | Mm-hmm .
[10:39] Speaker_A | Mm-hmm .
"[10:46] Speaker_D | Yeah but uh the the newsflash also stated that it should control only one device , only your television . So w"
[10:50] Speaker_B | Okay one device . Okay . I didn't see . Okay and I also uh yeah . W yeah . We have to make it fashionable . Like you uh said uh before .
[10:52] Speaker_A | Yeah . So n it's very easy . Now yeah it's okay .
[10:56] Speaker_A | Okay .
[11:00] Speaker_D | Yeah .
[11:00] Speaker_A | Yeah .
[11:03] Speaker_B | Uh yeah the basic functions . Um yeah only use a extra function if they are really needed .
[11:08] Speaker_A | Yeah so maybe you can hide them or something .
[11:08] Speaker_D | Yeah .
[11:10] Speaker_B | Yeah .
"[11:10] Speaker_D | Yeah well what what we can do with the screen is is all the the configuration options , you can put that in the screen . And the and the yeah screen menu to to to uh to do that , and then the basic function just on the device itself . So it looks very simple and all the advanced features are hidden in the screen , uh with a clear menu ."
[11:16] Speaker_A | Yeah you make a screen menu or something .
[11:18] Speaker_C | Yeah .
[11:20] Speaker_B | Yeah .
[11:24] Speaker_A | Mm-hmm .
[11:27] Speaker_B | Yeah .
[11:27] Speaker_A | Yeah and the other oth other uh functionality is the screen . What does the screen do ?
[11:35] Speaker_D | Uh . What are wh
[11:35] Speaker_C | Alright .
[11:36] Speaker_A | Yeah . It's low power .
[11:39] Speaker_D | What .
[11:41] Speaker_A | So what does the screen do ? They said they needed it but what does it do ? What do they want with the screen ?
[11:46] Speaker_B | For for the advanced functions I think .
"[11:48] Speaker_D | Yeah well it yeah it didn't it didn't say what they want to do with the screen . Well I , my guess is it's it's pretty handy for advanced uh advanced functions ."
[11:53] Speaker_A | No .
"[12:00] Speaker_D | Yeah searching for channels , programming them ."
[12:00] Speaker_C | Ah look .
[12:01] Speaker_B | Yeah .
[12:21] Speaker_A | Mm-hmm . Content and form .
[12:23] Speaker_D | Yeah .
[12:25] Speaker_A | Yeah . That was the end . Okay .
[12:28] Speaker_D | Yeah .
[12:35] Speaker_D | Well you can improvise right ?
[12:35] Speaker_A | Uh which one is it ? Technical functions ?
[12:36] Speaker_C | Yeah a little bit . Uh no .
[12:38] Speaker_A | This one ?
[12:41] Speaker_C | No no .
[12:45] Speaker_A | Functional requirements ?
[12:49] Speaker_A | No .
[12:50] Speaker_C | I have no idea .
[12:52] Speaker_C | That w . Let me check .
[12:56] Speaker_C | I know .
[12:59] Speaker_A | Uh kick off . Oh working design I got it .
[13:03] Speaker_C | Yeah .
"[13:04] Speaker_D | So we can go for the look-and-feel of the the left example , and then a screen on top of it ."
[13:12] Speaker_A | Here you go .
[13:13] Speaker_C | Alright how do I uh skip pages ?
[13:15] Speaker_A | Just uh press uh yeah . Yeah .
[13:17] Speaker_C | The keys yeah ? Alright . Um yeah well I was working on this before I got my information . So I was just working off the top of my head and using my colin common knowledge about uh remote controls .
[13:18] Speaker_D | Yeah .
[13:27] Speaker_A | Mm-hmm .
[13:33] Speaker_C | And well the info on the website which came too late . Um so I didn't really know what kind of functions we had to put into it yet . So uh uh this is basically an overview of what we discussed in our last uh meeting . Those were my uh starting points .
[13:35] Speaker_A | Mm-hmm .
[13:43] Speaker_A | Mm-hmm .
[13:52] Speaker_A | Mm-hmm .
"[13:53] Speaker_C | Uh I was working on a s yeah on a schedule , and I was supposed to do it like this . But um yeah then uh the information came and it was kind of exact with all the steps in the remote control that I had to follow , so I was trying to organise them for myself . And then make the the design , a the actual design , but I never came around to do that . So I'm not really sure what I'm supposed to say about it ."
[14:11] Speaker_A | Mm .
[14:16] Speaker_D | Design ? Yeah .
[14:17] Speaker_A | Design yeah .
[14:22] Speaker_D | Okay .
[14:30] Speaker_A | Mm-hmm .
[14:40] Speaker_D | Yeah frequency . Yeah .
[14:40] Speaker_A | Mm-hmm .
[14:49] Speaker_A | Yeah decoder .
[15:13] Speaker_C | Yeah . Whatever .
[15:15] Speaker_A | Yeah .
[15:16] Speaker_D | Yeah we want to incorporate in uh into it .
[15:18] Speaker_B | Yeah .
"[15:21] Speaker_A | 'Kay . Um for those that didn't see yet um the basic new requirements of the management were no teletext , only for T_V_ . Uh it should be designed for a use g uh group below forty , but I don't think it's w wrong if we can uh target the current customer group as well ."
[15:43] Speaker_D | Mm .
[15:44] Speaker_A | And uh the corporate identity should be clear in the design of the remote control .
"[15:51] Speaker_A | And we have to decide on the functions , and on the , let's see what was it , uh the target group . We have to make be clear what that is ."
[16:05] Speaker_A | Yeah users .
[16:17] Speaker_B | Okay .
[16:20] Speaker_B | Okay .
[16:22] Speaker_A | Okay .
[16:25] Speaker_A | So below forty is okay . But we need an lower level which to s uh focus . So is it from sixteen to forty ? Is it from twenty to forty ? Is it from thirty ? Yeah ? 'Kay .
[16:33] Speaker_D | How do you mean ?
[16:38] Speaker_D | Uh sixteen to forty . Well I I guess people of sixteen are are quite used to technology . So they they adapt to it pretty soon I guess .
[16:45] Speaker_A | Yeah .
[16:47] Speaker_B | And if we have a larger public we have uh yeah more options to to uh sell our product .
[16:51] Speaker_D | Yeah .
"[16:53] Speaker_C | Yeah so what we might wanna do is uh yeah cust I have customised the screen functions , if you know what I mean . The uh younger users are more acquainted with these kind of machines so they can use more advanced functions . But maybe elderly people don't understand it so well , so they need a simpler remote . And yeah that you can choose what the design displays , or wha whatever ."
[17:00] Speaker_A | Mm-hmm .
[17:15] Speaker_A | Design . Mm .
[17:29] Speaker_C | Yeah .
[17:32] Speaker_A | Mm-hmm .
[17:34] Speaker_C | Experienced yeah .
[17:34] Speaker_D | But uh all incorporated in the screen or or just on the remote itself ?
[17:39] Speaker_B | I w I should uh put uh the the yeah the extra advanced options on the onto the onscreen display .
[17:45] Speaker_D | Yeah like like you have a visual of the of the brightness with with a kind of sliding bar and a bus and and stuff like that for sound and and vis and and visuals ?
[17:46] Speaker_A | Yeah .
[17:49] Speaker_B | Yeah .
[17:49] Speaker_A | Yeah . Yeah .
[17:59] Speaker_B | Yeah .
[18:01] Speaker_A | Yeah . Aye yeah .
[18:05] Speaker_D | Uh .
[18:09] Speaker_D | Uh black's okay .
[18:17] Speaker_A | Yeah . It's okay .
[18:22] Speaker_D | Yeah .
[18:30] Speaker_C | The remote ?
"[18:31] Speaker_A | The remote , yeah ?"
[18:33] Speaker_A | Basic .
[18:36] Speaker_A | Is on top .
"[18:38] Speaker_A | Which should be easy , easily reached with the thumb ."
[18:41] Speaker_D | Yeah so it should fit right in into your hand .
[18:42] Speaker_B | Yeah . L left top or right uh top ?
[18:46] Speaker_A | T I s should said right . Because yeah .
"[18:46] Speaker_D | Right . Right . I most people are right-handed so maybe left-handed special addition , but okay . If you put it like like here . Or something . I dunno ."
[18:47] Speaker_C | Right top .
"[18:47] Speaker_B | Yeah , right ."
[18:49] Speaker_C | Yeah definitely .
[18:49] Speaker_B | Okay .
"[18:59] Speaker_D | Um then you could put a screen , like on a mobile phone , also on top I guess ."
[19:05] Speaker_A | Mm-hmm .
"[19:05] Speaker_B | Yeah but if you are using the the normal functions , the the basic functions , you normally press them on the u yeah ."
"[19:10] Speaker_A | Do the also with the thumb . So it should be a little bit longer so that you can put your uh thumb , also reach the middle . Or you should screen at the bottom and then you can see it very clearly ."
"[19:23] Speaker_D | Okay so y yeah you have you have it in your hand , and the screen is below , and the buttons are in the middle . Okay for example if you put the screen here , it's more about the functions now than the than the layout ."
[19:27] Speaker_B | Yeah .
[19:29] Speaker_A | Yeah .
[19:36] Speaker_D | Doesn't work too well . It's uh it's bent .
[19:46] Speaker_D | Yeah .
[19:59] Speaker_D | Right .
[20:04] Speaker_A | You want the normal piece of paper ? And you have a pen ?
[20:07] Speaker_D | Yeah .
[20:08] Speaker_C | And might be easier huh ?
[20:09] Speaker_D | Maybe this . kind of works .
[20:13] Speaker_A | Yeah ?
[20:14] Speaker_D | Like if you have
"[20:16] Speaker_D | like uh ten buttons for for all the for all the channels , um and here one for for"
[20:19] Speaker_A | Mm-hmm .
[20:21] Speaker_A | Uh . And the for flipping up and down .
[20:24] Speaker_B | Yeah yeah . And volume control .
[20:33] Speaker_B | Yeah .
[20:33] Speaker_A | Yeah .
[20:37] Speaker_A | And left to right .
[20:39] Speaker_A | And those can also be used for the menu .
"[20:41] Speaker_C | Yeah exactly . I thought but this is really your department , that we need just the functional display and four cursors ."
[20:43] Speaker_D | Yeah .
[20:45] Speaker_A | Yeah .
[20:47] Speaker_D | Yeah .
"[20:49] Speaker_D | And you you have most of the time you have one button in the middle . It says menu , and then if you press it you the screen gets activated and then you can use these buttons to scroll up and down and left and right to go into functon and then just mo most of the time this menu button is also like okay , to to confirm a a kind of action . So you scroll into it , okay . You select a function like v like uh bass ."
[20:52] Speaker_C | Yeah okay .
[20:54] Speaker_A | For the menu . Yeah .
[21:00] Speaker_A | Mm-hmm .
[21:00] Speaker_C | Yeah .
[21:05] Speaker_A | Yeah .
[21:10] Speaker_A | Yeah .
"[21:17] Speaker_D | You just adjust it with these two buttons . Then okay to confirm , and then uh on on each on each screen there's there should be an option to go back to a to a upper level . And then finally say okay , exit . Or or one button to exit it ."
[21:19] Speaker_A | Yeah .
[21:30] Speaker_C | Mm-hmm .
[21:33] Speaker_B | Yeah .
[21:44] Speaker_A | Yeah .
[21:48] Speaker_B | On the left uh top yeah .
[21:51] Speaker_B | Okay .
[21:51] Speaker_A | Yeah but that depends on where you put the screen . But it's essential that there is a screen .
[21:54] Speaker_D | Yeah .
[22:03] Speaker_A | Yeah .
"[22:04] Speaker_A | And for the speech uh recognition part , if we want to incorporate that , we need a microphone ."
"[22:10] Speaker_D | Yeah so it should be I mean if you have it in your hand here , should be on top somewhere , maybe . I mean i"
[22:17] Speaker_C | Why did we wanna put the display in the bottom ?
[22:19] Speaker_A | No that's not s sure so uh we need a display .
[22:21] Speaker_C | Okay .
[22:23] Speaker_C | Because yeah if you use the functions your hand will block the display .
"[22:28] Speaker_B | Yeah okay but only for the basic functi if you're going to use the advanced option , you're going to press the the menu button and then yeah ."
"[22:36] Speaker_D | Yeah I mean a screen on top looks more lo logical to me . Also because people use m mobile phones and they also have the screen on top . So you you just have to reach a little bit for the power button . I mean if you grab it . But most most of the times if a if if a T_V_'s on standby people just press a channel to put it on . So we put this on top , and then make the corporate logo"
[22:39] Speaker_C | Normal for logical t
[22:40] Speaker_B | Yeah .
[22:40] Speaker_A | Yeah .
[22:43] Speaker_A | Yeah they're used to it .
[22:44] Speaker_B | Okay the yeah . That's possible .
[22:50] Speaker_C | Yeah .
[22:51] Speaker_C | On once it's on it's on . You don't need the power button .
"[22:53] Speaker_B | Yeah , okay ."
[22:57] Speaker_B | Okay we put it on top .
[23:00] Speaker_B | Yeah .
"[23:05] Speaker_D | like over here . R_R_ . And j and the microphone , I mean it can be very small . If you look at your mobile phones are some stripes , little little holes ."
[23:11] Speaker_C | Yeah .
[23:15] Speaker_A | Mm-hmm .
[23:15] Speaker_C | Maybe on the top or even on the side .
[23:17] Speaker_D | Yeah maybe on the side . I mean if the if the microphone is good .
[23:22] Speaker_C | True .
[23:23] Speaker_B | Yeah .
[23:23] Speaker_D | Yeah okay . So on the on the top is better .
[23:23] Speaker_A | I think that top is the best option .
[23:31] Speaker_A | Yeah okay .
[23:33] Speaker_D | Yeah . .
"[23:34] Speaker_A | Depends on the sensitivity of the microphone , but I think that's okay ."
[23:37] Speaker_D | Yeah it doesn't matter that much . So but um the screen is on top ? Which functions did we have left ?
"[23:46] Speaker_D | I mean this is basically numbers , volume , uh channel up and down . Screen is over there ."
[23:48] Speaker_A | Volume .
[23:50] Speaker_A | Up .
"[23:51] Speaker_A | Channel up and down , and the control of the advanced options ."
[23:55] Speaker_D | Yeah .
"[23:56] Speaker_A | So maybe it , we should decide what advanced options we want to put in the L_C_D_ screen ."
[24:00] Speaker_D | Yeah . That's uh that's a good one .
[24:02] Speaker_C | Yeah so we we needed to integrate the sound and uh
[24:09] Speaker_D | Yeah .
[24:09] Speaker_A | Yeah so sounds ?
[24:12] Speaker_D | Sound ?
[24:20] Speaker_D | But not too advanced . I mean most T_V_s use only treble and bass .
"[24:25] Speaker_C | Yeah treble , middl middle , bass or something ."
[24:27] Speaker_B | Yeah .
[24:27] Speaker_D | Yeah . It's uh pretty hard to write . Mm . Okay but you have sound ?
[24:34] Speaker_A | Yeah sounds .
[24:35] Speaker_D | Yeah just oh y you have digital uh better write it down over there yeah . So you have sound .
[24:36] Speaker_A | Yeah .
[24:40] Speaker_A | Of course . I'm just a secretary .
[24:42] Speaker_D | Yeah . Uh yeah sound and then within sound I guess treble and bass ?
[24:45] Speaker_C | Yes please .
[24:50] Speaker_A | Treble bass .
[24:54] Speaker_D | Yeah . Also .
"[24:58] Speaker_A | Pitch I believe , yeah ."
"[24:59] Speaker_D | Pitch . Yeah . But pitch , isn't that yeah that's the the height of the tone ."
[25:04] Speaker_A | Yeah .
"[25:04] Speaker_C | The fr yeah the frequency of the tones , yeah ."
[25:06] Speaker_A | Yeah and mono stereo .
[25:08] Speaker_C | Yeah isn't that that depends on the on the signal of the of what program you're watching .
[25:14] Speaker_A | Mm . And also the tuning part ?
[25:14] Speaker_D | Yeah .
[25:18] Speaker_D | Programming part .
[25:19] Speaker_A | Yeah programming . So channel programming ?
"[25:21] Speaker_D | Uh so we have sound , yeah ? Channel programming ."
[25:25] Speaker_C | And yeah in the functionality of the
[25:30] Speaker_C | no no of the remote uh do do we want uh the buttons to make sound when you press them ? As a confirmation or whatever you know ? I dunno .
[25:38] Speaker_B | Mm .
[25:39] Speaker_A | Mm . Yeah .
"[25:42] Speaker_B | We we could make an option for it , but uh you can disable s"
[25:45] Speaker_C | Under the a yeah advanced option menu you can put those things .
[25:47] Speaker_B | Yeah .
[25:49] Speaker_B | But uh the the television itself has also the the options brightness and uh screen colour etcetera . So yeah .
[25:49] Speaker_D | Yeah .
[25:57] Speaker_A | Contrast yeah .
[25:58] Speaker_D | Yeah but people don't want to sit on their knees on their knees in front of their television with only three buttons then it's very hard to y yeah contrast and brightness ?
[26:02] Speaker_A | Mm . No .
"[26:05] Speaker_A | Uh , so contrast ,"
[26:07] Speaker_C | Yeah .
"[26:10] Speaker_A | bright ,"
[26:11] Speaker_D | Yeah those are the most used I guess . If you look at your monitor .
[26:14] Speaker_A | And the others were in your presentation right ? So I can just copy those ?
"[26:16] Speaker_D | Well yeah well I guess that these were the only ones , I guess ."
[26:22] Speaker_D | Yeah . I will look it up .
"[26:22] Speaker_C | But so we have we have T_V_ options , which is all this . The sound , sound and image . And you have in that uh the indeed the remote control options . So we need two menus kind of thing ."
[26:25] Speaker_A | Yeah the button options and the L_C_D_ options .
[26:32] Speaker_A | Indeed . Yeah .
"[26:37] Speaker_A | Yeah you have basically a button menu , which you can use directly , uh according to the old principle . And the L_C_D_ options are activated by some some software options , thats communicates with the infrared uh decoder yeah ."
[26:41] Speaker_C | Uh-huh .
"[26:57] Speaker_D | Uh yeah . Well yeah we have power button , whether that's present . Channel volume selection present . Uh numbers present . Yeah a audio settings , mono , stereo , pitch , bass , treble . Screen settings , brightness and colour ."
[26:57] Speaker_A | You have an additional processor and and software part .
[27:02] Speaker_C | Alright .
[27:02] Speaker_A | Compared to o
[27:04] Speaker_A | Mm-hmm .
[27:08] Speaker_A | L_ s
[27:10] Speaker_A | Yeah .
[27:15] Speaker_A | Colour . Yeah I I call it contrast . Yeah I make it c colour .
[27:22] Speaker_A | Yeah .
[27:36] Speaker_A | Mm-hmm .
[27:39] Speaker_D | Uh and then you can select uh a number in your remote on which you want to save it .
[27:43] Speaker_A | Yeah so I've g channel program is autoseek ?
"[27:46] Speaker_D | Yeah , autoseek ."
"[27:53] Speaker_D | Well most T_V_s automatically display the name , which they get through the cable ."
"[27:58] Speaker_A | Oh they get automatic names , okay ."
[27:59] Speaker_D | Yeah . So you only have to choose the position on your
"[28:04] Speaker_D | It only has to match the the channel frequency on your T_V_ , with with the with the position on your T_V_ and and so your remote ."
[28:08] Speaker_A | Yeah .
[28:13] Speaker_C | Help .
[28:18] Speaker_D | If you already programmed it . If you want to move it . Yeah that should be possible too . Yeah how do you call that ? Mm ?
[28:20] Speaker_A | Yeah . Yeah .
"[28:28] Speaker_D | Wait you you should be able to to browse through a list or something , which w displays all the all the values , all the channels which are possible . I mean like one to f thirty of or ninety or whatever . Just browse through it and then um in some kind of way see if it if it if it is programmed ."
[28:35] Speaker_A | Channels ? Yeah .
[28:40] Speaker_A | Ninety nine or something . Yeah .
[28:48] Speaker_A | S swap channels ?
[28:50] Speaker_D | Yeah . Swap channels .
[28:51] Speaker_A | Can I call it that ?
[28:53] Speaker_A | Swap's good option . Okay . Uh other functions ?
"[29:01] Speaker_D | S uh let's say for example you have uh R_T_L_ five on on channel five . And Veronica on channel eight and you want to move Veronica to channel five , um most of the times you override the previous uh the previous one ."
[29:15] Speaker_A | Mm-hmm . Okay .
[29:17] Speaker_A | Well that's 's up to uh Mister User Interface Designer .
[29:20] Speaker_D | Yeah . It's it's pretty uh yeah I mean you have to look on on the menu
[29:22] Speaker_B | Okay .
[29:27] Speaker_D | on the T_V_ .
[29:33] Speaker_B | Yeah .
"[29:39] Speaker_A | And the working design was to specify how ph the physical interation between the components was , as I believe ."
[29:49] Speaker_D | Yeah .
[29:50] Speaker_C | You did your homework . But um yeah . Okay .
[30:00] Speaker_C | No no . It should be able to do any remote .
[30:01] Speaker_D | Uh .
[30:05] Speaker_D | Yeah .
[30:07] Speaker_D | No .
[30:10] Speaker_C | No .
[30:10] Speaker_D | That's true . That's true .
[30:12] Speaker_C | Thank god .
"[30:13] Speaker_D | Yeah . So we have a figure a figure out a way to to do that easily . I mean th the autoseek is is not a problem . I mean you uh you uh current channel and then then it just says , uh on which number do you want to save this , and you just press a number on your remote , and then say confirm , okay , and then it's it's saved . It's easier , it's it's it's harder to , if you have already programmed it , to to swap . So we have to think of something for that ."
[30:35] Speaker_A | Yeah .
[30:40] Speaker_A | The User Interface Designer can design a menu
[30:46] Speaker_D | Yeah k kind of structure into layers .
[30:47] Speaker_B | On the uh yeah can you i make a a map with with all the yeah 'cause it's now there are lots and lots of documents
[31:03] Speaker_A | So you design the basic function menu for the L_C_D_ screen ?
[31:14] Speaker_D | And and the layout of of the thing itself .
[31:15] Speaker_B | The the layout of the remote control ?
[31:26] Speaker_B | Isn't that more the the u uh the user interface part ?
"[31:31] Speaker_C | Uh all the functional uh aspects of the remote I think are in my department . I have to know what it has to do , so if you wanna you know the changing the channels kind of s thing is , I have to integrate that in the design ."
[31:37] Speaker_A | Yeah .
[31:37] Speaker_B | Yeah .
[31:45] Speaker_A | Okay . So he's layout and you're function .
[31:48] Speaker_C | Yeah .
[31:51] Speaker_D | Okay .
[31:52] Speaker_C | I think that's a that's a good separation .
[31:59] Speaker_A | Yeah .
[31:59] Speaker_C | Mm .
[31:59] Speaker_B | Are you going to do that ? Yeah ? I I'm going to make yeah o okay .
[31:59] Speaker_D | Yeah . Yeah I guess so .
[32:03] Speaker_D | Yeah .
"[32:03] Speaker_C | Yeah we have to kind of work together . If if I make the the the yeah the menu like , I have to state which function has to be in the menu , and then you have to decide , it's , in a in a way that b is user-friendly ."
[32:06] Speaker_B | Yeah .
[32:06] Speaker_A | Yeah .
[32:16] Speaker_B | Yeah .
"[32:17] Speaker_B | Okay . Y you you are going to make a list of what functions are uh are going to to be on the the screen , the menu screen . And I'm going to make a a nice menu uh with with pages and yeah ."
[32:22] Speaker_A | Yeah .
[32:24] Speaker_C | Yeah .
[32:28] Speaker_D | Yeah .
[32:28] Speaker_A | Yeah .
[32:29] Speaker_C | I think yeah .
[32:29] Speaker_D | With with some l with some layers in it . So some menus .
[32:37] Speaker_D | Yeah .
[32:40] Speaker_B | Yeah .
