[00:22] Speaker_C | Yeah .
"[05:58] Speaker_C | So uh we have then when we are mixing our um values together , is it um a value for each um expression , for each sentence or something ?"
"[06:10] Speaker_A | Yeah , I think that would be m I mean uh for me it's quite difficult to say o on ,"
[06:12] Speaker_C | Yeah .
"[06:17] Speaker_A | you know , w um what scope one annotation would have ."
[06:21] Speaker_C | Mm-mm .
[06:24] Speaker_A | I think it would be certainly more than one word and
[06:29] Speaker_A | I think it would work best with utterances or segments .
[06:32] Speaker_C | Yeah .
"[06:35] Speaker_C | Yeah , I would just end up with uh values for each word , so I wouldn't have um"
[06:35] Speaker_A | Yep .
[06:42] Speaker_C | any boundaries for segments at all .
"[06:47] Speaker_C | I just I just would have the words , and then how we um how long each expression would be , I don't know ."
"[06:55] Speaker_B | But going from from a word business , wouldn't it be easier to then go back and calculate for each utterance ?"
"[07:00] Speaker_C | Yeah , but what is an utterance . Uh , yeah ."
[07:04] Speaker_A | I think just the segments as they're segmented in the for example in the point se point six five .
[07:05] Speaker_C | Okay .
[07:07] Speaker_B | Yeah .
[07:18] Speaker_A | I think so .
[07:19] Speaker_C | Okay .
"[07:24] Speaker_A | And you would s probably still need um your values for the words , um perhaps for for um the keywords that are displayed"
[07:33] Speaker_C | Mm-hmm .
[07:35] Speaker_A | when you click on something .
[07:39] Speaker_D | Mm .
"[07:40] Speaker_A | Yeah , but that's another representation then , I think , f for the importance measure ."
[07:44] Speaker_B | So d
[07:45] Speaker_C | Yeah .
"[07:47] Speaker_B | Does anyone does anyone know in which file the actual , like what's it called , the splitting into the utterances ?"
[07:48] Speaker_A | Should yeah .
[07:54] Speaker_A | Um po
[07:54] Speaker_D | Um is it not segments ? Or is it dialogue act dialogue acts ?
[07:56] Speaker_A | Yes .
"[07:58] Speaker_A | No , it's not . It's um for example , there's uh B_D_B_O_O_ one C_ point six ."
[08:05] Speaker_B | What does it end with ? Does it with with SAX ?
[08:09] Speaker_B | Does that look like it ?
"[08:12] Speaker_A | Uh I can't see anything very much , but yeah , that's that's it ."
[08:14] Speaker_C | Mm uh-huh .
[08:15] Speaker_B | Okay .
"[08:16] Speaker_D | I think that's it , yeah ."
[08:18] Speaker_B | Be nice .
"[08:18] Speaker_D | Yeah , they've all got an I_D_ for each utterance ."
[08:20] Speaker_B | Let's actually just see if maybe K_ right .
[08:25] Speaker_B | Oh this is how much time you spend just getting the right software going .
"[08:34] Speaker_B | Is that better to see ? I guess yeah , white and black is better to see ."
"[08:39] Speaker_C | Yeah , it's better ."
[08:40] Speaker_A | Can you use a bigger font ?
[08:57] Speaker_B | Okay .
"[09:01] Speaker_A | Okay , so here there's for um each segment um uh that's really all segments , I mean it's it can be words or topics or um anything I think ."
"[09:25] Speaker_D | Yeah , and it's got a different uh file for each speaker ."
[09:29] Speaker_B | But what is this ? I mean this doesn't contain any content . Like any text .
"[09:33] Speaker_D | N no , it just points to the to the words ."
"[09:33] Speaker_A | No , but it yeah ."
"[09:43] Speaker_A | Yeah , it p Oh , well some of them point to the words , other others point to the um dialogue acts . So that's kind of the global thing that ties together other things ."
"[09:48] Speaker_D | Yeah , yeah ."
[09:55] Speaker_B | So what do all these things in this file have in common ? What what are they ?
[10:14] Speaker_B | Okay . And
"[10:24] Speaker_A | Yeah , it looks uh uh the segment thing looks in the into the words X_M_L_ file and the dialogue acts"
[10:34] Speaker_B | A dialogue act uh a dialogue act annotations of dialogue act . So is that just another representation of text ?
"[10:41] Speaker_A | No , their their annotation of dialogue acts , and one um segment can have or one um of those word strings that are presented in one line can have several um dialogue acts annotated on it ."
"[10:58] Speaker_B | Just see , can we have this files somewhere . So the stuff that's"
[11:03] Speaker_B | that's called segment here that do we know which file this is pulling from ?
"[11:07] Speaker_B | From yeah , it's it's c it from words X_M_L_ , is that it's saying here ?"
"[11:08] Speaker_A | Yeah , it's from words ."
[11:11] Speaker_A | Yes .
[11:17] Speaker_A | That's just below .
[11:20] Speaker_C | So we n would need a value label for each of those segments that are not dialogue acts .
[11:30] Speaker_C | For all those that point to the actual words .
"[11:34] Speaker_B | Okay , let me just try to get them all to a different screen ."
"[11:51] Speaker_B | Sorry , I'm just I'm trying to arrange them , so that we have one above the other , so to make some sense of that ."
"[12:10] Speaker_A | But I think these segments are perhaps not exactly what we are looking at , because that's just o one tying all the others together ."
[12:19] Speaker_A | And the information or r I mean we are going to create a file that looks more like um the words file .
[12:26] Speaker_A | I think .
[12:38] Speaker_B | To a certain position in the in the words file .
"[12:43] Speaker_D | Yeah , think so ."
"[12:48] Speaker_B | So it's that non-vocal sound one here . That's the mic noise , okay ."
"[12:54] Speaker_B | But what's the does it always just oh no , it's it's referencing to several word structures . So this would be basically be a a sequence , right ?"
[13:03] Speaker_A | Yes .
[13:04] Speaker_B | So that's from W_ fifty two .
"[13:10] Speaker_B | Are they not ordered or oh yeah , from W_ fifty two down to W_ what are we talking about ? And yeah , w sorry ."
"[13:11] Speaker_A | Yeah , they are ."
"[13:18] Speaker_A | Um to discourse marker , DIS F_ marker fi point five ."
"[13:25] Speaker_A | Yeah , that's there no no , up up . Go up . Yeah , right ."
"[13:25] Speaker_C | Yeah , that's there . No , above ."
[13:29] Speaker_C | Yeah .
[13:31] Speaker_B | Okay . So this so this is somebody saying it it doesn't .
"[13:37] Speaker_B | Do we have any confirmation do we actually see from this file who's doing it , just out of interest ?"
[13:37] Speaker_C | Yeah .
"[13:42] Speaker_A | Yeah , this is all the speaker D_ ."
[13:46] Speaker_A | You and the speaker D_ .
"[13:46] Speaker_B | Oh . Sorry , in speaker D_'s file . So this is where he'd like time stops . And then it only starts at a later time , because oh , you don't see when I'm pointing at screen , it's just for this . So then it starts here this time against speaker D_ because in-between there's somebody else ."
"[14:02] Speaker_A | Yes . Um you can see whether there's somebody else or not . You can see that in the w um W_ point um first it's W_ point um five uh fifty four and then it's seventy six , so there are um this number of utterances of other speakers in-between ."
[14:02] Speaker_B | Okay .
[14:15] Speaker_B | Yeah . Okay .
[14:32] Speaker_B | How would that be to best tie in with the system ?
"[14:36] Speaker_A | Yeah , I think we would also need two of those ."
[14:40] Speaker_B | Sorry ?
"[14:41] Speaker_A | Yeah , I think we would have to have the same structure , one that points to it , where we tie together , all our information . So we would perhaps have to make one that's similar ."
[14:50] Speaker_B | Something like something like this or like where you give sort of a reference to a beginning and an end position .
"[14:57] Speaker_A | Yes , and uh then another one that would perhaps give the actual probability value ."
"[15:07] Speaker_A | Yeah , it could could probably be in the same file , I don't know ."
"[15:13] Speaker_A | But if you have several layers , then"
[15:17] Speaker_A | you can't represent them on the same file .
[15:21] Speaker_B | We have for now if we just do something which for every
"[15:25] Speaker_B | segment in here attaches actually can we not tie it to the segments file ? Would that not be the way how they would want it to have to do as if we in the end , if we want to attach to each of those segments one number for now ."
"[15:44] Speaker_A | Yeah , in segment point one . Um there line below ."
"[15:49] Speaker_B | Yeah , so wouldn't it I mean the problem is they've me haven't looked at the exact inner workings of their of their engineered . But you'd think that the easiest way and the way that how it's intended to be would be just ,"
"[16:02] Speaker_B | if we have here a link to the segment , a like an I_D_ for that segment , that we just create another file which links to the segment and then has an additional value which is the number ."
[16:15] Speaker_C | So you mean an a an attribute . Yeah .
"[16:17] Speaker_B | Yeah , yeah ."
"[16:20] Speaker_B | Yeah , oh sorry , I I thought we were talking about having two files ."
"[16:25] Speaker_B | I was think yeah , I I think that I I understood wrong . I thought you were wanting to have two different X_M_L_ files , with one the reference and one just th just the number . And I was thinking that's probably what you meant , just um having like for each sort of of our segments having just the I_D_ , which is referencing to these segments here and another attribute which is the the value ."
[16:47] Speaker_A | Mm-hmm .
"[16:48] Speaker_B | So this whole information we would then store in this Ah , no , that I don't have access to because I didn't download like there's this one meta information file where it describes the structure of all the files and describes which um which attributes they bring in . So we would add that to that file ?"
[17:06] Speaker_D | Mm .
"[17:06] Speaker_B | Saying that sort of we bring in information density . And then we would create the file of that type , which we probably couldn't call it segment . I'm not sure . We probably might have to have a different word for it . I'm not sure if it there's any trouble with it repeating ."
[17:22] Speaker_C | Wouldn't it be easiest to just incorporate a new attribute in in this file ?
[17:28] Speaker_B | In the existing segments file .
"[17:29] Speaker_C | Yeah , I don't know , that's probably not very uh nice but would quite easy , wouldn't it ?"
"[17:38] Speaker_A | But I I mean there's not all the information that is in in the c corpus in there in the segments file . I think that is just the um things that are loaded every time , but we have lazy loading , so it can load more than that . Perhaps we could just try to cope . Um , you know , to"
[17:38] Speaker_C | Yeah .
[18:00] Speaker_A | make our file one of those lazy loaded . But I mean I've no real idea how that works .
[18:06] Speaker_B | What uh what are you saying about the w I th doesn't the lazy loading apply to everything ? I mean that it sort of dynamically loads .
"[18:12] Speaker_A | Yeah , but yes , but it has um , you know , a basic thing that it loads , I think . So for example every time it loads the segment things , it can't it can't not display words , I think ."
[18:28] Speaker_B | You think it i it l it loads the whole of the segments file every time .
[18:28] Speaker_A | And it eras
[18:32] Speaker_A | I think so .
[18:34] Speaker_B | Okay .
[18:34] Speaker_A | That's how I understood it .
[18:37] Speaker_A | Because otherwise in the in the other things there is no information about what the participant name is and so on . So
[18:46] Speaker_A | in the segments file it's really the very basic that have to be displayed for any thing .
[18:53] Speaker_B | Hmm .
[18:54] Speaker_C | But they display the segments in or that the utterances i in their um
"[19:02] Speaker_C | user interface as well , where the words are y um displayed ."
"[19:21] Speaker_B | No but I think it's too early to really like discuss that in detail , because we don't at all understand at the moment how the internal data structure like how the loading works . So maybe if we g if we go ahead , do you think it would be possible for you to do an like something like segments or maybe just a copy of segment which has an attribute for for each segment , um but it is like with a with a value with a density value ."
"[19:47] Speaker_A | Yeah , I thin I mean it wouldn't be difficult to um create a file of the p sh of that shape . I mean that would be no problem ."
"[19:55] Speaker_B | Would it be easier though , because all your methods are sort of not working with their whole time frame structure there . So would it be easy for you to to tie the things together . Like if you're doing it on on the word basis here with those words , that in the end you then tie it back in into the right segment here . I mean"
"[20:11] Speaker_A | Um yeah , I I don't know how about you with your words , but um for my segments were the um F_ zero measurements and all those values I get from there . Um I always store the beg uh start and end time of everything I calculated there , so I would just have to pu put it uh yes ."
[20:20] Speaker_B | Hmm .
"[20:30] Speaker_B | You're doing it time-based at the moment . So this isn't directly having time references , but you can get the oh , it is actually here ."
"[20:37] Speaker_A | Yeah , it is ."
"[20:40] Speaker_B | Okay . So if you slice it up by time , you'd probably be able to just like attach like just some attribute of"
[20:51] Speaker_B | info val just f to each of those segments .
"[20:57] Speaker_A | Uh actu but actually my segments are not always the same as their segments , because and their segments , there are um Pause um pauses sometimes . A"
[21:07] Speaker_B | Mm-hmm .
"[21:08] Speaker_D | Yeah , can you not just leaves those lines blank ?"
"[21:11] Speaker_A | Um yes , but uh yeah , I mean one segment of theirs is sometimes two segments of mine , that's just what I meant ."
[21:16] Speaker_D | Oh alright . Okay .
"[21:21] Speaker_B | 'Kay . Um I don't understand enough of what their data structure is . This probably would be a lot easier would I really understand how they are handling the data internally , 'cause then we c then I could say oh , it's easy to just tie it in if you just have it time-stamped that just reference by words and stuff ."
[21:47] Speaker_B | So you would you're doing i you're doing a word by word base .
"[21:50] Speaker_C | Yeah , the problem is probably that um I extract all the words and then uh I don't um use an I_D_ or something for it , so it would be difficult to write it back to the right position ."
[21:54] Speaker_B | Mm-hmm .
[22:00] Speaker_B | Okay .
"[22:10] Speaker_C | It depends on the position , I think . Yeah ."
[22:12] Speaker_B | It be d depends on the position .
[22:16] Speaker_B | Hmm .
"[22:27] Speaker_B | So what if you if you if you get the results from that software and you go back over it then with that file sort of , you write an algorithm which which then goes back because they they're in the right order still and stuff , right ? So that shouldn't be a problem . Oh but this is by speaker here which makes it slightly more difficult ."
[22:37] Speaker_C | Mm yeah .
[22:42] Speaker_D | Hmm .
[22:45] Speaker_B | The problem is that actually NITE X_M_L_ probably provides a lot of the tools that we'd need to do that .
"[22:50] Speaker_A | Yeah , but for example I made a file that contains just the um start times . It could contain end times and words for all speakers of all meetings . I mean that's just the same thing as I gave , yeah , as I gave to you . But um uh displaying also a start and end times of every word . So you could perhaps use it to match um it with your additional information you got , couldn't you ?"
[22:51] Speaker_C | Mm-hmm .
[23:00] Speaker_B | In in a temporal sequence .
"[23:15] Speaker_D | Yeah , what did you use to make that file ? Just in Perl ? You didn't use an X_M_L_ parser ?"
"[23:17] Speaker_A | Perl , a Perl script , yeah ."
"[23:21] Speaker_A | No , no ."
[23:22] Speaker_D | Okay .
[23:23] Speaker_C | Um would you think it would make sense to just take um file files by speaker . It's it doesn't matter what input I give to um to Rainbow . So I just could g use the files as they are . I don't know if that's that would give an output .
"[23:40] Speaker_B | But but would the information density algorithm still make any sense if you split them up , because I mean the whole I thought the whole thing is that you look at the frequency of a word in that specific how often a word inc occurs in a certain topic versus how often it occurs over the whole corpus and that from that it calculates ."
[23:40] Speaker_D | Hmm .
[23:44] Speaker_C | I don't know .
[23:45] Speaker_A | Mm yeah .
"[23:56] Speaker_C | No , it um I think it's not uh versus the whole corpus . It's um you have certain categories , and you measure which words um have the highest information for one category . So it's the categories across each other I think ."
[24:05] Speaker_B | Mm-hmm .
"[24:22] Speaker_C | Um probably yeah . But yeah , it's it's s strange ."
"[24:26] Speaker_B | Yeah , I have a gut feeling it's not a good idea to split it ."
[24:27] Speaker_A | Because it would then say how it find that it's that speaker .
"[24:30] Speaker_B | Yeah . No , but I mean it can't be that difficult . If you if you already have you have in the right order all the words with a with a score to them , and you have a file which has each word and a time stamp . So those two tied together have each word and its time and"
[24:31] Speaker_D | Hmm .
[24:36] Speaker_C | Yeah .
[24:41] Speaker_A | Yeah .
"[24:46] Speaker_A | It's probability , yeah . Or or value , yeah ."
[24:46] Speaker_B | and and and its proba and its value . Yeah .
"[24:50] Speaker_C | Yeah , but what what the problem is , I don't know exactly . I think the information gain in Rainbow is ordered by the value of the information gain , not I am not sure if I can get the right order and the values ."
[25:07] Speaker_C | That's the problem .
[25:07] Speaker_B | So they're they're at the moment so
"[25:09] Speaker_C | But I um if the order stays the same , it's no problem at all to i just write back again . But if uh it's ordered by information gain , I don't know where the words come from , because it's it has a bag of words representation ."
[25:20] Speaker_D | Hmm .
[25:24] Speaker_B | It appears to me that Rainbow was made for something quite different .
[25:25] Speaker_C | Uh yes . Is it is . It was made for text classification .
[25:28] Speaker_B | Hmm .
"[25:30] Speaker_A | So , could you put the more information back in then ?"
"[25:34] Speaker_B | I actually like um um i are you actually sure that Rainbow is doing a measure , like is returning a measure of what we are trying to measure , 'cause it it seems to me that it's just it sounds like something quite different in in d many aspects ."
"[25:47] Speaker_C | Yeah , um what it actually does is that you you put in some documents , and you have several documents per category ."
[25:53] Speaker_B | Mm-hmm .
"[25:57] Speaker_C | Um and you have several categories . And then it measures um which words are typical for a certain t category . And if you get a new document , it will um compare which words are in that new document . And if there are a lot of words that um are typical for one category , it will assign it to that category , and if it's typical for another one , it will assign it to that one ."
[25:59] Speaker_B | And w
[26:07] Speaker_B | Yeah .
[26:15] Speaker_B | Yeah .
[26:28] Speaker_B | But where do you have the original category information from ?
"[26:31] Speaker_C | Yeah , it's because you have um y um you have um oth different files . If if this is your directory , you have um um a diagra um , a directory one , two and three . And this represents the category . Everything that's in there is in category one . A"
[26:39] Speaker_B | Yeah .
[26:46] Speaker_B | Yeah .
[26:50] Speaker_B | So where do you where do you have them from at the moment the split up ?
"[26:53] Speaker_A | Yeah , but the topic isn't it ? That's a topic information ."
"[26:53] Speaker_C | Yeah , just split it up somehow , yeah ."
"[26:56] Speaker_B | In i in the t in the topics , in the in the human topic s um so you've split them up by topic at the moment ."
[26:57] Speaker_C | Yeah .
"[27:02] Speaker_C | No , I've just um split them up uh somehow um by um there are several documents for"
"[27:14] Speaker_C | um each meeting , and I just put one in each category . So uh it's it's not very sensible at the moment , because I'm waiting for the um topic segments or I'm just yeah ."
"[27:47] Speaker_C | Yeah , yeah , probably . Yeah , maybe it's it's better if I write it myself , because otherwise it's too easy to just split things up into bins , and it it wouldn't be any work at all in terms of programming or something ."
"[28:01] Speaker_B | Yeah , but I'm also just like I think that probably the entropy value at the moment for a word is closer to what we're at the moment looking for . I can just like k k I can sit together with you for twenty minutes and just show you the entropy code that I wrote for my other project and it probably and we should work together because it's we used t we have to we'd use the same matrix as I'm using in my latent semantic analysis , you'd use to calculate entropy scores . And then we'd have um a score which actually which would be the same for the word in each position . So in that sense it's doing something a bit different , and like w basically the score that I'm talking about is a conditional entropy score which just checks how much information , the fact that there's one word tells you about what would be the next word . But that's a relatively good measure of whether that's a very specific word , in which case they are usually words which tell you quite a lot or a very general word which usually doesn't tell you quite a lot ."
[28:15] Speaker_C | Alright .
[28:23] Speaker_C | Mm-hmm .
[28:34] Speaker_C | Mm-hmm .
[28:46] Speaker_A | Mm-hmm .
[28:51] Speaker_A | Yeah .
[28:54] Speaker_C | How does it calculate that actually ?
[29:00] Speaker_C | Okay .
"[29:02] Speaker_A | So how sure or unsure you are about the what's following our b our context measures , yeah ."
"[29:07] Speaker_B | Yes , yes , it has . I mean , I think the official le sort of the official description of what it tells you is um how much that like the fact that a given word occurs tells you about what's the next word's gonna be . Which doesn't sound too exciting , but it it just works out in the way that words which are promiscuous and which occur with everything all over the place have very low a scores on that , and also usually end up being the words which are p"
[29:18] Speaker_A | Yeah .
"[29:32] Speaker_B | Least like expressive , and l contain less information ."
[29:36] Speaker_D | Well like function words and stuff .
"[29:37] Speaker_B | Yeah , function words or just very general nouns . Pr probably like what whatev for example the word computer in that context . You could imagine it to f like be in all in all the contexts ."
[29:43] Speaker_D | Mm .
"[29:46] Speaker_A | But do we have enough informa enough data for that it gives us sensible things ? Because I mean the the words we're look really looking for appear not too often , and if they appear five times in the meeting and they have each time a different , you know , differ some different surrounded words , perhaps we have not enough data ."
"[30:06] Speaker_B | Yeah , so we would we w wouldn't do it by word , we would sorry , okay , um I was I was getting that w actually , sorry , I was getting that wrong , I was getting it from what I did my project . Now in this case , we would do it by per mee words per meeting ."
"[30:23] Speaker_C | Yeah , but that's the sa uh almost I think similar to what I'm doing , because words that are in every class , that are not very informative , but words that are only in one class are are very informative for that class ."
[30:31] Speaker_B | Hmm .
"[30:37] Speaker_B | Yes , it it's probably doing it's probably doing quite the same thing in the end , but I'm just saying like with that thing you would easily have an algorithm which at the moment provides you for each word with a score which we can use ."
[30:46] Speaker_C | Oh okay .
[30:48] Speaker_C | Alright .
"[30:50] Speaker_B | Um no um , I was I was I was describing the wrong thing . In this case we wouldn't be doing how much it tells you about another word . In this case we would be doing given that you know a word , how good is it at predicting from which um specific topic that was ."
"[31:02] Speaker_A | Yeah , okay ."
"[31:04] Speaker_B | So that would yeah , in that sense it's the same thing here ."
"[31:05] Speaker_C | Yeah , that's th yeah ."
[31:07] Speaker_A | Mm-hmm .
[31:21] Speaker_C | For a specific word per
[31:21] Speaker_B | Yeah .
[31:24] Speaker_B | The same word the word yesterday would be would have the same score all over the place .
[31:30] Speaker_C | All over the place . And in my case it would have I think it would have different uh values for each category . But in that category it would have the same value at each place .
[31:38] Speaker_B | Okay .
[31:44] Speaker_B | I c
"[31:54] Speaker_B | But but your category thing depends on that we not just have topic segments , but also that these topic segments we have them in categories ."
[31:54] Speaker_C | Yeah .
[32:03] Speaker_B | You you do wouldn't you need several documents for each category ? Or several segments for each category .
"[32:07] Speaker_C | Um that would be best , but I I would have to look if that ."
[32:12] Speaker_B | Do but will it word without that at all ?
"[32:15] Speaker_C | Um at least it works if there are several categories with each with one document each , but it um yeah ."
"[32:24] Speaker_B | Yeah , I mean s so in our case basically every"
[32:28] Speaker_B | every s topic would be its own category .
"[32:32] Speaker_B | And the question is does the algorithm still make any sense in that I don't understand the algorithm enough for that . But what I'm really like because the entropical um calculation is so simple , maybe we should look into making that score just as a preliminary score that we have . Like it it's a very it gives you like I've looked at the result , it gives you basically something in the end which vaguely tells you just whether a word is a very specific word"
"[32:32] Speaker_C | Yeah , that's the questio yeah , I don't know ."
[32:42] Speaker_C | Mm-hmm .
[32:48] Speaker_C | Mm okay .
[32:57] Speaker_B | or a very general word .
[32:58] Speaker_A | Yes .
"[33:01] Speaker_B | I like there is some hope that probably having just sentences where there's lots of very specific words , if you mark them as being more interesting than the words which are only very general words , that they would get us somewhere ."
"[33:13] Speaker_A | Um and what well , what score would a word get that just occurs once in all the corpus for example ?"
[33:21] Speaker_B | Probably one point zero is very high information value .
[33:25] Speaker_A | Even though there are all the other same topics where it doesn't occur ?
"[33:34] Speaker_B | Yeah , in in a sense I mean this is a bit like the what like document frequency over total frequency ."
[33:40] Speaker_A | Mm-hmm .
[33:42] Speaker_D | Hmm .
[33:45] Speaker_A | So would it be higher-scored than a word that um occurs
[33:52] Speaker_A | every um sequence of the same topic ?
[34:07] Speaker_B | Mm-hmm .
"[34:12] Speaker_B | Within th within the topic , so like topic we had to when you say topic , you mean like just like from from a beginning to end point , like within one meeting there are several topics ?"
"[34:22] Speaker_A | Yes , but across meetings um there will be the same topic several times ."
"[34:28] Speaker_B | But we don't have that information anywhere , do we ?"
[34:31] Speaker_A | Ah . It wasn okay . I thought that was what you were doing .
"[34:35] Speaker_D | Well , um when it splits the topics up , it does do it on regular words that um that occur . But it doesn't tell you what they are , no ."
[34:44] Speaker_B | But but you you are segmenting .
[34:47] Speaker_D | Hmm .
[34:51] Speaker_D | Yeah .
"[35:00] Speaker_B | But like f for now , like your segmentation is just splitting a meeting up into different blocks ver"
[35:03] Speaker_D | Yeah .
"[35:05] Speaker_D | Yeah , you can't really get any other output ."
[35:10] Speaker_B | Not not from what Colin is doing from what I no . It's only like I'm writing an algorithm that which then tries to also again based on word p occurrence patterns try to link together maybe different ones of those .
"[35:21] Speaker_A | Oh , okay ."
[35:23] Speaker_A | I misunderstood that then .
"[35:28] Speaker_A | So yeah , how would it work ? I mean what would"
[35:32] Speaker_A | um the his information then be useful for in r Rainbow ?
[35:37] Speaker_A | Um I thought the point about that was that we would put um into s um serial categories all the segments of the same topic across meetings .
"[35:49] Speaker_C | Oh no , I li I th I thought something else that we d um we just split I need somewhere to split , and that um splitting at category boundaries um splitting at topic boundaries would a nice thing to do , rather than just splitting somewhere . So yeah , yeah ."
[35:49] Speaker_B | So that yeah .
[35:52] Speaker_A | Okay .
[36:04] Speaker_D | Mm-hmm .
"[36:06] Speaker_D | Yeah , it's supposed to split it into cu coherent topics with the similar information ."
"[36:08] Speaker_A | Yeah , but but then it does okay ."
"[36:11] Speaker_B | Yeah , I'm also a bit b like I'm not a hundred percent sure about Rainbow being the right thing , 'cause it seems that Rainbow does in its structure quite rely on having different examples of the same category sort of in in a way ."
"[36:22] Speaker_C | Yeah , but it I think it should work for just one document , because it it compares between the categories , and if you just have one document um it still can find out which words are informative for that category and which are not . So if you have just one document in each category , and there are a lot of um occurrences of the word the in each one , so this word will be not very informative across the categories . So it should work for one , but I'm not sure if how exactly it it um calculates everything . Uh I think it's not possible to look that up ."
[36:40] Speaker_B | 'Kay .
[36:51] Speaker_A | Mm-hmm .
[36:52] Speaker_D | Hmm .
"[37:01] Speaker_B | You know what , as a byproduct of my L_S_A_ I'll provide um a vocabulary like sort of a dictionary which for each word gives an entropy score entropy score , which just tells you of how much information the presence of a word tells you about which topic it is . Not which category , like I'm not I'm not lumping together separate topic segments into categories . But just like how much this word tells you about wh how likely that w the occurrence of that word makes it that it's a specific segment topic segment . Which is some measure already of how widespread this word is versus how specific f to a certain segment that is . And I'll just provide that , because that's just not much more work than just the usual thing . And then we can see how we can tie that in with the other stuff ."
[37:20] Speaker_A | Mm .
[37:32] Speaker_A | Mm .
[37:49] Speaker_B | So if you um keep on working on Rainbow meanwhile and try to find a way how to tie your Rainbow stuff into
[37:50] Speaker_A | Yep .
[37:58] Speaker_B | some way that we can attach it to a certain time segment .
"[38:09] Speaker_C | Yeah , don't know ."
"[38:14] Speaker_B | It it used is each word completely unique , like sort of does it treat each word , each occurrence of word , as a completely unique event . Or does it , I mean , no , it it has to , I mean , basically the the form of the word is important , right ? We can't just replace the word by an arbitrary string ."
[38:28] Speaker_C | Mm-hmm .
[38:31] Speaker_B | Because it looks if the same word occurs again and stuff .
"[38:45] Speaker_B | What I was thinking is whether if we replace the word by something uniquely id identifiable , then it wouldn't make a different which order it is . But that wouldn't work because it needs the word , because that's all it's working on . It's the word and that looks if that word occurs again and versus how often that word occurs in other context , right ? So we can't attach some type of information to the word , just to the word string itself , like making an underscore , making the time or something , that wouldn't work ."
[38:48] Speaker_C | Mm-hmm . Oh right .
[38:58] Speaker_C | Mm .
