[00:05] Speaker_D | Oh right okay .
[22:56] Speaker_D | Yep .
[22:57] Speaker_C | Mm .
[22:59] Speaker_C | Yeah .
[23:08] Speaker_A | What's that mean ?
"[23:19] Speaker_C | Well it should be it should be maybe cutting edge in some sense , I mean have something that's little more technologically advanced than what's on the market ."
[23:23] Speaker_D | That's new .
"[23:24] Speaker_A | Okay , now the trouble is is we've already decided that we're going with the stuff that works already , that's cheap ."
[23:25] Speaker_D | Yeah .
[23:26] Speaker_C | Yeah .
"[23:30] Speaker_C | Yeah . Actually , I mean , these first two points we've already sort of gone away from , 'cause our rubber one is not fancy I mean it's different , but I wouldn't say like a rubber remote is fancy . If that's what people want then we maybe we're going in the wrong direction . And it's it's not technologically innovative either ."
[23:31] Speaker_D | Yeah .
[23:34] Speaker_D | Mm .
[23:34] Speaker_A | Yeah .
[23:45] Speaker_C | Mm .
"[23:48] Speaker_D | That's why I was thinking , Bluetooth , 'cause if you like put up Bluetooth , and it's like a Bluetooth remote control , everybody's gonna like , oh , 'cause Bluetooth is the in thing nowadays , like it really is , like people and um when it comes to marketing like that's what people go for , they don't really care whether , you know ,"
[24:06] Speaker_D | at the end of the day whether it works properly or not .
"[24:10] Speaker_A | Of course , they do . One hundred per cent , that's your first thing , you go , oh I'm not gonna buy that , 'cause I dunno if it works or not ."
"[24:23] Speaker_A | Okay , well , what do you two think about this ?"
[24:27] Speaker_C | So is is the advantage of Bluetooth that you can just like synchronise it with other
[24:31] Speaker_C | electronics ?
"[24:31] Speaker_A | Yeah , what I don't understand what m"
"[24:32] Speaker_D | You could always insert , yeah ."
"[24:35] Speaker_C | Yeah , that's basically what it allows you to do , right ?"
"[24:36] Speaker_A | Yeah , and it this is just gonna all this is being used for is your television ."
"[24:45] Speaker_A | It would that would mean you'd need a television that has Bluetooth in it , which no no television does , does it ?"
"[24:49] Speaker_D | Well , if you're looking at if you looking at something that's going to be bought by people , you have to make it new , you have to make it state of the art ."
[24:58] Speaker_A | That would mean we'd have to make a television as well .
"[25:03] Speaker_B | Bluetooth would , for example , enable you , I think , to um um connect for example you if you get a w call on your mobile phone , but your mobile phone is downstairs or something , you would get on your television you're being called by this person right now ."
[25:18] Speaker_B | Things like that .
"[25:19] Speaker_A | No , that would be your telephone in with your television ."
[25:22] Speaker_B | No i
"[25:30] Speaker_A | Nah , the televi the television would have to be a Bluetooth compatible , basically . An and there is no there is no such thing ."
[25:35] Speaker_C | Mm .
"[25:39] Speaker_D | Like it doesn't have to be , you know , Bluetooth , that was just an idea , but like it needs do something that , you know , is new . Whether it's a battery it could be something really"
"[25:53] Speaker_D | really minor , you know , like but I think we are really keeping to what is already out there , and people've already seen it , people've already got it . If we want something new , we need to move away from what we already have"
[26:03] Speaker_A | Okay .
[26:09] Speaker_D | and um just go creative .
"[26:10] Speaker_B | Maybe the kinetic mo provision of energy then . It's been done for watches , but I haven't seen that for remotes , yet ."
"[26:17] Speaker_A | Okay . Yeah , this that's that's very good ."
[26:22] Speaker_B | Change the batteries ever again .
"[26:24] Speaker_A | And and this is all tying in very nicely . The fact that it's made out of this rubber , we can throw it about . Th we should encourage people to throw their remote controls about , because it charges itself up by doing it ."
"[26:42] Speaker_D | I think , safety s"
"[26:43] Speaker_C | Yeah , we can make the squeezing of the rubber be the be the generating like the energy generator ."
"[26:47] Speaker_A | Yeah , that's a great idea . Well done ."
[26:48] Speaker_D | Yeah .
"[26:50] Speaker_D | Third most important aspect uh is it's easy to use . And I think we've all um worked that out . Um okay , in the fashion , how it's supposed to look . Next year's fashion i very much in fruit and vegetables are thm are like the theme for cloths , shoes and furniture . So next year people will be buying , I found this really funny , you know , strawberry shaped chairs ,"
"[27:20] Speaker_C | Okay , so we could have keys that are like a b like a broccoli key and a uh and an avocado key on them ."
[27:20] Speaker_D | and things .
[27:23] Speaker_A | Yeah .
[27:24] Speaker_D | Yeah . Rubber things .
"[27:36] Speaker_A | Well spongy , that's where . Yeah , we're we're ahead of the game there ."
"[27:38] Speaker_C | Yeah , that's great for us ."
[27:56] Speaker_D | So yeah .
[28:00] Speaker_A | Okay .
[28:05] Speaker_C | Right .
"[28:07] Speaker_A | Alright , yeah , no , this i this is good , so through all that we've we go we're right , we're gonna go go back to um going with the kinetic thing , that's great , using the spongy rubber that we were talking about that anti-R_S_I_ you can as you squeeze it you are not only therapeuticising yourself , you are charging the batteries , and um I'm not sure about the buttons being in the shape of fruit though ."
[28:07] Speaker_C | Yeah .
"[28:16] Speaker_C | Yeah , that's great ."
[28:28] Speaker_D | Mm .
"[28:40] Speaker_C | We don't have to follow every trend , I guess ."
[28:40] Speaker_D | Maybe make it like fruity colours or something .
[28:44] Speaker_D | Some sort .
[28:44] Speaker_C | Uh-huh .
[28:49] Speaker_C | The power button could be like a big apple or something .
[28:50] Speaker_D | Mm .
"[28:53] Speaker_B | Well yeah , but Apple would sue you for that ."
"[29:03] Speaker_C | Okay , we'll make it a uh pomegranate , a big pomegranate ."
"[29:06] Speaker_A | Well , okay , it seems like the only thing that we haven't really finally um agreed on is"
[29:18] Speaker_A | its image .
"[29:20] Speaker_A | Like , yeah , we're we're saying no we don't want it to be fruit and vegetables , but we dunno what it should be , or like are we going yeah it looks slick , but what do what do we mean by slick sort of thing ?"
"[29:32] Speaker_D | I think , if it's rubber"
[29:36] Speaker_D | it needs to be
[29:37] Speaker_A | I mean you said earlier on i it should be funky .
"[29:39] Speaker_D | different . I think , it's it should be I mean , what do you associate with rubber ? You know like"
"[29:46] Speaker_D | really different colours basically . Okay , sor I sorry , I used the wrong word , what do you associate with the mate the material that material ? Um Um like I'm just thinking bright colours ."
[30:05] Speaker_C | Yeah .
"[30:05] Speaker_D | Bright natural colours , nothing"
[30:12] Speaker_C | Yeah .
"[30:20] Speaker_A | Like the volume buttons should be the all the same colour and the d and the the channel buttons should be one colour and stuff like that , do you mean ?"
[30:24] Speaker_C | Mm .
[30:27] Speaker_D | Yeah . And on the back of it have the logo .
"[30:36] Speaker_A | Okay , what ?"
[30:38] Speaker_B | Yeah .
[30:39] Speaker_C | Sure .
[30:40] Speaker_B | Why not ?
[30:41] Speaker_A | Okay .
[30:57] Speaker_A | Yeah .
"[31:03] Speaker_D | I can say in this country , you'll get , you know , lots of people wanting something really funky and cool ."
"[31:13] Speaker_D | Like and kids will be walking in with their parents saying , Mummy I wanna buy that one . And uh parents will see the will see the pro as well , because it's um"
[31:31] Speaker_A | Yeah .
"[31:43] Speaker_D | Yeah . So so it's rea it's quite it's quite like um user friendly and also for different families , like like family use as well , so for little kids and for old ki like teenagers will like it , I think . Especially maybe younger girls if it's in pink they'll be like pink remote control for their room something ."
[32:10] Speaker_D | Yeah .
[32:11] Speaker_B | That's yeah .
[32:11] Speaker_C | Mm .
"[32:15] Speaker_D | So like you walk in , you're like , oh I like that remote control , because it's so bright , and then , and then the shop assistant comes up and says , oh what colour would you like ? and then they go like , oh I can choose the colour wow . So it puts , I think , even the customer into more control over what they're buying instead of , you've got all colour it's either that or nothing . So they also get to pick ."
"[32:34] Speaker_D | Well , personally I like walking into a shop and choosing a colour ."
"[32:37] Speaker_C | Yeah I mean , that that seems to work well with for products like iPod , where , you know , you have a variety of colours , that people feel like they're customising it when they buy it , even , you know , just just by the fact of choosing ."
[32:41] Speaker_A | Mm .
[32:41] Speaker_D | Yeah .
[32:43] Speaker_D | Mm .
"[32:49] Speaker_B | You know , there are some colours that I wouldn I would never choose , and I would be curious how many people choose that colour ."
[32:54] Speaker_C | Right .
"[32:54] Speaker_A | Well that's that can be down to bit of market researching you know , if that's easy enough to find out what colours are more popular ."
[32:57] Speaker_B | Mm .
[32:57] Speaker_C | Yeah .
"[33:00] Speaker_B | And produce less of the silly colours , maybe ."
[33:03] Speaker_A | Mm .
"[33:06] Speaker_A | Okay . Alright . Well um , we'll alright let's what we're gonna aim to get together by the next meeting then um"
[33:24] Speaker_A | from you Catherine wi your y y you know you're gonna be working on the the look and feel design .
[33:29] Speaker_B | Yep .
"[33:30] Speaker_A | Um Gabriel , you're gonna be working on , you know come up with the the user interface design . Then basically , you two are gonna be working together on this . You won't be going off to your separate offices ."
[33:42] Speaker_B | Alright .
[33:44] Speaker_C | Okay .
[33:45] Speaker_A | Um and I think you are gonna get a chance to play with some clay .
"[33:51] Speaker_A | I think , yeah , it's gonna you know , come up ki you know , be ab for the next meeting be able to come in and show us some some i some physical ideas . 'Cause at the moment , uh you know , it's it's hard . We were kinda going , yeah , it's gotta feel nice , it's gotta look cool and that it's you know now we can actually start ,"
[33:51] Speaker_B | Mm .
[34:01] Speaker_B | Cool .
[34:03] Speaker_C | Yeah .
[34:03] Speaker_B | It is .
"[34:12] Speaker_A | you know , s some sort of physical something or other ."
[34:16] Speaker_C | That sounds good .
[34:18] Speaker_A | Um and you're gonna be working on the product evaluation .
[34:27] Speaker_A | Um .
"[34:38] Speaker_A | talking to the bosses , basically , and uh"
[34:43] Speaker_A | f fielding off some more spam and
[34:50] Speaker_B | Great .
[34:50] Speaker_A | that's it really .
"[34:53] Speaker_A | Keeping things t well , uh you know , ho hopefully uh keeping things together . Um ."
"[35:06] Speaker_A | This is this is uh good . So we know for definite we know we've we've now got some definite things going on . We definitely know how it's powered , we definitely know that um it's gonna be a simple buttons , we're not gonna be going for the new technological chip on print expensive things , so we've we're keeping the costs down . It's this rubber casing that we can sell as um fun and funky . Don't know of any other remote controls that are made out of this stuff . People , you know , people are saying , oh , standard stuff gives you repetitive strain injury , well this remote control is designed to do the complete opposite ,"
[35:14] Speaker_C | Mm .
[35:37] Speaker_D | Mm .
[35:47] Speaker_D | Yeah .
[35:47] Speaker_A | It's supposed to fix it rather than cause it . Um .
[36:05] Speaker_C | Right .
"[36:06] Speaker_A | facility , although whether or not it happens , or is possible , I don't know , but something to look into ."
[36:16] Speaker_A | Okay . I think that's um well done everybody .
[36:21] Speaker_C | Alright .
[36:21] Speaker_A | Anyone have any uh
"[36:24] Speaker_A | any questions , everyone know what they're doing ? 'Cause if you don't , you'll I'm sure you'll soon get an e-mail about it ."
[36:29] Speaker_C | Yeah .
"[36:31] Speaker_C | Mm , I think we all know what we need to do now ."
[36:33] Speaker_D | This gives you all the details ?
[36:36] Speaker_A | Okay . right well . It's um we're we've still couple of minutes until our meeting's due to finish .
[36:37] Speaker_C | Okay .
[36:44] Speaker_A | But um
[36:47] Speaker_A | I got a note saying that you two who are gonna be working together so bef before you all disappear off just
"[36:52] Speaker_C | Okay , I'll stay in here ."
[36:59] Speaker_A | hold hold fire . Um .
[37:26] Speaker_A | Yeah . Yeah .
"[37:28] Speaker_C | I'd like to share in the coffee machine profits , because that's really doing well ."
[37:31] Speaker_A | I want a share in the space rocket . Did you see that this k that this company we've made a spaceship .
[37:34] Speaker_C | Yeah . .
[37:41] Speaker_A | Yeah .
[37:43] Speaker_D | Mm .
"[37:47] Speaker_C | Yeah , we're definitely not in the money making department ."
"[38:05] Speaker_C | Well I I did notice looking at I mean , they told you that they wanted whatev our product to represent the the R_R_ brand and and to be immediately noticeable ."
[38:14] Speaker_A | Yeah .
"[38:16] Speaker_C | I mean , if you look like at the coffee maker at the at the corporate web page , it's not obvious ."
[38:20] Speaker_D | Mm .
"[38:23] Speaker_C | R_R_ . Well it is to us , because we we worked worked here for years and we use that coffee machine , but it's doesn't have the colour scheme of of the of the company anywhere on it obviously it's just sil silver and black ."
[38:35] Speaker_A | Mm .
[38:42] Speaker_C | No .
[38:45] Speaker_C | Mm .
"[38:52] Speaker_A | Okay . Um I've just had a sign flashing up saying , finish the meeting ."
[38:57] Speaker_B | Yeah .
[38:58] Speaker_A | Uh .
[38:59] Speaker_C | Okay .
[39:10] Speaker_A | Yeah .
"[39:10] Speaker_C | Right , well , I guess that's us ."
[39:13] Speaker_A | Yeah . It's not telling it's not saying do anything in particular just yet . So maybe you should go back to your own offices .
[39:22] Speaker_C | Okay . Right .
[39:26] Speaker_B | Are we taking these off ?
[39:29] Speaker_A | Yeah .
