[00:06] Speaker_A | Afternoon guys .
"[02:47] Speaker_B | So exactly . So um we've got a i in this in this uh drawing he uh in this example here , this is a eighteen pin um uh chip I dunno . Uh it's two double A_ batteries . This is pretty standard remote ."
[02:49] Speaker_C | Nah .
[02:59] Speaker_D | Yeah .
[03:27] Speaker_A | Okay .
[03:31] Speaker_B | You shake it .
[03:38] Speaker_D | And that's on the camera .
[03:44] Speaker_D | Yeah .
[03:45] Speaker_A | 'Kay .
[03:55] Speaker_A | Mm 'kay .
[03:59] Speaker_A | Okay so we basically have battery versus cradle here ?
[04:00] Speaker_B | M battery versus cradle I think is yeah .
[04:02] Speaker_A | Okay .
[04:03] Speaker_C | I like the kinetic .
[04:05] Speaker_D | I g I I figured you would . Yes . Yeah .
[04:06] Speaker_B | It could be fun .
[04:13] Speaker_B | Yeah . Well it is it is more uh I mean it is more eco-friendly than the than the cradle 'cause you're still using power off the grid with the cradle . So um
[04:20] Speaker_A | Mm .
[04:22] Speaker_A | Hmm .
[04:51] Speaker_B | Yeah pers
"[04:51] Speaker_A | Wood wood would ge would give us a little bit of a marketing niche , wouldn't it ."
"[04:55] Speaker_B | I think wood i I I can't see anybody wanting to use a wooden remote , it's just anti-technology really , you know ."
[04:58] Speaker_A | Nah .
[05:01] Speaker_D | Uh .
[05:02] Speaker_A | Okay .
[05:07] Speaker_A | Hmm .
[05:07] Speaker_D | Uh uh to me in a marketing sense it's not it's not relative . We can we can o we can uh accentuate whatever whatever product you put in there we can find a way to accentuate it .
"[05:15] Speaker_B | Right . And what we may be able to do , and I think this might be the best option is to combine some a couple of these . Um my recommendation personally would be to do some kind of a plastic inner shell with a like a rubber outer shell , to make it um to mak uh like a thick plastic inner shell and a t um kind of a to have that rubber outer shell to make it more durable , and also maybe i I think it feels a little better than the plastic ."
[05:16] Speaker_A | Okay .
"[05:46] Speaker_D | And if you make it from that super rubber , when you drop it on the floor it can bounce right back up in your hand . You don't even need to lean down to get it ."
[05:50] Speaker_B | Yeah .
[06:09] Speaker_A | Okay .
"[06:09] Speaker_B | But basically these are curved and double-curved I I believe that the tech department , in their um in their message to me , that they were referring to the number of th curves in the bottom . I have no idea exactly what they're talking about , but that's what they told me , uncurved , flat , curved , or double-curved ."
[06:25] Speaker_A | Okay .
"[06:28] Speaker_B | I would guess this like this pen would be kinda like a double-curved , where it's curved on m m multiple axes , right ? I think curved means just curved in one axis and double-curved is curved in two axes"
[06:41] Speaker_A | Okay .
[06:42] Speaker_B | or surfaces . I have no idea .
[06:43] Speaker_A | I think it might mean something like that sorta shape because a double curve rather than a yeah that's what .
[06:47] Speaker_D | Mm-hmm yeah that's yeah that's what I see . Yeah that's what I see also .
"[06:48] Speaker_B | Oh okay oh like a wave , okay . Alright that makes sense okay . Um okay , with the interface we have the following options , we can u we can use push buttons , we can use a scroll wheel with an integrated push button , and L_C_D_ display , or multiple scrolling wheels ."
[07:02] Speaker_D | Ooh .
[07:07] Speaker_B | Um so these are all options that the user interface guy can uh has at his disposal to put together a user interface .
[07:16] Speaker_A | Okay .
[07:33] Speaker_A | D do we have actually any concept of what the difference is between a simple chip and an advanced chip ?
"[07:38] Speaker_B | Yes the difference is , with a simple chip a simple chip will operate oh why doesn't this scroll up ?"
"[07:45] Speaker_B | Previous previous , okay . A simple chip is required to operate push buttons . Um an advanced chip is required to to operate um the L_C_D_ display , and it didn't say specifically , but I I have a hunch that a regular chip is gonna be the scroll wheel and the multiple scroll wheels ."
[07:50] Speaker_A | Okay .
[08:05] Speaker_A | Okay .
[08:06] Speaker_B | So but yeah .
[08:08] Speaker_A | Yeah that makes sense .
[08:10] Speaker_B | That's the end of my presentation .
[08:15] Speaker_A | I guess design would go best .
[08:18] Speaker_A | Next .
[08:27] Speaker_A | Technical functions or interface concept ?
[08:31] Speaker_C | Oh interface concept .
[08:36] Speaker_A | Yeah that's it .
"[08:41] Speaker_A | Yes , but it has your name on it ."
"[08:48] Speaker_C | Um so , somehow that thing's too big , but um okay um our uh manufacturing division wanted the speech recognition . They say they could put it to work but um we don't think so ."
[09:01] Speaker_B | No .
"[09:05] Speaker_B | If the T_V_ is working , yeah . That's just I mean it'll if somebody says up in the middle of a"
"[09:12] Speaker_B | television show , it's gonna change the channel ."
"[09:15] Speaker_C | Yeah and and fighting for the remote would not be fun anymore , and I think that's one of the things we wanna keep ."
"[09:19] Speaker_A | But what if you actually had to press a button to make it recognize ? So if you pressed it and went , up ?"
[09:26] Speaker_B | Well then why don't you just press the up button ?
[09:28] Speaker_A | Man yeah .
[09:32] Speaker_D | That's right .
"[09:33] Speaker_B | Even still there's gonna be interf th there's there still will be interference from the T_V_ . It might not be it might not be completely confusing , but I think you'll still y it's still I don't think it's practical at all . I think it's a bad idea frankly ."
[09:33] Speaker_A | Up .
"[09:37] Speaker_A | Yeah , okay ."
"[09:48] Speaker_C | Yeah so um taking that away , our uh the the the rubber but rubber buttons are the more reliable it's the the ones that would al would allow us to to market our product as being you know less prone to damage and more resistant to things like spillage of liquids over it or you know mistreat misuses"
[09:48] Speaker_A | Okay .
[09:52] Speaker_A | You guys know your stuff .
[10:13] Speaker_C | as it happens to remote controls . Um as for the
[10:39] Speaker_B | That I would believe .
[10:40] Speaker_D | Mm-hmm .
[10:41] Speaker_A | Mm .
[10:41] Speaker_C | But um yeah I think we we need to compromise between those two and somehow we'll do that . Somehow .
"[10:47] Speaker_C | Um so the the what I would propose is something more or less in the uh direction of what is to yo the right of that slide uh but without with a l a less complicated um design , so the numbers , the volume control , and channel control , and teletext access . Uh the volume and channel control can just become those the the four button array as in if it was a round dial ."
[11:17] Speaker_B | Mm-hmm .
[11:17] Speaker_C | And um if you just think about it as the one to the right but with the numbers and the four buttons plus maybe a centre one with teletext .
[11:25] Speaker_A | So we're suggesting doing a sorta scroll wheel thing for the volume ?
"[11:28] Speaker_C | Ye no it's not i i it's just four buttons that are on a cross , so that you ba basically can control all of the important tasks from that alone ."
[11:29] Speaker_B | That's not a scroll wheel .
[11:30] Speaker_A | Nah .
[11:32] Speaker_A | Oh okay okay . I see .
[11:34] Speaker_B | Right .
"[11:36] Speaker_B | Instead of play , stop , rewind , and fast forward there , that's up , down , louder , and quieter ."
"[11:36] Speaker_A | Uh , okay ."
[11:41] Speaker_A | Okay .
"[11:41] Speaker_C | Yeah um yeah so I think we w we go for something mid-sized , so something looks good and uh is not too prone to get lost ."
[11:54] Speaker_C | That be it .
[11:55] Speaker_A | 'Kay .
[12:05] Speaker_A | Y functional requirements or trend watching ?
[12:08] Speaker_D | I dunno . Trend watching I guess . Trend watching I believe .
[12:09] Speaker_B | Trend watching has a later date there .
[12:14] Speaker_D | See what it looks like . It's been so long .
[12:21] Speaker_D | Well I don't know what to say . When I s when I see the when I see the product I I I I don't wanna buy it . I see so many of 'em out there . There's nothing about that product that makes me wanna choose that product over other products that are out there . Yeah yeah .
"[12:35] Speaker_B | Are you talking about the picture ? That's not our that's not our b design , that's just a that's just something he a a graphic he used to show you the layout of what the layout of the buttons might be like ."
[12:39] Speaker_D | Okay .
[12:44] Speaker_D | Okay .
[12:47] Speaker_D | Okay 'cause 'cause right now I don't have too much to say about how to market this product because we don't have a product to market yet . And uh from from talking to Mike is that we have we have uh we can market a more expensive product now .
[12:54] Speaker_A | Mm .
"[13:03] Speaker_D | That's what I understand so , hello ."
"[13:04] Speaker_A | Upper management said yes . Uh e excuse that , that's a bit of spam ."
[13:08] Speaker_D | And and so yeah I'm a I'm a little bit stuck right now in that what uh w what is it that I'm gonna market ? Uh without special or increased marketable features I don't believe the product has a consumer demand . Uh I like the idea of of the scroll makin there are so many people making these products at this price right now . What are we gonna do to make this one special and unique ?
[13:33] Speaker_B | What's special and unique about a scroll ?
[13:37] Speaker_A | It's cool .
[13:43] Speaker_D | I don't say it's special .
"[13:45] Speaker_D | Uh I say that it's different I what I'm looking for as marketing is m give me something different . I give me a lower price , give me a higher price , give me some new technology , don't give me the same thing that everybody else is putting out there on the shelf it's f at the same price ."
[14:00] Speaker_D | I need something to market about this thing . We're we're a new firm .
"[14:06] Speaker_D | What i if when when we have yeah when we when we have something like the cradle or or something give that's as as a marketing standard I need something to market , to make this product unique ."
"[14:16] Speaker_B | Well right I think the two big th points that we have so far are the having the cradle and also having uh the um the actual design of the uh case itself having like this like rubber shell maybe with a plastic interior , having it look really nice um and also be really durable ."
[14:33] Speaker_D | Yep .
"[14:39] Speaker_D | Mm 'kay . Just remember when I made up this report I didn't have the information that we're discussing here . And and so so uh yeah when we have a cradle , when we have some kind of design , so what I'm saying is , from my perspective , I don't have a product to market right now ."
[14:43] Speaker_A | Mm . Course .
[14:43] Speaker_B | Right yeah . Yeah .
"[14:54] Speaker_D | Um uh my personal preference is that we make some adjustment in the cost , either lower or develop an integrated new technol technology . That's that is the next step , there's technology and then there is technology , which we're moving into the next phase ."
[15:07] Speaker_A | Yeah 'cause that's .
[15:09] Speaker_D | And so uh we're gonna have some new technology to enhance the marketability . Yeah uh again I'm not sold on the product because we don't have a product in my opinion yet .
[15:20] Speaker_A | Mm .
"[15:22] Speaker_D | So I need a product . I need a product to market . And I just whatever product you guys put together , we'll find a way to market it . Tha that I'm not concerned with ."
[15:22] Speaker_A | Mm 'kay .
[15:23] Speaker_B | Well let's get a product then .
[15:34] Speaker_D | If you if you give me if you give me a cut-out of what everybody else has then I need to I need to find a lower cost .
[15:43] Speaker_A | So our big questions here really are
[15:48] Speaker_A | cradle or not cradle ? Do we go basic or do we go for features ?
[15:55] Speaker_A | Uh d does anyone really wanna do anything with the scroll wheel or should we ditch that off-hand first ?
[16:00] Speaker_B | Well my question is what would the scroll wheel do ?
[16:05] Speaker_A | Oh but that was in your presentation so wh what would you imagine it doing ?
[16:09] Speaker_D | Yeah wh wh what's the wh
[16:16] Speaker_A | Mm 'kay .
"[16:17] Speaker_D | Okay now what I see with the scroll wheel is everybody has buttons . So from a marketing standpoint I have I have another door to walk through when we have something that's unique . If it creates something more complex or more expensive , then I don't know if that makes it uh a marketing necessity . But again , from a marketing perspective I want as much new and different about this thing as possible because we're we're co it's a very competitive market ."
[16:26] Speaker_A | Yeah .
[16:42] Speaker_A | What I understand about scroll wheels is they're they're quite expensive to to make . So I d
[16:45] Speaker_B | Yeah .
"[16:53] Speaker_B | I mean it is an alternative if if you think that's gonna sell some some uh you know if if we're gonna make up the extra cost by extra sales I think maybe it's worth it to do it , but I mean I would just use if I was gonna do this I would just use the scroll wheel for s channels up and channels down ."
[17:18] Speaker_C | I dunno . I'll bet first in volume maybe . I dunno .
[17:25] Speaker_A | Well I d I like the idea of basically focusing the my personal preference is focusing the p the product on the idea of the uh the case the the uh
"[17:38] Speaker_A | dock to put it in to to charge it . We can target like environmentally friendly ideas , that sorta things . It s i m makes it easy to market , it's easy to differentiate the product , yeah so ."
[17:43] Speaker_D | Mm-hmm .
[17:45] Speaker_D | Yeah yeah . I think it's that's right . I think so .
[17:49] Speaker_A | And if we we keep the rest in a format that is durable because th th the whole product's gonna need to be more durable th thus because you're not going to be ditching it as often . It's gonna need to be more expensive because of the cradle .
[17:58] Speaker_B | Mm-hmm .
[18:04] Speaker_D | Mm .
"[18:06] Speaker_D | Yep . I think we got some exclusivity in that , you know , we got something that nobody else has right now , and and that means we can we can make some adjustments in the retail or wholesale price if we need to and it also can create it's own demand from it's uniqueness ."
[18:10] Speaker_B | Yeah .
[18:34] Speaker_A | What type of casing ? I personally like what you were saying about the plastic with the rubber .
"[18:38] Speaker_B | Mm-hmm . I'm thinking yeah something like kinda almost like these pens , you know , where there's you have plastic bits and then it's not really rubber but just kinda like a fused the plastic with rubber on the outside ."
[19:02] Speaker_A | Okay .
"[19:04] Speaker_A | So then if we d d do we want to do anything more basic with the uh more advanced with the user interface in terms of do we want to go for um buttons , or do we want if we're ditching the scroll wheels do we want to go L_C_D_ ? Do we want to give do we want to have anything else on it ?"
[19:28] Speaker_C | It's only a T_V_ .
"[19:30] Speaker_B | Or from from my perspective I think L_C_D_ is a mistake because this is a universal remote and all you're doing I mean it's you're not gonna get any information back from the television , so the only information you can display on this remote is what channel you just sent it at last and there's just not a lot of information , you know , there . It receives no information ."
[19:50] Speaker_C | Hmm .
[19:50] Speaker_A | Okay .
[19:54] Speaker_B | So I I don't see any reason for having an L_C_D_ 'cause it's an increased cost . Unless you can think of something interesting to do with it .
[20:00] Speaker_D | Yeah .
"[20:03] Speaker_D | Yeah right now there's right now there's nothing coming out of the T_V_ to receive , so you know unless technology changes and information starts coming out of the a cable box or something there's no s I don't see the ,"
[20:07] Speaker_B | Right .
[20:16] Speaker_D | I don't see the necessity of an L_C_D_ either . Don't see it .
[20:23] Speaker_A | Okay so the question is now I guess we need t to
[20:28] Speaker_A | decide on well y you guys basically have to now go and
"[20:34] Speaker_A | figure out the details of this thing . So , what we need to know in terms of marketing and uh project management are are there any other questions that we need to answer now before you guys can go and build this ?"
[20:47] Speaker_A | What what overall things have we not decided on ?
"[20:50] Speaker_B | Well we have to I think for me it's still not exactly clear exactly what the inter user interface is gonna be . There's the scroll wheel , in or out ?"
[20:59] Speaker_B | What do you guys like in the user interface ?
"[21:02] Speaker_A | I think maybe in terms of marketing , is that gonna make enough of a difference to justify the cost ?"
"[21:24] Speaker_D | You know the other thing I thought about was you know , do we go to something like this ?"
[21:30] Speaker_D | Make a remote that doesn't look like a remote .
"[21:38] Speaker_B | Well I dunno about like the flip-phone idea , because I think , as far as durability th it's not a big well maybe when it's closed ."
[21:50] Speaker_B | Mm-hmm .
[22:01] Speaker_B | Mm-hmm .
[22:03] Speaker_D | And what I keep throwing out there I just keep throwing out ideas to try to make this thing look or act or in some way identify itself as unique or different .
[22:12] Speaker_C | Mm-hmm .
[22:12] Speaker_D | But you guys are the ones that have to c ultimately create the product within cost .
"[22:16] Speaker_A | Yeah and I guess th th the question th th that you're being asked right now is whether is the dock enough of a unique feature to be able to go out and sell that a a as a a very different product , or do we really need the scroll wheel as well ? Because the scroll wheel comes at quite a cost ."
"[22:33] Speaker_D | Oh okay phew . I think you gotta g get into cost effectiveness . I think if you can have the base station with a with a locator , I think those are two very strong features , if that's something that can be integrated without a bunch of extra cost ."
[22:36] Speaker_B | Yeah .
[22:50] Speaker_D | Mm-hmm .
[22:52] Speaker_A | That's gonna n is that gonna need a better chip as well ?
"[22:55] Speaker_B | Um we're probably gonna have to go with a like a medium chip , s I would imagine ."
[22:56] Speaker_C | No it's just different .
"[23:03] Speaker_B | But we I we will need a receiver , an antenna ."
[23:08] Speaker_B | Yeah .
"[23:15] Speaker_D | I know personally that would be a very attractive feature , is to have a uh have a button I can push to find my remote control ."
[23:22] Speaker_A | And it's presumably gonna need a little speaker in it or something like that as well to beep .
[23:26] Speaker_B | That's true yeah .
[23:33] Speaker_B | Oh yeah yeah . It'll be really cheap .
[23:44] Speaker_C | Maybe not .
[23:45] Speaker_A | Makes your living room more fresh as you watch .
"[23:56] Speaker_B | So the scroll wheel ,"
[23:59] Speaker_B | in or out ?
"[24:00] Speaker_A | Mm pr my personal preference is out . I don't think the cost is justified for a little bit more uniqueness when we already have that , and I don't s think it's obvious and natural how it would be used ."
[24:08] Speaker_C | Yeah .
"[24:10] Speaker_C | Yeah I think we have like and it's not very usable and it will bring down the robustness of the whole thing , 'cause it's it it breaks down easier ."
[24:16] Speaker_A | Mm .
[24:17] Speaker_D | Yeah .
"[24:18] Speaker_B | For me I think the scroll wheel actually might not be so bad . I don't know exactly what the increased cost is gonna be , but I think he does have a point , i it might push somebody over the edge when they're looking at our at our remote versus something else , when they see this one has a scroll wheel to go up and down on the channels . I think it might be kinda neat to be able to do it like that ."
[24:45] Speaker_B | Sure .
[24:55] Speaker_D | Yeah .
"[24:59] Speaker_B | Well I think wh what it would be is like like the m like this , where it's maybe you know a digital"
[25:06] Speaker_A | Mm .
[25:11] Speaker_D | Yeah .
[25:11] Speaker_B | That was that was my my intuition of what the scroll wheel would be .
[25:13] Speaker_A | Ah I see I see what you're talking about now . Okay .
[25:20] Speaker_B | It's just it's basically it it's just a f look and feel thing . It has the same exact functionality as two buttons .
[25:40] Speaker_B | Yeah .
[25:41] Speaker_A | That's kinda cool actually . I like that .
"[25:45] Speaker_B | Now just just so you know though uh you did bring up a point which is very valid , is a lot of T_V_s won't re the T_V_s won't respond exactly the same . Some of them are gonna be kinda slow switching , so you may like queue up like fifteen channel changes , and it'll be like flip , flip , flip ."
[26:00] Speaker_D | Well there's ano
"[26:01] Speaker_A | Well not n necessarily . You could basically make it so that it'll I mean it's just gonna be sending a signal to the T_V_ yeah the T_V_'s ge so if you send about five flip channels , if you did that it's gonna flip once . If you do that ."
[26:07] Speaker_B | Right .
[26:07] Speaker_D | That's right .
"[26:12] Speaker_B | Yeah it just might be frustrating where you can't make it go as fast as you want , but I think once people get used to it I I do like the idea of the scroll wheel though ."
[26:14] Speaker_A | Other than click click click .
[26:16] Speaker_A | Yeah .
"[26:20] Speaker_A | And if we're marketing it as a high niche product , then we're gonna be selling it to people who are buying good T_V_s as well , yeah , presumably ."
[26:25] Speaker_C | Mm-hmm .
"[26:26] Speaker_D | Yeah I think so . I I think so . Now the the only thing I I on the interface side of it , is that I I I see the dilemma ."
[26:27] Speaker_A | Primarily .
[26:28] Speaker_C | Yep .
[26:46] Speaker_A | Mm-hmm .
[27:13] Speaker_A | Mm-hmm .
[27:26] Speaker_D | Oh no we could read it from the television .
[27:29] Speaker_A | Mm .
[27:37] Speaker_A | Well that's quite cool . You'd need a display on the th the thing .
[27:40] Speaker_B | Why ? It'll tell you when you flip the channel on the T_V_ .
[27:41] Speaker_D | Yeah the the television can tell you . Can .
[27:43] Speaker_B | Yeah .
[27:45] Speaker_A | Oh yeah yeah no I see what you're talking about . Yeah that's kinda cool . How would you program it though ?
"[27:48] Speaker_B | Well you just it's one extra button . You say programme start , and then type in 'cause you still have the typing you know you'll still have the keypad where you can type 'em in manually . So programme start , zero , one , enter , zero , five , enter , thirty eight , enter , programme end ."
[27:56] Speaker_A | Okay okay .
[28:04] Speaker_D | And then .
"[28:05] Speaker_A | Okay and yeah and that just basically flips between it and it'll go it sends out zero , five , and then thirty six , and then zero , one again . Yeah that's kinda cool . I like that ."
[28:08] Speaker_B | Mm-hmm .
[28:11] Speaker_B | Mm-hmm .
[28:15] Speaker_D | And again we have another another great marketing tool . We have about three we have three or four things here .
[28:19] Speaker_A | That's not gonna be too expensive because that's gonna be you're gonna be able to nab that off of computer mouse manufacturers really . You could basically come up with a partnership to be able to produce that quite cheaply .
[28:26] Speaker_B | Mm-hmm .
[28:30] Speaker_D | I dunno and an maybe we maybe even have this as in-house technology . This may be something that's available through our own uh through our own services .
[28:31] Speaker_C | Yeah .
"[28:37] Speaker_A | Might be , but tha that's not gonna be such a costly feature . The problem we're gonna have is making it robust ."
"[28:44] Speaker_B | Oh well we also have to determine in some manner how to switch between modes , between going through your favourites list and just hitting up one , up two ."
[28:44] Speaker_A | Making it last .
"[28:52] Speaker_D | Or we go directional up we go we go this we go this we go this way for one , we go this way for the other ."
[28:54] Speaker_A | So if there's a button for each type .
[28:59] Speaker_B | No because you wanna be able to go up and down through the channels .
[29:02] Speaker_D | Ah-ha okay .
"[29:03] Speaker_D | Okay , okay , well then you just have , you have a diff you have a mode switch ."
[29:04] Speaker_B | Right .
"[29:06] Speaker_B | I think we'll need a we'll need a mode switch , but then if we have a mode switch we're gonna need some kinda indicator"
[29:06] Speaker_A | Yeah yeah the mode switch .
[29:12] Speaker_A | Just the lights behind the buttons . You could have back-lit buttons maybe .
"[29:12] Speaker_B | to which , an L_E_ an L_E_D_ okay ."
[29:16] Speaker_A | Would that work ? Is that okay we have five minutes . So right details th that we've talked about here are that we want a scroll wheel .
[29:18] Speaker_B | Okay .
[29:28] Speaker_A | We want a mode indicator .
[29:34] Speaker_A | We want back-lit buttons .
"[29:40] Speaker_A | And if we're making back-lit buttons period , do we want that just for the mode indicator or maybe to indicate what button you're pressing at the time , so that you know if it's actually pressed or not . I've seen some remotes do that ."
[29:49] Speaker_B | Okay . Just so you know I think I mean it was my understanding that before we were gonna stay in the mid-market range . It seems we're kind of approaching a higher-end range . I wanna make sure everybody's okay with that .
[29:59] Speaker_D | Yeah yeah .
[29:59] Speaker_A | I think we are yeah .
[30:00] Speaker_D | Well you had acknowledged that we have more money for this . Didn't you say so ?
"[30:03] Speaker_A | Yeah well we don't have it's not that we have more money , we can push up the the price . Yeah ."
[30:07] Speaker_D | That's what I mean . We can increase the cost .
[30:09] Speaker_B | Okay .
[30:10] Speaker_A | 'Kay .
[30:14] Speaker_A | Yeah .
"[30:16] Speaker_A | So we really need to be sure as to what we can push the cost up to , though we haven't got to a stage where we're ready to pin down the price of components . But I'd say what sorta price are we looking to be able to sell something like that , and what sorta price can we make it for ?"
"[30:27] Speaker_D | Well I think th I think the design and technology has to come back and say , okay to create this product we see it's gonna cost us this much for this volume , because we do have a volume target of of fifty million profit ."
[30:47] Speaker_B | Right .
"[30:55] Speaker_D | Okay I'm I'm okay with that . I guess what I just want to me the next step is for these guys to come come in with the design proposal w with the cost estimate attached , and then we have to take this to the next level ."
[31:06] Speaker_A | But th what's our ballpark as to what we'd be able to sell something like this for ?
"[31:09] Speaker_B | Well y yeah . Let's let's try and think now , how much would you pay for with all these features how much would you pay if you went to the store , and you were in the market f to replace your T_V_ remote , how much would you pay for that ?"
[31:10] Speaker_D | We have to find cost .
"[31:20] Speaker_A | But you've gotta think who our target market is because I I'm not our target market . I'm a student , but"
[31:22] Speaker_B | I'm just asking you .
"[31:27] Speaker_A | on the other hand I would think ,"
[31:51] Speaker_B | Oh no no .
[31:58] Speaker_B | I would say thirty five to forty .
"[32:00] Speaker_D | Yeah , I was gonna say thirty five to fifty ."
[32:02] Speaker_A | 'Kay . Thirty five to fifty Euros is our sales bracket okay . So the question is what we ca we make it for .
[32:05] Speaker_B | Okay .
[32:06] Speaker_D | Because one of th one of the things we're marketing about this product is that this is the last one you will ever need to buy for your television . It's one of the marketing features in this .
[32:11] Speaker_B | Right .
[32:11] Speaker_A | Mm .
[32:14] Speaker_A | That's why the scroll needs to be really robust .
"[32:16] Speaker_C | Okay so we'll come up with something between thirty five and fifty that is rug rubber , robust , with scroll wheel , with the new facilities of the scroll wheel like favourite stuff , favourite channels , and and with a cradle , and yeah and the locator ."
[32:29] Speaker_D | Mm-hmm .
"[32:29] Speaker_B | With a cradle , radio transmitters ,"
[32:33] Speaker_B | and back-lit buttons . And it's gonna look sexy .
[32:37] Speaker_C | Or not .
[32:37] Speaker_B | Or not . It might look like clay .
[32:40] Speaker_C | Okay so you can market pe depending on that ?
"[32:42] Speaker_D | Yeah yeah . Bas th that's that's easy . That's that's not a , it's a ."
"[32:48] Speaker_D | 'Cause we have about six , six , seven features in that alone ."
[32:53] Speaker_A | Yep .
[32:54] Speaker_C | Cool .
[32:54] Speaker_D | Under the title of uniquenesses .
[32:56] Speaker_C | Hmm .
"[32:57] Speaker_A | Okay . The next meeting starts in thirty minutes , although does it ? It starts at three twenty one , the next meeting . So we've got more than a thirty minutes . Um we've got more like fifty ."
[33:09] Speaker_D | Is my three twenty one is the next meeting ?
[33:12] Speaker_A | The the ne next meeting is three twenty one yeah .
[33:14] Speaker_D | That's that's almost uh fifty minutes .
[33:17] Speaker_A | Yeah that is . Uh they've they've changed the times from the presentations .
[33:25] Speaker_D | All kinds of things .
"[33:25] Speaker_B | Probably . We'll let you know when we're done , if we can go earlier ."
[33:33] Speaker_B | Yeah .
"[33:36] Speaker_A | Okay are there any other questions with regards to what this thing's gonna do , look like , how it's gonna work that need to be addressed before we really look at this in a lot of detail ?"
[33:48] Speaker_B | I don't think so . If we have any questions we'll just email you I guess .
[33:52] Speaker_A | Okay .
[33:53] Speaker_C | Yeah I think it pretty much everything's covered .
[33:56] Speaker_A | Okay . This one was quite easy .
[34:00] Speaker_C | Coulda been worse .
[34:01] Speaker_D | Still .
[34:01] Speaker_A | Always the optimist . 'Kay thanks guys .
[34:02] Speaker_C | Yes I am .
[34:05] Speaker_D | Thank you .
[34:07] Speaker_D | I don't have any emails . This means I can go home .
