[00:37] Speaker_A | Mm-hmm .
"[10:28] Speaker_C | We have a number of different choices for a design concept um and s that's that's something that that I'll show you some examples of um , but essentially we need to choose how how is this device going to work , how how what kind of model is there going to be for user interaction with this device . Uh once we've chosen a a concept for it , we can then design the features around the concept , making sure that we get all the essential functions in the device and uh the extra functions and the more advanced features . And of course we also have to make it look cool ."
"[11:11] Speaker_C | So basically , that's what we don't want . M we don't want lots of buttons , uh complicated features . We want something that looks nice and simple ."
[11:21] Speaker_C | Here's a a fairly simple device . This is an an iPod from Apple . Um I think the main thing to notice about it is it just has four buttons . It's very minimalistic in its design . Uh you use these four buttons to m to move around a range of settings on the small L_C_D_ screen . Um the thing I like about this is that
[11:22] Speaker_B | Hmm .
"[11:45] Speaker_C | it's very very quick to access the main features . Uh you can just about make out uh that the button three buttons are uh previous track , next track and play pause . They're the main the main features of the iPod , the things you will use a all the time . Um then if you want to do anything more advanced , you go into the little menu on the L_C_D_ screen and you use the buttons just to scroll around and and find the more advanced features that you want . So I think that's that's a good a good kind of model that we could have . Um"
[12:30] Speaker_A | Mm .
"[12:51] Speaker_C | So I I like I like this idea of just having buttons for the features that you use most often . So you'd need a few buttons to select your favourite channels . I mean most people , when they watch T_V_ , they have two hundred and fifty channels on their T_V_ and they watch of 'bout four of them at the most . So , you have buttons for your favourite channel , changing the volume , which is something you do all the time when you're watching T_V_ , and the button to switch it off , in case you get bored ."
"[13:18] Speaker_C | Um other features , things like adjusting the brightness , tuning the T_V_ , uh I don't know what else you do with a T_V_ . Um but these are these are all necessary functions . Uh you can't have a t there's no point having a television that you can't tune or that you can't set the contrast , so we need to find a way of including these somehow . Um and one other suggestions I'd make is to in is to include in a menu system , a bit like on the iPod ."
"[13:48] Speaker_C | So we'd either have a small L_C_D_ display on the device itself , or uh have a dis a menu display that comes up on your television and can b be controlled through the device . And that would allow you to access access the advanced features uh whilst keeping a very small and simple set of buttons for the features that you use most often ."
[14:00] Speaker_B | Hmm .
[14:16] Speaker_B | So you'd be advocating an L_C_D_ then ?
"[14:20] Speaker_C | I think that's that's one way to go , yes . Um I mean there are there are advantages and disadvantages if you if you have an L_C_D_ display , it's it's nice , because it's it it lets you just sort of sit there and st and control your television from your armchair ."
[14:23] Speaker_B | Okay .
[14:36] Speaker_B | Mm-hmm .
"[14:37] Speaker_C | There are disadvantages , an an L_C_D_ display would have to be quite small , 'cause we're we're I well we're I assume we're gonna be making quite a small device . Um it would also have to have uh a kind of backlighting in it , 'cause you ten you tend to watch T_V_ in the dark , but you need to be able to see your L_D_D_ L_C_D_ display ."
[14:41] Speaker_B | Right .
[14:52] Speaker_A | Mm-hmm .
[14:53] Speaker_B | Right .
[14:57] Speaker_C | The alternative is to have a an on-screen display on your television that you control through your remote control . Uh
"[15:05] Speaker_C | a bit like a bit like how they have these um digital boxes where you you press the buttons and it comes up with your this thing of watch lo what's on each channel . I mean that that's also a good idea . It's it can it does have it's problems as well , if you've got a small T_V_ and you're sitting on the other side of a room , it's hard to read the little text that comes up ."
[15:13] Speaker_A | Mm-hmm .
[15:14] Speaker_B | Okay .
[15:21] Speaker_A | Mm .
[15:24] Speaker_B | Mm-hmm .
[15:25] Speaker_C | Uh but that's a that's a design decision that we can make .
[15:28] Speaker_B | 'Kay .
"[15:29] Speaker_A | I do think that um one of the important features for a remote is seeing a menu and seeing what's on . Um and so like favourite channels is is applicable , but I think th that you do need to have some kind of function where it's um you have t you can see the title of the show or possibly a description of it . Like I I know I use that often enough ."
[15:34] Speaker_C | Yeah .
[15:47] Speaker_B | Are you are you tak
[15:47] Speaker_C | Yeah .
[15:51] Speaker_B | Yeah .
"[15:55] Speaker_B | No , I think I think we're talking menu like contrast and tuning the V_C_R_ or something if I've understood you correctly , rather than menu as what's on ."
[16:00] Speaker_A | Okay .
"[16:03] Speaker_C | Yeah , that that would be one of the features , yes ."
"[16:06] Speaker_A | Okay . 'Cause that would be more specifically a digital box , mm-hmm ."
[16:06] Speaker_C | But it's it's it's something to bear in mind is that if we put a display on the remote control
"[16:12] Speaker_C | the c uh communication is one way , so you can't have the televisions and information back to the remote control , at least I don't think you can . Um I'm not sure ."
"[16:19] Speaker_B | Oh , good point ."
[16:19] Speaker_A | Mm .
[16:21] Speaker_B | Yeah .
"[16:29] Speaker_A | Okay , now we're moving on to market . Marketing ."
[17:06] Speaker_C | Is that going on ? Okay .
[17:13] Speaker_D | Maybe it's just not Is it on ?
"[17:14] Speaker_C | Uh that should be alright , actually ."
"[17:23] Speaker_D | Ri What F_ do you have to press , five ?"
[17:25] Speaker_A | Eight .
[17:27] Speaker_D | I just keep pressing lots of 'em .
"[17:33] Speaker_D | Well , I don't know how relevant all of this gonna be . If anything , the that they gave me . Alright ."
"[17:40] Speaker_A | Oops , it's not plugged in , quite in well enough ."
[17:40] Speaker_B | No signal .
[17:45] Speaker_A | There we are .
"[17:49] Speaker_B | Oop , there we go ."
[17:52] Speaker_A | Mm 'kay .
[17:57] Speaker_D | Oh yeah .
"[18:46] Speaker_D | the whole desire of our c Real Reaction company wanting to focus on fashion and so , even though we're stressing , when we're talking , we've all been talking about this like simplicity and easy to use idea , they're sort of wanting us to remember that the number one thing for everyone is that it's fancy look and feel . And as these are ranked , the top one is doubly important to the second one , which is doubly important to the third one , so just to take that weight into account ."
[19:10] Speaker_B | Okay .
[19:45] Speaker_A | S sweet .
[20:42] Speaker_B | Mm .
[20:47] Speaker_B | That there's all kinds of scope for imagination in that one though .
"[20:51] Speaker_D | Yeah . I don't have a lot of notes to share if you want them , that pretty much sums it up . So yeah ."
"[20:59] Speaker_A | Okay , do we have any s some questions for this , let's see um ."
"[21:03] Speaker_D | Yeah , what can I possibly enlighten on ?"
[21:08] Speaker_A | Um do you have any ideas how to possibly use these ? Um how to how to use a fruit or vegetable or um or the spongy material at all ? Like could we make a s like could we make a spongy remote ? It would be easier on the hands .
"[21:31] Speaker_B | An uh I if th my understanding of a latex case is that it's in fact hard to protect stuff inside , but that it's covered with the latex , which is spongier and softer on your hands ."
[21:39] Speaker_A | Mm-hmm .
[21:52] Speaker_A | Mm-hmm .
[21:52] Speaker_D | Mm-hmm .
[21:53] Speaker_C | Yeah .
"[21:54] Speaker_B | Yeah , something grippable , I mean we don't we don't we don't wanna go spongy , maybe . Yeah ."
"[21:54] Speaker_D | Yeah , so something , m m instead of a necess yeah , grip , I'm thinking grip more than like sinking into your hands , you know , i and I think I'm envisioning more like , you know , the material that you have when you sit on like a bicycle , so that it doesn't hurt when you're sitting down for a long time , like I'm imagining that sort of thing , I don't know what th that material's called ."
[22:08] Speaker_A | Mm-hmm .
[22:10] Speaker_B | Mm-hmm .
"[22:13] Speaker_B | Yeah , I think that given the list of materials I w I was forwarded it's that seems doable ."
"[22:22] Speaker_A | F for sure , or maybe like"
"[22:26] Speaker_A | um couple main ones being like , I dunno , lemons or strawberries or something ."
[22:30] Speaker_B | The buttons could be fruit-shaped . Oh well it's quite easy to s shape thing like carrot isn't it ? Or maybe the buttons could be shaped like different fruits .
[22:32] Speaker_A | Could they be smelly ?
[22:38] Speaker_A | I don't know .
"[22:41] Speaker_A | Or carrot shaped , mm ."
[22:48] Speaker_D | What about the idea of like a round remote ? Instead of like a vertical up and down one . Like in terms of holding it . Like that's a f shape of a fruit . Just to tie it in a little .
[22:52] Speaker_C | Kind of like a potato .
[22:57] Speaker_A | Might would you think you you do you think you'd be able to hold it ? 'Cause I think the reason they're long is yeah .
"[23:06] Speaker_C | Depends . When you when you use a remote , do you press the buttons with your thumb , usually ?"
[23:06] Speaker_A | Harder to push .
[23:11] Speaker_D | Yeah .
[23:11] Speaker_C | Or your fingers ?
"[23:16] Speaker_C | Or maybe you want something that's shaped like a mobile phone , so you you hold it in one hand , and you press the buttons with your thumb ."
[23:20] Speaker_A | But then the buttons would have to be very small . Don't you think ?
"[23:20] Speaker_B | Yeah , that's ts how I tend to do it ."
"[23:24] Speaker_D | Yeah , 'cause otherwise your fingers can't move around . But I like i"
[23:24] Speaker_B | No just thumb-sized . Jus
"[23:27] Speaker_A | But I mean in order to get to all of them , you know ."
[23:29] Speaker_C | Yeah .
[23:30] Speaker_B | Yeah .
[23:30] Speaker_A | They would have to be within a certain amount of space with each other .
"[23:31] Speaker_C | Maybe . But if you've only got like four or five buttons anyway , then it's it's not so much a problem , perhaps ."
[23:32] Speaker_B | That's true .
[23:36] Speaker_B | Right .
"[23:37] Speaker_B | I When I'm when I'm pressing buttons on my iPod , that's how I do it , hold it and press the four . Yeah ."
[23:42] Speaker_A | Mm-hmm .
"[23:45] Speaker_B | Yeah , or in and use my thumb or my pointer finger on the touch scroll wheel ."
[23:45] Speaker_A | Mm-hmm .
[23:50] Speaker_D | I love the idea of the wheel like the iPod . 'Cause th
[23:50] Speaker_C | And you find that works quite well ?
[23:52] Speaker_A | Mm-hmm .
"[23:56] Speaker_C | Is that The button on an iPod , is it what is it , is it just four buttons or is it li more like a scroll thing ?"
"[24:00] Speaker_D | It's like five , 'cause there's one in the middle ."
"[24:01] Speaker_A | It's a scroll , yeah , it's a wheel ."
"[24:07] Speaker_A | The one I have doesn't have the four on i like around it , I don't think ."
"[24:10] Speaker_B | Oh yeah , you had one of the in-between ones , when they weren't doing that anymore ."
"[24:27] Speaker_B | Ts and you press the centre button , that's that's your all-purpose select button right there ."
[24:27] Speaker_C | Right .
"[24:29] Speaker_C | Oh , I see , right , yeah . Oh , okay . Yeah , that's quite a good design ."
"[24:31] Speaker_B | Since it's the one in the centre that's not marked , yeah ."
"[24:36] Speaker_D | I think why it would be good for us is 'cause like you could have the same wheel sort of effect for like channel flipping and then the other one could be like for volume . Like just the idea of like those so few buttons for main things , but then how you could go back to the menu and like , I dunno if we would want it on the screen there or on the actual T_V_ . I kind of am wanting to say on the T_V_ , 'cause if you're changing the brightness , don't you wanna see it happening , kind of ? And then you could still have that available ."
[24:43] Speaker_B | Yeah .
[24:46] Speaker_B | Uh uh t
[24:55] Speaker_B | Yeah .
[24:57] Speaker_B | Hmm .
[25:00] Speaker_A | Mm .
[25:00] Speaker_C | Yeah .
[25:01] Speaker_B | Yeah .
"[25:02] Speaker_B | Yeah , I think an L_C_D_ screen might be good in theory , but not as useful in practice ."
"[25:07] Speaker_C | I think it could be difficult in practice , yeah . Also z yeah , 'cause you would be z looking down at the L_C_D_ screen , than back up at your T_V_ and people don't wanna do that ."
[25:10] Speaker_B | Yeah .
[25:13] Speaker_D | Mm-hmm . Mm-hmm .
[25:13] Speaker_B | Right .
"[25:17] Speaker_A | Okay um we have we've about fifteen minutes left , so I'm I'm gonna"
"[25:19] Speaker_B | Oh we probably have to get going , don't we ?"
[25:23] Speaker_D | Uh-huh .
"[25:24] Speaker_A | continue with my pres presentation . Um I've one more slide before we close , but in that slide is when we need to make decisions about this these kinds of things , so I'll just bring that up and show you all"
"[25:41] Speaker_D | If I get any more information of fruits and vegetables , I'll let you know ."
"[25:44] Speaker_B | Could we uh could we have changeable covers like for your mobile ? In different fruit and vegetable colours , yeah ."
"[25:53] Speaker_C | Yeah , it's possible ."
"[25:54] Speaker_A | Yeah , and then like the the covers could be spongy latex wherea but the actual model could be titanium ."
[25:57] Speaker_B | Exactly .
[26:01] Speaker_B | And you could co-ordinate with your house or whatever . All these options .
"[26:05] Speaker_C | I think maybe th the packaging , it should be like a lemon and the the packaging is like the peel . So instead of opening the box you just kind of peel it , and the remote control's inside ."
[26:13] Speaker_B | Ooh .
[26:17] Speaker_A | Ah hmm hmm hmm .
[26:23] Speaker_B | Yeah .
[26:26] Speaker_B | Mm . Options .
[26:27] Speaker_D | Lemons ?
"[26:29] Speaker_A | Okay , um components concept . Energy , chip on print ."
[26:42] Speaker_A | That's th th this is the agenda they gave me . So can you just explain what that is real quick ?
"[26:44] Speaker_B | Alright , so um decisions , what the okay deci decisions on energy I'm thinking is based on the battery . Um I dunno , what do people think about this kinetic battery idea ?"
[26:51] Speaker_A | Mm-hmm .
[27:00] Speaker_B | Yeah .
"[27:00] Speaker_D | Yeah , I mean , it would"
[27:04] Speaker_D | t totally take care of our problem of not wanting to change batteries .
[27:07] Speaker_B | Yeah .
"[27:08] Speaker_C | Yeah , um I think it's good , as as long as we consider the the cost and the uh how reliable it is , but as far as I know , the technology is good ."
"[27:14] Speaker_B | Right , I haven't gotten any yeah , any more information on cost other than it's more expensive than a regular battery , but um but if we're using a an i a cheaper chip , then it'll even out , I think ."
[27:17] Speaker_D | Costs .
[27:28] Speaker_B | Um circuit boards .
"[27:31] Speaker_B | Um yeah , I got a whole bunch of information on how circuit boards are produced . They're they're thin fibreglass with copper wires etched on to them , and di I think they're quite easily printed on by machine , which is chip on print is where the machine prints on the wires and solders it all together for us . I don't really know what to tell you as far as decisions . I wasn't really given any options , I was just given that this is how they're done ."
[27:54] Speaker_A | Okay .
[28:04] Speaker_A | If they're if they're really options .
[28:06] Speaker_B | Yeah .
"[28:07] Speaker_B | I'm sorry , I did f"
"[28:08] Speaker_C | Al all circuit boards are pretty much the same , I think . Uh it's fairly fairly standard ."
[28:08] Speaker_A | Okay .
[28:12] Speaker_B | Yeah .
"[28:15] Speaker_A | Um okay , then we'll move on to the case ."
"[28:19] Speaker_A | Um oh bu I guess maybe if we decided on like a simple , a regular , or an advanced chip , maybe ."
"[28:24] Speaker_B | Right . Well okay , here's the here's the thing on the chips that I that I got . Um simple , regular , advanced chip on print . The chip on print includes an infrared sensor , so we don't have to worry about that ."
"[28:37] Speaker_B | Um ,"
"[28:39] Speaker_B | 'kay , the pushbutton if we're gonna have pushbuttons , they require a simple chip , but a scroll wheel requires a regular chip , and an L_C_D_ requires advanced . Do we want a scroll wheel , or do we just want pushbuttons ?"
[29:06] Speaker_C | I don't think it would really work .
"[29:08] Speaker_B | Yeah , th it'd be it'd be handy for going through if there was an on-screen menu of your channel choices , than you can scroll down on the scroll ."
"[29:09] Speaker_C | Yeah , you really need buttons for changing a channel ."
[29:17] Speaker_C | Yeah .
[29:21] Speaker_B | Yeah .
"[29:22] Speaker_A | We have five minutes left for the meeting , so ."
"[29:23] Speaker_D | and the volume would just be like the same way , forward and backward as I'm just thinking like it would make it much like sleeker sort of looking . And otherwise , no matter how may buttons we have , we're gonna have like , you know , black with red sticking out and th no it's gonna inevitably sort of start looking like those group of sort of ugly ones that we saw stacked up ."
[29:26] Speaker_B | Yeah .
[29:32] Speaker_B | Yeah .
[29:33] Speaker_C | Yeah .
[29:42] Speaker_C | Yeah .
[29:46] Speaker_B | Hmm .
"[29:47] Speaker_A | So , have a scroll for volume ?"
[29:50] Speaker_B | F or for all those secret functions ?
[29:53] Speaker_B | When you get on the on-screen menu of all your functions that your remote could do for you without the buttons and you could have a scroll wheel to go through those menus .
"[30:06] Speaker_B | Right . So we could either go with a simple or a regular chip , depending and maybe we could table that decision for later ."
[30:13] Speaker_A | Um .
[30:14] Speaker_B | I don't know .
"[30:17] Speaker_A | I think w well I think when we go on to the une userface , we're gonna have to decide the interface we're gonna have to decide um whether we're gonna have a scroll or not ."
[30:22] Speaker_B | Okay .
"[30:25] Speaker_B | Well , let's think about that while we talk about the case ."
"[30:27] Speaker_A | Okay , let's do case ."
"[30:28] Speaker_B | Uh I'm kinda liking the idea of latex , if if spongy is the in thing ."
[30:31] Speaker_C | Yeah .
"[30:33] Speaker_A | I'm a little um I'm a little hesitant about it , because I'm worried about protecting the stuff on the inside ."
[30:39] Speaker_B | Okay .
"[30:40] Speaker_D | Oh could it be hard , and then something around it ?"
"[30:42] Speaker_A | Yeah , I would be more okay with like a titanium actual thing and then maybe like a mobile phone kind of thing ."
"[30:46] Speaker_B | N oh wha what I've what I've seen , just not related to this , but of latex cases before , is that there's uh like a hard plastic inside , and it's just covered with the latex . Not too thick a layer of latex , just enough to be grippable , like bike handles or or anything that you've seen like that . The inside is hard . I don't think we need to worry about protecting the circuit board , I think that that's done for us ."
[30:51] Speaker_A | Mm-hmm .
[30:58] Speaker_A | Okay .
[31:00] Speaker_A | Mm-hmm .
[31:02] Speaker_A | Okay .
[31:09] Speaker_A | Ge o
[31:11] Speaker_A | Okay . So we uh we do want latex .
[31:12] Speaker_C | 'Kay . Yeah .
[31:15] Speaker_C | Yeah .
[31:16] Speaker_B | Yeah .
[31:17] Speaker_A | Okay .
"[31:19] Speaker_A | Latex . Um and probably in colours , maybe fruity , vegetable colours ."
[31:25] Speaker_B | Yeah .
[31:26] Speaker_A | Fruity colours . Okay um let's go to the ufe user interface then we'll come back to the chip I suppose .
"[31:36] Speaker_B | Oh and we want a curved case , yeah ? Or a double-curved ?"
"[31:40] Speaker_A | Well , we don't really know what the difference is , right ?"
[31:42] Speaker_D | I'm thinking curved of some sort .
[31:43] Speaker_A | Yeah .
[31:44] Speaker_C | Yeah .
"[31:48] Speaker_A | Um okay , interface , the type and the supplements ."
"[31:54] Speaker_A | So push or scroll , right ? Or both ?"
"[32:01] Speaker_C | And I think if we wanna keep our costs down , we should just go for pushbuttons , 'cause then we can have a a simple chip and it's simpler , it's it's cheaper to make pushbuttons than it is a scroll button . So in terms of uh in terms of uh economics it's probably better to have pushbuttons ."
[32:13] Speaker_B | Good point .
[32:14] Speaker_A | Mm-hmm .
"[32:20] Speaker_A | And if we had a sc an on-screen um kind of thing that you could scroll through , like you can use your buttons to scroll through things . I think that yeah . For channel surfing I think a scroll an actual like an iPod's kind of scroll thing would be too fast , I dunno ."
"[32:27] Speaker_C | Yeah , yeah , it's uh it's it's fairly simple ."
"[32:36] Speaker_B | Yeah . I say pushbuttons at least unless we get any information but I have no idea how much more expensive a scroll wheel is than than a pushbutton , but it's gotta be some more expensive , so I think it might be better to put our money into the stuff like the kinetic battery and the cool case"
[32:49] Speaker_C | Yeah .
[32:56] Speaker_A | Mm-hmm . Is that okay with you ? How you feeling ?
[32:56] Speaker_C | Yeah . Interesting .
[33:05] Speaker_A | Mm-hmm .
[33:08] Speaker_A | It might be cool enough .
[33:12] Speaker_B | Yeah .
"[33:13] Speaker_A | Okay , so we're gonna go with um type pushbuttons , and then supplements , how are we gonna do that ?"
[33:18] Speaker_C | Yep .
"[33:22] Speaker_C | Uh what do you mean by supplements , exactly ?"
[33:25] Speaker_A | Um I assume that's what else we're gonna like h ha the um the additional buttons we can use .
[33:33] Speaker_B | Oh .
"[33:33] Speaker_A | So we're gonna have like a menu button , so that we can access on-screen things then ? Okay , um so we're doing an on-screen menu that we can scroll through ."
[33:35] Speaker_C | Yep .
[33:38] Speaker_C | Yeah .
[33:38] Speaker_B | Alright .
[33:41] Speaker_C | Yeah .
[33:50] Speaker_D | Like a radio type sorta situation ?
"[33:55] Speaker_A | Pre-set channels and then we're gonna need um numbers one through zero , right ?"
[34:01] Speaker_C | Uh we wouldn't even need the numbers .
[34:02] Speaker_B | No .
[34:05] Speaker_C | I think maybe numbers seems is kind of old-fashioned .
"[34:06] Speaker_A | Well , but in order to pre-set a cha oh I guess you can just hold it down when you get to one when you're scrolling through ."
"[34:10] Speaker_C | Yeah , yeah , you can just and you need some kind of , I dunno , sort of up down kind of button , but the volume control could double for that , for example ."
[34:11] Speaker_B | Mm .
"[34:16] Speaker_B | Yeah , up down ."
"[34:20] Speaker_A | Mm-hmm . Okay , um finishing the meeting now . Um our next meeting starts in thirty minutes , um you each have things to do , look and feel design , user interface design , product evaluation , and you two are going to work together on a prototype using modelling clay . You'll get specific instructions from your personal coach ."
[34:37] Speaker_D | Wow .
[34:38] Speaker_A | Um did we decide on a chip ? Let's go with a simple chip ? Okay .
[34:40] Speaker_B | Simple chip .
[34:41] Speaker_C | Yep .
[34:43] Speaker_A | We are done . Thank you everyone .
"[34:49] Speaker_A | Oh I di these are already in our shared folder , so ."
"[34:51] Speaker_B | Okay , cool ."
