[00:20] Speaker_D | Okay .
"[05:17] Speaker_C | Um , what other things do we see here , well , um if you give it a touch it does have actually a bit of a spongy feel , um , so I think that will work well with regards to our market . Um and uh let's see , well clearly there's gonna be some more colours and what not available . Um uh do you have anything else to add to that ?"
"[05:43] Speaker_B | Um I worried about the materials , it is uh the entire thing is covered in a rubber coating so it's very durable uh , it's not gonna break like some types of plastic that's dropped ."
"[05:58] Speaker_B | Um , and of course as you can see and if you touch it it does have that nice squishy feel ."
"[06:05] Speaker_C | It's actually important to note that the television , uh you know if there's an earthquake or anything like that , that i it actually is edible inside ."
"[06:20] Speaker_A | Oh well done yeah , yeah oh ok"
[06:21] Speaker_D | Nice .
[06:29] Speaker_C | Um it's encased in a new uh type of uh
"[06:33] Speaker_D | Oh okay , there's preservatives involved , we don't need to worry , okay ."
[06:34] Speaker_C | polymer yeah . It's fine .
[06:37] Speaker_C | Hmm .
[06:37] Speaker_D | Fair enough .
"[06:41] Speaker_C | It's pos a possible new product . Um , but I think that's I think that sums up the main features of our of the remote , um I dunno if you guys have any questions or f whether that uh whether we need to worry about any uh other marketing areas or anything of that nature . Um , did we come in under budget ?"
[06:44] Speaker_D | Okay .
[06:51] Speaker_A | Brilliant .
[06:52] Speaker_B | Right .
"[07:03] Speaker_B | Uh we did , yeah . This cost well to put this into um production , we're looking at about what was our goal ? It was twelve fifty Euro um and this actually came in at about eleven ninety nine ."
"[07:19] Speaker_B | Um , so I was quite pleased with that . One thing that we didn't do um obviously we had a choice with the buttons whether to use scroll buttons or standard rubber buttons , but we just went for a classic rubber button and um since we did that we didn't have to use as many microchips which was quite nice and that's what helped keep the cost down . So even though it has a lot of modern technology , um for example the voice recognition , in a lot of ways it's just a simple remote and um I think if we shopped around for other manufacturers um we might be able to get even cheaper ."
[07:21] Speaker_C | Mm-hmm .
[07:32] Speaker_D | Mm .
[07:38] Speaker_A | Brilliant .
[07:39] Speaker_D | Mm .
[07:47] Speaker_D | Okay .
[07:49] Speaker_C | Mm .
"[08:03] Speaker_B | Oh no , we haven't talked about that yet have we ?"
"[08:04] Speaker_C | So uh so uh yeah on the back here you all noticed this area here which is actually the voice recognition uh uh console and uh I think it's nicely designed into the into the overall look . Um , but basically the voice recognition uh incorporates um the latest designs that our research team has been able to cufw uh come up with . Basically uh quite similar to the coffee maker um design that we were talking about earlier and um , I think that uh has given a proven um ease of use and what not . And uh allows features like the remote actually talking back to the user um , so ."
[08:11] Speaker_D | Okay .
[08:18] Speaker_D | Yeah .
[08:30] Speaker_D | Mm 'kay .
[08:40] Speaker_B | Hmm . Yeah .
[08:48] Speaker_D | Right .
[08:52] Speaker_A | Cool .
[08:52] Speaker_B | Any questions ?
"[09:05] Speaker_B | Um , do you wanna answer this one or do you want me to answer it ?"
[09:06] Speaker_D | Do we know where we stand on that yet ?
[09:07] Speaker_C | Well we didn't quite have enough material uh .
"[09:12] Speaker_B | Yeah , yeah ."
"[09:12] Speaker_C | Oh I see , right , um ."
[09:22] Speaker_D | Okay .
"[09:24] Speaker_D | Just veneer really , yeah . Okay ."
[09:26] Speaker_C | Right . Actually this bottom red ring here just unclips and then you put a a new a new uh a new plate on top of that . So I mean there are I we definitely priced out a spongy even spongier non-natural look um materials which I think worked out fine . We also continued on with the ideas that f following uh Apple's colour schemes with the kind of the uh light orange and the green .
[09:30] Speaker_D | Mm-hmm .
[09:33] Speaker_D | Okay .
[09:37] Speaker_D | Right .
[09:44] Speaker_D | Okay .
[09:47] Speaker_D | Mm 'kay .
"[09:52] Speaker_D | Okay , very cool ."
"[09:55] Speaker_B | It's not it's not quite a a face plate , it's more like a pseudo-face plate because it's simple enough that in the factory it could we could very easily put a different one on it , it locks into place such that , you know , it's pretty permanent but at the same time , if we wanna go the other way it's just a matter of a couple of adjustments and we could go the face plate way if you know what I mean ."
[10:00] Speaker_D | Okay .
[10:17] Speaker_D | Okay .
"[10:19] Speaker_D | Yep . It's still an option if we need it . Very cool , nice job ."
[10:20] Speaker_B | Yeah .
"[10:24] Speaker_A | Right , yeah thanks guys that's very , very good work . I like it , brilliant ."
[10:44] Speaker_B | Oh .
[10:49] Speaker_B | Ooh .
"[10:59] Speaker_A | So we'll just if we can just itemize what's in here , we've got this it's a solar cell thing right ?"
"[11:05] Speaker_B | Right uh we didn't really touch on that but it it's in there , yep ."
[11:07] Speaker_A | With a back-up battery ?
[11:12] Speaker_C | The voice recognition area actually doubles as uh as the solar cell area . Yeah .
[11:31] Speaker_D | Mm-hmm .
[11:31] Speaker_A | Okay .
"[11:38] Speaker_B | Yeah , one big curve I guess you could say ."
[11:39] Speaker_D | Mm-hmm .
[11:51] Speaker_A | um with this other drop-down so maybe we've got two push button interfaces don't we ?
"[11:55] Speaker_B | Yeah , mm-hmm ."
[11:56] Speaker_A | Um .
"[12:02] Speaker_A | I guess it's uh we've got a sort of a wood materi a rubbery type material that throughout , yeah ."
"[12:07] Speaker_B | Yeah , special . And s I guess you have to mark special colour and special form as well , don't you ? 'Cause it i it is very unconventional , I like to think of it as unconventional ."
[12:19] Speaker_A | So it looks like
[12:22] Speaker_D | M come in at sixteen ?
"[12:23] Speaker_A | a bit over budget , um ."
"[12:23] Speaker_B | Oh . Huh , doesn't match up does it ?"
"[12:28] Speaker_A | So what we could do perhaps , a simple fix would maybe to switch away from the solar cells"
[12:39] Speaker_B | How do you feel about that ?
"[12:40] Speaker_C | I mean I think that uh if we're talking about it being one of our main selling features , being environmental and without the batteries and what not , although it does still have a battery so I'm not sure that you know what the sell is on that ."
[12:52] Speaker_D | Yeah .
"[12:53] Speaker_B | I mean we could take we could take the battery out of it you see and it'd probably work ninety nine per cent of the time but you're gonna have to set up a call centre for that one per cent of the time when people are calling and saying oh look my remote isn't working what am I gonna do ? People'd be real upset . I think in the long-run it's better to keep the battery , it's hard to scrap the whole cell battery idea 'cause that's so integral to the theme that we have ."
[13:05] Speaker_A | Mm-hmm . Mm-hmm .
[13:06] Speaker_D | Mm k .
[13:08] Speaker_D | True .
[13:20] Speaker_A | Hmm .
"[13:29] Speaker_A | What's difficult , we have all these things integral to the um to the design of it that we just can't back out of now , it would have to be seems like we'd have to go back to"
[13:33] Speaker_D | Nah .
[13:40] Speaker_A | square one
[13:50] Speaker_B | Yeah .
[14:11] Speaker_B | Hmm .
[14:11] Speaker_C | I mean you might be able to sway me on the idea that we our main selling point could be already this voice recognition thing I mean that's what sets us apart right ?
[14:37] Speaker_B | Right .
"[14:37] Speaker_C | And the reality is you know , for me from an ideological stand point , I'd like to stick with the uh the solar cell , but I h kind of have to throw myself in the in the business structure model here and uh you know I think I think that I think that we need to come to a compromise here and maybe move ahead with the project , without the solar cell ."
[14:47] Speaker_D | Right .
[14:49] Speaker_D | Yeah .
[14:50] Speaker_B | Right .
[14:51] Speaker_A | It's either or .
[14:53] Speaker_D | Yeah .
[15:01] Speaker_B | Yeah . I guess we might have to do that . It's the only way we're gonna get below our uh goal isn't it ? Of twelve fifty .
[15:02] Speaker_D | I think unfortunately that's our best option .
[15:07] Speaker_D | Mm .
[15:09] Speaker_A | 'Cause we can't remove the push buttons 'cause they're um and we can't get rid of the uh I mean removing the changing the case wouldn't be so much of a
"[15:12] Speaker_B | Yeah , ."
[15:22] Speaker_C | Savings .
[15:24] Speaker_D | Mm-mm .
[15:32] Speaker_D | Yeah .
[15:36] Speaker_A | Yeah .
"[15:39] Speaker_A | Alright , so we're in agreement on that ."
[15:39] Speaker_B | Gotta do what you gotta do .
[15:42] Speaker_D | Unfortunately I think we are .
"[15:46] Speaker_C | No , I think that was a good compromise you brought forward Sarah ."
"[15:59] Speaker_A | Moving along swiftly . Um , so I guess now we just go to the project evaluation"
[16:07] Speaker_A | which I will allow Sarah to take over .
[16:09] Speaker_D | That would be me . Um cord ?
"[16:12] Speaker_A | Ah of course , sorry ."
[16:13] Speaker_D | No problem .
[16:14] Speaker_A | Whoosh .
"[16:17] Speaker_D | Can you reach , that would be great , thank you ."
[16:17] Speaker_C | Yep .
"[16:53] Speaker_D | Basic questions like , you know , does it turn on ? Does it respond to voice recognition ? And overall , in general , it looks like it's coming up to par . Um , the only thing is with with the pull-out panel , that is , can it take some adjusting because it's a new sort of interface , um that looked like it was coming up rough , but then , once you get used to it , it does make a lot of sense . So I think overall we're headed in the right direction ."
[17:02] Speaker_B | Mm .
[17:18] Speaker_B | Really good .
[17:19] Speaker_C | They like that spongy feel .
"[17:21] Speaker_D | Yeah . It looks like it's going over well , so"
"[17:23] Speaker_C | And the paging function works well , that's good to hear , we worked hard on that one ."
[17:24] Speaker_B | Six ?
"[17:25] Speaker_D | we're we're good yeah . Yeah . It's I think eventually if we do um branch out with this product maybe we do have a higher budget options and if it goes over with this model we can look into um wider range voice recognition like from other rooms of the house and stuff , but for now , what we've got is working in the range we need it for , so it's all good ."
[17:27] Speaker_B | We did .
[17:46] Speaker_A | Brilliant .
[17:46] Speaker_B | I am bit disappointed about losing the solar panel but it's okay .
[17:46] Speaker_D | That's everything from me .
[17:49] Speaker_D | Yeah .
[17:49] Speaker_A | Hmm .
[17:51] Speaker_B | Mm .
"[17:55] Speaker_D | Okay , do you need the cord back ?"
"[17:57] Speaker_A | Um yeah , I was just go on ."
[18:00] Speaker_B | I know .
[18:02] Speaker_A | Well they don't own tellys anyway do they ?
[18:04] Speaker_C | I guess that's true .
[18:04] Speaker_B | True .
"[18:08] Speaker_A | Right . So , um , this one's a bit unclear to me to be perfectly fair , um . I got this slide from the coach and I'm not sure what it's connected to . Um so I guess we are going to discuss um our project process um and that is gonna go into my report . So I guess this is the point where we go um uh out of role it looks like and talk about our satisfaction for room for creativity and so forth and how that all worked , I guess , um ."
[18:44] Speaker_B | Okay .
[18:45] Speaker_D | As in within the team or ?
[18:48] Speaker_A | I think so yeah .
[18:49] Speaker_D | Okay .
"[18:52] Speaker_A | I mm-hmm , I think so ."
[18:54] Speaker_B | 'Kay .
[18:54] Speaker_A | I think hope I'm not screwing up an experiment .
"[18:55] Speaker_D | It is now , you're in charge so there you go ."
"[19:03] Speaker_A | But I trust that she would jump in if I was so okay fair enough . Um right , um so any thoughts ?"
[19:05] Speaker_B | Yeah .
[19:05] Speaker_D | Whatever .
[19:12] Speaker_B | Are we considering these points here ? Okay .
[19:13] Speaker_D | Um .
[19:14] Speaker_A | Yeah .
[19:15] Speaker_D | I think they're starting blocks yeah .
[19:18] Speaker_A | What do you guys feel about the process ?
"[19:22] Speaker_D | Um , you know I think in general , for a day's worth of work we actually were relatively productive , considering the little amount of input we had going in . Um , and the technology has definitely been a help , it's really been interesting to try out all this new stuff ."
[19:30] Speaker_A | Mm-hmm .
[19:37] Speaker_C | We didn't use the whiteboard at all .
[19:39] Speaker_B | No .
"[19:39] Speaker_A | No , no whiteboard ."
"[19:52] Speaker_C | Um , also had I not been intrigued about the pen , I don't think I woulda used it at all , I didn't write barely anything ."
"[20:00] Speaker_D | Yeah I think I was taking notes more often than usual just 'cause I liked the pen , yeah ."
"[20:03] Speaker_B | Yeah , it's true ."
[20:08] Speaker_B | Mm .
[20:08] Speaker_C | Uh .
[20:10] Speaker_A | Was pretty cool tack though .
[20:12] Speaker_C | Yeah .
[20:13] Speaker_B | Definitely .
[20:17] Speaker_B | As you write your personal coach .
"[20:19] Speaker_D | Yeah , but I didn't get a response so we'll see ."
[20:26] Speaker_D | Okay that would be kinda creepy .
[20:28] Speaker_A | Attempts to contact coach ineffective .
[20:43] Speaker_D | I think so .
[20:48] Speaker_D | And even then we did get a decent product turned out although it's not everything we wanted it to be .
[20:52] Speaker_C | With the natural look .
[20:52] Speaker_B | Yeah .
[20:54] Speaker_B | That's very natural .
[21:06] Speaker_B | Yeah .
"[21:08] Speaker_A | Yeah , I think , yeah re I thought it was like really creative actually , I mean ."
"[21:11] Speaker_D | Mm yeah , I'm impressed ."
"[21:15] Speaker_B | And to prove that we weren't wasteful we didn't waste a single bit of Play-Doh , we used every bit ."
"[21:26] Speaker_B | My one my one criticism is that we didn't have enough colours to work with , we only had four , wasn't enough ."
[21:35] Speaker_B | I know it could have been amazing .
[21:37] Speaker_D | Oh well .
[21:39] Speaker_A | What did you guys think about the the the roles ?
[21:44] Speaker_B | Hmm .
[21:48] Speaker_D | They were good .
[21:52] Speaker_D | Yeah .
"[21:55] Speaker_B | I think it was pretty clever 'cause we were never able to get too far off track because the information came in at the right time and kind of filled in the gaps enough . At the same time you had enough room to kind of just make things up , which was kind of fun ."
[22:04] Speaker_D | True .
[22:10] Speaker_D | Do your own . Though I did feel like th the level of information dropped off severely over the course of the day .
[22:16] Speaker_B | Yeah .
"[22:17] Speaker_D | I mean maybe it's just me but I didn't actually get any information for the last presentation at all . Nothing , I didn't even get an email , like that was it ."
"[22:22] Speaker_A | That's true , I I got this spreadsheet ."
"[22:28] Speaker_D | So , yeah , I feel like that was slightly lacking but then you know , fill in the blanks on your own , level of creativity upped . Whatever ."
"[22:36] Speaker_C | Well I think that was I think that was an issue I kept finding with regard to well no but also yeah when I was reporting about what each of us was doing I was often confused as to what you were doing um and then I also felt like you know a lot of our discussion would centre around n specifically what my task was because that was kind of the interface portion which was what the whole project was about uh but and then in the end I think our jobs kind of melded together a little bit more , which was fine ."
[22:39] Speaker_A | Of what to do .
[22:44] Speaker_B | Mm .
[22:44] Speaker_D | Mm-hmm .
[22:50] Speaker_D | Mm .
[22:57] Speaker_B | Yeah .
[22:58] Speaker_D | Yes .
"[23:00] Speaker_A | Mm , mm ."
"[23:00] Speaker_D | Hmm , very much so ."
[23:04] Speaker_B | Yeah . That was fun . I think the most helpful thing out of everything was getting the the PowerPoint slides already put together for you 'cause if we didn't have that there's no way we could have got all that done in time .
[23:14] Speaker_C | Mm-hmm .
"[23:14] Speaker_D | Yeah , already having the formatted stuff helped a lot ."
[23:18] Speaker_D | Very much so .
[23:20] Speaker_A | Cool .
[23:22] Speaker_C | And I think your leadership was quite good .
[23:23] Speaker_D | Hmm .
[23:24] Speaker_B | It was really good yeah .
[23:25] Speaker_A | She said I I I she actually made a comment off boy you're getting into this and I really I think it's true I did get I I felt like I got way too into it .
[23:30] Speaker_D | Yeah .
"[23:32] Speaker_D | That's kind of a good thing though , you know , give the rest of us some structure to work with so hey ."
[23:33] Speaker_A | I felt like I slipped into it a lot .
[23:33] Speaker_B | It's kinda fun .
[23:37] Speaker_A | I dunno .
[23:37] Speaker_C | An so is that the first time you've taken on that kind of role ?
"[23:40] Speaker_A | The first time I've ever done anything like yeah project project management . I usually organise crap , it's one thing to do , you know set up a party with your friends , you know ?"
[23:44] Speaker_D | Hmm .
[23:47] Speaker_B | Yeah .
[23:48] Speaker_D | Yeah .
[23:49] Speaker_B | Little different .
"[23:50] Speaker_A | But you guys felt that you could keep the , yeah , suspension of disbelief kind of like like the role and the okay ?"
[23:57] Speaker_B | Yeah .
[24:00] Speaker_B | Yeah .
"[24:13] Speaker_A | Yeah , yeah ."
"[24:16] Speaker_A | Maybe in in Legos you know ? Be fun with Legos too , like make a remote control or spaceship , we used to have spaceship Legos did you guys ever used to build spaceships with Legos everybody knows best spaceships ever . Um you guys felt like there was enough teamwork in all ?"
[24:19] Speaker_C | Possibly .
"[24:25] Speaker_C | Oh yeah , still have 'em ."
[24:26] Speaker_D | Yeah .
[24:28] Speaker_D | Totally .
[24:33] Speaker_B | Yeah ?
[24:33] Speaker_D | I think so .
[24:36] Speaker_C | Yep .
[24:37] Speaker_A | Hmm .
"[24:43] Speaker_D | Though we didn't actually I mean other than minor discussion at meetings there wasn't except for the actual building , but I feel like if this was a team project there actually would have been much more of the collaborative like brainstorming , use the board well and this would have been six months' worth of work , not like three hours' worth of meetings ."
[24:48] Speaker_B | Yeah .
[24:49] Speaker_A | It's true huh ?
[24:59] Speaker_A | Yeah .
[25:02] Speaker_C | I mean I think had the issue been more serious we probably woulda brainstormed more during our meetings as a team .
[25:06] Speaker_D | That's true .
[25:06] Speaker_B | Yeah .
"[25:09] Speaker_A | Yeah . Course I'm I'm conscious of the idea of the Project Manager asking if you guys feel like there's a team you know it's like , kind of like , like hmm . It d"
[25:27] Speaker_B | Wonder why is there anything about the way that we got so much inform what was it that kept us from going to the the board ?
[25:34] Speaker_A | I don't know . I I don't know if there was a ri I th
"[25:36] Speaker_D | Mine was the mics . I didn't feel like getting up and down and dealing with all these wires , I was afraid I was gonna break something actually ."
"[25:39] Speaker_B | Yeah , that's it 'cause the mics are loose and each time you get up it's s a possibility of tripping over something or getting tangled or ."
[25:43] Speaker_D | Yeah .
[25:45] Speaker_D | Yeah .
[25:47] Speaker_C | Well I dunno what I woulda shown on that board .
[25:47] Speaker_D | Yeah .
"[25:50] Speaker_D | True , but it didn't even occur to me as an option , I mean I don't know that I would have but I know that I consciously didn't ."
[25:52] Speaker_A | Nor I .
"[25:56] Speaker_C | I mean it's just like the paper I don't know what I really needed the paper for . Um , because I've got this laptop . Standard , I just used it 'cause it's literally right in front of me ."
[25:59] Speaker_D | True .
[26:02] Speaker_D | Yeah .
[26:08] Speaker_D | Yeah .
"[26:08] Speaker_A | I wanna see the output files from these um , from the digital paper . I wanna see wh wh what my my handwriting looks like digitized because my handwriting is crap . I mean , just to see what it looks like in P_D_F_ format or something ."
[26:09] Speaker_D | Well it looks really professional .
[26:13] Speaker_D | I know .
"[26:17] Speaker_B | Yeah , that's it ."
"[26:24] Speaker_D | I know , I felt like I needed to be professional so I didn't like draw all over my paper and stuff . Okay , well not entirely , but still , I doodled less than I usually do ."
"[26:37] Speaker_A | T I I'm curious about what the de-briefing is gonna be like . You know , like what is the uh"
[26:43] Speaker_A | what exactly we're looking for here .
[26:45] Speaker_C | So is this all we need to get through ?
[26:47] Speaker_D | I guess .
"[26:47] Speaker_A | I dunno , I'm not sure what the new ideas found i is about ."
[26:50] Speaker_D | Um . It did it just say in an email that we need to discuss that ?
[26:50] Speaker_B | New ideas .
"[26:55] Speaker_A | Well , that's the thing I got i in the email I got this PowerPoint file but this slide was just there , mm-hmm . I didn't change this one at all ."
[27:01] Speaker_D | That slide was like that ?
[27:04] Speaker_B | Hmm .
[27:05] Speaker_D | Well .
[27:06] Speaker_B | I guess we're on the right track .
[27:06] Speaker_A | Um ch
[27:13] Speaker_A | W I kinda like th
"[27:15] Speaker_B | No , none ."
[27:16] Speaker_D | Uh I think they still do their job .
[27:19] Speaker_B | I think they're fine actually .
[27:23] Speaker_A | Yeah .
"[27:25] Speaker_B | Yeah , maybe a s a circle would be alright , different ."
[27:27] Speaker_D | Yeah .
"[27:34] Speaker_D | It's still gotta be technically car shaped or it won't fit on the road , you know ?"
[27:42] Speaker_A | Hmm .
[27:45] Speaker_C | What is that ? Our limited ability to think outside the box ?
[27:46] Speaker_D | Kind of .
[27:46] Speaker_A | So this was other costs .
[27:47] Speaker_B | Are we back into project mood ?
[27:48] Speaker_A | I dunno . I think this is
"[27:50] Speaker_D | Oh , how long was our meeting supposed to be ? How much time do we have left ?"
"[27:52] Speaker_A | forty ish I I I mm we should go on a bit yeah about the project eval , um ."
[27:59] Speaker_A | I dunno about you guys but I felt like
[28:02] Speaker_A | a bit
[28:07] Speaker_D | Mm .
"[28:10] Speaker_D | Yeah , at the beginning it started out and I felt actually like under pressure like the first couple were taking a lot of work and I was like had like all this brainstorming I was doing and then suddenly I was like well it's just another two minute presentation that you guys don't really care about anyway so type away . You know , you know what I mean like we all sort of knew where we were headed with it so it didn't feel like it mattered anymore ."
[28:15] Speaker_A | Yep .
[28:17] Speaker_B | Yeah .
[28:24] Speaker_A | Hey .
[28:28] Speaker_B | Yeah .
[28:30] Speaker_C | Yeah .
"[28:30] Speaker_B | Definitely when when I first filled out the questionnaire I was marking it probably higher in terms of how much I had to how much I stressed over it and then by the time I got to the last one I was like , you know , not very much ."
[28:35] Speaker_D | Mm-hmm .
[28:40] Speaker_D | Whatever . Yeah .
[28:41] Speaker_A | Mm .
[28:42] Speaker_C | Think it was also realisation of you basically just copy and paste what's given to you into your presentation which uh wasn't so clear to me at the beginning .
[28:47] Speaker_B | Yeah .
"[28:47] Speaker_D | Very much , yeah ."
[28:52] Speaker_B | Mm-hmm .
[29:00] Speaker_A | Oh .
[29:02] Speaker_A | What ? Really ?
"[29:03] Speaker_D | My slides were all blank , they'd have a title maybe and they were just empty ."
"[29:05] Speaker_C | Yeah , mine too ."
[29:07] Speaker_B | Me too .
"[29:07] Speaker_A | Did they not have they didn't like uh mine yeah they didn't come like this ? Like with this was what it looks like . This is what that looked like , literally , just like that . Interesting ."
[29:12] Speaker_D | Like with those words already on it ?
[29:14] Speaker_D | No .
[29:14] Speaker_C | No .
[29:18] Speaker_A | Uh-huh huh huh .
[29:19] Speaker_B | I deleted slides .
[29:23] Speaker_D | I think I added a slide one time .
[29:25] Speaker_C | I added many slides every time Yeah .
"[29:30] Speaker_B | That was pretty cool , it was a high moment of the whole experiment ."
[29:32] Speaker_D | Mm .
[29:35] Speaker_A | Interesting .
[29:41] Speaker_A | Any other thoughts come to mind ?
"[29:45] Speaker_B | I think it would fail , I think"
[30:00] Speaker_C | Even you .
[30:02] Speaker_D | Yeah .
[30:02] Speaker_B | I don't we kind of designed it to look little bit like a face .
[30:05] Speaker_D | I know it is .
[30:08] Speaker_B | It's a happy face .
[30:09] Speaker_C | Actually that looked a lot more like a tongue from previous to uh fr some other design uh modifications .
[30:10] Speaker_D | Mm .
[30:14] Speaker_A | Builds .
[30:20] Speaker_A | Mm .
[30:36] Speaker_D | Well huh . An interesting day all in all I would say .
"[30:38] Speaker_A | Uh , yeah , I'd say so ."
"[30:40] Speaker_C | So again I reiterate my question of how different we are comp compared to the other groups , especially between culture groups and what not ."
[30:47] Speaker_D | I know .
"[30:48] Speaker_A | Mm , I know ."
[30:51] Speaker_C | Mm .
"[30:52] Speaker_A | It seemed like everything flowed pretty logically . You know from the the the basics to the conce although the whole concepts thing , the whole concepts phase , I don't think I really understood like the concept . Well the id okay the notion of yeah I mean i it's not like I have a concept of a mug's material , it's just it is what it is . You know , maybe i rather than concepts i it should be th thought of we sh I I thought of I thought of rather than in terms of concepts I thought of it in terms of um like"
[30:56] Speaker_D | Yeah .
[31:05] Speaker_D | 'Cause it's such a functional item .
[31:13] Speaker_B | Yeah .
"[31:24] Speaker_A | proposed idea . And then the final would be like th the actual specified prototype or whatever , I dunno . But ."
[31:26] Speaker_D | Mm .
[31:36] Speaker_B | Hmm .
[31:36] Speaker_A | All in all it's kinda interesting .
[31:38] Speaker_D | Mm .
[31:40] Speaker_B | So we have more slides or ?
[31:48] Speaker_D | We got it to be .
[31:50] Speaker_D | Like cutting corners .
"[31:56] Speaker_D | Kind of , though it was really technically an evaluation of the product , not the project in general ."
[32:02] Speaker_A | Mm . True .
[32:03] Speaker_B | Mm .
"[32:03] Speaker_D | Which I'm not sure is the same thing , at the time that just i made more sense , but I could see if they were really asking about us ."
[32:11] Speaker_A | Yeah .
[32:14] Speaker_A | 'Cause we di we had a thu think about it . Um .
[32:19] Speaker_A | Yeah .
"[32:23] Speaker_A | And it's all recorded , woo-hoo . Yeah what I'm gonna I'm gonna put um I'm supposed to do this final report thing at the end so I'll put all that into the final report as well , or as much as seems like maybe not like the articles and stuff , like because and if and so forth , but I'll put most of it in the reports ."
[32:24] Speaker_D | Yay .
[32:24] Speaker_B | Hmm .
"[32:43] Speaker_D | Oh , I have to done I've I've done transcription before and it's really ridiculous how many words people say like just in the middle of their sentences like that that mean nothing ."
[32:50] Speaker_A | Oh yeah .
"[32:54] Speaker_A | There's a whole branch of psychology that looks into that , psycholinguistics ."
[32:56] Speaker_B | Really .
"[32:57] Speaker_D | There's a guy studying it here , yeah , he's studying ums and ahs or something . Yeah ."
[32:59] Speaker_B | Filler words or ?
"[33:00] Speaker_A | Yep , they're called um disfluencies ."
[33:03] Speaker_B | Disfluencies .
[33:04] Speaker_D | That's a good word for it .
[33:05] Speaker_A | Yeah we like our fancy phrases and terminologies for things .
"[33:09] Speaker_D | Just add some prefixes , sounds classier ."
[33:11] Speaker_A | Exactly uh I will save this into the
[33:19] Speaker_A | project documents .
"[33:20] Speaker_B | I find myself hitting the send and receive button on the email a lot , just out of boredom , like c come on gimme something ."
[33:23] Speaker_C | Mm .
"[33:31] Speaker_D | Yeah , we are addicts ."
[33:34] Speaker_C | That's scary yeah ?
[33:36] Speaker_B | It is scary .
[33:36] Speaker_D | Mm .
"[33:38] Speaker_A | I know , imagine we went the first ten y fifteen years of our lives without the internet . It's only in the last ten that we're like where's the internet ? I mean , you know , it just in the past five we've gone from twenty eight eight modems to broadband all the time ."
[33:45] Speaker_D | Yeah .
[33:48] Speaker_D | I yeah .
"[33:52] Speaker_C | Dude , I think we've had internet for like eighteen years ."
[33:52] Speaker_D | True .
[33:55] Speaker_A | No we have but I not in the sense that it's so un you know uh ubiquitous
