[00:32] Speaker_A | together .
"[17:46] Speaker_C | Context-sensitive instructions , depending on what the tel what mode the T_V_ or the D_V_D_ or something else is in ."
[17:49] Speaker_B | Right .
"[17:52] Speaker_D | Because I've seen mostly the standard ones , yeah . Now you have it now you have one with the very simple also . The idea is simple , but with a display , so you can see what you're doing . So maybe if we can incorporate the easiness of use ,"
[17:53] Speaker_B | Especially you might need something like that for training the speech recognition and yeah .
[18:01] Speaker_B | Mm-hmm .
[18:07] Speaker_B | Mm-hmm .
"[18:13] Speaker_D | uh with a display ,"
"[18:20] Speaker_C | You know , maybe what you could do is when somebody orders the device id you could send them like um a uh uh b some sort of a foam rubber um ball , and then they would squeeze it , and it would take the shape of their hand ."
[18:42] Speaker_D | Mm-hmm .
[18:56] Speaker_B | But th for that you'd also have to do sort of an average across families and things like that if unless everyone has their own personal remote .
[19:08] Speaker_A | Yeah .
[19:10] Speaker_A | I hope so .
[19:15] Speaker_B | Yeah .
"[19:18] Speaker_B | Well , already the customisability is a really good sort of new gimmick ."
"[19:23] Speaker_D | Although , what it was it uh it was uh Nokia that came out with this changeable colours . Right , you take it apart , and put on another face , take it off and put on another face and then they sold millions , millions ."
[19:28] Speaker_C | Mm-hmm .
[19:29] Speaker_B | Yeah .
[19:30] Speaker_B | Yeah .
"[19:32] Speaker_C | Right , mm ."
"[19:33] Speaker_B | And that took off , yeah , yeah ."
"[19:37] Speaker_D | So . So say with the f with the findings , with the research , easy to use something totally new . We have to come up with something totally new that is not on the market ."
[19:43] Speaker_B | Mm-hmm .
"[19:46] Speaker_C | We'd also have to wor um consider that uh who we were gonna get to make these custom cases in terms of manufacturing processes , we might wanna um learn about um labour laws ."
"[19:59] Speaker_C | You know in different countries and stuff wher so we can do it cheap , but you don't wanna exploit uh labour in um third world countries . So actually you could turn it y turn around and say that you're uh par the reason the cost is high for the device is because um you're paying a a working wage to the person who made the device ."
[20:08] Speaker_A | Yeah .
[20:22] Speaker_B | Mm-hmm .
"[20:23] Speaker_A | Yeah , but we can get a production in , uh , countries like , uh , India yes , yes , countries like India or China or Malaysia , so you can go a better features and better price and you can sell more ."
[20:28] Speaker_C | Cost of living is low .
"[20:44] Speaker_A | Yeah , yeah , so"
[20:46] Speaker_D | Where w Where it would be manufactured is is
[20:46] Speaker_B | Mm yeah .
[20:46] Speaker_A | Yes .
"[20:50] Speaker_D | another step . We're here to design ,"
[20:51] Speaker_C | Yeah .
[20:55] Speaker_B | Mm-hmm .
[20:59] Speaker_C | Mm-hmm .
"[21:16] Speaker_A | So , but uh le let's decide first about the components concept and uh interface concept , okay , if is acceptable for both of you , what uh Ed was talking ."
"[21:30] Speaker_A | And your design whether you want with the display or without display or just a simple , so"
[21:33] Speaker_B | Mm-hmm .
[21:49] Speaker_A | Yeah .
[21:49] Speaker_C | Hmm .
"[21:50] Speaker_B | So , if we're trying to keep costs down , then maybe sacrificing the display"
[21:56] Speaker_C | Hmm .
"[21:58] Speaker_B | is a way to go . I mean it depends on how much putting a display costs and what it would be used for very specifically what it would be used for , 'cause if it's only used for one little thing , then putting in a big display case or a big display that's"
[22:02] Speaker_C | Hmm .
[22:04] Speaker_C | Mm-hmm .
"[22:11] Speaker_B | probably expensive just to do the training on the chip for the speech recognition or whatever , may not be the most cost-efficient way to go , but"
"[22:22] Speaker_B | that's just sort of speculation , I mean ."
[22:37] Speaker_D | No . No no p spec It's 'cause we have to find out cost on it .
[22:39] Speaker_C | Do you wanna take an action item to go find out ?
[22:43] Speaker_C | Okay .
"[22:46] Speaker_D | Um , no that's no problem . I'm here for the pushing it after it's made . I will market it . Once we get a price on it then we can market it ."
[22:51] Speaker_A | Yes .
"[23:04] Speaker_C | we've deci we've determined and the uh engineering industrial design is the recommendation , and um I think we've kinda come to some agreement regarding um this concept of a wooden case ."
[23:19] Speaker_B | Mm-hmm .
[23:30] Speaker_A | I don't think so .
[23:32] Speaker_A | Yes .
[23:33] Speaker_A | Yes .
[23:34] Speaker_A | Don't looks nice uh .
"[23:37] Speaker_A | Yeah , so uh what we'll do is , uh , we will stick with the the simple design for time being until uh th Ed find outs about the how much it's cost to the extra , in case we go for the display . Okay . So maybe what you can do is uh , both of you , you can come up with the the prototype , okay , the model . Okay ?"
[23:49] Speaker_B | Mm-hmm .
[23:58] Speaker_B | Okay .
[24:02] Speaker_B | Sure .
[24:10] Speaker_C | So um are we done with this meeting ?
"[24:14] Speaker_A | Yeah , I hope , if is it okay if uh they will come up with the prototype design , okay . Then they can show you how it looks like , and then we can uh submit to the I will submit to the management . Okay ?"
"[24:28] Speaker_A | Then meantime you can come up with the price , how much it's cost as extra for uh the display . An and the marketing strategy , that's very important , okay ."
[24:33] Speaker_C | And a marketing strategy .
[24:37] Speaker_A | Yes .
[24:41] Speaker_A | how mu how much how much you can sell extra .
"[24:44] Speaker_A | Of course you'll make money too , so it"
"[24:47] Speaker_A | it's not only pay-out , you make money too , your commission ."
"[24:52] Speaker_A | Okay , so , any questions ?"
[24:56] Speaker_B | No .
"[24:57] Speaker_A | So , by next meeting , so , please come up with the the prototype , okay , then uh , then we can proceed from there ."
[25:05] Speaker_B | Okay . Mm-hmm .
"[25:06] Speaker_A | It's okay ? So thanks for all your uh efforts and coming for the meeting again , and see you soon then . Okay ? Thank you ."
[25:14] Speaker_B | Okay .
