[00:05] Speaker_A | Okay .
"[08:30] Speaker_C | Yeah , I think it's cool . I think we can put a six here ."
[08:36] Speaker_D | The lighting .
[08:44] Speaker_A | So it's yellow . It's okay . I think it's very easy to I would say seven . It's hard to miss it .
[08:48] Speaker_D | Seven ?
[08:52] Speaker_C | Yeah .
[08:52] Speaker_D | Is it is it robust ?
"[08:55] Speaker_A | Yeah , it's rubber , made of rubber , I think it's m it's uh more rubber than uh other remote control ."
"[08:55] Speaker_B | Uh f yeah , it's ru it's rubber ."
[09:07] Speaker_A | Yeah . But it is uh it is surrounded by rubber material . So maybe we can put a six .
[09:07] Speaker_B | Yeah .
"[09:11] Speaker_C | Yeah , okay ."
[09:11] Speaker_B | Yeah .
[09:14] Speaker_B | Yeah .
[09:14] Speaker_C | Mm .
[09:16] Speaker_B | Six or five . Five .
[09:18] Speaker_A | Six is okay ?
"[09:18] Speaker_C | Six , yeah , for me ."
[09:19] Speaker_D | Yeah . Okay . S now um so .
[09:19] Speaker_B | Six .
[09:21] Speaker_A | Yeah .
[09:21] Speaker_C | Yeah .
[09:23] Speaker_A | Tadada .
[09:26] Speaker_A | We have to sum up everything .
[09:26] Speaker_C | Twenty .
"[09:26] Speaker_D | Thirteen uh , twenty , twenty six point five , uh seven , thirty two , thirty six . That's that's okay ?"
[09:32] Speaker_C | Thirty . Thir
[09:38] Speaker_D | Six .
[09:40] Speaker_C | Okay .
"[09:41] Speaker_D | Good . Uh if we say that seven it's uh it's the better , and when uh s six sit six are good it's a good uh p product , I think ."
"[09:45] Speaker_A | Yeah , the be ."
[09:48] Speaker_C | Mm .
[09:50] Speaker_C | So will become eight soon ?
"[09:52] Speaker_A | So it's a good evaluation , I think . It's very promising ."
[09:59] Speaker_D | We have a good price and uh .
[09:59] Speaker_A | Huh .
[10:02] Speaker_B | Yeah .
[10:04] Speaker_C | Okay .
[10:04] Speaker_D | Good .
"[10:07] Speaker_C | Because I saw uh some phones that were banana shaped , uh wireless phones not mobile ones , wireless for the house , uh quite big also , and they were selling something like a hundred Euros , two hundred Euros ."
[10:11] Speaker_A | Yeah .
[10:14] Speaker_A | Okay .
"[10:23] Speaker_C | Just a just a phone , wireless ."
[10:25] Speaker_B | Mm-hmm .
"[10:25] Speaker_A | So having this at twenty five Euros is uh quite attractive , I think ."
[10:30] Speaker_C | Yeah .
[10:31] Speaker_B | But almo also the complexity between a phone and a remote control is not cannot compare .
[10:39] Speaker_A | Yeah .
"[10:41] Speaker_A | So , I think , we can summarise . So we have seen the prototype . It's very nice according to the work of our two designer . The the the financial aspect were okay . We we have the cost below uh our threshold and so we could sell at twenty five Euros and make i make profit ."
[11:08] Speaker_A | The the evaluation give satisfying result as well . So I think we can move to the last part of the meeting .
"[11:20] Speaker_A | So the cost is in the budget , the evaluation is okay , so I th I think we can now uh open champagne and make a huge party . I don't know if it's provided by uh by the meeting staff . Okay so congratulation ."
[11:38] Speaker_D | Mm-hmm .
[11:39] Speaker_C | Okay .
[11:43] Speaker_B | Yeah .
[11:46] Speaker_A | Yeah .
[11:48] Speaker_A | I think it was a good collaboration uh .
[11:51] Speaker_A | Aspect .
[11:55] Speaker_A | Sorry ?
[11:55] Speaker_C | What does the management say ?
[11:57] Speaker_A | I think we will have um much bigger project next time and a much bigger salary as well .
[12:03] Speaker_C | Ah .
[12:13] Speaker_C | Yeah .
[12:15] Speaker_C | Okay .
[12:18] Speaker_B | Okay .
[12:22] Speaker_B | Yeah . Fruits .
[12:24] Speaker_D | Mm 'kay .
[12:31] Speaker_C | Mm .
