[00:21] Speaker_C | 'Kay .
"[07:09] Speaker_B | 'Cause at the moment I'm using there is there are methods that say um for the using , for other talks . So that's and it says like get get talk time , and you and y it takes a name , so that w could call that would call that and call the meetings method that said return that , and that would populate that , which should be an easy thing to do . Um and the same for that , comes out there ."
[07:09] Speaker_C | Hmm .
[07:21] Speaker_A | Mm .
[07:24] Speaker_C | Mm-hmm .
[07:26] Speaker_A | Mm-hmm .
"[07:29] Speaker_A | I mean that would um that would be um implementing what you said , that you wanna see , per topic you wanna see which one spoken most , something like that . So you could you could zap through these topics uh meetings , sorry . And um and it would come up with how much they spoke and you can pick the one that s looks the most interesting . So do you wanna do that then ?"
"[07:41] Speaker_B | Meetings . Yeah , yeah ."
"[07:48] Speaker_B | Yep . Yeah yeah , that would be easy as well , yeah ."
[07:50] Speaker_C | Mm-hmm .
"[07:51] Speaker_B | Yeah , okay . So I'll w I'll just leave in lots of methods that st that'll just return one number at a time . That'll be the easiest way to do , yeah . Okay , yeah , that's fine ."
"[07:56] Speaker_A | Yeah . Yeah . Yeah , definitely ."
"[08:05] Speaker_B | Yeah . Get talk time I think it's called at the moment , something like that , yeah ."
[08:08] Speaker_A | Yeah . Good .
"[08:12] Speaker_C | So each time are you going straight to the X_M_L_ files for for the information or right . Oh well . Oh , I see . Okay , I see . Okay , right ."
"[08:15] Speaker_B | No , it's stored as an object file . It processes a whole lot off-line and stores it as an object , and then they're much much smaller . They're only like a one um one thou one K_ . Yeah , it's all pre-processed . And then it's just each method object's got a return bunch of return methods . You have to g re-create the object . It's got a load method . So what you do is you call a null constructor , 'cause if you call the th proper constructor for each meeting , it goes off and does all the processing and stores own object . And then um if you call a null constructor , then you pr call load and you can call load and whatever one or all of them or anything like that . Go through a list ."
"[08:22] Speaker_C | Right , okay . So it's all just pre-processed and just okay . Thanks . Right . Okay . Right . Okay . That's cool ."
"[08:39] Speaker_C | Yeah , right ."
"[08:46] Speaker_C | Right . Is this is it for the entire corpus ? Or is it just like individual ones , like t one fi one object for okay . That's nice . Oh , each meeting , okay . Alright ."
[08:51] Speaker_B | Yeah .
"[08:53] Speaker_B | One object for each meeting . Yeah . Although yeah , yeah . Although you c"
"[09:03] Speaker_B | Yeah . It's just tell it tells you who participated . At the moment it tells you who participated and the amount they participated in percentages , and in time as well ."
"[09:08] Speaker_C | Right , okay ."
[09:10] Speaker_C | Okay .
[09:10] Speaker_A | Can you put in there what topic was spoken about as well ? Then I could use that for the for the topic pop up window .
"[09:13] Speaker_B | Yeah yeah , that'll be pro that'd be easy , yeah ."
[09:14] Speaker_C | Yeah .
[09:18] Speaker_C | Alright .
"[09:18] Speaker_B | Yeah , if that won't be too difficult . But that would be that would cause a problem with anything that wasn't annotated for topics ."
[09:20] Speaker_A | That'd be r
[09:25] Speaker_A | That wasn't what? .
[09:31] Speaker_A | Yeah .
[09:34] Speaker_C | Hmm .
[09:35] Speaker_C | Alright .
[09:46] Speaker_B | Yeah .
"[09:48] Speaker_B | Okay . Right . Y oh yeah , that wouldn't be a problem . And then you could do a search over the meetings over the objects . 'Cause that's the thing , these these are so small , they can load each o all of the whole lot up and do a search of the whole lot to find who by who and what problem or what topics were in what . So it doesn't crash the thing ."
[09:58] Speaker_A | Yeah .
[09:59] Speaker_C | Yeah . Right . Okay . It's a good idea .
[10:00] Speaker_A | Yep .
"[10:15] Speaker_A | Oh right , so oh , so that that is all sta stored together . Oh right , okay . Okay ."
"[10:18] Speaker_B | The speaker class knows about all of that stuff , and the meeting class knows about that stuff ."
"[10:28] Speaker_B | No no , but I don't think that'll be too difficult ."
"[10:32] Speaker_B | What we want , yeah . I thought the other stuff was more important anyway , so I did that first ."
[10:38] Speaker_C | Mm-hmm .
[10:55] Speaker_A | Hmm .
"[10:56] Speaker_B | It would become out of synch and get a bit funny . If I gave you one if I gave you it one and you worked on it , and then I changed it and run the thing again , you wouldn't ever be able to load the objects back up . And you'd have to and then you'd have a v multiple copies of objects all over the place and it'd get silly , I think ."
[11:04] Speaker_C | Yeah .
"[11:06] Speaker_A | Oh , I see ."
[11:07] Speaker_C | Yeah .
"[11:16] Speaker_B | But if you can if you wanna make the picture c you can do that without anything , I'm presuming . Ju just the That , yeah . The text box . 'Cause that doesn't Okay ."
"[11:21] Speaker_A | What do you mean , a picture ? Do you mean just the yeah , but it's not gonna take very long . I mean it's m yeah ."
[11:24] Speaker_C | 'Kay .
[11:30] Speaker_B | Alright . Well it won't take very long to get it all finished . But I think I'll need to have done all of this stuff too first . 'Cause otherwise the objects won't be the same .
[11:37] Speaker_A | Mm .
[11:39] Speaker_A | Hmm .
[11:40] Speaker_C | Mm-hmm .
"[11:46] Speaker_B | No , it's on my home directory ."
"[11:48] Speaker_A | On your home directory , not in the okay ."
"[11:50] Speaker_B | Yeah . No , I haven't global yet . When it's finished up global , otherwise it would get confusing ."
[11:51] Speaker_C | Yeah .
[11:53] Speaker_A | Yeah .
[11:54] Speaker_A | Sounds good .
[12:01] Speaker_A | Alright .
"[12:05] Speaker_A | Yeah . Well , are you wanting to write that in directly or what what do you wanna do with that ? If you wanna change my code ."
[12:10] Speaker_C | Um what do you mean ?
"[12:13] Speaker_C | Well yeah , just the one thing that's like the action for loading up the search thing ."
"[12:15] Speaker_A | You're yeah , but are you do you wanna change that m the original M_ browser file then ? Or yeah ."
"[12:20] Speaker_C | Yeah . Well your version , yeah , yeah . Yes . No . I did in my directory , just uh just do that , yeah ."
"[12:25] Speaker_A | Oh , okay , so not the actual one but a copy of it ."
"[12:28] Speaker_C | Um I have a copy , yes . I'm yeah . But I will yeah , I was going to update that one just 'cause yeah , it just makes sense that then you then you can test out yeah . Right ."
"[12:36] Speaker_A | Well just just tell me when , because I usually I usually work on my own copy for for the day and then update it without checking if th if the one in the one in the shared one has changed . So Okay ."
"[12:41] Speaker_C | Right , yeah , and then update . Yep ."
"[12:44] Speaker_C | Yeah . Yeah , I haven't I haven't made any changes to it yet . So yeah . Um yeah , I'll just make that one and I'll let you know ."
"[12:52] Speaker_A | Yeah , let me know ."
"[12:53] Speaker_C | 'Cause yeah , like I say , two lines of code , if that . So , anyways um and then you can play . There's not much to do yet . But Have to get better results , like better presented ."
[12:55] Speaker_A | Yeah .
[12:58] Speaker_A | Cool .
"[13:05] Speaker_A | So is that what you're working on now then , to in to rip to present the results nice overall ?"
"[13:08] Speaker_C | Yeah . Yeah , and just um to wire in the the topics and uh summaries . So um yeah , that's pr Well , also yeah , like that , that as well . So yeah . Yeah . just wanna find out what kind of objects those were that um for the other ones . So It goes in and highlights , 'cause that's I know ."
"[13:31] Speaker_A | Yeah . Actually for um um for an N_ text area , whatever it is , um they they defined some ha handy highlights on that . So you've got different different highlights . You've got just look at the the what they wrote about it . They've got like user highlights , um selection highlights , time highlights and"
[13:37] Speaker_C | Hmm .
[13:43] Speaker_C | Oh yeah ?
[13:55] Speaker_A | something else .
"[13:58] Speaker_A | So you can quite easily if your text area is called area , you just do area dot set highlights or something , you know . Something like that ."
[14:05] Speaker_C | Okay .
[14:07] Speaker_C | Right .
"[14:09] Speaker_A | That's the way I did it to to highlight , to cross-highlight between topic and then transcripts ."
[14:10] Speaker_C | Okay .
"[14:15] Speaker_C | Okay , sounds good ."
[14:16] Speaker_A | Sorta thing .
"[14:18] Speaker_C | Um so yeah , just a few more things to do with that and then uh once Pernilla gets the uh the index , um then that's gonna be kind of fun . Like I'm just wondering , have you had to well the way you're doi I was gonna ask if the way you were doing it , you were loading like a new corpus each time for each meeting , but you're doing the objects . So you don't need to just uh 'cause if we're if we do have t like if the inverted search says that there's , you know , ten documents , are we gonna have to load each of these ten corp corpora just to um do the individual next uh N_X_T_ search ?"
"[14:53] Speaker_C | Yeah , I think probably , yeah ."
[15:02] Speaker_A | Really ? Really ?
"[15:17] Speaker_C | Right , okay . Okay ."
[15:37] Speaker_C | Oh yeah . Okay .
"[15:42] Speaker_B | Oh , they're done , are they ? Okay , cool ."
[15:46] Speaker_B | They pop up . Uh yeah .
[16:00] Speaker_C | Okay . Oh .
[16:14] Speaker_C | Okay .
[16:22] Speaker_C | Hmm .
"[16:30] Speaker_C | Or just or is it more like right . Oh right , yeah , exactly . It doesn't take too long , no . Just we have to yeah , while we're debugging we'll probably be getting sick of it . Um but no , or something that just sort of guides them to the most obvious things . Yeah ."
"[16:48] Speaker_A | Yeah . So do we want yeah , maybe we could write an on like the whatever it's called , the the top of the window saying welcome to the meeting browser ."
[16:57] Speaker_C | Hmm . Right .
"[16:58] Speaker_B | Yeah . Or a switch-board that comes up that's just a blank form like that with some buttons on . Load me a meeting , load me a search , load me something else . Whistle a tune ."
[17:03] Speaker_C | Yeah .
[17:06] Speaker_C | Yeah .
"[17:14] Speaker_C | Yeah , right ."
[17:15] Speaker_B | Yeah .
[17:17] Speaker_C | Mm should mm .
"[17:24] Speaker_C | Yeah . I was just gonna ask if we should assume that they all wanna load a meeting first , but not necessarily . I guess if they're doing a search on the entire , yeah , corpus ."
"[17:37] Speaker_C | Yeah , that kinda makes sense ."
"[17:37] Speaker_B | Hmm . I that's cheaper than X_T_ search . It would need you to have a meeting loaded before it will start doing any searching at all , doesn't it ?"
"[17:44] Speaker_C | Right . Well we can put the logic in a , yeah ."
[17:45] Speaker_A | Oh . Does it ? Oh .
"[17:47] Speaker_B | You can't the the only thing you can search is a NITE object model , and the only time you get one of those if you've loaded an observation ."
[17:48] Speaker_A | Oh ju just bec mm .
[17:52] Speaker_C | I could probably even that s shouldn't be too hard to put a check in there . And if it hasn't loaded then force him to load one .
[18:07] Speaker_C | Mm-hmm .
"[18:13] Speaker_B | It has to be an observation , and even if you go and se you can go and search the whole corpus from that , but you have to have it has to start with something for some bizarre reason . The engine there's only one there's only one search method to the search engine . Uh the engine class only has one search method ."
[18:22] Speaker_C | Mm-hmm .
[18:24] Speaker_C | Yeah . Mm-hmm .
"[18:27] Speaker_A | I suppose we wouldn't wanna use yeah , we yeah , we wouldn't wanna use N_X_T_ at the beginning anyway , because we don't wanna search um locally , we wanna search globally . So d so let's say"
"[18:34] Speaker_B | Yeah , yeah , globally , yeah ."
[18:39] Speaker_B | Yeah .
"[18:40] Speaker_A | Well no , then they would open the meeting first , right ? So let's say they have two options , either pick one meeting or search globally to find a meeting that they like ."
[18:42] Speaker_C | Yeah .
[18:42] Speaker_B | Yeah .
[18:51] Speaker_B | Yep .
[19:03] Speaker_A | Yeah .
"[19:09] Speaker_A | No , but why do we want default ? I mean just you know ."
"[19:15] Speaker_C | Uh like when it loads up it'll load up the transcript window and the , whatever , other window . Right now I think just the topic ones . Um Although the time is probably more um caused by loading the actual data . So I'm just thinking if it's kinda like you were saying , you have to have a nom object , right ? I mean before you do a search at all on this . Yeah . Okay , right , yeah . That's true , yeah ."
"[19:37] Speaker_A | Yeah , but local search . We can't do global search without anything . Pretty much ."
"[19:54] Speaker_A | Yeah . But yeah , the the global um inverted file search gives the nom objects basically to the local search , right ?"
"[20:03] Speaker_B | Exactly , yeah ."
"[20:07] Speaker_A | Well yeah , th that's always gonna be the case with search ."
"[20:10] Speaker_B | Yeah . But only gives one at a time anyway , doesn't it ? 'Cause otherwise you'll crash the thing ."
[20:10] Speaker_C | Oh .
"[20:14] Speaker_C | Um yeah , well I'm j just thinking of some way we could , you know , st cash the results and in a nice little format that'll make things a bit easier . But the thing is I mean if we've got that , then it's gonna be needing really really to load the entire corpus for that meeting , if uh if it's trying to show us where those were , if it's trying to highlight those in the text , transcript or whatever . And we're gonna have to have all that other data in there . So each time when we have a she search window and we have like , you know , ten different meetings , you know , with the word wireless comes up , go to meeting one , then it has to reload the nom object . Next one . I mean that's gonna that could be yeah ? Okay , right ."
"[20:49] Speaker_B | Yeah . It's not too slow though , that thing . It shouldn't it's not it's not too bad on that . I don't think that will be a much of a problem ."
"[20:55] Speaker_C | It always seems to be slow loading up the first time at least , like that's all I I've been doing lately is just sort of loading it up , test it , try something else and then shut down , load it up . But So um so just sorta based on that as a yeah . But uh if it doesn't take that long each time , then that should be f alright ."
[20:58] Speaker_B | Yeah yeah .
[20:59] Speaker_A | Mm .
[21:05] Speaker_B | Yeah .
[21:21] Speaker_C | Hmm .
"[21:26] Speaker_C | Yeah . Yeah , right ."
"[21:42] Speaker_B | Yeah , yeah . Ma make it strings for as long as possible , and then only return the things when they actually needs to has to search . When it needs to be loaded ."
[21:45] Speaker_C | Yeah .
[21:52] Speaker_A | Yeah .
[21:53] Speaker_B | Yeah .
[21:57] Speaker_B | Yeah .
"[21:58] Speaker_A | Definitely , yeah ."
[21:59] Speaker_B | Yeah .
[22:02] Speaker_B | Did we think about um
[22:06] Speaker_B | better names for the meetings ?
"[22:09] Speaker_C | Well I think they were in the text . We can probably do that ourselves and just sort of B_D_B_ , you know , just do a a string ."
"[22:14] Speaker_A | There is um yeah , in the in in one of the papers they have m um names , such as um better understanding or whatever . Even w one of them is yeah , one of them is even even better understanding or something . I I love that . Yeah . I love that ."
"[22:20] Speaker_C | Yeah , the long names . Yeah , yeah . Like the the working group that it's part of . Yeah . That probably even might have a ."
[22:21] Speaker_B | Oh do they do they re-translate them ?
"[22:25] Speaker_B | Do they ? Okay , well that's alright then . We'll just use that then ."
"[22:33] Speaker_C | Yeah , right ."
"[22:44] Speaker_B | Okay , that's cool , that's good ."
[22:45] Speaker_A | Sort of .
"[22:47] Speaker_A | So yeah , again concretely to the start-up start-up um libraries window ."
[22:59] Speaker_B | So who would the the um I_D_F_s ? I mean the D_F_s . The document frequencies for each word in the corpus .
[23:07] Speaker_C | Um do we actually need the uh the frequencies ?
"[23:10] Speaker_B | Yeah , to do um what Steve's talking about you do . To do the topic labelling ."
[23:12] Speaker_C | Yeah ?
"[23:14] Speaker_C | Oh right , that . Right . Yeah , okay . Yeah ."
"[23:16] Speaker_A | Yeah , how is that ? I mean do you think you would have have time for that as well ?"
[23:22] Speaker_B | If somebody's done the keywords or the the g I_D_F_s or the D_F_s already would .
[23:50] Speaker_B | Can't you do any better for our search without the T_F_I_D_F_ ?
[23:53] Speaker_C | Um I don't know .
[23:57] Speaker_A | Wha what does T_F_I_D_F_ stand for ?
[24:03] Speaker_C | What's it stand for ?
[24:06] Speaker_C | Hmm .
[24:22] Speaker_A | Oh . Okay .
[24:25] Speaker_C | Mm .
[24:25] Speaker_A | Yeah . Ah .
"[24:28] Speaker_A | So the general score , would that be a um for the whole of the language or the for all the whole of the corpus ? Okay . Okay . Well , you know , you can you might have some general frequencies ."
"[24:32] Speaker_B | The corpus , the corpus , still data . Yeah . No . Yeah . Yeah . But plus a stop list , so you remove stuff that doesn't ta it like yeah , and then the , which is gonna a a prob basically equal score ."
"[24:33] Speaker_C | Well the corpus yeah . So yeah , the probably probably term frequency . Yeah , so the general one is pr yeah , yeah ."
"[24:41] Speaker_A | Oh , I see ."
[24:44] Speaker_C | Right .
"[24:45] Speaker_A | So what would the if we had the these fake topics , what what would the what would they look like ? A bunch . Just a list of like three words or something ."
"[24:49] Speaker_B | Bunch of key-words . That'd probably be easiest thing . Key-words . Yeah , key-words , three f three , five words . In both documents . Yeah , term frequency inverse document frequency ."
[24:56] Speaker_C | Actually what's the I_ in T_F_I_D_F_ ? Really ? Okay .
[25:06] Speaker_C | Oh yeah ?
"[25:07] Speaker_A | Alright . Because that would be really handy then , we can actually test it on the user , as opposed to just doing it and not using it . 'Cause if you just have the segmentation , that's great , but we can't we can't compare it to the to the uh hand annotated , you know , the hand segmented tool ."
[25:08] Speaker_C | Alright .
[25:15] Speaker_C | Yeah .
[25:20] Speaker_B | Yeah .
[25:24] Speaker_B | Yeah .
"[25:26] Speaker_B | Yeah . also key-words gives you a a whole new type of search . You do keyword search . But you could do key-word search could be topic search , can they can be the same thing . Instead uh it would just search for key-words when it when they you tell him that with topics , but actually get searching with key-words ."
[25:42] Speaker_B | For each do you see what I mean ?
[25:42] Speaker_A | Hmm . Mm .
[25:46] Speaker_A | Hmm .
"[25:48] Speaker_A | Yeah , that would work . That'd be really nice ."
"[25:53] Speaker_B | But I suppose even calculating the the w the the what's-its-faces themselves would be too much too long . The easy bit is it's probably the easiest to calculate them based upon in their whole occurrences in i in the corpus than it is to calculate them per topic , 'cause you don't have to integrate as much information ."
"[26:13] Speaker_A | Mm , yeah , yeah , definitely ."
[26:14] Speaker_C | Right .
"[26:19] Speaker_B | No , you can do you can do search without T_F_I_D_F_ , you just can't rank the search ."
"[26:24] Speaker_A | Yeah , that's what I'm thinking too , yeah . Well , do we want to ? Do we want to ?"
[26:40] Speaker_C | Yeah .
"[26:42] Speaker_B | Yeah , but that won't slow it down . Ranking it won't slow it down ."
[26:42] Speaker_C | Yeah .
"[26:47] Speaker_A | No , but the general inverted file . Oh , yeah . Yeah yeah yeah . That would just be a nice extra ."
"[26:50] Speaker_B | Yeah . It still uses an inverted file , but it ranks the results by the amount by the higher yeah . I thought that was part of it , but yeah , okay , it doesn't matter if it's not ."
"[26:58] Speaker_A | Yeah , I I wasn't sure if it was or not . True . It's true . So what , it's only interim ."
"[26:59] Speaker_C | Hmm . I don't think we had that in the the document . Yeah . Yeah , exactly . I know ."
"[27:02] Speaker_B | No , we did Yeah ."
[27:09] Speaker_C | Hmm .
"[27:13] Speaker_A | Yeah , I mean if you have time . Do that as well , that'd be really nice , yeah . 'Cause I mean then then it would give you like if you searched for a word , it would give you the the meetings , but also how often the w that word occurred in that meeting . That would be so useful . Yeah . Yeah , exactly ."
"[27:13] Speaker_C | Right . Yeah , b nice to have . Mm-hmm . Right ."
"[27:26] Speaker_B | Yeah . Well it'd just give you a rank . It would that was the whole point was to if you say , this is your top one , this is your bottom ."
"[27:28] Speaker_C | Mm . Well I don't know . Actually 'cause the thing is I mean typically yeah . But th um the thing is we're just looking for when it happens in a meeting , if they're looking for particular term or something , they just wanna know if that term exists there and where does it exist and I wanna see it , you know ."
"[27:32] Speaker_A | Yeah , yeah ."
"[27:42] Speaker_A | Yeah , but it would be useful if you yeah . You know , you c if you have a if if you search for language and you return like , you know , basically all of the meetings , you wanna see where they actually spoke about it and where they just mentioned it once ."
[27:47] Speaker_C | Yeah .
[27:52] Speaker_C | 'Kay .
"[27:55] Speaker_C | But if it's like a two word term , does the T_F_I_D_F_ handle that ? It's not a compound noun , it's just two words together . Um in f I don't know . I don't know . Just something like uh Edinburgh University . Yeah . Well , essentially , I don't know . Or sunny day . You know ."
"[28:13] Speaker_B | As a compound noun . Uh Sunny day , yeah . And like an adjective , yeah . Um"
"[28:15] Speaker_A | No , just like Edinburgh and language . alright ."
[28:27] Speaker_C | Hmm .
"[28:30] Speaker_A | And then and then ad add those up or something . Or what ? How would you combine them , that's the question ."
"[28:40] Speaker_B | Yeah , yeah . Yeah , you don't wanna start looking for bo"
"[28:52] Speaker_B | I guess you just do a sum of the um of the the individual T_F_I_D_F_ for each term returned , and that generally will be a bit crude , but it will give you a d score , and the higher the more uh more informative each term is for each thing would give you a"
[29:00] Speaker_C | Yeah .
[29:08] Speaker_C | Right .
"[29:09] Speaker_B | a thing . It's pretty crude anyway , but it's just looking for um"
[29:18] Speaker_C | Yeah . Or we choose the list of meetings that we wanted to search to do that . So yeah .
"[29:34] Speaker_B | Groups of terms . Yeah , without doing any like um word pairs , which is just omission ."
"[30:03] Speaker_C | Actually it should work , yeah . Okay , then I'm just yeah . Sure that's not too bad ."
[30:10] Speaker_C | Oh yeah .
[30:14] Speaker_C | Oh yeah ? Okay . .
"[30:18] Speaker_C | Yeah , I've got uh somewhere P_D_F_ ."
"[30:33] Speaker_C | Don't know . Okay , so that's okay , that might be good ."
[30:40] Speaker_C | Alright . Okay .
"[30:42] Speaker_A | So to come back to the start-up screen I'm I'm I'm I'm very unsure about what that should look like . I mean we wanna for the part where you can choose choose the the meeting , what kind of information do you wanna have about the meeting ? I mean the u the the longer name obviously , if there is one , 'cause they don't all have a longer name . What the users that spoke . The users that took part . But then that's probably pretty much the same for the same group ."
"[30:45] Speaker_C | Oh , I thought we sort of dis you know what I mean ."
"[31:07] Speaker_C | Yeah . Or attended , yeah ."
"[31:12] Speaker_C | P probably for the most part , I mean there'll be a set of people that do , and then a sub-set for each meeting probably ."
"[31:14] Speaker_A | Yeah , I'm not sure ."
"[31:18] Speaker_A | Yeah , just to give them an idea , general idea what there is and so they can pick a a to um a meeting ."
"[31:26] Speaker_B | Yeah , I guess so . Yeah , yeah , I guess that's useful ."
[31:40] Speaker_A | Yeah .
"[31:42] Speaker_A | Yeah , or w you kn yeah . I wanna look at the meeting where so-and-so spoke um of that , you know , sort of some sort of research group . I want that first meeting . Look at that ."
[31:46] Speaker_C | Yeah .
[31:51] Speaker_C | Right .
[31:53] Speaker_C | Yeah .
[32:04] Speaker_A | Oh . Oh .
"[32:17] Speaker_A | Mm I don't think we need that , yeah . Because we we just wanna have a way of of yeah . Because as soon as they've got loaded their first meeting , y they can they can browse through that quite nicely ."
"[32:31] Speaker_C | Um yeah , but I'm just thinking like initially , when they load up . What are the range of things that they'd wanna do ? Like if they're part of X_ working group , they'll wanna get in there . Um do we wanna save preferences ?"
[32:38] Speaker_A | Yeah .
[32:46] Speaker_A | What do you mean ?
"[32:47] Speaker_C | Well , if they're part of B_D_B_ working group , they're gonna wanna look at the B_D_B_ ones and so we'd default to that . Or don't know ."
[32:53] Speaker_A | W how how are we gonna know that ?
[32:56] Speaker_C | Based on what they did the last time . Yeah .
"[32:58] Speaker_B | Uh you can have a save preferences . You could have a save preferenc preferences , I guess ."
[33:03] Speaker_C | Mm-hmm .
"[33:04] Speaker_A | But that would defy the whole point of browsing , right ? If you only wanted to look at like five meetings . Well you just you just uh you just scroll down the list and find your favourite one . I mean It's not like they come back every day and do the same browsing . Let's see what's changed today . Mm ."
"[33:06] Speaker_C | Mm . Yeah , okay , right . Yeah . Yeah , okay yeah , that's yeah . Right ."
"[33:07] Speaker_B | Well alright , call it favourites then . You can have a favourites ."
"[33:34] Speaker_B | Yeah , yeah ."
"[33:34] Speaker_A | Yeah , yep ."
"[34:07] Speaker_B | Yeah , it would be quite good if it has yeah ."
"[34:10] Speaker_A | I w I wasn't gonna put any , you know , any any help in there any sort of a explanation of how the browser works , to be honest . I wasn't oh right ."
[34:30] Speaker_A | Mm-hmm . I see .
[34:31] Speaker_B | Mm .
[34:34] Speaker_B | Yeah yeah . Doofus mode .
"[34:36] Speaker_A | But I mean the main thing what you wanna do is to view a meeting , right ?"
[34:39] Speaker_C | Probably or search something . Yeah .
[35:00] Speaker_B | Yeah .
[35:08] Speaker_C | Mm-hmm . Fits his criteria .
"[35:09] Speaker_B | Yeah . Or the other thing to do is just have search as the default . Just it opens and the search window opens . And that's the interface , and you just go from there ."
[35:18] Speaker_A | Yeah .
"[35:21] Speaker_B | And then that brings up the browser after you f searched for something . Or or the search but the search window could have on it something that said just has a drop down menu that says just and a go button that said take me to this . And so the f so the in yeah , so the f only thing that comes up when you're finished is a um when you start it's just one window like that and it's got all the search stuff like down there . And so this is your search . It's just all here , and here is just go to wherever and a go button . And then from there it takes you to wherever else you wanna go . Yeah ."
"[35:32] Speaker_A | Oh , I see what you mean . Inside the search menu , yeah ."
[35:45] Speaker_A | Mm-hmm .
"[35:52] Speaker_A | Yeah , that's that's what yeah ."
[35:57] Speaker_B | And the other topic says welcome to welcome to our browser .
"[35:59] Speaker_A | Mm-hmm . Yeah , that looks about right . Um but I'm I'm unsure about how to how to put all the information in there . Because we need drop-down menu , but we want all the information about the name , the longer name , and the sp and the users . So how d how d"
[36:08] Speaker_B | A drop drop-down menu .
"[36:13] Speaker_B | Oh , you wanna have oh yeah , the users ."
"[36:15] Speaker_C | Well we don't actually have user names , do we ? Aren't there all these codes like AMI eleven or whatever . Yeah ."
"[36:18] Speaker_B | They're always nonsense , yeah ."
[36:22] Speaker_C | Yeah .
"[36:24] Speaker_B | Yeah , that's true ."
"[36:25] Speaker_C | In a case like that we do want drop-down . We don't want them to type them , do we ?"
"[36:30] Speaker_B | Yeah , it does ."
"[36:31] Speaker_C | Okay . Um and allow multiple ? No . Okay , you're just looking for one specific speaker , right ? Yeah ."
