[00:00] Speaker_B | Five years just because of the floods bringing the ceilings down . So On its great joy .
"[05:21] Speaker_A | So the uh building block of that kind of uh structure would be the uh utterance and possibly one of its properties , the dialogue act which we're currently uh working on or uh and uh for meetings , yeah , so I've mentioned uh uh before that meetings is a bit different from uh monologue and uh dialogues ."
"[05:57] Speaker_A | So uh in meetings I uh from my uh reading of the one of the AMI meetings I_S_ one O_ eight , uh the uh the four meetings , I noticed that uh uh the interaction , degrees of interaction in the meetings uh varies from parts to parts . So for some part uh the interaction is very strong . So it's obviously a dialogue . But uh for some part part where the interaction is very weak , uh just uh like the uh chairman or project manager is mm"
"[07:21] Speaker_B | I'm a little bit confused . So um when you say interactivity , do you mean um well , how would you characterise a highly interactive meeting ? What are the measurements you'd apply ? So you I think what you're doing is segmenting meetings into highly interactive parts and not so interactive parts , where you think some of them are like a bit like dialogue and some are a bit like monologue . So what measurements would you apply to um find out which is which ?"
[07:22] Speaker_A | Uh-huh .
[07:26] Speaker_A | Yeah .
"[07:40] Speaker_A | Yeah . Yeah , yeah ."
[08:11] Speaker_B | So you mean relatively short turns and speaker change .
"[08:54] Speaker_B | So so am I right in thinking you think that you can segment meetings maybe into two t types of areas , interactive and non-interactive ? So what are th what are the characteristics of the interactive areas ? So w so okay , so but you just said , I think , that you would characterise short turns as being the non-interactive parts ."
[09:00] Speaker_A | Yeah .
[09:02] Speaker_A | Yeah .
[09:05] Speaker_A | Speak change speak change would be yeah .
"[09:15] Speaker_A | If if it's uh just some kind of back-channel or it's just a signal signal the s the speaker is listening or is understanding what's going on , yeah . Yeah , yeah ."
"[09:24] Speaker_B | Oh okay , well we we can discount back-channels . I mean uh c are you is it okay if we talk about this for a minute 'cause I'm confused . Or or do you get a c"
[09:33] Speaker_A | Mm-hmm .
[09:35] Speaker_B | Alright . Alright .
[09:35] Speaker_A | Uh-huh .
[09:49] Speaker_D | Sure . So so what did you have more on later slides about this ?
"[09:52] Speaker_A | Uh yeah . Uh so for interactivity this is the only slide . So yeah activity is uh I'd define interactivity to be as a degrees of interaction in meetings . So which might uh speak change whi uh uh would be a very good indicator , yeah ."
[09:57] Speaker_D | Okay .
[10:12] Speaker_A | Mm-hmm .
"[10:13] Speaker_A | Yeah , yeah yeah ."
"[10:17] Speaker_A | No , no . Yeah . No yeah . So actually , so uh this is a very rough idea of interactivity . If we go further , we might distinguish uh the interactivity between two , f three , or all the groups . So that might be some final definition for the uh interactivity , yeah ."
"[10:44] Speaker_A | Yeah , so that might be the second class , yeah . Weak this is a kind of weak interactivity . Yeah . Yeah ."
"[10:48] Speaker_D | Okay . Y yeah , yeah ."
[10:58] Speaker_D | Right . Yeah . Mm-hmm .
"[11:11] Speaker_A | Yeah , yeah , yeah , yeah , yeah , yeah , yeah , definitely , yeah ."
[11:27] Speaker_B | Well do y
"[11:28] Speaker_D | Like statement , statement , reject , accept , you know , something like that ."
"[11:30] Speaker_B | Yeah . Sufficient but not necessary maybe . It depend if you had so a bunch of people all just giving information and opinion around the table and they never actually ask questions of each other , but the turns were actually quite short , which one would it be ?"
[11:31] Speaker_A | Yeah .
[11:37] Speaker_A | Mm-hmm .
[11:59] Speaker_B | Mm-hmm .
[12:32] Speaker_A | the the cons the the two that we are going to analyse the discourse structure might be d different .
"[12:40] Speaker_A | Yeah , yeah ."
"[12:46] Speaker_A | Yeah , yeah . And also 'cause uh I have uh read some of the M_O_T_A_ uh corpus . Uh so for some part of th that kind of meetings um uh several utterances or dialogue acts are just uh tagged as statement . So that I don't think that would be very informative for high level str analysis . So that's all what uh that's why why uh I'm distinguishing the two kinds of discourse here ."
"[13:17] Speaker_B | Right . So Wei-Xun quite takes quite a strong position on um this um difference between these two um kinds of group activities because he says that they admit different kinds of analyses . Right , the with the non-interactive , more monolo mono-logic sections of the meeting um you have to uh analyse them using something akin to rhetorical structure or something . And uh with the other sections you uh um you you use some other theory to look at them . And I actually uh think that that's a slightly extreme um position um with regard to the literature that a lot of people might say it doesn't really matter who the different speakers are in an interactive section . You can still um build maybe the the same argument structure over the top of the basic um acts and propositional content that's there ."
[13:44] Speaker_D | Mm-hmm .
[14:12] Speaker_A | Mm-hmm .
"[14:17] Speaker_B | And uh what you get is a messier version of the argument structure because not everybody has the same argument in their brain , you know , for this . But um but that the same theory or the the same analysis can be applied to both parts . So I think it's important to keep um that in mind , and if you if you do need to argue that these two kinds of group activities uh can can only be analysed if you use different analytical mechanisms , then you have to explain why that is . Right , so it it puts an extra burden of proof on the work that you do ."
[14:33] Speaker_A | Mm-hmm .
[14:49] Speaker_A | Okay .
[14:56] Speaker_A | Mm-hmm .
[14:56] Speaker_B | Mm .
"[15:15] Speaker_A | Yeah , the like yeah ."
[15:15] Speaker_B | Right .
"[15:17] Speaker_B | But to the grou degree that a group is building an argument together , I mean it I think wh what you're doing in a group discussion isn't necessarily one coherent argument f for the person , but an argument that is the group view . And so it's maybe it's not R_S_T_ , um but it's um more akin to um I don't know , is it Toolman ? But , you know , not that i but you know , the kinds of things where people to try to represent argument structure ."
[15:31] Speaker_D | Yeah .
"[15:44] Speaker_D | Right , but those are very those are really different um theories that are at are trying to get at different things and it and they admit of m you know , some of them admit of multiple parties and some of them assume you're in one speaker's head . Right , and the"
[15:57] Speaker_B | Are are the important aspects of it for this analysis really that substantively different though ?
"[16:01] Speaker_D | Mm-hmm . Yeah , the entire theory is based on intention and the intention of one individual . So R_S_T_ would be a bad theory to use . W"
"[16:10] Speaker_B | But i if somebody if there's been an argument so far in a group meeting , and um somebody makes a statement , they have an intention about how to modify that group argument ."
"[16:17] Speaker_D | So modelling modelling a single contribution by a single speaker , you can within that you can use R_S_T_ if you want to , right . But across speakers you can't . They have no relations for things like reject or agree . They the theory doesn't have them ."
[16:57] Speaker_B | Okay .
[17:06] Speaker_A | Yeah .
"[17:06] Speaker_C | No , I don't think so . I d"
[17:11] Speaker_A | Yeah .
[17:11] Speaker_C | Hmm .
[17:12] Speaker_C | Mm-hmm .
[17:14] Speaker_C | Yeah . Yes .
[17:16] Speaker_D | Well her the relations have a s
[17:59] Speaker_B | Mm .
"[18:06] Speaker_A | Yeah , yeah ."
"[18:18] Speaker_B | Yeah , c I just think well , I mean it all of these things when they encounter a new genre of um of uh actual data , then they end up modifying building new kinds of relations with new kinds of semantics and adding them . That's the entire history of these ."
[18:43] Speaker_A | Yeah .
[18:43] Speaker_B | Mm-hmm .
[19:04] Speaker_A | Mm-hmm .
"[19:16] Speaker_A | No , just a uh turn exchange , yeah ."
"[19:20] Speaker_D | I mean it had the at the l at the leaves they had the well , she didn't show it , but they would have the semantics of the utterances . And then she had relation names and handles ."
[19:27] Speaker_A | Mm-hmm .
[19:30] Speaker_A | Yeah . Actually sh uh she used some a a a bunch of features to do the automatic parsing .
[19:41] Speaker_A | Mm-hmm .
[19:47] Speaker_C | Hmm . Mm-hmm .
"[19:50] Speaker_B | Mm-hmm , yeah ."
[19:54] Speaker_A | Mm-hmm .
[20:02] Speaker_B | Yeah .
[20:08] Speaker_B | Right . So there you've got somebody who's doing theoretical development that would claim that you don't need two separate an analytical frameworks for these two types of activities that Wei-Xun has identified .
[20:21] Speaker_B | Yeah .
[20:26] Speaker_B | Mm-hmm .
[20:27] Speaker_A | Uh yeah .
"[20:30] Speaker_A | Utterance to utterance , yeah . Very low level , yeah ."
"[20:34] Speaker_A | You cou yeah . Yeah , i to uh just we need to see uh how well we could work out of the utterance to utterance ."
[20:46] Speaker_A | Yeah .
[21:00] Speaker_A | Yeah . So uh yeah .
[21:26] Speaker_D | Well I think we should ass I think we should
[21:36] Speaker_A | Mm-hmm .
[21:42] Speaker_A | Yeah .
"[21:57] Speaker_B | Hmm , yeah ."
"[22:03] Speaker_D | But there's a different set of tags in there from the kinds of relations you see within R_S_T_ , for example . So if you look at Amanda Stent's thesis and the analysis that she did sort of within a turn she used something like R_S_T_ . And then across turns she used damsel , right ."
[22:10] Speaker_B | Mm-hmm .
[22:20] Speaker_B | Mm-hmm .
"[22:24] Speaker_B | Yeah , which wouldn't probably wouldn't give us the kind of um information that we need about relations across turns , just because we really are critically interested in the argument um that the group is building up so that we can find the decisions that they made and um any p uh counter proposals to proposals that have been made and things . I mean it really is more in the spirit uh of the R_S_T_ ish relations than um than in the damsel kinds of relationships . What we want uh out of the c um the relationships between speakers here . They are jointly building up an argument structure , and that is the critical thing that we're missing in order to be able to um understand what's happening in these meetings ."
"[23:09] Speaker_B | So we wouldn't we wouldn't wanna do the same thing as what um she did in this case , bec just because um damsel doesn't give you the right sort of representation between speakers ."
[23:23] Speaker_D | Oh yeah .
[23:28] Speaker_D | In fact R_S_T_ doesn't give you anything like that .
[23:30] Speaker_A | No .
"[23:32] Speaker_A | Hmm , hmm ."
[23:37] Speaker_D | Okay .
[23:39] Speaker_D | Right . Right .
"[23:49] Speaker_D | Right , okay . D so I think it's much more impor I think it would make more sense to go about this problem figuring out what kinds of relationships we want and then finding and , you know , like setting down what the constraints are on the analysis game . He's been looking at the data , okay , s to good . Um and then and then there are lots of different theories of argument . I mean you can also think about the sort of joint problem solving kinds of um approaches . So you know , Clark and Lockbaum and , you know , that that kind of thing . That were designed for dialogue , right , I mean , and can be expanded to more than two persons . Actually the Lockbaum stuff is for groups ."
[24:02] Speaker_B | Yeah .
[24:07] Speaker_B | Well Wei-Xun's been looking at the data . So that's that's a step for this .
[24:11] Speaker_A | Mm-hmm .
[24:17] Speaker_A | Yeah .
"[24:23] Speaker_A | Yeah , yeah . Yeah ."
[24:30] Speaker_A | Yeah .
[24:34] Speaker_A | Mm-hmm .
[24:34] Speaker_B | Mm-hmm .
[24:38] Speaker_B | Mm-hmm .
"[24:45] Speaker_B | Mm-hmm , yeah ."
"[24:45] Speaker_A | Yeah , yeah , yeah ."
"[24:50] Speaker_A | So yeah , for interactivity this is a very weak definition , yeah . If we need more then we might use some more finer uh f finer uh definition for interactivity ."
"[25:03] Speaker_B | Well , what you'll need in the end is something operational . So it's something that you can use to actually segment meetings into the um the areas that you think are important for this analysis , right ? So um it's not quite clear to me what the different kinds of things are . So it would be I think handy if you could take a meeting at some point and say , you know , this is a interactive area and this is a mono-logic area because and we could come up with what kinds of measurements you need ."
[25:06] Speaker_A | Yeah .
[25:15] Speaker_A | Yeah . Okay .
"[25:35] Speaker_B | Um I mean we have w we haven't done past work here on segmenting meetings in that way , but we have done work on characterising different kinds of meetings um in terms of how highly interactive they are . But it's a different definition , right . It's in terms of how much all of the people involved in the meeting um take some take equal part in it as opposed to um like the highest state is people in the meeting just driving it and and uh the other people following whatever the high state is people want ."
[26:07] Speaker_A | Yeah .
"[26:17] Speaker_A | Yeah , okay ."
[26:27] Speaker_A | Mm-hmm .
"[26:43] Speaker_A | Yeah , okay ."
"[26:46] Speaker_A | So mm so for dialogue , yeah , mm there would be uh some kind of uh interaction structure . So it for uh in previous discourse studies , uh especially in discourse analysis exchange uh is used to describe this kind of uh local structure . And in conversation the analysis so adjacency pairs are used to describe this kind of structure . Uh"
"[28:03] Speaker_A | Uh here information is a little vague . It could be some kind of knowledge what the uh speaker knows or or some kind of thought what the speaker is thinking . So these two kind of uh inform mm two kinds of the information uh might be some kind of a difference . So this is a little bit like the Bell's mm exchange of information uh for the knowledge . If exchange of uh opinion uh uh some kind of so it's uh very related to thought , of thinking , yeah ."
[28:40] Speaker_B | Do you think it matters whether something is knowledge or opinion in the way it contributes to the group process ?
"[28:45] Speaker_A | Uh in some case it s differs 'cause uh when we exchange knowledge , we might not challenge uh the speaker , but uh when the speaker is uh pre uh is uh talk about what he feels , what he thinks , is proposing something or s uh then other speakers might might chan challenge him or her ."
[29:15] Speaker_A | So that kind of structu
[29:17] Speaker_A | Yeah . Yeah .
"[29:30] Speaker_A | Yeah . But uh that might b be some difference inter interaction par patterns . Might be . 'Cause uh for information if we uh somebody's uh seeking some information , then he uh ask some question and uh the one knows will uh gives gives the answer . But uh uh for the uh opinion or thought uh stuff , then the speaker might just uh uh present some idea and others will comment or uh challenge uh the idea ."
[30:04] Speaker_B | Yeah .
"[30:06] Speaker_B | Well you you can't define 'em that way . You can't define the difference between information and opinion that way because that's um basically defining as the what happened about it . And I think what tends to happen is that um if people challenge the the facts , you often discover that they weren't actually solid facts anyway , you know , that they're I think the boundary between these is kind of fluid . So I guess the question is is it important to what what's it important to ? So do you need the difference between information and opinion to do this analysis ?"
[30:09] Speaker_A | Mm-hmm .
[30:11] Speaker_A | Okay .
[30:21] Speaker_A | Mm-hmm .
[30:28] Speaker_A | Yeah .
"[30:30] Speaker_A | Yeah , it's vague , yeah . Yeah , yeah , yeah ."
[30:58] Speaker_B | So what have you been looking at ?
"[31:00] Speaker_D | Yeah , I was just gonna say it would be useful to know what m"
[31:04] Speaker_A | Yeah .
[31:04] Speaker_B | So you're you've got books that high on your desk . Which ones are they ?
[31:17] Speaker_D | But who's they ? That's the question .
[31:21] Speaker_D | Who ?
"[31:22] Speaker_A | uh Sinclair and Coulthard . That is . Also at Geneva school they I don't think they list some kind of exchange . But uh the uh exchange structure uh and uh yeah , exchange is first uh developed in uh systemic functional grammar along the uh uh Halliday and and Martin's work . Yeah . So uh actually they they have some something in in a textbook about the exchange . Uh they call it negotiation . So they have uh some flow charts of the uh uh detailed analysis of uh uh exchange structure , yeah ."
[31:24] Speaker_D | Right .
[31:40] Speaker_B | Mm-hmm .
[31:44] Speaker_B | Mm-hmm .
[31:56] Speaker_B | Mm .
[32:09] Speaker_A | Yeah .
"[32:13] Speaker_A | So um uh I don't think there is any kind of principle classification of exchanges . This is i yeah , w"
"[32:23] Speaker_B | Um the well are you thinking it's been a while since I've read this literature . But I mean my understanding of exchange is is that the initiating move introduces a goal to the discourse , and then the remaining moves um will uh contribute to either the um the meeting of that discourse goal or the decision not to bother with that discourse goal , right . And so um I'd be surprised if there wasn't work describing"
[32:29] Speaker_A | Mm-hmm .
[32:36] Speaker_A | Mm-hmm .
[32:57] Speaker_A | Okay .
[32:59] Speaker_A | Mm .
[32:59] Speaker_B | things in those terms . I mean I know Sinclair and Coulthard is is basically about teaching yeah . So you wouldn't expect that to necessarily um apply uh in in wider contacts in a way . Like you might expect to have to extend the theory to do that . But I th I think there are other other people have looked at exchange structure and described it in these terms in a way that should really suit your needs .
"[33:03] Speaker_A | Yeah , I_R_F_ uh kind of structure . Yeah , yeah , yeah ."
[33:23] Speaker_A | Okay .
"[33:26] Speaker_A | Mm 'cause uh from my previous experience we see ananys analysis of information seeking dialogues over telephones . So it's um uh about the tourism information . So from uh um my analysis of that kind of dialogues I could say that there's only there only four basic uh exchanges depend on the information uh direction of the information flow , and also the speaker role ."
[33:34] Speaker_B | Mm-hmm .
[33:39] Speaker_B | Yeah .
[33:39] Speaker_D | Mm-hmm .
[33:51] Speaker_B | Mm-hmm .
"[33:58] Speaker_A | 'Cause in the information seeking dialogues the uh t roles of the two participants are different . One is mainly the uh from the uh agency , a tourism agency . That is main uh uh information provider uh while the customer is the information seeker mainly . Yeah , that's uh so theref uh and also mm uh the direction of information flows for some kind of information , like uh the uh uh price of a specific route , uh the spots they're going to uh visit , and also on the uh kinds of uh ve uh vehicle or or transportation , yeah ."
[34:13] Speaker_B | Mm-hmm .
[34:34] Speaker_B | Yeah .
"[34:36] Speaker_B | So this is a l a lot like George Horton's work on saying what are the different parameters for um these exchanges . You know , what are the things that characterise the set of exchanges that can happen ? Mm ."
[34:38] Speaker_A | Uh-huh .
"[34:41] Speaker_A | Yeah , yeah , yeah . Yeah , yeah , yeah , yeah , yeah ."
"[34:46] Speaker_A | Yeah yeah , s yeah , yeah . So but there also some variations which I call complex exchanges . So that's uh that's uh just a list . Mm not like the uh basic exchange uh exchanges , yeah ."
"[34:58] Speaker_B | So so is your complaint less about um less about knowing what makes an exchange and more about knowing how you parameterise exchanges for this genre ? So what's the range ? okay , so you're worried about what's the range of exchange types for this genre , and that's what you think hasn't been done . Uh-huh . Okay . That's clearer ."
"[35:10] Speaker_A | Yeah , yeah ."
"[35:15] Speaker_A | Yeah yeah , parametri yeah , I I I'm looking for parametric , yeah , scheme . Yeah yeah yeah . That's uh y yeah . A parame parameter or principle . Yeah , some something like . Yeah ."
[35:25] Speaker_B | Mm-hmm .
[35:26] Speaker_A | Yeah . And also yeah . A and also s in 'cause in the meetings uh the speakers might might report something uh they've done in the past and uh uh uh uh talk about th what they are currently doing and also planning some future actions . So this kind of information might also be helpful .
"[35:46] Speaker_B | Yeah . So so have have you tried I mean um I know of one previous attempt to establish what exchanges are needed for f um some kinds of industry meetings , and our experience in that project was that um you can't really identify exchange structures in these meetings because they they don't really follow that pattern . That exchanges are clear in um well , i there're clearer in when you've got fewer people . So there's fewer people trying to pull the discourse goals in different directions . Um and they're clearer when um your goals are quite limited . So when you've just got information exchange and you know , the or there's a clear task that the people are trying to do and they're focussed on that task , as is normal in dialogue elicitation like map task or like your"
[35:50] Speaker_A | Mm-hmm .
[36:06] Speaker_A | Mm-hmm .
[36:18] Speaker_A | Yeah .
"[36:35] Speaker_B | like your informa which like your information seeking dialogues , which wasn't dialogue elicitation , but it was very constrained in genre . So um the the answer to the question might be nobody knows what the catalogue of exchanges is for real meetings because um or for these decision making meetings because you can't identify exchanges , right . So have you gone through the meetings and looked for initiations and responses with without a prior catalogue , just knowing that init initiation in introduces a new discourse goal and a response um meets or negates that goal in some way . So have you tried marking these exchanges ?"
"[36:42] Speaker_A | Yeah , yeah ."
[36:49] Speaker_A | Mm-hmm .
[37:12] Speaker_A | Yeah .
[37:20] Speaker_B | Mm-hmm .
"[37:24] Speaker_D | Well I mean I think that um w it I don't know uh w it'd probably get to re hear , you know , more of your presentation because I think there are lots of different candidates and you certainly can't go through and mark up every meeting , I mean mark up meetings with every scheme we think of . So I think we have to kind of get an overview of what the candidates are m if there's like two or three that we think are good contenders , then we try to see what works better , right ."
[37:33] Speaker_A | Mm-hmm .
[37:42] Speaker_A | Yeah .
[38:11] Speaker_D | There are a lot of option there are a lot more options . So so let's see what what else you've got .
[38:25] Speaker_B | So that's it .
"[38:25] Speaker_D | Oh , so that was it on dialogue , okay ."
[38:27] Speaker_B | Yeah .
[38:30] Speaker_D | Okay . So uh it's very unclear to me why you think exchange of information is more principal t uh did you I mean what did you have specific schemes in mind there ? Or spec mm specific
[39:15] Speaker_B | Do you mean an action in terms of what the group is requiring him to do or do you mean an action in like picking something up ?
"[39:23] Speaker_B | So action in the technical meeting sense or just action in the physical sense . Right , okay ."
"[39:27] Speaker_A | Physical sense , yeah . Physical sense , yeah . Yeah , so uh this kind of might be the uh some kind of semantics of the utterance or or exchange . So uh this is just one um thing I one parameter uh for mm-hmm ."
[39:45] Speaker_D | But can you give us an example of a scheme that's based on exchange of information ?
[39:54] Speaker_A | I mean uh here the scheme is for exchange scheme .
"[39:58] Speaker_A | So yeah , for uh for for uh exchange of information . So there might be the uh s speaker , and he uh a hearer . So who speaks to whom and uh uh"
[39:59] Speaker_D | Okay .
"[40:16] Speaker_A | S so this is the uh uh so direction of the information flow and also so speaker role might be first uh parameters for the uh ex uh information exchanges . So um but for action that might be uh some kind of uh propose or accept or reject kind of uh uh exchange structure , I mean ."
[40:30] Speaker_D | Mm-hmm .
"[40:43] Speaker_B | Oh , so that's not a physical action , right ? Uh uh if I pick this up , which is a physical action , you can't reject that . What do you mean ?"
[40:49] Speaker_A | Uh-huh .
[40:57] Speaker_A | So we're going to do something and uh uh so could you do something or this kind of uh action related utterance I mean . Yeah .
"[41:06] Speaker_B | Right . That's right , that's a action in the sort of technical sense of meetings . So you are actioned to do something , which is part of the permanent record that yeah , okay ."
"[41:10] Speaker_A | Okay , technical sense . Yeah . Yeah . Yeah , yeah , yeah , yeah ."
"[41:15] Speaker_A | Okay , yeah , yeah . Okay , yeah , that's n"
[41:19] Speaker_A | Hmm .
"[41:27] Speaker_A | Before come up with the scheme , you mean . Yeah ."
"[42:00] Speaker_A | So yeah . Uh yeah . S Stent yeah Stent might does um yeah . Stent , yeah ."
[42:08] Speaker_A | Mm no .
[42:10] Speaker_D | Okay . So um have you looked at Nate Blaylock's work ?
[42:16] Speaker_A | Uh so so 'cause I'm I might not familiar with these na
[42:29] Speaker_A | Mm-hmm .
[42:41] Speaker_D | I can't remember the I can't remember the names of all the actions .
[42:42] Speaker_A | So uh is it the work uh described in the c uh in in uh in the coconut project or something similar ?
"[42:47] Speaker_D | No , so so the Coconut project is a project that I did with Rich Thomasson and Barbara DiGinio . Have you looked at that ?"
"[42:52] Speaker_A | Yeah , yeah , yeah , yeah . Y yeah , look uh not very much detail , yeah ."
"[42:57] Speaker_D | Not very clear . No . Though there's a lot of detail in the paper . But you haven't looked at it no in very much detail . Okay , so I think you should , um because it was all these things that are done for joint problem solving and joint action I think are very relevant to look at because these people are solving a problem together , right . So um while these schemes may not have they have some es of the essential components that you need to characterise um joint problem solving . So while th um"
[43:00] Speaker_A | Yeah .
"[43:03] Speaker_A | No , not . Okay ."
[43:12] Speaker_A | Yeah .
"[43:27] Speaker_D | you may think that they're missing something , then we we could certainly augment them . But I think that they have to be looked at . And so so Nate Blaylock tried to okay , so you know , from Gross and Krauss and Gross and Sidener came all this stuff about shared plans and how you really can't understand , you know , dialogue u unless you understand shared plans . But the actual theoretical um or formalisation of it was incredibly complex . And so um Lockbaum simplified it quite and , you know , Sidener and Rich and Collagen have simplified it quite a bit . Um but Nate Blaylock tried to um , you know , define ,"
"[43:55] Speaker_A | Yes , yes ."
"[44:14] Speaker_D | you know , what happens after somebody suggests something . Well , you can adopt it , you can well I can't remember you know , okay , but he has uh he has a taxonomy yeah , right ."
"[44:22] Speaker_A | Yeah , I know okay . Oh . Uh I know this guy , yeah , yeah . Uh , Jim @'s student . Yeah , I know . No no , in Saa Saarbruecken . Yeah , yeah . Okay . Yeah yeah yeah . Okay . Yeah , I know , her ."
[44:35] Speaker_B | Different .
[45:12] Speaker_A | Mm-hmm .
"[45:28] Speaker_B | Mm-hmm , yeah ."
[45:31] Speaker_B | Well the first step is find out in the what how much of the material does the collaborative problem solving cover ? So how much of a genre clash is there here ?
"[46:10] Speaker_B | Yeah . B th But there there are people in the field that are moving that direction , like Martin . And also what's important here is the theoretical clarity about what an initiation and a response is . So what is it that ties um different acts together at a higher level , you know ."
[46:11] Speaker_A | Mm-hmm .
"[46:25] Speaker_D | Mm-hmm . Yeah , th I mean it it does seem like , you know , there's something that we want from that and then there's something that we want from collaborative problem solving . And"
[46:35] Speaker_B | Mm-hmm .
"[46:47] Speaker_B | But I think more important than looking at um whether parts of the meeting are highly interactive or not so interactive is uh looking at what sort of task the people are trying to do at the moment . So you know , are they doing um uh i are are they uh i as in the kick off meeting just exchanging information to get started with a project or are they uh actually addressing some specific design um criteria at the moment . Should try to decide which shape the thing is ."
[47:33] Speaker_A | Yeah .
[47:36] Speaker_D | Hmm .
"[47:48] Speaker_A | Yeah . So main actions I guess might be some some high level uh problem solving or decision making uh uh concepts , uh not like the exchange which which I I would like to be very low level utterance to utterance relations ."
[48:10] Speaker_B | Um so what's the high level version again ? P s
"[48:12] Speaker_A | Uh I mean uh I mean the m main actions might be some it might be , yeah , built built"
[48:14] Speaker_C | Meeting action .
"[48:16] Speaker_B | Right , okay . I mean i the meeting actions is just gonna be a segmentation . It's not going to present any s any micro-structure . So it's just gonna say from here to here they're doing something . That's all that that scheme is gonna do ."
"[48:25] Speaker_A | Okay , so well w"
[48:28] Speaker_A | Okay .
"[48:28] Speaker_D | Like somebody's writing on the white-board or I mean the w meeting actions they presented at the review seemed really low level to me , like somebody stood up ."
[48:30] Speaker_A | Okay .
[48:35] Speaker_B | It's n
"[48:39] Speaker_B | That's not no , those well , that's individual actions . And the meeting actions are meant to b uh become more um semantic and more theoretical than the kind IDIAP have traditionally used . So so we need to still preserve some uh sense of the activity . But rather than saying it is somebody's at the white-board , it'll be , you know , that somebody's explaining something that the others are focussed on ."
"[48:39] Speaker_A | Okay . Physical . Some kind of physical actions , yeah ."
[48:47] Speaker_D | Okay .
[48:49] Speaker_D | Okay . Okay .
[48:57] Speaker_D | Okay .
"[49:01] Speaker_D | I mean I I realise it's important to recognise that , you know , what Wei-Xun got up and went to the white-board . I realise that's important , you know . But I d was kind of surprised that those meeting actions . So Yeah , mm okay ."
[49:01] Speaker_A | Okay .
[49:08] Speaker_B | Yeah .
[49:12] Speaker_B | It's it's a different scheme . Yeah .
"[49:29] Speaker_B | Mm-hmm . Well you might need the meeting action segmentation in order to know where what uh what area you're circumventing for so , it's just exchange structure in this area that you're looking at , and then that's a solid boundary between the next bit or something . I don't know . Um but w well , time's getting on . So , you know , what practical things can we do to help this work move forward ? So y show what else"
[49:44] Speaker_A | Yeah .
"[49:49] Speaker_A | Yeah , okay ."
"[49:57] Speaker_A | Next . Yeah . So yeah , for the monologue I've I have not uh looked into the details about the this kind of uh relations for the monologue parts ."
"[49:58] Speaker_B | you're you're thinking about , yeah ."
