[01:30] Speaker_A | Okay .
"[11:00] Speaker_C | Yeah , and if we're going for sleek and sexy , I think a scroll wheel is maybe a bit kinda bulky ? I I've got um pictures well I've seen pictures with it kind of sticking off the side of it , and they don't really look great ."
[11:00] Speaker_D | Mm-hmm .
[11:09] Speaker_A | Right . Okay .
[11:11] Speaker_B | 'Kay .
"[11:30] Speaker_D | So are we going for the w are we going for the simple one , are we ?"
"[11:33] Speaker_C | Yeah , a simple pushbuttons ."
[11:34] Speaker_D | Okay .
[11:45] Speaker_A | Mm-hmm .
[11:45] Speaker_D | Yeah .
"[12:00] Speaker_A | So if we go for the simple push button , so effectively we're going for the simple printed circuit board are we ? Or are we going for the regular ?"
[12:09] Speaker_B | Um if it's just the push button then it just needs the simple circuit board .
"[12:12] Speaker_A | Mm-mm . But is there any other I mean okay , that's true for the for for that element , but we have to take all el elements into consideration . And so if there is one element that requires the more expensive one , or say the regular one , or the more advanced , then that would have to be the same for all of them . S"
[12:32] Speaker_D | Mm .
"[12:36] Speaker_D | I suppose we need we need to find out what circuit board that requires , maybe before we m make a decision ."
"[12:43] Speaker_C | But the way that I interpret that um it doesn't seem to send out a signal to the telly , it just it's like a parrot just rep reply replying to your message . So I don't think it would effect our circuit board ."
[12:43] Speaker_A | Right .
"[12:51] Speaker_D | Oh yeah , I suppose so , yeah ."
[12:52] Speaker_A | Mm-hmm .
"[12:53] Speaker_B | So maybe that would be something separate , yeah ."
[12:56] Speaker_D | Yeah .
[12:56] Speaker_A | No .
"[12:56] Speaker_B | Okay , so we'd have a simple circuit board and that would be an extra that would be in addition to it . Oh that makes sense ."
"[13:00] Speaker_C | Yeah . And I don't think you could really perform any of the remote functions with it . 'Cause the example that they've given there is good morning coffee machine , good morning Jo . It might be useful to say like where are you remote . Here I am , Jo . But I think that's maybe as far as that one could go ?"
[13:00] Speaker_D | Yeah .
[13:07] Speaker_A | Mm-mm .
[13:10] Speaker_B | Okay .
[13:16] Speaker_A | Okay .
"[13:17] Speaker_B | Yeah that makes sense , so we'd stick with the simple circuit board and then think of the speech recognition as an extra"
[13:17] Speaker_D | Yeah .
[13:23] Speaker_B | an extra possibility .
"[13:23] Speaker_C | Yeah , just as a fun way to find it ."
[13:25] Speaker_B | Okay . Um .
[13:34] Speaker_A | Okay . W w kinetic . You were you were wanting to go for the kinetic power supply .
[13:35] Speaker_C | And it says that I think it said the cost of that isn't too much .
[13:40] Speaker_B | Um yeah I I thought so just for just for ease of not having to replace the batteries .
[13:45] Speaker_A | Mm-hmm . And how does it get uh charged up ?
[13:46] Speaker_D | Mm-hmm .
[13:46] Speaker_B | Um .
[13:50] Speaker_B | It's um I think it works on the basis they have some kind of ball bearings inside . It's um it's some on watches which you you kind of you shake to power it up . Somehow the mechanism inside powers up through movement . So you'd you'd move the remote around a little bit and then that powers it up to use it .
[14:00] Speaker_D | Mm-hmm .
[14:02] Speaker_A | Okay .
[14:06] Speaker_D | Yeah .
"[14:21] Speaker_C | Yeah , I think so ."
[14:21] Speaker_D | Just just for the call and find thing .
[14:23] Speaker_A | I had speech recognition requires advanced req require
"[14:26] Speaker_B | Oh no th that's what that's what I thought , but maybe maybe it doesn't ."
[14:30] Speaker_B | Um I think I might have got that wrong .
[14:36] Speaker_B | It's it's just an addition thing it's um yeah .
[14:43] Speaker_C | Mm-hmm .
[14:43] Speaker_B | 'Kay .
[14:44] Speaker_D | Mm-hmm .
[14:48] Speaker_B | 'Kay shall I pass on to you now ?
"[14:51] Speaker_A | In fact , it wouldn't really cost anymore , would it ?"
[14:54] Speaker_C | I'll just just check what it said .
"[15:00] Speaker_C | Actually I don't think it really says anything about the cost , but it says that it's already in the coffee machines , so"
[15:08] Speaker_D | Yeah .
[15:11] Speaker_B | Maybe we maybe we'll find out how much that does cost and have to decide slightly later .
[15:21] Speaker_A | Okay . S
[15:22] Speaker_C | Um .
"[15:38] Speaker_C | From looking at the remotes that are out there at the minute , none of them are particularly um sleek and sexy . Um I haven't actually got the examples of the scroll button there , um but there's some curved cases that you can see , uh a range of sizes uh . All of them have a lot of buttons there um they seem to just have the rubber buttons ."
[15:58] Speaker_C | Does that move it ?
[16:00] Speaker_A | Sorry ?
"[16:02] Speaker_A | Yeah , I've found that try and get it back ."
[16:05] Speaker_B | If you right click and then go onto a previous slide .
"[16:08] Speaker_C | Ah it's alright . Um . There wasn't much more to say about that , just rambling . Um some of the uh remotes that I looked at , one of the models da did actually have voice recognition where you could um"
"[16:08] Speaker_B | Okay , right ."
"[16:20] Speaker_C | where it was connected to the remote control functions . And uh it was quite uh a swish model , where it can control uh four devices , T_V_ , cable , satellite , video , D_V_D_ , audio . Um so that's a bit of competition there . So"
[16:37] Speaker_C | I mean maybe it's better not to try and compete with that sort of thing and just to market it as a completely different um
"[16:44] Speaker_C | like different viewpoint as a kind of finding your lost control rather than trying to compete with the functions . Um the scroll buttons , as you've already mentioned , um"
"[16:45] Speaker_B | Yeah , yeah ."
"[17:04] Speaker_B | On the price , yeah ."
"[17:10] Speaker_C | Yeah . Th there was a specialist type of remote that we could think about , um ."
"[17:16] Speaker_C | There was children's remote , where um they just had a very limited range of buttons and they were b uh bright and colourful and um you you could program them so that they could only look at certain channels ."
[17:28] Speaker_B | 'Kay .
[17:29] Speaker_A | Mm-hmm .
[17:29] Speaker_C | Um but I don't know if that's really in our field ? But that's something that's out there .
[17:36] Speaker_B | Was it was it specified that we went for the biggest ?
[17:42] Speaker_C | Hmm .
[18:06] Speaker_D | Mm-hmm .
"[18:12] Speaker_A | Anyway you could add on for an extra package , but on this basic one I'm reckoning that we're going for the basic model to be discussed here and that uh you would have for future reference the possibility of adding in extra features at extra cost to take care of specialist market segments ."
[18:26] Speaker_C | Hmm .
[18:27] Speaker_D | Mm-hmm .
[18:30] Speaker_D | Mm-hmm .
[18:31] Speaker_C | Okay . Right well that's something that we can be aware of .
[18:33] Speaker_A | Is that So so what are we deciding to do here ?
[18:37] Speaker_C | Um .
"[18:39] Speaker_C | I think because there's already um very good voice recognition technology out there , and because ours might not cover the same functions that the leading brands do , it might be a good idea to market it as a um finder function ."
[18:44] Speaker_A | Right .
[18:49] Speaker_A | Mm-hmm .
"[18:53] Speaker_A | Uh the fi Yeah , the finder function rather than as a speech function to find your remote . Okay ."
[18:56] Speaker_B | Yeah .
[18:58] Speaker_C | Yeah .
[18:58] Speaker_B | So you also said for going for the international market um that some some maybe older people might not like the speech recognition .
[19:06] Speaker_C | Oh yeah .
[19:07] Speaker_C | Different languages might not be compatible .
[19:12] Speaker_A | Hmm .
[19:15] Speaker_C | Hmm .
[19:16] Speaker_D | Mm-hmm .
"[19:17] Speaker_C | Yeah , 'cause I think you program um this one yourself , like to say like whatever you want to your question ."
"[19:22] Speaker_B | Yeah , yeah ."
"[19:26] Speaker_D | Yeah and ours is quite a cheap device , so I don't know how much we'll be able to put into it ."
[19:30] Speaker_B | Yeah .
[19:31] Speaker_D | Yeah .
[19:31] Speaker_A | So you'd have a finder feature rather than a voice recognition feature . And you were talking
[19:35] Speaker_C | Hmm . Maybe unless something else comes up .
[19:38] Speaker_A | Mm . And you were talking about scroll buttons ?
[19:41] Speaker_C | Um yeah I think um I think we've decided that it's gonna increase the cost and give no real kinda extra benefit and it's gonna decrease from the sleekness of it .
[19:47] Speaker_A | Okay . b
[19:48] Speaker_B | Yeah .
"[19:52] Speaker_A | Alright , so we're just gonna have the the rubber buttons , was that right ?"
[19:54] Speaker_B | Yes yes .
[19:55] Speaker_C | Hmm um and just to be aware that there are kind of specialist functions and specialist remotes but we probably don't want to focus on those like such as the children's remote .
[20:04] Speaker_A | Okay . So not to be focused on .
[20:27] Speaker_C | Um let's think how they did this .
[20:29] Speaker_A | Good in in Flip it round in ninety degree a hundred and eighty degrees and have it up and down . An upside-down V_ .
[20:31] Speaker_C | I'm just gonna check so I do this right .
[20:38] Speaker_C | Um . What did they say ?
"[20:38] Speaker_A | So that would show that volume was going up , whereas the one underneath would see the volume going down ."
[20:58] Speaker_A | Right .
"[20:58] Speaker_C | Actually that can't be right , can it ? Oh well , no , they might see"
"[21:02] Speaker_C | yeah , they might see this pointing down and think right that's gonna turn the volume down , whereas the actual button's pointing up , so the function is to turn the button up ."
[21:04] Speaker_A | Mm-hmm .
[21:09] Speaker_A | Mm-hmm .
"[21:12] Speaker_C | So , be careful what you put on the buttons and be careful of the shape that you make them , because they might be kind of two um"
[21:16] Speaker_D | Mm-hmm .
[21:17] Speaker_B | Yeah .
[21:20] Speaker_C | contradicting kind of shapes .
[21:20] Speaker_B | Yeah I I know what you mean . So maybe we could have volume written on the side and then up and down on the on the buttons themselves .
[21:26] Speaker_C | Yeah .
[21:27] Speaker_B | Possible .
[21:33] Speaker_B | Mm .
[21:41] Speaker_B | Yeah yeah .
[21:44] Speaker_B | Yeah .
[21:45] Speaker_B | Yeah we got it down to not too many .
[21:46] Speaker_D | Mm-hmm .
[21:51] Speaker_C | Um and I think that's all I had to say for that .
[21:56] Speaker_D | Okay .
[21:59] Speaker_C | Um so what was the decision on the um design of the volume button ?
"[22:06] Speaker_B | Are we are we gonna go through the design of all the buttons at the moment , or are we gonna t"
[22:10] Speaker_D | I've I've got some things to say about possible design things from
"[22:13] Speaker_B | Yeah , maybe we should see yours first ."
[22:13] Speaker_C | Oh okay .
[22:14] Speaker_A | Okay .
[22:14] Speaker_D | trend watching .
[22:18] Speaker_D | Cool .
"[22:32] Speaker_D | Right , um I've been looking at some trends"
"[23:11] Speaker_D | So just to summarise the most important things which came out of the remote control market investigation . The most important thing was that the thing sort of look and felt fancy rather than just functional . And second , there should be some technological innovation . And then third and l less important than the other two , there should be an ease of use as well ."
[23:22] Speaker_B | 'Kay .
"[23:33] Speaker_D | And apparently , the fashion trends are that people want sort of clothes and shoes and things with a fruit and vegetables theme . Um but um the feel of the material should be spongy , which is contrary to last year , apparently . I presume it must have been not not spongy last year . So"
"[23:58] Speaker_D | we need to emphasise the fancy design with on on our remote control above all else . And then also try and add in technological informat innovation which could be our sort of find the thing with a hand clap . And then we need to ma sort of make it easy to use that's as a third priority , so perhaps um fewer fewer buttons and functions as we've as we've discussed . And then maybe find a way to incorporate these trends so that we sort of capture people's imaginations ."
"[24:59] Speaker_D | How how far we actually want to go along and sort of follow the trends , do we think the trends are particularly important for this type of gadget , or or you know , do they not matter that much ?"
"[25:12] Speaker_C | I think if you start making the buttons fruit shaped , it might make it more complicated to use ."
"[25:16] Speaker_A | Well you were just talking about you've got to be careful how you shape your buttons , 'cause you're can mis-direct people . And I would've thought the functionality 'cause the people get cheesed off by things by having to read instructions et cetera , so ."
[25:22] Speaker_D | Yeah .
[25:22] Speaker_C | Yeah .
[25:30] Speaker_A | .. .
"[25:31] Speaker_C | Maybe just one button , say the standby button is quite kinda separate from all the other functions . Maybe that could be a little apple ."
"[25:38] Speaker_A | Okay . Now ? Yeah . Stand-by button . No th that that incorporates the trend whilst at the same time not confusing people , if you're looking for functionality ."
"[25:38] Speaker_C | And then that wouldn't get in the way of like kinda one to nine , and it wouldn't confuse the numbers ."
[25:47] Speaker_D | Mm-hmm .
"[25:54] Speaker_A | But what are they gonna be next Yeah . What are they gonna be next year . But but th but okay but you you can incorporate the tr If y if you change all the buttons then you've got the problem that this year's fruit and veg , next year's uh I was gonna say animals or elephants or w whatever . That means you're constantly changing your production schedule , and you've gotta make different moulds and everything else , so that's not a good idea I would I would suggest ."
[25:59] Speaker_C | Hmm . S
[26:05] Speaker_D | Mm-hmm .
[26:18] Speaker_D | Yeah .
[26:20] Speaker_D | I'm not I'm not sure what what what the sort of timescale we're thinking of selling the product over is . I don't know .
[26:27] Speaker_B | I mean it just seems realistic that the remote control market isn't the kind of thing which takes in
[26:31] Speaker_B | those kinds of fashion trends . to something which is maybe more universal .
[26:36] Speaker_D | Mm-hmm .
[26:39] Speaker_D | Mm-hmm .
[26:40] Speaker_B | We c maybe can imply a fruit shape possibly .
[26:43] Speaker_D | Mm-hmm .
[26:44] Speaker_A | Ah d d But if Mm-hmm . Well . Yep .
"[26:45] Speaker_B | Maybe the spongy feel is something we could think about , um ."
[27:00] Speaker_D | Yeah .
"[27:00] Speaker_C | It seems like you're gonna have rubber cases , as well as buttons ."
[27:05] Speaker_D | Yeah .
[27:06] Speaker_D | Yeah .
[27:07] Speaker_B | Um .
[27:08] Speaker_C | And that you can make them curved or double-curved and that would be the kind of sleek and sexy look .
[27:12] Speaker_B | Oh yeah yeah one of the things were if you had rubber buttons then you had to have a rubber case .
[27:17] Speaker_A | Mm-hmm .
"[27:17] Speaker_C | Oh right , that fits , doesn't it ?"
[27:17] Speaker_B | Um oh no no no sorry it's if you use the uh rubber double curved case then you must use rubber buttons . That's the way round . If you have the rubber case then you have to have the rubber buttons to go with it .
[27:28] Speaker_B | Which makes sense .
[27:30] Speaker_C | Right .
[27:31] Speaker_B | Um .
"[27:33] Speaker_C | And that would fit in with what we want , wouldn't it , for the spongy feel , to have everything rubber ."
[27:35] Speaker_D | Mm-hmm .
[27:47] Speaker_D | Mm-hmm .
[27:58] Speaker_D | Mm-hmm .
[28:03] Speaker_D | Yeah .
[28:11] Speaker_D | Okay .
[28:17] Speaker_D | Yeah .
[28:17] Speaker_B | Yeah .
[28:26] Speaker_B | I suppose we maybe are limited in the fact that we still have to put the logo on the actual would or not .
[28:27] Speaker_D | Mm-hmm .
[28:33] Speaker_B | Yeah .
[28:33] Speaker_D | Mm-hmm .
[28:34] Speaker_C | Hmm .
[28:39] Speaker_B | Yes yes .
"[28:46] Speaker_B | Maybe we could think of the the cases like changing with the fashions like the Nokia phones where you could take the casing off the outside . But whether that would be too much to incorporate in production , whether that would just increase the costs , make it more complicated ."
[28:52] Speaker_D | Mm-hmm .
[28:56] Speaker_A | Hmm . So you're talking there about uh changing
[29:00] Speaker_D | That's possibly it .
[29:05] Speaker_A | changing the casing .
"[29:07] Speaker_B | Yeah the a the actual the sort of the look from the outside , so where the buttons would stay the same , and the general function of the remote would stay the same , but you could change the the way it looked ."
[29:10] Speaker_D | Mm-hmm .
"[29:16] Speaker_C | Yeah and then you could have Oh but you still would have to have the logo on every new case , but you could have like pink cases for girls and red ones and things like that ."
"[29:20] Speaker_B | Yeah , that's true ."
[29:30] Speaker_B | Yeah .
[29:33] Speaker_D | Mm-hmm .
[29:35] Speaker_C | Hmm .
"[29:41] Speaker_B | So it is a possibility , um ."
"[29:43] Speaker_C | But we are supposed to use the um company colour scheme , aren't we ? We haven't really seen that yet"
[29:47] Speaker_A | Yes oh that's true uh that might no
[29:48] Speaker_D | Yeah .
[29:49] Speaker_C | It might and we might be able to do both but it might clash with certain things .
"[29:52] Speaker_A | Well not necessarily , because you could have your company uh We're we're meant to be finishing up . You could have your company badge and logo . I mean a lot of um computers for instance like like on the one you've got there , it actually has a sort of um stick on badge so what you would al all you would really need , whether it , you know , whether the casing be w any colour , could be any colour , but that badge would then have to stick out on top of it so that uh in a sense , with a with a logo like that , because it's on a white background , the only colour that it might not stick out so well on would be a white casing ."
[30:05] Speaker_D | Mm-hmm .
[30:21] Speaker_D | Mm-hmm .
"[30:32] Speaker_A | 'Cause you you know you're sort of you're badging it . And in fact a lot of companies get somebody else to make them and literally just badge them themselves with their own uh badge over the top . And in fact the way they've got that there even if you had that on a white , which is the predominant colour of the uh the Windows badge , you'd still be able to see it clearly from you know a white casing uh product . So ."
[30:32] Speaker_B | Mm-hmm .
[30:39] Speaker_D | Mm-hmm .
[30:41] Speaker_D | Mm-hmm .
[30:52] Speaker_B | Mm-hmm .
[30:55] Speaker_B | Yeah .
[30:56] Speaker_C | Hmm .
[30:56] Speaker_B | And whether we'd have a big enough market to have this kind of like secondary market of selling the cases
[31:02] Speaker_B | might be something to consider .
[31:03] Speaker_D | Mm-hmm .
"[31:04] Speaker_C | Well if it's for young people , um like the phone generation , that sort of thing'd probably go down well , and the market research has been on that side of things , hasn't it ?"
[31:07] Speaker_D | Yeah .
[31:09] Speaker_B | Yeah .
"[31:19] Speaker_D | Yeah . I'm not convinced on whether having changeable covers would be something that people would buy into . I think with the mobiles ,"
"[31:26] Speaker_D | it's the , you know it's a communication device , people see you with it all about and"
"[31:30] Speaker_B | Yeah I suppose , where you you keep the remote hidden under the sofa most of the time ."
[31:31] Speaker_D | i if it
"[31:32] Speaker_A | It's uh in in the house , isn't it , I suppose ."
[31:34] Speaker_D | Yeah .
[31:39] Speaker_A | So don't change case . Change case colour . And we're sort of saying no to that .
[31:40] Speaker_D | Mm-hmm .
"[31:48] Speaker_C | Did we decide on the rubber case ? The spongy feel , or did we think that that might go as a trend ?"
"[31:53] Speaker_D | Well , it was different last year . The trend was different last year apparently . It was not not spongy feel ."
[32:02] Speaker_D | I don't know whether the trend will change . I don't know whether it's one of those things that
"[32:06] Speaker_D | like sort of having all fruit shaped keys , that that probably would go out of fashion very quickly , whereas just the fact that it was a rubber case is probably less less of something that"
[32:12] Speaker_A | Yeah .
[32:16] Speaker_A | Sounds reasonable .
"[32:17] Speaker_D | y you're gonna end up hating in a year , you know ."
[32:27] Speaker_B | Yeah .
[32:29] Speaker_D | Yeah .
[32:32] Speaker_D | Mm .
[32:39] Speaker_A | Okay .
[32:39] Speaker_D | Okay .
"[32:40] Speaker_C | Uh we haven't really talked about uh the curvature of the case . There's flat , there's single-curved and there's double-curved ."
[32:40] Speaker_B | Um .
[32:47] Speaker_B | Um .
[32:49] Speaker_C | I'm not exactly sure what these things look like .
"[33:01] Speaker_D | When you say d when you say double-curved , what what exactly does that mean ?"
[33:05] Speaker_C | I'm not exactly sure . Um I'll show you
[33:07] Speaker_D | Okay .
[33:15] Speaker_C | Let's just get that bigger .
"[33:18] Speaker_C | See how uh the one Oh I'm not plugged in , am I ? That doesn't help . Shall I just turn it round for time ?"
"[33:22] Speaker_A | One one thing to cons one thing to consider is that in some ways you want um by having a fairly standard case it means they can all fit together on top of each other therefore for storage purposes in shops and the like and it makes it easier that you can if you can store them up on top of each other . Whereas if you do um fancy things with it , you then gotta put it in a ca a a packaging box that that does that . And the cost of packaging could be quite important vis-a-vis the total cost of the product ."
[33:28] Speaker_D | That should come up .
[33:36] Speaker_D | Mm .
[33:37] Speaker_B | Mm-hmm .
[33:52] Speaker_D | Mm-hmm .
[33:52] Speaker_C | Hmm .
[33:59] Speaker_D | Yeah .
"[34:00] Speaker_C | Um it's not very clear up there , but you can see some of them have got kind of bulges , like the second one and the end one uh where there's a curve there . I'm not exactl I don't know if a double curve is maybe it comes up slightly , or ?"
[34:01] Speaker_A | No .
[34:04] Speaker_A | Mm yep .
[34:06] Speaker_D | Right .
[34:15] Speaker_A | Oh right .
"[34:17] Speaker_A | S so do you wanna go for curves , more curves ? We're meant to be f we're meant to be finishing this meeting in about a minute or so ."
[34:18] Speaker_D | Shall we
"[34:22] Speaker_C | Definitely a single , maybe a double ."
"[34:26] Speaker_C | Shall we go for single curve , just to compromise ?"
[34:26] Speaker_D | Yeah .
"[34:29] Speaker_B | We'll go for single curve , yeah . Single curve ."
[34:30] Speaker_D | Okay .
"[34:30] Speaker_A | Okay , curved or double curved ? So it's single curved ."
[34:37] Speaker_D | Yeah I think that think that's a good idea .
[34:37] Speaker_C | Yeah .
[34:38] Speaker_A | Yep .
"[34:44] Speaker_C | And the rubber push buttons , rubber case ."
[34:48] Speaker_D | Rubber buttons and case .
"[34:51] Speaker_C | Um and we don't really know much about the colour scheme or logo yet do we , but possibly a sticker ."
"[34:55] Speaker_B | Oh we ca Yeah yeah , we'll still have the Are we gonna go for the simple circuit board just to keep the cost down ? I th I think we can by by not having anything too complicated ."
[35:03] Speaker_D | Yeah .
"[35:06] Speaker_C | Yeah . Yeah and and the voice recognition , we can use that can't we , just to find it ."
[35:07] Speaker_B | Um .
[35:11] Speaker_D | Yeah yeah .
[35:11] Speaker_A | Yes . Yep .
[35:11] Speaker_C | Without affecting the circuit board .
[35:13] Speaker_B | And see we could always decide against it if something comes up that's just something to that we seemed to leave out .
[35:21] Speaker_D | Okay . And then are we going for sort of one button shaped like a fruit . Or veg .
[35:27] Speaker_C | Yeah that sounds like it wouldn't do too much harm in a couple of years . Uh what sort of shape do we want ?
"[35:34] Speaker_D | Don't know , maybe just"
[35:39] Speaker_D | Yeah .
"[35:40] Speaker_D | That's ru rubber buttons , yeah ."
"[35:41] Speaker_A | So it's rubber buttons , so it's not really spongy feel buttons , it's just rubber buttons . With a rubber case right ?"
[35:45] Speaker_B | 'Kay .
"[35:45] Speaker_D | Yeah . Reasonably spongy I guess , yeah ."
"[35:46] Speaker_C | Yeah , so it's not too wacky ."
[35:48] Speaker_A | And the standby button is gonna be different .
[35:51] Speaker_D | Yeah okay .
"[35:53] Speaker_C | Um I think an apple would be a good recognisable shape . If you start getting into kinda aubergines and things , it gets a bit weird ."
[35:59] Speaker_A | Okay so what what shape are we making the standby button ? A apple . Oh oh Sorry ?
[36:00] Speaker_D | Yeah .
[36:03] Speaker_D | Apple ?
[36:04] Speaker_C | Vote ?
[36:05] Speaker_D | Yeah .
[36:06] Speaker_C | Shall we vote on it ? Anyone got any suggestions ? Right .
[36:07] Speaker_B | We will go for the a a a apples apples .
[36:12] Speaker_C | Okay . Ah . Well it could be red .
"[36:16] Speaker_D | Could be a red apple , yeah ."
"[36:19] Speaker_D | Either , don't mind ."
[36:19] Speaker_A | A red apple ? Is it ?
[36:32] Speaker_B | Just working out what we're gonna do for the next time .
[36:35] Speaker_D | Mm-hmm .
[36:36] Speaker_B | Um .
[36:37] Speaker_C | Yeah .
[36:39] Speaker_C | Yeah that seems pretty straight forward . 'Cause most of them will just be kind of mainly circular or like very plain .
[36:41] Speaker_B | Yeah .
[36:46] Speaker_B | 'Kay .
[36:47] Speaker_D | Mm-hmm .
[36:49] Speaker_D | Okay .
[36:53] Speaker_A | Sorry what was that last thing again there ?
[36:55] Speaker_C | Uh just to keep the shape of the buttons simple .
[37:03] Speaker_C | Ah just the uh shape of the buttons .
[37:06] Speaker_A | Alright .
"[37:08] Speaker_B | And j yeah , just keeping the sort of the labelling them labelling of them fairly simple as well . Fairly sort of self explanatory ."
[37:14] Speaker_C | Yeah .
