[00:15] Speaker_D | Morning .
[17:25] Speaker_D | And the most interesting tail .
"[17:36] Speaker_C | Well , it's supposed to be a cat . I like cats because uh"
[17:42] Speaker_C | they are uh
[17:47] Speaker_C | independent .
[17:51] Speaker_A | Ah .
[17:54] Speaker_C | The pen .
[18:00] Speaker_C | So .
"[18:01] Speaker_A | Okay . That's pretty clear . So everybody knows how to work with the white board now ? So if you have any ideas or if you wanna draw anything on the white board , just ask and go ahead . It's pretty uh easy ."
[18:08] Speaker_D | Yeah .
[18:10] Speaker_C | The pen .
[18:22] Speaker_D | We're being haunted .
"[18:31] Speaker_A | move along to the project finance . Um as you can see , we um for our remote control , a selling price is uh twenty five Euros . Our selling price . Uh our profit aim is fifty million Euros . Uh that's the least we have to get from our remote controls , so we have to work together to reach our aims . Uh we can do it international , so we have to focus on different kind of users , different kind of cultures , and different kind of trends as well . Um but that's all in the later stadium ."
"[19:11] Speaker_A | Our production cost um can be maximal twelve and a half Euros , so that's also a point we have to keep in mind , that we won't make remote controls with small televisions inside , and stuff like that . It won't work . So just try to remember these points . Selling price twenty five , profit aims fifty million um , but more important is the int international market we're trying to focus on . And production cost uh maximal twelve and a half Euros ."
"[20:01] Speaker_D | Yeah , you got a message ."
"[20:06] Speaker_B | Five minutes , okay ."
"[20:10] Speaker_D | So just on a side note , why is it my laptop is only giving me a black screen ?"
[20:14] Speaker_B | Mm ?
[20:20] Speaker_A | Does it do anything ?
[20:22] Speaker_D | No .
[20:23] Speaker_A | Maybe you have to just clap it down ?
[20:27] Speaker_A | Mm back up again .
[20:33] Speaker_A | No slide show . Hmm .
[20:36] Speaker_D | It's off now .
"[20:37] Speaker_A | It's off . Now you have to put it back o Oh yeah . You'll be okay , I think ."
"[20:47] Speaker_D | Ah , there we are ."
"[20:48] Speaker_A | Nice . Okay . But so mm does everybody has um experiences with uh remote controls , and I mean not the ordinary mote controls , but also a little bit different ones ? Like you can use for other ? No ? You ?"
[21:01] Speaker_B | Mm .
[21:04] Speaker_B | Oh really ?
[21:05] Speaker_B | Huh .
"[21:07] Speaker_D | Well , we have a"
"[21:07] Speaker_C | No , me neither ."
"[21:08] Speaker_D | kind of broad T_V_ at home , and a D_V_D_ player , so we got like a lot of remote controls , one for the T_V_ , one for the video recorder , one for the D_V_D_ player . And I think it's it would be best to just make one remote control that can operate them all ."
[21:18] Speaker_A | Ah yeah .
"[21:24] Speaker_A | Yep . Yeah I've I've got one at home . And you can uh program I think eight different devices in it , and you can use it for your television , anything else . And it also operates on infra-red , so you have to got the little device inside your room , and then you can operate it from the third or th or second floor . So that's pretty handy when you have a video recorder or D_V_D_ player downstairs and you've got a link to your T_V_ on the second floor . So that's a pretty handy um"
[21:25] Speaker_B | Sure . Yeah .
"[21:34] Speaker_B | Okay , yeah . Yeah ."
"[21:46] Speaker_B | Okay , yeah ."
[21:48] Speaker_D | Oh really .
[21:48] Speaker_B | Hmm .
[21:53] Speaker_B | Oh .
[21:56] Speaker_D | Yeah .
[21:57] Speaker_B | Mm-hmm .
[22:00] Speaker_A | thing .
[22:13] Speaker_D | Yeah .
[22:15] Speaker_B | Oh .
[22:16] Speaker_A | That's good to remember .
[22:17] Speaker_D | So I think you can take minutes again .
"[22:19] Speaker_A | Yeah , that's nice , I think . So we've we want different functions"
[22:21] Speaker_D | Since it's your job .
[22:26] Speaker_D | Yeah .
"[22:26] Speaker_A | uh and we can maybe see if we can do something with the infra-red . But I don't know if that will exceed the production costs . So that uh that's something we have to find out , I think ."
[22:37] Speaker_B | Mm .
[22:45] Speaker_A | And other functions for a remote control ?
[22:50] Speaker_A | Maybe we can make it uh uh
[22:50] Speaker_D | Um .
[22:51] Speaker_B | Mm-hmm .
[22:54] Speaker_D | Think it has to be shock proof
"[22:56] Speaker_B | Sure , yeah ."
[22:57] Speaker_A | Shock proof .
[22:58] Speaker_D | my remote control tends to fall a lot .
[23:06] Speaker_A | Waterproof .
[23:09] Speaker_A | Okay . So these are our um a few things we can think of . Um I will put the minutes from this meeting uh in our project folder .
[23:21] Speaker_B | 'Kay .
"[23:21] Speaker_D | Yeah , one other little thing . Thought it might be handy to put a battery status display on it ."
[23:28] Speaker_D | So you can see
[23:28] Speaker_A | That's a battery stays .
"[23:30] Speaker_B | Okay , yeah ."
[23:30] Speaker_D | how much is left in the battery .
"[23:34] Speaker_D | But they'll also really drag up the production costs , so think we'll have to see about that too ."
[23:38] Speaker_A | Yeah .
[23:40] Speaker_B | Mm .
[23:41] Speaker_A | Uh .
"[23:42] Speaker_D | But maybe just a little LED , I don't know ."
[23:45] Speaker_A | That's an idea as well . Other ideas ?
[23:49] Speaker_A | Quick ideas .
[23:51] Speaker_B | Mm .
[23:52] Speaker_A | Okay . Any questions about this uh presentation ? Kick off presentation .
[23:52] Speaker_B | Yeah .
[23:58] Speaker_D | Um .
"[24:00] Speaker_D | Nope , don't think so ."
[24:02] Speaker_A | No ?
"[24:03] Speaker_A | Okay , then I'll put the minutes from this meeting in the project folder ,"
[24:09] Speaker_A | and then we can all work .
[24:13] Speaker_D | Okay .
[24:15] Speaker_D | Aye sir .
[24:31] Speaker_D | Half an hour .
[24:33] Speaker_C | Okay .
[24:34] Speaker_B | Okay . Yep .
[24:34] Speaker_D | Okay .
