[00:08] me013 | OK .
"[14:07] me013 | And the multi - English , does"
"[14:11] me013 | So if we think of this in error rates ,"
"[14:13] me013 | we start off with , uh eighteen percent error rate , roughly ."
[14:16] mn007 | Mm - hmm .
[14:18] me013 | Um and we uh
"[14:22] me013 | almost , uh cut that in half"
[14:26] me013 | by um
[14:29] me013 | putting in the on - line normalization and the neural net .
[14:33] me013 | And the MSG doesn't however particularly affect things .
[14:37] mn007 | No .
[14:37] me013 | And we
"[14:39] me013 | cut off , I guess about twenty - five percent of the error ."
"[14:43] me013 | Uh no , not quite that , is it . Uh , two point six"
"[14:48] me013 | out of eighteen . About ,"
"[14:51] me013 | sixteen percent or something of the error ,"
[14:53] mn007 | Mm - hmm .
"[14:53] me013 | um , if we use multi - English instead of the matching condition ."
"[14:59] me013 | Not matching condition , but uh , the uh , Italian training ."
[14:59] mn007 | Yeah .
[15:02] fn002 | Yeah .
[15:02] mn007 | Mm - hmm .
[15:03] me013 | OK .
[15:04] mn007 | Mmm .
"[15:09] me013 | Yes , good ."
[15:13] me013 | OK ?
"[15:14] me013 | So then you 're assuming multi - English is closer to the kind of thing that you could use since you 're not gonna have matching ,"
"[15:22] me013 | uh , data for the uh for the new for the other languages and so forth ."
"[15:26] me013 | Um ,"
"[15:28] me013 | one qu thing is that , uh I think I asked you this before , but I wanna double check . When you say"
"[15:34] me013 | "" ME "" in these other tests ,"
"[15:37] me013 | that 's the multi - English , but it is not all of the multi - English , right ? It is some piece of part of it ."
"[15:43] mn007 | Or , one million frames ."
[15:48] fn002 | You have here the information .
[15:49] mn007 | It 's one million and a half .
[15:52] mn007 | Yeah .
"[15:53] me013 | Oh , so you used almost all You used two thirds of it ,"
[15:55] mn007 | Yeah .
[15:56] me013 | you think .
"[15:57] me013 | So , it it 's still it hurts you seems to hurt you a fair amount to add in this French and Spanish ."
[16:03] mn007 | Mmm .
[16:04] fn002 | Yeah .
[16:09] me013 | Uh .
"[16:10] me006 | Well Stephane was saying that they weren't hand - labeled ,"
[16:12] fn002 | Yeah .
"[16:13] mn007 | Yeah , it 's Yeah ."
[16:14] me006 | the French and the Spanish .
[16:15] fn002 | The Spanish .
[16:16] fn002 | Maybe for that .
[16:17] me006 | Yeah .
[16:19] me013 | Hmm .
[16:19] mn007 | Mmm .
[16:24] me013 | OK .
[16:28] fn002 | Um .
"[16:30] fn002 | Mmm , with the"
"[16:32] fn002 | experiment type - two ,"
[16:43] fn002 | another feature .
[16:45] me013 | Mm - hmm .
[16:46] fn002 | And we s
"[16:49] fn002 | first the feature are without delta and delta - delta ,"
"[16:53] fn002 | and we can see that in the situation ,"
"[16:55] fn002 | uh , the MSG - three ,"
[16:57] me013 | Mm - hmm .
[16:57] fn002 | the same help nothing .
[17:00] fn002 | And then I do the same but with the delta and delta - delta PLP delta and delta - delta .
[17:07] fn002 | And they all p
[17:08] fn002 | but they all put off the MLP is it without delta and delta - delta .
[17:13] me013 | Mm - hmm .
[17:21] fn002 | the baseline PLP with delta and delta - delta .
"[17:30] fn002 | the new neural network trained with PLP delta and delta - delta , maybe the final result must be better . I don't know ."
"[17:42] mn007 | Do - This number , this eighty - seven point one number ,"
"[17:50] me013 | Yes , yeah , I mean it can't be compared with the other cuz this is , uh with multi - English , uh , training . So you have to compare it with the one over that you 've got in a box , which is that , uh the eighty - four point six ."
[17:50] mn007 | Which number ?
[17:54] fn002 | Mm - hmm .
[17:59] fn002 | Mm - hmm .
[18:00] me013 | Right ?
[18:01] mn007 | Uh .
"[18:02] mn007 | Yeah , but I mean in this case for the eighty - seven point one we used"
[18:06] mn007 | MLP outputs for the PLP net
[18:08] me013 | Yeah .
[18:09] mn007 | and straight features with delta - delta .
[18:11] me013 | Yeah .
[18:11] fn002 | Mm - hmm .
[18:11] mn007 | And straight features with delta - delta
[18:14] mn007 | gives you what 's on the first sheet . It 's eight eighty - eight point six .
[18:16] me013 | Not t not tr
[18:17] me013 | No . No . No . Not trained with multi - English .
[18:18] fn002 | Yes .
"[18:21] mn007 | Uh , yeah , but th this is the second configuration . So we use"
"[18:25] mn007 | feature out uh , net outputs together with features ."
"[18:29] mn007 | So yeah , this is not perhaps not clear here but in this table ,"
[18:33] mn007 | the first column is for MLP and the second for the features .
"[18:33] me013 | Eh . Oh , I see ."
"[18:36] me013 | Ah . So you 're saying w so asking the question , "" What what has adding the MLP done to improve over the , uh Yes ."
"[18:38] mn007 | So ,"
"[18:40] mn007 | Yeah so , actually it it it decreased the the accuracy ."
[18:42] fn002 | Yeah .
[18:46] me013 | Uh - huh .
[18:46] mn007 | Because we have eighty - eight point six .
[18:51] mn007 | What gives the MLP alone ?
"[18:52] mn007 | Multi - English PLP . Oh no , it gives eighty - three point six ."
"[18:58] mn007 | So we have our eighty - three point six and now eighty - eighty point six , that gives eighty - seven point one ."
[19:03] me013 | Mm - hmm .
"[19:05] me013 | Eighty - s I thought it was eighty Oh , OK , eighty - three point six and eighty eighty - eight point six ."
[19:11] me013 | OK .
[19:13] mn007 | Yeah ?
[19:13] fn002 | Yeah .
"[19:15] fn002 | I don't know but maybe if we have the neural network trained with the PLP delta and delta - delta ,"
[19:22] fn002 | maybe
[19:24] fn002 | tha this can help .
"[19:24] mn007 | Perhaps , yeah ."
"[19:25] me013 | Well , that 's that 's one thing , but see the other thing is that , um , I mean it 's good to take the difficult case , but let 's let 's consider what that means ."
"[19:33] me013 | What what we 're saying is that one o one of the things that I mean my interpretation of your your s original suggestion is something like this , as motivation ."
"[19:42] me013 | When we train on data that is in one sense or another ,"
"[19:48] me013 | similar to the testing data ,"
[19:51] mn007 | Mm - hmm .
[19:51] me013 | then we get a win by having discriminant training .
"[19:55] me013 | When we train on something that 's quite different ,"
[19:57] mn007 | Mm - hmm .
[19:57] me013 | we have a potential to have some problems .
"[20:00] me013 | And , um , if we get something that helps us when it 's somewhat similar ,"
"[20:06] me013 | and doesn't hurt us too much when it when it 's quite different ,"
[20:08] mn007 | Yeah .
[20:10] me013 | that 's maybe not so bad .
"[20:12] me013 | So the question is , if you took the same combination ,"
[20:12] mn007 | Mmm .
"[20:15] me013 | and you tried it out on , uh on say digits ,"
[20:17] mn007 | On TI - digits ? OK . Yeah .
"[20:19] me013 | you know , d Was that experiment done ?"
"[20:21] mn007 | No , not yet ."
"[20:22] me013 | Yeah , OK ."
"[20:23] me013 | Uh , then does that ,"
[20:27] me013 | does it does it then look much better ?
[20:29] mn007 | Mm - hmm .
[20:30] me013 | And so what is the range over these different kinds of uh of tests ?
"[20:35] me013 | So , an anyway ."
"[20:35] me013 | OK , go ahead ."
[20:36] mn007 | Yeah . Mm - hmm .
"[20:38] fn002 | And , with this type of configuration which I do on experiment"
[20:43] fn002 | using the new neural net
"[20:46] fn002 | with name broad klatt s twenty - seven , uh , d I have found more or less the same result ."
[20:50] me013 | Mm - hmm .
"[20:55] mn007 | So , it 's"
"[20:56] mn007 | slightly better , yeah ."
[20:58] me013 | Slightly better .
[20:59] mn007 | Yeah .
"[20:59] fn002 | Slightly bet better . Yes , is better ."
"[21:05] me013 | there , uh , you would bring it up to where it was , uh you know at least about the same for a difficult case ."
"[21:05] fn002 | Yeah , maybe . Maybe . Maybe ."
[21:07] mn007 | Yeah .
"[21:10] fn002 | Oh , yeah ."
[21:11] mn007 | Yeah .
[21:12] me013 | So .
"[21:12] fn002 | Oh , yeah ."
"[21:12] mn007 | Well , so perhaps let 's let 's jump at the last experiment . It 's"
[21:15] fn002 | Yeah .
[21:16] mn007 | either less information from the neural network if we use only the silence output .
[21:20] fn002 | i
[21:21] me013 | Mm - hmm .
"[21:23] fn002 | Yeah ,"
[21:27] fn002 | because in this situation we have one hundred and three
[21:32] fn002 | feature .
[21:32] me013 | Yeah .
[21:33] fn002 | Yeah .
"[21:34] fn002 | And then w with the first configuration , I f"
[21:36] me013 | Yeah .
[21:39] fn002 | I am found that
"[21:41] fn002 | work ,"
"[21:44] fn002 | uh , well ,"
"[21:45] fn002 | work , but is better , the second configuration ."
"[21:54] fn002 | Because I for the del Engli - PLP delta and delta - delta ,"
"[21:59] fn002 | here I have eighty - five point three accuracy , and"
[22:03] fn002 | with the second configuration I have eighty - seven point one .
"[22:08] me013 | Um , by the way , there is a another , uh , suggestion that would apply , uh , to the second configuration ,"
"[22:18] me013 | um , which , uh , was made , uh , by , uh , Hari ."
"[22:25] me013 | And that was that , um , if you have uh feed two streams into HTK ,"
"[22:39] me013 | if you scale the variances associated with , uh these streams"
"[22:46] me013 | um , you can effectively scale the streams ."
"[22:51] me013 | Right ? So , um ,"
[22:51] mn007 | Mmm .
"[22:54] me013 | you know , without changing the scripts for HTK , which is the rule here ,"
[23:00] mn007 | Mm - hmm .
"[23:01] me013 | uh , you can still change the variances which would effectively change the scale of these these , uh , two streams that come in ."
"[23:09] mn007 | Uh , yeah ."
"[23:10] me013 | And , um ,"
"[23:13] me013 | so ,"
"[23:14] me013 | um , if you do that ,"
[23:17] me013 | for instance it may be the case
"[23:19] me013 | that , um ,"
"[23:22] me013 | the MLP should not be considered as strongly ,"
[23:25] me013 | for instance .
[23:26] mn007 | Mmm .
"[23:31] me013 | excuse me , of equal equal weight ."
[23:34] me013 | Maybe it shouldn't be equal weight .
[23:36] fn002 | Maybe .
"[23:41] me013 | but , uh , um , you know on the other hand it 's just experiments at the level of the HTK recognition . It 's not even the HTK , uh ,"
[23:42] mn007 | Mmm .
[23:48] mn007 | Yeah .
[23:48] fn002 | Yeah .
"[23:48] me013 | uh Well , I guess you have to do the HTK training also . Uh , do you ?"
[23:52] fn002 | Yeah .
[23:52] fn002 | so this is what we decided to do .
[23:54] me013 | Let me think .
[23:55] me013 | Maybe you don't .
[23:57] me013 | Uh .
[24:11] me013 | you could just scale them all .
[24:16] mn007 | Yeah .
"[24:20] mn007 | Is it i th I mean the HTK models are diagonal covariances , so I d"
[24:30] mn007 | Hmm .
"[24:30] me013 | um ,"
"[24:34] me013 | It 's diagonal covariance matrices , but you"
[24:34] mn007 | Mm - hmm .
[24:37] me013 | say what those variances are .
[24:39] mn007 | Mm - hmm .
"[24:39] me013 | So ,"
"[24:41] me013 | that you know , it 's diagonal , but the diagonal means th that then you 're gonna it 's gonna it 's gonna internally multiply it and and uh ,"
[24:55] mn007 | Mmm .
[24:57] me013 | it 's it 's going to affect the range of things if you change the change the variances of some of the features .
[25:04] mn007 | Mmm .
[25:05] fn002 | do ?
"[25:06] me013 | So , i it 's precisely given that model you can very simply affect , uh , the s the strength that you apply the features ."
"[25:13] me013 | That was that was , uh , Hari 's suggestion ."
[25:17] mn007 | Yeah . Yeah .
[25:23] fn002 | Yeah .
[25:24] me013 | Yeah .
"[25:28] me013 | So . So it could just be that h treating them equally , tea treating two streams equally is just just not the right thing to do ."
"[25:36] me013 | Of course it 's potentially opening a can of worms because ,"
"[25:38] me013 | you know , maybe it should be a different"
[25:46] me013 | OK .
"[25:54] me013 | you know if one were to take , uh , you know , a couple of the most successful of these ,"
"[26:01] me013 | Yeah , try all these different tests ."
[26:02] mn007 | Mmm .
[26:02] fn002 | Yeah .
[26:05] mn007 | Yeah .
[26:08] me013 | Alright . Uh .
"[26:11] mn007 | So , the next point , yeah ,"
"[26:13] mn007 | we 've had some discussion with Steve and Shawn ,"
"[26:17] mn007 | um , about their um ,"
"[26:21] mn007 | uh , articulatory stuff ,"
[26:23] mn007 | um .
[26:27] mn007 | So we 'll perhaps start something next week .
[26:30] me013 | Mm - hmm .
"[26:32] mn007 | Um , discussion with Hynek , Sunil and Pratibha for"
[26:37] mn007 | trying to plug in their
"[26:42] mn007 | our networks with their within their block diagram ,"
"[26:47] mn007 | uh , where to plug in the the network , uh ,"
"[26:51] mn007 | after the the feature , before as um"
"[26:54] mn007 | a as a plugin or as a anoth another path ,"
"[26:58] mn007 | discussion about multi - band and TRAPS ,"
"[27:00] mn007 | um , actually Hynek would like to see ,"
"[27:05] mn007 | perhaps if you remember the block diagram there is ,"
"[27:09] mn007 | uh , temporal LDA followed b by a spectral LDA"
[27:14] mn007 | for each uh critical band .
[27:18] mn007 | And he would like to replace these by a network
"[27:22] mn007 | which would , uh , make the system look like a TRAP ."
"[27:26] mn007 | Well ,"
"[27:27] mn007 | basically , it would be a TRAP system ."
"[27:33] mn007 | kind of TRAP system , I mean , but"
[27:36] mn007 | where the neural network are replaced by LDA .
[27:39] mn007 | Hmm .
"[27:41] mn007 | Um ,"
"[27:42] mn007 | yeah , and about multi - band ,"
"[27:45] mn007 | uh , I started multi - band MLP trainings ,"
"[27:51] mn007 | Actually , I w I w hhh prefer to do exactly what I did"
[27:56] mn007 | when I was in Belgium .
[27:58] mn007 | So I take exactly the same
"[28:00] mn007 | configurations , seven bands with nine frames of context ,"
"[28:05] mn007 | and we just train on TIMIT ,"
"[28:08] mn007 | and on the large database ,"
"[28:12] mn007 | And , mmm ,"
"[28:15] mn007 | I 'm starting to train also , networks with"
[28:18] mn007 | larger contexts .
"[28:19] mn007 | So , this would would be something between TRAPS and multi - band because"
"[28:25] mn007 | we still have quite large bands ,"
[28:28] mn007 | and but with a lot of context also .
[28:30] mn007 | So
[28:32] mn007 | Um
"[28:34] mn007 | Yeah , we still have to work on Finnish ,"
"[28:37] mn007 | um ,"
"[28:39] mn007 | basically , to make a decision on which MLP"
[28:42] mn007 | can be the best across the different languages .
"[28:43] mn007 | For the moment it 's the TIMIT network ,"
[28:46] mn007 | and perhaps
[28:48] mn007 | the network trained on everything .
[28:50] mn007 | So .
[28:53] mn007 | with with delta and
[28:55] mn007 | large networks .
"[28:57] mn007 | Well , test them also on Finnish and see"
[28:57] fn002 | Mmm .
[29:02] mn007 | the best .
"[29:04] mn007 | Uh , well , the next part of the document is , well , basically , a kind of summary of what everything that has been done . So ."
[29:11] mn007 | We have seventy - nine M L Ps
[29:19] mn007 | ten on ten different databases .
[29:22] me013 | Mm - hmm .
"[29:24] mn007 | Uh ,"
"[29:27] mn007 | the number of frames is bad also , so we have one million and a half"
"[29:31] mn007 | for some , three million for other , and six million for the last one ."
"[29:38] mn007 | As we mentioned , TIMIT is the only"
"[29:40] mn007 | that 's hand - labeled ,"
[29:42] mn007 | and perhaps this is what makes the difference .
[29:45] mn007 | Um .
"[29:48] mn007 | Yeah , the other are just Viterbi - aligned ."
"[29:51] mn007 | So these seventy - nine MLP differ on different things . First ,"
"[29:56] mn007 | um with respect to the on - line normalization ,"
[30:06] mn007 | Um .
"[30:07] mn007 | With respect to the features ,"
"[30:09] mn007 | with respect to the use of delta or no ,"
[30:12] mn007 | uh with respect to the hidden layer size
[30:17] mn007 | and to the targets .
"[30:20] mn007 | Uh , but of course we don't have all the combination of these"
[30:23] mn007 | different parameters
[30:25] mn007 | Um .
[30:27] mn007 | s
[30:29] mn007 | What 's this ?
[30:34] mn007 | And no not two thousand .
[30:35] me013 | Ugh !
"[30:36] me013 | I was impressed boy , two thousand ."
[30:39] mn007 | Yeah .
"[30:42] me013 | Alright , now I 'm just slightly impressed , OK ."
[30:44] mn007 | Um .
"[30:46] mn007 | Yeah , basically the observation is what we discussed already ."
"[30:50] mn007 | The MSG problem ,"
"[30:53] mn007 | um ,"
[30:56] mn007 | the fact that the MLP trained on target task decreased the error rate .
[31:00] mn007 | but
"[31:06] mn007 | is not trained on the target task , it increased the error rate compared to using straight features ."
"[31:14] mn007 | uh , actually except if"
[31:16] mn007 | the features are not correctly on - line normalized .
[31:20] mn007 | In this case
[31:22] mn007 | the tandem is still better even if it 's trained on not on the target digits .
"[31:26] me013 | Yeah . So it sounds like yeah , the net corrects some of the problems with some poor normalization ."
[31:31] mn007 | Yeah .
[31:33] mn007 | Yeah .
[31:34] fn002 | Yeah .
"[31:36] mn007 | Uh , so the fourth point is , yeah ,"
[31:36] me013 | OK .
[31:38] mn007 | the TIMIT
[31:40] mn007 | plus noise seems to be
[31:45] mn007 | the best network .
[31:45] me013 | So
[31:46] mn007 | Mm - hmm .
"[31:47] me013 | bef before you go on to the possible issues . So ,"
[31:50] me013 | on the MSG uh problem
"[31:53] me013 | um ,"
"[31:58] me013 | um ,"
[31:59] me013 | in the short time solution
