[00:03] me011 | OK . So .
"[08:55] me011 | Anyway . So , why did I call you all here ?"
[08:56] fe008 | Yes .
"[08:57] me011 | Um , what I 'd like to talk about is , um"
"[08:57] fe008 | Oh , you did ."
[08:59] me011 | the transcription .
"[09:00] me011 | So , as part of this um project , we need to transcribe these meetings ."
"[09:05] me011 | um , to do training and test and so on ."
"[09:07] me011 | and , uh , so we need"
[09:09] me011 | word transcripts
"[09:10] me011 | and ,"
"[09:11] me011 | uh , speaker change identification ."
"[09:13] me011 | So , speaker ID ."
"[09:15] me011 | And , uh"
"[09:19] me011 | hi Jane ,"
"[09:21] me011 | what tools to use , what other resources you might need ,"
[09:25] me011 | things like just the data format
[09:26] me011 | and
[09:27] me011 | how we 're going to do it .
"[09:29] me022 | So , I 'm just curious how how h"
[09:31] me022 | how exactly you got roped into this .
"[09:36] fe008 | was mentioned when I wasn't around , but I 'm most happy ."
[09:39] me022 | OK . Good .
[09:39] me011 | Oh really ? Cuz Morgan said he asked you .
"[09:41] fe008 | Oh , uh he did ."
[09:42] fe008 | and and I approved .
[09:42] me011 | Mm - hmm .
[09:43] fe008 | but I think that I was
[09:45] fe008 | uh
[09:45] fe008 | proposed before I was asked ?
[09:47] fe008 | And that doesn't matter
[09:47] fe008 | cuz I think there was probably an a
[09:49] me022 | Oh .
[09:49] fe008 | uh
[09:49] me022 | Yeah . That would be m
[09:50] me022 | That would be my fault .
[09:51] fe008 | that I was interested in advance
[09:54] me022 | Right .
[09:54] fe008 | Yeah .
[09:55] me022 | Uh
[09:55] me022 | right .
"[09:56] me011 | And so , one of the first questions is ,"
[09:56] me022 | OK .
"[09:57] me011 | "" do you need help ? """
"[09:59] me025 | Well , hang on ."
[10:00] me022 | Oh ?
[10:00] me011 | That 's not the first question .
[10:01] me022 | OK .
"[10:02] me025 | Well , I guess ."
[10:08] fe008 | once I 'm given the
"[10:09] fe008 | data , I will provide"
[10:10] fe008 | w word - level transcripts
[10:12] fe008 | with
[10:12] me025 | OK .
"[10:12] fe008 | uh indication of speakers ,"
[10:14] fe008 | and
[10:15] fe008 | um
"[10:16] fe008 | I guess speaker change in any case , so"
"[10:17] fe008 | speaker ID ,"
[10:19] fe008 | and words .
[10:20] me022 | OK .
[10:20] me022 | So you 're gonna
[10:20] me022 | do the actual transcription yourself .
[10:22] fe008 | Yeah .
[10:22] me022 | OK .
[10:27] me025 | Are you going to have to make up what you do or do you have a very
[10:30] me025 | clear idea of what you 're going to do ?
[10:32] fe008 | Well
[10:33] me025 | Is this l
[10:36] fe008 | I 've transcribed a lot .
[10:37] me025 | Yeah .
[10:37] fe008 | But um e
"[10:38] fe008 | you know ,"
"[10:40] fe008 | I mean , there are always ways of doing things"
"[10:40] me025 | And ,"
[10:41] fe008 | more efficiently or
[10:43] fe008 | more
[10:44] fe008 | in a more technical technically sophisticated way ?
[10:47] me025 | Yeah .
[10:47] fe008 | Do you have to speak
[10:48] fe008 | true English sentences when you do this ?
"[10:50] me025 | Yeah , because as people are going to be listening to it afterwards and saying"
"[10:52] me025 | "" Oh listen to her . She couldn't even speak true English sentences ! """
"[10:54] fe008 | "" It 's terrible ! """
"[10:56] fe008 | OK ,"
[10:57] fe008 | um
"[10:57] me025 | Oh , you 're meant You 're meant to speak naturally . You 're meant to say"
"[10:59] me025 | "" Oh , I didn't realize we were being recorded ! """
[11:01] me011 | Ah right .
"[11:02] fe008 | "" No one told me that . """
"[11:03] fe008 | "" This microphone , what 's this doing around my neck ? """
[11:06] me025 | It 's just jewelry .
"[11:09] fe008 | OK , so um"
[11:13] fe008 | uh
[11:13] fe008 | i
[11:16] fe008 | uh
"[11:16] fe008 | tape recorder , with a reverse button ."
[11:19] me025 | Yeah .
"[11:19] fe008 | And you just ,"
"[11:19] fe008 | you know , if it 's word level"
[11:22] fe008 | e
[11:22] fe008 | a r
[11:23] fe008 | I just hit the r
[11:24] fe008 | re
[11:25] fe008 | the rewind button
[11:26] fe008 | every couple of words and
[11:28] me025 | Yeah .
[11:29] me025 | Yeah .
[11:29] fe008 | and then
[11:30] fe008 | at the end do a
[11:35] fe008 | with a digitized
[11:36] fe008 | uh record
[11:37] fe008 | you can have control over replay
[11:39] fe008 | through some sort of an interface .
[11:39] me025 | Yeah .
[11:41] fe008 | Um .
[11:41] fe008 | I 've never used one of those . I know it would be an a wonderful idea .
[11:44] fe008 | It 's just
[11:45] fe008 | in awhile .
[11:47] me022 | Right .
"[11:47] me025 | The nice thing about transcribers is they have foot pedals ,"
[11:50] fe008 | Foot pedals ? I 've used transcribing machines .
[11:51] fe008 | That 's fine .
[11:52] fe008 | um
[11:53] fe008 | But I frankly
[11:54] fe008 | didn't find it any more use to me than
[11:55] me025 | Oh .
[11:56] fe008 | my hand - held taperecorder .
[11:58] me025 | I see .
"[11:58] fe008 | However , if we have a transcribing machine"
[12:00] fe008 | I would accept it .
"[12:01] fe008 | The other thing is ,"
"[12:01] fe008 | you know ,"
[12:02] fe008 | getting hold of a transcriber . I think that CogSci has one .
[12:05] me011 | Mm - hmm .
[12:05] me022 | Yeah .
[12:06] fe008 | And I could probably borrow one .
"[12:06] me022 | Well ,"
[12:06] me025 | I I I actually have one .
[12:06] me022 | one th
[12:07] fe008 | You have one yourself ?
"[12:08] me025 | Well , Sarah has one because she does a lot of"
[12:10] me025 | transcribing of interviews .
"[12:10] fe008 | Oh , super !"
[12:12] me025 | But
[12:13] me025 | The crazy thing is we 'd have to
[12:14] me022 | Oh .
[12:14] me025 | convert the s
[12:15] me025 | we 'd have to dump the audio files onto cassette .
[12:17] me025 | to use it .
"[12:17] fe008 | Oh , I see ."
[12:18] fe008 | OK .
"[12:18] me025 | I mean , given that we 've already"
[12:19] me025 | got them digitally
"[12:21] me025 | you know , it 's quite tempting to use some kind of uh software thing ."
"[12:24] fe008 | Oh , OK ."
[12:25] fe008 | I kn
"[12:27] me011 | Oh ,"
[12:27] me011 | I actually have some foot pedals for the P C .
"[12:29] me022 | Well , that 's what I was gonna say , is"
[12:30] me025 | OK .
"[12:33] fe008 | Oh , that 'd be super ."
[12:34] me025 | What do they connect to ?
"[12:35] me011 | Uh , keyboard ."
[12:36] me011 | and they generate keystrokes .
"[12:37] me025 | Oh , that 's totally cool ."
[12:39] me025 | how do you decide which keystrokes they generate ?
[12:40] me011 | Um
[12:41] me011 | There 's a little program that downloads into it .
[12:43] me011 | Um .
[12:43] me025 | Hmm .
[12:43] me025 | And this is Windows ?
"[12:44] me011 | But the program probably only runs in Windows , although I bet we could"
[12:47] me011 | program it once
[12:49] me025 | Uh - huh .
[12:50] me011 | and then put it on another machine and it would work .
[12:52] me022 | Except for the fact that we would have to unplug it and pow and
[12:53] me011 | I haven't used them .
[12:55] me022 | change it w
[12:56] me022 | Does it lose the memory
[12:57] me022 | once you 've unpowered it ?
[12:58] me011 | I don't know .
[12:59] me011 | I don't think it does .
[13:01] me025 | You have these foot pedals but you d you 're not using them .
[13:02] me011 | I 'm not using them anymore . I used to use them .
[13:04] me011 | So they 're currently set up
"[13:05] me011 | for Shift , Control , and Alt ."
[13:07] me025 | Yeah .
[13:08] me011 | But I r I don't use them . They 're not even plugged in .
[13:11] me025 | Wow .
[13:12] me025 | That 's so cool .
[13:13] me025 | OK .
[13:14] fe008 | This sounds wonderful .
"[13:15] me011 | And so tha uh if that would help , uh I 'm certainly willing to donate them ."
"[13:15] me025 | Well ,"
"[13:17] me025 | the d the well , the uh"
[13:22] me022 | Right .
"[13:23] fe008 | Yeah , that 's true ."
"[13:24] me011 | And it it is a PC connection , so it would have to go on a P C somewhere ."
"[13:24] fe008 | Well ,"
[13:28] me025 | Yeah .
"[13:29] fe008 | Now , we 're at a pilot phase right now , and what I was told is that"
[13:30] me011 | Mm - hmm .
"[13:32] fe008 | beginning ,"
"[13:32] fe008 | you know ,"
[13:32] fe008 | that the the pilot data would be something like half hour of uh or f
[13:37] fe008 | half hour to forty minutes of running text .
"[13:39] fe008 | And so , for the pilot thing ,"
"[13:41] fe008 | you know , of course this would be useful ."
"[13:43] me022 | Right , this is the pilot data ."
[13:43] fe008 | And I w I wou I 'm assu
[13:45] fe008 | I 'm assuming that I would not be
"[13:45] me011 | Yeah , yeah , you are generating it ."
[13:46] fe008 | uh
[13:46] fe008 | you know
[13:47] fe008 | e eh uh
[13:48] fe008 | transcribing all of it .
"[13:50] fe008 | So ,"
"[13:50] me011 | Well , that that was part of the question , is that if ,"
[13:53] me025 | Right .
[13:54] me011 | if we 're doing this regularly Imagine we 're doing a couple of hours a week of transcripts
[13:58] fe008 | Yeah .
"[13:58] me011 | um , of recording ,"
"[14:00] me011 | uh , I wouldn't expect you to do it all ."
[14:01] fe008 | No .
"[14:02] fe008 | No , no ."
[14:02] me011 | So the question is do you know of resources that we could use .
[14:05] me011 | So are there grad students or undergrads or just
[14:05] fe008 | Yes .
[14:08] me011 | commercial services ?
[14:08] fe008 | I 've been involved with some of that .
"[14:09] fe008 | At at CogSci ,"
"[14:11] fe008 | So , Susan E"
"[14:12] fe008 | Susan Ervin - Tripp ,"
[14:12] fe008 | who you know
"[14:13] fe008 | um would typically , and I 've done this too , supervise undergrads"
[14:17] me022 | Hmm .
[14:17] fe008 | to
[14:18] fe008 | do this kind of thing
[14:19] fe008 | and they c
"[14:20] fe008 | you know ,"
[14:23] fe008 | and make it interesting for them
[14:24] fe008 | they can do it as a two ninety - eight or s
"[14:26] fe008 | or , not two ninety - eight , what is it , one whatever ,"
[14:28] fe008 | undergraduate research credit .
[14:30] me025 | Mm - hmm .
"[14:30] me011 | Oh , really ?"
"[14:31] me011 | So we only have to give them credits ,"
[14:32] me011 | We don't have to give them money ?
"[14:34] fe008 | Well uh , you have to be sure you give them compensation for you know ."
[14:36] fe008 | of some of some sort . What I mean is it 's not necessarily monetary .
"[14:37] me011 | Oh , you do have to pay them ."
[14:37] me022 | Awesome .
"[14:39] fe008 | But if they feel like they 're getting something out of it ,"
[14:39] me011 | Mm - hmm .
[14:41] fe008 | sometimes you can do it that way .
[14:42] me011 | Mm - hmm .
"[14:42] fe008 | And otherwise , as part of a grant ,"
[14:44] fe008 | you can do it .
[14:45] fe008 | some sort of
[14:45] me025 | Yeah .
[14:45] fe008 | minimal
[14:46] fe008 | wage .
"[14:48] me011 | We need to find out how much that will cost , so I can pass that on to Morgan ,"
[14:50] fe008 | Yeah .
[14:51] me011 | cuz right now we have almost no money .
"[14:52] fe008 | Yeah , OK ."
"[14:53] me011 | So so the cheaper we can do it , the better ."
[14:55] fe008 | OK .
"[14:55] fe008 | Well , you also want to get quality ."
"[14:57] me025 | Yeah , absolutely ."
"[14:59] fe008 | Either a higher level person will have to pass through , or you have to be sure you get"
[15:01] me011 | Mm - hmm .
[15:01] fe008 | good quality
[15:02] me011 | Right .
[15:02] fe008 | to begin with .
"[15:04] fe008 | But um ,"
[15:06] fe008 | That 's been
[15:07] fe008 | done .
[15:07] fe008 | I can ask Susan Ervin - Tripp
[15:07] me025 | Yeah .
"[15:11] fe008 | Of the people that I know , she 's the one who 's supervised the most of those things locally ."
[15:13] me011 | Mm - hmm .
[15:14] me025 | What 's her name ?
[15:15] fe008 | Uh
[15:16] fe008 | uh Doctor Susan Ervin - Tripp .
[15:17] me025 | OK .
"[15:18] fe008 | faculty member in Psychology , recently retired ,"
[15:20] me025 | Uh - huh .
[15:22] fe008 | and very well known in discourse analysis .
"[15:23] me025 | Oh , OK . So , the p"
"[15:24] me025 | I mean , what I 'm"
[15:25] me025 | hearing is that
[15:27] me025 | the
[15:28] me025 | problem of starting off with some recordings and trying to get word transcripts
"[15:33] me025 | I mean , it 's not a it 's not an unfamiliar problem ."
"[15:35] fe008 | Oh , it 's very common ."
"[15:36] me025 | So that I mean that basically ,"
"[15:40] me025 | adopt them and it 's going to cost however much it 's going to cost ,"
[15:42] me025 | We 're we 're probably not going to have a lot of flexibility in
[15:45] me025 | bringing down the cost cuz probably
[15:46] me025 | the low cost solution 's already been established .
[15:48] me025 | And so that 's just whatever it is .
[15:49] me011 | Mm - hmm .
[15:49] me025 | That 's
[15:49] me025 | how we 'll do it .
[15:51] me025 | See what I mean ?
[15:51] fe008 | I think there 's always this question of the trade - off between uh
"[15:54] fe008 | paying more for the first pass ,"
[15:55] me025 | Mm - hmm .
[15:56] fe008 | and then h
[15:56] fe008 | and then editing less later .
[15:56] me025 | Uh - huh .
[15:58] fe008 | or
[15:59] fe008 | paying less the first pass and editing more later . So
[16:01] me025 | Yeah .
"[16:02] me025 | Well ,"
[16:05] me025 | I mean the only thing is
[16:11] me025 | than what 's been done in the past
[16:12] me025 | than discourse analyzers
[16:13] me025 | because
[16:15] me025 | maybe we have different requirements in terms of time align
"[16:17] me025 | you know , how much time aligned detail we need"
[16:20] me025 | and uh how much detail in terms of people .
"[16:21] fe008 | Oh ,"
[16:21] fe008 | But that 's a s
[16:22] fe008 | Mm - hmm . OK .
[16:23] me025 | I don I don't know how much ti I don't think we do need any time aligned detail .
[16:25] me025 | I think we just have
[16:26] me025 | basically one text file which runs from beginning to end .
[16:29] me025 | But .
"[16:29] me011 | Well , if in terms of transcripts , sure , but in terms of speaker change it might be"
[16:33] me011 | nice to get the actual
[16:35] me011 | time .
[16:36] me025 | Sure .
[16:38] me011 | Right .
"[16:39] me022 | Well , OK . So what happened with Switchboard"
[16:41] me022 | was
"[16:42] me022 | at least ,"
"[16:43] me022 | I mean , the output"
[16:44] me022 | was that they had
[16:46] me022 | speaker turns
[16:47] me022 | and they
[16:48] me022 | um
"[16:50] me022 | analyzed it in terms of ,"
"[16:51] me022 | you know , "" this is where this speaker change came in """
[16:53] me022 | and of course that gets really
"[16:55] me022 | difficult when you 're talking about I mean , this is some of the stuff that you were"
[16:56] me025 | Mm - hmm .
[16:58] me022 | talking about in
[17:00] me022 | uh
"[17:01] me022 | your lunch talk , is that is that"
[17:02] me025 | Right .
"[17:03] me022 | you know , you get backchannels and stuff like that , that"
"[17:06] me022 | that ,"
"[17:07] me022 | you know , disrupt the"
[17:08] me022 | um
[17:09] me022 | the
[17:09] me025 | Yeah .
[17:10] me022 | segment you know the
"[17:11] me025 | Right , I mean ,"
[17:11] me022 | segmentation .
[17:14] me025 | In some sense it 's a little bit easier with it with
[17:18] me025 | actually people
[17:19] me025 | are less flexible in what they do . In this kind of situation where
[17:22] me025 | we 've got
[17:23] me025 | nonverbal
[17:24] me025 | channels
[17:24] me025 | then there 's a lot of overlap
[17:26] me025 | and there 's just that it 's not a very good model .
[17:27] me022 | Right .
"[17:28] me011 | Oh ,"
"[17:29] me011 | in terms of data format , what are we going to do about that ?"
"[17:31] me011 | I mean ,"
"[17:32] me011 | you have the S T M format , where you have"
"[17:35] me011 | you know , every phrase , every utterance is is"
[17:37] me011 | a single speaker .
"[17:40] me025 | Well ,"
"[17:40] me025 | every utterance is a single speaker , right ?"
[17:42] me025 | It 's just that utterances can overlap .
"[17:44] me025 | I mean ,"
[17:44] me011 | Is that the right way to do it ?
[17:46] me025 | I think so .
[17:47] me011 | OK .
"[17:49] me025 | Like , So , Eric made a s made a sentence ,"
[17:51] me025 | and that should be like one
[17:52] me025 | utterance
[17:53] me025 | and then I had a couple of backchannels in there
"[17:59] me011 | OK . So that means that for each utterance , we 'll need the time marks ,"
[18:03] me022 | Right .
[18:03] me011 | the start and end of each utterance .
[18:05] fe008 | Yeah .
[18:05] me022 | So .
"[18:05] me025 | Well , we 'll have to go in from somewhere"
"[18:09] me025 | I mean , we we may be able to get the transcriber to give them to us"
[18:11] me025 | if we
[18:11] me025 | give them software
[18:12] me025 | but
[18:12] me025 | we may not
[18:13] me025 | in which case we 'll have to get them
"[18:14] me025 | some other way , like with forced alignment later , I mean"
[18:16] me025 | you know all this can be done .
[18:17] me011 | Mm - hmm .
[18:21] me022 | the tools that Mississippi State has .
[18:23] me025 | Yeah .
"[18:23] me022 | Because , I d I I know that they published"
[18:27] me022 | um
"[18:29] me022 | annotation tools ,"
"[18:30] me022 | you know , for their ins"
"[18:30] me011 | Well , X Waves have some as well , but they 're pretty low level ."
[18:33] me022 | Yeah .
[18:35] me025 | Phoneme phoneme phoneme transcriptions . Yeah .
[18:35] me011 | for phoneme - level
[18:40] me011 | that could be used for speaker change marking .
[18:43] me025 | There 's a there are there 's a whole bunch of tools . There 's a some web
[18:45] fe008 | Yes .
"[18:46] me025 | page , where they have a list of like ten of them or something ."
[18:48] fe008 | Are you speaking about Mississippi State per se ? or are y
[18:48] me022 | OK .
"[18:51] me025 | I mean , I just there are there are a lot of"
[18:52] fe008 | Yeah .
[18:52] me025 | a lot of @ @ these things .
"[18:54] fe008 | There are two projects , which"
[18:55] fe008 | are
"[18:56] fe008 | international ,"
"[18:57] fe008 | huge projects focused on this kind of thing ,"
[18:59] fe008 | actually .
"[19:00] fe008 | One of them 's MATE ,"
[19:01] fe008 | one of them 's EAGLES .
[19:02] fe008 | and um .
"[19:02] me025 | Oh , EAGLES ."
"[19:03] me025 | Yeah , that 's the European one ."
[19:04] me025 | Yeah .
"[19:04] fe008 | You know , I saw I know you know about the big book ."
[19:07] me022 | Yeah .
[19:08] me025 | Mmm .
[19:08] me022 | Yeah .
[19:11] fe008 | And um
[19:12] fe008 | and they have
[19:14] fe008 | and
[19:14] fe008 | MATE is a project which is
[19:16] fe008 | being run out of Denmark
[19:17] fe008 | and
[19:18] fe008 | um
[19:19] fe008 | big
"[19:20] fe008 | uh ,"
"[19:20] fe008 | e you know ,"
[19:21] fe008 | a work bench or something or other . And they have a whole bunch of tools that are associated with them .
[19:23] me025 | Mm - hmm .
"[19:25] fe008 | So , I mean , there are things that"
[19:26] fe008 | in terms of like the time alignment issue
[19:28] me025 | Mm - hmm .
"[19:28] fe008 | I mean , you guys are more expert on that ,"
"[19:30] fe008 | I mean ,"
"[19:30] fe008 | than I am ,"
[19:31] fe008 | but I want to say that
"[19:32] fe008 | I know for a fact , I keep running across these ,"
[19:34] fe008 | and those would be my first two choices of looking at .
[19:36] fe008 | EAGLES and MATE .
[19:36] fe008 | And I have the documentation downstairs .
[19:38] me011 | OK .
[19:38] fe008 | I didn't think to bring it .
[19:39] me011 | Ha - Have you looked at it already ?
"[19:41] fe008 | Oh , I have , but I wasn't interested in that particular issue ."
[19:43] me011 | Mm - hmm .
"[19:44] fe008 | So , we 're talking now ,"
[19:45] fe008 | once you have words
"[19:46] fe008 | you know , how do you time align it ."
[19:47] fe008 | and that 's .
"[19:47] me011 | Oh . So , these are p particularly for time alignment ?"
"[19:51] fe008 | So , MATE and EAGLES are both within the so - called"
"[19:53] fe008 | uh Language Engineering branch ,"
[19:56] fe008 | and um
[19:58] fe008 | so they 're intended for this kind of a
[20:00] me025 | Yeah .
[20:01] fe008 | comp compu s computer science application type of approach . These are not discourse types of tools .
[20:06] me025 | Right .
[20:06] fe008 | So .
[20:07] me011 | Right . are they just for time alignment or are they for
[20:09] me011 | transcription as well ?
"[20:09] fe008 | Can I be excused ,"
