[00:00] me022 | Yeah .
"[07:08] me011 | Um ,"
[07:09] me018 | And you have to have all the o
[07:09] me011 | But the problem is that that the THISL tools didn't use anything like Autoconf
[07:14] me011 | and so you have the normal porting problems of
[07:17] me011 | different header files and th some things are defined and some things aren't
[07:21] me011 | and uh
[07:22] me011 | different compiler work - arounds and so on . So the fact that
[07:26] me011 | um it took me a day to get it c to compile under Solaris means it 's probably gonna take me
[07:30] me011 | s significantly more than that to get it to compile under Windows .
[07:33] me013 | How about having it run under free BSD ?
[07:36] me011 | Free BSD would probably be easier .
[07:37] me022 | All you need to do is say to Dan
"[07:39] me022 | "" gee it would be nice if this worked under Autoconf "" and it 'll be done in a day ."
[07:45] me011 | Actually you know I should check because he did port it to SPRACHcore
[07:49] me022 | Right .
[07:49] me011 | so he might have done that already .
[07:50] me022 | I I I wouldn't be surprised .
[07:53] me018 | How does it play ?
"[07:54] me013 | But it would what would serve would serve both purposes , is if you contact him and ask him if he 's already done it ."
[08:02] me011 | Right .
"[08:10] me011 | So , and I 've been corresponding with Dan and also with uh"
[08:13] me013 | Yeah .
"[08:14] me011 | uh ,"
[08:18] me011 | Blanking on his name .
[08:19] me018 | Tony Robinson ?
[08:20] me013 | Tony Robinson ?
[08:20] me011 | Do I mean Tony ? I guess I do .
[08:22] me013 | Yeah .
[08:22] me011 | Or S or Steve Renals .
[08:22] me022 | James Christie .
[08:24] me011 | Which one do I mean ?
[08:24] me013 | Steve Renal - Steve Renals .
"[08:24] me022 | Steve Renals is not SoftSound , is he ?"
[08:26] me013 | No .
"[08:27] me011 | My brain is not working , I don't remember who I 've been corresponding with ."
[08:28] me013 | OK .
[08:29] me022 | Steve wro i it 's Ste - Steve Renals wrote
[08:32] me022 | THISL IR .
[08:32] me011 | Then it 's Steve Renals .
[08:34] me022 | OK .
"[08:34] me013 | Oh , OK ."
"[08:34] me011 | So uh just getting documentation and uh and f and formats , so that 's all going pretty well , I think we 'll be OK with that ."
[08:36] me013 | Yeah .
[08:39] me022 | Right .
[08:39] me018 | What about issues of playing sound files @ @ between the two platforms ?
[08:43] me011 | Um
"[08:46] me011 | Well , that 's a good point too ."
[08:47] me022 | Here 's a here 's a crazy idea actually .
[08:48] me011 | I don't know .
[08:50] me022 | Why don't you try and merge Transcriber and THISL IR ?
[08:55] me022 | They 're both Tcl interfaces .
[09:00] me011 | Having him volunteer to work on it is a really good thing
[09:03] me011 | because he 's worked on the Transcriber stuff
[09:05] me022 | Right .
[09:06] me011 | and he 's more familiar with Tcl - TK than I am .
[09:06] me022 | And then you get they then you get the Windows media playing for free .
"[09:10] me011 | Well that 's Snack , not not Transcriber ."
"[09:18] me011 | Yeah , yeah , I mean , I I think THISL THISL GUI probably uses Snack ."
[09:24] me011 | And so my intention was just to base it on that .
[09:29] me022 | Yeah .
[09:29] me022 | Well my thought was is that it would be nice it would be nice to have the running transcripts
"[09:34] me022 | um eh you know , from speaker to speaker ."
"[09:36] me022 | Right ? Do you have you have , you know , a speaker mark here and a speaker mark here ?"
"[09:40] me011 | Right , we 'll have to figure out a user interface for that , so ."
[09:42] me022 | Right .
[09:43] me022 | Well that eh my thought was if you had like Multitrans or whatever
[09:46] me022 | do it .
[09:46] me022 | Or whatever .
[09:52] me011 | the little short segments we 'd be talking about and having
[09:57] me022 | Yeah .
"[09:59] me013 | The thing I was asking about with , um , free BSD is that it might be easier to"
[10:03] me013 | get PowerPoint shows
"[10:09] me011 | Yeah , I mean we have to I have to sit down and try it before I make too many judgments , so uh"
[10:13] me013 | Yeah .
[10:15] me011 | Um
[10:16] me011 | My experience with the Gnu compatibility library is really
[10:20] me011 | it 's just as hard and just as easy to port to any system .
[10:24] me011 | Right ? The Windows system isn't any harder because it it looks like a BSD system .
[10:27] me013 | Mm - hmm .
"[10:28] me011 | It 's just , you know , just like all of them , the "" include "" files are a little different and the function calls are a little different ."
[10:32] me013 | Right .
[10:33] me011 | So I it might be a little easier but it 's not gonna be a lot easier .
[10:37] me013 | OK .
"[10:38] me013 | So there was that demo , which was one of the main ones , then we talked about"
[10:42] me013 | um some other stuff which would basically be
"[10:45] me013 | um showing off the the Transcriber interface itself and as you say , maybe we could even merge those in some sense , but but um ,"
[10:53] me013 | uh and part of that was showing off what the speech - non uh nonspeech stuff that Thilo has done s looks like .
[10:59] mn014 | Yeah .
[11:01] fe008 | Can I ask one more thing about THISL ?
[11:02] me011 | Mm - hmm .
[11:07] fe008 | Excellent . Excellent .
[11:08] fe008 | Yeah .
[11:09] fe016 | So another idea I w t had
[11:11] fe016 | just now actually for the demo was
[11:17] fe016 | work that Don 's been doing .
[11:19] me013 | Mm - hmm .
[11:20] fe016 | Um actually show some of the features and then show for instance a task like finding sentence boundaries or finding turn boundaries .
"[11:29] fe016 | Um ,"
"[11:30] fe016 | you know , you can show that graphically , sort of what the features are doing . It , you know , it doesn't work great but it 's definitely giving us something ."
[11:36] fe016 | I don't know if that would be of interest or not .
[11:38] me013 | at the very least we 're gonna want something illustrative with that cuz I 'm gonna want to talk about it and so i if there 's something that shows it graphically
[11:42] fe016 | Yeah .
[11:46] me013 | it 's much better than me just having a bullet point
"[11:49] me013 | pointing at something I don't know much about , so ."
"[11:49] fe016 | I mean , you 're looking at this now Are you looking at Waves or Matlab ?"
[11:52] me001 | Um yeah I 'm starting to and
[11:57] me001 | Yeah we can probably find some examples
[11:59] me001 | of different type of prosodic
[12:00] fe016 | Yeah def
[12:02] me001 | events going on .
"[12:02] me013 | S so when we here were having this demo meeting , what we 're sort of coming up with is that we wanna have all these pieces together , to first order , by the end of the month"
[12:03] fe016 | I
[12:10] me013 | and then that 'll give us a week or so .
[12:12] me011 | This month .
"[12:12] fe016 | Oh , you mean like today ?"
[12:14] fe016 | Oh .
[12:15] me013 | June . June . June .
[12:15] me001 | Yeah .
[12:17] me018 | There 's another one .
[12:18] me022 | Exactly .
"[12:21] me013 | that 'll give us a week or so to uh to port things over to my laptop and make sure that works , yeah ."
"[12:26] me001 | Yeah , I mean I 'll be here ."
[12:31] me013 | Yeah .
[12:35] me013 | Yeah .
[12:38] fe016 | it could potentially be in it .
[12:41] fe016 | Could find some .
"[12:41] me013 | Yeah . Well , this is to an audience of researchers so I mean , you know ,"
[12:44] fe016 | I mean it 's different .
[12:49] me013 | Yeah .
[12:51] me013 | Good .
[12:53] me013 | Done with that .
[12:55] me013 | XML tools ?
[12:56] me011 | Um .
[12:57] me011 | So I 've been doing a bunch of XML tools where you we 're sort of moving to XML as the
[13:02] me011 | general format for everything and I think that 's definitely the right way to go because there are a lot of tools
[13:07] me011 | that let you do extraction and reformatting of XML tools .
[13:10] me011 | Um .
[13:12] me011 | So yet again we should probably meet to talk about transcription formats in XML because I 'm not particularly happy with what we have now .
[13:23] me011 | uh because it doesn't mark start and end .
[13:26] mn014 | Yeah .
[13:27] me011 | Utterance .
[13:29] me011 | So it 's implicit in in there but you have to do a lot of processing to get it .
[13:30] me018 | Yeah .
[13:31] me018 | Right . Right .
[13:32] me011 | And so and also I 'd like to do the indirect time line business .
"[13:36] me011 | Um but regardless , I mean , w that 's something that you , me , and Jane can talk about later . Um ,"
"[13:48] me011 | extracting any information from any of these files , either uh information on"
[13:55] me011 | I 'm converting the Key files to XML so that you can extract m uh
[13:59] me001 | Cool .
[13:59] me011 | various inf uh sorted information on individual meetings
[14:00] mn014 | Yeah .
[14:03] me011 | and then also the transcripts . And so l just let me know there it 's mostly Java and Perl
[14:07] me011 | but we can get other languages too if if that 's desirable .
"[14:10] fe016 | Oh , quick question on that . Is do we have the the seat information ?"
[14:15] fe016 | In in the Key files now ?
[14:16] fe008 | Mm - hmm .
[14:16] me011 | The seat information is on the Key files for the ones which
[14:17] fe008 | Ah .
"[14:20] me011 | it 's been recorded , yeah ."
[14:20] fe016 | For the new one OK . Great .
[14:21] me013 | Seat ?
[14:22] fe016 | Sea - yeah .
[14:23] me011 | Where where you 're sitting .
[14:24] me013 | Oh ! Not not the quality or anything . No . OK . I see .
[14:29] me013 | Yeah .
[14:30] me013 | OK .
"[14:30] me011 | Oh , but that might just be me ."
[14:30] fe016 | OK .
[14:33] fe016 | Alright .
[14:34] me013 | That 's more seat information than we wanted .
[14:34] fe016 | Never mind .
"[14:36] fe016 | I 'm just trying to figure out , you know , when Morgan 's voice appears on someone 's microphone are they next to him or are they across from him ?"
[14:37] me013 | Yeah .
"[14:39] me013 | Mmm , yeah ."
"[14:41] me018 | Wait a minute , how how w eh where is it in the Key file ?"
[14:41] me011 | Right .
[14:41] me013 | Yeah .
[14:44] me011 | The square bracket .
[14:45] fe016 | Cuz
[14:48] me011 | You haven't been putting it in .
[14:49] fe008 | Well bu
"[14:50] me011 | Oh , OK ."
[14:50] fe008 | Isn't it always on the digits ?
[14:50] me013 | Some of these are missing . Aren't they ?
[14:52] fe008 | Isn't it always on the digits forms ?
[14:53] fe016 | Well it
[14:53] me011 | Yeah so we can go back and fill them in for the ones we have .
[14:54] me001 | Ooo .
[15:00] me018 | I never knew we were supposed to put it in the Key file .
[15:03] me018 | Oh really ?
[15:04] me011 | I mean this is why I wanna use a g a tool to do it rather than the plain text because with the plain text it 's very easy to skip those things .
[15:06] fe016 | OK .
[15:09] me018 | OK .
[15:12] me011 | So .
"[15:13] me011 | Um if you use the Edit - key ,"
[15:17] mn014 | Edit - key .
[15:18] me011 | Did I show you guys that ?
[15:19] mn014 | Yep .
"[15:19] me011 | I did show it to you , but I think you both said "" no , you 'll just use"
"[15:20] me018 | You mentioned it , yeah . Yeah ."
"[15:23] me011 | text file "" . Um it has it in there , a place to fill it in ."
[15:26] fe016 | OK .
[15:27] me018 | OK .
[15:34] me011 | Yep .
[15:36] me001 | u
[15:42] fe016 | Yeah .
[15:43] fe016 | Right .
"[15:46] fe016 | I don't , maybe I forgot to d"
[15:46] me018 | Oh ! OK . I didn't do that either .
[15:47] mn014 | Yeah .
[15:50] me018 | Takes me no time at all to edit these .
[15:51] fe016 | Yeah .
[15:52] me018 | I 'm not doing anything .
"[16:00] me013 | Ah , OK ."
[16:07] me011 | And so that 's also a problem .
[16:10] me011 | So anyway .
[16:12] fe016 | We will do better .
[16:12] me011 | That 's it .
[16:20] me011 | that will flash yellow if the mike isn't connected .
[16:23] me011 | And it 's not quite ready to go yet because um
[16:26] me011 | it 's hard to tell whether the mike 's connected or not because
[16:32] me011 | are about the same level if they 're off
[16:34] me011 | and no one 's o off or if they 're on and no one 's talking .
[16:36] me001 | Huh .
"[16:37] me011 | Um these these ones , they"
"[16:39] me011 | are much easier , there 's a bigger difference ."
[16:42] me011 | So I 'm working on that and it it sorta works and so eventually we will change to that and then you 'll be able to see graphically if your mike is dropping in or out .
[16:49] me001 | Will that also include like batteries dying ?
[16:51] me011 | Yep .
[16:52] me001 | Just a any time the mike 's putting out zeros basically .
[16:53] me011 | Yep .
[16:54] me011 | Yep .
[16:55] mn014 | But y yeah .
[16:56] me011 | Well I 'll turn off the screensaver too .
[16:57] me001 | Yeah .
[16:57] mn014 | Yeah .
[16:58] me001 | Oops . Speaking of which .
"[16:59] me011 | Um the other thing is as I 've said before , it is actually on"
[17:03] me011 | the thing . There 's a little level meter
[17:04] me011 | but of course no one ever pays attention to it . So I think having it on the screen
[17:09] me011 | is more easy to notice .
[17:17] me013 | Small shocks
[17:21] me013 | OK .
"[17:22] me011 | OK , disk backup , et cetera ?"
[17:24] me011 | Um I spoke with Dave Johnson about putting all the Meeting Recorder stuff on non - backed - up disk to save the overhead of backup
"[17:31] me011 | and he pretty much said "" yeah , you could do that if you want """
[17:34] me011 | but he thought it was a bad idea .
[17:36] me011 | In fact what he said is
[17:43] me011 | and we should do that and have it backed up .
[17:46] me011 | He w he 's a firm believer in in lots of different modalities of backup .
"[17:50] me011 | I mean , his point was well taken . This data cannot be recovered ."
[17:53] fe016 | Yeah .
[17:54] me011 | And so if a mistake is made and we lose the backup
[17:58] me011 | we should have the archive and if then a mistake is made and we lose the archive we should have the backup .
[18:02] me013 | Well I guess it is true that even with something that 's backed up it 's
[18:08] me013 | if it 's stationary it 's not going to go through the increment it 's not gonna burden things in the incremental backups .
[18:12] me011 | Just just the monthly full .
[18:13] fe008 | Hmm .
[18:16] me011 | Yeah . But he said
[18:20] me011 | that we sh
"[18:20] me011 | shouldn't worry too much about that ,"
[18:22] me011 | that we 're getting a new backup system and we 're far enough away from saturation on full backups that it 's w
[18:26] me013 | Really ?
[18:27] me011 | probably OK .
"[18:28] me011 | And uh , so the only issue here is the timing between"
[18:34] me011 | getting more disks and
[18:37] me011 | uh
[18:38] me011 | recording meetings .
[18:40] me013 | So I guess the idea is that we would be reserving the
[18:43] me013 | non - backed - up space for things
"[18:45] me013 | that took less than twenty - four hours to recreate or something like that , right ?"
"[18:49] me011 | Things that are recreatable easily and also Yeah , basically things that are recreatable ."
[18:50] me013 | Yeah .
[18:52] me013 | Yeah .
[18:54] me011 | The expanded files and things like that .
[18:57] me013 | OK .
[18:57] me011 | They take up a lot more room anyway .
[18:59] me013 | Yeah .
[19:00] me011 | Uh but we do need more disk .
[19:02] me013 | So we can get more disk . Yeah . So .
[19:03] me011 | Yeah .
[19:05] me011 | And I I think I agree with him . I mean his point was well taken that
[19:08] me011 | if we lose one of these we cannot get it back .
[19:10] me013 | OK .
[19:14] me011 | I don't think there was any other et cetera there .
[19:23] me022 | I thought you guys were gonna burn C Ds ?
[19:25] me011 | Um unfortunately we could burn C Ds but first of all it 's a pain .
[19:28] me022 | Yeah .
[19:28] me011 | Because you have to copy it down to the PC and then
[19:31] me011 | burn it and that 's a multi - step procedure .
[19:39] me022 | Yeah .
[19:39] me011 | So I think burning them for distribution is fine
[19:42] me011 | but burning them for backup is not a good idea .
[19:44] me022 | I see .
[19:45] me011 | Cuz th they they
[19:45] me022 | OK .
[19:47] me011 | fail after a couple years .
[19:48] me022 | Alright .
[19:51] fe008 | I do have uh uh It 's a different topic . Can I add one top topic ? We have time ?
"[19:54] fe008 | I wanted to ask , I know that uh that Thilo you were , um ,"
[19:58] fe008 | bringing the Channeltrans interface onto the Windows machine ?
"[20:02] mn014 | Yeah it 's it Basically it 's done , yeah ."
[20:02] fe008 | And I wanted to know is th
[20:04] fe008 | It 's all done ? That 's g wonderful . Great .
[20:05] mn014 | Yeah .
"[20:06] me011 | Yes , since Tcl - TK runs on it , basically"
[20:09] me011 | things 'll just work .
"[20:10] mn014 | Yeah , it was just a problem with the Snack version and the Transcriber version but"
[20:14] mn014 | it 's solved . So .
"[20:25] mn014 | Yeah , basically uh I"
[20:26] mn014 | did install it on my laptop and yeah
[20:29] fe008 | Wonderful .
[20:29] mn014 | it worked .
[20:30] fe008 | Wonderful .
[20:30] me013 | Hmm !
[20:31] me013 | Good .
[20:33] me013 | CrossPads ?
[20:34] me011 | Uh got an email from uh
"[20:37] me011 | James Landay who basically said "" if you 're not using them ,"
"[20:41] me011 | could you return them ? """
"[20:42] me011 | So he said he doesn't need them , he just"
[20:44] me011 | periodically w at the end of each term sends out email to everyone who was recorded as having them
[20:49] me011 | and asks them if they 're still using them .
[20:51] me013 | So we 've never used them .
[20:52] fe008 | We used them once .
[20:53] me013 | Once ?
[20:54] fe008 | Mm - hmm .
[20:54] me018 | Them ? There 's more than one ?
[20:54] fe008 | Couple times .
"[20:55] me011 | Yeah , we have two ."
[20:56] fe008 | Yeah .
[20:56] me013 | i
[20:57] me011 | Um .
"[20:59] me011 | My opinion on it is , first , I never take notes anyway"
"[21:02] me011 | so I 'm not gonna use it ,"
"[21:04] me011 | um and second , it 's another level of infrastructure that we have to deal with ."
"[21:09] fe008 | And I have uh so my my feeling on it is that I think in principle it 's a really nice idea , and you have the time tags which makes it better tha than just taking ra raw notes . On the other hand ,"
[21:20] fe008 | I the down side for me was that
[21:22] fe008 | I think the pen is really noisy .
[21:37] fe008 | I don't know .
"[21:38] mn014 | Uh , what is a CrossPad ?"
"[21:40] me013 | So it 's it 's um it 's a regular pad , just a regular pad of paper but there 's this pen"
[21:46] me013 | which indicates position .
[21:48] me013 | And so you have time and position
[21:48] mn014 | OK .
[21:51] me013 | stuff stored so that you can you have a record of whatever it is you 've written .
[21:55] mn014 | OK .
[21:56] me011 | And then you can download it and they have OCR and searching and all sorts of things .
[21:59] mn014 | OK .
[22:00] mn014 | OK .
[22:01] me011 | So i if you take notes it 's a great little device .
[22:01] fe008 | Could Mm - hmm .
"[22:04] me011 | But I don't take notes , so ."
"[22:06] me013 | And one of the reasons that it was brought up originally was because uh we were interested in in higher - level things , not just the , you know , microphone stuff but also summarization and"
[22:16] me013 | so forth and the question is if you were going to go to some gold standard of what wa what was it that happened in the meeting
"[22:22] me013 | you know , where would it come from ? And um I think that was one of the"
[22:24] mn014 | Yeah .
[22:26] me011 | Yep .
[22:27] fe016 | Yeah .
"[22:27] me013 | things , right ? And so the it seemed like a neat idea . We 'll have a you know , have a scribe ,"
[22:31] me013 | have somebody uh take good notes and then that 's part of the record of the meeting .
"[22:37] me011 | Yep , and then just sort of died out ."
[22:42] me011 | Yep .
[22:42] me013 | Yeah .
[22:43] fe008 | u
[22:43] fe008 | but I guess the the other
[22:45] fe008 | thing I 'm thinking is if we wanted that kind of thing I wonder if we 'd
"[22:48] fe008 | lose that much by having someone be a scribe by listening to the tape , to the recording afterwards and"
[22:54] fe008 | taking notes in some other interface .
"[22:56] me018 | I mean we 're transcribing it anyways , why do we need notes ?"
[22:59] me011 | Because that 's summary .
[23:00] me013 | Summary .
[23:03] me018 | Summarize it from the transcription .
"[23:05] fe016 | Well , what if you 're sitting there and you just wanna make an X and you don't wanna take notes and you 're you just wanna"
[23:19] fe016 | in in other words you can use that just to highlight times
[23:23] fe016 | in a very simple way . Also with I was thinking and I know Morgan disagrees with me on this but
[23:36] fe016 | they could just sort of
[23:38] fe016 | make an X near that point or a question mark that
[23:41] fe016 | sort of alerts them that when they get the transcript back they c
[23:44] fe016 | could get some red flags in that transcript region and they can then look at it . So .
[23:48] fe016 | I know we haven't been using it but
[23:50] fe016 | I w
[23:51] fe016 | I can imagine it being useful just for sort of marking time periods which you then
[23:54] me011 | Right .
[23:56] fe016 | get back in a transcript so .
[23:56] fe008 | Well .
"[24:06] me013 | and put some kind of summary or something uh you know , some there 'd be some scribe"
"[24:11] me013 | who would actually listen , w who 'd agreed to actually listen to the whole thing ,"
"[24:15] me013 | not transcribe it , but just sort of write down things that struck them as important ."
[24:19] me013 | then you don't you don't have
[24:21] me013 | the time reference
[24:22] fe016 | Right .
[24:23] me013 | uh that you 'd have if you had it live .
"[24:25] fe016 | And you don't have a lot of other cues that might be useful , so ."
[24:27] me013 | Yeah .
[24:28] me018 | How do you synchronize the time in the CrossPad and the time of the recording ?
[24:30] me011 | I mean that was one of the issues we talked about originally and that that 's w
[24:38] fe016 | Uh .
[24:40] me011 | You know you want it pretty close and there 's a fair amount of skew because it 's a hand - held unit with a battery
[24:40] fe008 | Mm - hmm .
[24:46] fe008 | Well when when I d
[24:47] fe008 | OK .
"[24:47] me011 | so you have to synchronize at the beginning of each meeting all the pads that are being used ,"
[24:53] me011 | so that it 's synchronized with the time on that and then you have to
"[24:56] me011 | download to an application , and then you have to"
[24:59] me011 | figure out what the data formats are and convert it over if you wanna do anything with this information .
[25:04] me011 | And so there 's a lot of infrastructure which
"[25:08] fe008 | There is an alternative , I mean , it 's still , there 's uh you know , your point stands about there be needing to be an infrastructure , but"
[25:13] fe008 | it doesn't have to be synchronized with the little clock 's timer on it . You c
[25:21] me011 | Hmm .
"[25:24] me011 | Well , but then there 's the infrastructure at the other end which someone has to listen to that and find that point ,"
[25:25] me022 | Right .
"[25:28] fe008 | Yeah , it 's transcribed . It 's in the transcript ."
[25:29] me011 | and then mark it .
[25:30] me011 | So .
[25:30] fe008 | Yeah .
[25:32] fe008 | Well it 's in the transcript .
