[00:01] me013 | Are we on ?
[06:17] me011 | Couple times .
"[06:23] fe008 | ugh well , I mean there 's it 's the double thing . It 's the equipment and also how it 's worn ."
[06:27] fe008 | And he 's always they always they just rave about how wonderful Adam 's Adam 's channel is .
[06:28] fe016 | Right .
[06:34] me013 | Yeah .
"[06:37] fe008 | Yeah , but I mean it 's not just that , it 's also you know you"
[06:38] me013 | Yeah .
[06:41] mn014 | Yeah .
"[06:43] fe008 | it 's um , it 's really it makes a big difference from the transcribers ' point of view and also from the research s point of view ."
[06:43] me013 | Yeah .
"[06:44] me011 | Yeah , it 's an advantage when you don't breath ."
"[06:49] me011 | Yeah , I think that the point of doing the close talking mike is to get a good quality signal . We 're not doing research on close talking mikes ."
[06:49] fe016 | Right .
[06:53] fe008 | Yeah .
[06:55] me011 | So we might as well get it as uniform as we can .
[06:55] me013 | Yeah .
[06:56] fe016 | Right .
"[06:57] me013 | Now , this is"
[07:02] me011 | Yeah .
[07:03] fe016 | That 's OK .
"[07:05] me013 | but , uh , yeah , for future ones we can get it a bit more uniform ."
"[07:09] fe016 | Great , great ."
[07:09] me011 | So I think just do a field trip at some point .
[07:13] me011 | Yep .
[07:18] me011 | Yep .
"[07:19] me011 | So , as as I said , we 'll do a field trip and see if we can get all of the same mike that 's more comfortable than than these things , which I think are horrible ."
[07:24] fe008 | OK .
"[07:29] fe016 | Great , thank you very much . It 's makes our job a lot easier ."
"[07:32] me011 | And , you know , we 're researchers , so we all have big heads ."
[07:32] me013 | OK .
[07:34] me018 | Yeah .
[07:34] me013 | OK .
[07:35] me013 | Yeah .
"[07:38] me013 | OK , second item was the , uh ,"
"[07:41] me013 | NIST visit , and what 's going on there ."
"[07:44] fe008 | OK , so , um , uh ,"
"[07:46] fe008 | Jonathan Fiscus is coming on the second of February and I 've spoken with , uh , u u a lot of people here , not everyone . Um , and , um ,"
"[07:54] fe008 | he expressed an interest in seeing the room and in , um , seeing a demonstration of the modified multitrans , which I 'll mention in a second ,"
"[08:03] fe008 | and also , um , he was interested in the pre - segmentation and then he 's also interested in the transcription conventions ."
[08:09] me011 | Mm - hmm .
"[08:10] fe008 | And , um So , um , it seems to me in terms of like , um ,"
[08:15] fe008 | i i it wou
"[08:16] fe008 | You know , OK . So the room , it 's things like the audio and c and audi audio and acoustic acoustic properties of the room and how it how the recordings are done , and that kind of thing ."
"[08:24] fe008 | And , um . OK , in terms of the multi - trans , well that that 's being modified by Dave Gelbart to , uh , handle multi - channel recording ."
[08:34] me011 | I was just thinking I should have invited him to this meeting . I forgot to do it .
[08:38] me011 | So .
[08:39] mn014 | Yeah .
[08:40] me011 | Sorry .
"[08:42] fe008 | Yeah , and it 's t and it looks really great . He he has a prototype . I I , uh ,"
"[08:47] fe008 | didn't didn't see it , uh , yesterday but I 'm going to see it today ."
"[08:50] fe008 | And , uh , that 's that will enable us to do nice"
"[09:01] fe008 | of the , uh , original design of the software ."
[09:04] fe008 | And um .
"[09:06] fe008 | In terms of , like , pre - segmentation , that that continues to be , um , a terrific asset to the to the transcribers ."
"[09:16] mn014 | Um , yeah . What what I 'm doing right now is I 'm trying to"
"[09:22] mn014 | include some information about which channel , uh , there 's some speech"
[09:31] fe008 | OK .
[09:36] mn014 | normalizing energies and comparing energies of the different channels . And
[09:39] mn014 | so to to give the transcribers some information in which channel there 's there 's speech in addition to to the thing we we did
"[09:47] mn014 | now which is just , uh , speech - nonspeech detection on the mixed file ."
[09:51] fe008 | This is good . Mm - hmm .
[09:51] mn014 | So I 'm I 'm relying on on the segmentation of the mixed file but I 'm I 'm trying to
[09:57] mn014 | subdivide the speech portions into
[10:00] mn014 | different portions if there is some activity in in different channels .
"[10:04] fe008 | Excellent , so this 'd be like w e providing also speaker ID potentially . Wonderful ."
[10:06] mn014 | Yeah . Yeah .
"[10:11] me013 | Um , something I guess I didn't put in the list but , uh ,"
"[10:21] me013 | uh , Dave Gelbart and I will be , uh , visiting with John Canny who i you know , is a CS professor ,"
[10:29] me011 | HCC .
[10:30] me013 | who 's interested in ar in array microphones .
[10:33] me013 | Yeah .
"[10:35] me013 | And so we wanna see what commonality there is here . You know , maybe they 'd wanna"
[10:40] me013 | stick an array mike here when we 're doing things or or maybe
[10:41] me018 | That would be cool .
"[10:42] me011 | Yeah , that would be neat ."
[10:43] mn005 | Yeah .
[10:43] me018 | That would be really neat .
"[10:54] me013 | Um , I also had a discussion So , w uh , we 'll be over over there talking with him , um , after class on Friday . Um ,"
"[11:06] me013 | we 'll let you know what what goes with that . Also had a completely unrelated thing . I had a , uh , discussion today with , uh , Birger Kollmeier who 's a ,"
"[11:32] me013 | microphone things . And so , uh , he 's he and possibly a student , there w there 's , uh , a student of his who gave a talk here"
"[11:40] me013 | last year , uh , may come here , uh , in the fall for , uh , sort of a five month , uh , sabbatical . So he might be around ."
"[11:49] me013 | Get him to give some talks and so on . But anyway , he might be interested in this stuff ."
[11:51] mn005 | Mm - hmm .
"[11:52] me018 | That that reminds me , I had a a thought of an interesting project that"
"[11:55] me018 | somebody could try to do with the data from here , either using , you know , the the mikes on the table or"
[12:01] mn005 | Mm - hmm .
"[12:01] me018 | using signal energies from the head worn mikes , and that is to try to construct a map of where people were sitting ,"
[12:06] me013 | Right .
[12:06] mn005 | Uh - huh .
"[12:07] me011 | Well Dan Dan had worked on that . Dan Ellis , yeah ."
[12:08] mn005 | Uh - huh .
"[12:08] me018 | Oh , did he ? Oh , that 's interesting ."
[12:13] mn005 | Yeah .
[12:13] me011 | was doing b beam - forming .
"[12:15] me013 | A little bit , I mean , he didn't do a very extreme thing but just it was just sort of"
"[12:16] mn005 | Yeah , yeah ."
"[12:18] me011 | No , he did start on it ."
"[12:19] me013 | e e given that , the the the block of wood with the the the two mikes on either side ,"
[12:22] me011 | Mm - hmm .
[12:27] mn005 | Yeah .
"[12:31] me013 | if if someone who was on the axis between the two is talking , then you you get a big peak there . And if if someone 's talking on on on , uh , one side or the other , it goes the other way . And then ,"
[12:35] me018 | Mm - hmm .
"[12:41] me013 | uh , it it it even looks different if th t if the two two people on either side are talking than if one in the middle . It it actually looks somewhat different , so ."
[12:48] me018 | Hmm .
"[12:49] me018 | Well I was just thinking , you know , as I was sitting here next to Thilo that"
[12:51] mn014 | Yeah .
"[12:52] me018 | um ,"
"[12:53] me018 | when he 's talking ,"
[12:57] mn005 | Yeah .
"[12:58] me011 | Oh , that 's another cl cue , that 's true ."
"[12:59] me018 | yeah , looked at the energy on my mike and you could get an idea about who 's closest to who ."
[12:59] mn005 | Yeah .
[13:00] mn005 | Yeah .
[13:01] me013 | Mm - hmm .
[13:03] mn005 | Yeah .
[13:04] me013 | Right .
[13:04] mn005 | Yeah .
"[13:09] me013 | Yeah , well you have to the appropriate normalizations are tricky , and and and are probably the key ."
[13:12] me011 | Yeah .
[13:12] mn014 | Yeah .
[13:18] mn014 | Yeah .
[13:21] me013 | Yeah . We 've switched positions recently so you can't Anyway .
[13:25] me013 | OK .
[13:27] me013 | So those are just a little couple of news items .
"[13:29] fe008 | Can I ask one thing ? Uh , so , um ,"
"[13:30] fe008 | Jonathan Fiscus expressed an interest in , uh , microphone arrays ."
[13:34] me013 | Yes .
"[13:34] fe008 | Um , is there I mean b And I also want to say , his he can't stay all day . He needs to"
"[13:40] fe008 | uh , leave for uh , from here to make a two forty - five flight"
"[13:44] me011 | Oh , so just morning ."
[13:45] fe008 | from from Oakland .
[13:47] me013 | Right .
"[13:47] fe008 | So it makes the scheduling a little bit tight but do you think that , um that , uh , i John Canny should be involved in this somehow or not . I have no idea ."
[13:55] me013 | Probably not but I I 'll I 'll I 'll know better after I see him this Friday what what kind of level he wants to get involved .
[13:57] fe008 | It 's premature .
[13:58] fe008 | Fine .
[14:00] fe008 | Good .
"[14:01] me013 | Uh , he might be excited to and it might be very appropriate for him to , uh , or he might have no interest whatsoever . I I just really don't know ."
[14:08] fe008 | OK .
[14:08] me011 | Is he involved in Ach ! I 'm blanking on the name of the project .
"[14:12] me011 | NIST has has done a big meeting room instrumented meeting room with video and microphone arrays , and"
[14:18] me011 | very elaborate software . Is is he the one working on that ?
[14:20] me013 | Well that 's what they 're starting up .
[14:21] me011 | OK .
"[14:22] me013 | Yeah . No , I mean , that 's what all this is about . They they haven't done it yet ."
[14:27] me011 | OK . I had read some papers that looked like they had already done some work .
[14:39] me018 | Are they going to do video as well ?
[14:39] me011 | Hmm .
[14:40] me013 | Yeah .
[14:41] me018 | Hmm .
[14:41] me013 | I think . I think they are .
"[14:42] me011 | Oh , cuz what what I had read was , uh , they had a uh"
"[14:45] me011 | very large amount of software infrastructure for coordinating all this , both"
"[14:49] me011 | in terms of recording and also live room where you 're interacting the participants are interacting with the computer , and with the video , and lots of other stuff ."
"[14:57] me013 | Well , I 'm I 'm I 'm not sure . All all I know is that they 've been talking to me about a project that they 're going to start up"
[14:58] me011 | So .
[15:10] me011 | Alright .
"[15:20] me013 | one , uh , difference from the audio side was that they are interested in using array mikes ."
"[15:26] me013 | So , um , I mean , I 'll just tell you the party line on that . The reason I didn't go for that here"
"[15:31] me013 | was because , uh , the focus , uh , both of my interest and of Adam 's interest was"
"[15:36] me013 | uh , in impromptu situations . And"
[15:40] me013 | we 're not recording a bunch of impromptu situations but that 's because it 's different to get data for research than to
"[15:45] me013 | actually apply it . And so , uh , for scientific reasons we thought it was good to instrument this room as we wanted it ."
[15:45] mn005 | Hmm .
[15:50] me013 | But the thing we ultimately wanted to aim at was a situation where
"[15:55] me013 | you were talking with , uh , one or more other people"
"[15:58] me013 | i uh , in in an p impromptu way , where you didn't didn't actually know what the situation was going to be . And therefore it would not it 'd be highly unlikely that room would be outfitted with with some very carefully designed array of microphones ."
[16:16] me018 | So there 's no like portable array of mikes ?
[16:19] mn005 | Hmm .
"[16:21] me013 | uh , there 's a whole range of things there 's a whole array of things , that people do on this . So , um ,"
"[16:27] me013 | the , uh the big arrays , uh , places , uh , like"
"[16:32] me013 | uh , Rutgers , and Brown , and other other places ,"
"[16:36] me013 | uh , they have , uh , big arrays with , I don't know , a hundred hundred mikes or something . And so there 's a wall of mikes . And you get"
[16:37] me011 | Xerox .
[16:42] me018 | Wow .
"[16:47] me013 | And it 's and , um ,"
[16:49] me013 | in fact at one point we had a a proposal in with Rutgers where we were gonna do some of the
[17:00] me018 | I 've seen demonstrations of the microphone arrays . It 's amazing
"[17:03] me013 | Yeah , it 's r"
[17:03] me018 | how how they can cut out noise .
"[17:05] me011 | And then they have little ones too but I mean but they don't have our block of wood , right ?"
"[17:05] me013 | It 's really neat stuff . And then they had the little ones , yeah ."
"[17:10] me013 | Yeah , our block of wood is unique . But the But the No , there are these commercial things now you can buy that have four mikes or something and and , uh ,"
[17:10] mn005 | Yeah .
[17:16] fe016 | Mm - hmm .
"[17:22] me013 | So , yeah , there 's there 's there 's a range of things that people do ."
[17:25] me018 | Huh .
"[17:25] me013 | Um , so if we connected up with somebody who was interested in doing that sort of thing that 's that 's a good thing to do . I mean , whenever I 've described this to other people who are interested on the with the acoustic side"
[17:35] me013 | that 's invariably the question they ask . Just like someone who is interested in the general dialogue thing will always ask
"[17:40] me013 | "" um , are you recording video ? """
"[17:43] fe016 | Right , right ."
"[17:49] me013 | it 's a good thing to do ,"
[17:50] me013 | but it doesn't solve the problem of how do you solve things when there 's one mike or at best two mikes in in this imagined PDA that we have .
[17:59] me013 | So maybe maybe we 'll do some more of it .
[18:06] fe008 | an array of microphones . But couldn't you kind of approximate the natural sis situation by just shutting off
"[18:12] fe008 | uh , channels when you 're later on ? I mean , it seems like if the microphones don't effect each other then couldn't you just ,"
"[18:20] fe008 | you know , record them with an array and then just not use all the data ?"
[18:23] me011 | It 's it 's just a lot of infrastructure that
[18:25] fe008 | I see . Fine .
[18:25] me011 | for our particular purpose we felt we didn't need to set up .
[18:26] fe016 | Yeah .
[18:28] fe008 | OK .
[18:33] me013 | But if you get somebody who 's who who has that as a primary interest then that put then that drives it in that direction .
[18:37] fe016 | Right .
[18:43] me018 | You have to have one channel recording per mike in the array ?
[18:47] me011 | I usually do a mix .
"[18:51] me018 | What you save , I mean , if you 're going to do research with it . yeah"
[18:54] me013 | There 's I I don't know what they 're going to do and I don't know how big their array is . Obviously if you were gonna save all of those channels for later research you 'd use up a lot of space .
[19:02] me018 | Yeah . Hmm .
"[19:03] me011 | Well their software infrastructure had a very elaborate design for plugging in filters , and mixers , and all sorts of processing ."
"[19:03] me013 | And , th"
[19:11] me011 | So that they can do stuff in real time and not save out each channel individually .
[19:14] me013 | Yeah .
[19:15] me018 | Mmm .
[19:15] me013 | Yeah .
[19:16] mn005 | Yeah .
"[19:17] me013 | But I mean , uh ,"
[19:19] me013 | for optimum flexibility later you 'd want to save each channel . But I think in practical situations
[19:25] me013 | you would have some engine of some sort doing some processing to reduce this to some to the equivalent of a single microphone that was very directional .
"[19:33] me018 | Uh , oh , OK , I see ."
[19:34] me013 | Right ?
[19:36] me018 | Sort of saving the result of the beam - forming .
[19:37] mn005 | Yeah .
"[19:42] fe016 | for doing this , just getting the data , because there 's"
"[19:45] fe016 | a number of sites like right now SRI is probably gonna invest a lot of internal funding into recording meetings also , which is good ,"
"[19:57] fe016 | You know , it 'd be nice if we can have at least ,"
"[20:01] fe016 | uh , make use of the data that we 're recording as we go since it 's sort of this is the first site that has really collected these really impromptu meetings ,"
"[20:08] fe016 | um , and just have this other information available . So ,"
"[20:12] fe016 | if we can get the investment in just for the infra infrastructure and then ,"
"[20:17] fe016 | I don't know , save it out or have whoever 's interested"
"[20:20] fe016 | save that data out , transfer it there , it 'd be g it 'd be good to have have the recording ."
[20:26] me011 | You mean to to actually get a microphone array and
[20:27] fe016 | I think .
[20:31] fe016 | Even if we 're not I 'm not sure about video . That 's sort of an video has a little different nature since
[20:36] fe016 | right n right now we 're all being recorded but we 're not being taped .
"[20:40] fe016 | Um , but it definitely in the case of microphone arrays , since if there was a community interested in this ,"
"[20:45] me011 | Well , but I think we need a researcher here who 's interested in it ."
[20:48] me011 | To push it along .
"[20:49] me013 | See the problem is it it took , uh ,"
"[20:52] me013 | uh , it took at least six months for Dan"
"[20:55] me013 | to get together the hardware and the software , and debug stuff in in the microphones , and in the boxes . And it was a really big deal ."
[21:03] me013 | And so I think we could get
"[21:05] me013 | a microphone array in here pretty easily and , uh , have it mixed to to one channel of some sort . But ,"
[21:12] fe016 | Mm - hmm .
[21:13] me013 | e
[21:20] me013 | For for maximum flexibility later you really don't want to end up with just one channel that 's pointed in the direction of the the the p
"[21:36] me013 | And to do that , it we 're going to end up greatly increasing the disk space that we use up ,"
"[21:40] me013 | we also only have boards that will take up to sixteen channels and in this meeting ,"
[21:51] me013 | E
[21:52] mn005 | Yeah .
[21:53] fe016 | Mm - hmm .
[21:54] me013 | Yeah .
[21:55] me013 | Yeah .
"[22:13] fe016 | who 's interested ,"
[22:14] fe016 | and even if ICSI it itself isn't .
"[22:17] fe016 | Um , and it it seems like as long as we can time align the beginning , do we need to mix it with the rest ? I don't know ."
[22:25] me013 | Yeah . So I think you 'd need a separate a separate set up and the assumption that you could time align the two .
[22:27] fe016 | Yeah .
[22:30] me011 | And y it 'd certainly gets skew .
[22:30] fe016 | I mean it 's just it 's worth considering as sort of
"[22:33] fe016 | once you make the up front investment and can sort of save it out each time , and and"
"[22:37] fe016 | not have to worry about the disk space factor , then it mi it might be worth having the data ."
"[22:41] me013 | I 'm not so much worried about disk space actually . I mentioned that , b as a practical matter , but the real issue is"
"[22:46] me013 | that , uh , there is no way to do a recording extended to what we have now with low skew ."
"[22:53] me013 | So you would have a t completely separate set up , which would mean that the sampling times and so forth would be all over the place compared to this ."
[22:56] fe016 | Right .
"[23:00] me013 | So it would depend on the level of pr processing you were doing later ,"
[23:04] me013 | but if you 're d i the kind of person who 's doing array processing you actually care about funny little times .
"[23:09] me013 | And and so you actually wou would want to have a completely different set up than we have , one that would go up to thirty - two channels or something ."
[23:10] fe016 | I see .
[23:16] fe016 | Mmm .
"[23:17] me013 | So basically or a hun Yeah . So ,"
[23:23] fe016 | Mmm .
"[23:24] me013 | So , uh , I don't think we can share the resource in that way . But what we could do is if there was someone else who 's interested they could have a separate set up which they wouldn't be trying to synch with ours which might be useful for for them ."
"[23:37] me013 | Yeah , we can o offer the meetings , and the physical space , and and yeah , the transcripts , and so on ."
[23:37] fe016 | Right .
[23:41] fe016 | OK .
"[23:42] fe016 | Right , I mean , just it 'd be nice if we have more information on the same"
"[23:46] fe016 | data . You know ,"
[23:47] me013 | Yeah .
"[23:47] fe016 | But it 's if it 's impossible or if it 's a lot of effort then you have to just balance the two ,"
"[23:52] me013 | Well I thi yeah , the thing will be , u u in in again , in talking to these other people to see what you know , what what we can do ."
[23:59] fe016 | Right .
"[23:59] me013 | Uh , we 'll see ."
[23:59] me018 | Is there an interest in getting video recordings for these meetings ?
[24:03] me018 | I mean
[24:03] me018 | t
"[24:04] me011 | Yes , absolutely . But it 's exactly the same problem ,"
[24:07] me011 | that
"[24:08] me011 | you have an infrastructure problem , you have a problem with people not wanting to be video taped , and you have the problem that no one who 's currently involved in the project is really hot to do it ."
[24:13] me018 | Hmm .
[24:19] me011 | Mm - hmm .
"[24:19] fe016 | Right . Internally , but I know there is interest from other"
"[24:29] fe008 | I I have to u u mention the human subjects problems , that i increase with video ."
"[24:35] fe016 | Right , that 's true ."
"[24:36] me013 | Yeah , so it 's , uh , people people getting shy about it . There 's this human subjects problem ."
[24:37] fe008 | Yeah .
"[24:41] me013 | There 's the fact that then um ,"
"[24:43] me013 | if i I I 've heard comments about this before , "" why don't you just put on a video camera ? "" But"
"[24:48] me013 | you know , it 's sort of like saying , "" uh , well we 're primarily interested in in some dialogue things ,"
"[24:53] me013 | uh , but , uh , why don't we just throw a microphone out there . "" I mean ,"
"[24:57] me013 | the thing is ,"
[24:57] me013 | once you actually have serious interest in any of these things then you actually have to put a lot of effort in .
"[25:03] me013 | And , uh , you really want to do it right . So I think"
[25:04] me011 | I know . Yep .
"[25:06] me013 | NIST or LDC , or somebody like that I think is much better shape to do all that . We there will be other meeting recordings . We won't be the only place doing meeting recordings . We are doing what we 're doing ."
"[25:16] me013 | And , uh , hopefully it 'll be useful ."
[25:23] me011 | Oh ! Probably not . Has Don have you s did you si I thought you did actually . Didn't you read a digit string ?
[25:23] fe008 | A permission form ?
"[25:26] me001 | I was Yeah , I was I was here I was here before once ."
[25:28] me018 | You were here at a meeting before .
[25:29] fe008 | You were here at a meeting before .
"[25:31] me011 | Yeah , and you and you signed a form ."
[25:31] me018 | Yeah .
[25:31] me001 | So .
[25:32] fe008 | Did you sign a form ?
"[25:32] me001 | Oh , I think so . Did I ? I don't know ."
[25:33] me011 | I 'm pretty sure . Well I 'll I 'll get another one before the end of the meeting . Thank you .
[25:35] fe008 | OK .
[25:36] me013 | Yeah .
[25:36] fe008 | OK .
[25:36] me001 | Yeah .
[25:37] me013 | Yeah .
[25:37] fe008 | You don't you don't have to leave for it . But I just you know .
"[25:39] me011 | Well I can't , I 'm wired in ."
[25:39] me001 | Can I verbally consent ?
[25:42] fe008 | o
[25:43] me001 | Yeah .
[25:44] me001 | I don't care . You can do whatever you want with it . That 's fine .
[25:47] me018 | Usually .
[25:51] me013 | OK .
"[25:52] me013 | Uh , transcriptions ."
"[25:54] fe008 | Transcriptions , OK . Um , I thought about there are maybe three"
"[25:58] fe008 | aspects of this . So first of all , um , I 've got eight transcribers ."
"[26:03] fe008 | Uh , seven of them are linguists ."
[26:05] fe008 | One of them is a graduate student in psychology .
"[26:08] fe008 | Um ,"
"[26:09] fe008 | Each I gave each of them , uh , their own data set . Two of them have already finished the data sets ."
"[26:14] fe008 | And the meetings run , you know , let 's say an hour . Sometimes as man much as an hour and a half ."
[26:17] me018 | How big is the data set ?
"[26:19] fe008 | Oh , it 's what I mean is one meeting . Each each person got their own meeting . I didn't want to have any conflicts of , you know , of of"
"[26:20] me018 | Ah , OK ."
[26:24] fe008 | when to stop transcribing this one or So I wanted to keep it
[26:30] me018 | Uh - huh .
"[26:41] fe008 | Uh , right now all eight of them have differe uh , uh , additional data sets . That means potentially as many as ten might be finished by the end of the month ."
"[26:50] fe008 | Hope so . But the pre - segmentation really helps a huge amount . And , uh , also Dan Ellis 's innovation of the , uh the multi - channel to here really helped a r a lot"
[26:50] me018 | Wow .
[26:52] mn014 | OK .
"[26:59] fe008 | in terms of clearing clearing up h hearings that involve overlaps . But , um ,"
"[27:03] fe008 | just out of curiosity I asked one of them how long it was taking her , one of these two who has already finished her data set . She said it takes about ,"
"[27:10] fe008 | uh , sixty minutes transcription for every five minutes of real time . So it 's about twelve to one , which is what we were thinking ."
[27:15] me011 | or Yep . It 's pretty good .
[27:15] fe008 | It 's well in the range .
"[27:23] fe008 | But it 's word level , speaker change , the things that were mentioned . OK , now I wanted to mention the , um ,"
"[27:28] fe008 | teleconference I had with , uh , Jonathan Fiscus . We spoke for an hour and a half"
[27:33] me011 | Hmm .
"[27:33] fe008 | and , um , had an awful lot of things in common . He , um ,"
"[27:37] fe008 | um , he in indicated to me that they 've that he 's been ,"
"[27:42] fe008 | uh , looking , uh , uh , spending a lot of time with I 'm not quite sure the connection , but spending a lot of time with the ATLAS system ."
"[27:48] fe008 | And I guess that I mean , I I need to read up on that . And there 's a web site that has lots of papers . But it looks to me like that 's"
[27:55] fe008 | the name that has developed for the system that Bird and Liberman developed for the annotated graphs approach .
[27:59] me011 | Mm - hmm .
[28:02] fe008 | So what he wants me to do and what we what we
"[28:05] fe008 | will do and uh , is to provide them with the u already transcribed meeting"
[28:10] fe008 | for him to be able to experiment with in this ATLAS
"[28:13] fe008 | System . And they do have some sort of software , at least that 's my impression , related to ATLAS and that he wants to experiment with taking our data and putting them in that format , and see how that works out ."
"[28:30] fe008 | in this word level transcript . And , um ,"
"[28:33] fe008 | you know , I I explained , you know , the reasons that that we were not"
