[00:04] fe004 | Sorry .
"[14:39] me045 | I solved that at the same time as "" how do we keep adjectives from floating to the left of determiners and how do we keep all of that from floating outside the noun phrase "" to get something like "" I the kicked dog "" . Um ."
[14:52] me010 | That 's great .
[14:54] fe004 | Cool .
"[14:54] me010 | No , I know , I th I I think that is gonna be"
[14:58] me010 | sort of
[14:59] me010 | the key to this wh to th the big project of the summer of of getting the constructions right is that
"[15:08] me010 | people do manage to do this so there probably are some , uh , relatively clean rules , they 're just not context - free trees ."
[15:16] me045 | Right .
"[15:16] me010 | And if we if the formalism is is good , then we should be able to"
"[15:24] me010 | have , you know , sort of moderate scale thing . And that by the way is is , Keith , what I encouraged George to be"
[15:30] me010 | talking with you about . Not the formalism yet
[15:32] me045 | Mm - hmm .
[15:33] me010 | but the phenomena .
[15:35] me045 | Yeah .
"[15:36] me010 | The p And Oh , another thing , um"
"[15:41] me010 | there was this , uh"
[15:43] me010 | thing that Nancy agreed to in a in a weak moment this morning
[15:47] me045 | Hmm !
[15:47] me010 | that
[15:49] me045 | Hmm !
"[15:56] me010 | Anyway , uh , that we were that we 're gonna try to get a"
"[16:00] me010 | uh , first cut at the revised formalism by the end of next week ."
[16:07] me010 | OK ? Probably skipping the mental spaces part .
[16:07] me045 | Alright .
[16:09] me045 | Right . I do .
"[16:10] me010 | Uh , just trying to write up essentially what what you guys have worked out"
"[16:16] me010 | so that everybody has something to look at . We 've talked about it , but only the innermost inner group"
"[16:22] me010 | currently , uh , knows , uh"
[16:22] me045 | Mm - hmm .
[16:25] me045 | OK .
"[16:32] me010 | Well that that yeah th there 's one of the advantages of a document , right ? , is is that"
[16:35] me045 | Yeah .
[16:36] fe004 | Right .
[16:36] me010 | it actually transfers from head to head .
[16:39] me045 | OK .
"[16:40] fe004 | Ah , communication !"
[16:41] me010 | Huh ?
[16:41] fe004 | Communication .
[16:43] me045 | Hunh !
"[16:48] me010 | Uh l let 's , let 's have that as a goal anyway ."
"[16:54] me010 | No , no , no ."
"[16:55] me010 | No , w uh we 're talking about a week fr e end of next week ."
"[16:58] fe004 | But , uh , but but the two of us will probably talk to you at well before th I mean ."
[16:58] me045 | End of next week . I thought you said beginning of n
[17:01] me045 | Yeah .
"[17:02] fe004 | Anyway , w let 's talk separately about how t"
"[17:06] me010 | OK . Yeah , so so someti sometime next week ."
"[17:09] me045 | Great ,"
[17:09] me010 | Now if it turns out that that effort leads us into
[17:12] me010 | some big hole
[17:14] me045 | Mm - hmm .
[17:14] me010 | that 's fine .
[17:15] me045 | OK .
"[17:15] me010 | You know , if you say we 're we 're dump dump dump ."
"[17:18] me010 | There 's a really hard problem we haven't solved yet that , that 's just fine ."
[17:20] me045 | OK .
[17:22] me045 | But at at least sort of try and work out what the state of the art is right now .
"[17:25] me010 | Right , t t if to the extent that we have it , let 's write it"
[17:29] me045 | OK .
"[17:29] me010 | and to the extent we don't , let 's find out what we need to do ."
[17:31] me045 | OK .
"[17:34] me010 | So , uh"
"[17:48] me010 | I think it is , but uh but I interrupted before Keith got to tell us what happened with"
"[17:53] me010 | "" where is the Powder - Tower ? "" or whatever"
[17:56] me045 | Well .
"[18:06] mn015 | Hmm , yeah . I think I think we already came"
[18:14] mn015 | two alternative ways of representing it . One is sort of a has a
[18:24] me045 | The question of whether the polysemy is sort of like in the construction or pragmatic .
[18:24] fe004 | One of them was th
[18:27] fe004 | Right .
[18:27] mn015 | or comes is resolved
[18:29] fe004 | Right .
[18:31] mn015 | later . Yeah .
[18:32] me045 | I think it has to be the the second case .
[18:34] mn015 | Yeah .
"[18:35] me045 | Um , so d ' you Is it clear what we 're talking about here ?"
[18:35] fe004 | I agree .
[18:39] me045 | The question is whether the construction is semantic or like ambiguous between asking for location and asking for path . Um
"[18:39] fe004 | So you might be yeah , y"
[18:43] fe004 | And asking for directions .
"[18:47] me045 | or or whether the construction semantically , uh , is clearly only asking for location but pragmatically that 's construed as meaning "" tell me how to get there "" ."
[18:54] me010 | Mm - hmm .
"[18:54] mn015 | So assume these are two , uh , nodes we can observe in the Bayes - net . So these are either"
[18:54] me010 | Yep .
[18:55] fe004 | Yeah .
[18:57] me010 | Right .
[19:00] mn015 | true or false and it 's also just true or false .
"[19:04] mn015 | If we encounter a phrase such as "" where is X ? "" , should that set this to true and this to true , and the Bayes - net figures out which under the c situation in general is more likely ?"
"[19:15] mn015 | Um , or should it just activate"
"[19:19] mn015 | this , have this be false , and the Bayes - net figures out whether this actually now means ?"
"[19:25] me010 | Uh w that 's a s OK , so that 's a that 's a separate issue . So I a I I th I agree with you that , um , it 's a disaster to try to make separate constructions for every"
[19:26] fe004 | Slightly different .
[19:28] me045 | OK .
"[19:40] me010 | uh , pragmatic"
"[19:41] me010 | reading , although there are some that will need to be there ."
[19:42] me045 | Mm - hmm .
[19:47] me045 | Right .
[19:48] fe004 | Right .
[19:49] fe004 | Or have every construction list all the possible pragmatic implications of the same one . Right .
[19:53] me010 | You can't do that either . Yeah .
[19:54] fe004 | Yeah .
"[19:54] me010 | But , you know , c um almost certainly "" can you pass the salt "" is a construction worth"
[19:58] me045 | Yeah .
[20:00] me010 | noting that there is this th this this this uh
[20:01] fe004 | Request .
[20:02] me045 | Mm - hmm . Yeah .
"[20:04] me045 | So right , this one is maybe in the gray area . Is it is it like that or is it just sort of"
[20:08] me010 | Ri -
[20:08] fe004 | Mmm .
[20:09] me010 | Yeah .
[20:10] me045 | obvious from world knowledge that no one you wouldn't want to know the location without wanting to know how to get there or whatever .
"[20:16] mn015 | Or in some cases , it 's it 's quite definitely s so that you just know wanna know"
[20:18] me010 | Yeah .
[20:20] me045 | Yeah .
"[20:21] me045 | Well the question is basically , is this conventional or conversational implicature ?"
[20:24] me010 | Exactly . Yeah .
"[20:26] fe004 | Might be , yeah ."
"[20:26] me010 | And I guess , see , the more important thing at this stage is that we should be able to know how we would handle it in ei"
[20:34] me010 | f in the short run it 's more important to know
"[20:39] me010 | technically what we would do if we decided A and what we would do if we decided B , than it is t to decide A or B r"
[20:42] fe004 | Right .
"[20:42] me045 | OK , right ."
[20:43] fe004 | Right .
"[20:44] me045 | Which of that is . Yeah , OK"
[20:45] mn015 | Hmm .
[20:45] me010 | right now .
[20:46] fe004 | Cuz there will be other k examples that are one way or the other . Right .
[20:48] me045 | Yeah .
"[20:52] me010 | In the short run , let 's let 's"
[20:54] me010 | be real clear on h
[20:56] me010 | what the two alternatives would be .
[20:58] me045 | OK .
"[21:09] mn015 | But the nice thing is w we would have a person that would like to work on it , and that 's Ir - Irina Gurevich from EML who is going to be visiting us , uh , the week before , uh , August"
[21:21] mn015 | and a little bit into August .
"[21:31] mn015 | being crafted at EML . That 's not the one I sent you . The one I sent you was from GMD , out of a European CRUMPET ."
[21:37] me010 | It was terrible .
[21:39] mn015 | Agreed .
"[21:40] mn015 | Um , and one of the reas one of the those ideas was ,"
"[21:46] mn015 | so ,"
[21:47] mn015 | back to the old Johno observation that if y if you have a dialogue history and it said
"[21:53] mn015 | the word "" admission fee """
[21:55] mn015 | was
"[21:57] mn015 | uh , mentioned"
"[21:58] mn015 | um , it 's more likely that the person actually wants to enter than just take a picture of it"
[22:04] mn015 | from the outside .
"[22:05] mn015 | Now what could imagine to , you know , have a list for each construction of things that one should look up in the discourse history , yeah ? That 's the really stupid way ."
"[22:15] mn015 | Then there is the really clever way that was suggested by Keith and then there is the , uh , middle way that I 'm suggesting and that is you you get X , which is whatever , the castle ."
"[22:26] mn015 | The ontology will tell us that castles have opening hours , that they have admission fees , they have whatever ."
"[22:34] mn015 | And then , this is We go via a thesaurus"
[22:39] mn015 | and look up certain linguistic surface structures that are related to these concepts and feed those through the dialogue history and check dynamically
[22:48] mn015 | for each e entity . We look it up
[22:50] mn015 | check whether any of these were mentioned
[22:52] mn015 | and then activate the corresponding nodes on the discourse
[22:57] mn015 | side .
"[23:11] me045 | So if someone mentions admission f fees , that activates an Enter schema which sticks around for a little while in your rep in the representation of what 's being talked about . And then when someone asks "" where is X ? "" you 've already got the the Enter schema activated and you 're able to to conclude on it . Yeah ."
[23:25] me010 | Mm - hmm .
[23:25] fe004 | Kind of a priming
[23:27] fe004 | priming a spreading activation
[23:28] me010 | Right .
[23:29] me010 | Yeah . So that 's certainly more realistic . I m I mean psychologically . Now technically
[23:33] me045 | Right .
[23:37] me045 | Yeah .
"[23:40] me003 | Well , uh , is it doesn't it seem like if you just managed the dialogue history with a a thread , that"
"[23:49] me003 | I mean , cuz it would the the thread would know what nodes like , needed to be activated , so it could just keep track of how long it 's been since something 's been mentioned , and automatically load it in ."
[23:59] me010 | Yeah .
[24:00] me010 | You could do that . Um .
[24:05] me010 | But
"[24:06] me010 | here 's here 's a way in th in the bl Bayes - net you could you could think about it this way , that if"
"[24:14] me010 | um at the time "" admissions fee "" was mentioned you could increase the probability that someone wanted to enter ."
"[24:30] me010 | Fair enough , OK , but , but , in terms of the c c the current implementation right ?"
[24:34] me010 | so that
[24:35] me010 | um
[24:37] fe004 | It would already be higher in the context .
[24:44] me010 | This is this is essentially the Bayes - net equivalent
[24:46] me045 | Mm - hmm .
[24:49] me045 | Yeah .
[24:50] me010 | In some ways it 's not as good but it 's the implementation we got . We don't have a connectionist implementation .
"[24:53] me045 | Yeah , sure . No , I mean"
[24:55] me010 | Now my guess is that it 's not a question of time but it
[25:00] me010 | is a question of whether another intervening object has been mentioned .
"[25:04] fe004 | Yeah , relevance . Yeah ."
"[25:06] me010 | I mean , we could look at dialo this is Of course the other thing we ha we do is , is we have this data coming"
[25:06] me045 | Yeah .
[25:11] me045 | Yeah .
"[25:11] me010 | which probably will blow all our theories , but but skipping that so so but my guess is what what 'll probably will happen ,"
"[25:13] me045 | Yeah , right ."
"[25:20] me010 | is that there 're certain constructions which , uh , for our purposes do"
[25:27] me010 | change the probabilities of EVA decisions and various other kinds
[25:33] me010 | th that
"[25:36] me010 | the , uh , standard way that that the these contexts work is sort of stack - like or whatever , but that 's sort of the most recent thing ."
[25:44] me010 | And so it could be that when another
"[25:48] me010 | uh , en tourist entity gets mentioned , you"
"[25:52] me010 | re re essentially re - initiali you know , re - i essentially re - initialize the state ."
[25:53] me003 | Mmm .
[25:54] me045 | Mm - hmm .
[25:59] me010 | And of course i if we had a fancier one with multiple worlds
"[26:02] me010 | you could have uh , you could keep track of what"
[26:08] me010 | someone was uh
"[26:10] me010 | saying about this and that . You know , "" I wanna go in the morning I wanna """
[26:12] me045 | Yeah .
[26:20] me045 | Yeah .
"[26:20] me010 | Uh , tal so I 'm talking about shopping and then you say , uh , you know , well , um"
"[26:26] me010 | "" What 's it cost ? "" or something . Or Anyway . So one could well imagine , but not yet ."
[26:27] me045 | Mm - hmm .
[26:31] me045 | Yeah .
[26:36] me010 | It 'll turn out that it 's gonna be depend pretty much on whether there 's been an override .
"[26:43] mn015 | Yeah , I mean , if if you ask "" how much does a train ride and and cinema around the vineyards cost ? "" and then somebody tells you it 's sixty dollars and then you say"
"[26:53] mn015 | "" OK"
"[26:55] mn015 | How much is , uh I would like to visit the "" whatever , something completely different , "" then I go to , you know , Point Reyes "" ,"
[27:01] me010 | Yeah .
"[27:03] mn015 | it it 's not more likely that you want to enter anything , but it 's , as a matter of fact , a complete rejection of entering"
[27:09] mn015 | by doing that .
"[27:10] fe004 | So when you admit have admission fee and it changes something , it 's only for that particular It 's relational , right ? It 's only for that particular object ."
"[27:16] me010 | Yeah , I th th Yeah ."
"[27:17] me010 | Well , and and and the simple idea is that it 's on it 's only for m for the current"
[27:21] fe004 | Yeah .
[27:24] fe004 | Right .
[27:34] me010 | It goes the other d it goes in the other direction .
"[27:38] me010 | When th When the this is mentioned , the"
[27:43] me010 | uh
"[27:44] me010 | probability of of , let 's say , entering changes"
[27:48] me010 | changes .
[27:48] fe004 | For But Right .
"[27:53] me003 | It observes an er , it sets the a node for"
[27:54] me010 | Yeah .
[27:56] me010 | Yeah .
"[27:57] me003 | "" entered "" or "" true "" or something , "" discourse enter "" ."
"[27:57] me010 | Now , uh But I think Ro - Robert 's right , that to determine that ,"
"[28:07] me010 | So , if the issue is , if so now th this construction has been matched and you say "" OK ."
"[28:12] me010 | Does this actually have any implications for our decisions ? """
[28:16] me010 | Then there 's another piece of code
"[28:22] fe004 | So , sort of forward chaining in a way , rather than backward . OK ."
[28:24] me010 | Yeah .
"[28:28] me010 | But but what 's Robert 's saying is is ,"
[28:32] me010 | is you don't want to try to build into the construction itself
[28:40] me010 | Uh
[28:42] me010 | maybe .
[28:44] me010 | I 'll have to think about that .
[28:46] fe004 | Hmm .
[28:48] me010 | I don't know .
[28:49] me010 | I mean it th
[28:50] me010 | I can thi I can think of arguments in either direction on that . But somehow you want to do it .
[28:54] mn015 | Mm - hmm .
"[29:00] mn015 | Well , it 's just another , sort of , construction side is how to get at the possible inferences we can draw from the discourse history"
"[29:13] fe004 | Guess it 's like I g The other thing is , whether you have a m"
[29:16] fe004 | m user model
"[29:17] fe004 | that has , you know , whatever , a current plan ,"
"[29:21] fe004 | whatever ,"
"[29:23] fe004 | plans that had been discussed , and"
"[29:31] me010 | Oh , wel"
"[29:32] me010 | Well , the ar the The argument is that"
"[29:38] me010 | If you 've recognized the word ,"
"[29:42] me010 | you 've recognized the word , which means you have a lexical construction for it , so you could just as well tag"
[29:47] me010 | the lexical construction with the fact that it 's a
"[29:51] me010 | uh , you know , thirty percent increase in"
[29:55] me010 | probability of entering .
"[29:57] me010 | You So you could you could you could invert invert the whole thing , so you s you tag that information on to the lexicon since you"
[29:57] me003 | Mmm .
"[29:58] me003 | Oh , I see ."
[30:06] me010 | had to recognize it anyway .
[30:08] me010 | That that 's the argument in the other direction .
"[30:15] mn015 | construction itself out out of context ,"
"[30:21] mn015 | "" But I but I 'm not interested in the opening times """
"[30:26] me010 | Yeah there 's , yeah ther there 's that as well ."
[30:28] mn015 | Yep .
[30:28] mn015 | Hmm .
[30:29] mn015 | So .
[30:37] mn015 | This is a s
"[30:37] mn015 | just a sidetrack , but uh"
"[30:43] mn015 | um , sort of abuse an ontology for these kinds of , uh , inferences , on"
"[30:54] mn015 | uh , has crept up in the dialogue history already , or not ."
"[30:59] mn015 | And , um"
"[31:02] mn015 | If we wanted to have that function in the dialogue hi dialogue module of SmartKom , I have the written consent of Jan to put it in there ."
[31:09] me010 | Good .
"[31:11] me010 | Well , this this is highly relevant to someone 's thesis ."
"[31:15] mn015 | Yes , um ."
[31:17] me010 | You 've noticed that .
"[31:17] mn015 | That 's uh , I 'm I 'm"
[31:19] mn015 | keeping on good terms with Jan . Yeah .
"[31:21] me010 | So the point is , it 's very likely that Robert 's thesis is going to be along these lines , and the local rules are"
"[31:26] fe004 | Oh , s"
"[31:29] me010 | if it 's your thesis , you get to decide how it 's done ."
"[31:33] me010 | OK . So if , you know if this is seriously , if this becomes part of your thesis , you can say , hey we 're gonna do it this way , that 's the way it 's done ."
[31:35] mn015 | Mmm .
"[31:40] fe004 | Yay , it 's not me . It 's always me when it 's someone 's thesis ."
"[31:45] me010 | No , no , no ! No , no . We 've got a lot we 've got a lot of theses going ."
[31:48] me010 | Yeah .
"[31:51] mn015 | Well , let 's let 's talk after Friday the twenty - ninth ."
[31:55] me010 | Right . So h he 's got a th he 's got a meet meeting in Germany with his thesis advisor .
"[31:58] fe004 | Yeah , he said he 's gonna f finish his thesis by then ."
[32:00] me045 | Oh yeah .
[32:02] mn015 | I should try to finish it by then . Yeah . So .
"[32:04] me010 | Oh , right ."
"[32:29] me010 | Yeah . So I think in fact ,"
"[32:32] me010 | That 's the other thing . uh , this is this is ,"
"[32:34] me010 | speaking of hard problems , this is a very good time"
"[32:38] me010 | um , to start trying to make explicit where construal comes in and you know , where c where the construction"
[32:46] me010 | per - se
"[32:48] me010 | ends and where construal comes in , cuz this is clearly part of th Huh ?"
[32:49] me045 | Mm - hmm .
[32:49] mn015 | Mm - hmm .
"[32:50] fe004 | Yeah , we 've we 've done quite a bit of that . We 've been doing quite a bit of that ."
[32:53] me045 | Yeah .
[32:53] me010 | Well I said . But that 's part of what the f
