[00:00] me045 | @ @
[07:29] me045 | Uh - huh .
[07:30] me010 | OK ? So between us all we have t to get th the demos they need . If it turns out we can also
"[07:36] me010 | give them lots more than that by , you know , tapping into other things we do , that 's great ."
[07:41] me045 | Mm - hmm .
[07:42] me010 | But i it turns out not to be in an any of the contracts
[07:44] me045 | OK .
"[07:45] me010 | and , s deliberately ."
"[07:48] me010 | So , the reason I 'd like you to understand"
[07:53] me010 | uh what 's going on
[07:55] me010 | in this demo system is not because it 's important to the research . It 's just
[07:59] me010 | for closure . So that if we come up with a question of
"[08:02] me010 | "" could we fit this deeper stuff in there ? "" or something . You know what the hell"
[08:06] me045 | Right .
"[08:07] me010 | we we 're talking about fitting in . So it 's just , uh in the sam same actually with the rest of us"
[08:09] me045 | OK .
[08:13] me010 | we just need to really understand
[08:16] me010 | what 's there . Is there anything we can make use of ?
"[08:21] me010 | Uh , is there anything we can give back , beyond th the sort of minimum requirements ?"
[08:26] me010 | But none of that has a short time fuse .
[08:28] me045 | OK .
[08:28] me010 | So th the demo the demo requirements for this Fall are sort of
"[08:33] me010 | taken care of as of later this week or something . And then So , it 's probably fifteen months or something until"
"[08:39] me010 | there 's another serious demo requirement . That doesn't mean we don't think about it for fifteen months , but it means we can not think about it for six months ."
[08:41] me045 | Oh OK .
[08:43] me045 | Right .
"[08:45] me045 | Right , yeah ."
[08:46] me010 | So . The plan for this summer
[08:46] mn015 | Right .
"[08:49] me010 | uh , really is to"
"[08:54] me010 | step back from the applied project ,"
"[08:57] me010 | keep the d keep the context open , but actually go after the basic issues ."
[08:59] me045 | Hmm .
[09:01] me045 | Oh OK .
"[09:02] me010 | And , so"
[09:05] me010 | The idea is there 's this
"[09:07] me010 | uh , other subgroup that 's worrying about formalizing"
[09:11] me010 | the nota getting a notation . But
"[09:13] me010 | sort of in parallel with that ,"
"[09:15] me010 | uh , the hope is tha in particularly you will work on"
"[09:19] me010 | constructions in English Ge - and German for this domain ,"
[09:22] me045 | Mm - hmm .
[09:22] me010 | but y not worry about parsing them or fitting them into SmartKom or
[09:26] me045 | Yeah .
[09:27] me010 | any of the other anything lik any other constraints
[09:30] me045 | OK .
[09:31] me010 | for the time being .
[09:32] me045 | Got it .
[09:32] me010 | It 's hard enough to
[09:34] me010 | get it semantically and syntactically right and then and get the constructions in their form and stuff .
[09:36] me045 | Yeah .
"[09:40] me010 | And , I don I don't want you f"
[09:43] me010 | feeling
[09:45] me010 | that you have to somehow meet all these other constraints .
"[09:47] me045 | Right , OK ."
"[09:48] me010 | Um . And similarly with the parsing ,"
[09:51] me010 | uh
[09:53] me010 | we 're gonna worry about parsing
"[09:55] me010 | uh , the general case"
"[09:57] me010 | you know , construction parser for general constructions ."
"[10:00] me010 | And , if we need a cut - down version for something , or whatever , we 'll worry about that later ."
[10:07] me045 | OK .
"[10:07] me010 | So I 'd like to , for the summer turn into science mode ."
"[10:11] me010 | And I assume that 's also , uh , your plan as well ."
[10:16] me010 | Right .
"[10:16] me045 | So I mean , the the point is that like the meetings um so far that I 've been at have been sort of been geared towards this demo ,"
[10:20] me010 | Yeah .
[10:22] me010 | Yeah . But but we we 're swit
[10:23] me045 | and then that 's going to go away pretty soon .
[10:25] me010 | Right .
[10:25] me045 | OK . And then we 'll sort of shift gears a
[10:25] me010 | Yeah .
[10:26] me010 | Yeah .
"[10:27] me045 | Fairly substantially , huh ?"
"[10:28] mn015 | It 's got . What I what I think is is a good idea that I can can show to anyone who 's interested , we can even make a sort of an internal demo , and I I show you"
[10:28] me010 | Yeah .
"[10:37] mn015 | what I do ,"
[10:38] me045 | Mm - hmm .
"[10:38] mn015 | I speak into it and you hear it talk ,"
[10:41] me045 | OK .
"[10:41] mn015 | and I can sort of walk f through the information . So , this is like in half hour or forty - five minutes . Just fun ."
[10:46] me045 | OK .
"[10:47] mn015 | And so you when somebody on the streets com comes up to you and asks you what is SmartKom so you can , sort of , give a sensible answer ."
[10:51] me045 | Right .
[10:53] me045 | OK .
"[10:53] me010 | So , c sh we could set that up as actually an institute wide thing ?"
"[10:57] me010 | Just give a talk in the big room , and and so peo people know what 's going on ? when you 're ready ?"
[11:04] mn015 | Absolutely .
"[11:05] me010 | Yeah I mean , that 's the kind of thing That 's the level at which"
"[11:09] me010 | you know we can just li invite everybody and say "" this is a project that we 've been working on and here 's a demo version of it "" and stuff like that ."
[11:12] me045 | Yeah .
[11:15] mn015 | Well d we we do wanna have all the bugs out b where you have to sort of
[11:22] me045 | Uh - huh .
[11:22] me010 | Indeed .
[11:23] mn015 | Yeah .
[11:25] mn015 | OK . Makes sense .
"[11:26] me010 | But any so that e e It 's clear , then , I think ."
"[11:29] me010 | Actually , roughly starting uh let 's say , nex next meeting , cuz this meeting we have one other thing to tie up besides the trip report ."
[11:34] me045 | Yeah .
[11:38] me045 | OK .
[11:39] me010 | But uh starting next meeting I think we want to
"[11:45] me010 | Uh . I mean there are a lot of issues , what 's the ontology look like , you know what do the constructions look like , what 's the execution engine look like , mmm lots of things ."
[11:49] me045 | Mm - hmm .
[11:52] me045 | Mm - hmm .
"[11:54] me010 | But , more focused on"
[11:57] me010 | uh an idealized version than
[12:00] me010 | just getting the demo out .
"[12:03] me010 | Now before we do that ,"
"[12:06] me010 | let 's get back in Oh ! But ,"
"[12:08] me010 | it 's still , I think , useful for you to understand the demo version"
[12:12] me045 | Yeah .
"[12:12] me010 | enough , so that you can can see what what it is that that uh it might"
[12:19] me010 | eventually get retro - fitted into or something .
"[12:21] me045 | OK , right ."
"[12:23] me010 | And Johno 's already done that ,"
"[12:26] me010 | uh , looked at the dem uh the looked at the SmartKom stuff ."
[12:31] me003 | To some de uh what what part of th the SmartKom stuff ?
"[12:34] me010 | Well , the parser , and that stuff ."
[12:35] me003 | Oh yeah yeah .
"[12:37] me010 | OK . Anyway . So , the trip the report on these the last we we sort of interrupted you guys telling us about what happened last week ."
[12:42] me045 | Yeah . It 's alright .
[12:49] mn015 | Well it was
[12:51] mn015 | just amazing to to see uh
[12:58] mn015 | And I g I got the feeling that
[13:00] mn015 | we are the only ones right now who have a running system . I don't know what the guys in Kaiserslautern have running because
"[13:07] mn015 | e the version that is , the full version that 's on the server d does not work ."
[13:12] mn015 | And you need to do a lot of
"[13:18] mn015 | And even Tilman and Ralf sort of said "" yeah"
[13:21] mn015 | there never was a really working version that uh
"[13:24] mn015 | did it without th all the shortcuts that they built in for the uh October @ @ version "" . So we 're actually maybe ahead of the System Gruppe by now ,"
[13:32] mn015 | the system the integration group .
"[13:35] mn015 | And it was , uh It was fun to some extent , but the uh"
"[13:46] mn015 | um , I know that they enjoyed it here ,"
"[13:48] mn015 | and they r they they liked , uh , a lot of the stuff they saw here ,"
"[13:52] mn015 | what what we have been thinking about ,"
[13:54] mn015 | and they 're more than willing to to
"[13:57] mn015 | um , cooperate , by all means ."
"[13:59] mn015 | And um , part of my responsibility is uh to use our internal "" group - ware """
"[14:05] mn015 | server at EML , make that open to all of us and them ,"
[14:08] mn015 | so that whatever we discuss in terms of parsing and and generating and constructions w
[14:13] mn015 | we we sort of uh put it in there and they put what they do in there
[14:17] mn015 | and maybe we can even
"[14:19] mn015 | um ,"
"[14:21] mn015 | get some overlap , get some synergy out of that ."
"[14:24] mn015 | And um ,"
[14:33] mn015 | I may even think that we could look take constructions and and generate from them because the tree adjoining grammars that that Tilman is using is
"[14:41] mn015 | as you said nothing but a mathematical formalism . And you can just do anything with it , whether it 's syntactic trees ,"
"[14:47] mn015 | H P S G - like stuff , or whether it 's construction ."
[14:49] mn015 | So if you ever get to the generation side of constructing things and
"[14:54] mn015 | there might be something of interest there , but in the moment we 're of course definitely"
"[14:58] mn015 | focused on the understanding ,"
"[15:01] mn015 | um , pipeline ."
[15:06] me010 | Anyth - any other
[15:09] me010 | uh repo visit reports sort of stories ?
[16:56] me010 | uh we so we now know
"[16:58] me010 | I think , what the landscape is like ."
[17:00] me045 | Mm - hmm .
[17:01] me010 | And so we just push on and and
"[17:04] me010 | uh , do"
[17:07] me010 | what we need to do .
[17:10] me010 | And one of the things we need to do
"[17:13] me010 | is the um ,"
[17:17] me010 | and this I think is relatively
"[17:20] me010 | tightly constrained , is to finish up this belief - net stuff . So ."
[17:25] me010 | Uh . And I was going to switch to start talking about that unless there 're m other more general questions .
[17:33] me010 | OK so here 's where we are on the belief - net stuff as far as I understand it . Um .
[17:39] me010 | Going back I guess two weeks ago
[17:41] me010 | uh Robert had
"[17:44] me010 | laid out this belief - net , missing only the connections . Right ?"
"[17:48] me010 | That is So , he 'd put all th all the dots down , and we"
"[17:52] me010 | went through this , and , I think , more or less convinced ourselves that"
"[17:57] me010 | at least the vast majority of the nodes that we needed for the demo level we were thinking of , were in there ."
[18:03] me010 | Yeah we may run across one or two more . But of course the connections weren't .
"[18:07] me010 | So , uh Bhaskara and I went off and looked at some technical questions about"
[18:13] me010 | were certain operations sort of legitimate belief - net computations and was there some known problem with them
"[18:22] me010 | or had someone already uh , solved you know how to do this and stuff ."
[18:26] me010 | And so Bhaskara tracked that down . The answer seems to be
"[18:30] me010 | uh , "" no , no one has done it , but yes it 's a perfectly reasonable thing to do if that 's what you set out to do "" ."
"[18:36] me010 | And , so the current state of things is that , again , starting now , um"
[18:44] me010 | we 'd like to actually get a running belief - net
[18:48] me010 | for this particular subdomain
[18:52] me010 | done in the next few weeks .
"[18:54] me010 | So Bhaskara is switching projects as of the first of June , and"
"[18:58] me010 | uh , he 's gonna leave us an inheritance , which is a uh hopefully a belief - net that"
[19:06] me010 | does these things .
"[19:08] me010 | And there 're two aspects to it , one of which is , you know , technical , getting the coding right , and making it run , and"
[19:13] me010 | uh stuff like that . And the other is the actual
[19:16] me010 | semantics .
"[19:17] me010 | OK ? What all you know , what are the considerations and how and what are the ways in which they relate ."
[19:23] me010 | So he doe h he doesn't need help from this group
[19:27] me010 | on the
[19:29] me010 | technical aspects or if he does uh we 'll do that separately . But in terms of
[19:33] me045 | Mm - hmm .
"[19:35] me010 | what are the decisions and stuff like that , that 's something that we"
[19:40] me010 | all have to work out .
[19:43] me010 | Is is that right ?
[19:44] me010 | I mean that 's that 's both you guys ' understanding of where we are ? OK .
[19:46] mn015 | Absolutely .
"[19:49] me012 | So , I guess , um Is there like a latest version of the"
[19:53] me012 | belief - net of the proposed belief - net ?
[19:59] mn015 | Um .
"[20:00] mn015 | Well , no , we didn't decide . We wanted to look into maybe"
"[20:03] mn015 | getting it , the visualization , a bit clearer , but I think"
"[20:07] mn015 | if we do it , um ,"
[20:09] mn015 | sort of a paper version of all the nodes and then
[20:11] me012 | Mm - hmm .
"[20:13] mn015 | the connections between them ,"
"[20:14] me012 | Yeah , that should be fine ."
[20:15] mn015 | that should suffice .
"[20:16] me010 | Yeah I mean , that 's a separate problem . We do in the long run wanna do better visualization and all that stuff ."
[20:19] mn015 | Yeah .
"[20:20] me010 | That 's separable , yeah ."
"[20:21] me003 | I did look into that , uh in terms of , you know , exploding the nodes out and down ag"
[20:23] me010 | Yep .
[20:25] me010 | Right .
[20:26] me003 | JavaBayes does not support that .
[20:27] me003 | I can
[20:28] me003 | imagine a way of hacking at the code to do that .
"[20:32] me003 | It 'd probably take two weeks or so to actually go through and do it ,"
[20:35] me010 | Not not at this point .
"[20:35] me003 | and I went through all the other packages on Murph - Kevin Murphy 's page , and I couldn't"
[20:38] me010 | Right .
[20:40] me003 | find the necessary mix of free and uh
"[20:46] me003 | with the GUI and , with this thing that we want ."
"[20:48] me010 | Well , we can p If it 's If we can pay Yeah . If you know it 's paying a thousand dollars or something we can do that ."
[20:52] me010 | OK ? So so don't view free as as a absolute constraint .
[20:52] me003 | OK .
[20:59] me010 | OK . And you can ask Kevin .
[20:59] me012 | Yeah .
[21:01] me003 | Mmm .
"[21:03] me010 | Hugin , yeah that 's free ."
"[21:08] me010 | Uh , it may be free to academics . Like I I don't know ."
"[21:11] me010 | I have a co I have a copy that I l I downloaded . So , at one point it was free ."
[21:13] me012 | OK .
[21:16] me012 | OK .
"[21:17] me010 | Uh but yo I noticed people do use Hugin so um ,"
[21:23] me003 | How do you spell that ?
[21:24] me010 | HUGIN .
"[21:26] me010 | And Bhaskara can give you a pointer . So then , in any case , um But paying a lit You know , if i if"
"[21:33] me010 | it 's uh Probably for university , it 's it 's gonna be real cheap anyway ."
"[21:37] me010 | But um , you know , if it 's fifty thousand dollars we aren't gonna do it . I 'm mean , we have no need for that ."
[21:42] mn015 | I I also s would suggest not to d spend two weeks in in in changing the the JavaBayes code . I I will send you a pointer to a Java applet
"[21:46] me010 | No , he 's not gonna do that ."
[21:47] me045 | Yeah .
[21:47] me003 | OK .
"[21:50] mn015 | that does that , it 's sort of a fish - eye . You you have a node , and you"
"[21:53] mn015 | click on it , and it shows you all the connections , and then if you click on something else that moves away , that goes into the middle ."
[21:55] me003 | Mmm .
[21:59] mn015 | And maybe there is an easy way of interfacing those two .
"[22:02] mn015 | If that doesn't work ,"
[22:03] mn015 | it 's not a problem we we need to solve right now .
"[22:06] mn015 | What I 'm what my job is , I will , um ,"
[22:09] mn015 | give you the input
[22:11] mn015 | in terms of of
[22:16] me012 | Mm - hmm .
[22:18] me010 | Doesn't matter .
"[22:19] me012 | Um , just any like like sort of rough representation of the entire belief - net is probably best ."
[22:23] mn015 | OK .
[22:24] mn015 | And um
[22:26] mn015 | you 're gonna be around ?
"[22:27] mn015 | t again , always Tuesdays and Thursdays afternoon - ish ?"
[22:30] mn015 | As usual ?
[22:32] mn015 | Or will that change ?
"[22:42] me012 | I can be around . And g I mean , generally if you email me also I can be around on other days ."
[22:45] mn015 | Yeah . OK .
"[22:47] me010 | Yeah and this is not a crisis that I mean , you do , e everybody who 's a student should ,"
"[22:52] me010 | you know do their work , get their c courses all in good shape and and and and then we 'll dig d dig down on this ."
[22:57] mn015 | Yeah .
[22:58] mn015 | OK .
"[22:58] mn015 | No , that 's good . That means I have I h I can spend this week doing it . So ."
[23:02] me012 | OK .
[23:04] me045 | How do you go about this process of deciding what these connections are ? I know that there 's an issue of how to weight the different
[23:10] me010 | Right .
[23:12] me010 | Well there there there
[23:14] me010 | There 're two different things you do . One is you design and the other is you learn .
[23:18] me010 | OK ?
"[23:19] me010 | So uh what we 're gonna do initially is is do design ,"
"[23:23] me010 | and , i if you will , guess ."
[23:26] me045 | OK .
[23:26] me010 | OK . Uh that is you know use your best knowledge of of the domain to
[23:29] me045 | Right .
"[23:31] me010 | uh , hypothesize what the dependencies are and stuff ."
[23:34] me045 | OK .
"[23:35] me010 | If it 's done right ,"
[23:37] me010 | and if you have data
[23:39] me045 | Yeah .
"[23:39] me010 | then , there are techniques for learning the numbers given the structure"
"[23:43] me010 | and there are even techniques for learning the structure , although"
"[23:47] me010 | that takes a lot more data , and it 's not as @ @ and so forth and so on . So uh"
[23:52] me010 | but for the limited amount of stuff
[23:55] me010 | we have for this particular exercise
[23:58] me010 | I think we 'll just design it .
[23:59] me045 | Alright .
[24:01] mn015 | Yeah .
[24:01] mn015 | Fo -
[24:02] mn015 | Hopefully as time passes we 'll get more and more data from Heidelberg and
[24:07] me045 | OK .
[24:08] mn015 | from people actually using it and stuff .
[24:09] mn015 | So but this is the long run .
[24:12] me045 | Yeah .
[24:13] mn015 | But to solve our problems ag uh a mediocre design will do I think in the beginning .
"[24:17] me045 | Yeah , that 's right ."
"[24:19] me045 | Yeah , oh , and by the way , speaking of data , um , are there"
"[24:23] me045 | I could swore uh , I could swear I saw it sitting on someone 's desk at some point , but is there a um a transcript of any of the , sort of , initial"
[24:30] me045 | interactions of people with the with the system ?
[24:33] me010 | Mm - hmm .
"[24:36] me045 | look at the stuff , and see what people are saying ."
[24:36] me010 | Yeah .
"[24:37] me010 | Yeah make yourself a note . So and and , of course Keith would like the German as well as the English , so whatever you guys can get ."
"[24:45] mn015 | Oh yeah , of course , German . Yeah ."
"[24:47] me010 | Yeah , the y your native language , right ? You remember that one ."
"[24:51] mn015 | That 's important , yeah ."
[24:53] me010 | So he 'll get you some data .
"[24:53] me045 | Yeah , u"
[24:54] me045 | OK .
"[24:55] me045 | Yeah , I mean I I sort of um"
"[24:57] me045 | found the uh ,"
[24:59] me045 | uh the audio
"[25:00] me045 | of some of those , and um ,"
[25:01] mn015 | Hmm .
"[25:06] me045 | Strange , but ."
[25:07] me010 | Yep .
[25:08] mn015 | We probably will not get those to describe because they were trial runs .
"[25:11] me045 | Oh yeah , OK ."
"[25:12] mn015 | Um , but uh that 's th"
[25:15] mn015 | but we have data in English and German already . So . Transcribed . I will send you that .
"[25:17] me045 | OK , yeah , I mean ."
[25:23] mn015 | OK .
"[25:39] me010 | OK , so"
"[25:41] me010 | while we 're still at this sort of top level , anything else that"
[25:45] me010 | we oughta talk about today ?
[25:53] mn015 | Ho - how was your
[25:55] mn015 | thingy .
"[27:03] me045 | Oh , um ,"
"[27:04] me045 | I just wanted to , uh , s like mention as an issue , um , you know last meeting I wasn't"
[27:12] me010 | Oh right .
[27:20] me045 | to what we 're doing here because you know people are likely to give descriptions like
"[27:23] me045 | you know , "" What 's that thing uh right where you start to go up the hill , "" or something like that , you know , meaning a few feet up the hill or whatever from some"
"[27:31] me045 | reference point and all that stuff so I mean , I 'm sure in terms of"
"[27:34] me045 | you know , people trying to state locations or , you know , all that kind of stuff , this is gonna be very relevant . So ,"
"[27:41] me045 | the talk was about English versus Japanese , um , which obviously the Japanese doesn't"
"[27:46] me045 | affect us directly , except that , um ,"
"[27:48] me045 | some of the construction he 'd what he talked about was that you know in English we say things like th you know , "" your bike is parked across the street """
"[27:55] me045 | and we use these prepositional phrases , you know , "" well ,"
[28:01] me045 | in Japanese the the more conventionalized tendency is to use a sort of a description of
"[28:07] me045 | "" where one has crossed to the river , there is a tree "" ."
"[28:10] me045 | Um , and you know , you can actually say things like , um ,"
"[28:14] me045 | "" there 's a tree where one has crossed the river , but no one has ever crossed the river "" , or something like that ."
[28:31] me010 | Mmm .
[28:33] me010 | how much is that used in German ?
[28:36] mn015 | Um .
"[28:39] mn015 | I wa I was on a uh on a on a different sidetrack . I mean ,"
"[28:42] me010 | Oh , OK ."
"[28:43] mn015 | the the Deep Map project which um is undergoing some renovation at at the moment ,"
"[28:47] mn015 | but this is a a three language project : German , English , Japanese ."
[28:51] me045 | OK .
"[28:51] mn015 | And um ,"
[28:55] mn015 | I have taken care that we have the the Japanese generation and stuff . And so
"[29:00] mn015 | I looked into uh spatial description . So we can generate spatial descriptions , how to get from A to B ."
[29:06] me045 | Mm - hmm .
"[29:06] mn015 | And and information on objects , in German , English , and Japanese . And there is a huge uh project on spatial descriptions uh differences in spatial descriptions ."
"[29:16] mn015 | Well , if yo if you 're interested in that ,"
"[29:18] mn015 | so how how , I mean it does sort of go d all the way down to the conceptual level to some extent . So ."
[29:22] me045 | OK .
[29:24] mn015 | Um .
"[29:25] me010 | So , where is this huge project ?"
[29:27] mn015 | It 's KLEIST . It 's the uh Bielefeld
[29:30] me010 | Mm - hmm .
[29:31] mn015 | generation of uh
[29:33] mn015 | spatial descriptions and whatever .
[29:35] mn015 | @ @
"[29:36] me010 | Well , that may be another thing that Keith wants to look at ."
"[29:39] mn015 | But um , I I think we should leave Japanese constructions maybe outside of the scope for for now , but um"
[29:43] me045 | Yeah .
[29:44] mn015 | definitely it 's interesting to look at at
[29:46] me010 | Mm - hmm .
[29:46] mn015 | cross
[29:48] mn015 | the bordered there .
[29:49] mn036 | Are are you going to p pay any attention to
[29:54] mn036 | of of the direction relative relative to the speaker ?
"[29:57] mn036 | For example , there are some differences between Hebrew and English ."
[30:00] mn036 | We can say
[30:01] mn036 | um
"[30:02] mn036 | "" park in front of the car """
[30:04] mn036 | as you come beh you drive behind the car .
[30:06] mn036 | In Hebrew it means
"[30:08] mn036 | "" park behind the car "" , because to follow the car is defined as it faces you ."
[30:10] mn015 | Mm - hmm .
"[30:10] mn015 | Intrinsic , yeah ."
"[30:12] mn036 | While in English , front of the car is the absolute front of the car ."
[30:12] me045 | OK .
"[30:15] me045 | Right , so the canonical direction of motion determines where the front is . OK ."
[30:16] mn036 | So .
[30:17] mn036 | Right .
[30:18] mn036 | Right .
"[30:20] mn036 | So , i i i is German"
[30:21] mn015 | Mm - hmm .
[30:21] mn036 | uh
"[30:22] mn036 | closer to to E uh , uh , uh , uh to E I mean uh"
"[30:25] mn036 | I don't think it it 's related to syntax , though , so it may be entirely different ."
