[00:00] mn005 | @ @
[13:49] fe008 | OK .
[13:50] me013 | and we ignore each other and keep on talking for six seconds .
[13:52] fe008 | Mm - hmm .
"[13:53] me013 | So we go over So we were we were talking over one another ,"
"[13:56] me013 | in each case , it 's just sort of one interval ."
[13:59] fe008 | Mm - hmm ?
[13:59] me013 | Right ?
"[14:00] me013 | So , um we talked over the minute boundary ."
"[14:04] me013 | Is this considered as one overlap in each of the minutes , the way you have done this ."
"[14:09] fe008 | No , it wouldn't ."
[14:10] fe008 | It would be considered as an overlap in the first one .
"[14:12] me013 | OK , so that 's"
[14:14] mn017 | Yeah .
[14:15] mn014 | @ @
[14:15] me011 | Statistical .
[14:16] fe016 | Yeah .
[14:16] me011 | Yep .
[14:16] fe008 | Mm - hmm . Yeah . They 're not double counted .
"[14:17] mn017 | Other - otherwise you 'd get double counts , here and there ."
[14:17] mn005 | Yeah .
"[14:18] fe016 | Ah but ,"
[14:19] fe016 | yeah .
[14:19] fe016 | @ @
[14:20] me013 | Yeah .
[14:20] mn005 | Yeah .
"[14:28] fe008 | I I didn't count that as a three - person overlap , I counted that as a two - person overlap ,"
[14:32] me011 | Mm - hmm .
[14:35] fe008 | Because the idea was the first speaker
"[14:43] fe008 | These are simplifying assumptions , didn't happen very often , there may be like three overlaps affected that way in the whole thing ."
[14:44] fe016 | Yeah .
[14:49] me011 | I want to go back and listen to minute forty - one .
"[14:51] fe008 | Yeah , yeah ."
[14:52] me011 | Cuz i i I find it interesting that there were a large number of overlaps and they were all two - speaker .
[14:52] me013 | Yeah .
[14:57] me011 | I mean what I thought what I
[14:59] me011 | would have thought in
[14:59] fe008 | That 's interesting .
[15:00] fe008 | That 's interesting .
[15:03] mn005 | Yeah .
[15:04] mn005 | Yeah .
[15:04] me011 | but uh
[15:05] me011 | apparently not . That 's really neat .
[15:06] mn005 | Mmm .
"[15:10] fe016 | I think what 's really interesting though , it is"
[15:17] fe016 | find out how many more
"[15:20] fe016 | Cuz in two - party conversations , like Switchboard , there 's an awful lot too if you just look at"
"[15:24] fe016 | backchannels , if you consider those overlaps ?"
[15:28] fe016 | It 's just that people haven't been
[15:32] me011 | Mm - hmm .
[15:33] me013 | Mm - hmm ?
"[15:35] fe016 | So , the question is , you know , how many more overlaps"
"[15:43] fe016 | to a meeting ,"
"[15:46] me013 | Well , but see , I find it interesting even if it wasn't any more ,"
[15:48] fe016 | So .
[15:49] me013 | because
[15:54] fe016 | Mm - hmm ?
[16:00] fe016 | It depends what you 're doing .
[16:01] fe016 | So if you were actually
[16:07] fe016 | Right now we 're do we have individual mikes on the people in this meeting .
[16:10] me013 | Mm - hmm ?
"[16:11] fe016 | "" are there really more overlaps happening"
"[16:15] fe016 | than there would be in a two - person party "" ."
[16:17] me013 | let m
[16:17] me013 | let me rephrase what I 'm saying
[16:18] me013 | cuz I don't think I 'm getting it across .
"[16:20] me013 | I shouldn't use words like "" nice "" because maybe that 's too i too imprecise ."
[16:23] me013 | But what I mean is
"[16:25] me013 | that , um in Switchboard ,"
"[16:32] me013 | And what we 're doing now is ,"
"[16:42] me013 | not all of them , one of them is"
"[16:44] me013 | that w uh at least ,"
"[16:48] me013 | the scenario in which , uh"
"[16:55] me013 | And so ,"
[17:03] fe016 | I I agree that it 's an issue here
[17:10] me013 | Mm - hmm .
"[17:10] fe016 | you know , this whole point of studying meetings isn't just to have people in a room but to also have"
"[17:16] fe016 | Maybe far field mike people wouldn't be interested in that but all the dialogue issues still apply ,"
[17:20] me013 | Mm - hmm .
[17:20] fe016 | so if each of us was calling and having
"[17:27] fe016 | And , just the question is ,"
[17:33] me013 | Mm - hmm .
"[17:34] fe016 | of more than one person , and"
[17:43] fe016 | So it may be that having three people
[17:50] fe016 | So .
[17:55] me013 | Were you ?
[17:55] me011 | Though it wasn't in the design .
[17:56] fe016 | but
[17:57] me013 | Were you were you were you were you measuring it ?
[17:59] fe016 | There there 's
[18:01] fe016 | actually
"[18:02] fe016 | to tell you the truth , the reason why it 's hard to measure is because"
[18:05] fe016 | of
"[18:06] fe016 | so , from the point of view of studying dialogue , I mean , which Dan Jurafsky and Andreas and I had some projects on ,"
[18:12] me013 | Yeah .
[18:12] fe016 | you want to know the sequence of turns .
"[18:15] fe016 | So what happens is if you 're talking and I have a backchannel in the middle of your turn ,"
[18:19] me013 | Yeah .
[18:19] fe016 | and then you keep going
"[18:21] fe016 | what it looks like in a dialogue model is your turn and then my backchannel ,"
[18:25] fe016 | even though my backchannel occurred completely inside your turn .
[18:28] me013 | Yeah ?
"[18:28] fe016 | So , for things like language modeling or dialogue modeling"
[18:32] fe016 | We know that that 's wrong
[18:34] me013 | Yeah ?
[18:34] fe016 | in real time .
"[18:35] fe016 | But , because"
[18:37] fe016 | of
"[18:38] fe016 | the acoustic segmentations that were done and the fact that some of the acoustic data in Switchboard were missing ,"
"[18:43] fe016 | people couldn't study it ,"
"[18:47] me013 | Yeah , I wasn't saying that ."
"[18:47] fe016 | So ,"
[18:48] me013 | Right ? I was just saying that w now we 're looking at it .
[18:49] fe016 | um
"[18:51] fe016 | Well , we 've als"
"[18:51] me013 | And and and , you you maybe wanted to look at it before but , for these various technical reasons in terms of how the data was you weren't ."
[18:52] fe016 | Right . We 're looking at it here .
[18:58] me013 | So that 's why it 's coming to us as new
[19:05] fe016 | Um .
"[19:06] me013 | if it 's the null poth hypothesis ,"
"[19:07] me013 | and if actually you have as much overlap in a two - person ,"
[19:11] me013 | we don't know the answer to that .
[19:12] me013 | The reason we don't know the answer to is cuz it wasn't studied
[19:14] me013 | and it wasn't studied because it wasn't set up . Right ?
"[19:15] fe016 | Yeah , all I meant is"
[19:16] fe016 | that
[19:17] fe016 | if you 're asking the question from the point of view of
[19:21] me013 | Mm - hmm ?
"[19:21] fe016 | studying meetings of , say , more than two people versus"
[19:26] fe016 | kinds of questions you could ask with a two - person meeting .
[19:29] fe016 | It 's important to distinguish
[19:36] fe016 | but we just couldn't study them .
[19:37] fe016 | And and so uh
[19:38] me013 | May have been . Right ?
[19:39] me013 | We do kn we don't know the numbers .
"[19:39] fe016 | Well ,"
"[19:40] fe016 | there is a high rate ,"
"[19:41] fe016 | It 's but I don't know how high ,"
[19:43] fe016 | in fact
"[19:43] me018 | Well , here"
[19:43] me018 | I have a question .
[19:44] fe016 | that would be
"[19:45] me013 | See , I mean , i i le let me t"
[19:45] fe016 | interesting to know .
"[19:46] me013 | I mean , my point was just if you wanted to say to somebody , "" what have we learned about overlaps here ? """
"[19:50] me013 | just never mind comparison with something else ,"
[19:52] fe016 | Mm - hmm .
[19:58] mn005 | Yeah .
[19:58] me013 | Right ?
[19:59] me013 | In in the sense that i if you said
"[20:00] fe016 | Yeah ,"
[20:00] me013 | if i i i
[20:01] fe016 | I I don't di
"[20:01] me013 | In a way , I guess what I 'm comparing to is more the"
[20:02] fe016 | I
[20:02] fe016 | agree with
[20:03] fe016 | that .
[20:03] me013 | common sense notion of
[20:05] me013 | how how much people overlap .
"[20:07] me013 | Uh you know the fact that when when when , uh , Adam was looking for a stretch of of speech before , that didn't have any overlaps , and he w he was having such a hard time"
"[20:15] me013 | and now I look at this and I go , "" well , I can see why he was having such a hard time "" . It 's happening a lot ."
[20:17] fe016 | Right .
[20:18] fe016 | That 's also true of Switchboard .
[20:19] me013 | I wasn't saying it wasn't .
"[20:20] fe016 | Right . So it 's just ,"
[20:21] me013 | Right ?
[20:22] fe016 | um
[20:23] fe016 | OK .
[20:24] fe016 | All I 'm saying is that from the
"[20:27] me013 | and we sh which , you know we 're gonna get"
"[20:29] me013 | much more sophisticated about when we get lots more data ,"
"[20:32] me013 | But Then , if I was gonna describe to somebody what did you learn"
[20:42] me013 | bunch of overlaps second - order thing is
"[20:44] me013 | it 's not just a bunch of overlaps in one particular point ,"
[20:47] me011 | Right .
"[20:47] me013 | but that there 's overlaps , uh throughout the thing ."
[20:49] me013 | And that 's interesting . That 's all .
[20:49] fe016 | Right .
"[20:50] fe016 | No , I I agree with that ."
[20:51] fe016 | I 'm just
[20:57] me013 | Oh yeah .
[20:58] me013 | Yeah .
[20:59] fe016 | And
"[20:59] me013 | Yeah , I wasn't making any statement about that ."
[21:00] fe016 | that 's all .
[21:00] fe016 | And and it would actually be interesting to find out because
[21:01] me013 | Yeah .
[21:04] fe016 | some of the
"[21:05] fe016 | data say Switchboard , which isn't exactly the same kind of context , I mean these are two people who don't know each other and so forth ,"
[21:11] fe016 | But we should still be able to
[21:13] fe016 | somehow
[21:15] fe016 | say what what is the added contra contribution to sort of overlap
[21:19] fe016 | time
"[21:21] fe016 | of each additional person , or something like that ."
[21:22] me011 | Yep . I could certainly see it going either way .
[21:25] fe016 | But yeah .
[21:25] mn005 | Yeah .
[21:32] me013 | Mm - hmm .
[21:32] fe016 | Right .
"[21:34] fe008 | you know , as adults . I mean , children don't adjust so well ,"
"[21:38] fe008 | goes rolling past ,"
[21:39] me013 | Mm - hmm .
"[21:47] fe008 | monitor things like that ,"
[21:48] fe016 | Right .
"[21:54] fe008 | Yeah , this is d also um ,"
"[22:03] fe008 | uh , ambient thing ."
[22:03] fe016 | Right .
"[22:05] fe008 | and , just to finish this ,"
[22:06] fe008 | that um
[22:07] fe008 | That I think that
"[22:08] fe008 | there may be an upper bound on how many overlaps you can have , simply from the standpoint of audibility and how loud the other people are who are already"
[22:15] fe008 | fray .
"[22:16] fe008 | But I you know ,"
[22:17] fe008 | of certain types .
[22:19] fe008 | people
[22:27] fe008 | there may be no upper bound on those .
"[22:29] mn017 | I I have a feeling that backchannels , which are"
"[22:32] mn017 | the vast majority of overlaps in Switchboard ,"
"[22:42] mn017 | you know , in a multi - person"
"[22:43] fe016 | If you can see them , actually ."
[22:43] mn017 | audience .
[22:46] mn017 | Right .
[22:47] mn005 | Yeah .
"[22:47] fe016 | Right right , like this here , but"
[22:50] me013 | u
[22:50] fe016 | That may not be the case if you couldn't see them .
"[22:54] mn017 | it 's unusual to have everybody going "" uh - huh , uh - huh """
"[22:57] me013 | Actually , I think I 've done it"
[23:00] fe016 | Yeah .
"[23:01] fe016 | There 's a lot of head - nodding ,"
[23:01] me011 | Um .
[23:02] fe016 | in this
[23:02] mn017 | Yeah .
[23:03] fe016 | @ @
"[23:03] me011 | Yep , we need to put trackers on it ."
"[23:07] fe008 | He could , he could ."
"[23:11] mn017 | That 's in part because the nodding , if you have visual contact ,"
"[23:18] me011 | Yeah , you don't have it ."
[23:20] mn017 | so you need to use the backchannel .
"[23:23] me018 | So , in the two - person conversations ,"
[23:26] me018 | is there a great deal of
"[23:27] me011 | That is an earphone , so if you just put it so it 's on your ear ."
[23:31] fe016 | Yes .
[23:31] me011 | There you go .
[23:32] fe016 | Yeah .
[23:32] me011 | Thank you .
[23:33] fe008 | E for example .
"[23:33] me018 | it happens when there 's a pause ,"
"[23:35] me018 | you know , like you you"
[23:35] fe016 | Yes .
"[23:36] me018 | get a lot of backchannel , when somebody 's pausing"
[23:37] fe016 | Right .
[23:39] fe008 | She 's doing that .
"[23:42] me018 | It 's hard to do both , huh ?"
[23:45] fe016 | Oh .
"[23:49] me018 | and when there 's two people talking and there 's backchannel it seems like ,"
[24:02] me018 | h
[24:02] me018 | I just wonder how much overlap there is .
[24:04] me018 | Is there a lot ?
"[24:08] fe016 | I mean , this is called "" precision timing "" in conversation analysis ,"
[24:11] fe016 | where
"[24:13] fe016 | overlapping ,"
[24:17] fe016 | information is mostly
[24:19] fe016 | So all you 're missing is some last syllables or something or the last word or some highly predictable words .
[24:22] me018 | Mmm .
[24:25] me018 | Mm - hmm .
[24:28] fe016 | But
[24:28] me018 | But maybe a just a small overlap ?
"[24:29] mn005 | More , yeah ."
[24:33] me011 | It 'd be interesting if we could do prediction .
"[24:33] me018 | I was just thinking more in terms of alignment ,"
[24:35] me018 | alignment overlap .
[24:36] fe016 | Yeah .
"[24:36] me011 | Language model prediction of overlap , that would be really interesting ."
[24:39] me013 | Yeah .
"[24:40] fe016 | Well , that 's exactly , exactly why we wanted to study the precise timing of overlaps ins in"
[24:43] mn017 | Right .
[24:44] me011 | Right .
"[24:46] fe016 | uh Switchboard , say , because there 's a lot of that ."
"[24:51] mn017 | Uh , to distinguish between , say , backchannels"
[24:51] me011 | Mm - hmm .
[24:54] mn017 | precision timing Sort of
"[24:56] mn017 | you know , benevolent overlaps ,"
[24:59] me011 | Let 's pick a different word .
"[25:00] mn017 | and sort of , um I don't know , hostile overlaps , where"
[25:03] mn017 | someone is trying to grab the floor from someone else .
[25:05] mn005 | Yeah .
"[25:06] mn017 | Uh , that that might be an interesting , um problem to look at ."
[25:09] mn005 | Yeah .
[25:09] me018 | Hostile takeovers .
[25:09] mn005 | Yeah .
[25:09] me013 | Yeah .
"[25:10] fe008 | Well , I mean you could do that . I ju I I think that"
[25:10] mn005 | Yeah .
[25:16] mn017 | OK .
[25:17] fe016 | Mm - hmm .
"[25:20] mn017 | Um , I could imagine that as there 's a fair number of"
[25:23] mn017 | um
"[25:24] mn017 | cases where ,"
[25:29] mn017 | one person is finishing something and
[25:37] me013 | Yeah .
[25:38] mn017 | And so it 's not against the person who talks first
[25:52] me013 | are are competitive as opposed to real really really hostile . But .
[25:54] mn017 | Right .
"[25:54] fe008 | Yeah , I agree . I agree ."
[25:55] me018 | I wonder what determines who gets the floor ?
[25:58] me013 | Uh a vote vote in Florida . Yeah .
[25:58] me011 | It 's been studied a lot .
[26:04] me013 | or you can tell a good joke and then everybody 's laughing and you get a chance to g break in . But . But .
[26:09] me013 | Um .
"[26:14] me013 | all these interesting questions are , of course , pretty hard to answer with , uh u"
[26:19] me013 | @ @
"[26:20] me013 | So , um I wonder if what you 're saying"
"[26:24] me013 | suggests that we should make a conscious attempt to have ,"
[26:26] me013 | um
[26:28] me013 | a a fair number of meetings
"[26:30] me013 | with , uh"
[26:32] me013 | a smaller number of people .
[26:33] me013 | Right ?
[26:34] me013 | I mean
[26:34] me013 | we most of our meetings are
[26:40] me013 | Should we
[26:46] me013 | just to to to
[26:48] me013 | beef up the the statistics on that ?
[26:48] fe008 | That 's a control .
"[26:51] fe008 | Well ,"
"[26:52] fe008 | it seems like there are two possibilities there , I mean"
"[26:59] fe008 | y like a meeting , w"
[27:08] me011 | Mm - hmm .
"[27:11] me013 | Well , Liz was raising the question of of whether i it 's the number there 's a relationship between the number of people and the number of overlaps or type of overlaps there ,"
[27:17] fe008 | Mm - hmm .
"[27:18] me013 | and , um"
[27:20] me013 | If you had two people meeting in this kind of circumstance then you 'd still have the visuals . You wouldn't have that difference also that you have in the
"[27:27] me013 | say , in Switchboard data ."
[27:28] fe008 | Mm - hmm .
[27:29] me013 | Uh
"[27:29] fe008 | Yeah , I 'm just thinking that 'd be more like a c control condition ."
[27:31] me013 | Yeah .
[27:31] fe008 | Mm - hmm .
"[27:32] me011 | Well , but from the acoustic point of view ,"
[27:32] mn005 | Yeah .
[27:34] me011 | it 's all good .
[27:34] mn005 | Is the same .
[27:39] mn017 | you could serve yourself save yourself a lot of time but not even transcri transcribe the words .
[27:46] me011 | Yep .
"[27:46] fe016 | Well , I was thinking you should be able to do this"
"[27:48] fe016 | from the acoustics , on the close - talking mikes , right ?"
[27:51] me013 | Yeah .
[27:51] fe008 | You 've been working on that .
[27:53] mn005 | Yeah .
[27:54] me013 | Yeah .
[27:58] me011 | Mm - hmm .
[27:59] fe016 | you 'd get some rough statistics .
[28:01] fe016 | So .
[28:02] me013 | what what do you think about that ?
"[28:06] fe016 | I guess my my first comment was , um only that"
[28:10] fe016 | um
"[28:13] fe016 | we should n not attribute overlaps only to meetings , but maybe that 's obvious , maybe"
"[28:18] fe016 | everybody knew that , but that"
[28:18] me013 | Yeah .
[28:20] fe016 | in normal
"[28:22] fe016 | conversation with two people there 's an awful lot of the same kinds of overlap , and that it would be interesting"
[28:26] me013 | Mm - hmm .
[28:29] fe016 | to
"[28:30] fe016 | look at whether there are these kinds of constraints that Jane mentioned , that"
"[28:35] fe016 | what maybe the additional people add to this competition that happens right after a turn ,"
"[28:40] fe016 | you know , because now you can have five people trying to grab the turn , but pretty quickly"
[28:44] fe016 | there 're they back off and you go back to this sort of
[28:46] fe016 | only one person at a time with one person
[28:48] me013 | Mm - hmm .
[28:48] fe016 | interrupting at a time .
"[28:50] fe016 | So , I don't know . To answer your question I it I don't think it 's"
[28:54] fe016 | crucial to have
[28:59] fe016 | can .
"[29:00] me013 | Well , OK ."
[29:00] mn005 | Yeah .
[29:01] mn017 | I I have an idea .
[29:02] fe016 | you know .
[29:03] fe016 | D I wouldn't not record a two - person meeting just because it only has two people .
[29:05] me011 | Right .
[29:09] mn017 | we have have in the past and I think continue will continue to have a fair number of uh phone conference calls .
[29:15] me013 | Uh - huh .
"[29:18] mn017 | uh ,"
"[29:20] mn017 | to , um"
"[29:22] mn017 | as another c c comparison condition , we could"
[29:26] mn017 | um
[29:27] mn017 | see what what
"[29:29] mn017 | what happens in terms of overlap , when you don't have visual contact ."
[29:33] fe016 | Can we actually record ?
[29:34] me011 | It just seems like that 's a very different thing than what we 're doing .
[29:35] me013 | Uh
"[29:37] me013 | Well , we 'll have to set up for it ."
[29:38] me013 | Yeah .
"[29:39] me013 | Well , we 're not really set up for it"
[29:41] me013 | But .
"[29:42] mn017 | Or ,"
[29:43] me013 | Yeah .
"[29:43] mn017 | this is getting a little extravagant ,"
[29:45] mn017 | we could put up
[29:46] mn017 | some kind of
[29:48] mn014 | Yeah .
"[29:49] fe016 | That 's what they did on Map Task ,"
"[29:51] fe016 | you know , this Map Task corpus ?"
[29:52] fe016 | They ran exactly the same pairs of people with and without
[29:55] fe016 | visual cues and it 's quite interesting .
[30:03] me013 | I mean a little strange .
"[30:03] me011 | OK , we can record , but no one can look at each other ."
"[30:05] fe016 | Well , we could just put b blindfolds on ."
[30:06] mn014 | Yeah .
[30:06] me011 | Close your eyes .
"[30:06] mn017 | Well y no you f Yeah , Yeah ."
[30:07] fe008 | Blindf -
[30:07] me011 | Turn off the lights .
[30:09] fe016 | and we 'd take a picture of everybody sitting here with blindfolds .
"[30:12] me013 | Oh , th that was the other thing , weren't we gonna take a picture"
"[30:17] me011 | Um , what I had"
[30:19] me011 | thought we were gonna do is just take pictures of the whiteboards .
[30:22] me011 | rather than take pictures of the meeting .
[30:25] fe008 | Yeah .
[30:25] fe008 | Linguistic anthropologists would would suggest it would be useful to
[30:30] fe008 | also take a picture of the meeting .
[30:31] me018 | Why why do we want to have a picture of the meeting ?
[30:33] fe008 | because you get then the spatial relationship of the speakers .
[30:36] mn005 | Yeah
[30:36] mn005 | Yeah .
[30:37] mn005 | Yeah .
"[30:38] me011 | Seat number , that 's a good idea ."
