[00:00] me001 | How about channel
[02:52] me013 | on that that morning .
[02:53] fe008 | Excellent .
"[02:54] me013 | So , i I I will be I mean , he 's taking a very early flight and we do have the time work difference running the right way ,"
[02:54] mn017 | Oh .
[03:00] me013 | but I still think that there 's no way we could start before eleven . It might end up really being twelve .
"[03:04] me013 | So when we get closer we 'll find people 's plane schedules , and let everybody know ."
"[03:09] me013 | Uh ,"
[03:11] me013 | So . That 's good .
"[03:11] me011 | But , uh , yeah maybe an agenda , or at least some things to talk about would be a good idea ."
"[03:16] me013 | Well we can start gathering those those ideas , but then we we should firm it up by next next Thursday 's meeting ."
"[03:22] fe008 | Will we have time to , um ,"
[03:31] me011 | Oh yeah .
[03:31] me011 | Absolutely .
"[03:32] me011 | So have you heard back from Brian about that ,"
[03:35] me011 | Chuck ?
"[03:35] me018 | Yes , um , he 's I I 'm sorry , I should have forwarded that along ."
"[03:40] me018 | Uh , oh I I think I mentioned at the last meeting , he said that , um ,"
[03:44] me018 | he talked to them and it was fine with the beeps they would be That 's easy for them to do .
[03:47] me011 | Great .
[03:49] me011 | OK .
"[03:50] me011 | So , uh , oh , though Thi - Thilo isn't here , um , but , uh ,"
[03:54] me011 | I I have the program to insert the beeps . What I don't have is something to parse the output
[03:59] me011 | of
[04:00] me011 | the channelized
"[04:01] me011 | transcripts to find out where to put the beeps , but that should be really easy to do ."
"[04:05] me011 | So do we have a meeting that that 's been done with ,"
[04:08] me011 | that we 've tightened it up to the point where we can actually
[04:11] me011 | give it to IBM and have them try it out ?
"[04:12] fe008 | He generated , um , a channel - wise presegmented version of a meeting , but it was Robustness rather than EDU so I guess"
[04:20] fe008 | depends on whether we 're willing to use Robustness ?
[04:22] me011 | Mm - hmm .
[04:26] fe008 | OK .
[04:27] me011 | we had talked about doing maybe EDU as a good
"[04:30] me011 | choice , though . Well ,"
[04:31] me011 | whatever we have .
[04:31] me018 | Well we 've talked about that as being the next ones we wanted to transcribe .
[04:34] me011 | Right .
[04:35] fe008 | OK .
"[04:37] me011 | Yeah , maybe it doesn't matter ."
"[04:38] fe008 | Great . I 'll I 'll I 'll , um , get make that available ."
"[04:41] me011 | OK , and has it"
[04:42] me011 | been corrected ?
[04:45] me011 | Hand - checked ? Cuz that was one of the
[04:47] me011 | processes we were talking about as well .
"[04:48] me018 | Right , so we need to run"
"[04:50] me018 | Thilo 's thing on it , and then we go in and adjust the boundaries ."
"[04:52] fe008 | Yeah that 's right . Yeah , we haven't done that . I I could set someone on that tomorrow ."
[04:54] me011 | And time how long it takes .
[04:54] me018 | Right .
[04:56] me018 | OK . And we probably don't have to do necessarily a whole meeting for that if we just wanna send them a sample to try .
[05:00] fe008 | OK .
[05:02] fe008 | What would be a good number of minutes ?
"[05:06] me018 | I don't know , maybe we can figure out how long it 'll take @ @ to to do ."
"[05:08] me011 | Um ,"
"[05:10] me011 | I don't know , it seems to me w"
[05:11] me011 | we
[05:12] me011 | probably should go ahead and do a whole meeting because we 'll have to transcribe the whole meeting anyway sometime .
[05:20] me013 | Yes except that if they had if there was a choice between
"[05:31] me011 | I mean I guess if we have to do it again anyway ,"
[05:34] me013 | Yeah .
"[05:35] me018 | I guess , the only thing I 'm not sure about is , um ,"
[05:41] fe008 | Mm - hmm .
"[05:45] me018 | I mean , is it pretty easy ?"
"[05:48] me011 | Wow ,"
"[05:49] me011 | excuse me , two or more times real time , right ?"
[06:00] me013 | other stuff ?
[06:01] me011 | Well the other stuff is I B M .
"[06:02] me013 | Uh ,"
[06:04] me011 | I 'm just thinking that
"[06:05] me013 | OK , so ."
"[06:07] me011 | keeping - track - of - the - data point of view , it may be best"
[06:10] me011 | to send them whole meetings at a time and not try to send them bits and pieces .
"[06:13] me013 | Oh , that 's right . So the first thing is the automatic thing ,"
[06:15] me011 | Right .
"[06:16] me013 | and then it 's then it 's then it 's the transcribers tightening stuff up , and then it 's IBM ."
[06:19] fe008 | Mm - hmm .
"[06:20] fe008 | Mm - hmm , mm - hmm ."
[06:20] me011 | Right .
"[06:21] me013 | OK , so you might as well ha run the automatic thing over the entire meeting ,"
"[06:26] me013 | and then , uh ,"
[06:28] me013 | you would give IBM whatever was
[06:30] me013 | fixed .
[06:31] fe008 | And have them fix it over the entire meeting too ?
[06:31] me011 | Right .
"[06:34] me013 | Well , yeah , but start from the beginning and go to the end , right ? So if they were only half way through then that 's what you 'd give IBM ."
[06:39] fe008 | OK .
[06:40] me013 | Right ?
[06:41] me018 | As of what point ?
[06:45] me018 | I mean .
"[06:45] me018 | The I guess the question on my mind is do we wait for the transcribers to adjust the marks for the whole meeting before we give anything to IBM , or do we go ahead and send them a sample ?"
"[06:53] me013 | Why wouldn't we s @ @ w i if they were going sequentially through it , why wouldn't"
[06:59] me013 | I mean i are we trying to get something done by the time Brian comes ?
"[07:02] me018 | Well I I I mean , I don't know ."
[07:03] me011 | That was the question .
[07:04] me011 | Though .
"[07:05] me013 | So if we if we were ,"
[07:07] me018 | Yeah .
"[07:07] me013 | then it seems like giving them something , whatever they had gotten up to , would be better than nothing ."
[07:09] me018 | Uh . That I agree . I agree .
"[07:12] me011 | I mean , h"
"[07:13] me011 | they they typically work for what , four hours , something like that ?"
"[07:16] fe008 | Hmm , I gue hmm ."
[07:17] me011 | I think the they should be able to get through a whole meeting in one sitting .
"[07:21] me011 | I would think , unless it 's a lot harder than we think it is , which it could be ,"
[07:24] me011 | certainly .
[07:25] fe008 | If it 's got like for speakers then
[07:30] me011 | Or seven or eight .
"[07:30] me018 | We 're just doing the individual channels , right ?"
"[07:35] me018 | So it 's gonna be , depending on the number of people in the meeting ,"
"[07:39] me018 | um ,"
"[07:40] fe008 | I guess there is this issue of , you know , if if the segmenter thought there was no speech on on a particular stretch , on a particular channel , and there really was ,"
"[07:48] fe008 | then , if it didn't show up in a mixed signal to verify , then it might be overlooked ,"
"[07:55] fe008 | so , I mean , the question is "" should should a transcriber listen to the entire thing or can it"
"[08:04] me011 | That 's what it seems to me too , in that"
"[08:06] me011 | if they need to , just like in the other cases , they can listen to the individual ,"
[08:06] fe008 | And that cuts down the time .
[08:09] me011 | if they need to .
[08:10] fe008 | Yeah .
[08:11] me011 | But they don't have to for most of it .
"[08:13] fe008 | Yeah , that 's good . So . Yeah . Good , good , good ."
"[08:13] me018 | I don't see how that will work , though ."
[08:16] fe008 | What what aspect ?
[08:18] me018 | Yeah .
"[08:19] me011 | So , they have the normal channeltrans"
"[08:21] me011 | interface where they have each individual speaker has their own line ,"
[08:25] me018 | Yeah .
"[08:25] me011 | but you 're listening to the mixed signal and you 're tightening the boundaries ,"
"[08:31] fe008 | Should be pretty good , yeah ."
"[08:32] fe016 | Except for it doesn't do well on short things , remember . It will miss them . It will miss most of the really short things ."
[08:39] me011 | Uh - huh .
[08:40] fe016 | Like that .
[08:41] fe016 | Uh - huh .
[08:45] me011 | Sorry .
[08:46] me011 | I 'll work on that .
"[08:49] me011 | Well , so so that 's something that the transcribers will have to have to do ."
"[08:52] fe008 | Yeah , but presumably , most of those they"
[08:55] fe008 | should be able to hear from the mixed signal unless they 're embedded in the heavil heavy overlap section when in which case they 'd be listening to the channels anyway .
"[08:59] fe016 | Right , and that 's what I 'm not sure about ."
[08:59] me018 | That 's that 's what I 'm I 'm concerned about the part .
"[09:02] fe008 | Yeah , I am too . And I think it 's an empirical question ."
"[09:04] me018 | Can't we uh couldn't we just have , um ,"
"[09:08] me018 | I don't know , maybe this just doesn't fit with the software , but I guess"
"[09:11] me018 | if I didn't know anything about Transcriber and I was gonna make something to let them adjust boundaries , I would just show them"
"[09:18] me018 | one channel at a time , with the marks , and let them adju"
"[09:21] me011 | but then they for this meeting they would have to do seven times real time ,"
"[09:24] fe008 | Yeah , that 's it ."
[09:24] me011 | and it would probably be more than that .
[09:26] fe008 | Yeah .
[09:27] me011 | Right ? Because they 'd have to at least listen to each channel
[09:31] me011 | all the way through .
"[09:31] me018 | But i but it 's very quick , right ? I mean , you scan I mean , if you have a display of the waveform ."
[09:32] fe008 | And if Uh - huh .
"[09:37] fe008 | Yeah . w Well ,"
"[09:39] fe008 | the other problem is the breaths cuz you also see the breaths on the waveform . I 've I 've looked at the int uh , s I 've tried to do that with a single channel ,"
[09:45] fe008 | and and you do see all sorts of other stuff besides just the voice .
[09:46] me018 | Uh - huh .
"[09:50] me011 | Yeah , and I I think that"
[09:51] me011 | they 're going much more on acoustics than they are on visuals .
[09:55] fe008 | Well that that I 'm not sure . What you the digital what the digital task that you had your interface ?
[09:55] me011 | So .
"[09:59] fe008 | Um , I know for a fact that one of those sh she could really well she could judge what th what the number was based on the on the waveform ."
"[10:03] me011 | Yeah , that 's actually true . Yeah , you 're right ."
[10:05] me011 | You 're absolutely right .
"[10:06] me011 | Yeah , I found the same thing that when I was scanning through the wave form"
[10:09] me011 | I could see when someone started to read digits just by the shapes .
"[10:12] fe008 | Yeah , she could tell which one was seven ."
"[10:13] me011 | Um , maybe ."
[10:14] fe008 | Yeah .
"[10:14] me013 | So I don't I 'm I 'm now entirely confused about what they do . So , they 're they 're looking at"
"[10:21] me013 | a mixed signal , or they 're looking what what are they looking at visually ?"
"[10:24] fe008 | Well , they have a choice . They could choose any signal to look at ."
[10:27] fe008 | I 've tried lookin but usually they look at the mixed .
[10:30] fe008 | But I 've I 've tried looking at the single signal and and
"[10:33] fe008 | in order to judge when it when it was speech and when it wasn't , but the problem is then you have breaths which which show up on the signal ."
[10:34] me011 | Oh .
"[10:39] me013 | But the procedure that you 're imagining , I mean , people vary from this , is that they have the mixed signal wave form in front of them ,"
[10:41] fe008 | Yes .
[10:43] mn017 | @ @
[10:46] fe008 | Yes .
[10:53] me013 | we don't have transcription yet .
"[10:55] me013 | So but there 's markers of some sort that have been happening automatically , and those show up on the mixed signal ? There 's a @ @ clicks ?"
[10:57] me011 | Right .
[10:57] fe008 | Yes .
[11:01] me011 | N
"[11:01] fe008 | Oh , they show up on the separate ribbons . So you have a separate ribbon for each channel ,"
[11:01] me011 | the t
[11:03] me011 | Right .
[11:03] me013 | There 're separate ribbons .
"[11:05] fe008 | and and i i it 'll be because it 's being segmented as channel at a time with his with Thilo 's new procedure , then"
"[11:17] me013 | And is there a line moving across the waveform as it goes ? OK , so"
[11:19] me011 | Yes .
[11:20] fe008 | Yes .
"[11:22] me013 | The way you 're imaging is they kind of play it , and they see oh this happened , then this happened , then and if it 's about right , they just sort of let it slide ,"
[11:25] me011 | Right .
[11:25] fe008 | Yeah .
[11:28] me011 | Right .
"[11:28] me013 | and if it if it there 's a question on something , they stop and maybe look at the individual wave form ."
[11:33] me011 | Right .
"[11:34] fe008 | Oh , well not not "" look "" ."
[11:36] me011 | at this point .
[11:36] me011 | They would just listen .
"[11:38] me013 | They they might look at it , right ?"
[11:41] me011 | the interface
[11:42] me011 | doesn't really allow you to switch visuals .
[11:44] fe008 | Not very quickly . You can but it takes time .
[11:46] me011 | the Tcl - TK interface with
"[11:48] me011 | the visuals , it 's very slow to load waveforms ."
[11:50] fe008 | That 's it .
[11:51] me013 | Uh - huh .
"[11:53] me011 | that was the first thing I tried when I first started it ,"
"[11:53] fe008 | Oh , oh . Visually ."
[11:55] me011 | right ?
"[11:55] fe008 | You can you can switch quickly between the audio , but you just can't get the visual display to show quickly ."
"[12:04] fe016 | Yeah , it 's very slow"
[12:06] fe008 | It takes long enough cuz it has to reload the I I don't know exactly what it 's doing frankly cuz but it t it takes long enough that it 's just not a practical alternative .
[12:06] fe016 | to do that .
[12:11] fe016 | That w
[12:13] me011 | it
"[12:13] me011 | does some sort of shape pre - computation so that it can then scroll it quickly , yeah . But then you can't"
[12:15] me001 | But you can cancel that .
[12:17] fe016 | Yeah .
[12:18] me011 | change the resolution or scroll quickly .
"[12:19] me001 | Oh , really ?"
[12:21] me011 | So .
"[12:21] fe008 | Now you could set up multiple windows , each one with a different signal showing ,"
[12:26] fe008 | and then look between the windows . Maybe that 's the solution .
"[12:28] me011 | I mean , we we could do different interfaces , right ?"
[12:29] me001 | What if you preload them all ?
"[12:31] me011 | I mean , so so we could use like X Waves instead of Transcriber ,"
[12:35] fe008 | Yeah .
"[12:35] me011 | and it loads faster ,"
[12:36] me011 | certainly .
"[12:40] me011 | Well that 's what I tried originally . So I I actually before ,"
"[12:43] me011 | uh ,"
"[12:43] me011 | Dave Gelbart did this , I did an interface which showed each waveform and ea"
"[12:47] me011 | a ribbon for each waveform ,"
[12:47] me001 | Mm - hmm .
[12:49] me011 | but the problem with it is even with just three waveforms it was just painfully slow to scroll .
"[12:54] me001 | Oh , OK ."
"[12:54] me011 | So you just scroll a screen and it would , you know go"
[12:58] me011 | And so it just was not doable with the current interface .
"[13:02] fe008 | You know , I am thinking if we have a meeting with only four speakers and , you know , you could"
"[13:07] fe008 | fire up a Transcriber interface for , y you know , in different windows , multiple ones , one for each channel . And it 's sort of a a hack but I mean it would be one way of seeing the visual form ."
[13:15] me011 | I think that if we decide that
"[13:19] me011 | that they need to see the visuals , we need to change the interface so that they can do that ."
[13:24] me011 | An -
"[13:24] fe016 | That 's actually what I thought of , loading the chopped up waveforms , I mean ,"
[13:28] me001 | Hmm .
[13:31] fe016 | So .
[13:34] me001 | Right .
"[13:35] fe016 | Right , but if you"
"[13:41] fe016 | No , I mean the individual channels that were chopped up that it 'd be nice to be able to go back and forth between those"
[13:46] fe016 | short segments . Cuz you don't really nee like
[13:46] me013 | Mm - hmm .
"[13:48] fe016 | nine tenths of the time you 're throwing most of them out , but what you need are tho that particular channel , or that particular location , and ,"
[13:54] me011 | Yeah .
"[13:56] fe016 | um ,"
[13:56] fe008 | Yeah .
"[14:00] fe016 | um ,"
"[14:01] fe016 | to be able to do that . But it won't work for IBM of course , it only works here cuz they 're not saving out the individual"
[14:08] fe016 | channels .
"[14:10] fe008 | Well , I I do think that this this will be a doable procedure , and have them starting with mixed and , um ,"
[14:11] me013 | Yeah .
[14:13] me013 | OK .
"[14:16] fe008 | then when they get into overlaps , just have them systematically check all the channels to be sure that there isn't something hidden from from audio view ."
[14:25] me011 | Yeah .
"[14:29] me011 | The mixed signal , the overlaps are pretty audible"
[14:32] me011 | because it is volume equalized . So I think they should be able to hear .
"[14:35] me011 | The only problem is is ,"
"[14:37] me011 | you know , counting how many and if they 're really correct or not ."
"[14:40] me011 | So , I don't know ."
"[14:41] fe016 | I don't know that you can locate them very well from the mixed signal ,"
"[14:45] me011 | but once once you know that they happen , you can at least listen"
"[14:49] me011 | to the close talking , so ."
"[14:51] me013 | But right now , to do this limitation , the switching is going to be switching of the audio ? Is what she 's saying ."
[14:55] me011 | Right .
[14:55] fe008 | Yeah .
"[14:56] me011 | Right , so so"
[14:57] me013 | so they 're using their ears to do these markings anyway .
[14:59] fe008 | Yes . Yes .
[14:59] me011 | Did Dave do that change where you can actually just click rather than having to go up to the menu
[14:59] fe016 | Yeah .
[15:04] me011 | to listen to the individual channels ?
"[15:06] fe008 | Um ,"
[15:07] me011 | I had suggested it before . I just don't know whether he did it or not .
"[15:09] fe008 | I 'm not sure what click what click on the ribbon ? Yeah , you can get that oh , oh , get you can get the , uh you can get it to switch audio ?"
[15:11] me011 | Yeah .
[15:15] me011 | Yeah .
"[15:16] fe008 | Uh , not last I tried , but , um , maybe he 's changed it again ."
[15:18] me011 | We should get him to do that
"[15:19] me011 | because , uh , I think that would be much , much faster than going to the menu ."
[15:21] fe008 | I disagree .
"[15:22] fe008 | There 's a reason I disagree , and that is that , uh , you it 's very good to have a dissociation between the visual and the audio . There 're times when"
[15:33] me011 | Then maybe just buttons down at the bottom
[15:36] me011 | next to it . Just something so that it 's not in the menu option so that you can do it much faster .
"[15:41] fe008 | Well , I mean , that 's the i I I think that might be a personal style thing . I find it really convenient the way the way it 's set up right now ."
[15:48] me011 | Well
"[15:51] me011 | "" well was that Jane , no , was that Chuck , no , was that Morgan "" , right now , you have to go up to the menu ,"
"[15:55] me011 | and each time , go up to the menu , select it , listen to that channel then click below , and then go back to the menu , select the next one , and then click below ."
[15:59] fe008 | That 's fine .
"[16:01] fe008 | Yeah , it 's true ."
[16:01] me011 | So you can definitely streamline that with the i with the interface .
[16:07] me011 | What ?
[16:10] me011 | OK .
"[16:14] me013 | So , um ,"
"[16:16] me013 | Done with that ? @ @ Does any I forget , does anybody , uh ,"
[16:20] me013 | working on any any Eurospeech submission related to this ?
"[16:23] me011 | Hhh ! I would like to try to do something on digits but I just don't know if we have time . I mean , it 's due next Friday so we have to do the experiments and write the paper ."
"[16:32] me011 | So , I 'm gonna try ,"
"[16:33] me011 | but , uh ,"
"[16:36] me011 | we 'll just have to see . So actually I wanna get together with both Andreas and , uh ,"
"[16:40] me011 | uh ,"
[16:42] me011 | Stephane
[16:45] me013 | Yeah .
"[16:47] me013 | Yeah there was that we that 's right , we had that one conversation about , uh ,"
"[16:55] me011 | Right ,"
[16:56] me011 | and I haven't had s chance to sit down and listen . I was going to do that this afternoon .
"[16:57] mn017 | Oh , I haven't I haven't listened to them either ,"
"[16:59] mn017 | but there must be something wrong , I mean ,"
"[17:01] me011 | Well , Morgan and I were were having a debate about that ."
"[17:04] me011 | Whereas I think it it 's probably something pathologic and actually Stephane 's results ,"
[17:08] me011 | I think confirm that . He s he did
[17:10] me011 | the Aurora system
"[17:14] me011 | or ,"
"[17:15] me011 | uh , fifteen to twenty percent average ?"
"[17:17] me011 | But then he ran it just on the lapel ,"
[17:19] me011 | and got about five or six percent word error ?
"[17:23] me011 | So that that means to me that somewhere in the other recordings there are some pathological cases . But ,"
"[17:28] me011 | you know , we th that may not be true . It may be just some of the segments they 're just doing a lousy job on ."
[17:33] me011 | So I 'll I 'll listen to it and find out since you 'd actually split it up by
[17:34] me013 | Right .
[17:37] me011 | segment . So I can actually listen to it .
[17:38] mn017 | Yeah .
[17:39] me018 | Did you run the Andreas the r SRI recognizer on the digits ?
[17:42] mn017 | Yeah .
"[17:42] me011 | Oh , I thought he had sent that around to everyone , did you just sent that to me ?"
"[17:44] mn017 | No , I d I didn't ."
[17:46] me011 | Oh .
[17:50] me011 | It was bimodal .
"[17:55] me011 | Oh , was it trimodal , OK ."
"[17:56] mn017 | trimodal , so"
[17:58] mn017 | t
"[17:59] mn017 | there was one h one bump at ze around zero ,"
[18:02] me013 | Yeah .
"[18:02] mn017 | which were the native speakers ,"
[18:04] mn017 | the non - pathological native speakers .
[18:04] me013 | Yeah .
[18:04] me018 | Zero percent error ?
[18:06] me013 | Y yeah .
"[18:06] mn017 | Then there was another bump at , um ,"
"[18:09] mn017 | oh , like fifteen or something ."
[18:12] me013 | Oh was it fifteen ?
[18:12] me018 | This is error you 're talking about ? OK .
[18:12] mn017 | whe
[18:13] me011 | Yeah .
[18:13] me013 | Yeah .
[18:13] mn017 | Yeah . Those were the non - natives .
"[18:15] mn017 | And then there was another distinct bump at ,"
"[18:19] fe008 | Oh , wow !"
"[18:22] fe008 | Oh , OK ."
[18:26] me001 | Oh .
[18:26] mn017 | In the recording
"[18:28] me001 | Oh , OK . I see ."
"[18:29] mn017 | And there was this one meeting , I forget which one it was , where like ,"
"[18:32] mn017 | uh , six out of the eight channels were all ,"
[18:35] mn017 | like had a hundred percent error .
[18:38] me011 | th
[18:38] me011 | the recording
[18:39] me001 | Right .
"[18:43] me011 | you know , someone was jiggling with a cord or ,"
"[18:46] me011 | uh , I extracted it incorrectly , it was labeled it was transcribed incorrectly , something"
[18:48] me001 | Mm - hmm .
"[18:51] me011 | really bad happened , and I just haven't listened to it yet to find out what it was ."
[18:52] me001 | OK .
"[18:53] mn017 | So , if I excluded the"
"[18:57] mn017 | by definition , those that had like over ninety - five percent"
"[19:01] mn017 | error rate ,"
"[19:02] mn017 | and the non - natives , then the average error rate was like one point four or something ,"
[19:07] fe008 | Oh . Oh .
[19:07] me001 | Hmm !
"[19:08] mn017 | which seemed reasonable given that ,"
[19:12] me013 | Yeah .
[19:12] mn017 | for it . And the grammar wasn't tuned either . It was just a @ @ .
"[19:18] mn017 | I haven't split it up that way ,"
"[19:20] fe016 | But there 's no overlap during the digit readings , so it shouldn't really matter ."
[19:22] me001 | Right .
[19:22] mn017 | Right .
[19:23] me018 | Yeah .
"[19:23] me013 | No , but there 's a little difference , and we haven't looked at it for digits , right ? And so ,"
[19:24] me011 | There 's a lot . Yeah .
"[19:27] me018 | Yeah , so I was curious about that ."
[19:27] me013 | cuz because what he was what I was saying when I looked at those things is it it I was almost gonna call it quadrimodal because because there was a whole lot of cases where it was zero percent .
[19:33] mn017 | Mm - hmm .
[19:37] me013 | They just plain got it all right .
[19:39] mn017 | Yeah .
[19:39] me013 | And then there and then there was another bunch that were couple percent or something .
[19:43] me013 | Yeah .
"[19:45] mn017 | uh , you know , it it was zero was the most of them , but then"
[19:45] me011 | A normal . Yeah .
[19:49] mn017 | the others were sort of decaying from there .
"[19:51] me013 | Yeah , yeah ."
"[19:51] mn017 | And then there was the bump for the non - natives and then the pathological ones , so ."
[19:54] me013 | I see . I see .
[19:55] fe008 | @ @
[19:56] fe008 | @ @
"[19:56] me011 | Yeah , cuz some of our non - natives are pretty non - native . So ."
[20:03] me013 | Yeah .
"[20:03] fe008 | You did you have , uh , something in the report about , uh , about , uh , for f uh , forced alignment ? Have you have you started on that ?"
"[20:10] mn017 | Oh , well , yeah , so I 've been struggling with the forced alignments . Um ."
[20:15] mn017 | So the scheme that I
"[20:18] mn017 | drew on the board last time where we tried to , um"
[20:21] mn017 | allow reject models for the
[20:24] mn017 | s
[20:24] mn017 | speech from other
"[20:25] mn017 | speakers ,"
"[20:26] mn017 | um ,"
[20:28] mn017 | most of the time it doesn't work very well .
"[20:29] mn017 | So ,"
"[20:31] mn017 | um ,"
[20:32] me013 | Hmm .
"[20:33] mn017 | I haven't done I mean , the only"
[20:34] mn017 | way to check this right now was for me to actually
"[20:37] mn017 | load these into X Waves and ,"
"[20:39] mn017 | you know , plus the alignments , and s"
[20:43] mn017 | And it looks And so I looked at
[20:45] mn017 | all of the
"[20:46] mn017 | utterances from you , Chuck , in that"
"[20:48] mn017 | one conversation ,"
"[20:49] mn017 | I don't know which You probably know which one I mean , it 's"
[20:52] mn017 | where you were on the lapel
[20:54] mn017 | and Morgan was sitting next to you and we can hear everything Morgan says .
"[20:59] mn017 | and and some of what you I mean , you also"
[21:02] mn017 | appear quite a bit in that cross - talk .
"[21:04] mn017 | So ,"
[21:05] mn017 | I actually
"[21:06] mn017 | went through all of those , there were I think fifty - five segments ,"
"[21:10] mn017 | um , in in X Waves , and and"
"[21:13] mn017 | sort of did a crude check , and"
"[21:16] mn017 | more often than not , it it gets it wrong . So there 's either the beginning , mostly the beginning word ,"
"[21:22] mn017 | where th you , um ,"
"[21:24] mn017 | you know , Chuck talks somewhere into the segment ,"
[21:27] mn017 | but
"[21:28] mn017 | the first ,"
"[21:29] mn017 | um , word of what he says , often"
"[21:32] mn017 | "" I "" but it 's very reduced "" I , """
[21:34] mn017 | that 's just aligned
"[21:36] mn017 | to the beginning of someone else 's speech , uh in that segment , which is cross - talk . So ,"
"[21:41] mn017 | um ,"
"[21:43] mn017 | I 'm still tinkering with it , but"
"[21:45] mn017 | it might well be that we can't get clean alignments out of this out of those , uh ,"
"[21:50] mn017 | channels , so ."
"[21:51] me013 | Unless maybe we do this , uh , um , cancellation business ."
"[21:55] fe016 | Right , but that 's I mean , that was our plan , but it 's clear from Dan that this is not something you can do in a short amount of time ."
"[21:55] mn017 | Yeah , right ."
"[22:01] fe016 | So so we you know , we had spent a lot of time , um , writing up the HLT paper and we wanted to use that , uh , kind of analysis , but the HLT paper has ,"
[22:08] me013 | Yeah .
"[22:11] fe016 | you know , it 's a very crude measure of overlap . It 's not really something you could scientifically say is overlap , it 's just whether or not the ,"
"[22:19] fe016 | um ,"
