[00:00] me026 | Channel one .
"[09:01] me013 | OK , so if if everybody can get here at six ."
[09:05] fn002 | At six .
"[09:06] me013 | Yeah , I 'm afraid"
"[09:07] me013 | we need to do that to get there on time . Yeah , so ."
"[09:08] me006 | Six , OK ."
[09:14] me018 | Will that be enough time ?
[09:16] me013 | Yeah .
"[09:16] me013 | Yeah , so I 'll just pull up in front at six and just be out front ."
[09:26] me013 | and uh
[09:26] me018 | I guess once you get past the bridge that that would be the worst .
[09:30] me013 | Going to Oakland .
"[09:30] me034 | Yeah , Oakland ."
[09:30] me006 | Oakland .
[09:30] me018 | Yeah .
[09:31] me013 | Bridge
[09:32] me018 | Once you get past the turnoff to the Bay Bridge .
"[09:33] me013 | oh , the turnoff to the bridge"
[09:34] me018 | Yeah .
"[09:35] me013 | Won't even do that . I mean , just go down Martin Luther King ."
[09:36] me034 | Yeah .
[09:37] me018 | Yeah . OK . Mm - hmm .
[09:40] me018 | Yeah .
[09:42] me013 | tops uh thirty minutes to get there .
[09:45] me013 | So that leaves us fifty minutes before the
[09:48] me013 | plane it 'll just yeah .
[09:49] me013 | So
"[09:50] me013 | Great , OK so that 'll"
"[09:56] me013 | for Barry and me , we 're not we 're not staying overnight"
[09:58] me013 | so we don't need to bring anything particularly except for
"[10:04] me013 | So , and , uh you , two"
[10:06] me006 | OK .
[10:06] me013 | have to bring a little bit
"[10:08] me013 | you know , don't don't bring a footlocker and we 'll be OK"
[10:13] me006 | s
[10:15] mn007 | Oh yeah . Yeah .
[10:18] me013 | one night . So . Anyway .
"[10:20] me006 | So , s six AM , in front ."
[10:20] me013 | OK .
[10:22] me013 | Six AM in front .
[10:23] me006 | OK .
"[10:24] me013 | Uh , I 'll be here ."
"[10:27] me013 | I 'll give you my phone number ,"
[10:34] me013 | it for me it just means getting up a half an hour earlier
[10:37] me013 | than I usually do .
"[10:37] me013 | Not not not a lot , so"
[10:39] me006 | OK .
"[10:42] me013 | OK , that was the real real important stuff . Um ,"
[10:45] me013 | I I I figured maybe wait on the
[10:48] me013 | potential goals for the meeting
[10:49] me013 | uh until
[10:50] me013 | we talk about wh what 's been going on .
"[10:52] me013 | So ,"
"[10:54] me013 | uh , what 's been going on ? Why don't we start start over here ."
[10:58] mn007 | Um .
[11:03] me013 | OK .
"[11:04] mn007 | So ,"
"[11:07] mn007 | it means that um ,"
"[11:10] mn007 | well , it is , uh , a digit French database of microphone speech ,"
[11:14] mn007 | downsampled to eight kilohertz and
"[11:17] mn007 | I 've added noise to one part ,"
[11:20] mn007 | with the actually the
"[11:24] mn007 | And , @ @"
[11:26] mn007 | so this is a training part .
[11:41] mn007 | So this is almost ready . I 'm preparing the the HTK baseline for this task .
"[11:46] mn007 | And , yeah ."
[11:49] me013 | OK
"[11:51] me013 | Uh ,"
"[11:54] me013 | so this is using mel cepstra and so on , or ?"
[11:57] mn007 | Yeah .
[11:57] me013 | Yeah .
[11:59] me013 | OK .
"[12:00] me013 | And again , I guess the p the plan is , uh ,"
[12:11] mn007 | The plan with these data ?
[12:12] me013 | With So So Does i Just remind me of what what you were going to do
[12:15] me013 | with the what what what what 's y
[12:16] me013 | You just described what you 've been doing .
[12:18] mn007 | Yeah .
[12:18] me013 | So if you could remind me of what you 're going to be doing .
"[12:20] me013 | Oh , this is yeah , yeah ."
"[12:21] mn007 | Uh , yeah ."
[12:21] me006 | @ @ Tell him about the cube .
[12:22] mn007 | Well .
[12:24] mn007 | The cube ?
[12:25] mn007 | I should tell him about the cube ? Yeah .
[12:26] me006 | Yeah .
[12:26] me013 | Oh ! Cube . Yeah .
"[12:28] mn007 | Uh we actually we want to , mmm ,"
"[12:30] mn007 | Uh , uh ,"
"[12:35] mn007 | the feature dimension , the training data dimension , and the test data dimension ."
[12:41] mn007 | Um .
[12:46] mn007 | first we have number for each uh task .
"[12:51] mn007 | So we have the um ,"
[12:57] me013 | Yeah ?
[13:01] mn007 | I mean I mean
"[13:06] mn007 | And then to have systems with neural networks trained on ,"
"[13:12] mn007 | data from the same language , if possible , with ,"
"[13:15] mn007 | well , using a more generic database , which is phonetically phonetically balanced , and ."
[13:21] mn007 | Um .
[13:25] mn007 | Yeah . So .
[13:26] me013 | So - so we had talked I guess we had talked at one point about
"[13:29] me013 | maybe , the language ID corpus ?"
[13:32] me013 | Is that a possibility for that ?
"[13:33] mn007 | Yeah , but , uh these corpus , w w there is a CallHome and a CallFriend also ,"
"[13:39] mn007 | The CallFriend is for language ind identification . Well ,"
"[13:43] mn007 | anyway , these corpus are all telephone speech . So , um ."
"[13:54] mn007 | Why ? Because uh , uh ,"
[13:56] mn007 | the the SpeechDat databases are not telephone speech .
[14:02] mn007 | but
[14:02] mn007 | they are not uh with telephone bandwidth .
[14:04] me013 | Yeah .
[14:05] me013 | That 's really funny isn't it ?
[14:07] me013 | I mean cuz th this whole thing is for developing new standards for the telephone .
[14:11] me013 | Yeah .
"[14:17] mn007 | Well , you don't do not send speech , you send features , computed on th the the device , or Well ."
[14:21] me013 | Mm - hmm .
"[14:29] me013 | the features are computed locally , and so they aren't necessarily telephone bandwidth , uh"
[14:32] mn007 | Yeah .
[14:33] mn007 | Yeah .
[14:35] me013 | or telephone
[14:36] me018 | Did you happen to find out anything about the OGI multilingual database ?
[14:37] me013 | distortions .
"[14:40] me013 | Yeah , that 's wh that 's wh that 's what I meant ."
"[14:46] me013 | the CallFriend is a is a , uh , LDC w thing , right ?"
[14:47] mn007 | Yea -
"[14:51] mn007 | One they call the multi - language database ,"
"[14:54] mn007 | and another one is a twenty - two language , something like that ."
[14:57] mn007 | But it 's also telephone speech .
"[14:59] me018 | Oh , they are ?"
[15:00] me018 | OK .
[15:00] mn007 | Uh .
"[15:03] mn007 | Well ,"
[15:04] mn007 | nnn .
"[15:08] me013 | I mean , we ' r e e The bandwidth shouldn't be such an issue right ? Because"
"[15:12] me013 | e e this is downsampled and and filtered , right ?"
[15:14] me013 | So it 's just the fact that it 's not telephone .
"[15:17] me013 | And there are so many other differences between these different databases . I mean some of this stuff 's recorded in the car , and some of it 's I mean there 's there 's many different acoustic differences . So I 'm not sure"
[15:27] mn007 | Yeah .
[15:29] me013 | if .
"[15:30] me013 | I mean , unless we 're going to include a bunch of car recordings in the in the training database ,"
[15:37] me013 | completely rules it out
[15:38] me013 | if our if we if our major goal is to have phonetic context
[15:43] mn007 | Mmm .
[15:43] me013 | and you figure that there 's gonna be a mismatch in acoustic conditions
[15:47] me013 | does it make it much worse f to
"[15:49] me013 | sort of add another mismatch , if you will ."
"[15:52] me013 | Uh , i i I I guess the question is how important is it to for us to get multiple languages"
"[15:58] me013 | uh , in there ."
[16:02] mn007 | Um .
[16:04] mn007 | Yeah .
"[16:06] mn007 | Well , actually , for the moment if we w do not want to use these phone databases , we we already have uh English , Spanish and French"
"[16:15] mn007 | uh , with microphone speech ."
[16:15] me013 | Mm - hmm .
[16:17] me013 | Yeah .
[16:17] mn007 | So .
[16:19] me013 | So that 's what you 're thinking of using is sort of the multi the equivalent of the multiple ?
[16:19] mn007 | Well .
"[16:22] mn007 | Yeah , for the multilingual part we were thinking of using these three databases ."
[16:26] me013 | And for the difference in phonetic context that you ?
"[16:29] mn007 | Uh , actually , these three databases are um generic databases ."
[16:33] fn002 | Yeah .
[16:34] mn007 | So w
"[16:35] mn007 | f for for uh Italian ,"
"[16:38] mn007 | which is close to Spanish , French and , i i uh , TI - digits we have both"
"[16:42] mn007 | uh , digits training data and also more general training data . So ."
[16:48] mn007 | Mmm .
"[16:49] me013 | Well , we also have this Broadcast News that we were talking about taking off the disk , which is is microphone data for for English ."
[16:54] mn007 | Yeah .
"[16:56] mn007 | Yeah , perhaps yeah , there is also TIMIT . We could use TIMIT ."
[16:59] me013 | Yeah .
[17:00] me013 | Right .
[17:02] mn007 | Um .
"[17:03] me013 | Yeah , so there 's plenty of stuff around ."
"[17:06] me013 | OK , so anyway , th the basic plan is to , uh , test this cube ."
[17:10] me013 | @ @
"[17:20] mn007 | We were thinking that perhaps the cross - language issue is not , uh , so big of a issue . Well , w w we perhaps we should not focus too much on that cross - language stuff ."
"[17:31] mn007 | I mean , uh , training training a net on a language and testing a for another language ."
[17:32] me013 | Uh - huh .
[17:37] mn007 | Mmm .
"[17:38] mn007 | Perhaps the most important is to have neural networks trained on the target languages . But , uh , with a general database general databases ."
[17:48] mn007 | u
"[17:48] mn007 | So that th Well ,"
"[17:50] mn007 | the the guy who has to develop an application with one language can use the net trained o on that language ,"
"[17:56] me013 | Uh , depen it depen it depends how you mean "" using the net "" . So , if you 're talking about for producing these discriminative features that we 're talking about you can't do that ."
[18:02] mn007 | Mmm .
[18:04] me013 | Because because
[18:06] me013 | the what they 're asking for is is a feature set .
[18:10] me013 | Right ?
"[18:10] me013 | And so ,"
"[18:12] me013 | uh , we 're the ones who have been weird by by doing this training ."
[18:16] mn007 | Yeah .
"[18:16] me013 | But if we say , "" No , you have to have a different feature set for each language , "" I think this is ver gonna be very bad ."
[18:21] me006 | Oh .
"[18:22] me013 | So Oh yeah . Yeah . I mean ,"
[18:22] mn007 | You think so . Mmm .
[18:22] fn002 | Oh .
[18:26] mn007 | Mmm .
"[18:29] me013 | well , they want a replacement for mel cepstra ."
"[18:31] me013 | So , we say "" OK , this is the year two thousand , we 've got something much better than mel cepstra . It 's , you know , gobbledy - gook . "" OK ? And so"
[18:41] mn007 | Hmm .
"[18:42] me013 | Cuz you don't know who 's gonna call , and you know , I mean so it 's it 's it 's , uh , uh how do you know what language it is ?"
[18:49] me013 | Somebody picks up the phone .
[18:51] me013 | So thi this is their image .
"[18:52] me013 | Someone picks up the phone , right ?"
[18:53] me013 | And and he he picks up the ph
[19:00] me013 | Well .
[19:00] mn007 | Well .
"[19:01] me013 | But , no but , y you you pick up the phone ,"
[19:03] mn007 | Yeah ?
"[19:03] me013 | you talk on the phone , and it sends features out ."
"[19:06] me013 | OK , so the phone doesn't know"
[19:09] me013 | what a what what your language is .
"[19:09] mn007 | Yeah , if Yeah ."
"[19:11] mn007 | If it 's th in the phone , but well , it that that could be th at the server 's side , and , well ."
[19:13] me013 | But that 's the image that they have .
"[19:16] me013 | It could be , but that 's the image they have , right ?"
"[19:18] mn007 | Mmm , yeah ."
"[19:19] me013 | So that 's that 's I mean , one could argue all over the place about how things really will be in ten years ."
"[19:25] me013 | But the particular image that the cellular industry has right now is that it 's distributed speech recognition ,"
"[19:30] me013 | where the , uh , uh , probabilistic part , and and s semantics and so forth are all on the servers ,"
"[19:36] me013 | and you compute features of the uh , on the phone ."
"[19:39] me013 | So that 's that 's what we 're involved in . We might might or might not agree that that 's the way it will be in ten years , but"
[19:45] me013 | that 's that 's that 's what they 're asking for .
[19:47] me013 | So so I think
[19:49] me013 | that th th it is an important issue whether it works cross - language .
"[19:53] me013 | Now , it 's the OGI , uh , folks ' perspective right now that probably that 's not the biggest deal ."
"[19:59] me013 | And that the biggest deal is the , um"
[20:02] me013 | envir acoustic - environment mismatch .
"[20:05] me013 | And they may very well be right , but I I was hoping we could just do a test and determine if that was true ."
"[20:11] me013 | If that 's true , we don't need to worry so much . Maybe maybe we have a couple languages in the training set and that gives us enough breadth"
"[20:17] me013 | uh , uh , that that that the rest doesn't matter ."
"[20:21] me013 | Um , the other thing is , uh ,"
[20:29] me013 | training to something more like articulatory features .
"[20:33] me013 | Uh , and if you have something that 's just good for distinguishing different articulatory features that should just be good across , you know , a wide range of languages ."
[20:36] mn007 | Mmm .
[20:40] mn007 | Yeah . Yeah .
"[20:42] me013 | Yeah , so I don't th I know unfortunately I don't I see what you 're comi where you 're coming from , I think , but I don't think we can ignore it ."
[21:06] me006 | Test on an unseen .
"[21:10] me013 | Yeah , so , um ,"
"[21:12] me013 | there 's there 's , uh This is complex . So , ultimately ,"
"[21:17] me013 | uh , as I was saying , I think it doesn't fit within their image that you switch nets based on language ."
"[21:23] me013 | Now ,"
"[21:24] me013 | can you include , uh , the the target language ?"
"[21:28] me013 | Um ,"
[21:29] me013 | from a purist 's standpoint it 'd be nice not to
"[21:35] me013 | because surely someone is going to say at some point , "" OK , so you put in the German and the Finnish . Uh , now , what do you do , uh , when somebody has Portuguese ? "" you know ?"
[21:38] mn007 | Mmm .
"[21:49] me013 | Uh , however ,"
[21:51] me013 | you aren't it isn't actually a constraint
[21:54] me013 | in this evaluation .
[21:56] me013 | So I would say
"[21:57] me013 | if it looks like there 's a big difference to put it in ,"
[22:07] mn007 | Mmm ?
"[22:07] me013 | that , you know , it 's not so bad as long as we we note it and say , "" Look , we did do this "" ."
"[22:12] me018 | And so , ideally , what you 'd wanna do is you 'd wanna"
[22:12] me013 | Uh .
[22:15] me018 | run it with and without the target language and the training set for a wide range of languages .
[22:18] me013 | Yeah .
"[22:18] mn007 | Yeah , perhaps . Yeah ."
[22:20] mn007 | Yeah .
"[22:20] me018 | And that way you can say , "" Well , """
[22:20] me013 | Yeah .
"[22:22] me018 | you know ,"
"[22:23] me018 | "" we 're gonna build it for what we think are the most common ones "" , but if"
"[22:27] me018 | that somebody uses it with a different language ,"
"[22:29] me018 | you know , "" here 's what 's you 're l here 's what 's likely to happen . """
"[22:32] me013 | Yeah , cuz the truth is , is that it 's it 's not like there are I mean , al although there are thousands of languages ,"
"[22:38] me013 | uh , from uh , uh , the point of view of cellular companies , there aren't . There 's you know , there 's fifty or something , you know ? So ,"
[22:41] me018 | Right .
"[22:46] me013 | you know ,"
"[22:47] me013 | with the exception of Finnish , which I guess it 's pretty different from most most things ."
"[22:51] me013 | uh , it 's it 's , uh most of them are"
[22:55] me013 | like at least some of the others .
[23:01] me013 | and so on .
"[23:03] me013 | I guess Finnish is a is is a little bit like Hungarian , supposedly , right ?"
"[23:07] me013 | Or is I think well , I kn oh , well I know that"
[23:07] me018 | I don't know anything about Finnish .
"[23:09] me013 | H uh , H I mean , I 'm not a linguist , but I guess Hungarian and Finnish and one of the one of the languages from the former Soviet Union"
[23:16] me013 | are in this sort of same family .
"[23:18] me013 | But they 're just these , you know ,"
[23:18] me018 | Hmm .
[23:21] me018 | Hmm .
"[23:22] me013 | I guess ,"
[23:24] me013 | people rode in on horses and
[23:28] me013 | OK .
[23:32] mn007 | The Yeah .
[23:33] me013 | Your turn .
"[23:34] me006 | Oh , my turn . Oh , OK . Um ,"
"[23:37] me006 | Let 's see , I I spent the last week , uh , looking over Stephane 's shoulder ."
[23:42] me006 | And and understanding some of the data .
"[23:46] me006 | I re - installed , um ,"
"[23:48] me006 | um , HTK , the free version ,"
"[23:50] me006 | so , um , everybody 's now using three point O , which is the same version that , uh , OGI is using ."
"[23:57] me013 | Oh , good ."
"[23:58] me006 | Yeah . So , without without any licensing big deals , or anything like that ."
"[24:03] me006 | And , um , so we 've been talking about this this , uh , cube thing ,"
"[24:09] me006 | and it 's beginning more and more looking like the , uh , the Borge cube thing ."
[24:13] me006 | It 's really gargantuan .
"[24:15] me006 | Um , but I"
[24:19] me013 | So are are you going to be assimilated ?
"[24:30] me006 | Um , the the stuff that we 've been working on with TIMIT , trying to get a ,"
"[24:35] me006 | um a labels file so we can , uh , train up a train up a net on TIMIT and test , um , the difference between this net trained on TIMIT and a net trained on digits alone ."
[24:47] me013 | Mm - hmm .
"[24:48] me006 | Um , and seeing if if it hurts or helps ."
"[24:52] me013 | And again , when y just to clarify , when you 're talking about training up a net , you 're talking about training up a net for a tandem"
[24:52] me006 | Anyway .
"[24:58] me006 | Yeah , yeah . Um ."
[24:59] me006 | Mm - hmm .
"[25:17] me013 | Yeah , but your initial things you 're making one choice there , right ? Which is PLP , or something ? Yeah ."
"[25:19] me006 | Yeah , right ."
"[25:21] me006 | Um , I I haven't I haven't decided on on the initial thing . Probably probably something like PLP ."
[25:27] me013 | Yeah .
[25:27] me006 | Yeah .
[25:28] mn007 | Hmm .
"[25:29] me013 | Um , so so you take PLP and you you , uh , do it uh , you you , uh , use HTK with it with the transformed features using a neural net that 's trained ."
"[25:41] me013 | And the training could either be from Digits itself or from TIMIT . And that 's the and , and th and then the testing would be these other things which which which might be foreign language ."
[25:46] me006 | Right .
[25:52] me006 | Right .
[25:53] me013 | I see .
[25:53] me006 | Right .
[25:54] me013 | I I I get in the picture about the cube . OK .
[25:55] me006 | Yeah .
[25:57] me006 | Uh - huh .
"[25:57] me013 | Um , I mean , those listening to this will not have a picture either , so , um , I guess I 'm I 'm not any worse off ."
"[26:02] me013 | But but at some point somebody should just show me the cube . It sounds s I I get I think I get the general idea of it , yeah ."
"[26:08] me006 | Yeah , yeah , b"
[26:09] me006 | May -
[26:12] me006 | Mm - hmm .
"[26:12] me018 | um , are y what do you mean by that ?"
"[26:14] me006 | Oh , I 'm just I 'm just , uh , transforming them from the , um , the standard TIMIT transcriptions into into a nice long huge P - file to do training ."
[26:20] me018 | Mmm .
"[26:23] me018 | Were the digits , um , hand - labeled for phones ?"
[26:28] me018 | Or were they those labels automatically derived ?
"[26:30] me006 | Oh yeah , those were those were automatically derived by by Dan"
[26:35] me018 | Mmm .
"[26:36] me006 | using , um , embedded embedded training and alignment ."
"[26:39] me013 | Ah , but which Dan ?"
"[26:40] me006 | Uh , Ellis . Right ?"
[26:42] me013 | OK .
[26:43] me013 | OK .
[26:45] me006 | Yeah .
[26:45] me006 | So .
"[26:48] me018 | I was just wondering because that test you 're t I I think you 're doing this test because you want to determine whether or not ,"
[26:50] me006 | Uh - huh .
"[26:55] me018 | uh , having s general speech performs as well as having specific speech ."
[27:00] me006 | That 's right .
"[27:07] me018 | Mm - hmm . And I was yeah , so I was just wondering if the fact that TIMIT you 're using the hand - labeled stuff from TIMIT might be confuse the results that you get ."
"[27:18] me013 | I I think it would , but but on the other hand it might be better ."
"[27:23] me018 | Right , but if it 's better , it may be better because it was hand - labeled ."
"[27:25] me013 | Oh yeah , but still @ @ probably use it ."
[27:27] me018 | Yeah .
[27:28] me018 | OK .
"[27:28] me013 | I mean , you know , I I I guess I 'm sounding cavalier , but I mean , I think"
"[27:32] me013 | the point is you have , uh , a bunch of labels and and they 're han hand uh hand - marked ."
"[27:38] me013 | Uh , I guess , actually , TIMIT was not entirely hand - marked . It was automatically first , and then hand hand - corrected ."
"[27:43] me013 | But but , um , uh , it it , um , it might be a better source ."
"[27:43] me018 | Oh , OK ."
"[27:52] me013 | So , i it 's you 're right . It would be another interesting scientific question to ask , "" Is it because it 's a broad source or because it was , you know , carefully ? "" uh ."
[27:59] me018 | Mm - hmm .
[28:02] me018 | Yeah .
[28:08] me018 | Right .
[28:09] me018 | What about the differences in the phone sets ?
"[28:12] me006 | Uh , between languages ?"
"[28:14] me018 | No , between TIMIT and the the digits ."
"[28:17] me006 | Oh , um , right ."
"[28:25] me018 | Oh , OK . I see ."
"[28:27] me006 | And then the digits phonemes , um , there 's about twenty twenty - two or twenty - four of them ? Is that right ?"
"[28:34] me018 | Out of that fifty - six ? Oh , OK ."
[28:34] mn007 | Yep .
[28:35] me006 | Out of that fifty - six .
[28:37] me006 | Yeah .
"[28:37] me006 | So , it 's it 's definitely broader , yeah ."
"[28:45] mn007 | But , actually , the issue of phoneti phon uh phone phoneme mappings"
[28:50] mn007 | will arise when we will do severa use several languages because
[28:50] fn002 | Yeah .
"[28:55] mn007 | you Well ,"
"[29:01] mn007 | So we plan to develop a subset of the phonemes ,"
"[29:05] mn007 | uh , that includes , uh , all the phonemes of our training languages , and"
[29:10] me018 | Mm - hmm .
[29:10] me013 | Mm - hmm .
[29:11] mn007 | use a network with kind of one hundred outputs or something like that .
"[29:15] me013 | You mean a superset , sort of ."
"[29:17] mn007 | Uh , yeah , superset , yeah ."
[29:18] me013 | Yeah . Yeah .
[29:18] fn002 | Yeah .
[29:19] mn007 | Mmm .
[29:26] mn007 | Yeah .
"[29:26] fn002 | SAMPA phone ? For English uh American English , and the the the language who have more phone are the English ."
[29:36] me018 | Mmm .
[29:37] fn002 | Of the these language .
"[29:39] fn002 | But n for example , in Spain , the Spanish have several phone that d doesn't appear in the E English and we thought to complete ."
"[29:50] fn002 | But for that , it needs we must r h do a lot of work because we need to generate new tran transcription for the database that we have ."
[29:55] me013 | Mm - hmm .
[30:02] me013 | Mm - hmm .
"[30:03] me034 | Other than the language , is there a reason not to use the TIMIT phone set ?"
[30:08] me034 | Cuz it 's larger ?
[30:09] me034 | As opposed to the ICSI phone set ?
"[30:13] me006 | Oh , you mean why map the sixty - one to the fifty - six ?"
[30:16] me034 | Yeah .
"[30:18] me013 | Um , I forget if that happened starting with you , or was it o or if it was Eric , afterwards who did that . But I think ,"
"[30:25] me013 | basically , there were several of the phones that were just hardly ever there ."
"[30:29] me018 | Yeah , and I think some of them , they were making distinctions between"
"[30:32] me018 | silence at the end and silence at the beginning ,"
[30:35] me018 | when really they 're both silence .
[30:36] me018 | I th I think it was things like that that got it mapped down to fifty - six .
[30:36] me034 | OK .
"[30:38] me013 | Yeah , especially in a system like ours , which is a discriminative system . You know , you 're really asking this net to learn . @ @ It 's it 's kind of hard . So ."
[30:43] me034 | Yeah .
[30:44] me018 | Yeah .
"[30:46] me018 | There 's not much difference , really ."
"[30:49] me018 | I think there was they also in TIMIT had like a glottal stop , which"
[30:53] me034 | Mm - hmm .
"[30:53] me018 | was basically a short period of silence , and"
[30:56] me018 | so .
"[30:56] me034 | Well , we have that now , too , right ?"
[30:57] me018 | I don't know .
[30:58] me034 | Yeah .
"[30:58] me013 | i It 's actually pretty common that a lot of the recognition systems people use have things like like , say thirty - nine ,"
"[31:06] me013 | phone symbols , right ? Uh , and then they get the variety by by bringing in the context , the phonetic context . Uh ."
[31:13] me013 | So we actually have an unusually large number in in what we tend to use here .
[31:18] me013 | Um .
"[31:27] me006 | Yeah , w I th I think that 's a good idea to to talk about the whole cube and maybe we could sections in the cube for people to work on ."
"[31:29] me013 | Yeah , yeah ."
[31:30] fn002 | Yeah .
[31:32] fn002 | Yeah .
[31:35] me013 | Yeah .
[31:36] me013 | Yeah .
"[31:37] me006 | Um ,"
[31:37] me006 | OK .
"[31:38] me013 | OK , so even even though the meeting recorder doesn't doesn't , uh and since you 're not running a video camera we won't get this , but if you use a board it 'll help us anyway ."
"[31:38] me006 | Uh , do you wanna do it ?"
[31:46] me006 | OK .
"[31:46] me013 | Uh , point out one of the limitations of this medium , but you 've got the wireless on , right ? Yeah , so you can walk around ."
"[31:50] me006 | Yeah , I have the wireless ."
[31:51] me006 | OK .
"[31:56] me006 | OK , well , um , s"
"[31:56] me013 | Uh , he can't , actually , but He 's tethered ."
"[31:59] me006 | basically , the the cube will have three dimensions ."
[32:02] me006 | The first dimension is the the features that we 're going to use .
[32:15] me006 | And that 's the training on the discriminant neural net .
[32:22] me006 | the last dimension
"[32:24] me013 | Yeah and again Yeah . So the the training for HTK is always that 's always set up for the individual test , right ? That there 's some training data and some test data . So that 's different than this . Yeah ."
[32:37] me006 | for ANN only .
"[32:40] me006 | And , yeah , the training for the HTK models is always , uh , fixed for whatever language you 're testing on ."
[32:47] me013 | Right .
"[32:48] me006 | And then , there 's the testing corpus ."
"[32:58] me006 | So , then I think it 's probably instructive to go and and and show you the features that we were talking about ."
"[33:05] me006 | Um , so , let 's see . Help me out with With what ?"
[33:10] mn007 | PLP .
[33:10] me006 | PLP ? OK .
[33:24] me006 | JRASTA - LDA .
"[33:28] mn007 | Um ,"
[33:32] me006 | Multi - band .
"[33:36] mn007 | So there would be multi - band before , um before our network , I mean ."
"[33:42] me006 | Yeah , just the multi - band features , right ?"
[33:44] mn007 | Yeah .
[33:44] me006 | Yeah .
[33:49] me013 | Uh - huh . Ah . Ah .
"[33:49] mn007 | So , something like , uh , s TCT within bands and Well ."
"[33:53] mn007 | And then multi - band after networks . Meaning that we would have , uh , neural networks , uh , discriminant neural networks for each band ."
[34:04] mn007 | And using the the outputs of these networks or the linear outputs or something like that .
"[34:11] mn007 | Uh , yeah ."
[34:13] me018 | What about mel cepstrum ?
[34:16] me018 | Or is that you don't include that because it 's part of the base or something ?
"[34:20] me013 | Well , y you do have a baseline"
[34:20] fn002 | Yeah databases . Yeah .
"[34:22] me013 | system that 's m that 's mel cepstra , right ? So ."
[34:24] fn002 | Mm - hmm .
[34:31] me013 | OK .
"[34:32] mn007 | So , yeah , we could we could add MFCC also ."
"[34:34] me013 | Probably should . I mean at least at least conceptually , you know , it doesn't meant you actually have to do it , but conceptually it makes sense as a as a base line ."
[34:35] mn007 | Yeah .
[34:37] fn002 | Yeah .
