[00:06] me011 | Testing .
[02:44] mn030 | Yeah .
"[02:45] mn082 | Uh I will So so the first , uh"
"[02:48] mn082 | uh ,"
"[02:48] mn082 | box , this morning ."
"[02:50] mn082 | I will set up , definitely , in my spare time , in the evenings and the weekends the second box ,"
[02:54] mn082 | and I 'm looking for two other volunteers
[02:57] mn082 | who are setting the third and the fourth box .
[02:59] mn021 | But wh wh wh what are the box ?
[03:01] mn082 | A box is a s P C .
[03:02] mn030 | P Cs . P Cs .
[03:03] mn021 | But what w
"[03:04] mn082 | Equipped with with we should equipped it with with Linux or maybe too with Free BSD , I doubt I don't know"
[03:08] mn030 | Well the first
"[03:10] mn030 | stop , the first thing the most , eh , complicated is to fit them with the"
"[03:16] mn030 | removable um , hard disk ."
[03:18] mn082 | And now we have an expert .
[03:19] mn030 | Yeah .
[03:25] mn030 | the
"[03:26] mn030 | Oh ,"
[03:26] mn030 | what 's the right word ?
[03:28] mn030 | I had to
[03:29] mn030 | put everything out
"[03:32] mn082 | Yeah , to remov"
[03:34] mn021 | OK .
"[03:38] mn030 | but i but it 's not not , um very , uh difficult or something like that ."
"[03:42] mn082 | Uh - huh ,"
[03:44] mn082 | Why you are laughing ?
"[03:47] mn082 | I don't know , I cou I s I didn't see him ,"
"[03:52] mn082 | I know in the meantime it 's running , and I will definitely set up the next one ."
[03:52] mn030 | Uh !
[03:54] mn030 | So Wilbert will set up the second computer .
"[03:56] mn082 | Yeah , though my idea maybe you eh can equip it with a"
"[03:59] mn082 | I don't know what your time constrain whether the time constraint allows you to set up one with with Free BSD , for instance . Yeah ."
"[04:03] mn021 | I can build , eh , any computer uh you n installing whatever ."
"[04:06] mn082 | OK , uh - huh ."
"[04:07] mn021 | It 's needed , I mean , I"
[04:09] mn021 | will enjoy doing it . So .
[04:09] mn082 | Do you find the time ?
[04:11] mn021 | That 's OK for me .
[04:12] mn081 | Mmm .
[04:14] mn081 | No promises .
[04:17] mn081 | No .
"[04:17] mn082 | and even maybe to to , uh put your I G M P stuff on it ."
[04:21] mn082 | Eh
[04:23] mn081 | No promises .
[04:24] mn082 | No promises .
[04:24] mn081 | No .
"[04:28] mn030 | So it 's about one hour to put this , uh hard disk in and"
"[04:32] mn030 | a further hour to , uh Well ,"
[04:34] mn030 | two or three hours
[04:36] mn030 | to install the operating systems .
"[04:37] mn082 | Nee , because then the network is still running then ."
"[04:39] mn082 | Could we wait until the network is running ? Because currently it 's not possible ,"
[04:41] mn030 | Yeah .
[04:42] mn030 | At the moment .
"[04:43] mn082 | uh , based on certain fire wall constraints . I believe David is , uh , currently working on that ."
[04:49] mn082 | to
"[04:50] mn082 | set up the fire wall , and he 's not an expert for that"
[04:53] mn082 | and when I get the signal I will ask one more time .
"[04:56] mn082 | Nah , but nevertheless thanks to Dietmar that he @ @ ."
[04:58] mn081 | Did the networks have internet connectivity ?
"[05:00] mn082 | Yes , we have , eh , for for secure socket ,"
"[05:03] mn082 | and , uh for web access ,"
[05:06] mn082 | the fire wall is open . That 's all .
"[05:08] mn082 | And But currently it 's not working , right ?"
[05:14] mn030 | Linux the first time
[05:16] mn030 | I
"[05:17] mn030 | got access to the local network here ,"
"[05:20] mn030 | um , but not to any machines outside of , uh , ICSI ."
"[05:24] mn030 | And , till Monday there 's no access at all to any machines ,"
[05:29] mn030 | also not to inside machines .
"[05:31] mn082 | But then ,"
[05:37] mn081 | But normally you should have access to th
"[05:39] mn081 | all the internet , r"
[05:40] mn081 | to outside .
[05:41] mn082 | Yes .
"[05:41] mn082 | Yeah ,"
[05:42] mn082 | You have
[05:42] mn081 | Full .
"[05:42] mn082 | internet outside access ,"
"[05:44] mn082 | but no telnet and not R - login or whatever kind of things , you know ."
[05:45] mn081 | A restricted in .
[05:50] mn081 | Not a no FTP .
"[05:51] mn082 | Yeah , FTP yes ."
[05:53] mn081 | H
[05:53] mn082 | But no telnet .
[05:54] mn081 | Hmm .
"[05:57] mn082 | The the the point is that we will use it , as it is uh described several times , that we will use it as a local network , in principle ,"
[06:03] mn082 | but it doesn't make sense to use certain kinds of
"[06:06] mn082 | uh , media transportation f to put some stuff you need"
"[06:09] mn082 | from your PC or your LS to this , uh uh ,"
"[06:13] mn082 | uh , to this testbed , you know ."
[06:14] mn021 | Mm - hmm .
[06:15] mn082 | So
"[06:15] mn082 | you download it , if that s must be possible from the network , but normally"
[06:22] mn082 | uh
"[06:22] mn082 | for demonstrations or to figure out if you have a scenario where you have to use more than ,"
"[06:27] mn082 | uh , one box"
"[06:28] mn082 | which you have on your desktop ,"
"[06:30] mn082 | cuz that is the primary , uh uh reason for this testbed ."
"[06:35] mn082 | So , definitely you have to have"
[06:37] mn082 | web access
[06:38] mn082 | to download the necessary files .
[06:39] mn021 | Hmm - hmm - hmm .
"[06:44] mn082 | So and then furthermore , one more thanks to Claudia ."
[06:48] mn082 | He did a lot of work and I could only
[06:49] fn083 | Right .
"[06:51] fn083 | Ah , the messages . Oh ."
[06:51] mn082 | pass her some advices and some discussions with her concerning the web pages .
"[06:56] mn082 | And now we are , in principle , in the state we have to do it with a project"
[07:01] mn082 | area . But they 're also some contributions from you guys requested .
[07:05] mn082 | Um
"[07:06] mn082 | and the alumni page , in principle , we have to ,"
"[07:09] mn082 | you know ,"
"[07:10] mn082 | but it 's primarily my job , I believe ,"
"[07:12] mn082 | uh , to set up so that it is , uh adjusted really to the people"
[07:16] mn082 | who are worth to be
"[07:17] mn082 | alumnis alumnis , yeah ."
"[07:20] fn083 | "" Alumni "" ."
"[07:20] mn082 | "" Alumni "" ."
[07:21] mn082 | I 'm not sure how to pronounce this word .
[07:22] mn035 | Aber das wird jetzt geaendert .
[07:24] mn082 | Huh ?
[07:24] mn035 | Das wird geaendert .
"[07:28] mn082 | But , um"
[07:30] mn082 | I think everybody should
"[07:33] mn082 | take a look to the web pages ,"
"[07:35] mn082 | and inform Claudia if something , uh , has to be"
[07:39] mn082 | improved or if there 's some comments or
[07:40] mn021 | Mm - hmm .
[07:43] mn082 | uh
[07:44] mn082 | He 's laughing all the time . Why ?
"[07:47] mn082 | Uh because it is you know , that 's very important"
[07:51] mn082 | maybe now not for us
[07:53] mn082 | but maybe for our successors and maybe somebody will come back once a day or send some students or some colleagues or whatever .
"[07:59] mn082 | So , my point of view I will"
[08:01] mn082 | doc I will
[08:01] mn082 | documented everything
[08:03] mn082 | when I will leave here in the sense that
[08:06] mn082 | potential successor as a group leader
[08:09] mn082 | can hook in with these things
[08:11] mn082 | and that
"[08:12] mn082 | these web pages will be updated every time when it is necessary . We tried to do it ,"
[08:18] mn082 | so that it must be at least updated only when really major changes happen .
"[08:21] mn082 | So that means somebody 's leaving the group ,"
"[08:24] mn082 | uh , somebody is joining the group , a new project is started ,"
"[08:27] mn082 | but , uh , the effort should be minimized as possible ."
"[08:31] mn082 | And , so please"
[08:33] mn082 | take a look to the web pages
[08:35] mn082 | and
[08:36] mn082 | I have announced in the project area
[08:40] mn082 | the major headlines .
"[08:43] mn082 | And especially , Wilbert , maybe you can write something"
[08:47] mn082 | about
[08:48] mn082 | yours ?
"[08:49] mn082 | I call it , I believe , "" Multicast "" and then "" Development deployment "" ,"
"[08:53] mn082 | eh , for for source specific multicas maybe a few lines , maybe a picture ."
"[08:58] mn082 | And something like that should be added to USAIA ? OK , that 's my stuff ."
[09:02] mn082 | And
[09:04] mn082 | um
[09:06] mn082 | then
[09:07] mn082 | the
[09:08] mn082 | next point is then this
[09:10] mn082 | active routing stuff ?
[09:12] mn082 | Um
"[09:13] mn082 | I would like to discuss it before , but"
[09:15] mn082 | you were busy .
"[09:16] mn021 | Yeah , OK ."
"[09:19] mn082 | um , I believe , it must be adjusted"
[09:22] mn082 | to the current activities
[09:24] mn082 | a little bit more .
[09:25] mn021 | Mm - hmm .
"[09:26] mn082 | And , um"
[09:29] mn082 | It is not worth to discuss it now because nobody raised it before .
"[09:32] mn021 | Yeah , I think so ."
"[09:33] mn082 | And , uh , so l let us have a bilateral discussion afterwards ."
[09:37] mn082 | I would what I would like to have is
[09:39] mn082 | that
"[09:40] mn082 | um ,"
[09:41] mn082 | your contributions is related to certain kind of things happened here .
[09:46] mn082 | And that means really to the project proposal itself
"[09:50] mn082 | and also maybe to the USAIA architecture , in that sense ,"
"[09:54] mn082 | that at certain stages ,"
"[09:55] mn082 | cuz it 's a general architecture , certain stages maybe to future"
[09:59] mn082 | mobile
"[10:00] mn082 | core networks ,"
[10:01] mn082 | that it is related
[10:03] mn082 | to these kind of things .
"[10:05] mn082 | Um , having uh , I what I have in mind is"
[10:08] mn082 | that things should not be started from the end system .
"[10:12] mn082 | That 's my principle concern ,"
"[10:13] mn082 | because that will never be happen , from my point of view ."
"[10:18] mn082 | It should be started as the edge device ,"
"[10:21] mn082 | so that it cu certain kind of mechanism , whatever ,"
[10:24] mn082 | is enabled between the
"[10:26] mn082 | ingress edge device and the outgress a edge device ,"
[10:29] mn082 | because it will be at the certain stage
[10:31] mn082 | IP based in the future generation telecommunication networks
[10:32] mn021 | Mm - hmm .
[10:34] mn021 | That 's OK .
[10:34] mn082 | before its goal .
"[10:35] mn082 | Fuel it to the over the internet , and b between these both boxes ,"
[10:40] mn082 | I can assume
[10:42] mn082 | uh because the mobility happens there
[10:44] mn082 | as a normal natural thing
"[10:47] mn082 | and the forwarding process and the routing process should be no more separated , from my point of view ."
"[10:52] mn082 | And to have there a certain kind of intelligent mechanism ,"
[10:55] mn082 | that the packets can be used
[10:57] mn082 | to set up the routes because they have all the information .
[11:00] mn082 | They know where they have to go because IP addresses are still there
[11:03] mn021 | Hmm - hmm - hmm .
"[11:04] mn082 | and within the packet . I mean , how can this use ,"
"[11:06] mn082 | uh , within this area , and how this area is then aligned"
[11:10] mn082 | to the more traditional routing within the
[11:14] mn082 | internet backbone itself .
[11:15] mn082 | That 's my question .
[11:20] mn082 | I 'm not a e xpert at all for this .
"[11:22] mn082 | But I I I believe , there 's a lot of potential for that ."
[11:25] mn082 | And we should discuss it maybe
[11:27] mn021 | OK .
[11:27] mn082 | bilateral afterwards .
[11:28] mn021 | OK .
[11:29] mn082 | Yeah ?
"[11:30] mn082 | So , one more time , everybody"
[11:33] mn082 | should take a look to the web pages
"[11:36] mn082 | and from Claudia , at the general remarks"
[11:38] mn082 | and should write
"[11:40] mn082 | based on the , uh ,"
[11:42] mn082 | headlines in the project proposal
[11:44] mn082 | the
[11:46] mn082 | um
"[11:47] mn082 | things what still happened ,"
[11:49] mn082 | the things what they have still in mind
[11:52] mn082 | uh so that we can update these last @ @ you know @ @ present the last major
[11:57] mn082 | part of the web pages .
[11:59] mn030 | The pages are already on the web ?
[11:59] mn021 | OK .
"[12:01] fn083 | Yeah , yeah ."
"[12:01] mn082 | Yes ,"
[12:01] mn030 | Yeah .
[12:02] fn083 | It is .
"[12:02] mn082 | you can now access it normally with maybe WWW ICSI Berkeley EDU ,"
[12:04] fn083 | So there are some gaps .
[12:04] mn030 | OK .
[12:06] mn030 | Hmm .
[12:07] mn082 | and
[12:08] mn082 | so .
[12:08] mn030 | OK .
"[12:09] fn083 | Yeah , so there are some gaps left and ,"
"[12:11] fn083 | I don't know ,"
[12:11] fn083 | you Maybe you can also read through the all the text which is on the web pages cuz I 'd like to change the text a bit
[12:17] fn083 | cuz
"[12:18] fn083 | sometimes it 's too long , sometimes it 's too short ,"
"[12:21] fn083 | maybe the English is not that good ,"
[12:22] fn083 | so
"[12:23] fn083 | um ,"
[12:25] fn083 | So I tried to do this today
[12:26] fn083 | and
"[12:27] fn083 | if you could do it afterwards it would be really nice cuz I 'm quite sure that I can't find every ,"
"[12:31] fn083 | like , orthographic"
[12:33] fn083 | mistake in it or something .
"[12:33] mn021 | Uh , there there there are couple of comments I I have about the web pages ."
[12:37] fn083 | Good .
"[12:37] mn021 | One is is the , uh , I think it 's Joe 's , uh , graphic , I think it should be better ."
"[12:42] fn083 | Yeah , yeah , yeah , the graphics are too bad ."
[12:42] mn082 | Yeah .
[12:43] mn021 | Maybe you are working at it .
[12:43] fn083 | I know .
[12:43] mn082 | You are definitely right .
"[12:45] mn082 | It was in a good shape , but"
"[12:46] mn021 | OK ,"
"[12:47] mn082 | it , uh , then we disturbed ."
[12:51] fn083 | I can't change
[12:52] fn083 | something with a logo .
"[12:55] mn021 | Maybe we can we can ,"
"[12:57] mn021 | uh ,"
[12:58] mn021 | translate the white color into transparent color
[13:01] mn021 | so it will get more natural .
"[13:02] fn083 | Yeah , OK ."
"[13:03] fn083 | Good ,"
[13:04] fn083 | yeah I ju
[13:04] mn021 | It 's just a suggestion .
[13:05] fn083 | an
[13:05] fn083 | another thing is I 'd want to
[13:07] fn083 | get a link on the logo so that you can
[13:11] mn021 | To the home page .
[13:12] mn021 | OK .
[13:13] mn021 | That 's that 's OK .
[13:13] fn083 | back .
[13:13] fn083 | So .
[13:14] fn083 | That 's these are th
[13:15] fn083 | some things I have to do .
"[13:17] fn083 | Yeah , and if you have something which I should"
"[13:18] fn083 | put on the web page for you , so"
"[13:20] fn083 | yeah , some pictures will be nice , a few sentences will be nice , and"
"[13:24] fn083 | yeah , it"
[13:24] fn083 | depends on how much time you have .
[13:26] fn083 | And then
"[13:29] fn083 | So , some information for"
[13:30] fn083 | people who are
"[13:32] fn083 | new comers or ,"
"[13:33] fn083 | I don't know a good word for it , should we use uh"
"[13:37] fn083 | So , with somebody who is new , arriving here ,"
[13:39] fn083 | or
"[13:41] fn083 | to , uh , send an application ?"
[13:44] mn081 | Newbies .
[13:44] fn083 | S
[13:45] fn083 | Huh ?
[13:46] mn081 | Newbies .
[13:47] fn083 | Newbies ?
"[13:49] fn083 | Yeah , OK ."
"[13:51] fn083 | So , there I have to add some information , I don't know , I t"
[13:54] fn083 | I tried to set up everything by today
"[13:57] fn083 | for this page cuz I 've started with this ,"
"[13:59] fn083 | um , if you have any kind of ideas what was important for you"
[14:03] fn083 | then just let m
[14:04] fn083 | cuz I have some
[14:05] fn083 | points like
[14:08] fn083 | I don't know
"[14:09] fn083 | f yeah , like Pacific Bell , like uh , long - distance carriers , then like uh , cars and car insurances ,"
"[14:18] fn083 | So , health insurance is k something I can only say for German"
[14:20] fn083 | people .
[14:20] mn021 | Hmm - hmm - hmm .
[14:21] fn083 | So maybe
[14:22] fn083 | I don't know if this is different in Spain .
[14:23] fn083 | That would be
"[14:24] fn083 | fine too ,"
"[14:25] fn083 | to have some information , or in D"
[14:25] mn021 | OK .
[14:26] fn083 | nnn
[14:27] mn021 | I
[14:27] fn083 | Holland . I don't know .
[14:28] mn021 | I will take a look and I will tell you something .
"[14:30] fn083 | Yeah , so how maybe how you did it or"
[14:30] mn082 | Mm - hmm .
[14:33] fn083 | whatsoever .
"[14:33] mn082 | OK , I will send you some because I have something in mind ."
[14:34] fn083 | So
"[14:35] fn083 | yeah ,"
[14:36] fn083 | then what else
[14:37] fn083 | did I have ?
[14:37] fn083 | Then
"[14:39] fn083 | another point 's like , uh , what about the bank ,"
"[14:41] fn083 | uh , so , transferring your money from Europe t"
"[14:44] fn083 | over here , what is the cheapest way or what could you recommend or something ."
"[14:51] fn083 | yeah , and then"
[14:53] fn083 | there 's another point like going out in Berkeley or what to do in Berkeley or in
[14:57] fn083 | the
[14:57] fn083 | neighborhood .
"[14:57] mn081 | This a lot of this stuff is not networking group NSA ,"
"[15:01] mn081 | uh , restricted ."
"[15:01] fn083 | No , I know ."
"[15:02] mn082 | Yeah , but nobody do that , you know ."
[15:03] fn083 | I know .
[15:06] fn083 | on the
[15:07] fn083 | ICSI page as far as I know .
"[15:09] mn082 | So ,"
[15:10] mn082 | that 's the point . We discussed it still a couple of weeks or months ago .
"[15:14] mn082 | Uh , the point is normally it is an ICSI task anyway ."
[15:18] mn021 | Mm - hmm .
[15:18] mn081 | M
[15:18] mn082 | But
[15:20] mn082 | Right .
[15:21] mn082 | @ @
"[15:21] mn081 | mmm , I think be , uh , ICSI part , and not network restricted ."
"[15:24] mn021 | Well , th they have uh , a a white booklet ,"
"[15:27] mn082 | Yeah , that is from nineteen ninety - one or nineteen ninety - two , you know ."
[15:30] fn083 | This is not on the web .
"[15:31] mn021 | No , no , no ."
[15:33] mn021 | I I just I
[15:33] mn082 | people
"[15:37] mn021 | In fact the Pacific Bell phone was not working , for example"
[15:41] mn021 | the phone on this booklet it was not working .
[15:43] mn082 | Hmm .
[15:44] mn021 | But the thing is that maybe
[15:48] fn083 | Yeah .
"[15:50] fn083 | I don't know , maybe I talk with Jane about this . If we can"
"[15:53] fn083 | use this information ,"
"[15:54] fn083 | I don't know ,"
[15:55] fn083 | somewhere
[15:56] fn083 | on the ICSI home page too .
"[15:56] mn081 | M move it on the normal ICSI ,"
[15:58] fn083 | Yeah .
[15:59] mn081 | ICSI .
[15:59] fn083 | Maybe .
[16:00] mn082 | We can do that .
[16:03] mn081 | a gro uh
"[16:05] mn082 | Yeah , but the point is that nobody feel responsible for that ."
"[16:09] mn081 | Yeah , but eh but my point is that it should not be under the networking group"
"[16:14] mn082 | Yes ,"
"[16:15] mn082 | Uh , yes , I see there your point ."
[16:16] mn081 | OK .
"[16:16] mn082 | That 's right . But if it is under the networking points , the group leader is responsible to"
"[16:20] mn082 | get up to date information . I believe , we are the group ,"
"[16:23] mn082 | where the people are ,"
"[16:25] mn082 | uh , changing"
[16:26] mn082 | much more faster to join the group and to leave the group as other groups .
[16:28] mn021 | Mm - hmm .
"[16:31] mn082 | And , so , the most problem"
"[16:34] mn082 | as as of ,"
"[16:35] mn082 | uh , it 's likely that uh , the people here in this group needs this information"
"[16:40] mn082 | um , much more f uh , often as as other groups ."
[16:42] mn081 | b
[16:44] mn081 | But that could still be
[16:45] mn081 | applicable if you put it under the ICSI site if you take the responsibility for that .
"[16:51] mn082 | Yes , I see th"
"[16:52] fn083 | Yeah , I talk to Jane about this ."
"[16:52] mn081 | Uh ,"
"[16:53] mn082 | Yeah , but we we can do that ."
[16:53] mn081 | So I think th I think both arguments are not an ar
[16:55] mn081 | are arguments against having this under the normal ICSI page .
"[17:00] mn081 | Or only the networking , uh , page ."
"[17:04] mn035 | But the problem is , are you allowed to change anything on the"
[17:04] mn081 | Yeah .
[17:08] mn035 | general ICSI server ?
"[17:09] fn083 | No , this is why I have to talk to Jane ."
[17:10] mn035 | Yeah .
[17:11] mn035 | So you may need just a link from the main ICSI page to the NSA page .
"[17:12] mn082 | We have the we have the directory structure ,"
[17:15] mn082 | of the real UNIX tree .
[17:18] mn082 | in compliance and in accordance
[17:21] mn082 | with the structure of the web pages .
"[17:24] mn082 | And , um , that means , uh ,"
[17:28] mn082 | the group leader normally do not have access to the general web pages .
[17:32] mn082 | He has access to the N S A pages .
"[17:34] mn082 | And , um ,"
[17:36] mn082 | but I think that 's an administration problem and that everybody agrees that the information
[17:40] mn082 | page must be
"[17:42] mn082 | on the general , on the highest level ."
"[17:45] mn082 | OK , I have no problem with that ."
"[17:47] mn030 | But , uh"
"[17:48] mn030 | your argument is , uh , I think it"
[17:49] mn035 | Yeah .
[17:51] mn030 | we have to
[17:52] mn030 | have the right to change it .
[17:54] mn030 | So if there 's anything changing in
"[17:57] mn030 | something like that ,"
[17:59] mn030 | that we have access
[18:00] mn030 | to this
[18:02] mn081 | Yeah .
[18:03] mn030 | to chan to make any changes .
"[18:06] fn083 | I mean , if y you are coming from Germany and you know that there is something changed with the health insurance , then you send Jane an email like "" Could you please change this , blah - blah - blah . """
"[18:13] mn030 | Yeah , but it 's much more complicated ."
"[18:14] mn035 | Yeah , but that 's that 's"
[18:15] mn035 | effort .
"[18:16] mn035 | That 's the whole problem , that nobody wants to do it ."
[18:16] mn030 | Yeah .
[18:19] mn082 | Yeah .
"[18:19] fn083 | Yeah , OK ."
[18:19] mn082 | You know how it you know the process here within the NSA group .
[18:23] fn083 | Yes .
[18:24] mn082 | And and that was a reason I we finally decided
[18:27] mn082 | here
"[18:28] mn082 | that we put it information on the N S A page , we have discuss dis this discussed still a couple of months ago ago ."
[18:32] mn030 | I think
[18:33] mn030 | the best solution is really to put a link on the
[18:36] mn081 | Yeah .
[18:37] mn030 | ICSI page
[18:38] mn035 | Yep .
[18:38] mn030 | to this
[18:39] mn030 | stuff .
"[18:40] mn030 | And the stuff itself is , uh ,"
[18:43] mn030 | located at our server .
[18:46] mn082 | In our directory .
"[18:47] mn030 | Yeah ,"
"[18:47] mn030 | in our directory ,"
[18:47] mn082 | Yeah .
[18:48] mn030 | yeah .
"[18:48] mn082 | Yeah , we can do that . We then create a link and then we have to ask with Jane , OK ?"
"[18:48] fn083 | Yes , also fine ."
[18:52] fn083 | Yeah . Another point is I want I want to would like to add
"[18:56] fn083 | a another button , something which is called like "" events "" or ,"
"[19:00] fn083 | I don't know ,"
"[19:01] fn083 | yeah , I guess I call it "" events "" like"
[19:01] mn021 | Hmm ?
[19:03] fn083 | where we could s
"[19:03] fn083 | uh ,"
"[19:04] fn083 | announce talks which are ,"
"[19:07] fn083 | you know ,"
"[19:12] fn083 | for instance the two workshops which have going on ,"
"[19:15] fn083 | uh ,"
"[19:16] fn083 | last summer ,"
"[19:17] fn083 | so ,"
"[19:17] fn083 | Hannes ' workshop and then the workshop from Oliver ,"
"[19:21] fn083 | that there might be a link behind these workshops and or former talks we have ,"
[19:25] fn083 | so like from people who have been here before
"[19:27] fn083 | and he wants to , uh , publish their slides , or an article , or whatsoever , behind there ."
"[19:33] fn083 | So , that we have like a button for events which are where"
"[19:37] fn083 | workshops can be announced or old workshops could could be , um ,"
[19:41] fn083 | shown or
[19:42] mn021 | Mm - hmm .
[19:42] fn083 | whatever .
"[19:43] mn082 | Of course that is a living thing . I think it 's a good idea ,"
[19:45] mn082 | not only that the workshop was a talk announce because they are still announce it is a broader sense .
"[19:51] mn082 | Eh , but I think the idea from Claudia is very good ,"
[19:54] mn082 | that
[19:54] mn082 | the slides
"[19:56] mn082 | from the talks here , if it 's worth to have it on the web , anyway"
"[20:00] mn082 | um , should be published in that way that the people can access it ."
[20:03] mn021 | Mm - hmm .
[20:04] mn082 | For instance I have my USAIA slides .
[20:06] mn082 | maybe
"[20:07] mn021 | Yeah , that 's OK , too ."
[20:07] mn082 | if
[20:08] mn082 | some
[20:09] mn082 | things and is going on maybe you have some Multicast slides concerning your work at IGMP and
[20:15] mn082 | uh
"[20:17] mn082 | and if we have some talks from EXTERM ,"
"[20:20] mn082 | and we had some in the past ,"
[20:23] mn082 | we can also put the slides on on
[20:25] mn082 | these things because then they 're still cau
"[20:27] mn082 | still a growing context for us , opportunity for the people you know there ,"
"[20:31] mn082 | "" Oh , this guy did something there ,"
[20:33] mn082 | maybe I can contact him and ask him
"[20:35] mn082 | would you like to do something , contribute , whatever . """
[20:35] mn021 | Hmm - hmm - hmm .
"[20:38] mn082 | Uh , so"
[20:42] mn082 | to have this event page because
[20:44] mn082 | it 's not
"[20:44] mn082 | a big deal ,"
"[20:46] fn083 | No , it 's easy to to add it ,"
[20:48] fn083 | I mean .
"[20:48] mn082 | Nah , OK . If there are no events , then there are no events . But we still have a few which happened in the last year"
"[20:50] fn083 | Yeah , yeah ."
"[20:54] mn082 | and OK , then it is a growing thing but it 's done automatically that the group leader"
"[20:59] mn082 | or the group , uh , put some things eh , also on the web ."
[21:04] mn082 | Something in the center pipe .
[21:07] mn082 | Yeah ?
[21:08] mn082 | Everybody agree ?
"[21:10] mn030 | Um , I don't know . Maybe it could be a good thing"
[21:10] mn021 | OK .
[21:14] mn030 | if we have such an event button
"[21:16] mn030 | that , um ,"
[21:17] mn030 | somewhere beneath this button or
"[21:20] mn030 | wherever ,"
"[21:21] mn030 | that there 's a date ,"
[21:23] mn030 | when the last update was .
[21:25] mn030 | So that you know
[21:26] mn030 | it 's worth to
[21:27] mn030 | click this button
"[21:28] mn030 | to see there 's a new , um ,"
[21:30] mn030 | announcement or not .
"[21:33] fn083 | Yeah , OK ."
"[21:33] mn030 | S So otherwise , you are"
[21:35] mn030 | often clicking this button and you
[21:37] mn030 | get your old information or even an uh empty page .
[21:40] fn083 | Yeah but this will be then
[21:42] fn083 | down on the button of the page anyways .
"[21:44] mn082 | Yeah , maybe we can have "" updated on "" ,"
[21:44] mn030 | So
[21:46] mn082 | you know the button itself ?
"[21:47] mn030 | Yeah , something like that ."
"[21:48] mn082 | And then , "" updated """
"[21:50] mn030 | "" Last updated "" ,"
"[21:50] mn082 | and the current date ,"
[21:51] mn030 | yeah .
[21:51] mn082 | when when something happened .
[21:53] mn082 | I don't know how we deal with that .
[21:53] fn083 | Yep .
[21:54] mn082 | Is it another thing we have to ?
[21:55] fn083 | Yep .
[21:56] mn030 | So it 's just a su suggestion I don't know how
[21:59] mn030 | easy it is to to implement something like that .
[22:02] mn082 | Yeah .
[22:02] fn083 | Huh ! OK .
[22:03] mn082 | OK you Well .
[22:06] mn082 | Let 's consider
[22:16] mn082 | OK .
"[22:18] mn082 | So , and then the next point"
"[22:21] mn082 | and , I believe , yeah ,"
"[22:28] mn082 | not the last one ,"
[22:29] mn082 | @ @
[22:30] mn082 | is one that I would like to know the status as far it is possible from everybody
[22:36] mn082 | concerning his
[22:37] mn082 | future intention here
[22:39] mn082 | at ICSI or whether e when he will leave whether he can
"[22:42] mn082 | contri or will he consider currently ,"
"[22:44] mn082 | uh , contribute here to the proposal"
"[22:47] mn082 | because you know , I 've I 'm facing the problem ,"
