[01:32] fe016 | Oh .
[03:15] me011 | of these particular ones .
[03:16] me018 | Great .
"[03:18] me013 | So , I 'm impressed by what we could do ,"
"[03:19] me013 | Is take the standard training set for TI - digits , train up with whatever , you know ,"
"[03:24] me013 | great features we think we have , uh for instance ,"
[03:27] me013 | and then test on uh this test set .
"[03:29] me013 | And presumably uh it should do reasonably well on that , and then , presumably , we should go to the distant mike , and it should do poorly ."
[03:34] me018 | Yeah .
[03:37] me011 | Right .
"[03:38] me013 | And then we should get really smart over the next year or two , and it that should get better ."
"[03:42] me013 | Yeah ,"
[03:44] me013 | Yeah .
"[03:45] me011 | Um , but ,"
[03:46] me011 | in order to do that we need to extract out the actual digits .
[03:49] me013 | Right .
"[03:50] me011 | Um ,"
"[03:50] me011 | so that the reason it 's not just a transcript is that there 're false starts , and misreads , and miscues and things like that ."
"[03:57] me011 | And so I have a set of scripts and X Waves where you just select the portion ,"
"[04:00] me011 | hit R ,"
"[04:02] me011 | um , it tells you what the next one should be ,"
[04:04] me011 | and you just look for that .
"[04:05] me011 | You know , so it it 'll put on the screen ,"
"[04:07] me011 | "" The next set is six nine ,"
"[04:08] me011 | nine two two "" ."
"[04:10] me011 | And you find that ,"
"[04:11] me011 | and ,"
[04:11] me011 | hit the key and it records it in a file in a particular format .
"[04:15] me011 | the question is , should we have the transcribers do that or should we just do it ?"
"[04:18] me011 | Well , some of us . I 've been do I 've done ,"
"[04:21] me011 | eight meetings , something like that ,"
[04:22] me011 | just by hand .
"[04:24] me011 | Just myself , rather ."
[04:27] me011 | So it will not take long .
"[04:30] me013 | Uh , what what do you think ?"
"[04:31] fe008 | My feeling is that we discussed this right before coffee and I think it 's a it 's a fine idea partly because , um , it 's not un unrelated to their present skill set ,"
"[04:40] fe008 | but it will add , for them , an extra dimension , it might be an interesting break for them . And also it is contributing to the , uh ,"
"[04:47] fe008 | c composition of the transcript cuz we can incorporate those numbers directly and it 'll be a more complete transcript . So I 'm I think it 's fine , that part ."
[04:53] me013 | So you think it 's fine to have the transcribers do it ?
[04:55] fe008 | Mm - hmm .
"[04:56] me013 | Yeah , OK ."
"[04:56] me011 | There 's one other small bit , which is just entering the information which at s which is at the top of this form ,"
[04:57] me018 | Good .
"[05:01] me011 | onto the computer ,"
[05:02] me011 | to go along with the where the digits are recorded automatically .
[05:03] me013 | Yeah .
"[05:06] me011 | And so it 's just ,"
"[05:06] me011 | you know , typing in name , times time , date , and so on ."
"[05:10] me011 | Um , which again either they can do ,"
"[05:12] me011 | but it is , you know ,"
"[05:14] me011 | firing up an editor ,"
"[05:15] me011 | or ,"
"[05:16] me011 | again , I can do ."
[05:17] me011 | Or someone else can do .
"[05:18] fe008 | And , that , you know , I 'm not ,"
"[05:20] fe008 | that that one I 'm not so sure if it 's into the the ,"
"[05:24] fe008 | things that ,"
"[05:25] fe008 | I ,"
"[05:25] fe008 | wanted to use the hours for , because the ,"
[05:27] fe008 | the time that they 'd be spending doing that they wouldn't be able to be putting more words on .
[05:31] me013 | Mmm .
[05:32] me018 | So are these two separate tasks that can happen ?
"[05:37] me011 | you have to enter the data before ,"
"[05:39] me011 | you do the second task , but they don't have to happen at the same time ."
"[05:43] me011 | So it 's it 's just I have a file whi which has this information on it ,"
[05:43] me018 | OK .
"[05:46] me011 | and then when you start using my scripts ,"
"[05:49] me011 | for extracting the times ,"
[05:50] me011 | it adds the times at the bottom of the file .
"[05:53] me011 | And so , um ,"
"[05:55] me011 | I mean , it 's easy to create the files and leave them blank , and so actually we could do it in either order ."
"[05:59] me018 | Oh , OK ."
"[05:59] me011 | Um ,"
"[06:00] me011 | it 's it 's sort of nice to have the same person do it just as a double - check ,"
[06:04] me011 | to make sure you 're entering for the right person .
"[06:06] me011 | But ,"
[06:08] me011 | either way .
[06:09] me013 | Yeah .
"[06:10] me013 | Yeah just by way of uh , uh , a uh ,"
"[06:14] me013 | order of magnitude , uh ,"
"[06:16] me013 | um , we 've been working with this Aurora , uh data set ."
"[06:20] me013 | And , uh , the best score ,"
"[06:23] me013 | on the ,"
"[06:24] me013 | nicest part of the data , that is , where you 've got training and test set that are basically the same kinds of noise and so forth ,"
"[06:34] me013 | I think the best score was something like five percent ,"
"[06:37] me013 | uh , error , per digit ."
[06:40] me011 | Per digit .
"[06:41] me013 | You 're right . So if you were doing ten digit ,"
"[06:44] me013 | uh , recognition , you would really be in trouble ."
[06:48] me018 | Mm - hmm .
"[06:55] me013 | real situation , well , "" real "" ,"
"[06:57] me013 | Um , the uh there 's one microphone that 's close , that they have as as this sort of thing , close versus distant ."
"[07:04] me013 | Uh but in a car , instead of instead of having a projector noise it 's it 's car noise ."
[07:09] me013 | Uh but it wasn't artificially added to get some some artificial signal - to - noise ratio . It was just people driving around in a car .
"[07:16] me013 | So , that 's that 's an indication , uh that was with ,"
"[07:19] me013 | many sites competing , and this was the very best score and so forth , so ."
"[07:23] me018 | Although the models weren't ,"
[07:23] me013 | More typical numbers like
"[07:25] me018 | that good , right ? I mean ,"
[07:27] me018 | the models are pretty crappy ?
"[07:28] me013 | You 're right . I think that we could have done better on the models , but the thing is that we got this this is the kind of typical number ,"
"[07:35] me013 | for all of the , uh , uh ,"
"[07:38] me013 | things in this task , all of the , um ,"
[07:40] me013 | languages .
"[07:41] me013 | And so I I think we 'd probably the models would be better in some than in others . Um ,"
[07:45] me018 | Hmm .
"[07:46] me013 | so , uh ."
"[07:47] me013 | Anyway , just an indication once you get into this kind of realm even if you 're looking at connected digits it can be pretty hard ."
[07:54] fe008 | Hmm .
"[07:55] fe008 | It 's gonna be fun to see how we ,"
[07:57] fe008 | compare at this .
[07:58] me013 | Yeah .
[07:58] fe008 | Very exciting .
"[07:58] me011 | Well the prosodics are so much different s it 's gonna be ,"
[08:01] me011 | strange .
"[08:03] me011 | I mean the prosodics are not the same as TI - digits , for example ."
[08:06] me013 | Yeah .
[08:06] me011 | So I 'm I 'm not sure how much of effect that will have .
"[08:08] fe016 | What do you mean , the prosodics ?"
"[08:10] me011 | Um , just what we were talking about with grouping ."
"[08:12] me011 | That with these , the grouping ,"
[08:16] me011 | the only sort of
[08:18] me011 | discontinuity you have is at the beginning and the end .
"[08:20] fe016 | So what are they doing in Aurora , are they reading actual phone numbers , or ,"
[08:22] me011 | Aurora I don't know .
[08:24] me011 | I don't know what they do in Aurora .
"[08:26] me013 | Uh , I 'm not sure how no , no I mean it 's connected it 's connected , uh ,"
[08:29] fe016 | Connected .
"[08:30] me013 | digits , yeah ."
[08:31] me013 | But .
[08:34] fe016 | the cross - word modeling is probably quite different .
[08:35] me011 | Right .
"[08:36] me011 | But in TI - digits ,"
[08:36] me018 | H
"[08:38] me011 | they 're reading things like zip codes and phone numbers and things like that , so it 's gonna be different ."
[08:41] fe016 | Right .
[08:41] me018 | How do we do on TI - digits ?
"[08:44] me011 | I don't remember . I mean , very good , right ?"
"[08:46] me013 | Yeah , I mean we were in the ."
"[08:47] me011 | One and a half percent , two percent , something like that ?"
"[08:48] me013 | Uh , I th no I think we got under a percent , but it was but it 's but I mean ."
[08:51] me011 | Oh really ? OK .
[08:52] fe008 | s
"[08:52] me013 | The very best system that I saw in the literature was a point two five percent or something that somebody had at at Bell Labs , or ."
[08:59] me011 | Alright .
"[08:59] me013 | Uh , but ."
[08:59] me018 | Hmm .
"[09:00] me013 | But , uh , sort of pulling out all the stops . But I think a lot of systems sort of get half a percent , or three - quarters a percent , and we 're we 're in there somewhere ."
[09:05] me011 | Right .
"[09:07] me011 | But that I mean it 's really it 's it 's close - talking mikes , no noise , clean signal ,"
"[09:12] me011 | just digits , I mean ,"
[09:13] me013 | Yeah .
[09:13] me011 | every everything is good .
[09:13] fe016 | It 's the beginning of time in speech recognition .
"[09:15] me011 | Yes , exactly ."
[09:18] me013 | Yeah .
[09:18] me011 | And we 've only recently got it to anywhere near human .
"[09:19] fe016 | It 's like the ,"
"[09:20] fe016 | single cell ,"
[09:20] me018 | Pre -
"[09:22] fe016 | you know ,"
"[09:23] fe016 | it 's the beginning of life , yeah ."
[09:27] fe016 | Right .
[09:28] me013 | Yeah .
[09:28] me011 | So .
"[09:29] me013 | When When they 're wide awake , yeah ."
[09:30] me011 | Yeah .
"[09:31] me013 | Um , after coffee , you 're right ."
[09:31] me011 | After coffee .
[09:34] me013 | Not after lunch .
"[09:35] me011 | OK , so , um ,"
"[09:36] me011 | what I 'll do then is I 'll go ahead and enter ,"
[09:39] me011 | this data .
"[09:41] me011 | And then , hand off to Jane ,"
[09:43] me011 | and the transcribers to do the actual extraction of the digits .
[09:44] me013 | Yeah .
[09:46] me013 | Yeah .
"[09:48] me013 | that I mean , we wouldn't know the answer to now but might ,"
[09:50] me011 | Hmm .
"[09:51] me013 | do some guessing , but I was talking before about doing some model modeling of arti uh ,"
"[09:55] me013 | uh , marking of articulatory ,"
"[09:57] me013 | features ,"
[09:58] me013 | with overlap and so on .
"[09:59] me013 | And ,"
"[10:00] me013 | and ,"
"[10:01] me013 | um ,"
[10:02] me013 | On some subset .
"[10:03] me013 | One thought might be to do this uh , on on the digits , or some piece of the digits . Uh , it 'd be easier ,"
"[10:09] me013 | uh , and so forth . The only thing is I 'm a little concerned that maybe the kind of phenomena ,"
[10:13] me013 | in w i i
"[10:14] me013 | The reason for doing it is because the the argument is that certainly with conversational speech , the stuff that we 've looked at here before ,"
"[10:22] me013 | um , just doing the simple mapping ,"
"[10:25] me013 | from , um ,"
"[10:26] me013 | the phone ,"
"[10:28] me013 | to the corresponding features that you could look up in a book ,"
"[10:31] me013 | uh , isn't right ."
"[10:32] me013 | It isn't actually right . In fact there 's these overlapping processes where some voicing some up and then some , you know ,"
"[10:37] me013 | some nasality is comes in here , and so forth . And you do this gross thing saying "" Well I guess it 's this phone starting there "" ."
"[10:44] me013 | So ,"
"[10:44] me013 | uh , that 's the reasoning . But ,"
"[10:46] me013 | It could be that when we 're reading digits , because it 's it 's for such a limited set ,"
[10:51] me013 | maybe that phenomenon doesn't occur as much . I don't know .
[10:54] fe008 | @ @ .
"[10:56] fe008 | It s strikes me that there are more each of them is more informative because it 's so ,"
[10:57] me013 | Mm - hmm .
"[11:01] fe008 | random , and that people might articulate more , and you that might end up with more a closer correspondence ."
[11:06] me013 | Yeah .
[11:09] fe008 | Mm - hmm .
[11:09] me013 | Yeah .
"[11:10] fe016 | Well it 's definitely true that , when people are ,"
"[11:13] fe016 | reading ,"
"[11:14] fe016 | even if they 're re - reading what ,"
"[11:16] fe016 | they had said spontaneously , that they have very different patterns . Mitch showed that , and some ,"
[11:20] me013 | Right .
[11:21] fe016 | dissertations have shown that .
"[11:23] fe016 | So the fact that they 're reading , first of all , whether they 're reading in a room of ,"
"[11:27] fe016 | people , or rea you know , just the fact that they 're reading will make a difference ."
[11:30] me013 | Yeah .
"[11:31] fe016 | And ,"
[11:31] fe016 | depends what you 're interested in .
"[11:33] me011 | Would ,"
[11:34] me011 | this corpus really be the right one to even try that on ?
"[11:37] me013 | See , I don't know . So , may maybe the thing will be do to take some very small subset ,"
"[11:41] me013 | I mean not have a big ,"
"[11:42] me013 | program , but take a small set ,"
"[11:43] me013 | uh , subset of the conversational speech and a small subset of the digits ,"
[11:48] me013 | and look
[11:48] me013 | and and just get a feeling for it .
"[11:50] me013 | Um , just take a look ."
[11:52] me013 | Really .
[11:53] fe008 | H
"[11:53] me013 | Cuz I don't think anybody is , I at least , I don't know ,"
"[11:56] me013 | of anybody , uh ,"
"[11:58] me013 | well , I don't know ,"
"[11:59] fe008 | That could could be an interesting design , too , cuz then you 'd have the com the comparison of the ,"
[12:00] me013 | the answers .
[12:01] me018 | Hey .
"[12:03] fe008 | uh , predictable speech versus the less predictable speech and maybe you 'd find that it worked in ,"
[12:05] me013 | Yeah .
"[12:07] fe008 | in the ,"
"[12:08] fe008 | case of the pr of the , uh , non - predictable ."
[12:08] me013 | Yeah .
"[12:09] me018 | Hafta think about ,"
"[12:10] me018 | the particular acoustic features to mark , too , because ,"
[12:13] me013 | Mm - hmm .
"[12:13] me018 | I mean , some things ,"
"[12:15] me018 | they wouldn't be able to mark , like ,"
"[12:16] me018 | uh ,"
"[12:17] me018 | you know , uh , tense lax ."
[12:19] me018 | Some things are really difficult .
"[12:21] me018 | You know ,"
[12:22] me018 | just listening .
"[12:22] me011 | M I think we can get Ohala in to ,"
[12:22] fe008 | Well .
[12:24] me011 | give us some advice on that .
[12:25] me018 | Yeah .
"[12:29] me013 | Yeah , but I I I I was ,"
"[12:31] me013 | like he said , I was gonna bring John in and ask John what he thought ."
"[12:32] fe008 | Yeah , sure ."
[12:34] fe008 | Sure .
[12:34] fe008 | Yeah .
[12:35] me013 | Right .
[12:35] me013 | But I mean you want you want it be restrictive but you also want it to to to have coverage .
[12:39] me011 | Right .
[12:39] me013 | You know i you should .
"[12:40] me013 | It should be such that if you ,"
"[12:42] me013 | if you , uh ,"
"[12:43] me013 | if you had o um ,"
"[12:45] me013 | all of the features ,"
"[12:46] me013 | determined that you that you were uh ch have chosen ,"
"[12:49] me013 | that that would tell you ,"
"[12:51] me013 | uh ,"
"[12:51] me013 | in the steady - state case , uh , the phone ."
"[12:54] me013 | So ,"
[12:55] me013 | um .
[12:55] fe008 | OK .
"[12:56] me011 | Even ,"
"[12:56] me011 | I guess with vowels that would be pretty hard ,"
[12:58] me011 | wouldn't it ?
"[13:02] me011 | To identify actually , you know , which one it is ?"
"[13:05] fe008 | It would seem to me that the points of articulation would be m more ,"
"[13:10] fe008 | g uh , I mean that 's I think about articulatory features , I think about ,"
"[13:13] fe008 | points of articulation , which means ,"
"[13:15] fe008 | uh , rather than vowels ."
[13:15] me011 | Yeah .
[13:17] me018 | Points of articulation ? What do you mean ?
"[13:19] fe008 | So , is it , uh , bilabial or dental or is it , you know ,"
[13:23] fe008 | palatal .
[13:23] me013 | Mm - hmm .
[13:24] fe008 | Which which are all like where where your tongue comes to rest .
[13:25] me011 | Uvular .
[13:26] me018 | Place of ar place of articulation .
"[13:26] me013 | Place , place ."
"[13:27] fe008 | Place . Thank you , what whatev whatever I s said , that 's I really meant place ."
[13:27] me013 | Yeah .
[13:28] me018 | OK .
[13:30] me013 | Yeah .
"[13:30] me018 | OK , I see ."
[13:31] me013 | Yeah .
"[13:32] me013 | OK we got our jargon then , OK ."
[13:33] fe008 | Yeah .
[13:34] me013 | Uh .
"[13:35] fe016 | Well it 's also , there 's ,"
"[13:37] fe016 | really a difference between ,"
"[13:39] fe016 | the pronunciation models in the dictionary , and ,"
[13:41] fe016 | the pronunciations that people produce .
"[13:43] fe016 | And , so ,"
"[13:44] fe016 | You get ,"
[13:47] me013 | Right .
"[13:47] fe016 | on the labeling and it really ,"
[13:47] me011 | Right .
"[13:50] fe016 | I actually think that data should be used more . That maybe ,"
"[13:54] fe016 | although I think the meeting context is great , that he has transcriptions that give you the actual phone sequence ."
"[14:02] fe016 | not from that to the articulatory features , but that would be a better starting point for marking ,"
"[14:07] fe016 | the gestural features , then ,"
"[14:09] fe016 | data where you don't have that , because ,"
"[14:12] fe016 | we you wanna know ,"
"[14:14] fe016 | both about the way that they 're producing a certain sound ,"
"[14:17] fe016 | and what kinds of ,"
"[14:19] fe016 | you know what kinds of ,"
"[14:21] fe016 | phonemic ,"
"[14:22] fe016 | differences you get between these ,"
"[14:24] fe016 | transcribed ,"
[14:25] fe016 | sequences and the dictionary ones .
"[14:27] me013 | Well you might be right that mi might be the way at getting at ,"
"[14:30] me013 | what I was talking about ,"
"[14:31] me013 | but the particular reason why I was interested in doing that was because I remember ,"
"[14:35] me013 | when that happened , and ,"
[14:37] me013 | John Ohala was over here and he was looking at the spectrograms of the more difficult ones .
"[14:42] me013 | Uh , he didn't know what to say ,"
"[14:45] me013 | about ,"
[14:46] me013 | what is the sequence of phones there .
[14:48] me013 | They came up with some compromise .
[14:50] me013 | Because that really wasn't what it look like . It didn't look like a sequence of phones it look like this blending thing happening here and here and here .
[14:51] fe016 | Right .
[14:52] me011 | Right .
[14:55] fe016 | Right .
"[14:55] me011 | Yeah , so you have this feature here , and ,"
[14:56] me018 | There was no name for that .
[14:57] me013 | Yeah .
"[14:57] me011 | overlap , yeah ."
[14:58] me013 | Yeah .
"[15:01] fe016 | you know , one is going from a dictionary pronunciation of something ,"
[15:04] me013 | Right .
"[15:04] fe016 | like ,"
"[15:06] fe016 | "" gonna see you tomorrow "" , it could be "" going to "" or "" gonna "" or "" gonta s "" you know ."
[15:06] me013 | Yeah .
[15:10] me013 | Right .
"[15:10] fe016 | And ,"
"[15:12] fe016 | "" Gonna see you tomorrow "" , uh ,"
"[15:13] fe016 | "" guh see you tomorrow "" ."
"[15:14] fe016 | And ,"
"[15:15] fe016 | that it would be nice to have these ,"
"[15:17] fe016 | intermediate , or these some these reduced pronunciations that those transcribers had marked or to have people mark those as well ."
[15:20] me013 | Mm - hmm .
"[15:24] fe016 | Because , it 's not ,"
"[15:25] fe016 | um ,"
"[15:26] fe016 | that easy to go from the ,"
"[15:28] fe016 | dictionary ,"
"[15:30] fe016 | word pronuncia the dictionary phone pronunciation ,"
"[15:33] fe016 | to the gestural one without this intermediate or a syllable level kind of ,"
[15:37] fe016 | representation .
"[15:37] me011 | Well I don't think Morgan 's suggesting that we do that , though ."
"[15:38] me013 | Do you mean ,"
[15:40] mn014 | Yeah .
"[15:40] me013 | Yeah , I mean , I I I 'm jus at the moment of course we 're just talking about what ,"
[15:44] me013 | to provide as a tool for people to do research who have different ideas about how to do it .
"[15:48] me013 | So for instance ,"
"[15:49] me013 | you might have someone who just has a wor has words with states ,"
"[15:52] me013 | and has uh uh ,"
[15:54] me013 | comes from articulatory gestures to that .
"[15:56] me013 | And someone else ,"
[15:57] me013 | might actually want some phonetic uh intermediate thing .
[16:00] me013 | So I think it would be be best to have all of it if we could .
"[16:04] me013 | But um ,"
[16:05] me013 | Yeah .
"[16:05] me011 | What I 'm imagining is a score - like notation ,"
[16:08] me011 | where each line is a particular feature .
"[16:10] me011 | Right , so you would say , you know , it 's voiced through here , and so you have label here , and you have nas nasal here , and ,"
[16:11] me013 | Yeah .
[16:16] me011 | they they could be overlapping in all sorts of bizarre ways that don't correspond to the timing on phones .
"[16:21] me013 | I mean this is the kind of reason why I remember when at one of the Switchboard ,"
"[16:24] me013 | workshops , that uh when we talked about doing the transcription project ,"
"[16:29] me013 | Dave Talkin said , "" can't be done "" ."
[16:31] me011 | Right .
"[16:31] me013 | He was he was , what what he meant was that this isn't ,"
"[16:35] me013 | you know , a sequence of phones , and when you actually look at Switchboard that 's ,"
"[16:38] me013 | not what you see , and , you know ."
"[16:38] me011 | And in in fact the inter - annotator agreement was not that good , right ?"
[16:39] me013 | And .
[16:43] me011 | On the harder ones ?
"[16:44] me013 | It , yeah I mean it was"
"[16:45] fe016 | It depends how you look at it , and I I understand what you 're saying about this ,"
[16:49] me013 | Yeah .
"[16:49] fe016 | kind of transcription exactly , because I 've seen you know , where does the voicing bar start and so forth ."
[16:52] me013 | Yeah .
"[16:54] fe016 | All I 'm saying is that ,"
"[16:58] fe016 | the transcription of what was really said , and which syllables were reduced ."
"[17:03] fe016 | Uh , if you 're gonna add the features it 's also useful to have some level of representation which is ,"
"[17:10] fe016 | it 's a pronunciation variant ,"
"[17:12] fe016 | that currently the dictionaries don't give you because if you add them to the dictionary and you run recognition , you ,"
[17:13] me013 | Mm - hmm .
[17:17] me013 | Right .
[17:17] fe016 | you add confusion .
[17:18] fe016 | So people purposely don't add them .
[17:18] me013 | Right .
"[17:24] fe016 | was produced , at least at the phone level ."
"[17:25] me018 | So it would be it would be great if we had ,"
"[17:27] me018 | either these kind of ,"
"[17:29] me018 | labelings on ,"
"[17:31] me018 | the same portion of Switchboard that Steve marked , or ,"
"[17:34] me018 | Steve 's type markings on this data ,"
[17:35] fe016 | Right .
"[17:35] fe016 | That 's all , I mean ."
[17:36] fe016 | Exactly .
[17:36] me018 | with these .
[17:37] me013 | Yeah .
[17:37] fe016 | Exactly .
"[17:38] me013 | Yeah , no I I don't disagree with that ."
"[17:38] fe016 | And Steve 's type is fairly it 's not that slow ,"
"[17:41] fe016 | uh ,"
"[17:42] fe016 | uh , I dunno exactly what the ,"
"[17:44] fe016 | timing was , but ."
"[17:44] me013 | Yeah u I don't disagree with it the on the only thing is that ,"
"[17:47] me013 | What you actually will end en end up with is something ,"
"[17:49] me013 | i it 's all compromised , right , so ,"
"[17:51] me013 | the string that you end up with isn't ,"
"[17:54] me013 | actually ,"
[17:55] me013 | what happened .
[17:56] me013 | But it 's it 's the best compromise that a group of people scratching their heads could come up with to describe what happened .
[18:01] fe016 | Mm - hmm .
"[18:01] me018 | And it 's more accurate than ,"
[18:02] me013 | But .
"[18:03] me013 | And it 's more accurate than the than the dictionary or ,"
[18:03] me018 | phone labels .
[18:05] me018 | Yeah .
"[18:06] me013 | if you 've got a pronunciation uh lexicon that has three or four , this might be have been the fifth one that you tr that you pruned or whatever , so sure ."
"[18:11] me018 | So it 's like a continuum . It 's you 're going all the way down , yeah ."
[18:11] fe016 | Right .
[18:12] fe016 | Right .
[18:12] fe016 | Right .
"[18:13] fe016 | That 's what I meant is an and in some places it would fill in ,"
[18:13] me013 | Yeah .
[18:14] me013 | Yeah .
[18:17] fe016 | So the kinds of gestural features are not everywhere .
[18:19] me018 | Right .
"[18:19] fe016 | So there are some things that you don't have access to either from your ear or the spectrogram ,"
[18:23] me018 | Mm - hmm .
"[18:26] fe016 | all you can say . And then there are other cases where ,"
[18:26] me018 | Right .
"[18:28] me018 | It 's basically just having ,"
"[18:31] me018 | of ,"
"[18:31] me018 | information and marking ,"
[18:33] me018 | on the signal .
"[18:33] me011 | Well the other difference is that the the features ,"
"[18:36] me011 | are not synchronous , right . They overlap each other in weird ways ."
[18:38] me018 | Mm - hmm .
[18:39] me018 | Mm - hmm .
[18:40] me011 | So it 's not a strictly one - dimensional signal .
[18:42] me013 | Right .
[18:42] me011 | So I think that 's sorta qualitatively different .
"[18:43] fe016 | Right . You can add the features in ,"
"[18:46] fe016 | uh , but it 'll be underspecified . Th - there 'll be no way for you to actually mark what was said completely by features ."
[18:46] fe008 | Hmm .
"[18:52] me011 | Well not with our current system but you could imagine designing a system ,"
"[18:56] me011 | that the states were features , rather than phones ."
"[19:00] fe016 | Well ,"
"[19:00] fe016 | we we 've probably have a separate ,"
"[19:02] fe016 | um ,"
"[19:03] fe016 | discussion of , uh of whether you can do that ."
"[19:03] fe008 | Well , isn't that I thought that was ,"
[19:05] fe008 | well but that wasn't that kinda the direction ? I thought
"[19:07] me013 | Yeah , so I mean , what ,"
"[19:08] me013 | what where this is , I mean ,"
"[19:10] me013 | I I want would like to have something that 's useful to people other than those who are doing the specific kind of research I have in mind ,"
"[19:15] me013 | so it should be something broader . But ,"
"[19:17] me013 | The but uh where I 'm coming from is , uh ,"
"[19:20] me013 | we 're coming off of stuff that Larry Saul did with with , um ,"
"[19:25] me013 | uh , John Dalan and Muzim Rahim in which , uh , they ,"
"[19:29] me013 | uh , have , um ,"
"[19:31] me013 | a m a multi - band system that is , uh , trained through a combination of gradient learning an and EM ,"
"[19:38] me013 | to um ,"
"[19:39] me013 | estimate , uh ,"
"[19:41] me013 | the ,"
"[19:42] me013 | uh , value for m for for a particular feature ."
[19:45] me013 | OK .
"[19:46] me013 | And this is part of a larger ,"
"[19:48] me013 | image that John Dalan has about how the human brain does it in which he 's sort of imagining that ,"
"[19:52] me013 | individual frequency channels are coming up with their own estimate ,"
"[19:56] me013 | of of these ,"
"[19:57] me013 | these kinds of something like this . Might not be , you know , exact features that ,"
"[20:00] me013 | Jakobson thought of or something . But I mean you know some ,"
[20:02] me013 | something like that .
"[20:03] me013 | Some kind of low - level features , which are not ,"
"[20:05] me013 | fully , you know , phone classification ."
"[20:07] me013 | And the the th this particular image ,"
"[20:11] me013 | of how thi how it 's done ,"
"[20:12] me013 | is that ,"
"[20:13] me013 | then given all of these estimates at that level ,"
"[20:16] me013 | there 's a level above it ,"
"[20:17] me013 | then which is is making ,"
"[20:19] me013 | some kind of sound unit classification such as , you know , phone and and , you know ."
"[20:23] me013 | You could argue what ,"
"[20:24] me013 | what a sound unit should be , and and so forth . But that that 's sort of what I was imagining doing ,"
"[20:30] me013 | but it 's still open within that whether you would have an intermediate level in which it was actually phones , or not ."
[20:35] me013 | You wouldn't necessarily have to .
"[20:37] me013 | Um , but ,"
"[20:38] me013 | Again , I wouldn't wanna ,"
"[20:40] me013 | wouldn't want what we we produced to be so , know , local in perspective that it it was matched ,"
"[20:46] me013 | what we were thinking of doing one week ,"
"[20:47] me013 | And and ,"
"[20:48] me013 | and , you know , what you 're saying is absolutely right . That ,"
"[20:50] me013 | that if we ,"
"[20:51] me013 | can we should put in ,"
"[20:53] me013 | uh , another level of ,"
[20:54] me013 | of description there if we 're gonna get into some of this low - level stuff .
"[20:57] me018 | Well , you know , um I mean if we 're talking about ,"
"[20:59] me018 | having the ,"
"[21:01] me018 | annotators annotate these kinds of features , it seems like ,"
"[21:06] me018 | The the question is ,"
"[21:07] me018 | do they do that on ,"
[21:08] me018 | meeting data ?
"[21:09] me018 | Or do they do that on ,"
[21:11] me018 | Switchboard ?
"[21:11] me011 | That 's what I was saying , maybe meeting data isn't the right corpus ."
"[21:15] fe008 | Well it seems like you could do both . I mean , I was thinking that it would be interesting ,"
[21:17] me013 | Mm - hmm .
"[21:18] fe008 | to do it with respect to ,"
"[21:19] fe008 | parts of Switchboard anyway , in terms of , uh partly to see ,"
[21:23] me013 | Mm - hmm .
"[21:23] fe008 | if you could ,"
"[21:25] fe008 | generate first guesses at what the articulatory feature would be , based on the phone representation at that lower level . It might be a time gain ."
"[21:32] fe008 | But also in terms of comparability of , um ,"
[21:32] me013 | Mm - hmm .
