[00:01] me013 | So .
"[12:21] fe016 | But he can use text , basically ."
[12:27] fe008 | I mentioned several that w had to do with implications drawn from intonational contours and that wasn't as directly relevant to what he 's doing .
[12:34] fe016 | OK .
"[12:35] mn005 | Yeah , interesting ."
"[12:39] me013 | I mean , he certainly could use text , but we were in fact looking to see if there is there is there something in common between our interest in meetings and his interest in in in this stuff . So ."
"[12:50] me011 | And I imagine that transcripts of speech I mean text that is speech probably has more of those than sort of prepared writing . I I don't know whether it would or not , but it seems like it would ."
"[12:59] me013 | I don't know , probably de probably depends on what the prepared writing was . But ."
"[13:05] fe008 | Yeah , I don't think I would make that leap , because i in narratives , you know I mean , if you spell out everything in a narrative , it can be really tedious , so ."
[13:06] me011 | Mm - hmm .
[13:16] fe008 | Oh . That aspect .
[13:17] me011 | Yeah . And so I think it 's just easier to do that sort of broad inference jumping
[13:22] me011 | if it 's face to face .
[13:28] fe008 | Yeah .
[13:28] me011 | I might not realize that he was talking about disk space as opposed to anything else .
"[13:33] fe008 | I you know , I I had several that had to do with backchannels and this wasn't one of them . This this one really does um m make you leap from So he said , you know , "" we 're ahead of the game , w we have built - in downsampling "" ."
[13:36] me011 | Uh - huh .
[13:43] me011 | Mm - hmm .
[13:47] me011 | I guess it would be the same .
"[13:48] fe008 | Uh - huh . But there are others that have backchannelling , it 's just he was less interested in those ."
"[13:52] mn017 | Sorry to interrupt . Um ,"
[13:54] mn017 | I f f f I 've @ @ d
"[14:01] mn017 | So who is "" he "" in this context ?"
[14:04] mn017 | OK .
"[14:04] mn017 | So I was just realizing we 've You guys have been talking about "" he "" um"
[14:05] fe016 | I believe it .
[14:12] mn017 | three four minutes without ever mentioning the person 's name again .
[14:15] fe016 | Yeah .
"[14:17] mn017 | this is gonna be a big , big problem if you want to later do uh , you know , indexing , or"
[14:24] mn017 | speech understanding of any sort .
"[14:31] me011 | Well , I think he 's doing that intentionally , aren't you ?"
[14:33] mn017 | Right .
[14:34] mn005 | Yeah .
[14:38] mn017 | Mm - hmm .
[14:44] me013 | Uh - huh . Could be . Yeah . That would be tou
"[14:46] me011 | Oh , that would be interesting ."
[14:46] fe008 | Can we
"[14:50] fe016 | Yeah , if you have the P Z Ms you should be able to pick up"
[14:54] fe016 | what a person is looking at
[14:57] fe016 | from their voice .
"[14:58] me011 | Well , especially with Morgan , with the way we have the microphones arranged . I 'm sort of right on axis and it would be very hard to tell ."
[15:04] me011 | Uh .
[15:06] fe008 | You 'd have fainter Wouldn't you get fainter reception out here ?
"[15:10] me011 | Sure , but I think if I 'm talking like this ?"
[15:18] fe008 | I see .
"[15:24] me013 | I probably been affect No , I th I think I 've been affected by too many conversations where we were talking about lawyers and talking about and concerns about "" oh gee is somebody going to say something bad ? "" and so on ."
[15:35] fe008 | I am too .
"[15:36] fe016 | Even though you could pick up later on , just from the acoustics who you were t who you were looking at ."
[15:39] fe008 | I am too .
"[15:40] me011 | And we did mention who "" he "" was ."
[15:43] fe016 | Yeah .
[15:43] me011 | Early in the conversation .
[15:43] me013 | Yeah .
"[15:45] fe016 | Yeah , yeah ."
[15:45] mn017 | Yeah .
"[15:52] fe008 | And in fact , it is it is it is sensitive . I I came up with something from the Human Subjects people that I wanted to"
"[15:52] fe016 | No , but that it 's interesting ."
"[16:01] fe008 | You know , I asked her very specifically about this clause of how , um , you know , it says "" no individuals will be identified uh , "" in any publication using the data . "" OK , well , individuals being identified , let 's say you have a a snippet that says ,"
"[16:15] fe008 | "" Joe s uh thinks such - and - such about about this field , but I think he 's wrongheaded . """
"[16:20] fe008 | Now I mean , we 're we 're gonna be careful not to have the "" wrongheaded "" part in there , but but you know , let 's say we say ,"
"[16:25] fe008 | you know , "" Joe used to think so - and - so about this area , in his publication he says that but I think he 's changed his mind . "" or whatever ."
"[16:31] fe008 | Then the issue of of being able to trace Joe , because we know he 's well - known in this field , and all this and and tie it to the speaker ,"
"[16:38] fe008 | whose name was just mentioned a moment ago , can be sensitive . So I think it 's really really kind of adaptive and wise to not mention names any more than we have to because if there 's a slanderous aspect to it , then how much to we wanna be able to have to remove ?"
"[16:51] me013 | Yeah , well , there 's that ."
"[16:59] me013 | If uh You know , there 's court transcripts , there 's there 's transcripts of radio shows I mean people say people 's names all the time ."
[17:06] me013 | So I think it it can't be bad to say people 's names .
"[17:09] me013 | It 's just that i I mean you 're right that there 's more poten If we never say anybody 's name ,"
"[17:16] fe016 | But , then it won't I mean , if we if we Yeah . I mean we should do whatever 's natural in a meeting if if we weren't being recorded ."
[17:18] me011 | It 's not a meeting .
[17:21] me013 | Yeah .
"[17:28] fe008 | Well , my feeling on it was that it wasn't really important who said it , you know ."
[17:32] me013 | Yeah .
"[17:32] mn017 | Well , if you ha since you have to um"
"[17:35] mn017 | go over the transcripts later anyway , you could make it one of the"
[17:39] mn017 | jobs of the people who do that to mark u
"[17:41] me011 | Well , we t we t we talked about this during the anon anonymization . If we wanna go through and extract from the"
[17:44] mn017 | Right .
[17:47] me011 | audio and the written every time someone says a name .
[17:51] me011 | And I thought that our conclusion was that we didn't want to do that .
"[17:57] fe008 | I understand . No I just I just was suggesting that it 's not a bad policy p potentially . So , we need to talk about this later ."
"[18:03] me013 | Yeah , I di I didn't intend it an a policy though ."
[18:05] fe008 | Uh - huh .
"[18:09] mn017 | Well , I still don't know who "" he "" is ."
[18:21] mn017 | Oh .
"[18:25] me011 | Well , the inference structures was Lokendra ."
"[18:25] mn017 | But no . The inference stuff was was was Lokendra . OK . That makes sense , yeah ."
[18:28] me013 | Yeah . Yeah . Yeah .
[18:36] me011 | Yeah .
[18:38] me013 | Yeah .
"[18:40] me013 | Um , I I would like to move it into into uh what Jose uh has been doing because he 's actually been doing something . So ."
[18:44] fe008 | Yeah .
[18:45] mn005 | Uh - huh .
"[18:51] mn005 | OK . I I remind that me my first objective eh , in the project is to to study difference parameters to to find a a good solution to detect eh , the overlapping zone in eh speech recorded ."
[19:10] mn005 | I begin to to study and to analyze the ehn the recorded speech eh the different session to to find and to locate and to mark eh the the different overlapping zone .
"[19:23] mn005 | And eh so eh I was eh I am transcribing the the first session and I I have found eh , eh one thousand acoustic events ,"
"[19:35] mn005 | eh besides the overlapping zones ,"
[19:46] mn005 | I don't know what is the different names eh you use to to name the the n
[19:51] me018 | Nonspeech sounds ?
[19:51] mn005 | speech
"[19:53] me011 | Oh , I don't think we 've been doing it at that level of detail ."
[19:55] me011 | So .
[19:56] mn005 | Yeah .
"[19:56] mn005 | Eh , I I I do I don't need to to to mmm to m"
"[20:00] mn005 | to label the the different acoustic , but I prefer because eh"
"[20:06] mn005 | I will find eh , eh , a good eh parameters eh to detect overlapping I would like to to to test these parameters eh with the another eh , eh acoustic events ,"
[20:26] me011 | Mm - hmm .
[20:40] me018 | I think some of these um that are the nonspeech overlapping events
[20:46] me018 | may be difficult even for humans to tell that there 's two there .
[20:49] mn005 | Yeah .
"[20:51] me018 | I mean , if it 's a tapping sound , you wouldn't necessarily or , you know , something like that , it 'd be it might be hard to know that it was two separate events ."
[20:51] mn005 | Yeah .
[20:52] mn005 | Yeah .
[20:54] mn005 | Yeah .
[20:57] mn005 | Yeah .
[20:58] me011 | You weren't talking about just overlaps were you ? You were just talking about acoustic events .
[21:03] mn005 | I I I I t I t
"[21:05] mn005 | I talk eh about eh acoustic events in general ,"
[21:07] me011 | Yeah .
[21:07] mn005 | but eh my my objective eh will be eh to study eh overlapping zone .
[21:07] me018 | Oh .
[21:11] me011 | Mm - hmm .
[21:14] me013 | How many overlaps were there uh in it ?
[21:14] mn005 | n
"[21:17] mn005 | Eh in twelve minutes I found eh , eh one thousand acoustic events ."
"[21:22] me013 | No no , how many of them were the overlaps of speech , though ?"
[21:25] mn005 | How many ? Eh almost eh three hundred eh in one session in five eh in forty - five minutes .
"[21:30] me011 | Oh , God !"
[21:34] mn005 | Alm - Three hundred overlapping zone .
[21:37] fe016 | Overlapping speech .
"[21:38] mn005 | With the overlapping zone , overlapping speech speech what eh different duration ."
[21:43] me018 | Mm - hmm .
[21:43] me013 | Sure .
"[21:43] fe008 | Does this ? So if you had an overlap involving three people , how many times was that counted ?"
"[21:49] mn005 | Yeah , three people , two people . Eh , um I would like to consider eh one people with difference noise eh in the background , be"
"[21:58] me013 | No no , but I think what she 's asking is if at some particular for some particular stretch you had three people talking , instead of two , did you call that one event ?"
[22:06] mn005 | Oh .
[22:09] mn005 | Oh .
[22:10] mn005 | Yeah .
[22:11] mn005 | I consider one event eh for th for that eh for all the zone .
[22:16] mn005 | This th
"[22:17] mn005 | I I I con I consider I consider eh an acoustic event , the overlapping zone , the period where three speaker or eh are talking together ."
[22:18] fe008 | For -
"[22:28] me011 | So let 's say me and Jane are talking at the same time , and then Liz starts talking also over all of us . How many events would that be ?"
[22:36] mn005 | So - I don't understand .
[22:38] mn005 | Yeah ?
[22:38] me011 | and then a third person starts talking . Is there an event right here ?
[22:40] mn017 | Hmm .
[22:42] mn005 | Eh no .
[22:42] mn005 | No no .
[22:45] me011 | So i if two or more people are talking .
[22:45] me013 | I see .
"[22:46] mn005 | because you you have s you have more one eh ,"
"[22:49] mn005 | more one voice eh , eh produced in a in in a moment ."
[22:52] me013 | OK .
"[22:53] me013 | Yeah . So I think Yeah . We just wanted to understand how you 're defining it . So then ,"
[22:54] mn005 | Yeah .
[22:56] mn005 | If -
"[22:56] me013 | in the region between since there there is some continuous region ,"
[23:00] me013 | in between regions where there is only one person speaking . And one contiguous region like that you 're calling an event .
[23:03] mn005 | Uh - huh .
"[23:06] me013 | Is it Are you calling the beginning or the end of it the event , or are you calling the entire length of it the event ?"
[23:07] mn005 | Uh - huh . Yeah .
"[23:13] mn005 | I consider the the , nnn the nnn , nnn eh , the entirety eh ,"
"[23:17] mn005 | eh , all all the time there were the voice has overlapped ."
[23:22] me013 | OK .
[23:23] mn005 | This is the idea .
[23:23] mn005 | But eh I I don't distinguish between the the numbers of eh speaker .
"[23:28] mn005 | Uh , I 'm not considering eh the the ehm"
"[23:34] mn005 | eh , the fact of eh , eh , for example , what did you say ?"
"[23:38] mn005 | Eh at first eh , eh two talkers are uh , eh speaking ,"
"[23:42] mn005 | and eh , eh a third person eh join to to that ."
"[23:47] mn005 | For me , it 's eh it 's eh , all overlap zone ,"
"[23:51] mn005 | with eh several numbers of speakers is eh , eh the same acoustic event ."
"[24:01] mn005 | of the overlapping zone with two speakers eh speaking together ,"
[24:07] fe008 | That would j just be one .
[24:08] mn005 | One . One .
[24:08] fe008 | OK .
"[24:09] mn005 | Eh , with eh , a beginning mark and the ending mark ."
[24:13] me013 | Got it .
[24:23] me011 | But you could imagine that three people talking has a different spectral characteristic than two . So .
[24:27] me013 | Could .
[24:29] me011 | You had to start somewhere .
[24:29] me013 | Yeah .
[24:30] me013 | We just w
[24:31] fe016 | So there 's a lot of overlap . So .
[24:31] me011 | Yep .
"[24:33] me011 | That 's a lot of overlap , yeah , for forty - five minutes ."
"[24:35] me013 | So again , that 's that 's three three hundred in forty - five minutes that are that are speakers , just speakers ."
[24:35] mn005 | Yeah ?
[24:39] mn005 | Yeah .
[24:40] mn005 | Yeah .
[24:41] me013 | Uh - huh . OK . Yeah . So that 's about eight per minute .
[24:41] fe008 | But a a a th
[24:41] mn005 | Yeah .
[24:46] mn005 | Yeah .
[24:47] fe016 | But that can include taps .
[24:47] me013 | Uh .
[24:49] mn005 | General .
[24:49] me013 | Yeah .
"[24:52] mn005 | I consider acoustic events eh , the silent too ."
[24:57] fe008 | Silent .
"[24:58] mn005 | Yeah , silent , ground to bec"
[25:00] mn005 | to detect eh because I consider acoustic event all the things are not eh speech .
"[25:02] fe016 | Oh , OK ."
[25:07] me013 | Mm - hmm .
[25:08] mn005 | In ge in in in a general point of view .
[25:10] fe016 | Oh .
"[25:11] me013 | OK , so how many of those thousand were silence ?"
[25:12] fe016 | Alright .
[25:16] me013 | Right .
"[25:17] me013 | So how many of those thousand were silence , silent sections ?"
[25:24] mn005 | eh I I would like to to do a stylistic
[25:26] me013 | Yeah .
[25:26] mn005 | study and give you
[25:29] me013 | Yeah .
[25:29] mn005 | eh with the report eh from eh
[25:31] me013 | Yeah .
[25:33] mn005 | the the session one session .
[25:35] mn005 | And I I found that eh another thing .
"[25:40] mn005 | I was eh look at eh nnn , the difference speech file ,"
"[25:46] mn005 | um , for example , eh if eh we use the ehm the mixed file , to to transcribe ,"
"[25:53] mn005 | the the events and the words ,"
"[25:57] mn005 | I I saw that eh the eh speech signal , collected by the eh this kind of mike eh of this kind of mike ,"
[26:05] mn005 | eh are different
[26:06] me011 | Yep .
[26:07] mn005 | from the eh mixed signal
[26:13] me011 | Right .
[26:13] me013 | Yeah .
"[26:18] mn005 | I I I knew that eh the signal eh , eh would be different , but eh"
"[26:24] mn005 | the the problem is eh , eh we eh detected eh difference events in the speech file eh collected by by that mike"
[26:35] mn005 | uh qui compared with the mixed file .
"[26:37] mn005 | And so if when you transcribe eh only eh using the nnn the mixed file ,"
[26:43] mn005 | it 's possible eh if you use the transcription
"[26:47] mn005 | to evaluate a different system ,"
[26:49] mn005 | it 's possible you
[26:51] mn005 | eh in the eh i
"[26:52] mn005 | and you use the eh speech file collected by the eh fet mike ,"
"[26:59] mn005 | to do the experiments with the the system ,"
[27:01] me013 | Mm - hmm .
[27:02] me011 | Right .
"[27:09] mn005 | which you marked eh in the mixed file ,"
[27:13] mn005 | but eh they don't appear in the eh speech signal eh collected by the by the mike .
[27:18] me011 | Right .
[27:19] me011 | The the reason that I generated the mixed file was for
"[27:23] me011 | IBM to do word level transcription , not speech event transcription ."
[27:23] mn005 | Yeah .
"[27:25] mn005 | Yeah . Oh , it 's a good idea . It 's a good idea I think ."
"[27:27] me011 | So I agree that if someone wants to do speech event transcription , that"
[27:31] mn005 | Yeah .
"[27:32] me011 | the mixed signals here I mean , if I 'm tapping on the table , you it 's not gonna show up on any of the mikes ,"
[27:36] mn005 | Yeah .
[27:37] mn005 | Yeah .
[27:38] mn005 | Yeah .
"[27:47] mn005 | it 's necessary to eh to eh to put the transcription on the speech file ,"
[27:54] mn005 | collected by the objective signal .
[27:57] me013 | Mm - hmm .
"[28:00] mn005 | eh , the real mike in the future , in the prototype"
[28:01] me011 | Mm - hmm .
"[28:02] me013 | The the the far - field , yeah ."
[28:03] mn005 | to to eh correct
[28:06] mn005 | the initial eh segmentation
[28:10] mn005 | eh with the eh real speech you have to to analyze you have to to process .
[28:17] mn005 | Because I I found a difference .
"[28:19] me013 | Yeah , well , just I mean , just in that that one s"
[28:20] mn005 | Mm - hmm .
"[28:23] me013 | ten second , or whatever it was , example that Adam had that that we we passed on to others a few months ago ,"
[28:33] mn005 | Mm - hmm .
"[28:34] me013 | and uh ,"
"[28:36] me013 | in the close - talking mikes you couldn't hear the overlap ,"
[28:39] me013 | and in the distant mike you could . So
[28:42] mn017 | That 's good .
"[28:43] me013 | if you wanna find all the places where there were overlap , it 's probably better to use a distant mike . On the other hand ,"
[28:54] mn005 | Yeah .
"[28:55] fe016 | But why can't you use the combination of the close - talking mikes , time aligned ?"
"[28:59] me011 | If you use the combination of the close - talking mikes , you would hear Jane interrupting me , but you wouldn't hear the paper rustling ."
"[29:06] fe016 | I I mean if you 're interested in speakers overlapping other speakers and not the other kinds of nonspeech , that 's not a problem , right ?"
[29:06] me013 | Some of it 's masking masked .
[29:07] mn005 | Yeah .
[29:13] me013 | Right .
[29:14] me011 | Right .
"[29:15] me011 | Although the other issue is that the mixed close - talking mikes I mean , I 'm doing weird normalizations and things like that ."
[29:15] mn005 | Yeah .
"[29:21] fe016 | But it 's known . I mean , the normalization you do is over the whole conversation isn't it , over the whole meeting ."
[29:22] mn005 | Yeah .
[29:22] me011 | Yep .
[29:26] me011 | Right .
[29:27] me011 | Yep .
"[29:29] fe016 | So if you wanted to study people overlapping people , that 's not a problem ."
[29:32] mn005 | Yeah .
[29:32] me011 | Right .
[29:39] mn005 | eh but eh I eh I have eh any results .
"[29:43] mn005 | I I I saw the the speech file collected by eh the fet mike ,"
[29:48] mn005 | and eh eh signal eh to eh to noise eh relation is eh low .
[29:54] me013 | Mm - hmm .
[29:54] mn005 | It 's low . It 's very low . You would comp if we compare it with eh the headphone . And
[29:59] me011 | Yep .
"[30:02] mn005 | I I found that nnn that eh , ehm ,"
[30:02] me011 | Did Did you k
"[30:04] mn005 | pr probably ,"
"[30:06] mn005 | I 'm not sure eh by the moment , but it 's it 's probably that eh"
"[30:10] mn005 | a lot of eh , eh for example , in the overlapping zone ,"
[30:13] mn005 | on eh in in several eh parts of the files
"[30:17] mn005 | where you you can find eh , eh"
[30:26] me013 | Mm - hmm . Mm - hmm .
[30:30] mn005 | in in those files you you can not find you can not process because eh it 's confused with with noise .
[30:37] me013 | Mm - hmm .
[30:37] mn005 | And there are a lot of I think . But I have to study with more detail .
"[30:42] mn005 | But eh my idea is to to process only nnn , this eh nnn , this kind of s of eh speech ."
[30:52] me013 | No i
"[30:54] me013 | Well , it 'd be hard , but on the other hand as you point out , if your if i"
"[30:57] me013 | if if your concern is to get uh the overlapping people people 's speech , you will you will get that somewhat better . Um ,"
[31:04] mn005 | Mm - hmm . Yeah .
[31:08] me013 | Are you making any use uh you were you were working with th the data that had already been transcribed .
[31:15] mn005 | With By Jane .
[31:16] me013 | Yes . Now um did you make any use of that ?
[31:16] mn005 | Yeah .
[31:23] mn005 | Yeah .
[31:25] mn005 | Yeah .
"[31:27] mn005 | The the transcription by Jane , t eh i eh ,"
"[31:30] mn005 | I I I want to use to to nnn , eh"
[31:34] mn005 | to put i i it 's a reference for me .
"[31:38] mn005 | eh for example , I I don't I I 'm not interested in the in the in the words ,"
"[31:44] mn005 | transcription words , eh"
"[31:47] mn005 | eh follow in the in the in the speech file ,"
"[31:50] mn005 | but eh eh Jane eh for example eh put a mark eh at the beginning eh of each eh talker ,"
"[32:00] mn005 | in the in the meeting ,"
[32:01] mn005 | um eh she she nnn includes information
[32:06] mn005 | about the zone where eh there are eh there is an overlapping zone .
[32:12] me013 | Mm - hmm .
"[32:12] mn005 | But eh there isn't any any mark ,"
"[32:15] mn005 | time temporal mark ,"
[32:17] me013 | OK .
[32:21] mn005 | the beginning and the end of the of the ta
[32:28] me013 | Right .
"[32:37] me013 | but uh , it took you something like twelve hours to mark the forty - five minutes , your s"
[32:40] me011 | Twelve minutes .
[32:41] mn005 | Twelve minutes .
[32:42] mn005 | Twelve minutes . Twelve .
"[32:46] mn005 | No , forty - five minutes is the is the session , all the session ."
"[32:49] me013 | Oh , you haven't done the whole session . This is just twelve minutes . Oh ."
[32:49] fe008 | Oh .
"[32:50] mn005 | Yeah , all is the the session ."
[32:53] mn005 | Tw - twelve hours of work
[33:05] mn005 | Yeah .
"[33:07] mn005 | No no no . I I consider all the all the session because eh I I count the nnn the nnn the overlappings marked by by Jane ,"
"[33:10] me013 | Oh , OK ."
[33:15] me013 | OK .
"[33:15] fe008 | Oh , I see ."
[33:15] mn005 | in in in in the fin in in the forty - five minutes .
[33:27] me013 | twelve minute the the the um overlaps in twelve minutes of it . Got it .
[33:31] mn005 | Yeah .
"[33:32] me011 | Well , not just the overlaps , everything ."
"[33:32] mn017 | So , can I ask can I ask whether you found uh , you know , how accurate"
[33:37] mn017 | uh Jane 's uh
"[33:41] mn017 | you know , did she miss some overlaps ? or did she n ?"
"[33:42] mn005 | But , by by the moment , I I don't compare ,"
"[33:45] mn005 | my my temporal mark with eh Jane , but eh"
[33:46] mn017 | Mm - hmm .
[33:48] mn017 | Mm - hmm .
[33:49] mn005 | I I want to do it .
[33:50] mn005 | Because eh eh i per perhaps
"[33:54] mn005 | I have eh errors in the in the marks ,"
[33:56] mn017 | Mm - hmm .
"[33:56] mn005 | I and if I I compare with eh Jane ,"
[33:57] me013 | Yeah .
[34:01] mn005 | it 's probably
[34:02] mn005 | I I I can correct
[34:04] mn005 | and and and to get eh eh a more accurately eh eh transcription in the file .
[34:09] me013 | I
"[34:09] me011 | Well , also Jane Jane was doing word level ."
[34:11] me013 | Yeah .
[34:11] me011 | So we weren't concerned with exactly when an overlap started and stopped .
[34:11] mn005 | Yeah .
"[34:13] fe016 | Well , not only a word level , but actually I mean , you didn't need to"
[34:21] me011 | Right .
[34:23] me013 | Mm - hmm .
[34:23] me011 | Yep .
[34:26] mn005 | Yeah .
"[34:26] fe008 | Well , yeah , b yeah , I would say time bin . So my my goal is to get words with reference to a time bin , beginning and end point . And and sometimes , you know , it was like you could have an overlap where someone said something in the middle , but ,"
[34:28] fe016 | Yeah .
[34:28] mn005 | Yeah .
[34:31] mn005 | Yeah .
[34:32] fe016 | Right .
[34:32] mn005 | Yeah .
[34:45] mn005 | Yeah .
[34:47] me011 | Right .
"[34:51] mn005 | It 's it 's a good eh work , but eh I think we need eh eh more information ."
"[34:55] mn017 | No , of course . I expect you to find more overlaps than than Jane because you 're looking at it at a much more detailed level ."
[34:56] fe008 | Yeah .
"[34:59] mn005 | No , no . I I have to go to I want eh I wanted to eh compare the the transcription ."
[34:59] fe008 | Yeah .
"[35:06] me013 | Well , I but I have a suggestion about that . Um ,"
"[35:08] me013 | obviously this is very , very time - consuming , and you 're finding lots of things which I 'm sure are gonna be very interesting ,"
"[35:14] me013 | but in the interests of making progress , uh might I s how how would it affect your time if you only marked speaker overlaps ?"
[35:24] mn005 | Only .
"[35:24] me013 | Yes . Do not mark any other events , but only mark speaker Do you think that would speed it up quite a bit ?"
[35:25] mn005 | Yeah .
[35:27] mn005 | Uh - huh .
[35:29] mn005 | OK .
[35:30] mn005 | OK .
[35:30] me013 | Do y do you think that would speed it up ?
"[35:32] me013 | Uh , speed up your your your marking ?"
