[00:38] me012 | Nice .
"[03:49] me003 | which we can look up because I mean if you 're gonna get real close to a building in the Tango mode , right , there 's gotta be a reason for it ."
[03:54] me003 | And it 's either because you 're in route to something else or you wanna look at the walls .
"[03:59] me003 | The context , which in this case we 've limited to "" business person "" , "" tourist "" , or "" unknown "" ,"
"[04:05] me003 | the time of day ,"
"[04:07] me003 | and "" open to suggestions "" , isn't actually a feature ."
"[04:09] me003 | It 's "" We are open to suggestions . """
[04:19] fe004 | but are you saying that in this particular domain it happens the that landmark - iness cor is correlated with
[04:23] me012 | No . We have a separate
[04:25] me003 | They 're separate things .
[04:26] fe004 | their being nice w OK .
[04:26] me012 | feature .
"[04:27] me003 | Yeah . I either could put "" nice walls "" on its own line or "" open to suggestions "" off the slide ."
[04:30] me012 | Like you could have a p
"[04:31] me012 | You Like you could have a post office with uh you know , nice murals or something ."
[04:35] me003 | Right .
"[04:35] fe004 | OK . So "" nice walls "" is a stand in for like architecturally it , uh significant or something like that ."
[04:48] mn015 | Mm - hmm .
[04:49] fe004 | Mm - hmm .
[04:50] mn015 | Appreciate it .
"[04:51] me003 | Yeah , versus ,"
"[04:52] me003 | like , I was at this place in Europe where they had little carvings"
[04:55] fe004 | Mm - hmm .
"[04:55] me003 | of , like , dead people on the walls or something ."
[04:57] me003 | I don't remember w
[04:57] fe004 | Uh - huh .
[05:05] me003 | of the walls .
[05:05] fe004 | OK . So that count as counts as a nice wall .
[05:07] me003 | Right .
[05:08] fe004 | The OK .
[05:08] mn015 | Mm - hmm .
[05:09] fe004 | Right .
[05:10] fe004 | Something you want to inspect at close range because it 's interesting . OK .
[05:11] me003 | Exactly .
[05:14] mn015 | Hmm .
[05:14] me003 | Robert ?
"[05:15] mn015 | Well there there is a term that 's often used . That 's "" saliency "" , or the "" salience "" of an object ."
"[05:22] mn015 | And I was just wondering whether that 's the same as what you describe as "" landmark - iness "" ."
[05:28] mn015 | But it 's really not . I mean an object can be very salient but
[05:29] fe004 | Hmm .
[05:31] fe004 | Not a landmark at all .
[05:32] mn015 | not a landmark at all .
[05:38] me003 | Right .
[05:38] mn015 | Yep .
"[05:38] me012 | Yeah , we meant , uh , touristic reasons ."
[05:40] me003 | Yeah .
[05:40] fe004 | OK .
[05:41] mn015 | Hmm .
[05:41] me003 | Right .
[05:41] fe004 | OK .
"[05:42] fe004 | but you can imagine maybe wanting the oth both kinds of things there for different um , goals ."
[05:45] mn015 | Hmm .
[05:46] me012 | Yeah .
[05:47] fe004 | Right ?
[05:47] me003 | Right .
[05:49] me003 | Yeah .
"[05:53] me003 | They 're not exclusive groups , are they ?"
[05:56] mn015 | Or it can be als
[05:56] me003 | non - tourist - y landmarks and
[05:58] fe004 | They 're not mutually exclusive ?
[05:58] me003 | direct navigational Yeah .
[06:00] fe004 | Right . Right . Definitely .
[06:00] me003 | OK .
[06:08] me003 | uh our initial idea was basically all the features pointing to the output node .
[06:13] me003 | Uh .
"[06:14] fe004 | So , a big flat structure . Right ?"
[06:16] me003 | Right .
[06:16] me012 | Yep .
"[06:20] me003 | Reasons being ,"
"[06:21] me003 | you know ,"
[06:22] me003 | it 'd be a pain to set up all the probabilities
[06:24] me003 | for that .
[06:26] me003 | If we moved onto the next step and
"[06:28] me003 | did learning of some sort ,"
[06:30] me003 | uh according Bhaskara we 'd be handicapped .
[06:33] me003 | I don't know
[06:34] me003 | belief - nets very well .
"[06:35] me012 | If you have N features , then it 's two to the N or exponential in N ."
[06:40] me003 | And they wouldn't look pretty .
[06:41] me003 | So .
"[06:42] me012 | Yeah , they 'd all be like pointing to the one node ."
[06:43] mn015 | Mm - hmm .
[06:46] me003 | Uh .
"[06:47] me003 | So then our next idea was to add a middle layer , right ?"
[06:50] me003 | So the thinking behind that was
"[06:56] me003 | Like , the someone s"
"[06:58] me003 | The person at the screen is trying to communicate some abstract idea , like"
"[07:00] me003 | "" I 'm """
"[07:01] me003 | the the abstract idea being "" I am a tourist I want to go to this place . """
[07:05] me003 | Right ?
[07:11] me003 | the means
[07:13] me003 | that they should use . Right ?
[07:14] me003 | but the middle
"[07:15] me003 | thing ,"
[07:15] me003 | we were thinking along the lines of maybe trying to
"[07:18] me003 | figure out ,"
[07:21] me003 | or whether they 're running an errand or something like that along those lines .
"[07:28] me003 | Yes , we could"
[07:34] me003 | So then the hidden variables hair variables we came up with
[07:38] me003 | were whether
"[07:40] me003 | someone was on a tour , running an errand , or whether they were in a hurry ,"
[07:43] me003 | because
"[07:44] me003 | we were thinking uh ,"
"[07:49] me012 | Want to do Vista , right ? Because if you want to view things you wouldn't be in a hurry ."
[07:49] me003 | or th
[07:50] me003 | Right .
[07:57] me003 | like a navigational point to go to another place .
[08:00] fe004 | Mm - hmm .
[08:07] me003 | And then
"[08:08] me003 | "" Let 's look at the belief - net "" OK . So that means that I should switch to the other program ."
"[08:13] me003 | Um right now it 's still kind of in a toy version of it , because"
[08:22] me003 | Well I 'll talk about it when I get the picture up .
[08:24] mn015 | No one knows it .
[08:25] me003 | OK .
[08:28] me003 | Let 's see . What happens if I maximize this ?
[08:33] me003 | There we go .
[08:37] me003 | So .
[08:39] me003 | The mode basically has three different outputs .
"[08:42] me003 | The probability whether the probability of a Vista , Tango , or Enter ."
"[08:50] me003 | The "" context "" , we simplified . Basically it 's just the businessman ,"
"[08:54] me003 | the tourist , unknown ."
"[08:55] me003 | "" Verb used "" is actually"
[08:58] me003 | personally amusing
[08:59] me003 | mainly because it 's it 's just
"[09:01] me003 | whether the verb is a Tango verb , an Enter verb , or a Vista verb ."
[09:05] fe004 | And are those mutually exclusive sets ? Right . Got it . Uh - huh .
"[09:07] me012 | Not at all . That 's that that needs a lot of work . But uh that would 've made the probably significantly be more complicated to enter , so we decided that for the purposes of this it 'd be simpler to just have three verbs ."
[09:13] fe004 | Yeah .
[09:15] fe004 | Simple .
[09:16] me003 | Yeah .
[09:16] fe004 | Stab at it . Yep .
[09:17] me003 | Right .
[09:24] me003 | not that are not coming to my mind right now .
"[09:27] me012 | OK , so Yeah , so note the four nodes down there , the sort of , the things that are not directly extracted ."
[09:40] me003 | Well i it 's it 's so
[09:40] fe004 | From the utterance ?
[09:40] me012 | Hmm .
"[09:46] me012 | Right , so f"
[09:46] me003 | er and what time it closed .
"[09:48] me012 | Right , but the other ones , the final destination , the whether they 're doing business , whether they 're in a hurry , and whether they 're tourists , that kind of thing is all uh sort of you know probabilistically depends on the other things . Yeah ."
[09:58] fe004 | Inferred from the other ones ?
[09:59] fe004 | OK .
"[10:01] me012 | And the mode , you know , depends on all those things only ."
[10:05] me003 | the actual parse is somewhere
[10:08] me003 | up around in here .
[10:11] fe004 | Mm - hmm .
"[10:15] me012 | The idea is that we just extract those features from them , so we don't actually have a node for the entire parse , because we 'd never do inference on it anyway , so ."
[10:18] fe004 | Mm - hmm .
[10:19] me003 | Right .
"[10:23] fe004 | So some of the the top row of things What 's what 's "" Disc admission fee "" ?"
[10:30] fe004 | Oh .
[10:35] fe004 | Uh - huh .
[10:37] me003 | Right .
[10:38] fe004 | OK . I see .
[10:42] fe004 | Mm - hmm .
[10:44] me012 | That was like our example .
[10:45] me003 | That was the initial one that we found .
[10:45] mn015 | Mm - hmm .
[10:50] me003 | Yeah .
[10:52] fe004 | for one of those .
[11:01] fe004 | either world knowledge or situational things . Right ? So that you have no distinction between those and @ @ OK .
[11:04] me003 | Right .
[11:12] me003 | Uh .
"[11:14] me003 | Um , anything else you want to say Bhaskara ?"
[11:22] mn015 | Yeah . They 're they 're are a couple of more things . I mean
[11:25] mn015 | Uh .
[11:25] mn015 | I would actually suggest we go through this one more time so we we all
"[11:29] mn015 | uh , agree on what what the meaning of these things is at the moment and maybe what changes"
"[11:36] me003 | Yeah , th"
[11:36] me003 | OK . so one thing I I 'm
"[11:44] me003 | by doing the layers like this ,"
[11:52] me003 | but you could see perhaps discus
"[11:54] me003 | the "" admission fee """
[11:55] me003 | going directly to the mode
"[11:56] me003 | pointing at "" Enter "" ,"
[11:57] mn015 | Mm - hmm .
"[11:57] me003 | right ? Versus pointing to just at "" tourist "" ,"
[11:58] fe004 | Mm - hmm .
[12:00] fe004 | Mm - hmm .
[12:00] me003 | OK ?
[12:01] me003 | But
[12:02] me003 | we just decided to
[12:06] me003 | to point at the middle and then down .
[12:07] mn015 | Mm - hmm .
[12:12] mn015 | OK . The landmark is facing to the tourists .
[12:16] mn015 | That 's because we 're talking about landmarks as touristic landmarks not
[12:18] me003 | Right .
[12:19] me012 | Yeah .
[12:19] mn015 | as possible
[12:21] mn015 | um
"[12:22] me003 | Navigational landmarks , yeah ."
[12:23] fe004 | Navigational
[12:23] mn015 | navigational landmarks so
[12:26] mn015 | Mm - hmm .
"[12:29] me003 | Yeah , that would be whatever building they referred to ."
"[12:32] me012 | Right . So let 's see . The variables . Disc - "" admission fee "" is a binary thing , "" time of day "" is like morning , afternoon , night . Is that the deal ?"
[12:33] mn015 | Mm - hmm .
"[12:39] me003 | That 's how we have it currently set up , but it could be , you know ,"
[12:40] mn015 | Yep .
[12:41] me003 | based upon hour or dis we could discrete it des descret - ize it .
[12:42] me012 | Yeah .
[12:42] mn015 | Whatever granularity . Uh - huh .
[12:43] me012 | Yeah .
[12:43] fe004 | Mm - hmm .
[12:44] me012 | Yeah .
"[12:45] me012 | Yeah . Normally context will include a huge amount of information , but um , we are just using the particular part of the context which consists of the switch that they flick to indicate whether they 're a tourist or not , I guess ."
[12:56] mn015 | Yep .
[12:56] fe004 | OK . So that 's given in their input . Right ?
[12:58] me003 | Right .
[13:04] mn015 | Mm - hmm .
"[13:07] mn015 | that 's very nice , huh ?"
[13:07] fe004 | OK .
[13:08] mn015 | The the So the context is a switch between tourist or non - tourist ? Or also unknown ?
"[13:12] me003 | Or un unknown , yeah ."
"[13:13] me012 | Yeah . Unknown , right ?"
[13:13] mn015 | OK .
[13:13] fe004 | So final dest
"[13:15] fe004 | So it seems like that would really help you for doing business versus tourist ,"
[13:21] me012 | Which is th Which one ?
"[13:21] fe004 | but OK . so the the context being um ,"
"[13:25] fe004 | e I don't know if that question 's sort of in general , "" are you """
"[13:33] me012 | Yeah , it does ."
[13:34] fe004 | OK . So then you just have some probabilities over OK . over which which of those it is .
[13:39] me012 | Yeah .
"[13:43] me012 | Oh , sorry . "" Verb used "" is like , right now we only have three values , but in general they would be a probability distribution over all verbs ."
[13:48] fe004 | Mm - hmm .
[13:56] fe004 | Mm - hmm .
"[14:05] me012 | And "" mode "" is one of three things ."
"[14:11] mn015 | So , the the middle layer is also binary ? No ."
[14:20] mn015 | Uh .
[14:22] mn015 | Yeah . But all those things without question marks are also binary . Right ?
[14:26] me012 | Which things ?
[14:27] fe004 | Mm - hmm .
[14:27] mn015 | Nice walls ?
"[14:28] me012 | Oh . "" Nice walls "" is uh something that we extract from our world knowledge ."
[14:32] mn015 | Mm - hmm .
"[14:33] me012 | Yeah , a Oh yeah . Sorry . It is binary ."
[14:35] me012 | That 's true .
"[14:36] me012 | Yeah . OK , I see your point ."
[14:38] mn015 | Yeah . OK . I I gotcha .
[14:38] fe004 | Uh - huh .
"[14:42] mn015 | So we can either be in a hurry or not , but we cannot be in a medium hurry at the moment ?"
"[14:47] me012 | Well , we"
[14:50] mn015 | Mm - hmm . OK .
"[14:50] me012 | And that would require s updating the probability distribution for "" mode "" as well ."
[14:54] fe004 | Mm - hmm .
[14:54] mn015 | Mm - hmm .
[14:56] fe004 | Take a conti
[15:00] mn015 | Mm - hmm .
"[15:02] fe004 | So um , of course this will happen when we think more about the kinds of verbs that are used in each cases but you can imagine that it 's verb plus various other things"
"[15:06] mn015 | Yeah , yeah ."
[15:07] me012 | Yeah .
"[15:14] fe004 | Like it 's a conjunction of , I don't know , you know , the verb used and some other stuff that that would determine Yeah . Exactly ."
[15:18] me012 | Right . Other syntactic information you mean ? Yeah .
[15:22] mn015 | well the the sort of the landmark is is sort of the object right ? the argument in a sense ?
[15:27] fe004 | Usually . I I don't know if that 's always the case I I guess haven't looked at the data as much as you guys have . So . Um .
[15:35] fe004 | Mm - hmm .
[15:36] fe004 | Mm - hmm .
[15:38] mn015 | Uh maybe at this stage we will we do want to uh sort of get uh modifiers
[15:44] me003 | Hmm .
[15:44] mn015 | in there because they may also tell us whether the person is in a hurry or not
[15:48] me012 | Yeah .
[15:48] fe004 | Mm - hmm .
"[15:51] me012 | Yeah , right ."
[15:52] mn015 | what 's the fastest way
"[15:54] me012 | Yeah , correct ."
[15:54] fe004 | Mm - hmm .
[15:57] fe004 | Um .
[15:58] me003 | Right . Excellent .
[16:02] me003 | Do we have anything else to say about this ?
[16:08] me003 | But the demo doesn't work very well .
[16:10] fe004 | OK .
"[16:10] mn015 | No , then it wouldn't be a demo"
[16:13] mn015 | I was just gonna s
"[16:15] me012 | just ob observe the fact that this will , in fact do inference . So we can , you know , set some of the uh nodes and then"
[16:20] fe004 | Yeah . Go ahead .
[16:21] me003 | OK .
[16:21] me012 | try to find the probability of other nodes .
[16:25] me003 | What should I observe ?
[16:29] me003 | OK .
[16:32] me003 | OK .
[16:38] me003 | OK .
[16:40] me012 | and uh the place has nice walls
"[16:46] me003 | I love nice walls , OK ?"
[16:48] me003 | I 'm a big fan .
[16:49] me012 | and it 's night .
[16:51] me003 | And the time of day is night ?
[16:59] me003 | Alright .
[17:01] me012 | And it 's night .
[17:05] me003 | OK .
[17:07] me012 | That didn't work .
[17:10] me003 | One thing that bugs me about JavaBayes is you have to click that and do this .
[17:12] fe004 | Yeah . That seems kind of redundant but .
[17:17] me003 | That all you want ?
[17:18] me012 | Yes .
"[17:20] me012 | "" Go "" and , right , "" query "" ."
"[17:21] me003 | to query , right ?"
[17:22] me003 | the mode .
[17:28] me003 | So let 's see .
[17:31] fe004 | Mm - hmm .
[17:33] me003 | Yeah .
"[17:35] fe004 | So slightly biased toward "" Tango "" ing"
[17:38] me012 | Yeah .
"[17:39] me003 | If it 's night time , they have not discussed admission fee , and the n walls are nice . So , yeah ."
[17:42] me003 | I guess that sort of makes sense .
"[17:51] me003 | taking a tour , and it came up as "" Tango "" ,"
[17:55] fe004 | So .
[17:56] fe004 | Uh - huh .
[17:59] fe004 | Huh !
[17:59] me012 | It loves the Tango .
[18:03] fe004 | Um .
[18:07] fe004 | Yeah .
[18:09] fe004 | OK .
"[18:10] me012 | "" hmm , well if the person does this and this and this , let 's say forty percent for this , fifty per "" Like , you know ."
[18:16] fe004 | Right .
[18:16] me003 | Yeah .
"[18:17] fe004 | Maybe the bias toward "" Tango "" ing was yours , then ?"
[18:20] me012 | Yeah . It 's So we have to like fit the probabilities .
[18:24] me003 | Spent my youth practicing the tango de la muerte .
"[18:24] fe004 | So , the real case ?"
[18:34] mn015 | but to get thinking about that hidden middle layer .
[18:37] fe004 | Mm - hmm .
[18:37] mn015 | And so th
"[18:40] me003 | I guess once we look at the data more we 'll get more hidden nodes ,"
[18:43] mn015 | Mm - hmm .
[18:44] me012 | Yeah .
[18:44] me003 | but
[18:46] me003 | I 'd like to see more .
"[18:48] me003 | Not because it would expedite the probabilities ,"
[18:50] me003 | cuz it wouldn't .
[18:51] me003 | It would actually slow that down tremendously .
"[18:53] me012 | Um . Well , yeah , I guess . Not that much though . Only a little early ."
[18:56] me003 | But .
[19:01] me003 | middle nodes than features we 've extracted .
[19:05] me012 | OK .
[19:17] fe004 | And are th
"[19:18] me012 | I think it 's more like "" Are you are tourist ? are you in Ham - like Heidelberg for a """
"[19:23] fe004 | Oh , so , I thought that was directly given by the context switch ."
"[19:25] me012 | That 's a different thing . What if the context , which is not set ,"
[19:31] me003 | Well the
"[19:31] me012 | the the castle and uh ,"
"[19:33] me003 | I kind of thought of "" doing business "" as more of running an errand type thing ."
"[19:33] me012 | et cetera . """
"[19:39] mn015 | So if you run out of cash as a tourist , and and and you need to go to the AT -"
[19:40] me003 | So i wi th
[19:40] fe004 | OK .
"[19:42] fe004 | Oh , I see , you may have a task . wh you have to go get money and so you are doing business at that stage ."
[19:46] mn015 | Mmm .
[19:46] me012 | Yeah .
[19:46] me003 | Right .
"[19:48] mn015 | "" How do I get to the bank ? """
[19:51] fe004 | Hmm .
[19:52] me012 | And that 'll affect whether you want to enter or you if you kinda thing .
[19:56] fe004 | OK .
[20:06] fe004 | in general what their background is .
[20:17] fe004 | I mean if that 's accurate then that would determine tourist node .
"[20:18] me012 | If the context were to set one way or another , that like strongly uh"
[20:22] fe004 | Mm - hmm .
"[20:23] me012 | um , says something about whether whether or not they 're tourists . So what 's interesting is when it 's not when it 's set to "" unknown "" ."
[20:25] fe004 | Mm - hmm .
[20:26] fe004 | Mm - hmm .
"[20:28] mn015 | We - what set the they set the context to "" unknown "" ?"
[20:28] fe004 | OK .
[20:31] me003 | OK .
"[20:32] me012 | Right now we haven't observed it , so I guess it 's sort of averaging over all those three possibilities ."
[20:35] fe004 | Mm - hmm .
[20:36] mn015 | Mm - hmm .
[20:36] me003 | Right .
"[20:37] me012 | But yes , you can set it to un "" unknown "" ."
[20:41] mn015 | leave everything else
[20:43] mn015 | as is
"[20:45] mn015 | the results should be the same , right ?"
[20:48] me003 | No .
[20:59] mn015 | Pretty much the same ?
[21:03] me012 | So the issue is that um
"[21:04] me012 | in belief - nets , it 's not common to do what we did of like having , you know , a d bunch of values and then "" unknown "" as an actual value ."
[21:11] fe004 | Yeah .
[21:13] fe004 | Yeah .
[21:13] mn015 | Yep .
"[21:20] me003 | We were thi Yeah ,"
[21:21] mn015 | Mm - hmm .
[21:21] me003 | We were th
[21:25] me012 | I don't know if I totally am happy with the way it is .
"[21:32] mn015 | How long would it take to to add another node on the observatory and , um , play around with it ?"
[21:41] me012 | Another node on what ?
[22:01] mn015 | but they can never be entered ? So for example s a statue .
[22:07] me012 | Good point .
[22:08] mn015 | Yeah ?
[22:08] me003 | Right .
[22:08] fe004 | Mm - hmm .
"[22:13] mn015 | meaning now "" enterable landmark """
"[22:16] me003 | Yeah , that 's true ."
"[22:17] mn015 | versus , um"
"[22:20] mn015 | something that 's simply just a vista point , for example ."
[22:23] mn015 | Yeah ?
"[22:27] me012 | So basically it 's addressing a variable that 's "" enterable or not "" . So like an "" enterable , question mark "" ."
"[22:33] me003 | you know , didn't we have a size as one ?"
[22:37] me012 | What ?
[22:37] me003 | The size of the landmark .
"[22:39] me012 | Um . Not when we were doing this , but I guess at some point we did ."
[22:41] me003 | Yeah .
"[22:43] me003 | OK , that was a thought that I had at one point but then went away ."
[22:47] me012 | So you want to have a a node for like whether or not it can be entered ?
"[22:50] mn015 | Well ,"
"[22:51] mn015 | for example , if we include that , yeah ?"
[22:53] me012 | Yeah .
"[22:54] mn015 | um , accessibility or something , yeah ?"
[22:57] me012 | Hmm .
"[22:57] mn015 | "" Is it Can it be entered ? """
"[22:59] mn015 | then of course , this is sort of binary as well ."
[23:02] me012 | Yeah .
"[23:04] mn015 | And then um , there 's also the question whether it may be entered ."
"[23:11] mn015 | In the sense that ,"
"[23:12] mn015 | you know , if it 's Tom the house of Tom Cruise ,"
"[23:15] mn015 | you know , it 's enterable"
[23:17] mn015 | but you may not enter it .
[23:19] mn015 | You know ? You 're not allowed to .
[23:20] me012 | Yeah .
[23:23] me012 | Yeah .
[23:30] me003 | Way -
[23:31] mn015 | And these are very observable sort of from the from the ontology sort of things .
[23:35] me003 | Does it actually help to distinguish between those two cases though ?
[23:37] me003 | Whether it 's
"[23:40] me003 | practically speaking enterable , or"
[23:43] me003 | actually physically enterable or not ?
"[23:46] fe004 | It seems like it would for uh , uh determining whether they wanna go into it or not ."
[23:46] mn015 | y y
[23:51] mn015 | If you 're running an errand you maybe more likely to be able to enter places that are usually not
[23:57] mn015 | al w you 're not usually not allowed to uh m
[24:00] mn015 | Let 's get this uh b clearer .
[24:03] mn015 | S so it 's matrix between
"[24:07] me003 | Whether it 's a Whether it 's a public building ,"
[24:10] me003 | and whether it 's actually has a door .
"[24:13] mn015 | Yeah , exactly ."
[24:14] me003 | OK .
[24:15] mn015 | This is sort of uh
[24:16] fe004 | Mm - hmm .
[24:16] me003 | So Tom Cruise 's house is not a public building but it has a door .
[24:19] fe004 | Right .
[24:19] me012 | Mm - hmm .
"[24:21] me003 | OK ,"
[24:24] me003 | to distinguish between
[24:27] me003 | whether something
[24:29] me003 | has a door
[24:31] me003 | and is not public .
[24:35] mn015 | Mm - hmm .
"[24:38] me003 | Or "" not public "" and "" not a door "" are equivalent things , it seems like in practice ."
[24:41] mn015 | Yeah .
[24:43] mn015 | Right .
[25:00] mn015 | Yeah .
[25:03] mn015 | we have an object type statue . That really is an object type .
[25:08] me003 | Right .
[25:08] mn015 | So there is there 's gonna be a bunch of statues .
"[25:11] mn015 | And then we have ,"
"[25:15] mn015 | hmm , that 's a hotel . How about hotels ?"
[25:19] me003 | OK .
"[25:20] mn015 | So ,"
[25:21] mn015 | the most famous building in Heidelberg is actually a hotel .
"[25:24] mn015 | It 's the hotel Zum Ritter ,"
[25:26] mn015 | which is the only Renaissance building in Heidelberg
"[25:29] mn015 | that was left after the big destruction and for the Thirty Years War , blah - blah - blah ."
[25:34] me003 | Does it have nice walls ?
[25:38] me003 | Excellent .
[25:38] mn015 | Um -
"[25:39] mn015 | And lots of detail , c and carvings , engravings and so forth , so ."
"[25:44] mn015 | But , um , it 's still an unlikely candidate for the Tango mode I must say ."
[25:51] mn015 | But .
[25:51] mn015 | Um . So s
[25:53] mn015 | So if
[25:55] mn015 | you are a d
[25:57] mn015 | Well it 's very tricky .
[25:58] mn015 | So I guess your question is so far I have no really arg
"[26:04] mn015 | statues and houses of celebrities ,"
[26:08] mn015 | from that point of view .
[26:12] mn015 | Huh .
[26:21] me003 | OK .
"[26:21] me012 | What would it , uh , connect to ? Like , what would , uh , it affect ?"
"[26:27] mn015 | Oh actually it 's it it wouldn't affect any of our nodes , right ?"
[26:32] mn015 | Oh it 's it affects th
"[26:34] mn015 | The "" doing business "" is certainly not ."
"[26:36] me003 | Theoretically you could affect "" doing business "" with "" has door "" ."
[26:40] me012 | Yeah . OK .
[26:40] fe004 | Hmm .
"[26:41] mn015 | It should , um ,"
[26:42] me012 | Right .
[26:43] me003 | Let 's see .
"[26:43] mn015 | inhibit that , right ?"
[26:51] me012 | it just overwrites everything .
[26:56] me012 | OK .
[26:56] me003 | We can rel open it up again .
[26:58] me012 | It 's true .
[26:59] me003 | The safety net .
"[27:09] fe004 | Oh , right ."
[27:11] me003 | Let 's see . So this is
"[27:14] me003 | "" has door """
"[27:16] me003 | Uh , true , false . That 's acceptable ."
"[27:19] me003 | And I want to edit the function going to that , right ?"
"[27:22] me012 | No . This is fine , this business ."
[27:22] me003 | Oh no .
[27:23] me003 | Right . It was fine .
[27:26] me003 | 2 x added this one .
[27:28] me012 | What would be nice if it is if it just like kept the old function for either value but .
[27:34] me012 | Nope .
[27:35] me012 | Didn't do it .
[27:35] fe004 | Oh .
[27:37] me003 | Did we w
"[27:39] me003 | Yes , that 's not good ."
[27:42] me012 | That 's kind of annoying .
"[27:48] mn015 | OK , so just dis dismiss everything ."
[27:50] mn015 | Close it and and load up the old state so
[27:52] me003 | Let 's see .
[27:58] me012 | Hmm .
[27:58] mn015 | Maybe you can read in ?
[27:59] me012 | Ha -
[27:59] me012 | So have you used JavaBayes a lot ?
"[28:06] fe004 | um , uh , we can ask someone ."
"[28:08] me012 | It might be worth uh asking around . Like ,"
[28:08] fe004 | Um .
[28:10] fe004 | Yeah .
"[28:13] me012 | OK . Yeah , S I guess he 'd be the person ."
[28:15] me012 | Yeah .
[28:16] me012 | Cuz Yeah .
[28:16] fe004 | And .
[28:21] fe004 | Mm - hmm .
[28:25] fe004 | Mm - hmm . Yeah .
"[28:26] me003 | No it doesn't , actually ."
[28:27] me012 | What ?
[28:27] me003 | I didn't think it did learning .
[28:29] me012 | OK .
"[28:29] me003 | Maybe it did a little bit of learning , I don't remember ."
[28:30] me012 | Oh right . Maybe you 're right . OK .
[28:32] me012 | Right .
"[28:36] me003 | Which is w quite positive , yeah ."
"[28:39] me012 | But uh , yeah ."
[28:43] me012 | But I mean its interface is not the greatest . So .
[28:45] fe004 | Mm - hmm .
"[28:45] me003 | But actually it had an interface . A lot of them were like , you know ."
[28:48] fe004 | Yep .
[28:49] mn015 | Command line .
[28:49] me003 | Huh .
