[00:05] me003 | I guess .
[09:08] me011 | So we wanted the near field mikes to at least isolate the difference between the two .
[09:12] me011 | So that 's why we 're recording in parallel with the close talking and the far field at the same time .
"[09:17] me011 | And then , all these channels are recorded simultaneously and framed synchronously so that you can also do things like , um , beam - forming on all the microphones and do research like that ."
"[09:27] me011 | Our intention is to release this data to the public ,"
"[09:30] me011 | um , probably through f through a body like the LDC ."
"[09:33] me011 | And , uh , just make it as a generally available corpus ."
[09:37] me011 | Um .
"[09:42] me011 | with UW ,"
[09:43] me011 | Um .
[09:44] me011 | NIST has started an effort which will include video .
"[09:46] me011 | We 're not including video , obviously ."
"[09:50] me011 | and then also , um , a small amount of assistance from IBM ."
[09:53] me011 | Is also involved .
"[09:55] me011 | Um . Oh , and the digit strings , this is just a more constrained task . Um ."
"[10:01] me011 | So because the general environment is so challenging , we decided to to do at least one set of digit strings"
"[10:09] me011 | to give ourselves something easier . And it 's exactly the same digit strings as in TI - digits , which is a"
"[10:14] me011 | common connected digits corpus . So we 'll have some , um , comparison to be able to be made ."
[10:20] me010 | OK .
[10:21] me011 | Anything else ?
[10:22] me010 | No .
"[10:23] me011 | OK , so when the l last person comes in , just have them wear a wireless . It should be on already ."
[10:27] me011 | Um .
"[10:28] me011 | Either one of those . And uh , read the digit strings and and fill out the forms . So , the most important form is the consent form , so just be s be sure everyone signs that , if they consent ."
"[10:37] mn015 | I 'm sure it 's pretty usual for meetings that people come late , so you will have to leave what you set ."
[10:40] me011 | Yeah .
[10:41] me011 | Right .
"[10:42] me011 | And uh , just give me a call , which , my number 's up there when your meeting is over ."
[10:43] me010 | Yep .
[10:46] me011 | And I 'm going to leave the mike here but it 's n
"[10:49] me011 | Uh , but I 'm not gonna be on so don't have them use this one ."
[10:58] mn015 | Yeah . There we go .
"[10:59] me010 | By the way , Adam , we will be using the , uh ,"
[11:02] mn015 | Yep .
[11:11] me010 | Organization .
"[11:12] me010 | So you guys who got email about this oh f uh , Friday or something about what we 're up to ."
[11:17] me003 | No .
[11:17] me012 | No .
[11:21] mn015 | I got it .
[11:23] me003 | What was the nature of the email ?
"[11:27] me010 | um , inferring intentions from features in context ,"
"[11:32] me010 | and the words , like "" s go to see "" , or "" visit "" , or some"
[11:37] me010 | You didn't get it ?
[11:38] me003 | I don't think I did .
[11:40] me010 | I guess these g have got better filters .
[11:41] me010 | Cuz I sent it to everybody .
[11:43] me010 | You just blew it off . OK .
[11:43] me003 | Ah .
[11:46] mn015 | It 's really simple though . So this is the idea .
[11:48] mn015 | Um .
"[11:50] mn015 | We could pursue ,"
"[11:52] mn015 | um ,"
"[11:54] mn015 | if we thought it 's it 's worth it but , uh , I think we we will agree on that ,"
"[11:59] mn015 | um , to come up with a with a sort of very , very first crude prototype ,"
"[12:04] mn015 | and do some implementation work , and do some some research , and some modeling . So the idea is"
"[12:09] mn015 | if you want to go somewhere ,"
[12:20] mn015 | That 's the Powder - Tower .
"[12:22] mn015 | Now , um ,"
"[12:27] mn015 | data and from experiments , that"
[12:30] mn015 | there 's three things you can do .
"[12:33] mn015 | Um ,"
[12:34] mn015 | you can walk
"[12:36] mn015 | this way ,"
"[12:37] mn015 | and come really , really close to it ."
[12:39] mn015 | And touch it .
"[12:41] mn015 | But you cannot enter or do anything else . Unless you 're interested in rock climbing ,"
[12:45] mn015 | it won't do you no good standing there . It 's just a dark alley . But you can touch it .
"[12:50] mn015 | If you want to actually go up or into the tower , you have to go this way , and then through some buildings and up some stairs and so forth ."
[12:57] mn015 | If you actually want to see
"[13:00] mn015 | the tower ,"
"[13:07] mn015 | you have to go this way , and go up here ."
"[13:10] mn015 | And there you have a vre really view It exploded , the during the Thirty - years - war . Really uh , interesting sight ."
[13:17] me003 | Mmm .
"[13:17] mn015 | And um ,"
"[13:20] mn015 | these lines are , um , paths , or so"
"[13:22] mn015 | That 's ab er , i"
[13:23] mn015 | the street network of our geographic information system .
[13:27] mn015 | And you can tell that we
[13:28] mn015 | deliberately cut out this part .
[13:30] mn015 | Because otherwise we couldn't get our GIS system to take to lead people this way .
"[13:35] mn015 | It would always use the closest point to the object , and then the tourists would be faced , you know , in front of a wall , but it would do them absolutely no good ."
"[13:46] mn015 | what we found interesting is , first of all ,"
[13:49] mn015 | intentions differ .
[13:51] mn015 | Maybe you want to enter a building .
"[13:54] mn015 | Maybe you want to see it , take a picture of it ."
[13:58] mn015 | Or maybe you actually want to come as close as possible to the building . For whatever reason that may be .
[14:03] me003 | What 's it what 's it made out of ?
[14:10] me003 | So maybe you would wanna touch it .
"[14:11] mn015 | Yeah , maybe you would want to touch it . Um ."
"[14:17] mn015 | These intentions , we w w we could ,"
"[14:20] mn015 | if we want to ,"
"[14:20] mn015 | call it the the Vista mode ,"
"[14:26] mn015 | the Enter mode ,"
"[14:28] mn015 | and the , well , Tango mode . I always come up with with silly names . So this "" Tango "" means , literally translated , "" to touch "" ."
"[14:46] mn015 | If you don't have the intention of entering your building ,"
"[14:49] mn015 | but you know that something is really close to it ,"
"[14:52] mn015 | and you just want to approach it , or get to that building ."
"[14:55] mn015 | Consider , for example , the Post Office in Chicago , a building so large that it has its own zip code ."
[15:01] mn015 | So the entrance could be miles away
[15:04] mn015 | from the closest point .
[15:06] mn015 | So sometimes it m
[15:07] mn015 | m m makes sense maybe to d to distinguish there .
"[15:10] mn015 | So , um ,"
"[15:12] mn015 | I 've looked , uh , through"
"[15:18] mn015 | um , and there there 's uh , a lot more different"
"[15:22] mn015 | ways in people uh , the ways people phrase how to g"
[15:26] mn015 | if they want to get to a certain place .
"[15:38] me010 | No , OK come in , sit down . If you grab yourself a microphone ."
[15:40] fe004 | OK .
[15:43] mn015 | You need to sign some stuff and read some digits .
"[15:44] me010 | Well , you can sign afterwards ."
[15:46] mn015 | O or later .
[15:46] me003 | You have to al also have to read some digits .
[15:48] me010 | Afterwards .
"[15:56] fe004 | OK , go ahead ."
[15:59] mn015 | They are uncomfortable .
[16:01] fe004 | @ @ Small ?
[16:02] mn015 | Mm - hmm .
[16:03] fe004 | Really small ? OK . I see .
[16:05] fe004 | OK .
[16:08] fe004 | Thank you .
"[16:10] me010 | And it it it it it also has to be switched on , Nance ."
"[16:13] me003 | No , that one 's already on , I thought he said . Yeah ."
"[16:14] me010 | It 's on ? OK , good ."
[16:15] fe004 | OK . It 's on .
[16:23] mn015 | Sometimes they want to enter it . And sometimes they want to get really close to it .
[16:28] mn015 | That 's something we found .
[16:29] mn015 | It 's just a truism .
[16:31] mn015 | And the places where you will lead them for these intentions
"[16:43] mn015 | So , this is sort of how people may , uh may phrase those requests to a a a mock - up system at least that 's the way they did it ."
"[16:51] mn015 | And we get tons of of these "" how do I get to "" , "" I want to go to "" , but also , "" give me directions to "" , and "" I would like to see "" ."
"[17:00] mn015 | And um ,"
"[17:12] mn015 | First of all ,"
[17:15] mn015 | I 've completely forgot that when we talked .
"[17:17] mn015 | This is of course a crucial factor , "" what type of object is it ? """
"[17:21] mn015 | So , some buildings you just don't want to take pictures of ."
[17:25] mn015 | Or very rarely .
[17:27] mn015 | But you usually want to enter them .
"[17:30] mn015 | Some objects are more picturesque ,"
[17:37] mn015 | the actual phrases may give us some idea of what the person wants .
[17:42] mn015 | Um .
"[17:43] mn015 | Sometimes I found in the Uh , looking at the data ,"
"[17:49] mn015 | that m may also give us a hint , um ,"
"[17:52] mn015 | "" I 'm trying to get to """
"[17:54] mn015 | Nuh ? "" I need to get to "" ."
[17:55] mn015 | Sort of hints to the fact that you 're not really
[17:58] mn015 | sightseeing and and just f there for pleasure and so forth and so on .
[18:02] mn015 | And this leads us straight to the context
[18:05] mn015 | which also should be considered . That whatever it is you 're doing at the moment may also inter
[18:17] mn015 | My suggestion is really simple .
"[18:22] mn015 | Now ,"
"[18:23] mn015 | Let me , uh , say one more thing . What we do know , is that the parser we use in the SmartKom system will never differentiate between any of these ."
"[18:31] mn015 | So , basically all of these things will result in the same"
[18:35] mn015 | XML M - three - L structure .
"[18:38] mn015 | Sort of action "" go "" , and then an object . Yeah ? and a source . So it 's it 's it 's way too crude to d"
[18:40] fe004 | Mm - hmm .
[18:46] mn015 | capture those differences in intentions .
"[18:49] mn015 | So , I thought , "" Mmm ! Maybe for a deep understanding task , that 's a nice sort of playground or first little thing . """
"[18:55] mn015 | Where we can start it and n sort of look "" OK , we need , we gonna get those M - three - L structures . The crude , undifferentiated parse ."
[19:04] mn015 | Interpreted input .
"[19:06] mn015 | We may need additional part of speech , or maybe just some information on the verb , and modifiers , auxiliaries ."
"[19:15] mn015 | We 'll see . And I will try to to sort of come up with a list of factors that we need to get out of there , and maybe we want to get a g switch for the context ."
"[19:25] mn015 | So this is not something which we can actually monitor ,"
[19:30] mn015 | but just is something we can set .
"[19:33] mn015 | And then you can all imagine sort of a a constrained satisfaction program , depending on on what , um , comes out ."
[19:41] mn015 | We want to have an a structure resulting
[19:44] mn015 | if we feed it through a belief - net or or something along those lines .
"[19:49] mn015 | We 'd get an inferred intention , we we produce a structure that differentiates between the Vista , the Enter , and the ,"
"[19:56] mn015 | um , Tango mode . Which I think we maybe want to"
[20:00] mn015 | ignore . But .
[20:02] mn015 | That 's my idea . It 's up for discussion .
"[20:04] mn015 | We can change all of it , any bit of it ."
[20:08] mn015 | Throw it all away .
"[20:11] me012 | Now @ @ this email that you sent , actually ."
[20:13] me010 | What ?
[20:14] me010 | OK .
"[20:16] me003 | Huh . Still , I have no"
[20:18] me003 | recollection whatsoever of the email . I 'll have to go back and check .
[20:21] me010 | Not important .
"[20:23] me010 | So , what is important is that we"
[20:27] me010 | understand what the proposed task
[20:30] me010 | is .
"[20:31] me010 | And , the the i uh , Robert and I talked about this some on Friday ."
[20:36] me010 | And
[20:38] me010 | we think it 's well - formed .
"[20:40] me010 | So we think it 's a well - formed ,"
"[20:42] me010 | uh , starter task for this ,"
"[20:45] me010 | uh , deeper understanding in the tourist domain ."
"[20:57] me010 | Well , it 's the it 's it 's always all of it ."
"[21:00] me010 | So , in general it 's always going to be , the answer is ,"
[21:03] me010 | everywhere .
"[21:04] me010 | Uh , so the notion is that , uh , this isn't real deep ."
"[21:10] me010 | But it 's deep enough that you can distinguish between these th three quite different kinds of , uh , going to see some tourist thing ."
"[21:17] me010 | And , so that 's that 's the quote "" deep "" that we 're trying to get at . And , Robert 's point is that"
[21:24] me010 | the current front - end
"[21:28] me010 | doesn't give you any way to Not only doesn't it do it ,"
"[21:32] me010 | but it also doesn't give you enough information to do it . It isn't like , if you just took what the front - end gives you ,"
"[21:39] me010 | and used some clever inference algorithm on it , you would be able to figure out which of these is going on ."
"[21:45] me010 | So ,"
"[21:46] me010 | uh , and this is Bu - I in general it 's gonna be true of any kind of deep understanding , there 's gonna be contextual things , there 're gonna be linguistic things , there 're gonna be discourse things ,"
[21:53] me010 | and they gotta be combined .
"[21:56] me010 | And , my idea on how to combine them is with a belief - net , although it may turn out that t some totally different thing is gonna work better ."
"[22:04] me010 | Um ,"
[22:05] me010 | the idea would be that
"[22:07] me010 | you , uh ,"
[22:14] me010 | You 're editing your slide ?
"[22:15] mn015 | Yeah . As i a sort of , as I get ideas , uh w uh ."
[22:19] me010 | Oh .
"[22:21] mn015 | So , discourse I I I thought about that . Of course that needs to sort of go in there ."
"[22:25] me010 | Oh . I 'm sorry . OK . So . This is minutes taking minutes as we go ,"
[22:29] mn015 | Yep .
"[22:31] me010 | Um , but the p the Anyway . So the thing is ,"
"[22:35] me010 | naively speaking ,"
"[22:38] me010 | for this little task , a belief - net ,"
"[22:39] me010 | which is going to have as output ,"
"[22:42] me010 | the conditional pr probability of one of three things ,"
"[22:45] me010 | that the person wants to uh , to View it , to Enter it , or to Tango with it ."
[22:53] me010 | Um .
[22:54] me010 | So that the the output of the belief - net is
[22:57] me010 | pretty well formed .
"[22:58] me010 | And , then the inputs"
[23:01] me010 | are going to be these kinds of things .
"[23:09] me010 | information from , and two , what 's the structure of the belief - net ?"
[23:12] me010 | So what are the conditional probabilities
"[23:15] me010 | of this , that , and the other , given these things ?"
[23:17] me010 | And you probably need intermediate nodes . I we don't know what they are yet .
"[23:21] me010 | So it may well be that , uh , for example ,"
"[23:29] me010 | Oh , another thing you want"
[23:31] me010 | is some information
"[23:34] me010 | abou I think ,"
[23:35] me010 | about the time of day .
"[23:37] me010 | Now , they may wanna call that part of context ."
[23:39] me010 | But the time of day matters a lot .
[23:40] mn015 | Mm - hmm .
"[23:42] me010 | And , if things are obviously closed ,"
"[23:46] me010 | then ,"
[23:47] mn015 | People won't want to enter it .
[23:48] me010 | Pe - people don't wanna enter them .
"[23:50] me010 | And , if it 's not obvious , you may want to actually"
[23:51] mn015 | s b
"[23:55] me010 | uh , point out to people that it 's closed you know , what they 're g going to is closed and they don't have the option of entering it ."
"[24:02] me010 | So another thing that can come up ,"
"[24:03] me010 | and will come up as soon as you get serious about this is ,"
[24:06] me010 | that another option of course is to
[24:10] me010 | have a more of a dialogue .
[24:12] me010 | So if someone says something you could ask them .
[24:14] me003 | Yeah .
"[24:15] me010 | OK . And Now , one thing you could do is always ask them , but that 's boring ."
[24:20] me010 | And it also w it also be a pain for the person using it .
"[24:23] me010 | So one thing you could do is build a little system that , said , "" whenever you got a question like that I 've got"
"[24:27] me010 | one of three answers . Ask them which one you want . """
"[24:30] me010 | OK . But that 's , um , not what we 're gonna do ."
"[24:34] mn015 | But maybe that 's a false state of the system , that it 's too close to call ."
"[24:38] me010 | Oh yeah . You want the you want the ability to a You want the ability to ask , but what you don't wanna do is"
"[24:44] me010 | onl build a system that always asks every time , and i"
[24:49] mn015 | Mm - hmm .
"[24:50] me010 | In general you 're you know ,"
[24:52] me010 | it 's gonna be much more complex than that .
[24:54] me010 | a This is purposely a really simple case .
"[25:00] mn015 | I have one more point to to Bhaskara 's question . Um , I think also the the the deep understanding part of it is is going to be in there to the extent that we"
"[25:09] mn015 | um , want it in terms of"
"[25:11] mn015 | our modeling . We can start , you know , basic from"
"[25:14] mn015 | human beings , model that , its motions ,"
"[25:16] mn015 | going , walking , seeing , we can mem model all of that and then compose whatever inferences o we make out of these really conceptual primitives ."
[25:25] mn015 | That will be extremely deep in the in in in my understanding .
[25:27] me010 | Yeah .
"[25:28] me010 | S so so the way that might come up ,"
"[25:30] me010 | if you wanna Suppose you wanted to do that , you might say ,"
"[25:33] me010 | "" Um , as an intermediate step in your belief - net , is there a Source - Path - Goal"
"[25:38] me010 | schema involved ? """
"[25:40] me010 | OK ? And if so , uh , is there a focus on the goal ? Or is there a focus on the path ? or something ."
"[25:48] me010 | And that could be , uh ,"
"[25:56] me010 | In some piece of the belief - net , that could be the the appropriate thing to enter ."
"[26:00] me012 | So , where would we extract that information from ? From the M - three - L ?"
[26:03] me010 | No .
"[26:04] me010 | No . See , the M - three - L is not gonna give th What he was saying is ,"
"[26:06] me010 | the M - three - L does not have any of that . All it has is some really crude stuff saying ,"
[26:09] me012 | Right .
"[26:12] me010 | "" A person wants to go to a place . """
[26:13] me003 | The M - three - L is the old SmartKom output ?
[26:16] me010 | Right .
[26:16] me003 | OK .
"[26:16] me010 | M - three well , M - three - L itself refers to Multimedia Mark - up Language ."
"[26:18] me003 | It 's just a language . Right , yeah ."
[26:20] me010 | So we have th w we we
[26:26] me010 | Mm - hmm .
"[26:29] me010 | Well , OK ."
[26:32] me010 | Yeah .
"[26:32] mn015 | o th No , actually , intention lattices is what we 're gonna get ."
"[26:35] me010 | Is - i but they c they call it intention lattice , but tha Anyway ."
[26:37] mn015 | In - in a intention lattice k Hypothesis . They call it intention hypotheses .
[26:41] me010 | Right .
"[26:41] me010 | So , th they 're gonna give us some cr uh or We can assume that y you get this crude information ."
"[26:50] me010 | About intention , and that 's all they 're going to provide ."
"[26:54] me010 | And they don't give you the kind of object , they don't give you"
"[26:58] me010 | any discourse history , if you want to keep that you have to keep it somewhere else ."
"[27:04] mn015 | Well , they keep it . We have to request it ."
[27:06] me010 | Right .
[27:07] mn015 | Nuh ?
[27:07] mn015 | But it 's not in there .
"[27:07] me010 | Well , they they kee they keep it by their lights . It may it may or may not"
[27:10] mn015 | Hmm .
"[27:11] mn015 | Yeah , or i"
"[27:14] me003 | So , if someone says , "" I wanna touch the side of the Powder - Tower "" ,"
[27:25] me003 | and the directions ?
"[27:25] me010 | If i if Yeah , if it got as simple as that , yeah . But it wouldn't ."
[27:27] me003 | Yeah .
[27:28] me003 | OK .
[27:33] me003 | But we 'd have to infer a Source - Path - Goal to some degree for
"[27:37] me003 | touching the side , right ?"
"[27:39] mn015 | Uh , th the there is a p a point there if I understand you . Correct ?"
"[27:46] mn015 | because um ,"
[27:48] mn015 | sometimes people just say
"[27:51] mn015 | things This you find very often . "" Where is the city hall ? """
[27:56] mn015 | And this do
"[27:57] mn015 | they don't wanna sh see it on a map , or they don't wanna know it 's five hundred yards away from you , or that it 's to the your north . They wanna go there ."
"[28:04] mn015 | That 's what they say , is , "" Where is it ? "" ."
[28:07] mn015 | Where is that damn thing ?
"[28:11] mn015 | Well , that 's"
[28:12] mn015 | a a question mark . sh
"[28:13] mn015 | A lot of parsers , um ,"
"[28:18] mn015 | That 's way beyond their scope , is of interpreting that . You know ?"
"[28:22] mn015 | But um ,"
"[28:23] mn015 | still outcome w the outcome will be some form of structure ,"
"[28:28] mn015 | with the town hall and maybe saying it 's a WH focus on the town hall . But to interpret it ,"
[28:34] fe004 | Mm - hmm .
"[28:38] me003 | I 'm just trying to figure out what the SmartKom system would output ,"
[28:38] me010 | Yeah .
[28:40] me003 | depending on these things .
"[28:43] mn015 | Um , it will probably tell you how far away it is , at least that 's That 's even what Deep Map does . It tells you how far away it is , and and shows it to you on a map ."
"[28:53] mn015 | Because i we can not differentiate , at the moment , between , you know , the intention of wanting to go there or the intention of just know wanting to know where where it is ."
"[29:06] fe004 | Like , I could imagine if someone came up to me and asked , "" Where 's the city hall ? "" ,"
"[29:09] fe004 | I might say , g ar "" Are you trying to get there ? """
[29:11] fe004 | Because how I describe
"[29:13] fe004 | um , t its location uh , p probably depend on whether I think I should give them , you know , directions now , or"
[29:14] mn015 | Mm - hmm .
"[29:19] fe004 | say , you know , whatever , "" It 's half a mile away "" or something like that ."
"[29:21] mn015 | It 's a granularity factor , because where people ask you , "" Where is New York ? "" , you will tell them it 's on the East Coast ."
[29:21] me010 | Yeah .
[29:23] fe004 | Uh - huh . Yeah . Exactly .
[29:25] fe004 | Right .
"[29:26] mn015 | Y y eh you won't tell them how to get there , ft you know , take that bus to the airport and blah - blah - blah ."
[29:26] fe004 | Right .
[29:28] fe004 | Yeah .
[29:31] fe004 | Right .
"[29:31] mn015 | But if it 's the post office , you will tell them how to get there ."
[29:34] fe004 | Mm - hmm .
[29:35] mn015 | So th
[29:36] mn015 | They have done some interesting experiments on that in Hamburg as well . So .
[29:37] fe004 | Right . Right .
"[29:43] me010 | i Go go back to the the uh , th"
"[29:45] mn015 | So I w this is "" onto "" is is knowledge about buildings , their opening times ,"
"[29:50] mn015 | and then t coupled with time of day ,"
"[29:53] mn015 | um ,"
"[29:55] fe004 | So that context was like , um , their presumed purpose context , i like business or travel ,"
"[30:01] fe004 | as well as the utterance context , like , "" I 'm now standing at this place at this time "" ."
"[30:05] me010 | Yeah , well I think we ought to d"
"[30:06] me010 | a As we have all along , d"
[30:08] me010 | We we 've been distu
"[30:09] me010 | distinguishing between situational context , which is what you have as context ,"
"[30:13] me010 | and discourse context , which you have as DH , I don't know what the H means ."
[30:14] mn015 | Mm - hmm .
[30:16] mn015 | Nuh .
[30:17] mn015 | History .
[30:18] mn015 | Discourse history .
[30:19] me010 | OK .
[30:19] me010 | Whatever .
[30:19] mn015 | Yeah .
[30:20] me010 | So we can work out terminology later .
[30:21] mn015 | Yep .
"[30:22] me010 | So , they 're they 're quite distinct ."
"[30:25] me010 | I mean , you need them both , but they 're quite distinct ."
"[30:27] me010 | And , so what we were talking about doing , a a as a first shot ,"
[30:32] me010 | is not doing any of the linguistics .
[30:38] me010 | Except to find out what seems to be useful .
"[30:42] me010 | So , the the the reason the belief - net is in blue ,"
"[30:48] me010 | Uh , this may be a bad dis bad idea , but the idea is"
"[30:51] me010 | to take as a first goal ,"
[30:53] me010 | see if we could actually build a belief - net
[30:56] me010 | that would make this three way distinction
"[30:59] me010 | uh , in a plausible way , given"
"[31:02] me010 | these We have all these transcripts and we 're able to ,"
"[31:08] me010 | by hand , extract the features to put in the belief - net . Saying , "" Aha ! here 're the things which , if you get them out of out of the language and discourse , and put them into the belief - net , it would tell you"
"[31:18] me010 | which of these three uh , intentions is most likely . """
"[31:23] me010 | And if to actually do that , build it , um you know , run it y y run it on the data where you hand - transcribe"
[31:31] me010 | the parameters .
[31:32] me010 | And see how that goes .
"[31:34] me010 | If that goes well ,"
[31:37] me010 | then we can start worrying about how we would
[31:40] me010 | extract them .
[31:41] me010 | So where would you get this information ?
"[31:43] me010 | And , expand it to to other things like this ."
"[31:47] me010 | But if we can't do that ,"
[31:51] me010 | then we 're in trouble .
"[31:52] me010 | I mean th th i i if you can't do this task ,"
"[31:59] me010 | Uh , uh , yeah , or something . Well it i I if it if it 's the belief - nets , we we 'll switch to you know , logic or some terrible thing , but"
"[32:06] me010 | I don't think that 's gonna be the case . I think that ,"
"[32:08] me010 | uh , if we can get the information ,"
[32:11] me010 | a belief - net is a perfectly good way of
[32:14] me010 | doing the
[32:16] me010 | inferential combination of it .
"[32:19] me010 | The real issue is , do what are the factors involved in determining this ?"
[32:26] me010 | And I don't know .
"[32:31] mn015 | But , only w"
[32:32] me010 | Hold on a s Hold on a second .
[32:33] mn015 | Muh .
"[32:33] me010 | So , I know . Uh , uh , is it clear what 's going on here ?"
[32:40] me012 | Yep .
"[32:45] fe004 | Um , I missed the beginning , but , um"
"[32:54] fe004 | These are all factors that uh , a"
