[00:01] me013 | Hmm .
[07:27] fe041 | OK .
"[07:30] me011 | to actually listen to the meeting and say "" that 's important , that might be a query "" ."
"[07:34] fe008 | Tsk . Well , there is this other thing which y which you were alluding to earlier , which is , um , there are certain key words like , you know , "" action item "" and things like that , which"
"[07:43] fe008 | could be used in ,"
"[07:45] fe008 | uh ,"
"[07:46] fe008 | t to some degree finding the structure . And and I also , um , was thinking , with reference to"
[07:46] fe041 | Yeah . W
"[07:50] fe008 | the n uh , note - taking ,"
[07:52] fe008 | the advantage there is that you get structure without the person having to do something artificial later .
"[07:57] fe008 | And the fir third thing I wanted to say is the summaries afterwards ,"
"[08:00] fe008 | um , I think they should be recorded instead of written"
"[08:03] fe008 | because I think that , um , it would take so long for people to write that I think you wouldn't get as good a summary ."
[08:11] fe041 | at most meetings somebody is delegated to be a note - taker .
"[08:15] fe008 | Yeah , good . Good point . Yeah ."
[08:16] fe041 | And So why don't we just use the notes that somebody takes ?
"[08:20] me011 | I mean , that gives you a summary but it doesn't really How do you generate queries from that ?"
"[08:24] me025 | Well . But , I mean , maybe a summary is one of the things we 'd want from the output of the system . Right ?"
[08:25] fe008 | Yeah .
[08:28] fe041 | Right .
"[08:29] me025 | I mean , they 're something . It 's a a kind of output you 'd like ."
"[08:31] me011 | Uh , James and I were talking about this during one of the breaks . And the problem with that is , I 'm definitely going to do something with information retrieval"
[08:37] me011 | even if it 's sort of not full full - bore
[08:38] fe041 | Right .
[08:40] me011 | what I 'm gonna do for my thesis . I 'm gonna do something . I 'm not gonna do anything with summarization .
"[08:44] me011 | And so if someone wants to do that , that 's fine , but it 's not gonna be me ."
"[08:52] me013 | issues nailed down ,"
[08:53] me013 | we need to do a bunch of recordings
[09:01] me013 | And then we 'll have some data there .
"[09:03] me013 | And then , i i we can start"
"[09:05] me013 | l looking and thinking , what do we want to know about these things and at the very least ."
[09:08] me025 | Mm - hmm .
"[09:09] fe016 | I actually want to say something about the note pad . So ,"
[09:12] me013 | Hmm .
"[09:12] fe016 | if you could sense just when people are writing ,"
"[09:18] fe016 | be using that for other purposes , and each person has a note pad . They just get it when they come in the room ."
"[09:24] fe016 | Then you c you can just have a fff plot of wh you know , who 's writing when ."
[09:29] me025 | Activity . Yeah .
[09:33] me013 | Mm - hmm .
"[09:35] fe016 | sort of the hot places where people are writing things down . I mean , you can tell when you 're in a meeting when everybody stops to write something down that something was just said . It may not be"
"[09:37] me011 | Oh , I see ."
[09:39] fe041 | Mm - hmm .
"[09:44] fe016 | kept in the later summary , but at that point in time is was something that was important ."
[09:49] fe008 | That 's a nice idea .
[09:50] fe041 | Mm - hmm .
[09:51] fn043 | Mm - hmm .
"[09:56] me013 | Maybe I 'm missing something , but that doesn't get to the question of how we come up with queries , right ?"
"[10:08] me011 | Uh , y"
"[10:13] fe041 | the queries per - se , but it does give us"
"[10:16] fe041 | an information fusion sort of thing that , you know , you wanna i say"
[10:22] fe016 | Yeah .
"[10:22] fe041 | "" what were the hot - points of the meeting ? """
"[10:24] me013 | That that 's what I mean , is that I think it gets at something interesting but if we were asking the question , which I thought we were , of of of , um ,"
"[10:30] me013 | "" how do we figure out what 's the nature of the queries that people are gonna want to ask of such a system ? "" ,"
[10:36] me013 | knowing what 's important doesn't tell you what people are going to be asking .
[10:39] fe016 | But I bet it 's a good superset of it .
[10:40] me013 | Does it ?
"[10:43] fe041 | Well , yeah . I think you could say they 're gonna ask about ,"
"[10:48] fe041 | uh , when uh , when did so - and - so s"
[10:52] fe041 | talk about blah . And at least that gives you the word that they might run a query on .
[10:58] me013 | Maybe .
[11:01] fe041 | Right . It 'll tell you the hit but not the query .
[11:05] fe041 | Right .
[11:08] me013 | Mm - hmm .
"[11:15] me013 | Yeah , but we 're just looking for a place to start with that because , you know , th what what what James"
[11:16] fe016 | Um .
"[11:32] me013 | where do I start ? """
"[11:33] fe041 | Well , th you could do I think the summaries actually may help get us there ,"
[11:36] me013 | OK .
"[11:37] fe041 | for a couple reasons . One , if you have a summary if you have a bunch of summaries ,"
[11:43] fe041 | you can do
[11:46] fe041 | a word frequency count and see what words come up
[11:50] fe041 | in different types of meetings .
"[11:52] fe041 | So "" action item "" is gonna come up whether it 's a VLSI meeting , or speech meeting , or whatever ."
[11:58] fe041 | So words that come up in different types of meetings may be something that you would want to query about .
[12:02] me011 | Mm - hmm .
"[12:03] fe041 | Um , the second thing you could possibly do with it is just run"
"[12:08] fe041 | a little pilot experiment with somebody saying "" here 's a summary of a meeting ,"
"[12:13] fe041 | what questions might you want to ask about it to go back ? """
"[12:16] me011 | Yeah , I think that 's difficult because then they 're not gonna ask the questions that are in the summary ."
"[12:24] fe041 | That 's one possi one possible scenario , though , is you have the summary ,"
[12:28] me011 | Mm - hmm .
[12:28] fe041 | and you want to ask questions to get more detail .
"[12:31] me011 | th Yeah , I think it has to be a participant . Well , it doesn't have to be ."
"[12:35] me011 | OK . So that that is another use of Meeting Recorder that we haven't really talked about ,"
"[12:38] me011 | which is for someone else ,"
"[12:40] me011 | as opposed to as a remembrance agent , which is what had been my primary thought"
[12:45] me011 | in the information retrieval part of it would be .
"[12:48] me011 | But , uh ,"
"[12:50] me011 | I guess if you had a meeting participant ,"
[12:57] me013 | Mm - hmm .
[12:58] me011 | I don't know how to do it if until you have a system .
[13:01] me025 | Yeah .
[13:02] fe041 | Mmm .
"[13:04] me011 | Yeah , that that 's what I was saying ."
[13:04] fe041 | Yeah .
"[13:08] me025 | There is this class of queries , which are the things that you didn't realize were important at the time but some"
"[13:12] me025 | in retrospect you think "" oh , hang on , didn't we talk about that ? """
"[13:16] me025 | And it 's something that didn't appear in the summary but you And that 's kind of what this kind of , uh , complete data capture is kind of nicest for ."
[13:17] fe041 | Mm - hmm .
[13:21] fe041 | Right .
[13:21] fe016 | Right .
[13:21] me025 | Cuz it 's the things that you wouldn't have bothered to make an effort to record but they get recorded .
[13:22] fe041 | Right .
[13:31] fe016 | But you could always post - hoc label them .
"[13:33] me025 | Right , right . Exactly . But I mean , it 's difficult to sort of say "" and if I was gonna ask four questions about this , what would they be ? """
[13:34] fe016 | Yeah .
[13:35] fe016 | Yeah .
[13:39] me025 | Those aren't the kind of things that come up .
"[13:42] me025 | Oh , yeah . Yeah , sure ."
"[13:47] fe008 | important points of the of the meeting ,"
"[13:51] fe008 | y So if th if the obscure item you want to know more about was some form of data collection ,"
"[13:56] fe008 | you know , maybe the summary would say , you know , "" we discussed types of na data collection "" ."
"[14:05] fe008 | of the discourse , then"
[14:07] fe008 | if you can categorize what it is that you 're
[14:10] fe008 | looking for with reference to those l
"[14:11] fe008 | those larger headings , then you can find it even if you"
[14:14] fe008 | don't have a direct route to that .
[14:20] me011 | a high burden on the note - taker .
[14:22] me011 | That 's a pretty fine grain that the note - taker will have to take .
[14:29] fe041 | I th No . I think you got to have somebody
[14:29] fe016 | No ?
"[14:32] fe041 | who knows the pro knows the topic or you know , whose job it is delegated to be the note - taker . Somebody who 's part of the meeting ."
[14:34] me013 | Mm - hmm .
"[14:46] fe016 | And that way that one student has , you know , a rough idea of what was going on ,"
"[14:51] fe016 | and they can use it for their research . I mean , this isn't really necessarily what you would do in a real system ,"
[14:56] me011 | Mm - hmm .
[14:57] fe016 | because that that 's a lot of trouble and maybe it 's not the best way to do it .
[14:57] me013 | Mm - hmm .
[15:00] me013 | Mm - hmm .
[15:00] fe016 | But if he has some students that want to study that
"[15:03] fe016 | then they should sort of get to know the people and attend those meetings , and"
[15:06] fe016 | get the notes from the note - taker or something .
[15:07] me011 | Right .
[15:08] me013 | Hmm .
"[15:14] me011 | they 've been doing for the last couple of years , and I don't think anyone is still working on it ."
[15:17] me011 | I think they 're done .
[15:17] me013 | Yeah .
"[15:19] me011 | Um , so I 'm not sure that they have anyone currently working on"
[15:22] me011 | notes . So what we 'd have to interest someone in
[15:25] me011 | is the combination of note and speech .
"[15:28] me011 | And so the question is "" is there such a person ? "" And I think right now , the answer is "" no "" ."
[15:32] me011 | We 'll just have to see .
"[15:39] me013 | now I 'm thinking that the summary a summary , uh , is actually a reasonable ,"
"[15:49] me013 | So I was I was just thinking about ,"
[15:53] me013 | w We have this collection of meeting . We have five hours of stuff .
"[15:56] me013 | Uh , we get that transcribed . So now we have five hours of meetings"
"[15:59] me013 | and , uh , you ask me , uh , uh , "" Morgan , what d you know , what kind of questions do you want to ask ? """
"[16:04] me013 | Uh , I wouldn't have any idea what kind of questions I want to ask . I 'd have to get started someplace . So in fact if I looked at summary of it , I 'd go "" oh , yeah , I was in that meeting ,"
"[16:12] me013 | I remember that ,"
[16:15] me013 | And and th I think that might
"[16:17] me013 | then help me to think of things even things that aren't listed in the summary ,"
[16:21] me011 | Mm - hmm .
[16:21] me013 | but just as a as a as a refresh of what the general thing was going on in the meeting .
[16:30] me013 | Mm - hmm .
[16:31] me013 | Yeah .
"[16:35] me013 | Well , yeah . That 's true too ."
[16:37] me025 | Hmm .
"[16:37] me011 | Yeah , absolutely . Then you want to have it ."
"[16:37] fe041 | you know , it 's kind of a key ."
"[16:39] fe016 | So how does the summary get generated ? I 'm not against the idea of a summary , but"
"[16:41] fe041 | Well , i i ?"
[16:41] me011 | By hand .
[16:43] fe016 | I wanted to think carefully about who 's generating it and how because the summary will drive
"[16:44] fe041 | Or , d o"
"[16:53] fe041 | this one being different , but"
"[17:02] fe041 | Um , you can just make it be on a laptop , so then yo you 're dealing with ASCII and not somebody you don't have to go through handwriting recognition ."
"[17:10] fe041 | Um , and then they post - edit it into ,"
"[17:15] fe041 | uh , a summary and they email it out for minutes . I mean , that happens in most meetings ."
[17:19] fe008 | I I I think
[17:25] me025 | Yeah .
[17:25] fe041 | Right .
"[17:25] fe008 | And what I originally thought was , um , if you asked someone "" what was the meeting about ? """
[17:25] fe016 | Yeah . OK .
[17:30] fe041 | Hmm .
"[17:38] fe008 | to have multiple people summarize it ,"
[17:46] fe041 | Mm - hmm .
"[17:46] fe008 | Whereas if you just say it immediately after the meeting ,"
"[17:49] fe008 | you know , a two - minute summary of what the meeting was about , I think you would get ,"
"[17:52] fe008 | uh , with mult See , I I also worry about having a single note - taker because that 's just one person 's perception ."
"[17:58] fe008 | And , um ,"
[18:05] fe008 | major topics that they 're interested in .
[18:07] me013 | A
"[18:07] fe008 | So , my proposal would be that it may be worth considering both of those types , you know , the note - taking and"
[18:11] fe041 | OK .
"[18:12] fe008 | a spontaneous oral summary afterwards , no longer than two minutes ,"
[18:16] fe008 | from multiple people .
"[18:18] me013 | you can correct me on this , but but , uh , my impression was that , uh ,"
[18:26] me011 | Never .
"[18:29] me011 | I mean , Dan is the one who who"
[18:30] me013 | I
[18:33] me025 | Yeah .
"[18:39] me011 | Oh , really ?"
"[18:40] me013 | Yeah , but those are bigger deal things . Right ? Where you 've got fifteen peo I mean , most th this is one of the larger meetings . Most of the meetings we have are"
[18:46] me011 | That 's true are four or five people .
[18:47] me013 | four or five people and you 're not you don't have somebody sitting and taking minutes for it . You just get together and talk about where you are .
[18:48] fe041 | Yeah .
"[18:50] fe041 | Right . So , I think it depends on whether it 's a business meeting"
"[18:55] fe041 | or a technical discussion . And I agree , technical discussions you don't usually have somebody taking notes ."
[18:55] me013 | Yeah .
[18:57] me013 | Yeah .
[19:00] me013 | Yeah .
[19:01] me013 | Yeah .
[19:04] me013 | Do they ?
[19:04] me011 | There 's uh a person with a laptop at each meeting .
[19:06] me025 | How many people are those meetings ?
"[19:08] me011 | There are more . I mean , there are ten - ish ."
[19:10] me025 | Yeah .
[19:12] me013 | Yeah .
[19:13] me011 | They 're very sparse .
[19:29] fe016 | Or you shou could tell people not to to use the boards . But there 's sort of this missing information otherwise .
[19:33] fe008 | I agree .
"[19:34] me011 | you you just you g end up with video ,"
"[19:37] me011 | and and instrumented rooms . And that 's a different project , I think ."
[19:40] me025 | f u
"[19:42] me025 | I think for this data capture , it would be nice to have a digital camera"
"[19:45] fe016 | Uh , y"
[19:50] fe016 | Right .
[19:50] fe008 | I agree . That 's wonderful .
[19:51] fe016 | Yeah . People who were never at the meeting will have a very hard time understanding it otherwise .
[19:51] me025 | for every meeting .
[19:52] fn043 | Mm - hmm .
[19:54] fe008 | I agree .
[19:55] fn043 | Mm - hmm .
"[19:56] me025 | Well , no . I mean , I I just think I mean , I think that right now we don't make a record of where people are sitting on the tables ."
[19:57] fe041 | Right .
[20:06] fe041 | Mmm .
[20:06] me011 | photographs adds a whole nother level of problems .
[20:07] me025 | Yeah .
[20:08] me025 | We -
[20:09] fe008 | It 's just a digital record .
[20:11] fe016 | I don't mean that you model it .
[20:14] fe016 | Like archiving it or storing it .
[20:15] me025 | Yeah .
"[20:15] fe008 | Yes , I agree ."
[20:17] fe008 | I agree .
"[20:17] fe008 | It 's i because discourse is about things , and then you have the things that are about , and it 's recoverable ."
[20:17] fe041 | Mm - hmm .
"[20:20] fe016 | someone later might be able to take these and say "" OK , they , you know at least these are the people who were there and here 's sort of what they started talking about , and """
"[20:30] me013 | uh , L L"
[20:30] me013 | L
[20:31] fe008 | Just to archive .
"[20:32] me013 | u uh , Liz , you sa you sat in on the , uh ,"
[20:36] me025 | I 'll go and get the camera .
"[20:38] me013 | uh , on you on the subcommittee meeting for for at the , uh that workshop we were at that , uh , uh , Mark Liberman was was having ."
"[20:46] me013 | So I I wasn't there . They they they they h must have had some discussion about video and the visual aspect , and all that ."
"[20:52] fe016 | Big , big interest ."
[20:53] me013 | Yeah .
"[20:54] fe016 | Huge . I mean , it personally , I don't I would never want to deal with it . But I 'm just saying"
[20:57] me013 | Yeah .
[20:59] fe016 | first of all there 's a whole bunch of
"[21:01] fe016 | fusion issues that DARPA 's interested in . You know , fusing gesture and face recognition , even lip movement and things like that ,"
[21:03] me013 | Yeah .
[21:08] fe016 | for this kind of task .
[21:10] fe016 | And there 's also
[21:13] fe016 | I think a personal interest on the part of Mark Liberman
[21:16] me013 | Mm - hmm .
[21:19] fe016 | in storing these images in any data we collect so that later we can do other things with it .
"[21:23] me013 | So so to address what what Adam 's saying , I mean , I think you uh , that"
[21:29] me013 | the key thing there is that this is a description of database collection effort that they 're talking about doing .
[21:33] me011 | Mm - hmm .
[21:34] me013 | And if the database exists and includes some visual information that doesn't mean that an individual researcher is going to make any use of it .
[21:41] fe008 | Mm - hmm .
[21:42] me011 | But that it 's gonna be a lot of effort on our part
"[21:45] me011 | to create it , and store it , and"
"[21:48] me011 | get all the standards , and to do anything with it ."
[21:52] me011 | Yeah .
"[21:53] fe016 | I think even doing something very crude Like I know with ATIS , we just had a tape recorder running all the time ."
[21:58] me011 | Mm - hmm .
"[21:58] fe016 | And later on it turned out it was really good that you had a tape recorder of what was happening , even though you w you just got the speech from the machine ."
[22:10] me011 | Low fidelity . Yeah .
"[22:13] fe016 | of doing that , I think it would be worthwhile ."
[22:17] fe016 | Otherwise you 'd you lose it .
[22:26] fe008 | Mm - hmm .
[22:28] fe041 | Mm - hmm .
"[22:31] me011 | Well , once the room is a little more fixed that 's a little easier cuz you 'll Well , the wireless ."
[22:34] me013 | Yeah .
[22:35] me013 | Yeah .
"[22:42] fe016 | And they have said , I talked to the student who had done this , that with two"
[22:48] fe016 | fairly inexpensive cameras they they just recorded all the time and were able to get all the information from or maybe it was three from all the parts of the room .
[22:51] me013 | Mm - hmm .
"[23:06] me011 | I I I don't disagree . I think that if you have that , then people who are interested in vision can use this database ."
[23:07] fe016 | at all .
[23:12] me011 | The problem with it is
[23:13] me011 | you 'll have more people who don't want to be filmed than who don't want to be recorded .
"[23:17] me011 | So that there 's going to be another group of people who are gonna say "" I won't participate "" ."
[23:18] fn043 | Mmm . That 's true .
[23:22] fe041 | Mm - hmm .
"[23:29] fe008 | Well , there 's that 'd be the the parallel , yeah . But I think y she 's we 're just proposing a minimal preservation of things on boards ,"
[23:35] fe016 | Yeah . I definitely won't participate if there 's a camera .
[23:44] fe008 | It 's just one snapshot . We 're not talking about a movie . We 're talking about a snapshot .
[23:48] me011 | Mm - hmm .
[23:51] fe008 | Yeah .
[23:51] me011 | Mm - hmm .
[23:52] fe016 | they just turn on these cameras . They were they were not moving or anything .
[23:57] me025 | It 's on its way .
[23:58] fe016 | And stored it on analog media .
[23:59] me011 | Hmm ?
[24:00] me025 | It 's coming .
"[24:01] fe016 | And they they didn't actually align it or anything . They just they have it , though ."
[24:12] me022 | or just put it on videotape ?
"[24:13] fe016 | I think they just had the videotapes with a c you know , a counter or something . Um ,"
[24:17] me013 | Mm - hmm .
[24:18] fe016 | I 'm not sure .
"[24:20] me013 | we we might try that some and and we certainly already have some recordings that don't have that ,"
"[24:25] me013 | uh , which , you know , we we 'll we 'll get other value out of , I think ."
[24:27] fe016 | Yeah .
[24:27] fe008 | Th -
"[24:36] fe016 | If LDC collects this data u I mean , and L - if Mark Liberman is a strong proponent of how they collect it and what they collect ,"
[24:45] fe016 | there will probably be some video data in there .
[24:47] me013 | There you go .
[24:48] fe016 | And so that could argue for us not doing it or it could argue for us
[24:52] fe016 | doing it . The only place where it sort of overlaps is when
"[24:55] fe016 | some of the summarization issues are actually could be ,"
"[24:58] fe016 | um , easier made easier if you had the video ."
[25:01] fe008 | Mm - hmm .
"[25:11] me013 | if they decide it 's really critical then they will collect a lot more data than we can afford to , uh , and and will include all that ."
[25:19] me013 | I I I 'm not worried about the cost of setting it up . I 'm worried about the cost of people looking at it .
[25:19] fe041 | e
"[25:24] me013 | In other words , it 's it it 'd be kind of silly to collect it all and not look at it at all . And so"
[25:29] me013 | I I I think that we do have to do some picking and choosing
[25:33] me013 | of the stuff that we 're doing .
"[25:37] me013 | we might want to look at at some some , uh , subsets of that . Like"
[25:44] fe008 | Yeah .
"[25:45] fe016 | Or at least make sure that the note - taker takes a sh you know , a snapshot of the board ."
"[25:51] fe016 | That 'll make it a lot easier for meetings that are structured . I mean , otherwise later on if nobody wrote this stuff on the board down we 'd"
[25:52] fe008 | Exactly .
[25:53] fe041 | Mm - hmm .
[25:58] fe016 | have a harder time summarizing it or agreeing on a summary .
"[26:01] fe008 | Especially since this is common knowledge . I mean , this is shared knowledge among all the participants , and it 's a shame to keep it off the recording ."
[26:09] fe008 | s
[26:15] me013 | Yeah .
[26:18] me011 | The point is that we 're not saving it anyway .
[26:21] me011 | Right ? In in our real - life setting .
"[26:28] me011 | Well , uh , in that case we don't need to take pictures of it ."
"[26:31] fe016 | Right . That would be the other alternative , to make sure that anything that was on the board ,"
[26:32] fe041 | Yeah .
"[26:35] fe016 | um , is in the record ."
"[26:39] fe041 | would be I think in many for many meetings there will be some sort of note - taking ,"
[26:51] me011 | Mm - hmm .
"[26:53] fe041 | I mean , I think it would be great if we try to get a picture with every meeting ."
"[26:57] fe041 | Um ,"
"[26:58] fe041 | so so we won't worry about requiring these things , but the more things that we can get it for ,"
[27:03] fe041 | the more useful it will be for various applications .
[27:07] fe041 | So .
"[27:08] me013 | So , I mean , departing for the moment from the data collection question but actually talking about , you know , this group and what we actually want to do ,"
[27:22] me013 | from from today ? OK .
[27:25] me013 | So .
"[27:39] me013 | uh , and we 'll get them from him and we 'll just do that . Right ? And then the next thing"
[27:43] me013 | we talked about was the was the summaries
[27:47] me013 | and are we gonna do anything
[27:50] me013 | about that .
"[27:54] me013 | Oh , OK ."
"[27:56] fe041 | So , if I 'm collecting data"
[27:58] me013 | Yeah .
[27:59] fe041 | then there is this question of
[28:02] fe041 | do I use CrossPads ?
"[28:04] fe041 | So , I think that if"
[28:07] fe041 | we really seriously have me collect data
"[28:10] fe041 | and I can't use CrossPads , it 's probably less useful for you guys to go to the trouble of using it ,"
[28:20] fe041 | n
"[28:21] fe041 | I 'm not I 'm not sure what they 're gonna do . But but having a small percentage of the data with it , I 'm not sure"
[28:27] fe041 | whether that 's useful or not . Maybe maybe it 's no big deal . Maybe we just do it and see what happens .
[28:35] me013 | information that could be useful later for for the UI stuff .
[28:38] fe041 | Mm - hmm .
[28:39] me013 | So it 's sort of Landay supplying it so that Landay 's stuff can be easier to do . So it it Right now he 's g operating from
[28:42] fe041 | Right .
[28:46] fe041 | Nothing .
"[28:51] me013 | You shou I mean , at least try it ."
[28:54] me013 | Yeah .
[28:56] fe041 | Right . OK .
"[28:56] me011 | And and they seem to not be able to give enough of them away , so we could probably get more as well ."
"[28:57] fe016 | You know , what you can do with things ."
[29:01] fe016 | Yeah .
"[29:01] fe041 | That 's true . So if it if it seems to be really useful to you guys , we could probably get a donation to me ."
[29:02] fe016 | But not not to rely on them for basic modeling .
[29:16] me013 | Yeah .
[29:20] fe041 | Right .
[29:25] fe041 | Yeah .
[29:26] fe016 | I just wouldn't base any of the modeling on having those .
[29:28] me011 | Right . I ag I think I agree with that .
[29:29] fe041 | Right .
[29:29] fe016 | Yeah .
