[00:05] fe004 | Time .
[04:51] fe004 | e
[05:02] fe004 | Yeah .
"[05:05] fe004 | OK , but th"
[05:09] fe004 | than the c is the CogSci department that you were talking about ?
"[05:12] fe046 | I guess . See that 's what I suggested to him ,"
[05:13] fe004 | uh reaching out to ? Cuz we have you know people from other
[05:15] mn015 | Yeah .
[05:16] fe004 | areas
[05:19] fe004 | advertise in their classes as well .
"[05:22] fe004 | Cuz I mean I I know how to contact our students , so if there 's something that you 're sending out you can also s um send"
[05:22] mn015 | Mm - hmm .
[05:26] mn015 | Yeah .
"[05:29] fe004 | me a copy , me or Bhaskara could either of us could post it to uh is it if it 's a general solicitation that you know is just contact you then we can totally pro post it to the news group so ."
[05:34] fe046 | A mailing list .
[05:35] mn015 | Mm - hmm .
[05:37] fe046 | Yeah .
[05:37] mn015 | Yeah .
[05:39] mn015 | Do it . Yeah .
"[05:41] fe004 | OK , so you 'll send it or something so ."
[05:44] fe004 | You can send it to me . OK .
"[05:45] mn015 | Now , i"
"[05:45] fe004 | Don't worry , we this doesn't concern you anymore , Robert . It 's fine ."
[05:47] mn015 | How however I suggest that if you if you look at your email carefully you may think you may find that you already have it .
[05:54] fe004 | Already ?
[05:55] fe004 | Really ?
[05:56] fe046 | Probab -
[05:56] mn015 | Maybe .
[05:57] mn015 | OK .
[05:57] fe004 | I don't remember getting anything .
"[05:57] mn015 | W we 'll see . Anyhow , um"
[06:02] mn015 | the uh
"[06:07] mn015 | Yeah , not only CogSci. Also we will talk about Linguistics and of course Computer Science ."
[06:10] fe004 | Mm - hmm .
"[06:12] mn015 | Um and then , secondly , we had , you may remember , um the problem with the re - phrasing , that subject always re - phrase sort of the task that uh we gave them , and so we had a meeting on Friday talking about how to avoid that , and it"
[06:22] me003 | Right .
[06:29] mn015 | proved finally fruitful in the sense that we came up with a new scenario for
"[06:34] mn015 | how to get the the subject m to really have intentions and sort of to act upon those , and um"
"[06:44] mn015 | there the idea is now that next actually we we need to hire one more person to actually do that job because it it 's getting more complicated . So if you know anyone interested in in what i 'm about to describe , tell that person to to write a mail to me or Jerry soon , fast ."
"[06:59] mn015 | Um the idea now is to sort of come up with a high level of sort of abstract tasks "" go shopping "" um "" take in uh a batch of art "" um"
"[07:16] mn015 | "" visit do some sightseeing "" blah - blah - blah - blah - blah , sort of analogous to what Fey has started in in in compiling compiling here and already she has already gone to the trouble of of anchoring it with specific um"
[07:33] mn015 | o um entities and real world places you will find in Heidelberg .
"[07:38] mn015 | And um . So out of these f s these high level categories the subject can pick a couple ,"
"[07:45] mn015 | such as if if there is a cop uh a category in emptying your roll of film , the person can then decide"
"[07:53] mn015 | "" OK , I wanna do that at this place "" , sort of make up their own itinerary a and and tasks"
"[08:00] mn015 | and the person is not allowed to take sort of this h high level category list with them , but"
[08:06] mn015 | uh the person is able to take notes on a map that we will give him and the map will be a tourist 's sort of schematic representation
"[08:15] mn015 | with with symbols for the objects . And so , the person can maybe make a mental note that "" ah yeah I wanted to go shopping here "" and "" I wanted to"
"[08:23] mn015 | maybe take a picture of that "" and "" maybe um eat here """
"[08:28] mn015 | and then goes in and solves the task with the system , IE Fey , and um"
[08:37] mn015 | and we 're gonna try out that Any questions ?
[08:44] fe004 | the nice thing about having data where you know what the actual intention was ?
[08:47] mn015 | Mm - hmm . Yeah .
[08:50] fe004 | There 's nothing that says you know
"[08:56] fe004 | Right , so they 'll have a little bit more natural interaction ?"
[08:58] fe004 | OK .
[08:58] mn015 | Hopefully .
[08:59] fe004 | Mm - hmm .
"[09:00] me012 | So they 'll be given this map , which means that they won't have to like ask the system for in for like high level information about where things are ?"
[09:06] mn015 | Yeah it 's a schematic tourist map . So it 'll be uh i it 'll still require the that information and
[09:13] mn015 | An -
[09:13] fe004 | It w it doesn't have like streets on it that would allow them
[09:15] mn015 | N not not not really the street network .
[09:16] fe004 | to figure out their way OK .
[09:18] mn015 | Nuh .
[09:22] me045 | So you 're just saying like what part of town
[09:24] me045 | the things are in or whatever ?
[09:24] mn015 | Yeah a and um the map is more a means for them to have
[09:29] mn015 | the buildings and their names and maybe some ma ma major streets and their names
[09:34] fe004 | Mm - hmm .
"[09:35] mn015 | and we want to maybe ask them , if you have get it sort of isolated street"
"[09:40] mn015 | the the , whatever , "" River Street "" , and they know that they have decided that , yes , that 's where they want to do this kind of action"
[09:48] mn015 | um that they have it with them and they can actually read them or sort of have the label
[09:53] mn015 | for the object because it 's too hard to memorize all these st strange German names .
[10:02] mn015 | And then we 're going to have another we 're gonna have w another trial run IE the first with that new setup tomorrow at two
[10:11] mn015 | and we have a real interesting subject which is Ron Kay
"[10:16] mn015 | for who those who know him , he 's the founder of ICI . So he 'll he 's around seven seventy years old , or something ."
[10:28] fe004 | OK .
"[10:30] mn015 | And he also approached me and he offered to help um our project and he was more thinking about some high level thinking tasks and I said "" sure we need help you can come in as a subject "" and he said "" OK "" . So that 's what 's gonna happen , tomorrow ,"
[10:48] fe004 | Using this new new
[10:48] mn015 | data .
[10:49] mn015 | New new set up .
"[10:49] fe004 | um plan , OK ."
[10:51] mn015 | Yeah .
[10:54] mn015 | Which I 'll hopefully sort of
[10:57] mn015 | scrape together t
"[10:59] mn015 | But , thanks to Fey , we already have sort of a nice blueprint and I can work with that ."
[11:06] mn015 | Questions ? Comments on that ?
"[11:11] mn015 | If not , we can move on ."
[11:27] mn015 | No ? No more questions ?
[11:29] fe004 | So what 's the s this is what you
[11:31] mn015 | Hmm ?
[11:32] me045 | I 'm not sure I totally understand everything that 's being talked about but I I imagine I 'll c just catch on .
[11:34] mn015 | Um are you familiar with with the with the very rough setup of the data ?
[11:36] fe004 | So it 's just based on like the materials you had about Heidelberg .
[11:39] fe004 | Oh OK there 's a web site and then you could like um figure out what the cate OK .
[11:40] mn015 | experiment ?
[11:40] fe046 | Right .
"[11:41] fe046 | It 's a tourist information web site , so ."
[11:43] fe004 | OK .
[11:44] me045 | Yeah .
[11:46] me045 | Yeah .
[11:47] mn015 | The question is just sort of how do we get the tasks in their head that they have an intention of doing something and have a need to ask the system for something without giving them sort of a clear wording or phrasing of the task .
[11:50] me045 | OK .
[11:53] me045 | OK .
[11:56] me045 | OK .
[12:00] me045 | OK .
[12:03] fe004 | Hmm .
"[12:04] mn015 | or as much as they can , of that phrasing ."
[12:07] me045 | OK .
[12:09] fe004 | Um . The The goals that we 've d you guys have been talking about are this these you know identifying which of three modes um their question
[12:13] mn015 | Mm - hmm .
[12:21] fe004 | Uh - huh .
[12:24] fe004 | Uh - huh .
[12:27] fe004 | Mm - hmm .
[12:28] mn015 | um and the subjects sit down together with these high level things and so
"[12:33] mn015 | th the q first question for the subject is , "" so these are things , you know , we thought a tourist can do . Is there anything that interests you ? """
[12:40] fe004 | Mm - hmm .
"[12:41] mn015 | And the person can say "" yeah , sure sh this is something I would do . I would go shopping "" ."
"[12:45] mn015 | Yeah ? and then we can sort of this s instructor can say "" well ,"
[12:45] fe004 | Mm - hmm .
"[12:49] mn015 | uh then you you may want to find out how to get over here because this is where the shopping district is "" ."
[12:56] fe004 | So the interaction beforehand will give them hints about how specific or how
[13:00] fe004 | whatever though the kinds of questions that are going to ask during the actual session ?
"[13:04] mn015 | No . Just sort of OK , what what what would you like to buy and then"
[13:09] fe004 | Yeah .
"[13:09] mn015 | um OK there you wanna buy a whatever cuckoos clocks OK and the there is a store there . So the task then for that person is t finding out how to get there , right ? That 's sort of what 's left ."
[13:13] me045 | Mm - hmm .
[13:17] fe004 | Mm - hmm .
[13:18] fe004 | Mm - hmm .
[13:20] mn015 | And we know that the intention is to enter because we know that the person wants to buy a cuckoos clock .
"[13:24] fe004 | OK , that 's what I mean so like those tasks are all gonna be um unambiguous about which of the three"
[13:29] fe004 | modes . Right . OK . So .
[13:29] mn015 | Hopefully .
"[13:31] mn036 | Well ,"
[13:31] mn015 | Hopefully .
[13:32] fe004 | t
[13:32] mn036 | so the idea is to try to get the actual phrasing that they might use and try to interfere as little as possible with their choice of words .
[13:42] mn036 | uh uh
"[13:48] mn036 | Well , u u the one experiment th that that that I 've read somewhere , it was they u used pictures ."
[13:53] mn015 | Yep .
[13:53] me045 | Mm - hmm .
[13:53] mn036 | So to to uh actually um uh specify the the tasks .
"[13:58] mn036 | Uh , but you know i"
[14:00] mn015 | We had exactly that on our list of possible way things so we uh I even made a sort of a silly
"[14:07] mn015 | thing how that could work , how you control you are here you you want to know how to get someplace , and this is the place"
[14:15] mn015 | and it 's a museum and you want to do some and and and there 's a person looking at pictures .
"[14:19] mn015 | So ,"
"[14:20] mn015 | you know , this is exactly getting someplace with the intention of entering and looking at pictures ."
[14:24] mn036 | Right .
"[14:25] mn015 | However ,"
[14:26] mn015 | not only was the common census were among all participants of Friday 's meeting was
"[14:33] mn015 | it 's gonna be very laborious to to make these drawings for each different things , all the different actions , if at all possible , and also people will get caught up in the pictures . So all of a sudden we 'll get descriptions of pictures in there ."
[14:38] mn036 | Right .
[14:47] mn036 | Right .
[14:48] me045 | Hmm .
[14:51] mn036 | Right .
[14:52] mn015 | um
[14:52] mn015 | I would s I would still be willing to try it .
[15:05] mn036 | and also uh I think it it will be a good idea to show them the text
[15:11] mn036 | and kind of chew the task and then take the test away the the the the the text away so that they are not uh guided by by
[15:14] mn015 | Mm - hmm . Yeah .
"[15:21] mn015 | Yeah , they will have no more linguistic matter in front of them when they enter this room ."
[15:24] mn036 | Right .
[15:32] mn015 | OK .
"[15:42] mn015 | to we have um uh the EDU Project , let me make one more general remark , has sort of two two side uh um"
"[15:53] mn015 | actions , its um action items that we 're do dealing with ,"
[15:57] mn015 | one is modifying the SmartKom parser and the other one is modifying the SmartKom natural language generation
[16:04] mn015 | module . And um
[16:07] mn015 | this is not too complicated but I 'm just mentioning it put it in the framework because this is
[16:12] mn015 | something we will talk about now .
"[16:15] mn015 | Um , I have some news from the generation , do you have news from the parser ?"
"[16:21] me012 | Yes , uh , I would really p It would be better if I talked about it on Friday ."
"[16:25] mn015 | OK . Yeah , wonderful . Um , did you run into problems or did you run into not h having time ?"
[16:25] me012 | If that 's OK .
[16:33] me012 | Yeah .
[16:37] me012 | OK .
[16:39] mn015 | And um I I do have some good news for the natural language generation however . And the good news is I guess it 's done .
"[16:50] mn015 | Uh , meaning that Tilman Becker , who does the German one , actually took out some time and already did it in English for us ."
[16:59] mn015 | And so the version he 's sending us is already producing the English that 's needed to get by in version one point one .
[17:06] me012 | So I take it that was similar to the what what we did for the parsing ?
"[17:09] mn015 | Yeah . I I it even though the generator is a little bit more complex and it would have been , not changing one hundred words but maybe four hundred words , but it would have been"
[17:13] me012 | OK .
[17:18] mn015 | @ @
[17:18] me012 | OK .
"[17:19] mn015 | but this this is I guess good news , and the uh the time"
[17:34] mn015 | No . The time is now pretty much fixed . It 's the last week of April until the fourth of May so it 's twenty - sixth through fourth .
[17:44] fe004 | That they 'll be here ?
[17:45] mn015 | That they 'll be here . So it 's it 's extremely important that the two of you are also present in this town
[17:56] mn015 | during that time .
"[17:57] me003 | Wait , what what are the days ?"
[17:59] me003 | April twenty - sixth to the May fourth ?
"[18:01] mn015 | Yeah , something like that ."
[18:05] me012 | Yeah .
[18:07] mn015 | There is a d Isn't finals coming up then pretty much after that ?
[18:11] me012 | Finals was that .
[18:12] fe004 | Yeah w it doesn't really have much meaning to grad students but final projects might .
[18:17] mn015 | OK .
"[18:17] me012 | Yeah actually , that 's true ."
[18:21] me003 | Well I 'll be here working on something .
[18:30] mn036 | Hmm .
[18:31] mn015 | No it 's just um you know they 're coming for us so that we can bug them and ask them more questions and sit down together and write sensible code and they can give some nice talks and stuff . But uh
[18:31] fe004 | Ye -
[18:45] me003 | But it 's not like we need to be with them twenty - four hours a day s for the seven days that they 're here .
[18:48] mn015 | not unless you really really want to .
[18:54] mn015 | Not unless you really want to .
[18:57] mn015 | And they 're both nice guys so you may may want to .
"[19:02] mn015 | OK , that much from the parser and generator side , unless there are more questions on that ."
"[19:10] fe004 | So , no sample generator output yet ?"
[19:13] mn015 | No .
[19:13] fe004 | OK .
"[19:14] mn015 | It Just a mail that , you know , he 's sending me the the the stuff soon and I was completely flabbergasted here and I and that 's also it 's it 's going to produce the concept - to - speech uh blah - blah - blah information for necessary for one point one in English based on the English , you know , in English . So ."
"[19:14] fe004 | This is being sent , mm - hmm ."
[19:18] fe004 | OK .
[19:19] fe004 | Mm - hmm .
"[19:32] mn015 | I was like "" OK ,"
[19:34] me045 | We 're done .
"[19:35] mn015 | we 're done ! """
"[19:36] fe004 | So that was like one of the first l You know , the first task was getting it working for English . So that 's basically"
[19:41] fe004 | over now . Is that right ?
[19:42] mn015 | Yeah .
[19:43] fe004 | So the basic requirement fulfilled .
"[19:45] mn015 | Um , the basic requirement is fulfilled"
[19:50] mn015 | almost . When
"[19:53] mn015 | Andreas Stolcke and and his gang , when they have um changed the language model of the recognizer and the dictionary , then we can actually a put it all together"
[19:54] fe004 | Mm - hmm .
[19:59] fe004 | Mm - hmm . So the speech recognizer also works . Uh - huh .
[20:04] fe004 | Mm - hmm .
[20:05] mn015 | and
"[20:07] mn015 | you can speak into it and ask for TV and movie information and then when if if something actually happens and some answers come out , then we 're done ."
[20:08] me045 | Toll .
[20:17] fe004 | Mm - hmm .
[20:20] fe004 | If and they 're kind of correct . And they kind of are are correct . It 's not just like anything .
[20:22] mn015 | Hmm ?
[20:25] me045 | Perhaps if the answers have something to do with the questions for example .
[20:30] fe004 | Are they is it using the database ? the German TV movie . OK . So all the actual data might be German names ?
[20:33] mn015 | Yeah .
[20:38] mn015 | Um well actually th um
[20:40] fe004 | Or are they all like American TV programs ?
[20:43] me045 | I want to see
"[20:49] mn015 | OK , so you don't know how the German dialogue uh the German the demo dialogue actually works . It works the first thing is what 's , you know , showing on TV ,"
"[20:59] mn015 | and then the person is presented with what 's running on TV in Germany on that day , on that evening"
"[21:04] fe004 | Mm - hmm , mm - hmm ."
"[21:06] mn015 | and so you take one look at it and then you say "" well that 's really nothing there 's nothing for me there """
"[21:10] mn015 | "" what 's running in the cinemas ? "" So maybe there 's something better happening there . And then you get you 're shown what movies play which films , and it 's gonna be of course all the Heidelberg movies and"
[21:12] fe004 | Mm - hmm .
[21:21] mn015 | what films they are actually showing . And most of them are going to be Hollywood movies .
[21:22] fe004 | Mm - hmm .
[21:26] fe004 | Hmm .
"[21:26] mn015 | So , "" American Beauty "" is "" American Beauty "" , right ? Yeah ."
[21:29] me045 | Mm - hmm .
[21:29] fe004 | Right .
[21:30] mn015 | And um .
[21:34] mn015 | N
"[21:41] mn015 | Yeah , but it in that sense it doesn't make In that case uh it doesn't really make sense to read them out loud ."
[21:42] fe004 | S
[21:47] mn015 | if you 're displaying them .
[21:49] mn015 | But uh it 'll tell you that this is what 's showing in Heidelberg
[21:52] fe004 | Yeah .
"[21:52] mn015 | and there you go . And the presentation agent will go "" Hhh ! "" Nuh ?"
[21:53] fe004 | OK .
[21:56] mn015 | Like that the avatar . And um .
[21:57] fe004 | OK .
[22:00] mn015 | And then you pick pick a movie and and and it show shows you the times and you pick a time and you pick seats and all of this . So .
[22:07] fe004 | OK .
[22:09] mn015 | Pretty straightforward .
[22:11] me045 | OK .
[22:13] mn015 | But it 's so this time we we are at an advantage because it was a problem for the German system to incorporate all these English movie titles .
[22:21] fe004 | Yeah .
[22:22] fe004 | Right .
"[22:23] mn015 | But in English , that 's not really a problem ,"
[22:25] fe004 | Mm - hmm .
[22:25] mn015 | unless we get some some topical German movies that have just come out and that are in their database .
[22:32] fe004 | Right .
"[22:32] mn015 | So the person may select "" Huehner Rennen "" or whatever ."
"[22:37] me045 | "" Chicken Run "" ."
[22:40] mn015 | OK . Then uh on to the modeling .
[22:45] mn015 | Right ?
"[22:46] me003 | Yeah , yeah , I guess ."
"[22:49] mn015 | Um then modeling ,"
[22:52] mn015 | there it is .
[22:55] me045 | OK . What 's the next thing ?
[22:55] me003 | Yep . e
[23:00] mn015 | This is very rough but this is sort of what um Johno and I managed to come up with .
[23:10] me003 | This is the uh s
"[23:12] me003 | the schema of the XML here , not"
[23:15] me003 | an example or something like that .
"[23:16] mn015 | Yeah this is not an XML this is sort of towards an a schema , nuh ? definition ."
[23:16] me045 | OK .
[23:19] mn036 | Right .
"[23:21] mn015 | The idea is , so , imagine we have a library of"
[23:26] mn015 | schema such as the Source - Path - Goal
"[23:30] mn015 | and then we have forced uh motion ,"
"[23:33] mn015 | we have cost action ,"
[23:34] me045 | Mm - hmm .
[23:36] fe004 | Mm - hmm .
[23:36] mn015 | we have a whole library of schemas .
"[23:39] mn015 | And they 're gonna be , you know , fleshed out in in their real ugly detail , Source - Path - Goal , and there 's gonna be s a lot of stuff on the Goal and blah - blah - blah , that a goal can be and so forth ."
"[23:57] mn015 | the fact that we 're calling this "" action schema "" right now should not entail that we are going to continue calling this "" action schema "" . But what that means is"
[24:07] mn015 | we have here first of all on the in the in the first iteration a stupid list of Source - Path - Goal actions
[24:15] me003 | Actions that can be categorized with or that are related to Source - Path - Goal .
[24:17] mn015 | wi
[24:19] me045 | OK .
[24:19] mn015 | to that schema
[24:21] fe004 | Mm - hmm .
[24:22] mn015 | and we will have you know forced motion and cost action actions .
[24:27] me003 | And then those actions can be in multiple categories at the same time if necessary .
"[24:38] fe004 | Forced motion and caused action for instance , OK ."
"[24:39] mn015 | Exactly . Yeah . Also , these things may or may not"
[24:45] mn015 | get their own structure in the future .
"[24:49] mn015 | So this is something that , you know , may also be a res As a result of your work in the future , we may find out that , you know , there 're really s these subtle differences between um even within the domain of entering in the light of a Source - Path - Goal schema , that we need to put in fill in additional structure up there ."
[25:12] mn015 | But it gives us a nice handle . So with this we can basically um you know s slaughter the cow any anyway we want .
[25:20] mn015 | Uh .
[25:30] mn015 | But this sort of gets the job done in that respect and maybe it is even conceptually somewhat adequate in a sense that
"[25:38] mn015 | um we 're talking about two different things . We 're talking more on the sort of intention level , up there , and more on the this is the your basic bone um schema , down there ."
"[25:51] me003 | Uh one question , Robert . When you point at the screen is it your shadow that I 'm supposed to look at ? OK . Whereas I keep looking where your hand is ,"
[25:55] fe004 | Yeah . It 's the shadow .
"[26:00] mn015 | Well , that wouldn't have helped you at all ."
[26:01] fe004 | Right .
[26:01] me003 | Yeah .
"[26:03] me003 | Basically , what this is is that there 's an interface between what we are doing and the action planner"
[26:09] me003 | and right now the way the interface is
[26:15] me003 | what the person claimed was the source and the person claimed as the goal
[26:18] me003 | passed on .
[26:19] fe004 | Mm - hmm .
"[26:19] me003 | And the problem is , is that the current system does not distinguish between goes of type "" going into "" , goes of type "" want to go to a place where I can take a picture of "" , et cetera ."
"[26:30] mn015 | So this is sort of what it looks like now , some simple "" Go "" action from it from an object named "" Peter 's Kirche "" of the type "" Church "" to an object named "" Powder - Tower "" of the type "" Tower "" ."
[26:42] fe004 | This is the uh what the action planner uses ? This is OK .
[26:43] mn015 | Right ?
[26:45] me003 | Right . Currently .
[26:46] mn015 | Currently .
[26:46] fe004 | And is that and tha that 's changeable ? or not ?
[26:50] fe004 | Like are we adapting to it ?
"[26:52] mn015 | No . We This is the output , sort of , of the natural language understanding , right ?"
[26:57] fe004 | Uh - huh .
"[26:58] mn015 | the input into the action planning , as it is now ."
[26:59] fe004 | Mm - hmm .
[27:01] fe004 | Mm - hmm .
[27:09] me003 | OK .
[27:10] mn015 | um we 're gon uh uh
[27:11] mn015 | here you have the action
[27:19] me045 | A laser pointer would be most appropriate here I think .
[27:23] me003 | Robert likes to be abstract and that 's what I just thought he was doing .
"[27:28] mn015 | Sort of between here and here , so as you can see this is on one level and we are going to add another"
[27:35] me045 | Mm - hmm .
"[27:39] mn015 | um "" Struct "" , if you want ,"
[27:42] mn015 | IE a rich action description on that level .
"[27:47] mn015 | Exactly . In the future though , the content of a hypothesis will not only be an object and an an action and a domain object but an action , a domain object , and a rich action description ,"
[27:48] fe004 | Right ? that doesn't hurt the current way .
[27:52] fe004 | Mm - hmm .
[27:56] fe004 | Mm - hmm .
"[27:58] me003 | Which which we 're abbreviating as "" RAD "" ."
[27:58] fe004 | Good .
[28:01] me045 | Rad !
"[28:03] me012 | So um you had like an action schema and a Source - Path - Goal schema , right ? So how does this Source - Path - Goal schema fit into the uh action schema ? Like is it one of the tags there ?"
[28:10] fe004 | Yeah can you go back to that one ?
"[28:14] me003 | So the Source - Path - Goal schema in this case ,"
"[28:15] me003 | I 've if I understand how we described we set this up ,"
[28:34] me003 | the features I guess . I 'm not it 's hard for me to exactly s
[28:37] me003 | So basically that will store
[28:39] me003 | the the object that is w
[28:43] me045 | Mm - hmm .
[28:44] fe004 | So the fillers of the role source .
"[28:45] me003 | the f we 'll fill those in fill those roles in , right ?"
[28:47] fe004 | OK .
[28:47] mn015 | Yeah .
[28:52] me003 | See we so those are schemas exist because in case we need extra information
[28:57] me003 | instead of just making it an attribute and which which is just one thing we we decided to make it 's own entity so that we could
[29:03] me003 | explode it out later on
[29:05] me003 | in case there is some structure that that we need to exploit .
"[29:07] fe004 | OK , so th sorry I just don't kn um um um This is just"
"[29:11] fe004 | uh XML mo notational but um the fact that it 's action schema and then sort of slash action schema that 's a whole entit That 's a block ,"
"[29:17] me003 | That 's a block , yeah ."
"[29:21] mn015 | No , no , no . Source is just not spelled out here . Source meaning Source will be uh will have a name , a type ,"
"[29:23] fe004 | Oh , OK , OK ."
"[29:29] mn015 | maybe a dimensionality , maybe canonical"
"[29:31] fe004 | Uh - huh , uh - huh ."
[29:34] fe004 | OK could it it could also be blocked out then as OK .
"[29:36] me003 | Yeah , the So Yeah ."
"[29:37] mn015 | s Source it will be , you know we 'll f we know a lot about sources so we 'll put all of that in Source . But it 's independent whether we are using the SPG schema in an Enter , View , or Approach mode , right ? This is just properties of the SPG schema ."
[29:41] fe004 | OK .
[29:48] fe004 | Mm - hmm .
"[29:52] mn015 | We can talk about Paths being the fastest , the quickest , the nicest and so forth , uh or or and the Trajector should be coming in there as well ."
[30:00] fe004 | OK .
[30:01] mn015 | And then G the same about Goals .
"[30:10] fe004 | It 's gonna be one y you 'll pick one of those for OK these are this is just a layout of the possible that could go play that role . OK , go it . Uh - huh ."
[30:12] me003 | Right .
"[30:15] me003 | Right , so the the the roles will be filled in with the schema and then what actual a"
[30:15] mn015 | Hmm ?
[30:19] fe004 | OK .
[30:19] me003 | action is
[30:21] fe004 | OK .
[30:22] me003 | chosen is will be in the in the action schema section .
[30:22] fe004 | S S
"[30:25] fe004 | OK , so one question . This was in this case it 's all um clear , sort of obvious ,"
"[30:34] fe004 | I mean it 's it 's implicit that the person that 's moving is doing entering viewing and approaching ,"
[30:39] fe004 | but you know the usual thing is we have bindings between sort of they 're sort of like action specific roles and the more general Source - Path - Goal specific roles .
[30:47] fe004 | So are we worrying about that or not for now ? OK .
[30:56] fe004 | I I may be just um reading this and interpreting it into my head in the way that I 've always viewed things
[31:00] mn015 | Hmm .
[31:01] me045 | Hmm .
[31:01] fe004 | and that that may or may not be what you guys intended .
"[31:03] fe004 | But if it is , then the top block is sort of like"
"[31:05] fe004 | um , you know , you have to list exactly what X - schema or in this action schema , there 'll be a certain one ,"
"[31:11] fe004 | that has its own s structure and maybe it has stuff about that specific to entering or viewing or approaching ,"
"[31:17] fe004 | but those could include roles like the thing that you 're viewing , the thing that you 're entering , the thing that you 're whatever , you know ,"
"[31:23] fe004 | that which are think think of enter , view and approach as frames and they have frame - specific parameters and and roles"
[31:27] me045 | Yeah .
[31:27] mn015 | Mm - hmm .
[31:29] mn015 | Yeah .
"[31:31] fe004 | and you can also describe them in a general way as Source - Path - Goal schema and maybe there 's other image schemas that you could you know add after this that you know ,"
[31:36] mn015 | Mm - hmm .
