[00:05] fe008 | OK .
[05:52] fe016 | So here 's the actual copy of the email um
[05:53] fe008 | wait we should say something about the glitch . He he can say something about the glitch . Cuz it 's it 's it 's h it 's it 's very small very small .
[05:56] me011 | yeah .
[05:59] me011 | there there 's an acoustic glitch that occurs where um the channels get slightly asynchronized
[06:00] fe008 | Yep .
[06:02] fe016 | Oh .
[06:05] fe016 | Right .
[06:05] me011 | so the that that problem has gone away in the original driver
[06:05] mn017 | Mmm .
[06:08] me011 | believe it or not when the SSH key gen ran the driver paused for a fraction of a second
[06:13] me001 | Hmm .
[06:13] me013 | Hmm .
[06:14] me011 | and so the channels get a little asynchronous and so if you listen to it in the middle there 's a little part where it starts doing doing click sounds .
[06:21] fe016 | And is it only once that that happens ?
[06:22] me011 | But
[06:23] me011 | yeah it right once in the middle .
[06:23] fe016 | OK .
[06:24] fe016 | There 's the previous page has some more information about sort of what was wrong but
[06:28] me011 | Um
"[06:28] me013 | so un unsurprisingly Adam is the golden voice , you see this here ?"
[06:28] fe008 | S
[06:28] fe016 | OK so that 's actually
[06:29] me011 | But that shouldn't affect anything
[06:35] fe016 | What happens is it actually affects the script that Don I mean if we know about it then I guess it could always be checked for it but they
[06:37] me018 | Huh .
[06:39] me011 | Well the acoustic one shouldn't do anything .
"[06:41] me001 | Yeah , I don't know exactly what affected it but I 'll I 'll talk to you about it , I 'll show you the point ."
[06:41] fe008 | I agree . I agree .
[06:44] me011 | But
[06:44] mn017 | Yeah .
"[06:44] fe008 | Yeah . It it had no effect on my transcription , you know , I mean I I had no trouble hearing it and and having time bins but"
[06:44] fe016 | Yeah .
[06:46] mn017 | Mmm .
[06:50] me011 | I do remember seeing once the transcriber produce an incorrect XML file where one of the synch numbers was incorrect .
[06:54] fe008 | Oh .
[06:56] me001 | That 's what happened .
"[06:56] fe016 | Well , the the synch time the synch numbers have more significant digits than they should , right ? There 's things that are l in smaller increments than a frame ."
[06:57] fe008 | Oh .
[06:57] mn005 | Yeah .
[06:58] me011 | Where where they weren't monotonic .
[07:02] mn005 | Yeah .
"[07:04] fe008 | Oh , interesting ."
[07:04] me011 | Oh OK so that 's
[07:05] me001 | Hmm .
"[07:05] fe016 | And so then , I mean you look at that and it 's got you know more than three significant digits in a synch time then that can't be right so"
[07:09] fe008 | Oh . Yeah .
[07:11] me011 | yeah sounds like a bug .
[07:11] mn017 | Mmm .
[07:12] fe016 | anyway it 's it 's just that 's why we only have twenty minutes but there 's a significant
[07:16] me001 | Non - zero ?
[07:19] me011 | The other one I saw was that it
"[07:19] me001 | cuz there 's a lot of zeros I tacked on just because of the way the script ran , I mean but there were there was a point ."
[07:22] me011 | yeah .
[07:24] fe016 | Yeah that was fine . That that was OK .
[07:25] me011 | The other one I saw was non non - monotonic synch times and that definitely indicra indicates a bug .
[07:27] me001 | OK .
[07:29] me001 | Uh .
"[07:29] fe016 | Well that would really be a problem , yeah . So anyway these are just the ones that are the prebug"
[07:33] me001 | Yeah .
[07:35] fe016 | for one meeting .
[07:38] me011 | So that 's very encouraging .
"[07:39] fe016 | which this is really encouraging cuz this is free recognition , there 's no"
[07:40] mn005 | Yeah .
[07:41] me013 | Cool .
[07:42] mn017 | Mmm .
[07:43] fe016 | I mean the language model for Switchboard is totally different so you can see some like
[07:47] me018 | Trent Lott .
"[07:47] fe016 | this Trent Lott which um I mean these are sort of funny ones , there 's a lot of perfect ones and good ones and all the references , I mean you can read them and"
[07:56] fe016 | when we get more results you can look through and see but
[07:57] me011 | I
[07:58] mn017 | Mm - hmm .
[07:59] me011 | and as I said I would like to look at the lattices because it sounded like even the ones it got wrong it sort of got it right ?
[07:59] fe016 | um it 's pretty good .
[08:04] fe016 | Well so I guess we can generate
[08:04] me011 | Sounds likes ?
[08:06] fe008 | Mm - hmm .
"[08:06] mn017 | There are a fair number of errors that are , you know where got the plural S wrong or the inflection on the verb wrong ."
[08:07] fe016 | um
"[08:11] me011 | Yeah , and who cares ? And and there were lots of of course the "" uh uh "" - s , "" in on "" - s"
"[08:17] me011 | "" of uh "" - s ."
[08:17] fe016 | No those are actually
[08:17] mn017 | Yeah .
"[08:18] fe016 | a lot of the errors I think are out of vocabulary , so is it like PZM is three words , it 's PZM , I mean there 's nothing"
[08:21] mn017 | Mm - hmm .
[08:24] mn017 | Mm - hmm .
[08:25] me011 | Right .
[08:26] fe016 | There 's no language model for PZM
[08:26] me011 | Ri - ri right .
[08:28] fe016 | or um
[08:32] me011 | Do you mean so every time someone says PZM it 's an error ?
[08:37] fe016 | Well well there 's all kinds of other stuff like Jimlet and
[08:40] fe016 | I mean
[08:42] fe016 | so but this is really encouraging because
"[08:46] fe016 | so , I mean the bottom line is even though it 's not a huge amount of data"
[08:50] fe016 | um
[08:50] fe016 | it should be
[08:57] fe016 | of r reasonable s you know Switchboard this is like h about how well we do
[09:04] me011 | Right .
[09:07] me011 | Excellent .
[09:08] fe016 | got sort of a different population of speakers
[09:10] fe016 | and a different topic and they 're talking about things in the news that happened after Switchboard - one so there was @ @ so that 's great .
[09:16] me013 | Yeah .
[09:17] me013 | Yeah so we 're in better shape than we were say when we did had the ninety - three workshop
[09:17] fe016 | Um
[09:20] me013 | and we were all getting like seventy percent error on Switchboard .
[09:23] mn017 | Mm - hmm .
"[09:23] fe016 | Oh yeah I mean this is really , and thanks to Andreas who , I mean this is a"
[09:25] mn017 | Mmm .
[09:26] mn017 | Mmm .
[09:26] me011 | Well
[09:27] me013 | Yeah .
"[09:27] me011 | especially for the very first run , I mean"
[09:27] fe016 | eh um
[09:29] me013 | Yeah .
[09:29] fe016 | yeah
[09:34] fe016 | So and what al also this means is that um
[09:35] fe008 | Right .
"[09:35] me011 | Not Switchboard , uh Broadcast News ."
[09:37] fe016 | I mean there 's a bunch of things in this note to various people especially I guess
[09:41] fe016 | um with Jane that that would help for since we have this new data now
[09:45] fe016 | uh in order to go from the transcripts
[09:47] fe016 | more easily to
[09:49] fe016 | um just the words that the recognizer would use for scoring .
[09:53] fe016 | I had to deal with some of it by hand but I think a lot of it
[09:58] me013 | Oh one thing I guess I didn't get so
[10:00] me013 | you know the language model was straight from from bigram from Switchboard
[10:03] me013 | the acoustic models were also from Switchboard or or
[10:05] mn017 | Yeah .
[10:06] fe016 | Yeah .
[10:06] fe008 | That 's amazing .
[10:06] me013 | So they didn't have anything from this acoustic data in yet ? OK .
"[10:07] me011 | Yeah , so that 's great ."
[10:08] fe016 | No .
[10:09] fe016 | And actually we actually um used Switchboard telephone bandwidth models
[10:09] fe008 | That 's amazing .
[10:13] me013 | Yeah .
[10:13] fe016 | which I guess
"[10:13] me018 | I was just gonna say , yeah ."
"[10:15] fe016 | so that 's the on that 's the only acoustic training data that we have a lot of and I guess Ramana , so a guy at SRI said that"
[10:16] me011 | Yeah .
[10:17] mn017 | Right .
[10:22] fe016 | um there 's not a huge amount of difference
[10:24] fe016 | going from it 's it 's not like we probably lose a huge amount but we won't know because we don't have any full band models for s conversational speech .
[10:25] me013 | Right .
[10:30] me018 | It 's probably not as bad as going f using full band models on
[10:32] fe016 | So .
[10:34] me018 | telephone band speech right ?
[10:35] mn017 | Oh yeah . Yeah .
"[10:35] fe016 | Right . Right , so it 's so"
"[10:36] me013 | Yeah , but for Broadcast News when we we played around between the two there wasn't a huge"
"[10:40] me011 | Right , it was not a big deal ."
[10:40] fe016 | Yeah so I wou so that 's good .
[10:41] me013 | loss .
[10:42] me011 | Although combining em worked well .
[10:46] mn017 | I mean there 's uh
[10:48] mn017 | actually more data is from Broadcast News but with a little less weight
[10:51] fe016 | Yeah .
[10:52] me013 | Uh - huh .
[10:52] fe016 | Like Trent Lott must have been from I guess Switchboard was before uh .
[10:52] mn017 | uh because
"[10:54] mn017 | mm - hmm , right ."
[10:56] mn017 | Um
"[10:58] mn017 | for fun we also ran , I mean our complete system starts by doing ge a gender detection"
[11:03] me013 | Mm - hmm .
[11:04] mn017 | so just for the heck of it I ran that
[11:07] mn017 | um and it might be reassuring for everybody to know that it got all the genders right . Yeah so Yeah . Yes .
[11:11] me011 | Oh it did ?
[11:14] fe016 | Yeah
[11:15] fe016 | but you know Jane and Adam have you kn about equal performance and uh
[11:20] fe016 | and that 's interesting cuz I think the their language models are quite different so
[11:24] fe016 | and I I 'm pretty sure from listening to Eric
"[11:27] fe016 | that , you know given the words he was saying and given his pronunciation that the reason that he 's so much worse"
[11:32] fe016 | is the lapel .
[11:34] me011 | Right .
"[11:34] fe008 | That makes a lot of sense , yeah ."
[11:34] me013 | Yeah .
[11:37] fe008 | Very possible .
[11:38] fe016 | when we get new microphones that would be worth it um
[11:39] me013 | Yeah I I I would bet on that too cuz he certainly in that when as a as a burp user he was he was a pretty uh strong one .
[11:46] me011 | Sheep .
"[11:46] fe016 | Yeah he he he sounded to me just from he sounded like a , what 's it a sheep or a goat ?"
[11:47] me013 | Yeah .
[11:50] me011 | A sheep . Baah .
[11:51] me013 | Sheep .
"[11:51] fe016 | Sheep , right ."
[11:51] me013 | Yeah . Sheep is good .
[11:52] fe016 | Sounded good .
[11:53] me013 | Yeah .
[11:53] fe016 | Right so um
[11:54] fe008 | Mm - hmm .
[11:55] fe016 | so I guess the good news is that
[11:57] fe016 | and and again this is without
[11:59] fe016 | a lot of the sort of bells and whistles that we c can do with the SRI system
[12:02] fe016 | and we 'll have more data and we can also start to
[12:06] fe016 | maybe adapt the language models once we have enough meetings . So this is only twenty minutes of one meeting with no no
[12:12] mn017 | I mean clearly there are um with just a small amount of uh actual
[12:13] fe016 | tailoring at all .
[12:18] mn017 | meeting transcriptions uh thrown into the language model you can probably do quite a bit better because
[12:23] fe016 | Yeah .
[12:24] me011 | Or just dictionary .
[12:24] fe016 | The voca the vocabulary especially yeah .
"[12:28] fe016 | Yeah , so ."
[12:32] fe016 | Yeah .
[12:33] fe016 | It 's pretty good um
[12:35] me013 | Have to add PZM and so on but
[12:35] fe016 | so then
[12:36] me011 | And I have to try it on the far field mike yeah .
[12:38] fe016 | PZM and then there 's things like
"[12:40] fe016 | for the transcription I got when someone has a digit in the transcript I don't know if they said , you know one one or eleven and I don't know if they said"
[12:46] fe016 | Tcl or TCL .
"[12:49] fe016 | there 's things like that where , you know the"
[12:51] fe016 | um we 'll probably have to ask the transcribers to indicate some of those kinds of things but
"[13:00] fe016 | this is good news because that means the force alignments should be good and if the force alignments , I mean it 's good news anyway but if the force alignments are good we can get all kinds of information ."
"[13:10] fe016 | For example about , you know prosodic information and speaker overlaps and so forth directly from the aligned times ."
[13:18] fe016 | Um so that 'll be something that
[13:20] fe016 | actually in order to assess the forced alignment
[13:23] fe016 | um we need s some linguists or some people to look at it and say are these boundaries in about the right place .
[13:29] fe016 | Because it 's just gonna give us time marks so .
[13:30] me011 | Well we 've done that for one meeting .
[13:33] fe016 | For forced alignment .
[13:35] me011 | Uh oh oh f not for words I 'm sorry just for overlaps is we did it for not not for words .
[13:36] fe016 | Ye - right .
[13:38] fe016 | Right .
[13:39] fe016 | So this would be like if you take the words
[13:42] fe016 | um you know and force align them on all the individual close talk uh close talking mikes
[13:49] me011 | Right .
[13:51] me011 | So we might want to take twenty minutes and do a closer word level transcription .
[13:55] me011 | Maybe actually mark the word boundaries .
[13:58] fe016 | Oh or i have someone look at the alignments uh maybe a linguist who can say
[14:03] fe016 | um
[14:04] fe016 | you know roughly if these are OK and how far away they are .
[14:06] me013 | Yeah .
[14:07] fe016 | Um but I think it 's gotta be pretty good because otherwise the word recognition would be really b crummy .
"[14:11] me011 | Right , right ."
"[14:11] fe016 | It wouldn't necessarily be the other way around , if the wor word recognition was crummy the alignment might be OK"
[14:16] fe016 | but if the word recognition is this good
[14:19] fe016 | the alignment should be pretty good .
[14:21] fe016 | So
"[14:22] me018 | I wonder if this is a good thing or a bad thing though , I mean if we 're pr"
[14:22] me013 | I r
[14:22] fe016 | that 's about it .
[14:25] me018 | yeah if we 're producing a database that everybody 's gonna do well on
[14:26] me013 | Oh
[14:27] me011 | Don't worry about it w d that 's
[14:29] me011 | that 's the close talking mikes . Try it on the P Z Ms and and
"[14:31] me013 | Yeah , which I would which well n n n n"
"[14:32] mn005 | Yeah , yeah , yeah , yeah ."
[14:32] me018 | So the real value of the database is these ?
"[14:34] me011 | Yeah , abso well no but"
"[14:36] me013 | I mean there 's still just the w the percentages and , I mean they 're not a as we 've talked about before there 's probably overlaps"
[14:40] fe016 | This i yeah . This is not that good .
[14:42] me013 | there 's probably overlaps in in
[14:44] me013 | uh in fair number in Switchboard as well so
"[14:47] me013 | but there 's other phenomena , it 's a meeting , it 's a different thing and there 's lots of stuff to learn with the close talking mikes"
"[14:52] me013 | but uh yeah certainly I 'd like to see as soon as we could , I mean maybe"
[14:57] me013 | get some of the glitches out of the way but soon as we could how well it does with say
[15:00] me013 | with the P Z Ms or maybe even one of the
[15:02] fe016 | Right .
"[15:03] me013 | and uh see if it 's , you know is it a hundred twenty percent or maybe it 's not maybe if"
[15:07] me013 | with some adaptation you get this down to fifty percent or forty - five percent or something and and then if for the PZM it 's seventy or something like that that 's actually something we could sort of
[15:16] me013 | work with a little bit
"[15:17] fe016 | Yeah . No I think it 's really , I mean this way we least have a baseline we know that for instance the transcripts are very good so once you can get to the words that the recognizer which is a total subset of the things you need to understand the the text"
[15:18] me013 | so
[15:31] fe016 | um yeah they 're pretty good so and and it 's
[15:34] fe016 | converting automatically from the XML to the
[15:37] fe016 | chopping up the wave forms and so forth it 's not the case that
[15:40] fe016 | the end of one
[15:41] fe016 | utterance is in the next segment and things like that which we had more problems with in Switchboard
[15:46] fe016 | so that 's good .
[15:47] fe016 | And um
[15:51] fe016 | to mention I can't remember um
"[15:59] fe016 | anyway it 's well it was , I mean I really didn't do this myself so Andreas set up this recognizer and by the way the recognizer all the files I 'm moving to SRI and running everything there so"
[16:00] fe008 | Congratulations
[16:00] fe008 | is really great .
[16:01] me013 | Yeah .
"[16:01] me011 | Yeah , it 's really good ."
[16:12] fe016 | I brought back just these result files and people can look at them um
[16:17] fe016 | so
[16:17] mn017 | We we talked about setting up the
[16:20] mn017 | SRI recognizer here .
[16:23] mn017 | you know if if there are more machines
[16:26] mn017 | um
[16:27] mn017 | uh here plus people can could
[16:29] mn017 | run their own
[16:31] mn017 | uh you know variants of of of the recognition runs um certainly doable .
[16:37] mn017 | Um .
"[16:38] me013 | Yeah and well certainly if the recognition as opposed to training , yeah ."
[16:41] me013 | Seems reasonable .
[16:41] fe008 | I need t Hmm .
[16:41] mn017 | Yeah .
[16:43] fe008 | I need to ask one question .
[16:44] mn017 | Yeah .
[16:45] fe008 | Which is um
"[16:53] fe008 | Yeah , well , so what I mean is um"
"[16:57] fe008 | uh the data that you take into SRI , first first question , you 're maintaining it in in a place that wouldn't be publicly readable that that kind of stuff , right ?"
[17:04] mn017 | U um
[17:05] fe016 | From the outside world or
[17:07] fe008 | By uh people uh who are not associated with this project .
"[17:11] me011 | It 's human subjects issues , I told you about that ."
[17:11] mn017 | Oh .
[17:12] fe008 | Exactly .
[17:12] fe016 | Um oh . Well OK we have n no names .
[17:17] fe016 | Although I sh um
"[17:17] me011 | That that 's not the issue , it 's just the audio data itself , until people have a chance to"
[17:18] fe016 | de audio data itself ?
"[17:21] fe008 | Mm - hmm , exactly ."
[17:22] fe016 | Uh so well I can I can protect my directories through there . Right now they 're not they 're in the speech group directories which so I will I didn't know that actually .
[17:22] me011 | edit it .
[17:23] fe008 | Yeah .
[17:25] fe008 | Great .
"[17:31] me013 | Yeah so we just have to go through this process of having people approve the transcriptions , say it 's OK ."
[17:32] fe016 | Yeah OK .
"[17:34] fe008 | Yeah , we had to get them to approve em and then i cuz cuz the other question I was gonna ask is if we 're having um you know it 's"
[17:34] fe016 | Right OK .
"[17:40] fe008 | but this this meeting that you have , no problem cuz I I well I mean I I speak for myself but but I think that we didn't do anything that but"
[17:43] me011 | It 's us .
[17:47] fe008 | well anyway so uh I wouldn't be too concerned about it with respect to that although we should clear it with Eric and Dan of course but these results are based on data which haven't had the
[17:58] fe016 | That 's true .
[18:04] fe008 | which later end up being
"[18:06] fe008 | lessened by , you know certain elisions , then I don't know but I wanted to raise that issue , that 's all ."
"[18:10] me013 | Well we , I mean once we get all this streamlined it may be sh it hopefully it will be fairly quick but"
"[18:15] me013 | we get the transcriptions , people approve them and so on it 's just that we 're"
[18:18] me011 | Alright we need to work at a system for doing that approval so that we can send people the transcripts and get back any bleeps that they want
[18:19] fe008 | Great .
[18:21] mn017 | Mmm .
[18:21] fe008 | Yeah .
[18:26] fe016 | Yeah actually the bleeps are also an issue I thought .
[18:27] me013 | It 's gonna be a rare thing that there 's a bleep for the most part .
"[18:29] mn017 | U uh actually I had a question about the downsampling , um I don't know who , I mean how this was done but"
[18:34] fe016 | Don did this .
[18:38] mn017 | issues with downsampling because I know that
[18:40] mn017 | the recognizer
[18:42] mn017 | um
[18:43] mn017 | that we use h can do it sort of on the fly um so we wouldn't have to have it eh you know do it uh
[18:51] mn017 | explicitly beforehand .
[18:53] mn017 | And is there any um i are there other d sev uh
[18:57] mn017 | is there more than one way to do the downsampling where one might be better than another ?
[19:00] me001 | There are lots of w there are lots of ways to do the downsampling um different filters to
[19:03] mn017 | OK .
[19:06] mn017 | Right .
"[19:06] me001 | put on , like anti - aliasing stuff ."
[19:07] mn017 | OK .
[19:08] mn017 | So so the th
[19:09] me011 | I don't think we even know which one
[19:12] me011 | I assume you 're using syncat to do it ?
"[19:13] me001 | No , I 'm using uh SN"
[19:14] me011 | Or sound resample ?
[19:15] me001 | SND uh
[19:17] fe016 | Re - re ref yeah .
[19:17] me001 | are resample .
[19:19] me001 | RSMP .
"[19:20] me001 | Yeah , I don't really ."
[19:22] fe016 | Missing all the vowels .
[19:22] me001 | I just yeah I found it .
"[19:26] mn017 | So so the other thing we should try is to just take the original wave forms , I mean segment them but not downsample them ."
[19:28] me011 | And a few of the consonants .
[19:33] fe016 | Yeah we could we could try that and and
[19:33] mn017 | And and feed them to feed them to the SRI recognizer and see if if the SRI front - end does something .
[19:35] fe016 | compare
[19:37] fe016 | Yeah .
"[19:39] me011 | I suspect that 's sort of premature optimization , but"
[19:42] me011 | Sure .
[19:43] fe016 | We can try it . I I only downsampled them first cuz I was
[19:44] me001 | I mean that 's just one line that 's one line of code to comment at so
[19:46] fe016 | yeah
[19:46] mn017 | Right and and it doesn't is no more work for um
[19:49] me011 | Mm - hmm .
[19:50] me001 | Yeah .
"[19:51] fe016 | Well they 're just bigger to transfer , that 's why I s downsampled them before but"
[19:51] mn017 | you know for us .
[19:54] mn017 | Well but they 're only twice as big so
[19:59] mn017 | I mean it 's it 's just a
[20:04] fe016 | Yeah .
[20:05] fe016 | We could try that .
[20:07] mn017 | Yeah I mean it would be uh you know it would probably take uh about um
[20:12] mn017 | you know minus the transfer time it would it would take uh
[20:14] me001 | Yeah .
[20:15] mn017 | you know ten minutes to try and and and
"[20:17] me011 | It 's about a fifty minute drive , right ?"
[20:30] me001 | Mmm . In the front - end we could do that .
[20:30] mn017 | Yeah . Yeah .
[20:32] me013 | So you just train just different filters and so you 're just wondering whether the filter is
[20:35] mn017 | Right . Right .
[20:37] fe016 | So we could try that with this particular twenty minutes of speech and sort of see if there 's any differences .
[20:41] mn017 | You know a at some point someone might have optimized whatever filtering is done for the actual recognition
[20:46] me001 | Hmm .
[20:48] mn017 | um performance .
[20:49] mn017 | So in other words
[20:51] me013 | Right .
"[20:51] mn017 | right , so"
"[20:51] me011 | It just seems to me that , you know small changes to the language model and the vocabulary will so swamp that that it may be premature to worry about that ."
[20:59] me011 | I mean so one is a half a percent better than the other
"[21:05] fe016 | Well it 's just as easy to to give you the sixteen K individual , it was just more disk space you know for storing them so"
[21:07] me011 | Yep .
[21:12] me013 | are you using uh
[21:14] me013 | uh mel cepstrum or PLP over there ?
[21:17] mn017 | Mel cepstrum .
[21:18] me013 | So probably doesn't matter .
[21:22] fe016 | Well we could try . Could easily try
"[21:23] me013 | But but it wouldn't hurt to try , yeah ."
[21:25] fe016 | so
[21:26] me013 | Sure .
[21:28] fe008 | Just Mm - hmm .
[21:28] me013 | No the reason I say this PLP uses uh auto - regressive filtering and uh modeling and so
[21:31] mn017 | Mm - hmm .
[21:33] me013 | it can be sensitive to the kind of filtering that you 're doing but uh uh mel cepstrum
[21:38] me013 | uh
[21:40] me013 | might not b you wouldn't expect to be so much but
[21:43] fe016 | Well we can try it if you generate like the same set of files just up to that point where we stopped anyway and just sti stick them somewhere and I 'll rerun it with
"[21:48] me001 | Yeah , it 's it 's really not a problem ."
