[00:03] mn035 | @ @
"[10:44] mn021 | uh , more or less , computer skilled . I mean , uh , operating systems uh , programming languages"
"[10:50] mn021 | uh , networking @ @ . So this kind of things I think I 'm"
[10:54] mn021 | more or less well - trained .
[10:56] mn021 | So
"[10:57] mn021 | this is , I think , um ,"
[10:59] mn021 | my first presentation .
[11:01] mn021 | Next maybe next meeting
[11:03] mn021 | I will
"[11:04] mn021 | uh , do a small sketch about"
"[11:09] mn021 | well , presenting some det a little bit more detailed approach"
"[11:15] mn021 | and some things from previous talks ,"
[11:17] mn021 | so you can have a better idea of w the kind of work I 've been doing .
[11:22] mn021 | OK ?
[11:23] mn082 | Mm - hmm .
[11:23] mn021 | Thank you .
"[11:23] mn082 | So , thanks , Miguel ."
[11:27] mn021 | Y
[11:28] mn082 | will have a talk next Tuesday
[11:29] mn021 | Yeah .
"[11:30] mn082 | But ,"
[11:31] mn082 | Give me a sign and send me an abstract
[11:32] mn021 | Yeah .
"[11:33] mn082 | so that I can announce it , then , for the next meeting ."
[11:35] mn021 | That 's OK .
[11:37] mn082 | Um . One short other topic is
[11:40] mn082 | Uh .
[11:42] mn082 | Claudia did a lot of work concerning the web pages in the meantime .
"[11:46] fn083 | Oh , OK ."
"[11:46] mn082 | And , despite"
[11:48] mn082 | busy stuff with waivers and uh
"[11:53] mn082 | uh , she found the time to"
"[11:56] mn082 | um write , with what we discussed before and"
[12:00] mn082 | in the form of HTML stuff . And
[12:04] mn082 | we wanna
[12:05] mn082 | put it on the web pages
[12:07] mn082 | in the next days .
"[12:09] mn082 | So , I will send an email , then , to everybody that they should"
[12:13] mn082 | check their web pages
"[12:14] mn082 | whether they 're aligned with , um ,"
[12:17] mn082 | their own views and opinions
[12:19] mn082 | of what we should what should be
"[12:22] mn082 | presented on the web pages . And any feedback is then , well appreciated ."
[12:26] mn021 | OK .
[12:27] mn082 | Let 's switch to the project proposal .
"[12:29] mn082 | Um , I mentioned that it is"
[12:32] mn082 | still
[12:32] mn082 | f
[12:32] fn083 | Ah . Sorry .
[12:33] fn083 | Can I ?
[12:34] fn083 | Maybe I can add something .
"[12:35] fn083 | Yeah , if there 's anything else which we what we could add on the web site . So ,"
[12:39] fn083 | p
"[12:40] fn083 | For example , if you have a small abstract or some pictures or whatever , about the work you did before , what you are planning to do here ,"
[12:46] mn021 | OK .
"[12:46] fn083 | that would be fine , cuz now we can add some more stuff there ."
"[12:50] fn083 | Or if you have something or if somebody has some slides , o or articles , whatever he wants to be"
[12:56] mn082 | Yeah .
[13:00] fn083 | Yeah and
[13:01] mn082 | really structured . Then maybe you wi
[13:03] mn082 | can easy
"[13:04] mn082 | offer some additional input which should be presented , then , on the web pages ."
"[13:07] fn083 | Yeah , it depends what what everybody wants to do ."
[13:08] mn082 | Yeah .
[13:09] mn082 | Yeah .
[13:10] fn083 | So
"[13:15] fn083 | Yeah , additional information about how is life in Berkeley and i"
"[13:18] fn083 | Yep . I don't know , some some hints , some web sites or links which are useful"
"[13:23] mn082 | Yeah , it is ."
[13:24] mn082 | Yeah .
[13:24] fn083 | when somebody arrives or
[13:25] mn021 | Hmm - hmm - hmm .
[13:25] mn082 | Half collection of necessary information .
[13:26] fn083 | stuff like that .
[13:26] mn030 | But there 's no personal homepage for
"[13:30] mn082 | Yeah , you can have it ."
"[13:33] mn082 | Uh , uh , le"
[13:39] mn030 | Yeah .
[13:39] mn030 | OK .
[13:45] mn082 | for for everything . So .
"[13:47] mn082 | uh , everybody 's responsible for his own , yeah ."
"[13:50] fn083 | Yeah , but but what is planned is that I do something like a"
[13:50] mn030 | Sure .
"[13:54] fn083 | previous , you know , layout , and give everybody"
[13:59] fn083 | the chance to put his content inside so
"[14:00] mn030 | OK , his name and so on ."
[14:02] mn030 | Yeah .
"[14:02] mn021 | Well , like have a blueprint ."
"[14:02] fn083 | that the layout is for everybody the same , so about the projects and stuff ."
[14:05] mn030 | OK Mm - hmm .
"[14:06] fn083 | So , there will be something ."
[14:06] mn082 | Yeah .
[14:08] mn082 | Yeah .
"[14:10] mn082 | OK , thanks . So ,"
[14:11] mn082 | let 's switch to the proposal .
[14:21] mn082 | Yeah ?
[14:21] mn030 | Yes .
"[14:22] mn082 | Yes , OK . Um ."
"[14:26] mn082 | From my point of view ,"
"[14:27] mn082 | As I mentioned before , we still in the starting position . I think the"
[14:32] mn082 | four building blocks on the network level
[14:36] mn082 | will have really a major impact on on f
[14:39] mn082 | current
"[14:40] mn082 | um ,"
"[14:41] mn082 | available wireless networks and , uh , also for future generations ."
"[14:47] mn082 | And , what the missing thing is really"
[14:49] mn082 | what kind of problem
[14:53] mn082 | wan wanna s solve
[14:56] mn082 | with such a project proposal .
"[15:02] mn082 | that , what kind of ,"
"[15:04] mn082 | maybe , service"
[15:06] mn082 | we are really going to offer .
"[15:08] mn082 | The linkage between such kind of application , also interactive multimedia application"
"[15:13] mn082 | and , uh , this kind of networking stuff is , um ,"
"[15:18] mn082 | maybe not very well aligned ,"
[15:21] mn082 | because
[15:22] mn082 | there will be
"[15:23] mn082 | of course , a portion of mobile access to such kind of application ."
"[15:27] mn082 | But , I think that 's not the majority and that is not the major focus of"
[15:34] mn082 | this kind of application anyway .
[15:36] mn082 | So I would like to to uh
[15:40] mn082 | what kind of application
[15:43] mn082 | um f far away
"[15:45] mn082 | and I would like to more to focus if we have certain kind of vision t concerning these building blocks and the network ,"
"[15:51] mn082 | Um , What kind of problem we are going to solve . What kind of , uh , um ,"
"[15:57] mn082 | um , glue between these four building blocks exists and"
"[16:01] mn082 | what kind of synergy effects , in principle , as if they work and fit very well together"
[16:06] mn082 | exists for networking stuff .
[16:07] mn082 | And what kind of service
[16:10] mn082 | could we provide in that area .
[16:13] mn082 | We will have these
"[16:14] mn082 | kind of , uh , really"
[16:17] mn082 | closely working together of these four building blocks .
"[16:21] mn082 | So maybe uh , Wilbert , you can start to discu oder to to"
[16:26] mn082 | tell the group about what you mentioned yesterday
[16:31] mn082 | concerning certain kind of ideas . Maybe it 's a brainstorming
"[16:35] mn082 | um , of of these things"
[16:38] mn082 | and maybe we can comment
[16:41] mn082 | later on th
[16:42] mn082 | these uh
[16:44] mn082 | these ideas .
"[16:46] mn082 | And I saw you sk still discuss with with uh Mark , right ? some stuff ."
"[16:50] mn082 | Was it also related with with these things . No ? OK , It was @ @ ."
[16:51] mn081 | No .
"[16:53] mn081 | This afternoon you mean ? No , this was unrelated to to the things of yesterday and last weeks"
[16:57] mn082 | OK
"[16:58] mn082 | Yeah , yeah ."
"[17:00] mn082 | Then , maybe then , one one w uh sentence before ."
[17:03] mn082 | I believe everybody fits very well in these kind of things .
"[17:07] mn082 | Because from the mathematical description with QS - in - Advance ,"
"[17:11] mn082 | me , as an expert for"
"[17:12] mn082 | quality of service and , uh , Michael as an expert for"
"[17:17] mn082 | uh , MPLS and Wilbert an expert for for Multicast ,"
"[17:20] mn082 | and , uh , I discussed with Miguel ."
"[17:23] mn082 | It 's uh maybe a little bit the shift to active routing , but it is still in the area of routing ."
[17:29] mn082 | So .
"[17:30] mn082 | My idea is , in principle , to have ,"
[17:31] mn082 | independently of
"[17:32] mn082 | any funding , independently of any outer contact ,"
"[17:37] mn082 | core activity , in principle . And we can"
[17:40] mn082 | see how much from the outer world can fit in .
"[17:43] mn082 | First of all , the first stage is"
[17:45] mn082 | the institution which is behind
[17:48] mn082 | everybody .
[17:49] mn082 | That means uh KPN in your case and Siemens in our case .
"[17:53] mn082 | And maybe , then , in the broader world here"
[17:55] mn082 | other partners registered in the
[17:57] mn082 | proposal migh
"[17:57] mn082 | Tomorrow , I will go to Cisco , for instance ,"
[17:59] mn082 | and I will discuss
"[18:01] mn082 | uh , all"
"[18:03] mn082 | this kind of things . Maybe they have certain additional activities and they 're interested in the results before The benefit here is , in principle , that the"
[18:10] mn082 | results are available . They are not restricted any way .
[18:13] mn082 | If you have your own common activity .
[18:15] mn082 | That makes a little bit more easier .
"[18:17] mn082 | And , uh , if there is a technical linkage between such , uh"
"[18:22] mn082 | um , between the outer world and us"
"[18:24] mn082 | OK , the better it is ."
"[18:26] mn082 | But , anyway , if we come to a certain kind of uh , common work"
"[18:30] mn082 | within the core of the NSA group ,"
[18:33] mn082 | I think
[18:34] mn082 | that 's really beneficial to
[18:35] mn082 | everybody .
"[18:38] mn082 | And uh , especially , Wilbert , if you have in mind to"
"[18:43] mn082 | mmm ,"
"[18:44] mn082 | uh , really from the"
"[18:46] mn082 | project proposal view ,"
[18:47] mn082 | I think we can
[18:50] mn082 | this core .
"[18:51] mn082 | You know ,"
[18:51] mn082 | and
"[18:52] mn082 | go to the outer world with , and and and align it in a certain way ."
"[18:55] mn082 | For instance , that it also fit , maybe , to KPN , and Siemens , and in other companies ."
[19:00] mn082 | Yeah .
[19:02] mn081 | This probably has to be a brainstorm right now .
[19:04] mn082 | Yep .
"[19:05] mn081 | Um What I told Joachim yesterday was that , uh"
"[19:09] mn081 | uh for my company the company I work for ,"
"[19:12] mn081 | they are more interested in in an explicit service ,"
[19:15] mn081 | than in
[19:16] mn081 | core technology .
[19:19] mn081 | u
"[19:19] mn081 | Me , on the other hand , I 'm more interested in"
"[19:22] mn081 | uh , core service , or c core technology , myself ."
"[19:25] mn081 | So I 'm u I was thinking about uh , how I could combine the both of them ."
"[19:30] mn081 | KPN was , um they 're interested in having , uh"
"[19:34] mn081 | like , six people or something , working on the project for one year or maybe ,"
"[19:38] mn081 | uh , three people fo working on the project for two years ,"
[19:41] mn081 | and have a kind of a demonstration
"[19:43] mn081 | uh , for a specifically in UMTS service ."
[19:46] mn021 | Mm - hmm .
[19:47] mn081 | I was thinking that
[19:48] mn081 | um
"[19:51] mn081 | as a well , not really a UMTS service , but yesterday , what I discussed with Joachim was uh ,"
[19:58] mn081 | a w little bit based on your ad - hoc networking also .
[20:02] mn081 | That it would be interesting to have a kind of a device where you
[20:05] mn081 | can switch
[20:06] mn081 | from
[20:07] mn081 | w a WaveLAN Technology
"[20:09] mn081 | to , um , UMTS ."
"[20:11] mn081 | I think that 's , uh , it 's in in the future that will be a main competitor of , uh ,"
"[20:16] mn081 | of UMTS ,"
[20:17] mn021 | Hmm - hmm - hmm .
"[20:18] mn081 | too , like"
"[20:18] mn081 | the the the Lucent , uh , equipment has a l"
"[20:22] mn081 | huge scope already , like five hundred feet , or or even more sometimes ."
"[20:27] mn081 | so that 's it 's might be interesting for , a service to walk into a building"
[20:31] mn081 | or whatever is available on that network .
[20:34] mn081 | You can switch from UMTS or
[20:37] mn081 | uh
"[20:38] mn081 | uh , to WaveLAN Technologies ."
[20:40] mn021 | Hmm - hmm - hmm .
"[20:51] mn081 | Of course , it sounds strange for a company that does UMTS to"
[20:56] mn081 | to to be able to switch or provide the service to switch to WaveLAN but
[21:00] mn081 | at the end it makes
[21:01] mn081 | it easier for your and cheaper for your customers .
"[21:06] mn081 | So , if they don't do it , somebody else will probably do it ."
"[21:11] mn021 | an a a double technology adapter , too ."
[21:15] mn021 | So you can market these
[21:16] mn021 | double - technology adapters .
"[21:19] mn021 | And , this can be a a potential"
[21:22] mn081 | Yeah .
"[21:22] mn021 | uh um you know , uh , income , too ."
"[21:26] mn021 | Because you just have to license , uh"
[21:28] mn021 | uh
[21:28] mn021 | WaveLAN technology .
"[21:30] mn021 | You can build , uh , the whole thing ."
"[21:33] mn021 | This U - UMTS WaveLAN , uh"
[21:36] mn021 | mixed together .
"[21:37] mn081 | Yeah , something like that could be possible , maybe even a UMTS - to - WaveLAN - gateway , or I 'm not sure if that 's possible like we U - if UMTS re contains redirects or"
"[21:48] mn081 | whatever , like switches ."
[21:49] mn081 | I 'm not sure about it . It could be .
"[21:51] mn021 | Mmm . I think , they are using different , uh , radio technologies . So , uh , at the physical level , they 're they 're they are not compatible ."
[21:56] mn081 | It 's not a problem .
"[22:01] mn081 | No , but s"
[22:02] mn081 | You could have a UMTS gateway
[22:04] mn081 | that translates everything to that uh w local @ @ .
[22:04] mn021 | Yeah .
[22:08] mn021 | Yeah .
[22:09] mn081 | If you will
[22:09] mn021 | That that 's right .
"[22:10] mn082 | Yet the basic idea is , in principle , to switch seamlessly between"
"[22:14] mn082 | wireless LAN technology , whatever"
"[22:17] mn082 | and UMTS , right ?"
[22:19] mn081 | Yes .
"[22:20] mn082 | And you see the benefit that , in principle , the customer will save a lot of money ."
[22:25] mn082 | Because if in - house communication like WaveLAN or maybe
"[22:29] mn082 | I see it also in the American market , some WaveLAN communication in the outer world"
[22:34] mn082 | m
"[22:35] mn082 | and that is your assumption , that the more cost"
[22:38] mn082 | uh extensive um
[22:40] mn082 | U M T S connection
[22:42] mn082 | could be
"[22:44] mn082 | principle used ,"
"[22:46] mn082 | I would like to say , over WaveLAN , and then I have a normal WaveLAN connection , right ?"
[22:49] mn081 | Yes .
[22:50] mn082 | And the router and the WaveLAN connection
[22:53] mn082 | goes into the core internet elsewhere and
[22:57] mn081 | Mm - hmm .
[22:58] mn082 | the connection is not dropped between this
[23:01] mn082 | seamless
[23:02] mn082 | hand off I would like to say .
"[23:05] mn081 | Well ,"
"[23:06] mn081 | If connection is lost , I am I 'm not sure if sometimes you 'd"
[23:09] mn081 | simply have to drop a connection .
[23:11] mn081 | If you have outstanding connections .
[23:13] mn035 | Yeah .
[23:14] mn081 | But that 's uh
"[23:15] mn081 | one thing of the internet , right ?"
"[23:17] mn081 | should be able to unplug a host , bring it somewhere else and everything continues like it should be ."
[23:23] mn081 | I 'm not sure i
[23:30] mn081 | I don't think so .
"[23:32] mn082 | Yeah , but if this is the final goal , it should be as much as possible available that you do not have to break the connection if you switch between the subnets ' technology"
[23:39] mn082 | Right ?
"[23:39] mn021 | Yeah but I I have a point uh regarding the this question ,"
[23:44] mn021 | is eh the cost function .
[23:46] mn021 | I mean .
[23:46] mn021 | uh
[23:48] mn021 | What about the user
[23:50] mn021 | who is switching from one let 's say zero - cost area
[23:54] mn021 | network
[23:55] mn021 | to another network
[23:57] mn021 | where he has to pay .
[23:58] mn021 | It is OK for the service to continue
[24:01] mn021 | when he
[24:02] mn021 | uh switches from one network to another .
"[24:04] mn021 | But probably ,"
[24:05] mn021 | the user
[24:06] mn021 | wants to be aware that he 's switching from one place from one network to another .
"[24:11] mn021 | Because maybe ,"
"[24:12] mn021 | while he 's uh having , let 's say , a vide video conference"
[24:17] mn021 | uh over the the WaveLAN
[24:19] mn021 | oh he 's not paying any extra cost .
[24:22] mn021 | But when he continues with this service
"[24:25] mn021 | on the UMTS , he 's having to cover"
"[24:28] mn021 | uh an important let 's say , an important cost or some cost ,"
[24:32] mn021 | non - null cost .
"[24:33] mn082 | Yeah , non - null @ @"
[24:33] mn021 | So uh
[24:36] mn021 | this can
[24:37] mn021 | be something that probably the user
[24:39] mn021 | wants to be aware of .
"[24:40] mn021 | Of course , this doesn't mean"
[24:42] mn021 | that the user wants the connection to be dropped when he switches .
[24:50] mn021 | to the uh um
[24:52] mn021 | non - null cost area network . But
[24:54] mn021 | maybe
[24:55] mn021 | some users want to do this .
"[24:58] mn021 | I 'm not willing to pay any back for this service , because I 'm just watching uh you know the sports news ."
"[25:06] mn021 | If if , because of my"
"[25:08] mn021 | motion , I 'm switching ,"
[25:10] mn021 | or I 'm going out of the coverage of the of the uh
"[25:13] mn021 | wave uh wireless uh local area network , well , I I want the service to be uh stopped . """
[25:18] mn021 | And this
[25:19] mn021 | can be some pattern then that some users will follow .
[25:24] mn035 | Yeah .
"[25:24] mn082 | Yeah , but if your s"
[25:25] mn082 | uh I believe everybody is aware about the USAIA architecture .
"[25:31] mn082 | this stuff is , here , also related to this kind what is mentioned there concerning the end system ."
"[25:36] mn082 | And in my conf uh considered end system ,"
"[25:39] mn082 | there is a certain kind of policy ,"
[25:42] mn082 | concerning how to use subnets technologies
"[25:44] mn082 | and and all these kind of things . How to use quality of service , you know ,"
"[25:47] mn082 | in advance , because you have to pay"
[25:49] mn082 | for certain technologies and maybe for certain services .
[25:52] mn082 | And that should not be done automatically . But it could be done automatically . But nevertheless there must be a certain kind of
[25:58] mn082 | um
"[25:58] mn082 | user interaction always possible ,"
[26:00] mn082 | that you could set up a certain kind of
[26:02] mn082 | mini - database how to deal with all these kind of things .
[26:06] mn082 | I think that 's not a problem .
[26:07] mn082 | But uh what I I would like to ask
"[26:09] mn082 | Wilbert here , and we discuss it yesterday ,"
"[26:15] mn082 | instead of GSM today , UMTS , and instead of wireless LAN today"
[26:19] mn082 | also wireless LAN . Remember your four and one card
"[26:23] mn082 | uh concerning um ,"
"[26:24] mn082 | what is the name ,"
[26:25] mn082 | from Dataco - ? No .
[26:27] mn082 | Dacom
"[26:28] mn081 | Oh , the one I have Sitcom ? Yeah ."
"[26:28] mn082 | Where you can enable four technologies , and you"
"[26:30] mn082 | plug in , in your laptop and then you have"
[26:32] mn082 | every four
[26:34] mn082 | uh subnet layer technologies available in your laptop .
"[26:39] mn082 | Is that the problem ? Yeah , that 's not the problem . Right ."
[26:42] mn081 | Um .
"[26:44] mn081 | Well , the switching itself could be a problem ."
[26:47] mn082 | Why ?
[26:47] mn081 | Becau - well it 's a
[26:49] mn081 | depends like y you 're not going to probe on four different networks
"[26:52] mn081 | if one of the other networks is available , maybe you are , I don't know ."
[26:57] mn081 | So that could be a t
"[26:58] mn081 | topic for research , so maybe you know more about it ."
"[26:58] mn082 | Yeah , but this i"
"[27:00] mn082 | Yeah , but this is th only the probing to"
[27:02] mn082 | figure out that you get at a certain location
[27:05] mn082 | the information that a s certain coverage of a certain subnet techn technology is available .
"[27:11] mn082 | And if so ,"
[27:11] mn081 | Yeah .
"[27:11] mn082 | then what Miguel mentions , then you add a certain kind of policy , to switch or not to switch ,"
"[27:16] mn082 | to this kind of technology , right ?"
[27:18] mn081 | Y Yes .
[27:19] mn082 | But this is end - system related .
[27:22] mn082 | That 's not network related .
[27:24] mn081 | Um .
[27:28] mn082 | in this uh idea .
[27:30] mn082 | It 's only to set up i u
[27:32] mn082 | For me it 's like a laptop t to plug
[27:34] mn082 | one
[27:35] mn082 | PCMCIA and currently will have two
[27:38] mn021 | Hmm - hmm - hmm .
"[27:38] mn082 | PCMCIA cards , and I compare GSM with UMTS ."
"[27:41] mn082 | And today I would like to have GSM , and then I have my GSM connectivity ."
"[27:47] mn082 | other technology , only"
"[27:49] mn082 | GSM , because the interfaces , the driver interface ,"
[27:54] mn082 | between different technologies . So if I want to go to wireless LAN
[27:58] mn082 | I have to stop my connection and
"[28:00] mn082 | put in my wireless LAN PCMCIA card , and then I can go on and set up the the same connection one more time ."
"[28:06] mn082 | And what you have in mind , to do it a bit more seamlessly ,"
[28:09] mn082 | and that makes an only sense for me
"[28:11] mn082 | if both technologies ,"
"[28:13] mn082 | in principle , were close together in that sense for application ."
"[28:16] mn082 | For instance ,"
"[28:17] mn082 | the application would be that I have my laptop here ,"
"[28:20] mn082 | and I work here with wi with my device ,"
"[28:22] mn082 | any kind of device , and I work here in wireless LAN area ."
"[28:25] mn082 | And then I go outside , and want to go still on ,"
[28:28] mn082 | leaving the coverage of uh of the uh wireless LAN .
"[28:32] mn082 | And at a certain state , the device"
[28:34] mn082 | uh receives certain signals that the coverage of UMTS or GSM is available .
"[28:39] mn082 | And at that state ,"
"[28:40] mn082 | you automatically , or based on the certain kind of user profile ,"
[28:43] mn082 | switched
[28:44] mn082 | to the
[28:45] mn082 | um
[28:46] mn082 | UMTS or GSM st uh network .
[28:49] mn082 | That 's the only
"[28:50] mn082 | senseful application . From my understanding , that means"
[28:52] mn082 | only to have a certain kind of control layer
"[28:56] mn082 | for the different drivers ,"
[28:57] mn082 | which you also mentioned as a USAIA architecture .
[29:00] mn082 | and uh then to
[29:02] mn082 | do the switching
[29:05] mn082 | for an existing stream or application
"[29:08] mn082 | uh , transparently to this application ,"
[29:10] mn082 | between those
[29:11] mn082 | uh these both technologies .
"[29:14] mn082 | Maybe there 's more potential . I don't s see it , but maybe you have a"
[29:18] mn082 | additional idea . And I don't think
[29:20] mn082 | that
[29:22] mn082 | this end system device
"[29:25] mn082 | uh architecture ,"
[29:27] mn082 | which will come automatically .
"[29:29] mn082 | And I believe there 's a lot of activity throughout the world ,"
[29:32] mn082 | because this seamlessly communication is always mentioned
[29:35] mn082 | elsewhere where you cou
[29:39] mn082 | uh uh
[29:39] mn081 | If if you can leave it out the network
[29:41] mn081 | that will be really cool .
[29:43] mn081 | That 's
[29:46] mn081 | Yes .
"[29:47] mn021 | But when quality of service comes to the uh scene ,"
[29:52] mn021 | a bigger problem because
[29:54] mn021 | maybe this this uh
[29:56] mn021 | uh seamless migration cannot be
"[29:59] mn021 | seamless at all , because"
[30:01] mn021 | maybe the the quality of service we are getting
"[30:05] mn021 | when we are connected to a certain network ,"
"[30:08] mn021 | let 's say high - speed networking ,"
[30:10] mn021 | cannot be sustained when we are
[30:12] mn021 | switching to a different technology .
"[30:14] mn021 | So , this is another"
