[00:00] me045 | As usual .
[02:55] mn015 | pretty strange idea .
[02:58] mn015 | And that 's what I 'm gonna lay on you now .
"[03:01] mn015 | And um , maybe it might be ultimately the most interesting thing for Eva"
[03:06] mn015 | because she has
[03:07] fn050 | OK .
[03:08] mn015 | been known to complain about the fact that the stuff we do here is not weird enough .
[03:13] mn015 | So this is so weird it should even
[03:16] mn015 | make you happy .
[03:19] mn015 | Imagine
[03:23] mn015 | that we have a system that does all that understanding
[03:27] mn015 | that we want it to do
[03:28] me003 | Mm - hmm .
[03:30] mn015 | based on utterances .
[03:33] mn015 | It should be possible
[03:36] mn015 | to make that system produce
[03:39] mn015 | questions .
"[03:41] mn015 | So if you have the knowledge of how to interpret "" where is X ? """
"[03:46] mn015 | under given conditions ,"
"[03:48] mn015 | situational , user , discourse and ontological"
[03:53] mn015 | you should also be able to make that same system ask
"[03:57] mn015 | "" where is X ? """
"[03:59] mn015 | in a sper certain way ,"
[04:00] mn015 | based on
[04:02] mn015 | certain intentions .
[04:04] mn015 | So in instead of just being able to
"[04:07] mn015 | observe phenomenon ,"
"[04:10] mn015 | um , and ,"
[04:11] mn015 | guess the intention we
[04:13] mn015 | might be able just to
[04:17] mn015 | sort of
"[04:19] mn015 | give it an intention , and make it produce an utterance ."
"[04:22] me003 | Well , like in"
[04:24] me003 | AI they generally do the
"[04:26] me003 | take in , and then they also do the generation phase , like Nancy 's thing ."
"[04:31] me003 | Or uh ,"
"[04:33] me003 | you remember , in the the hand"
"[04:35] me003 | thing in one - eighty - two , like not only was it able to recognize but it was also to generate based upon situations . You mean that sort of thing ?"
[04:42] mn015 | Absolutely .
[04:42] me003 | OK .
[04:44] mn015 | And once you 've done that
[04:47] mn015 | what we can do is have the system ask
[04:51] mn015 | itself .
"[04:54] mn015 | And answer ,"
"[04:56] mn015 | understand the answer ,"
"[04:58] mn015 | ask something else ,"
[04:59] mn015 | and enter a dialogue with itself . So the the ba basic the same idea as having two chess computers play against each other .
[05:07] me045 | Except this smacks a little bit more of a schizophrenic computer than AI .
"[05:10] mn015 | Yeah you c if you want , you can have two parallel machines"
"[05:15] mn015 | um , asking each other ."
"[05:17] mn015 | What would that give us ? Would A be something completely weird and strange ,"
"[05:22] mn015 | and B , i"
[05:22] me045 | That 's good .
"[05:23] mn015 | if you look at all the factors ,"
[05:26] mn015 | we will never observe
[05:28] mn015 | people
"[05:30] mn015 | let 's say , in wheelchairs under you know , in under all conditions , you know ,"
"[05:34] mn015 | when they say "" X "" , and there is a ride at the goal , and the parking is good ,"
[05:39] mn015 | we can never collect enough data .
[05:41] me045 | Mm - hmm .
[05:41] mn015 | It 's it 's it 's not possible .
"[05:42] me045 | Right , right ."
[05:44] mn015 | But maybe one could do some learning .
"[05:47] mn015 | If you get the system to speak to itself ,"
[05:51] mn015 | you may find n
[05:52] mn015 | break downs and errors
[05:55] mn015 | and you may be able to
[05:58] mn015 | learn .
[06:00] mn015 | And make it
"[06:02] mn015 | more robust , maybe learn new things ."
"[06:05] mn015 | And um ,"
"[06:09] mn015 | no end of potential things one could get out of it ,"
[06:12] mn015 | if that works .
[06:15] mn015 | And he would like to actually work on that
[06:18] mn015 | with us .
[06:22] mn015 | So -
"[06:22] me003 | Well then , he probably should be coming back a year from now ."
"[06:26] mn015 | Yeah , I w"
[06:33] mn015 | is shouldn't be too hard .
[06:38] me045 | Yeah . No problem .
[06:41] me003 | I think we 're probably a year away from getting the system to understand things .
[06:44] mn015 | Yeah .
"[06:45] mn015 | Well , if we can get it to understand one thing , like our "" where is """
[06:50] mn015 | run through
"[06:51] mn015 | we can also , maybe , e make it say , or ask"
"[06:56] mn015 | "" where is"
"[06:58] mn015 | X ? """
[07:00] mn015 | Or not . @ @
"[07:01] me045 | Mmm , I don't know . e I 'm sort of have the impression that getting it to say the right thing in the right circumstances is much more difficult than"
"[07:09] me045 | getting it to understand something given the circumstances and so on , you know , I mean just cuz it 's sort of harder to"
[07:14] me045 | learn to
"[07:16] me045 | speak correctly in a foreign language , rather than"
[07:19] me045 | learning to understand it . Right ? I mean
"[07:32] mn015 | Well , I 've I 've done generation and language production research for fo four four and a half years . And so it 's it 's you 're right , it 's not the same as the understanding ."
"[07:42] mn015 | It 's in some ways easier and some ways harder . nuh ? But , um ,"
[07:44] me045 | Yeah .
[07:46] mn015 | I think it 'd be
"[07:48] mn015 | fun to look at it , or into that question ."
"[07:49] me045 | Nnn , yeah ."
"[07:55] me003 | The basic idea I guess would be to give allow the system to have intentions , basically ?"
[07:59] me003 | Cuz that 's basically what needs to be added to the system for it .
"[08:00] mn015 | Well , look at th"
[08:05] mn015 | What it would be the the prior intention .
"[08:10] me003 | Well we 'd have to seed that , I mean ."
"[08:12] mn015 | No . Let 's we have to we have some some top - down processing , given certain setting ."
"[08:17] mn015 | OK , now we change nothing , and just say ask something ."
[08:21] mn015 | Right ?
[08:23] mn015 | What would it ask ?
[08:27] mn015 | It shur
"[08:28] me003 | Unless it was in a situation . We 'd have to set up a situation where ,"
[08:30] mn015 | Yeah !
[08:31] me003 | it didn't know where something was and it wanted to go there .
[08:31] fn050 | Mm - hmm .
[08:34] mn015 | Yeah .
[08:34] me003 | Which means that we 'd need to set up an intention inside of the system .
[08:38] me003 | Right ?
"[08:39] me003 | Which is basically , "" I don't know where something is and I need to go there "" ."
[08:41] me045 | Yeah .
"[08:43] mn015 | Ooh , do we really need to do that ?"
"[08:46] mn015 | Because ,"
[08:50] mn015 | s
"[08:51] mn015 | It 's i I know it 's it 's strange , but"
[08:58] mn015 | Let 's assume we don't have any input
[09:01] mn015 | from the language .
[09:02] mn015 | Right ?
"[09:03] mn015 | So there 's also nothing we could query the ontology , but we have a certain user setting ."
"[09:09] mn015 | If you just ask , what is the likelihood of that person wanting to enter some something , it 'll give you an answer ."
[09:17] mn015 | Right ? That 's just how they are .
"[09:20] mn015 | And so , @ @ whatever that is , it 's the generic default intention ."
"[09:26] mn015 | That it would find out . Which is ,"
"[09:32] mn015 | I don't know what it 's gonna be , but there 's gonna be something that"
"[09:35] me045 | Well you 're not gonna are you gonna get a variety of intentions out of that then ? I mean , you 're just talking about like given this user ,"
[09:42] me045 | what 's the th what is it what is that user most likely to want to do ?
"[09:46] mn015 | Well you can observe some user and context stuff and ask , what 's the"
[09:50] mn015 | posterior probabilities of all of our decision nodes .
[09:52] me045 | OK .
"[09:54] mn015 | You could even say , "" let 's take all the priors , let 's observe nothing "" , and query all the posterior probabilities ."
[10:00] mn015 | It - it 's gonna tell us something .
[10:02] mn015 | Right ?
"[10:04] me003 | Well , it will d"
[10:05] me003 | r
[10:09] mn015 | Yes . And come up with
"[10:15] mn015 | Which , if we have an algorithm that filters out whatever the the best or the most consistent"
"[10:20] mn015 | answer out of that ,"
[10:22] mn015 | will give us the
[10:26] mn015 | intention ex nihilo .
"[10:30] mn015 | And that is exactly what would happen if we ask it to produce an utterance , it would be b based on that extension , ex nihilo , which we don't know what it is , but it 's there ."
[10:41] mn015 | So we wouldn't even have to t to kick start it by giving it a certain intention or
[10:46] mn015 | observing anything on the decision node .
"[10:50] mn015 | maybe that would lead to "" what is the castle ? "" , or "" what is that whatever "" ."
"[10:54] me003 | I guess what I 'm afraid of is if we don't ,"
"[10:58] me003 | we 'll just get a bunch of garbage out , like"
"[11:01] me003 | you know , everything 's exactly thirty percent ."
[11:03] fn050 | Mmm .
"[11:04] mn015 | Yeah . So what we actually then need to do is is write a little script that changes all the settings , you know ,"
"[11:14] me003 | Well that was that was absurdly low , in the last meeting , cuz I went and looked at it cuz I was thinking , that could not be right , and it would it was on the order of"
"[11:15] fn050 | Uh ,"
"[11:28] me003 | So to test every output node ,"
[11:39] me003 | Which is very th very large .
[11:42] mn015 | Oh ! That 's n
"[11:43] mn015 | that 's that 's nothing for those neural guys . I mean , they train for millions and millions of epochs . So ."
[11:58] me003 | a number two to the thirty is
[12:00] me003 | like a
[12:08] me003 | And if i
[12:10] me045 | Th - that 's big .
"[12:13] me045 | That 's just That 's uh It 's a billion , right ?"
[12:16] me003 | Two to the thirty ?
"[12:17] me003 | Well , two to the thirty is a billion , but if we have to do it two to the twenty times ,"
[12:22] me045 | Argh .
[12:22] me003 | then that 's a very very large number .
"[12:24] me045 | Oh , OK . Yeah . Yeah , that 's big ."
"[12:27] me003 | Cuz you have to query the node , for every a"
[12:27] me045 | Sure .
[12:29] me045 | Alright .
"[12:30] me003 | uh , or query the net"
[12:32] me003 | two to the twenty times .
"[12:35] me045 | OK . So , is it t comes to twenty billion or something ?"
[12:38] me003 | Yes .
"[12:39] me045 | That 's pretty big , though ."
[12:40] me003 | As far as That 's @ @ That 's big . Actually Oh ! We calculated a different number before . How did we do that ?
[12:45] fn050 | Hmm .
"[12:45] me045 | I remember there being some other one floating around . But anyway , uh ."
[12:48] fn050 | I don't really know .
"[12:48] me045 | Yeah , it 's g Anyway , the point is that given all of these different factors , it 's uh e it 's it 's still going to be impossible to run through all of the possible"
"[12:57] me045 | situations or whatever . But I mean , this 'll get us a bit closer at least , right ? I mean ."
[13:07] me045 | Yeah .
"[13:08] me003 | Eva , do the math ."
[13:10] me045 | Long !
[13:11] fn050 | Can't .
[13:12] me003 | Hours and hours and hours and hours .
[13:17] me003 | But we can do randomized testing .
[13:23] me003 | Which probabilistically will be good enough .
[13:25] mn015 | Mm - hmm .
"[13:27] mn015 | Yeah . So , it be it it 's an idea that one could n"
"[13:31] mn015 | for for example run run past , um ,"
[13:38] mn015 | You know ? He - he 's usually here .
[13:42] me045 | Here in the group ?
"[13:45] mn015 | Oh , yeah . That 's the guy . We we we we g"
"[13:48] me045 | Yeah , i that would the g the bald guy ."
[13:50] me003 | Oh ! My advisor !
[13:53] mn015 | And um .
"[13:58] mn015 | And um , hmm ,"
[14:00] mn015 | what other news do I have ?
"[14:04] mn015 | Well we fixed some more things from the SmartKom system , but that 's not really of general interest ,"
"[14:10] mn015 | Um ,"
"[14:14] mn015 | Oh ! Questions , yeah . I 'll ask Eva about the E Bayes and she 's working on that ."
[14:18] mn015 | How is the generation XML
[14:22] mn015 | thing ?
[14:23] me003 | I 'm gonna work on that today and tomorrow .
"[14:28] me003 | I 'm gonna finish it today , uh hopefully ."
[14:30] mn015 | OK .
"[14:31] me003 | I wanna do one of those things where I stay here . Cuz uh , if I go home , I can't finish it . I 've tried"
"[14:36] me003 | about five times so far ,"
"[14:38] me003 | where I work for a while and then I 'm like ,"
[14:41] me003 | I 'm hungry .
"[14:47] me003 | Either that or I think to myself , I can work at home . And then I try to work at home , but I fail miserably ."
[14:49] me045 | Yeah .
[14:52] me003 | Like I ended up at Blakes last night .
[14:54] me045 | Non - conducive .
[14:55] me003 | No .
[15:00] me003 | But I did not finish
"[15:01] me003 | the uh , SmartKom."
[15:02] me003 | But I 've been looking into it .
[15:04] me003 | I th @ @ It 's not like it 's a blank slate .
"[15:06] me003 | I found everything that I need and stu and uh ,"
[15:10] mn015 | But st
"[15:11] me003 | At the b uh furthermore , I told Jerry that I was gonna finish it before he got back . So ."
[15:14] mn015 | OK .
"[15:17] me003 | Well ,"
"[15:18] me003 | I think we think we 'll see him definitely on Tuesday for the next Or , no , wait . The meetings are on Thursday ."
[15:24] mn015 | Maybe .
[15:25] mn015 | Who knows .
[15:25] me003 | Maybe .
[15:25] me045 | OK .
"[15:27] me003 | Well , we 'll see him next week ."
[15:28] me045 | Alright .
[15:30] mn015 | That 's good .
[15:32] mn015 | Yeah .
[15:35] mn015 | The paper .
[15:38] me003 | I was thinking about that . I think
[15:48] me003 | if you work on it ?
[15:49] me003 | I don't have a problem with us working on it though ? So .
[15:51] mn015 | OK .
[15:52] mn015 | So you would say it 's
[15:54] mn015 | funky
[15:56] mn015 | cool .
"[15:58] me003 | I mean we just I mean it wouldn't hurt to write up a paper , cuz then , I mean , yeah I was talking with Nancy and Nancy said , you don't know whether you have a paper to write up until you write it up . So ."
[16:06] me045 | Yeah .
[16:07] mn015 | Well
"[16:08] me003 | And since Jerry 's coming back , we can run it by him too . So ."
[16:10] mn015 | Yep .
"[16:12] mn015 | Um , what 's your input ?"
"[16:16] me045 | I don't have much experience with uh , conference papers for compu in the computer science realm , and so when I looked at what you had ,"
"[16:22] me045 | which was apparently a complete submission , I just sort of said"
"[16:26] me045 | I I didn't really know what to do with it , like , this is the sort of the basic outline of the system or whatever , or or"
"[16:32] me045 | "" here 's an idea "" , right ? That 's what that paper was , "" here 's here 's one possible thing you could do "" ,"
[16:36] mn015 | Mm - hmm .
"[16:36] me045 | short ,"
"[16:36] me045 | eight pages , and I just don't know"
[16:38] me045 | what you have in mind for expanding . Like I 'd I what I didn't do is go to the web site of the conference and look at what they 're looking for or whatever .
[16:45] mn015 | Mm - hmm .
"[16:46] mn015 | Well , it seems to me that"
"[16:55] mn015 | It 's both , right ? It 's it 's sort of"
"[16:57] mn015 | t cognitive , neural , psycho , linguistic , but all for the sake of doing computer science ."
"[17:07] mn015 | So it 's sort of cognitive , psycho , neural , plausibly motivated , architectures of natural language processing ."
"[17:18] mn015 | So it seems pretty interdisciplinary , and I mean , w w the keynote speaker is Tomasello and blah - blah - blah , so ,"
"[17:23] me045 | Right . Oh , yeah ."
[17:27] mn015 | W the the question is what could we actually
[17:30] mn015 | do and and and keep a straight face while doing it .
[17:33] mn015 | And i
"[17:34] me003 | Well , I really can't keep a straight face doing anything ."
"[17:37] mn015 | My idea is ,"
"[17:39] mn015 | well , you can say we have done a little bit and that 's this , and uh sort of the rest is position paper , "" we wanna also do that "" . Which is not"
[17:47] mn015 | too good .
[17:50] mn015 | Might be more interesting to do something like
[17:54] mn015 | let 's assume
"[17:56] mn015 | um ,"
"[17:57] mn015 | we 're right ,"
"[17:58] mn015 | we have as Jerry calls it , a delusion of adequacy ,"
"[18:01] mn015 | and take a "" where is X "" sentence ,"
[18:04] me045 | Mm - hmm .
"[18:05] mn015 | and say , "" we will just talk about this , and how we"
"[18:09] mn015 | cognitively , neurally ,"
"[18:12] mn015 | psycho - linguistically , construction grammar - ally ,"
"[18:16] mn015 | motivated ,"
[18:17] mn015 | envision
"[18:19] mn015 | uh , understanding that "" ."
[18:23] mn015 | So we can actually show how we parse it .
"[18:26] mn015 | That should be able to we should be able to come up with , you know , a sort of a a parse ."
[18:32] me045 | Right .
[18:37] me003 | Did Ben harass you ?
[18:39] me003 | Good .
[18:41] me003 | Yes .
[18:43] mn015 | You don
[18:44] me003 | Oh .
"[18:44] mn015 | You will suffer in hell , you know that ."
[18:46] me045 | Backwards .
[18:47] me045 | There 's a s
[18:51] mn015 | This is it .
[18:52] mn015 | Yeah .
[18:56] fe004 | OK .
[18:57] me003 | See the p how the plastic things ar arch out like that ? There we go .
[19:02] fe004 | It hurts .
[19:03] me003 | It hurts . It hurts real bad .
[19:05] fe004 | I 'm sorry I didn't mean to I 'm sorry .
"[19:09] fe004 | I 'm sorry , oh these are all the same ."
[19:11] fe004 | OK ! th this is not very on target .
[19:13] me003 | Is your mike on ?
[19:14] fn050 | An -
"[19:14] mn015 | Yeah , it is ."
[19:15] me003 | OK .
"[19:16] fe004 | Alright , you guys can continue talking about whatever you were talking about before ."
"[19:20] me045 | Um ,"
"[19:21] mn015 | We 're talking about this um , alleged paper that we may , just , sort of w"
[19:25] fe004 | Oh ! Which Johno mentioned to me . Uh - huh .
[19:26] mn015 | Yeah .
[19:28] mn015 | And I just sort of
[19:30] mn015 | brought forth the idea that
"[19:31] mn015 | we take a sentence , "" Where is the Powder - Tower "" ,"
[19:34] fe004 | Mm - hmm .
[19:35] mn015 | and we we p
"[19:37] mn015 | pretend to parse it ,"
"[19:38] mn015 | we pretend to understand it ,"
[19:40] mn015 | and we write about it .
[19:42] me045 | Hmm .
[19:43] fe004 | What 's the part that 's not pretend ? The writing ?
[19:48] me045 | The submitting to a major international conference . Yeah .
"[19:58] mn015 | There is this conference , it 's the seventh already international conference , on neu neurally , cognitively , motivated , architectures of natural language processing ."
[20:07] fe004 | Oh .
[20:08] fe004 | Wow .
[20:08] mn015 | And
[20:09] fe004 | Interesting .
[20:13] fe004 | Whinney . MacWhinney. Uh - huh .
[20:13] me045 | MacWhinney.
"[20:15] fe004 | So , interesting , both , like , child language people ."
[20:16] mn015 | Yeah .
[20:18] mn015 | Yep .
[20:20] fe004 | OK .
[20:21] mn015 | So maybe you wanna write something too .
"[20:22] fe004 | Yeah , maybe I wanna go ."
[20:23] me045 | Mmm . Mmm .
"[20:23] fe004 | Um , why are they speaking at it if it is is it normally like like , dialogue systems , or , you know , other NLP - ish things ?"
"[20:30] fe004 | Oh , it 's cognitive . OK ."
[20:31] mn015 | Yeah . Yeah .
[20:32] mn015 | Even neuro .
[20:33] fe004 | And
"[20:34] fe004 | uh , both learning and like , comprehension , production , that kinda stuff ."
[20:39] mn015 | You could look at the web site .
[20:39] fe004 | OK .
[20:42] fe004 | OK .
[20:43] mn015 | And the ad and and the deadline is the fifteenth of June .
[20:43] fe004 | I don't know about it .
[20:46] fe004 | Yeah that 's pretty soon .
[20:48] mn015 | Hey . Plenty of time .
"[20:53] mn015 | It would be nice to go write two papers actually . Yeah . And one one from your perspective , and one from our peve per per"
[20:58] fe004 | Mm - hmm .
"[21:00] fe004 | I mean , th that 's the kinda thing that maybe like , um , the general"
"[21:04] fe004 | uh con sort of like NTL - ish like , whatever , the"
[21:07] fe004 | previous simulation based pers maybe you 're talking about the same kind of thing . A general paper about
[21:11] fe004 | the approach here would probably be appropriate .
[21:14] mn015 | Yeah .
[21:14] fe004 | And good to do at some point anyway .
[21:15] mn015 | Yeah .
[21:17] fe004 | Um .
"[21:18] mn015 | Well , I I also think that if we sort of"
"[21:21] mn015 | write about what we have done in the past six months ,"
[21:25] mn015 | we we we could
"[21:28] mn015 | sort of craft a nice little paper that if it gets rejected , which could happen ,"
[21:33] fe004 | Mm - hmm .
[21:37] fe004 | Yeah .
[21:45] fe004 | Mm - hmm . It 's fun .
"[21:47] mn015 | And um , we should all do more for our publication lists . And . It just never hurts ."
[21:53] mn015 | And
[21:58] me003 | Will I ?
[21:58] fe004 | When is it and where ?
[21:58] me045 | Hmm !
"[22:06] fe004 | Ah , it 's in Germany . Ah , OK . I s I see . Tomasello 's already in Germany anyway , so makes sense . OK ."
[22:14] fe004 | Um .
"[22:16] fe004 | OK . So , is the What Are you just talking about"
"[22:20] fe004 | you know , the details of how to do it , or whether to do it , or what it would be ?"
[22:24] fe004 | Or what to write about ?
"[22:28] mn015 | Because I mean , it I don't like papers where you just talk about what you plan to do ."
"[22:33] mn015 | I mean ,"
"[22:34] mn015 | it 's obvious that we can't do any kind of evaluation , and have no you know , we can't write an ACL type paper where we say , "" OK , we 've done this and now we 're"
[22:41] fe004 | Mm - hmm .
"[22:43] mn015 | whatever percentage better than everybody else "" . You know ."
[22:45] fe004 | Mm - hmm .
[22:46] mn015 | It 's far too early for that .
[22:52] mn015 | never hurts to try .
"[22:55] mn015 | And um ,"
[23:03] fe004 | Mm - hmm .
[23:05] fe004 | How many pages ?
[23:07] mn015 | It 's just like four pages . I mean it 's it 's not even a h
[23:08] fe004 | Four pages ?
"[23:09] fe004 | OK , so it 's a little thing ."
[23:11] mn015 | Mm - hmm .
[23:12] fe004 | Oh .
"[23:12] me003 | Well , you said it was four thousand lines ? Is that what you s"
[23:12] me045 | Oh .
"[23:14] fe004 | OK . Four pages is , like , really not very much"
[23:14] mn015 | I don't know w Did you look at it ?
"[23:18] mn015 | Yeah , it depends on the format ."
[23:19] fe004 | space .
"[23:19] me045 | Oh my gosh . Oh , I thought you were I thought we were talking about something which was much"
[23:23] mn015 | No that 's I mean that 's actually a problem . It 's difficu it 's more difficult to write on four pages than on eight .
[23:23] me045 | more like ten or something .
[23:25] fe004 | It 's Yeah .
[23:27] me045 | Yeah .
"[23:28] fe004 | And it 's also difficult to even if you had a lot of substance , it 's hard to demonstrate that in four pages , basically . Um ."
[23:33] me045 | Yeah .
[23:34] me045 | That would be hard .
[23:39] mn015 | They don't have a TeX f style @ @ guide . They just want ASCII . Pure ASCII
"[23:41] fe004 | Uh - huh , uh - huh ."
[23:44] fe004 | OK .
"[23:44] mn015 | lines , whatever . Why , for whatever reason , I don't know ."
[23:46] fe004 | Not including figures and such ?
[23:48] mn015 | I don't know .
[23:50] mn015 | Very unspecific unfortunately .
"[23:53] fe004 | Well ,"
[23:56] me003 | I would say that 's closer to six pages actually . Four thousand lines of ASCII ?
[23:59] mn015 | OK then .
[24:00] me045 | Four thousand lines . I mean .
"[24:02] me045 | Isn't a isn't it about fifty s fifty five , sixty lines to a page ?"
[24:07] mn015 | I d don't quote me on this . This is numbers I I have from looking o
[24:14] mn015 | OK .
[24:15] fe004 | ASCII ?
"[24:15] mn015 | Let 's let 's wh wh what should we should should we uh , um , discuss this over tea and all of us look at the web ? Oh , I can't . I 'm wizarding today ."
"[24:24] fe004 | OK , look at the web page ?"
[24:25] mn015 | Um .
[24:26] fe004 | Wha - w
[24:26] mn015 | Look at the web page and let 's talk about it maybe tomorrow afternoon ?
"[24:28] fe004 | More cues for us to find it are like ,"
[24:30] fe004 | neural cons
[24:31] mn015 | Johno will send you a link .
"[24:33] fe004 | Oh , you have a link . OK . OK ."
[24:34] me003 | I got an email .
[24:36] fe004 | OK .
"[24:37] me003 | By the way , Keith is comfortable with us calling him "" cool Keith "" ."
"[24:40] fe004 | Oh . Cool . Keith . Cool , "" cool Keith "" ."
[24:41] me045 | He he decided I 'm chilling in the five - one - O .
[24:50] mn015 | OK .
[24:51] fe004 | That 's a very cool T - shirt .
[24:53] me045 | Thank you .
[24:58] fe004 | New York ?
[24:59] fe004 | Excellent .
[25:02] fe004 | Sorry . Yes ?
"[25:04] fe004 | Oh , lucky you ."
[25:06] mn015 | w and a week of business in Germany . I should mention that for you .
"[25:10] mn015 | And otherwise you haven't missed much , except for a really weird idea ,"
[25:15] mn015 | but you 'll hear about that
[25:17] fe004 | The idea that you and I already know about ?
[25:17] mn015 | soon enough .
[25:19] fe004 | That you already told me ?
"[25:21] mn015 | No , no , no ."
"[25:23] mn015 | Yeah , that is something for the rest of the gang to to g"
[25:30] mn015 | Change
[25:36] mn015 | Um .
[25:38] mn015 | Did you catch that allusion ? It 's time to walk the sheep ?
[25:41] mn015 | It 's a a
"[25:46] mn015 | Anyways , th um ,"
"[25:50] mn015 | um ,"
[25:51] mn015 | don't make any plans for spring break next year .
[25:57] mn015 | That 's the other thing . We 're gonna do an int EDU internal workshop in Sicily .
[26:03] fe004 | That 's what That 's what he says .
"[26:06] mn015 | I 've already got the funding . So , I mean ."
[26:07] fe004 | I kn That 's great !
[26:09] me045 | We 'll see .
[26:11] fe004 | Does that mean you 'll get you 'll fly us there ?
"[26:13] mn015 | Yeah , that 's what it means ."
"[26:13] fe004 | Hhh ! OK , cool . Uh - a a"
[26:15] me045 | Huh .
"[26:15] me003 | And he 'll put us up , too ."
[26:16] fe004 | I know I know about that part . I know about the the almond trees and stuff .
[26:21] fe004 | Not joking .
[26:23] mn015 | OK .
"[26:24] fe004 | Name a vegetable , OK . Oh , um , kiwi ?"
"[26:28] mn015 | Mmm , too easy ."
[26:30] fe004 | Coconut .
[26:32] mn015 | Ki -
[26:32] fe004 | Pineapple . See ?
[26:34] fe004 | Mango ?
[26:35] mn015 | Too easy .
[26:36] fe004 | OK . OK . Too easy ?
"[26:38] mn015 | Yeah , mangos go everywhere . So do kiwi ."
"[26:41] fe004 | Oh . OK , but I was trying to find something that he didn't grow on his farm ."
"[26:44] mn015 | But coconut anana pineapple , that 's that 's tricky , yeah ."
[26:56] me003 | Potatoes .
"[27:00] me045 | Um ,"
"[27:02] me045 | I mean , we 're gonna have an example case um , right ? I m the the point is to like this "" where is "" case , or something ."
"[27:09] mn015 | Yeah , maybe you have It would be kind of The paper ha would have , in my vision , a nice flow if we could say ,"
[27:22] me045 | Mm - hmm .
"[27:24] fe004 | But then in the end we 're not doing like those things right yet , right ? Would that be clear in the paper or not ?"
[27:31] fe004 | OK .
"[27:32] fe004 | It would be like , this is the idea ."
"[27:36] mn015 | No ,"
[27:36] fe004 | Did I ? Oops . Sorry .
"[27:37] me003 | No , y I don't think you got it ."
"[27:40] fe004 | I 'm sorry . I 'm sorry , I 'm sorry . Sorry ."
"[27:45] fe004 | OK , go on ."
[27:46] mn015 | Su -
[27:48] mn015 | So we could we could say this is what what 's sort of
[27:51] mn015 | state of the art today .
[27:53] fe004 | OK .
"[27:53] mn015 | Nuh ? And say , this is bad ."
[27:55] fe004 | Yeah .
"[27:55] mn015 | Nuh ? And then we can say , uh well what we do is this ."
[27:59] fe004 | OK .
[27:59] mn015 | Yeah .
"[28:02] fe004 | Parsing done right , interpretation done right , example ."
[28:06] mn015 | Mm - hmm .
[28:07] mn015 | Yeah . And
[28:08] fe004 | And how much to get into the cognitive neural part ?
[28:12] mn015 | We -
"[28:20] fe004 | Well , you don't have t I mean the conference may be cognitive neural , doesn't mean that every paper has to be both ."
"[28:24] mn015 | Yeah , and you can you can just point to the to the literature , you can say that construction - based @ @"
[28:24] me045 | Mmm .
"[28:24] fe004 | Like ,"
[28:25] fe004 | NLP cognitive neural .
"[28:30] fe004 | So i so this paper wouldn't particularly deal with that side although it could reference the NTL - ish sort of , like , um , approach . Yeah ."
[28:34] mn015 | Mm - hmm .
[28:36] mn015 | Yeah .
[28:39] fe004 | The fact that the methods here are all compatible with
"[28:41] fe004 | or designed to be compatible with whatever , neurological neuro"
[28:43] mn015 | Mm - hmm .
[28:45] fe004 | neuro - biol su stuff .
