[00:00] fe004 | I 'm What ?
"[11:43] fe004 | I I don't know if we 'll ever have a case where we actually h if there is a form category constraint , you could imagine having a triple there that says , you know that 's kind of weird ."
"[11:50] me010 | No , no , no , I don't think so . I think that you 'll you 'll do fine . In fact ,"
"[11:54] me010 | these are , um ,"
"[11:58] me010 | as long as as Mark isn't around , these are form constraints . So a nominal expression is uh , the fact that it 's animate ,"
"[12:05] me010 | is semantic . The fact that it 's n uh , a nominal expression I would say on most people 's notion of of f you know , higher form types , this i this is one . And I think that 's just fine ."
[12:06] fe004 | Mm - hmm .
[12:12] me045 | Yeah .
"[12:15] fe004 | Right , right ."
"[12:16] me045 | Yeah , yeah ."
"[12:18] fe004 | Which is fine , yeah ."
"[12:19] me045 | It 's that now , um , I 'm mentioned this , I I don't know if I ever explained this but the point of , um ,"
[12:19] me010 | Yeah .
"[12:31] me045 | because it seems like having the verb subcategorize for , you know , like say taking as its object"
"[12:36] me045 | just some expression which , um , designates an object or designates a thing , or whatever , um ,"
"[12:45] me045 | that leads to some syntactic problems basically ? So you wanna , you know you sort of have this problem like"
"[12:49] me045 | "" OK , well , I 'll put the word "" ,"
"[12:51] me045 | uh , let 's say , the word "" dog "" ,"
[12:53] me045 | you know . And that has to come right after the verb cuz we know verb meets its object .
[12:54] fe004 | Mm - hmm .
"[12:56] me045 | And then we have a construction that says , oh , you can have "" the "" preceding a noun . And so you 'd have this sort of problem that the verb has to meet"
[13:04] me010 | Right .
"[13:04] me045 | the designatum . And you could get , you know , "" the kicked dog "" or something like that , meaning "" kicked the dog "" ."
[13:09] me010 | Right .
[13:14] me010 | That I I have no problem with it at all . I think it 's fine .
[13:15] me045 | It - it Yeah .
[13:16] fe004 | Yeah .
"[13:17] fe004 | Right , n s"
[13:20] me045 | Yeah .
"[13:23] me045 | I mean , we we we sort of thought we were getting away with , uh with , a p I mean , this is not reverting to the X - bar theory of of phrase structure . But , uh ,"
[13:31] me010 | Right .
"[13:35] me045 | I just know that this is Like , we didn't originally have in mind that , uh that verbs would subcategorize for a particular sort of form . Um ,"
[13:42] fe004 | Mm - hmm .
[13:42] me010 | But they do .
[13:45] me045 | At least in English .
[13:46] me010 | Yeah .
[13:50] me045 | Yeah .
[13:50] me010 | Mm - hmm .
"[13:51] fe004 | did we want it to worry about , um , anything more than the fact that it , you know , has semantic You know , it 's sort of frame - based construction . So one option that , you know , Keith had mentioned also was like ,"
[14:00] me045 | Mm - hmm .
"[14:01] fe004 | well if you have more abstract constructions such as subject , predicate , basically things like grammatical relations ,"
"[14:06] fe004 | those could intersect with these in such a way that subject , predicate , or subject , predicate , subject ,"
"[14:11] fe004 | verb , ob you know , verb object would require that those things that f fill a subject and object are NOM expressions ."
[14:11] me010 | Right .
"[14:16] fe004 | And that would be a little bit cleaner in some way . But you know , for now , I mean ,"
"[14:21] fe004 | uh , you know ."
"[14:23] fe004 | M moving it to another place , right ."
[14:24] me045 | Yeah .
"[14:27] fe004 | But there does basically , the point is there has to be that constraint somewhere , right ? So , yeah ."
[14:29] me010 | Right .
[14:34] fe004 | Robert 's not happy now ?
[14:35] mn015 | No !
"[14:36] fe004 | Oh , OK ."
"[14:36] me010 | OK , and sort of going with that is that the designatum also now is a pair ."
[14:43] fe004 | Yes .
"[14:44] me010 | Instead of just the meaning . And that aside from some terminology ,"
[14:45] fe004 | Mm - hmm .
[14:49] me010 | that 's basically it .
[14:52] fe004 | Right .
[14:52] me010 | I just want to b I 'm I 'm asking .
[14:53] fe004 | Yep .
[14:53] me045 | Mm - hmm .
[14:54] me045 | Yeah .
"[14:54] fe004 | Yeah , um , the"
"[14:57] fe004 | un sort of the un - addressed questions in this , um , definitely would for instance be semantic constraints we talked about ."
[15:00] me010 | Yeah .
"[15:04] fe004 | Here are just bindings but ,"
[15:08] me010 | The whole the mental space thing is clearly not here .
"[15:10] fe004 | Right ? So there 's going to be some extra you know , definitely other notation we 'll need for that which we skip for now ."
[15:12] me045 | Mm - hmm .
"[15:15] me010 | By the way , I do want to get on that as soon as Robert gets back . So , uh , the the mental space thing . Um , obviously ,"
[15:17] fe004 | Uh
[15:18] fe004 | Yeah .
[15:19] fe004 | OK .
[15:22] me045 | Mm - hmm .
[15:35] fe004 | Mm - hmm .
[15:37] me045 | So what 's the what 's the time frame ? I forgot again when you 're going away for
[15:41] me045 | how long ?
"[15:41] mn015 | Just , uh , as a sort of a mental bridge , I 'm not I 'm skipping fourth of July ."
[15:46] me045 | OK .
"[15:47] mn015 | So , uh , right afterwards I 'm back ."
[15:49] me045 | OK .
"[15:50] fe004 | What ? You 're missing like the premier American holiday ? What 's the point of spending a year here ? So , anyway ."
"[15:55] mn015 | Uh , I 've had it often enough ."
[15:57] me003 | Well he w he went to college here .
"[15:58] fe004 | Oh , yeah , I forgot . Oops . Sorry . OK ."
[15:59] me010 | Yeah .
[16:01] me010 | And furthermore it 's well worth missing .
[16:01] fe004 | Not in California .
"[16:04] fe004 | I like spending fourth of July in other countries , whenever I can ."
[16:07] me010 | Right .
"[16:08] me010 | OK , so that 's great ."
"[16:12] fe004 | Oh , so there was one question that came out ."
"[16:17] fe004 | so something like "" past "" which i you know , we think is a very"
[16:21] me010 | Right .
[16:23] me010 | Right .
"[16:24] fe004 | this event takes place before speech time "" , OK , is what this means ."
"[16:29] fe004 | it is also considered a mental space , you know , by , you know , lots of people around here . So"
[16:31] me010 | Right .
[16:33] me010 | Right .
"[16:34] fe004 | there 's this issue of well sometimes there are really exotic explicit space builders that say "" in France , blah - blah - blah "" , and you have to build up you ha you would imagine that would require you , you know , to be very specific about the machinery ,"
[16:39] me045 | Mm - hmm .
[16:44] fe004 | whereas past is a very conventionalized one and we sort of know what it means
"[16:47] fe004 | but it we doesn't don't necessarily want to , you know , unload all the notation every time we see"
"[16:51] fe004 | that it 's past tense . So , you know , we could think of our uh , just like X - schema "" walk "" refers to this complicated structure ,"
[16:51] me010 | Right .
[16:57] me010 | I think that 's exactly right .
"[17:02] fe004 | so we 're kind of like having our cake and eating it you know , having it both ways , right ? So , i i"
[17:04] me010 | Yeah .
"[17:05] me010 | Yeah . No , I think I think that i we 'll have to see how it works out when we do the details but"
[17:07] fe004 | Mm - hmm .
[17:08] fe004 | Mm - hmm .
[17:09] me010 | my intuition would be that that 's right .
"[17:10] fe004 | Yeah , OK ."
[17:12] mn015 | Do you want to do the same for space ?
[17:13] fe004 | Wha - sorry ?
[17:15] mn015 | Space ?
[17:16] fe004 | Space ?
[17:17] mn015 | Here ?
[17:18] mn015 | Now ?
"[17:18] fe004 | Oh , oh , oh , oh , instead of just time ? Yeah , yeah , yeah . Same thing . So there are very conventionalized like"
[17:21] mn015 | Mm - hmm .
"[17:24] fe004 | deictic ones , right ?"
"[17:25] fe004 | And then I think for other spaces that you introduce ,"
"[17:29] fe004 | you could just attach y whatever You could build up an appropriately uh , appropriate structure according to the l the sentence ."
[17:31] mn015 | Hmm .
[17:33] me010 | Yeah .
[17:35] me045 | N
[17:40] fe004 | Yeah . Right . Mm - hmm .
"[17:47] fe004 | Mm - hmm . Yeah . So time and space . Um , we 'll we 'll get that on the other side a little , like very minimally . There 's a sort of there 's a slot for setting time and setting place . And"
[17:53] me010 | Good .
"[17:56] fe004 | you know , you could imagine for both of those are absolute things you could say about the time and place , and then there are many in more interestingly , linguistically anyway , there are relative things that , you know , you relate"
[18:05] fe004 | the event in time and space to where you are now .
"[18:08] fe004 | If there 's something a lot more complicated like , or so hypothetical or whatever , then you have to do your job , like or somebody 's job anyway . I 'm gonna point to at random ."
[18:12] me045 | Mm - hmm .
"[18:15] me045 | Yeah . Yeah . I mean , I 'm I 'm s curious about how much of"
"[18:21] me045 | the mental I mean , I 'm not sure that"
"[18:23] me045 | the formalism , sort of the grammatical side of things , is gonna have that much going on in terms of the mental space stuff ."
"[18:30] me045 | You know , um , basically"
[18:41] me045 | assuming that at any point in discourse there 's the possibility that we could be sort of talking about a bunch of different
"[18:46] me045 | world scenarios , whatever , and the speaker 's supposed to be keeping track of those ."
"[18:51] me045 | The , um the construction that you actually get is just gonna sort of give you a cue as to which one of those that you 've already got going ,"
[18:59] fe004 | Mm - hmm .
"[18:59] me045 | um , you 're supposed to add structure to . So "" in France , uh , Watergate wouldn't have hurt Nixon "" or something like that ."
"[19:05] me045 | Um , well , you say , "" alright , I 'm supposed to add some structure to my model of this hypothetical past France universe "" or something like that . The information in the sentence tells you that much but it doesn't tell you"
"[19:27] me045 | like the question is for example , what does "" Watergate "" refer to there ?"
"[19:30] me045 | Does it , you know does it refer to , um if you just hear that sentence cold , the assumption is that when you say "" Watergate "" you 're referring to "" a Watergate - like scandal as we might imagine it happening in France "" ."
"[19:40] me045 | But in a different context , "" oh , you know , if Nixon had apologized right away it wouldn't you know , Watergate wouldn't have hurt him so badly in the US and in France it wouldn't have hurt him at all "" ."
"[19:51] me045 | we 're now talking about the real one , and the "" would """
"[19:52] fe004 | They 're real , right ."
[19:58] fe004 | I see right .
"[19:59] me045 | What 's hypothetical about this world . In the first case , hypothetically we 're imagining that Watergate happened in France . In the second case we 're imagining hypothetically that Nixon had apologized right away"
[20:04] fe004 | Hmm .
[20:08] fe004 | Mm - hmm .
[20:09] fe004 | Right .
[20:13] me010 | Correct .
[20:15] fe004 | Mm - hmm .
"[20:16] me045 | I don't know where that sits then , sort of the idea of sorting out what the person meant ."
[20:18] mn015 | Hmm .
[20:24] me045 | Mm - hmm .
"[20:25] fe004 | give you sort of the the most basi th those we I think we can figure out what the possibilities are , right ? There are sort of a relatively limited number . And then"
[20:29] me045 | Mm - hmm .
"[20:32] fe004 | how they interact with some extra thing like "" in France "" or "" if such - and - such "" ,"
[20:35] me045 | Yeah .
"[20:37] fe004 | that 's like there are certain ways that they c they can You know , one is a more specific version"
[20:44] me045 | Yeah .
[20:50] me045 | Mm - hmm .
[20:53] me045 | Yeah .
"[20:56] me045 | But the whole point of the whole point of what Fauconnier and Turner have to say about , uh , mental spaces , and blending , and all that stuff is that you don't really get that much out of the sentence . You know ,"
"[21:04] me045 | there 's not that much information contained in the sentence . It just says , "" Here . Add this structure to this space . "" and exactly what that means for the overall ongoing interpretation is quite"
"[21:14] me045 | open . An individual sentence could mean a hundred different things depending on , quote , "" what the space configuration is at the time of utterance "" ."
[21:15] fe004 | Mm - hmm .
[21:16] fe004 | Mm - hmm .
[21:25] me010 | I think that 's right .
[21:29] me010 | Not k I th
"[21:30] me010 | I don't think it 's completely right . I mean , in fact a sentence examples you gave in f did constrain the meaning b the form did constrain the meaning ,"
[21:40] me045 | Yeah .
"[21:45] me045 | Sure , but like what what was the point of saying that sentence about Nixon and France ? That is not there is nothing about that in the in the sentence really ."
[21:52] fe004 | That 's OK . We usually don't know the point of
[21:54] me045 | Yeah .
[21:55] fe004 | the sentence at all . But we know what it 's trying to say . We we know that it 's what predication it 's setting up . That 's all .
[21:57] me045 | Y yeah .
[21:57] me010 | Yeah .
"[21:59] me010 | But but bottom line , I agree with you , that that that we 're not expecting much out of the , uh f"
[21:59] me045 | Yeah .
[22:01] me045 | Yeah .
"[22:06] fe004 | Purely linguistic cues , right ? So ."
"[22:06] me010 | uh , the purely form cues , yeah ."
[22:08] fe004 | Mmm .
"[22:22] me045 | Yeah . Oh , yeah ."
"[22:22] me010 | uh , I I mean , that that 's my feeling that that these are really hard"
[22:24] me045 | Mm - hmm .
[22:27] me045 | Yeah .
"[22:28] me010 | uh , problems that decide exactly what what 's going on ."
[22:32] me045 | Yeah .
[22:34] me010 | OK .
"[22:35] fe004 | OK , so , um , one other thing I just want to point out is"
[22:38] fe004 | there 's a lot of confusion about the terms like
[22:42] me045 | Mm - hmm .
"[22:42] me010 | Uh , right , right , right ."
"[22:43] fe004 | Um , for now I 'm gonna say like "" profile "" 's often used like two uses that come to mind immediately ."
"[22:48] fe004 | One is in the traditional like semantic highlight of one element with respect to everything else . So "" hypotenuse "" , you profiled this guy against the background of the right t right triangle . OK ."
[22:56] me045 | Mm - hmm .
"[22:58] fe004 | And the second use , um , is in FrameNet. It 's slightly different . Oh , I was asking Hans about this . They use it to really mean ,"
"[23:04] fe004 | um , this in a frame th this is the profiles on the these are the ones that are required . So they have to be"
[23:14] fe004 | I 'm not saying one and two are mutually exclusive but they 're they 're different meanings . So the closest thing so I was thinking about how it relates to this notation .
[23:16] me010 | Right .
[23:17] me045 | Mm - hmm .
[23:28] me010 | FrameNet. I didn't know that .
[23:32] me010 | Yeah .
"[23:36] me010 | Right , OK ."
"[23:40] me010 | Well , I 'll check ."
"[23:40] fe004 | and may maybe he 's wrong . Anyway , so"
[23:43] fe004 | I think the the
"[23:45] fe004 | "" designate "" that we have in terms of meaning"
"[23:47] fe004 | is really the "" highlight this thing with respect to everything else "" . OK ? So this is what what it means ."
[23:49] me010 | Right .
[23:51] fe004 | But the second one seems to be useful but we might not need a notation for it ? We don't have a notation for it
[23:57] fe004 | but we might want one . So for example we 've talked about
"[24:00] fe004 | if you 're talking about the lexical item "" walk "" , you know it 's an action . Well , it also has"
"[24:06] fe004 | this idea it carries along with it the idea of an actor or somebody 's gonna do the walking . Or if you talk about an adjective "" red "" , it carries along the idea of the thing that has the property of having color red ."
"[24:15] fe004 | So we used to use the notation "" with """
[24:18] me010 | Right .
"[24:30] me010 | N no , no . Well , uh , th critically they 're not required syntactically . Often they 're pres presu presupposed and all that sort of stuff ."
[24:34] fe004 | Right .
"[24:35] fe004 | Right , right . Yeah , um , definitely . So , um ,"
"[24:39] fe004 | "" in "" was a good example . If you walk "" in "" , like well ,"
"[24:42] fe004 | in what ? You know , like you have to have the So so it 's only semantically is it it is still required , say , by simulation time though to have"
[24:48] me010 | Right .
[24:51] fe004 | the semantic value is filled in by sim simulation . I don't know if that 's something we need to spa to to like
[24:56] fe004 | say ever as part of the requirement ? or the construction ? or not . We 'll we 'll again defer .
"[25:02] fe004 | Have it construed , is that the idea ? Just point at Robert . Whenever I 'm confused just point to him . You tell me . OK ."
"[25:03] me010 | Yeah , yeah ."
"[25:07] me010 | Right . It 's it 's his thesis , right ? Anyway ,"
"[25:10] me010 | right , yeah , w this is gonna be a b you 're right , this is a bit of in a mess and we still have emphasis as well , or stress , or whatever ."
"[25:16] fe004 | OK , well we 'll get , uh uh , I we have thoughts about those as well . Um ,"
[25:17] me010 | Yeah .
[25:18] me010 | Great .
[25:20] fe004 | the I w I would just s some of this is just like
"[25:23] fe004 | my you know , by fiat . I 'm going to say , this is how we use these terms . I don't - you know , there 's lots of different ways in the world that people use it ."
[25:26] me045 | Yeah .
[25:27] me010 | I that 's fine .
"[25:29] fe004 | I think that , um , the other terms that are related are like focus and stress . So , s"
[25:34] me010 | Mm - hmm .
"[25:40] fe004 | basically this is the information structure . OK , it 's like uh , it 's not it might be that there 's a syntactic ,"
[25:42] me010 | Mm - hmm .
[25:54] me045 | Mmm .
[25:56] me045 | Mm - hmm .
"[25:58] fe004 | tend to think that , whatever , "" into the room "" is sort of like the more focused kind of thing . And when you , uh ,"
[25:58] me045 | Yeah .
"[26:03] fe004 | uh , you have stress on something that might be , you know , a cue that the stressed element , or for instance , the negated element"
"[26:14] fe004 | the sort of like import or whatever of of this thing . Uh , so so I think that 's kind of nice to keep "" focus "" being an information structure term ."
"[26:21] fe004 | "" Stress "" I th and then there are different kinds of focus that you can bring to it . So , um ,"
"[26:33] fe004 | uh , w we 'll want to distinguish stress as a form device . You know , like , oh , high volume or whatever . Um ,"
[26:38] me045 | Yeah .
"[26:40] fe004 | t uh , and distinguish that from it 's effect which is , "" Oh , the kind of focus we have is we 're emphasizing this value"
[26:55] me045 | Mm - hmm .
"[26:57] fe004 | my now - classic example of saying , "" Oh , he did go to the meeting ? "" , that was my way of saying as opposed to , you know , "" Oh , he didn't g "" or "" There was a meeting ? "" I think that was the example that was"
[27:00] me045 | Yeah .
[27:04] me045 | Yeah .
[27:05] me045 | Yeah .
"[27:05] fe004 | caught on by the linguists immediately . And so , um , the like if you said he you know , there 's all these different things that if you put stress on a different part of it then you 're ,"
[27:13] fe004 | c
"[27:14] fe004 | focusing , whatever , on , uh "" he walked to the meeting "" as opposed to "" he ran "" , or "" he did walk to the meeting "" as opposed to "" he didn't walk "" . You know , so"
[27:14] me045 | Mm - hmm .
[27:20] me045 | Mm - hmm .
