[00:00] me013 | No .
[07:15] mn005 | Yeah .
"[07:16] me013 | So ,"
"[07:17] me013 | uh with three colors or three shades or whatever ,"
[07:19] me013 | just just look at those distributions .
[07:19] mn005 | Yeah .
"[07:21] me013 | And then , given that as a base , you can see if that gets improved ,"
"[07:27] me013 | looking at regular energy ,"
"[07:30] me013 | you know , it 's harder to see with the log energy ,"
[07:33] mn005 | Yeah .
[07:33] me013 | um
[07:34] me013 | and uh
"[07:35] me013 | also these different normalizations ,"
[07:37] me013 | does a particular choice of normalization make it better ?
[07:40] me013 | But I had maybe made it too complicated
[07:41] me013 | by suggesting
"[07:43] me013 | early on , that you look at scatter plots because that 's looking at a distribution in two dimensions ."
"[07:47] me013 | Let 's start off just in one ,"
[07:47] mn005 | Yeah .
[07:49] mn005 | Yeah .
"[07:49] me013 | uh , with this feature ."
[07:51] mn005 | Yeah .
"[07:51] me013 | I think that 's probably the most basic thing , before anything very complicated ."
[07:54] fe016 | Yeah .
[07:54] me013 | Um
[07:54] mn005 | Yeah .
[07:55] me013 | And then we w I think we 're agreed that
"[07:56] mn005 | I agree , yeah ."
[07:57] me013 | pitch - related things are are are going to be a a really likely candidate
[08:01] mn005 | Uh - huh .
[08:02] me013 | to help .
[08:03] mn005 | OK .
[08:05] me013 | uh your intuition
"[08:06] me013 | from looking at some of the data ,"
"[08:07] me013 | is that when you looked at the regular energy ,"
"[08:10] me013 | that it did in fact usually go up ,"
[08:12] mn005 | Yeah .
[08:12] mn005 | Yeah .
"[08:14] mn005 | Yeah , yeah , yeah ."
[08:14] me013 | that 's eh
"[08:15] me013 | you know , you should be able to come up with a measure which will"
"[08:19] me013 | And she 's right ,"
"[08:22] me013 | having this table , with a whole bunch of things , with the standard deviation , the variance and so forth ,"
[08:24] mn005 | Uh - huh .
[08:27] mn005 | Yeah .
[08:28] me013 | the same kind of picture you have here .
"[08:30] mn005 | It it 's curious but uh I f I found it in the in the mixed file ,"
[08:35] mn005 | in one channel
[08:42] mn005 | talking alone
[08:43] me013 | Mm - hmm .
[08:43] mn005 | with a high level of energy
[08:45] me013 | Mm - hmm .
[08:46] mn005 | eh
[08:46] mn005 | in the middle eh a zone of overlapping
[08:49] me013 | Mm - hmm .
[08:50] mn005 | with
[08:51] mn005 | mmm less energy
[08:53] mn005 | and
[08:54] mn005 | eh come with another speaker with high energy and the
[08:58] me013 | Mm - hmm .
[08:58] mn005 | overlapping zone
[08:59] mn005 | has
[08:59] mn005 | eh less energy .
[09:02] me013 | Yeah .
[09:03] mn005 | Because there reach very many @ @
[09:05] fe016 | Right .
"[09:08] me013 | I w want to point to visual things ,"
[09:11] me013 | There 'll be overlap
"[09:12] me013 | between the distributions ,"
"[09:13] me013 | but the question is ,"
[09:13] mn005 | Yeah .
"[09:14] me013 | "" If it 's a reasonable feature at all ,"
"[09:16] me013 | there 's some separation . """
[09:17] mn005 | Yeah .
[09:18] fe016 | Especially
[09:19] fe016 | locally .
[09:21] me013 | Mm - hmm .
[09:21] fe016 | So . Locally . And the other thing is I
"[09:21] mn005 | just locally , yeah ."
[09:25] me011 | right now we 're just exploring .
[09:27] mn005 | Yeah .
[09:31] me011 | discriminative system .
[09:32] me013 | Yeah .
[09:33] me011 | And so even if if one of the features
"[09:36] me011 | does a good job at one type of overlap , another feature might do a good job at another type of overlap ."
[09:37] mn005 | Yeah .
[09:39] mn005 | Yeah .
"[09:41] me013 | the reason I had suggested the scatter f p features is I used to do this a lot ,"
[09:44] me013 | when we had
[09:45] me013 | thirteen or fifteen or twenty features to look at .
[09:48] me013 | um
[09:49] me013 | Because something is a good feature
"[09:51] me013 | uh by itself ,"
[09:56] me013 | as many together at the same time as possible
[10:04] me013 | funny way .
[10:05] me013 | But it 's true
[10:06] me013 | that you shouldn't do any of that unless you know
[10:08] me013 | that
[10:10] mn005 | Yeah .
"[10:11] fe016 | Well , especially for normalizing . I mean ,"
[10:11] me013 | some hope
[10:13] me013 | Mm - hmm .
[10:14] fe016 | it 's really important to pick a normalization that matches the distribution for that feature .
[10:18] me013 | Mm - hmm .
[10:19] fe016 | And it may not be the same
[10:21] fe016 | for all the types of overlaps or
[10:24] fe016 | the windows may not be
[10:26] fe016 | the same .
[10:29] fe016 | right now
"[10:32] fe016 | all of the speech ,"
"[10:34] fe016 | from the whole meeting ,"
"[10:35] fe016 | and you 're trying to find points of overlap ,"
"[10:37] fe016 | but we don't really know which speaker is overlapping with which speaker , right ?"
[10:40] me013 | Right .
[10:40] mn005 | Yeah .
[10:41] fe016 | So I mean another way would just be to take
"[10:44] fe016 | the speech from just , say , Morgan ,"
"[10:46] fe016 | And just Jane and then just their overlaps ,"
"[10:49] fe016 | but by hand , by cheating ,"
[10:51] fe016 | and looking at
"[10:52] fe016 | you know , if you can detect something that way , because if we can't do it that way , there 's no"
[10:56] fe016 | good way that we 're going to be able to do it .
"[10:57] fe016 | That You know , there might be something"
[11:01] fe016 | helpful and cleaner about looking at just individuals and then that combination alone .
[11:05] mn005 | Yeah .
"[11:06] fe016 | Plus , I think it"
[11:07] me013 | Mm - hmm .
[11:10] fe016 | e
[11:10] fe016 | The m the right model will be easier to see that way .
"[11:13] fe016 | So if I don't know , if you go through and you find"
[11:16] mn005 | Yeah .
"[11:16] fe016 | Adam , cuz he has a lot of overlaps and some other speaker who also has e enough speech and just"
[11:21] fe016 | sort of look at those
[11:23] mn005 | Yeah .
"[11:27] fe016 | and just look at the distributions , maybe there is a clear"
[11:29] mn005 | Yeah .
[11:30] mn005 | Uh - huh .
[11:30] fe016 | pattern but we just can't
[11:32] fe016 | see it because there 's too many
[11:33] fe016 | combinations of of people
[11:35] mn005 | Yeah .
[11:36] fe016 | that can overlap .
[11:37] fe008 | I had the same intuition last last last week .
[11:38] fe016 | So .
[11:39] mn005 | Yeah .
[11:39] fe016 | Just seems sort of complex .
[11:40] fe008 | I think it 's to start with it 's s
"[11:42] fe008 | your your idea of simplifying ,"
[11:43] fe008 | starting with something that
[11:48] fe016 | Right .
"[11:50] fe016 | I don't think this is true , but what if"
[11:51] mn005 | To study individual ?
[11:53] fe016 | Hmm ?
"[11:53] fe008 | Sorry , what ?"
[11:53] mn005 | To study individual ?
"[11:55] fe016 | Well , to study the simplest case"
[11:57] fe008 | just simple case and
[11:58] fe008 | the one that has the lot of data associated with it .
[12:00] fe016 | Right .
[12:11] fe016 | both people talk more softly ? I don't think this happens at all .
[12:13] fe016 | Or they get louder .
"[12:15] fe008 | what if the equipment adjusts somehow ,"
[12:16] fe008 | there 's some
[12:16] fe008 | equalizing in there ?
[12:16] fe016 | Yeah
"[12:17] me013 | Uh ,"
[12:17] fe016 | I mean .
[12:17] me013 | no we don't have that .
[12:18] me013 | But .
[12:20] me011 | But I think that 's what I was saying about
[12:21] me011 | different types of
[12:21] fe008 | Saturation .
[12:21] me011 | overlap .
[12:23] fe016 | There are there are different
"[12:25] fe016 | types ,"
"[12:25] fe016 | and within those types ,"
"[12:27] fe016 | like as Jose was saying , that sounded like a backchannel overlap ,"
"[12:30] fe016 | meaning the kind that 's a friendly encouragement , like "" Mm - hmm . "" , "" Great ! "" , "" Yeah ! """
[12:34] mn005 | Yeah .
[12:35] fe016 | And it doesn't take you don't take the floor .
"[12:37] fe016 | Um , but ,"
"[12:38] fe016 | some of those , as you showed , I think can be discriminated by the duration of the overlap ."
[12:43] mn005 | Yeah .
[12:43] fe016 | So .
"[12:46] fe016 | Actually the s new student , Don , who um Adam has met , and he was"
[12:51] fe016 | getting his feet wet and then he 'll be starting again
[12:58] fe016 | I don't know if he 's talked with you yet .
[12:59] mn005 | Yeah .
[13:00] mn005 | I don't consi
[13:01] mn005 | Now I don't consider that possibility .
[13:03] mn005 | This is a s a general studio of the overlapping
[13:06] me013 | Yeah .
[13:07] fe016 | So it might be something that we can
[13:10] mn005 | i
[13:12] me013 | I I would s
[13:12] me013 | actually still recommend that he do the overall thing
[13:16] me013 | because it would be the quickest thing for him to do .
"[13:18] me013 | He could You see , he already has all his stuff in place , he has the histogram mechanism ,"
[13:19] fe016 | Yeah .
[13:23] me013 | and all he has to do
[13:25] me013 | is change it uh
[13:26] me013 | uh from from log to plain energy
[13:28] me013 | and plot the histogram
[13:29] me013 | and look at it .
[13:30] me013 | And then he should go on and do the other stuff
[13:32] fe016 | Yeah .
[13:32] me013 | bec
[13:37] me013 | Mm - hmm .
[13:39] me013 | Mm - hmm .
[13:42] fe016 | So you don't have to worry about it . And here 's the three types of overlaps . And we 'll we 'll do the labelling for you .
[13:43] mn005 | Yeah .
[13:46] mn005 | Yeah .
[13:47] me013 | Hm - hmm .
[13:47] fe016 | Um .
[13:47] mn005 | Consider different class of overlap ?
"[13:49] fe016 | Yeah , that we would be working on anyway ."
[13:50] mn005 | If there 's time .
[13:52] mn005 | Yeah .
[13:54] mn005 | Yeah .
"[13:56] mn005 | This is the thing I I comment with you before ,"
[13:58] mn005 | that uh we have a great variation of th situation of overlapping .
[14:02] me013 | Mm - hmm .
"[14:02] mn005 | And the behavior for energy is ,"
"[14:04] mn005 | uh log energy ,"
[14:05] mn005 | is not uh the same all the time .
[14:08] fe016 | Mm - hmm .
[14:09] me013 | But I guess I was just saying that that right now
[14:12] me013 | uh
"[14:13] me013 | from the means that you gave ,"
[14:15] me013 | I don't have any sense
[14:17] me013 | of whether
"[14:19] me013 | even ,"
"[14:19] me013 | you know , there are any significant number of cases for which there is distinct and I would imagine there should be"
[14:25] mn005 | Yeah .
[14:27] me013 | The distributions
[14:28] me013 | should be somewhat separated .
[14:31] me013 | Uh and
"[14:31] me013 | I I would still guess that if they are not separated at all ,"
[14:35] mn005 | Yeah .
[14:36] me013 | there 's there 's most likely something wrong in the way that we 're measuring it .
[14:39] mn005 | Yeah .
[14:39] mn005 | Yeah .
"[14:40] me013 | Um ,"
[14:41] me013 | um
"[14:42] me013 | For instance , I mean I wouldn't expect that it was very common"
"[14:45] me013 | overall , that"
"[14:47] me013 | when two people were talking at the same time ,"
[14:49] me013 | that it would that it really was
"[14:51] me013 | lower , although sometimes , as you say , it would ."
[14:51] mn005 | Yeah .
[14:54] mn005 | Yeah .
"[14:54] fe016 | Yeah , no , that was That was a jok"
[14:54] me013 | So .
[14:54] me013 | So .
"[14:56] fe016 | or a sort of ,"
[14:56] me013 | Yeah .
[14:57] fe016 | a case where where you would never know that unless you actually
[14:58] me013 | I mean . No . It could it probably does happen sometimes .
[14:59] mn005 | Yeah .
[15:01] fe016 | go and look at
[15:02] me013 | Yeah .
[15:02] me011 | Right .
[15:02] me013 | Yeah .
[15:03] fe016 | two individuals . So .
[15:03] mn005 | Yeah .
[15:03] me011 | Mind if I turned that light off ? The flickering is annoying me .
[15:06] me013 | OK .
"[15:07] fe016 | It might the case , though , that the significant energy , just as Jose was saying , comes in the non - backchannel cases ."
[15:13] fe016 | Because in back Most people when they 're talking don't change their own
[15:19] me013 | Mm - hmm .
"[15:20] fe016 | And sometimes it 's a nod and sometimes it 's an "" mm - hmm "" . And the "" mm - hmm "" is really usually very low energy ."
[15:21] mn005 | Yeah .
[15:25] mn005 | Yeah .
[15:26] fe016 | So maybe those don't actually have much difference in energy . But
[15:31] fe016 | and the backchannels are sort of easy to spot
"[15:33] fe016 | s in terms of their words or I mean , just listen to it . So ."
[15:35] mn005 | Yeah .
"[15:35] me013 | and and again what they what difference there was would kind of be lost in taking the log ,"
[15:41] mn005 | Yeah .
"[15:43] me013 | Mmm ,"
[15:44] me013 | if i
[15:45] me011 | Tone
"[15:45] me013 | Well , it won't be as big ."
"[15:46] fe016 | I mean , even if you take the log , you can your model just has a more sensitive measures . So ."
[15:48] mn005 | Yeah .
"[15:49] me011 | Sure , but tone might be very"
"[15:52] me011 | Yeah , you 're "" mm - hmm "" tone is going to be very different ."
[15:52] fe016 | Yeah .
[15:53] fe016 | Right .
[15:55] fe016 | Right .
"[15:56] me011 | You could imagine doing specialized ones for different types of backchannels ,"
[15:59] me011 | if you could if you had a good model for it .
"[16:02] me011 | Your "" mm - hmm "" detector ."
[16:02] me013 | If if you 're a
"[16:03] me013 | I guess my point is , if you 're doing essentially a linear separation , taking the log first does in fact make it harder to separate ."
[16:09] me011 | Right .
[16:09] mn005 | Yeah .
"[16:10] me013 | So , uh if you i i"
[16:12] me013 | So i if there if there close to things it does
[16:13] fe016 | Yeah .
[16:15] me013 | it 's a nonlinear operation that does in fact change the distinction . If you 're doing a non if you 're doing some fancy thing then then yeah .
[16:20] me013 | And right now we 're essentially doing this linear thing by looking across here and and saying we 're going to cut it here .
[16:25] me013 | Um
[16:26] me013 | and that that 's the indicator that we 're getting .
"[16:28] me013 | But anyway , yeah , we 're not disagreeing on any of this , we should look at it more uh more finely ,"
"[16:34] me013 | This often happens , you do fairly complicated things ,"
[16:37] me013 | and then you stand back from them and you realize that you haven't done something simple .
[16:39] me013 | So
"[16:40] me013 | uh , if you generated something like that just for the energy and see ,"
"[16:44] me013 | and then , a a a as as Liz says , when they g have uh uh smaller um , more coherent groups to look at , that would be another interesting thing later ."
[16:47] mn005 | Uh - huh .
[16:52] mn005 | Uh - huh .
"[16:53] me013 | between those , should give us some indication of whether there 's anything to be achieved f from energy at all ."
[17:00] me013 | uh more pitch related stuff .
[17:01] mn005 | Mm - hmm .
[17:02] mn005 | I I I think this is a good idea .
[17:04] me013 | OK .
[17:04] mn005 | Not consider the log
[17:04] fe008 | Mm - hmm .
[17:05] mn005 | energy .
[17:05] me013 | Yeah .
[17:06] mn005 | @ @
[17:10] me013 | Pitch related ?
[17:11] me013 | Harmonicity and so on ?
[17:11] mn005 | I I 'm preparing the the program but I don't I don't begin
[17:14] mn005 | because eh
[17:14] me013 | Yeah .
[17:16] mn005 | I saw your email and
[17:17] me013 | Yeah .
[17:20] mn005 | I suppose it 's better to to consider the the energy this kind of parameter
"[17:25] me013 | Oh , that 's not what I meant ."
[17:25] mn005 | bef
"[17:28] me013 | I Well ,"
[17:30] me013 | I think that the harm
[17:32] me013 | I certainly wasn't saying this was better than the
[17:34] me013 | harmonicity and pitch related things I was just saying
[17:36] mn005 | I I go on with the with the
[17:37] me013 | Yeah .
"[17:38] mn005 | pitch , aha !"
[17:39] mn005 | I I I I understood uh that eh
[17:47] me013 | OK . OK .
"[17:49] me013 | OK . But I think , like , all these derivatives and second derivatives and all these other very fancy things , I think I would just sort of look at the energy and then"
[17:55] me013 | get into the harmonicity as as
[17:56] mn005 | OK . I go on
[17:57] me013 | a suggestion .
[17:58] mn005 | with the pitch .
[17:59] me013 | Uh
[18:01] me013 | OK . So maybe uh
[18:02] me013 | since w we 're trying to
"[18:03] me013 | uh compress the meeting ,"
"[18:05] me013 | um , I know Adam had some form stuff he wanted to talk about"
[18:08] me013 | and did you have some ?
"[18:09] fe008 | I wanted to ask just s something on the end of this top topic . So ,"
"[18:12] fe008 | when I presented my results about the uh distribution of overlaps and the speakers and the profiles of the speakers ,"
[18:17] mn005 | Uh - huh .
"[18:17] fe008 | at the bottom of that I did have a proposal , and I had plan to go through with it , of of co coding the types of overlaps that people were involved in s"
"[18:24] fe008 | just with reference to speaker style so ,"
[18:26] fe016 | Oh .
"[18:26] fe008 | you know , with reference and you know I said that on my in my summary , that"
[18:27] fe016 | That 'd be great .
"[18:28] fe016 | Yeah , I remem Right ."
[18:34] fe008 | but that in itself is not informative without knowing what types of overlaps they 're involved in so
[18:39] fe008 | I was planning to do a taxonomy of types overlaps with reference to that .
[18:41] fe016 | That would be great . That would be really great .
[18:42] mn005 | Yeah .
"[18:42] fe008 | So ,"
[18:43] fe008 | but it you know it 's like
[18:43] me011 | Hmm .
[18:44] fe008 | it sounds like you also have uh something in that direction .
[18:53] fe016 | you know . So .
"[18:55] fe016 | It 's mostly that ,"
[19:01] fe016 | it would be much better if you can do it .
[19:03] fe016 | You 'd be much better at doing it also because
"[19:08] fe016 | I don't have a good feel for how they should be sorted out , and I really didn't wanna"
[19:15] fe008 | Well maybe we can OK .
"[19:15] me011 | It would be interesting , though , to talk , maybe not at the meeting ,"
[19:17] mn005 | Yeah .
[19:18] me011 | but at some other time about what are the classes .
[19:18] fe016 | Yeah .
[19:21] mn005 | Yeah .
[19:21] fe008 | Mm - hmm .
"[19:22] fe016 | I think that 's a research effort in and of itself ,"
"[19:24] me011 | Yeah , it would be interesting ."
"[19:24] fe016 | because you can read the literature , but I don't know how it 'll turn out and ,"
[19:25] mn005 | Yeah .
"[19:27] mn005 | I would think it 's interesting , yeah ."
"[19:28] fe016 | You know , it 's always an interesting question ."
"[19:28] fe008 | It seems like we also s with reference to a purpose , too , that we we 'd want to have them coded ."
[19:30] mn005 | Yeah .
[19:31] fe016 | That 'd be great .
[19:32] mn005 | Yeah .
[19:32] me011 | Yep .
[19:33] fe016 | That 'd be really great . And we 'd still have some funding
[19:33] fe008 | OK .
[19:34] fe008 | I can do that .
[19:34] mn005 | uh uh
"[19:36] fe016 | for this project , like probably ,"
"[19:38] fe016 | if we had to hire some like an undergrad , because uh Don is being"
[19:39] mn005 | hhh .
[19:43] fe008 | Mm - hmm .
"[19:44] fe016 | I mean ,"
[19:45] fe016 | he we 're not paying him the full
[19:46] fe016 | RA - ship for all the time . So .
[19:49] fe016 | um
[19:50] fe016 | If we got it to where we wanted we needed someone to do that I don't think there 's really enough
[19:54] fe008 | Mm - hmm .
"[19:55] fe008 | Yeah , I see this as a prototype ,"
[19:55] mn005 | Yeah .
[19:56] fe016 | Yeah .
[19:57] fe008 | the already transcribed meeting as just a prototype .
[19:58] mn005 | I I think a a another
[20:00] mn005 | we can consider is eh the duration .
[20:03] me011 | Mm - hmm .
[20:04] mn005 | Another e e m
"[20:04] mn005 | besides eh the the class of overlap ,"
[20:07] mn005 | the duration .
[20:08] mn005 | Because is possible eh some s s um eh
"[20:13] mn005 | a type of a duration , eh ,"
[20:15] fe008 | Mm - hmm .
[20:19] fe008 | It may be correlated .
[20:21] mn005 | Is possible
[20:21] fe008 | Mm - hmm .
[20:22] mn005 | to have .
"[20:23] mn005 | And it 's interesting ,"
"[20:31] mn005 | Eh because eh if we have a type of ,"
"[20:35] mn005 | overlap , eh"
"[20:36] mn005 | backchannel overlap ,"
"[20:38] mn005 | with a short duration ,"
[20:40] mn005 | is possible
[20:44] mn005 | eh consider only the the eh window
[20:50] mn005 | side on the right side
